English Word	Valence	Arousal	Dominance	Japanese Word
evolutionary	0.796	0.673	0.825	進化的な
evolve	0.655	0.692	0.896	進化
ewe	0.429	0.216	0.277	雌羊
ex	0.250	0.520	0.306	元
exacerbate	0.323	0.776	0.580	悪化させる
exacerbation	0.344	0.810	0.480	増悪
exact	0.719	0.354	0.685	ちょうど
exacting	0.448	0.673	0.767	厳しい
exaggerate	0.193	0.760	0.529	誇張する
exaggerated	0.224	0.885	0.732	誇張された
exaggeration	0.312	0.775	0.582	過言
exalt	0.656	0.750	0.745	高揚する
exaltation	0.594	0.892	0.673	高揚
exalted	0.676	0.845	0.696	高貴な
exam	0.479	0.663	0.577	テスト
examination	0.378	0.657	0.679	検査
examine	0.615	0.623	0.786	診る
examiner	0.406	0.575	0.812	審査官
example	0.542	0.337	0.510	例
exasperated	0.229	0.816	0.377	憤慨した
exasperation	0.214	0.833	0.483	激怒
excavate	0.583	0.613	0.635	発掘する
excavation	0.540	0.644	0.527	発掘
excavator	0.427	0.673	0.649	掘削機
exceed	0.500	0.827	0.586	超えた
exceeding	0.500	0.802	0.668	超過
excel	0.561	0.363	0.466	エクセル
excellence	0.958	0.620	0.907	優秀
excellent	0.970	0.587	0.870	優れた
excelsior	0.700	0.625	0.611	エクセルシオール
excepting	0.408	0.413	0.526	以外
exception	0.469	0.600	0.544	例外
exceptional	0.806	0.740	0.933	例外的な
excerpt	0.437	0.367	0.543	抜粋
excess	0.385	0.889	0.712	過剰
excessive	0.417	0.731	0.601	過剰
excessively	0.449	0.882	0.716	過度に
exchange	0.740	0.569	0.491	両替
excise	0.448	0.561	0.577	物品税
excision	0.260	0.480	0.519	切除
excitability	0.906	0.910	0.724	興奮性
excitable	0.803	0.939	0.629	興奮しやすい
excitation	0.792	0.958	0.750	励起
excite	0.823	0.950	0.668	エキサイト
excited	0.908	0.931	0.709	興奮した
excitement	0.896	0.684	0.731	興奮
exciting	0.950	0.792	0.789	エキサイティング
exclaim	0.635	0.711	0.639	叫ぶ
exclamation	0.612	0.745	0.598	感嘆符
exclude	0.292	0.500	0.530	除外
excluded	0.061	0.540	0.134	除外
excluding	0.271	0.550	0.324	除外
exclusion	0.240	0.530	0.389	除外
exclusive	0.792	0.630	0.653	エクスクルーシブ
excrement	0.041	0.558	0.221	排泄物
excretion	0.285	0.650	0.457	排泄
excruciating	0.083	0.837	0.345	耐え難い
excursion	0.625	0.714	0.627	遠足
excuse	0.240	0.696	0.318	言い訳
exec	0.640	0.352	0.769	エグゼクティブ
execute	0.327	0.708	0.769	実行する
execution	0.160	0.811	0.713	実行
executioner	0.235	0.816	0.676	死刑執行人
executive	0.704	0.449	0.894	エグゼクティブ
executor	0.365	0.755	0.759	遺言執行者
exegesis	0.458	0.472	0.491	釈義
exemplar	0.844	0.537	0.625	手本
exemplary	0.833	0.343	0.729	模範的な
exemplify	0.735	0.506	0.783	例える
exempt	0.588	0.455	0.664	免除される
exemption	0.531	0.578	0.627	免除
exercise	0.750	0.789	0.625	エクササイズ
exert	0.694	0.735	0.806	発揮する
exertion	0.663	0.755	0.717	労作
exhale	0.542	0.490	0.411	息を吐く
exhaust	0.546	0.710	0.337	排気
exhausted	0.123	0.423	0.202	疲れ果てた
exhaustion	0.366	0.633	0.269	疲労困憊
exhaustive	0.388	0.635	0.604	徹底的な
exhibit	0.688	0.633	0.708	示す
exhibition	0.698	0.590	0.531	エキシビション
exhilarated	0.890	0.963	0.759	爽快な
exhilarating	0.917	0.823	0.810	爽快
exhilaration	0.792	0.868	0.783	爽快感
exhort	0.378	0.660	0.745	勧める
exhortation	0.531	0.624	0.580	勧め
exhumation	0.177	0.586	0.473	発掘
exhume	0.184	0.627	0.452	掘り出す
exigent	0.385	0.611	0.792	緊急
exile	0.184	0.630	0.483	亡命
exist	0.857	0.421	0.788	存在
existence	0.760	0.513	0.771	存在
existent	0.635	0.490	0.635	存在する
existential	0.583	0.510	0.638	実存的な
existing	0.802	0.344	0.750	既存
exit	0.370	0.353	0.399	出口
exodus	0.286	0.663	0.567	脱出
exonerate	0.592	0.500	0.538	無罪にする
exorbitant	0.398	0.865	0.825	法外な
exorcism	0.163	0.980	0.557	悪魔祓い
exorcist	0.219	0.906	0.716	エクソシスト
exotic	0.840	0.711	0.727	エキゾチック
expand	0.792	0.559	0.686	拡大
expanded	0.760	0.406	0.689	拡張された
expanse	0.594	0.529	0.689	広がり
expansion	0.776	0.618	0.787	拡張
expansive	0.708	0.650	0.778	広大な
expatriate	0.265	0.764	0.391	国外移住者
expect	0.469	0.327	0.377	予想
expectance	0.552	0.724	0.660	期待
expectancy	0.581	0.622	0.558	期待
expectant	0.708	0.650	0.474	期待している
expectation	0.771	0.690	0.707	期待
expected	0.729	0.412	0.545	期待される
expecting	0.561	0.450	0.302	期待
expediency	0.604	0.443	0.703	便宜
expedient	0.885	0.461	0.454	都合のよい
expedite	0.571	0.858	0.798	促進する
expedition	0.735	0.802	0.620	遠征
expeditious	0.602	0.645	0.773	迅速な
expel	0.281	0.725	0.452	追放する
expendable	0.479	0.490	0.423	消耗品
expenditure	0.250	0.608	0.603	支出
expense	0.317	0.451	0.377	費用
expenses	0.240	0.633	0.396	経費
expensive	0.323	0.540	0.530	高い
experience	0.827	0.618	0.905	経験
experienced	0.771	0.613	0.914	経験豊富な
experiences	0.793	0.647	0.795	経験
experiment	0.479	0.720	0.675	実験
experimental	0.417	0.764	0.396	実験的
experimentation	0.637	0.769	0.767	実験
experimenter	0.708	0.710	0.700	実験者
expert	0.776	0.646	0.911	エキスパート
expertise	0.792	0.589	0.925	専門知識
expiration	0.265	0.539	0.463	有効期限
expire	0.573	0.745	0.702	期限切れ
expired	0.198	0.394	0.200	期限切れ
expiry	0.194	0.434	0.382	期限切れ
explain	0.719	0.517	0.736	説明
explanation	0.615	0.610	0.825	説明
explanatory	0.573	0.433	0.688	説明的な
expletive	0.357	0.567	0.536	罵倒的な
explication	0.510	0.445	0.602	説明
explicit	0.562	0.694	0.734	明示的
explode	0.277	0.885	0.773	爆発する
exploit	0.312	0.878	0.660	搾取する
exploitation	0.156	0.920	0.718	搾取
exploration	0.594	0.650	0.773	探査
exploratory	0.653	0.690	0.698	探索的な
explore	0.776	0.660	0.727	見る
explorer	0.729	0.663	0.714	冒険者
explosion	0.167	0.960	0.767	爆発
explosions	0.123	0.860	0.594	爆発
explosive	0.156	0.943	0.663	爆発物
expo	0.610	0.562	0.500	博覧会
exponent	0.529	0.510	0.845	指数
exponential	0.704	0.588	0.763	指数関数的
export	0.567	0.661	0.755	書き出す
exportation	0.760	0.633	0.673	輸出
expose	0.344	0.643	0.537	公開
exposed	0.471	0.661	0.509	露出
exposition	0.521	0.627	0.655	博覧会
expository	0.706	0.653	0.636	解説的な
exposure	0.570	0.830	0.630	暴露
expound	0.438	0.575	0.740	説明する
express	0.760	0.623	0.691	特急
expression	0.790	0.650	0.721	表現
expressive	0.755	0.724	0.685	表情豊か
expressway	0.633	0.635	0.587	高速道路
expropriation	0.188	0.735	0.788	収用
expulsion	0.190	0.790	0.529	追放
exquisite	0.892	0.644	0.604	絶妙な
exquisitely	0.849	0.728	0.723	絶妙に
extant	0.646	0.390	0.523	現存の
extend	0.646	0.570	0.689	拡張する
extendable	0.660	0.592	0.722	拡張可能
extended	0.570	0.304	0.649	拡張
extension	0.490	0.510	0.529	拡大
extensive	0.635	0.520	0.760	広範囲
extent	0.646	0.451	0.602	範囲
exterior	0.542	0.400	0.627	外観
exterminate	0.177	0.857	0.736	根絶する
extermination	0.190	0.860	0.616	絶滅
exterminator	0.344	0.804	0.887	害虫駆除業者
external	0.479	0.341	0.509	外部の
externally	0.643	0.521	0.568	外部的に
extinct	0.112	0.491	0.412	絶滅
extinction	0.104	0.750	0.611	絶滅
extinguish	0.240	0.576	0.482	消火
extinguisher	0.707	0.379	0.543	消火器
extol	0.582	0.667	0.456	称賛する
extort	0.052	0.827	0.570	ゆすり
extortion	0.112	0.868	0.630	恐喝
extra	0.656	0.551	0.745	追加
extract	0.565	0.402	0.519	エキス
extracting	0.521	0.709	0.689	抽出中
extraction	0.418	0.740	0.526	抽出
extractor	0.302	0.536	0.519	抽出器
extracurricular	0.457	0.471	0.743	課外
extradition	0.229	0.627	0.554	引き渡し
extrajudicial	0.365	0.686	0.667	超法規的な
extramural	0.336	0.559	0.537	室外の
extraneous	0.276	0.625	0.478	無関係な
extraordinaire	0.847	0.864	0.898	並外れた
extraordinary	0.969	0.728	0.860	並外れた
extraterrestrial	0.510	0.833	0.792	地球外の
extravagance	0.531	0.802	0.700	浪費
extravagant	0.720	0.763	0.812	贅沢な
extravaganza	0.646	0.786	0.906	贅沢
extreme	0.318	0.800	0.721	過激
extreme anticipation	0.551	0.740	0.704	極端な期待
extreme disgust	0.052	0.873	0.456	極度の嫌悪感
extreme surprise	0.833	0.935	0.676	極端な驚き
extreme trust	0.826	0.713	0.922	極度の信頼
extremely	0.635	0.827	0.886	非常に
extremely negative	0.030	0.786	0.311	非常にネガティブ
extremely positive	0.993	0.730	0.839	非常にポジティブ
extremity	0.408	0.588	0.583	端
extricate	0.542	0.510	0.543	脱出させる
extrinsic	0.510	0.479	0.636	外因性の
extrusion	0.229	0.660	0.545	押し出す
exuberance	0.698	0.816	0.787	活気
exude	0.375	0.519	0.411	にじみ出る
eye	0.531	0.265	0.425	目
eyeball	0.526	0.422	0.420	眼球
eyebrow	0.510	0.198	0.222	眉
eyeful	0.802	0.500	0.676	目を見張る
eyeglass	0.531	0.236	0.286	眼鏡
eyeglasses	0.561	0.269	0.306	眼鏡
eyelash	0.480	0.250	0.278	まつげ
eyelet	0.632	0.298	0.346	アイレット
eyeliner	0.688	0.349	0.347	アイライナー
eyepiece	0.418	0.347	0.480	接眼レンズ
eyes	0.760	0.279	0.432	目
eyesight	0.750	0.226	0.343	視力
eyewitness	0.541	0.686	0.698	目撃者
fab	0.490	0.380	0.406	ファブ
fable	0.663	0.387	0.389	寓話
fabled	0.625	0.538	0.545	伝説的な
fabric	0.635	0.190	0.345	ファブリック
fabricate	0.636	0.491	0.779	捏造する
fabricated	0.418	0.427	0.555	捏造
fabrication	0.573	0.587	0.705	製作
fabulous	0.979	0.660	0.797	素晴らしい
facade	0.520	0.333	0.518	ファサード
face	0.571	0.173	0.453	顔
faceless	0.230	0.406	0.173	顔のない
facet	0.667	0.324	0.382	ファセット
facial	0.594	0.429	0.433	フェイシャル
facile	0.740	0.264	0.307	簡単な
facilitate	0.812	0.333	0.509	容易にする
facility	0.625	0.500	0.654	施設
facing	0.604	0.406	0.550	直面している
facsimile	0.490	0.500	0.543	ファクシミリ
fact	0.683	0.333	0.618	事実
faction	0.469	0.430	0.448	派
factor	0.635	0.365	0.678	要素
factory	0.500	0.500	0.683	工場
facts	0.688	0.471	0.693	事実
factual	0.656	0.440	0.545	事実上の
faculties	0.643	0.431	0.760	学部
faculty	0.615	0.412	0.732	学部
fad	0.663	0.520	0.570	流行
fade	0.354	0.333	0.245	フェード
faded	0.302	0.275	0.194	色あせた
faeces	0.184	0.476	0.175	糞便
fag	0.122	0.653	0.331	たばこ
faggot	0.219	0.643	0.292	ファゴット
fail	0.177	0.578	0.154	不合格
failing	0.125	0.490	0.268	失敗する
failure	0.167	0.575	0.139	失敗
fain	0.479	0.417	0.426	かすかな
faint	0.063	0.429	0.167	かすかな
fainting	0.333	0.510	0.214	失神
fair	0.812	0.557	0.643	公平
fairly	0.790	0.406	0.750	かなり
fairness	0.740	0.317	0.552	公平性
fairway	0.541	0.510	0.500	フェアウェイ
fairy	0.776	0.408	0.413	妖精
faith	0.833	0.220	0.763	信仰
faithful	0.888	0.333	0.627	忠実な
faithfulness	0.833	0.426	0.602	忠実
faithless	0.102	0.683	0.304	不誠実
fake	0.073	0.554	0.268	偽
faker	0.245	0.630	0.480	偽者
falafel	0.560	0.402	0.351	ファラフェル
falcon	0.557	0.580	0.678	ファルコン
fall	0.177	0.657	0.221	秋
fallacious	0.271	0.587	0.390	虚偽の
fallacy	0.112	0.561	0.430	誤謬
fallback	0.458	0.358	0.508	後退する
fallible	0.365	0.537	0.402	誤りやすい
falling	0.202	0.716	0.306	落下
fallopian	0.297	0.390	0.464	卵管
fallout	0.428	0.356	0.373	フォールアウト
fallow	0.375	0.368	0.464	休閑
false	0.120	0.404	0.240	間違い
falsehood	0.031	0.625	0.384	虚偽
falsely	0.083	0.480	0.265	誤って
falsification	0.173	0.720	0.490	改ざん
falsified	0.042	0.630	0.306	改ざんされた
falsify	0.115	0.657	0.409	改ざんする
falsity	0.120	0.689	0.186	虚偽
falter	0.421	0.650	0.346	ひるむ
fame	0.896	0.755	0.852	名声
famed	0.878	0.750	0.819	有名な
familiar	0.906	0.330	0.615	見慣れた
familiarity	0.854	0.346	0.616	親しみ
familiarize	0.760	0.365	0.654	慣れる
family	0.968	0.383	0.643	家族
familytime	0.939	0.420	0.679	家族の時間
famine	0.163	0.679	0.310	飢饉
famished	0.177	0.654	0.282	飢えた
famous	0.916	0.775	0.882	有名
famously	0.856	0.765	0.787	有名に
fan	0.781	0.429	0.357	ファン
fanatic	0.573	0.780	0.629	狂信的な
fanatical	0.555	0.830	0.714	狂信的な
fanaticism	0.292	0.896	0.566	狂信
fanciful	0.677	0.592	0.342	空想的な
fancy	0.854	0.673	0.534	はで
fandango	0.490	0.591	0.429	ファンダンゴ
fanfare	0.656	0.640	0.437	ファンファーレ
fang	0.175	0.491	0.455	牙
fangs	0.286	0.598	0.434	牙
fanning	0.615	0.330	0.236	扇動
fantasia	0.898	0.694	0.436	ファンタジア
fantasize	0.771	0.660	0.356	空想する
fantastic	0.969	0.696	0.831	素晴らしい
fantasy	0.880	0.627	0.474	ファンタジー
faraway	0.365	0.356	0.285	遠く
farce	0.265	0.667	0.246	茶番
farcical	0.406	0.481	0.259	茶番
fare	0.490	0.425	0.645	運賃
farewell	0.130	0.500	0.591	別れ
farm	0.781	0.327	0.297	農場
farmer	0.677	0.432	0.464	農家
farmhouse	0.690	0.330	0.444	農家
farming	0.580	0.414	0.568	農業
farmland	0.729	0.363	0.509	農地
faro	0.544	0.349	0.357	ファロ
fart	0.194	0.439	0.264	おなら
farther	0.418	0.500	0.430	さらに遠くへ
fascia	0.480	0.366	0.356	筋膜
fascinate	0.854	0.683	0.802	魅了する
fascinated	0.812	0.714	0.788	素晴らしかった
fascinating	0.979	0.817	0.784	魅力的な
fascination	0.885	0.773	0.835	魅力
fascism	0.104	0.740	0.695	ファシズム
fascist	0.200	0.755	0.527	ファシスト
fashion	0.827	0.616	0.589	ファッション
fashionable	0.750	0.510	0.605	ファッショナブル
fastball	0.688	0.679	0.575	速球
fasten	0.458	0.585	0.529	締める
fastener	0.577	0.377	0.491	ファスナー
fastening	0.594	0.473	0.554	留め具
fasting	0.388	0.370	0.394	断食
fat	0.198	0.353	0.237	太い
fatal	0.061	0.775	0.509	致命的
fatalism	0.208	0.694	0.631	宿命論
fatality	0.062	0.798	0.595	死亡率
fate	0.571	0.479	0.712	運命
fated	0.582	0.472	0.692	運命的な
fateful	0.290	0.583	0.402	運命的な
fathead	0.296	0.527	0.463	ファットヘッド
father	0.812	0.333	0.824	お父さん
fatherhood	0.885	0.519	0.682	父性
fatherland	0.729	0.469	0.778	祖国
fatherly	0.865	0.363	0.712	父親らしい
fathom	0.520	0.410	0.523	測る
fatigue	0.173	0.378	0.265	倦怠感
fatigued	0.146	0.433	0.245	疲れた
fatso	0.286	0.394	0.336	でぶ
fatten	0.375	0.549	0.363	肥える
fatty	0.286	0.361	0.325	脂肪質
faucet	0.427	0.278	0.356	蛇口
fault	0.188	0.558	0.184	障害
faultless	0.792	0.500	0.741	完璧な
faulty	0.184	0.520	0.378	故障した
faun	0.490	0.303	0.376	フォーン
fauna	0.646	0.346	0.404	動物相
faux	0.291	0.490	0.204	偽物
favor	0.812	0.308	0.519	好意
favorable	0.952	0.380	0.788	好ましい
favorite	0.885	0.590	0.691	お気に入り
favoriteholiday	0.867	0.618	0.582	お気に入りの休日
favoritism	0.582	0.559	0.658	えこひいき
fawn	0.626	0.360	0.284	子鹿
fax	0.406	0.368	0.304	ファックス
faze	0.417	0.515	0.382	迷う
fear	0.073	0.840	0.293	恐れ
feared	0.240	0.733	0.509	恐れた
fearful	0.083	0.482	0.278	恐ろしい
fearfully	0.112	0.567	0.271	恐る恐る
fearing	0.125	0.566	0.256	恐れている
fearless	0.810	0.806	0.760	大胆不敵
fears	0.061	0.821	0.306	恐怖
fearsome	0.115	0.900	0.586	恐ろしい
feasibility	0.653	0.490	0.741	実現可能性
feasible	0.694	0.388	0.611	実行可能
feast	0.979	0.724	0.680	ごちそう
feat	0.750	0.706	0.849	偉業
feather	0.677	0.208	0.144	フェザー
feathered	0.438	0.288	0.214	羽毛
feature	0.667	0.314	0.679	特徴
features	0.667	0.433	0.509	特徴
febrile	0.429	0.578	0.414	熱性
fecal	0.255	0.528	0.213	糞便
feces	0.240	0.407	0.307	糞便
fecundity	0.688	0.591	0.683	繁殖力
fed	0.602	0.370	0.482	食べた
federal	0.530	0.459	0.859	連邦政府
federation	0.633	0.354	0.763	フェデレーション
fedup	0.327	0.500	0.352	うんざり
fee	0.354	0.386	0.556	費用
feeble	0.157	0.280	0.109	弱い
feed	0.812	0.429	0.739	餌
feedback	0.622	0.557	0.645	フィードバック
feeder	0.604	0.452	0.713	フィーダ
feel	0.802	0.602	0.596	感じられる
feelgood	0.990	0.441	0.621	気持ちがいい
feeling	0.806	0.329	0.531	フィーリング
feelingdown	0.490	0.457	0.567	気分が落ち込む
feelinggood	0.940	0.449	0.655	気分がいい
feet	0.510	0.240	0.292	フィート
feign	0.340	0.394	0.356	ふりをする
feigned	0.173	0.602	0.333	ふりをした
feisty	0.592	0.853	0.789	元気な
felicity	0.913	0.704	0.793	フェリシティ
feline	0.615	0.745	0.509	ネコ科の
fell	0.255	0.462	0.250	落ちた
feller	0.406	0.622	0.617	フェラー
fellow	0.745	0.298	0.570	仲間
fellowship	0.900	0.429	0.778	フェローシップ
felon	0.111	0.898	0.455	重罪人
felony	0.206	0.808	0.472	重罪
felt	0.643	0.417	0.566	感じた
feminine	0.802	0.520	0.394	フェミニン
femininity	0.750	0.479	0.451	女性らしさ
feminism	0.541	0.570	0.636	フェミニズム
femme	0.551	0.529	0.398	ファム
femoral	0.417	0.324	0.566	大腿骨
femur	0.408	0.289	0.413	大腿骨
fen	0.490	0.276	0.379	フェン
fence	0.500	0.198	0.398	フェンス
fenced	0.323	0.430	0.429	フェンスで囲まれた
fencing	0.542	0.654	0.539	フェンシング
fend	0.646	0.731	0.537	かわす
fender	0.369	0.459	0.476	フェンダー
fennel	0.573	0.277	0.389	フェンネル
ferment	0.375	0.531	0.418	発酵させる
fermentation	0.420	0.567	0.473	発酵
fern	0.602	0.240	0.290	シダ
ferocious	0.167	0.915	0.776	猛烈な
ferocity	0.235	0.906	0.746	獰猛
ferret	0.385	0.391	0.398	フェレット
ferry	0.604	0.509	0.389	フェリー
ferryboat	0.594	0.452	0.553	渡し船
fertile	0.888	0.408	0.704	肥沃な
fertility	0.885	0.529	0.726	受胎能力
fertilize	0.708	0.443	0.542	肥やす
fertilizer	0.438	0.463	0.565	肥料
fervent	0.646	0.632	0.773	熱烈な
fervor	0.573	0.769	0.651	熱意
fess	0.395	0.420	0.370	フェス
fest	0.704	0.574	0.402	祭り
festival	0.870	0.706	0.714	まつり
festive	0.854	0.740	0.764	お祝いの
fetal	0.388	0.308	0.364	胎児
fetch	0.479	0.363	0.491	フェッチ
fete	0.580	0.551	0.465	フェテ
fetish	0.307	0.706	0.500	フェチ
fetus	0.479	0.519	0.395	胎児
feud	0.146	0.796	0.312	確執
feudal	0.367	0.370	0.610	封建的な
feudalism	0.229	0.465	0.607	封建主義
fever	0.194	0.674	0.364	熱
feverish	0.385	0.696	0.436	熱っぽい
fiancee	0.959	0.626	0.556	婚約者
fiasco	0.167	0.600	0.200	大失敗
fiat	0.520	0.418	0.446	法定通貨
fib	0.438	0.510	0.361	フィブ
fiber	0.719	0.284	0.390	ファイバ
fiberglass	0.451	0.451	0.443	グラスファイバー
fibrosis	0.160	0.469	0.546	線維症
fibrous	0.480	0.441	0.464	繊維状
fickle	0.406	0.481	0.346	気まぐれ
fiction	0.438	0.657	0.441	フィクション
fictional	0.430	0.490	0.340	架空の
fictitious	0.224	0.444	0.293	架空の
fiddle	0.571	0.449	0.391	フィドル
fiddler	0.615	0.580	0.500	フィドラー
fidelity	0.765	0.580	0.709	忠実度
fidgety	0.229	0.786	0.351	そわそわ
fiduciary	0.375	0.400	0.509	受託者
field	0.640	0.380	0.336	分野
field hockey	0.602	0.786	0.518	フィールドホッケー
fielder	0.583	0.378	0.415	野手
fiend	0.146	0.903	0.608	悪魔
fiendish	0.167	0.846	0.591	凶悪な
fierce	0.281	0.877	0.759	激しい
fiery	0.418	0.850	0.721	燃えるような
fiesta	0.927	0.779	0.655	フィエスタ
fiesty	0.571	0.663	0.472	激しい
fifteen	0.490	0.290	0.443	15
fifty	0.571	0.368	0.439	50
fig	0.573	0.390	0.339	図
fight	0.531	0.868	0.809	喧嘩
fighter	0.637	0.760	0.898	戦士
fighting	0.292	0.885	0.783	ファインティング
fights	0.070	0.920	0.712	戦う
figment	0.552	0.316	0.533	フィギュア
figurative	0.479	0.450	0.634	比喩的な
figure	0.688	0.328	0.509	形
figurine	0.760	0.283	0.258	置物
filament	0.510	0.452	0.377	フィラメント
filamentous	0.531	0.480	0.516	糸状の
file	0.480	0.316	0.463	ファイル
filet	0.615	0.392	0.291	フィレ
filibuster	0.271	0.714	0.508	フィリバスター
filigree	0.576	0.408	0.514	フィリグリー
filing	0.620	0.420	0.700	ファイリング
filings	0.323	0.412	0.340	ファイリング
fill	0.729	0.449	0.637	塗りつぶし
filler	0.531	0.347	0.529	フィラー
fillet	0.745	0.415	0.378	フィレット
filling	0.510	0.382	0.525	充填
filly	0.479	0.564	0.519	牝馬
film	0.823	0.491	0.566	映画
filmmaker	0.704	0.510	0.635	映画製作者
filmy	0.583	0.510	0.425	フィルム状
filter	0.440	0.296	0.260	フィルター
filth	0.194	0.592	0.319	汚物
filthy	0.115	0.714	0.321	不潔な
filtration	0.407	0.520	0.255	濾過
fin	0.333	0.340	0.377	フィン
final	0.276	0.575	0.508	最後の
finale	0.406	0.330	0.468	フィナーレ
finalist	0.833	0.686	0.736	ファイナリスト
finality	0.615	0.368	0.627	最終性
finalize	0.556	0.550	0.578	ファイナライズ
finalized	0.245	0.210	0.608	ファイナライズ
finally	0.583	0.433	0.465	最後に
finance	0.753	0.431	0.843	ファイナンス
financial	0.667	0.500	0.722	金融
financier	0.602	0.500	0.778	金融業者
finch	0.438	0.444	0.358	フィンチ
find	0.774	0.555	0.580	探す
finder	0.360	0.550	0.630	ファインダ
finding	0.796	0.469	0.664	発見
fine	0.823	0.240	0.647	大丈夫
finery	0.562	0.479	0.636	精巧
finesse	0.740	0.387	0.412	フィネス
finger	0.321	0.264	0.291	指
fingernail	0.418	0.415	0.153	爪
fingerprint	0.583	0.404	0.570	指紋
fingerscrossed	0.573	0.540	0.356	成功を祈っている
finish	0.471	0.429	0.545	終了
finished	0.510	0.387	0.570	終了した
finite	0.384	0.347	0.293	有限の
fink	0.410	0.514	0.439	フィンク
fir	0.521	0.275	0.306	モミ
fire	0.380	0.804	0.635	火
firearm	0.086	0.943	0.864	銃器
firearms	0.220	0.943	0.821	銃器
fireball	0.302	0.777	0.664	火球
firecracker	0.474	0.741	0.434	爆竹
firefight	0.153	0.920	0.664	銃撃戦
firefighter	0.637	0.770	0.773	消防士
firefly	0.622	0.410	0.363	ホタル
firehouse	0.594	0.689	0.627	消防署
firelight	0.677	0.504	0.639	火明かり
fireman	0.583	0.745	0.755	消防士
fireplace	0.667	0.380	0.417	暖炉
firepower	0.375	0.941	0.810	火力
fireproof	0.684	0.679	0.723	耐火
fireside	0.684	0.377	0.394	暖炉
firestorm	0.180	0.929	0.766	ファイアストーム
firewall	0.485	0.602	0.629	ファイアウォール
firewood	0.520	0.348	0.263	薪
firework	0.786	0.904	0.593	花火
fireworks	0.735	0.863	0.579	花火
firing	0.188	0.931	0.803	発砲
firm	0.635	0.380	0.728	固い
firmament	0.750	0.407	0.660	大空
firmly	0.786	0.510	0.777	しっかりと
firmness	0.823	0.479	0.939	硬さ
first	0.625	0.500	0.788	最初
firstborn	0.786	0.490	0.695	初子
firstworldprobs	0.458	0.612	0.483	ファーストワールドプロブス
fiscal	0.500	0.582	0.845	財政
fish	0.510	0.280	0.250	魚
fisherman	0.656	0.461	0.546	漁師
fishery	0.574	0.503	0.519	漁業
fishing	0.677	0.283	0.405	釣り
fishing boat	0.521	0.403	0.627	漁船
fishy	0.224	0.601	0.471	怪しい
fissile	0.333	0.490	0.380	核分裂性
fission	0.386	0.500	0.567	分裂
fissure	0.333	0.510	0.431	亀裂
fist	0.333	0.686	0.481	拳
fistfight	0.208	0.902	0.543	殴り合い
fistful	0.500	0.509	0.500	一握り
fistula	0.312	0.481	0.330	瘻孔
fit	0.604	0.450	0.632	フィット
fitness	0.875	0.529	0.810	フィットネス
fits	0.571	0.363	0.580	フィット
fitted	0.507	0.404	0.673	装着
fitting	0.612	0.441	0.638	フィッティング
fittings	0.531	0.404	0.409	継手
five	0.510	0.221	0.298	五
fiver	0.458	0.469	0.517	ファイバー
fix	0.760	0.538	0.519	修理
fixable	0.724	0.470	0.645	修正可能
fixation	0.562	0.459	0.655	固定
fixed	0.684	0.167	0.509	修繕
fixer	0.633	0.375	0.606	フィクサー
fixture	0.663	0.216	0.409	備品
fixtures	0.643	0.330	0.370	備品
fizz	0.459	0.708	0.349	フィズ
fjord	0.510	0.404	0.463	フィヨルド
flabbergast	0.480	0.679	0.547	フラバーガスト
flabbergasted	0.312	0.802	0.342	びっくりした
flabby	0.292	0.358	0.250	たるんだ
flaccid	0.156	0.400	0.151	弛緩
flag	0.592	0.378	0.536	国旗
flagging	0.521	0.519	0.509	フラグ付け
flagpole	0.500	0.394	0.458	旗竿
flagrant	0.286	0.673	0.455	目に余る
flagship	0.592	0.587	0.703	旗艦
flagstaff	0.520	0.517	0.500	フラッグスタッフ
flair	0.775	0.471	0.676	才能
flak	0.390	0.600	0.600	高射砲
flake	0.385	0.388	0.289	フレーク
flaky	0.363	0.509	0.279	薄片状
flamboyant	0.615	0.794	0.705	派手な
flame	0.448	0.574	0.615	火炎
flamethrower	0.160	0.882	0.683	火炎放射器
flaming	0.406	0.645	0.558	炎上
flamingo	0.667	0.451	0.482	フラミンゴ
flammable	0.216	0.800	0.715	可燃性
flan	0.604	0.304	0.198	フラン
flange	0.500	0.306	0.390	フランジ
flank	0.448	0.458	0.443	側面
flanked	0.333	0.431	0.368	隣接
flanking	0.490	0.622	0.519	隣接
flannel	0.490	0.250	0.327	フランネル
flap	0.275	0.385	0.344	フラップ
flapping	0.458	0.728	0.404	羽ばたき
flare	0.558	0.823	0.508	フレア
flares	0.580	0.642	0.556	フレア
flaring	0.625	0.771	0.509	フレア
flash	0.571	0.590	0.657	閃光
flashback	0.265	0.400	0.485	フラッシュバック
flashing	0.604	0.574	0.438	点滅
flashlight	0.653	0.414	0.356	懐中電灯
flashy	0.704	0.600	0.827	派手
flask	0.418	0.412	0.454	フラスコ
flat	0.408	0.236	0.303	平らな
flatbed	0.490	0.250	0.380	フラットベッド
flatfoot	0.265	0.333	0.330	扁平足
flatness	0.479	0.280	0.527	平坦度
flatten	0.286	0.469	0.442	平らにする
flatter	0.521	0.418	0.302	平べったい
flattered	0.865	0.608	0.708	お世辞
flattering	0.755	0.686	0.500	お世辞
flattery	0.470	0.575	0.404	世辞
flatulence	0.210	0.632	0.343	鼓腸
flaunt	0.438	0.611	0.525	自慢する
