English Word	Valence	Arousal	Dominance	Haitian-Creole Word
backward	0.309	0.367	0.250	bak
backwardness	0.240	0.500	0.136	bak
backwards	0.302	0.372	0.330	bak
backwater	0.312	0.410	0.161	backwater
backwoods	0.541	0.350	0.482	backwoods
backyard	0.552	0.280	0.302	lakou dèyè
bacon	0.698	0.406	0.295	bekonn
bacteria	0.177	0.553	0.570	bakteri
bacterial	0.156	0.500	0.473	bakteri
bacterium	0.194	0.545	0.345	bakteri
bad	0.125	0.625	0.373	move
badass	0.255	0.775	0.745	move
badday	0.327	0.449	0.373	move jounen
badfeeling	0.250	0.559	0.365	move santiman
badge	0.567	0.488	0.691	badj
badger	0.344	0.429	0.357	badger
badhabit	0.184	0.594	0.311	move abitid
badly	0.073	0.509	0.286	mal
badness	0.094	0.823	0.463	mechanste
baffle	0.344	0.442	0.482	deflektè
baffled	0.151	0.600	0.339	dekouraje
bag	0.500	0.250	0.314	sak
bagel	0.531	0.363	0.340	bagel
baggage	0.610	0.363	0.427	bagaj
baggie	0.367	0.427	0.366	sak
baggy	0.521	0.278	0.452	baggy
bagman	0.506	0.500	0.394	bagman
bagpipes	0.541	0.556	0.412	bagpipes
bail	0.373	0.520	0.561	kosyon
bailiff	0.347	0.519	0.759	Gouverneurs
bait	0.276	0.327	0.296	Garnier
bake	0.867	0.418	0.519	kwit
bakery	0.802	0.500	0.380	boulanjri
baking	0.549	0.455	0.451	boulanjri
bal	0.490	0.412	0.432	bal
balance	0.684	0.265	0.735	balans
balanced	0.806	0.255	0.745	balanse
balcony	0.562	0.392	0.380	balkon
bald	0.306	0.184	0.268	chòv
balding	0.302	0.363	0.368	kale
baldy	0.398	0.385	0.396	chòv
bale	0.437	0.363	0.412	bal
balk	0.229	0.451	0.415	reflechi
ball	0.740	0.427	0.317	boul
ballad	0.792	0.284	0.424	balad
ballast	0.354	0.423	0.287	ballast
ballerina	0.802	0.660	0.475	balerin
ballet	0.656	0.480	0.358	balè
ballgame	0.781	0.790	0.407	jwèt boul
ballistic	0.260	0.806	0.685	balistik
ballistics	0.271	0.787	0.610	balistik
balloon	0.729	0.245	0.315	balon
ballot	0.521	0.361	0.358	bilten vòt
ballpark	0.724	0.694	0.529	ballpark
ballplayer	0.719	0.764	0.566	jwè boul
ballpoint	0.596	0.337	0.318	boul
ballroom	0.847	0.635	0.448	sal de bal
ballsy	0.531	0.491	0.414	ballsy
balm	0.625	0.275	0.414	balm
balmy	0.684	0.327	0.545	kalme
balsam	0.663	0.250	0.385	balsam
balsamic	0.582	0.283	0.447	balzamik
bam	0.427	0.472	0.390	bam
bamboo	0.646	0.222	0.356	banbou
ban	0.146	0.689	0.587	entèdiksyon
banana	0.612	0.230	0.241	bannann
band	0.648	0.552	0.525	bann
bandage	0.220	0.327	0.286	bandaj
bandanna	0.562	0.276	0.277	bandana
bandit	0.094	0.796	0.567	bandi
bandstand	0.735	0.536	0.520	bandstand
bandwagon	0.625	0.651	0.509	bandwagon
bandwidth	0.714	0.337	0.548	Pleasant
bane	0.265	0.694	0.366	malè
bang	0.265	0.951	0.740	bang
banger	0.378	0.540	0.538	banger
banish	0.163	0.677	0.543	ban
banished	0.052	0.713	0.370	depòte
banishment	0.160	0.775	0.298	depòte
banister	0.418	0.410	0.332	banner
banjo	0.469	0.400	0.370	banjo
bank	0.562	0.327	0.675	labank
banker	0.586	0.588	0.792	bankye
banking	0.510	0.327	0.500	bankè
bankroll	0.469	0.570	0.509	bankroll
bankrupt	0.163	0.673	0.337	depourvu
bankruptcy	0.010	0.696	0.209	fayit
banner	0.521	0.408	0.474	banyè
banquet	0.765	0.571	0.600	bankè
banshee	0.408	0.565	0.481	banshee
banter	0.594	0.677	0.464	betiz
banzai	0.550	0.510	0.443	banzai
baptism	0.844	0.384	0.566	batèm
baptismal	0.646	0.343	0.625	batèm
baptize	0.739	0.426	0.594	batize
bar	0.500	0.531	0.481	ba
barb	0.448	0.365	0.417	barb
barbarian	0.323	0.896	0.713	barbar
barbaric	0.235	0.798	0.738	barbare
barbarism	0.190	0.815	0.614	barbarie
barbecue	0.792	0.643	0.456	babekyou
barbed	0.177	0.594	0.455	barbed
barber	0.543	0.459	0.356	kwafè
barbershop	0.597	0.441	0.382	kwafè
barbie doll	0.729	0.370	0.330	poupe barbi
bard	0.470	0.410	0.439	bard
bare	0.333	0.717	0.296	toutouni
bareback	0.500	0.356	0.373	bareback
barefoot	0.445	0.373	0.241	pye atè
barely	0.448	0.183	0.268	apèn
barf	0.340	0.491	0.394	barf
bargain	0.653	0.533	0.670	negosye
bargaining	0.622	0.640	0.642	negosyasyon
barge	0.469	0.388	0.465	chalan
baritone	0.592	0.529	0.500	bariton
barium	0.406	0.353	0.377	baryòm
bark	0.360	0.602	0.395	jape
barkeep	0.480	0.500	0.454	barkeep
barks	0.427	0.694	0.325	jape
barley	0.614	0.212	0.296	lòj
barmaid	0.521	0.472	0.440	sèvant
barman	0.594	0.610	0.400	barman
barn	0.510	0.452	0.425	etab
barnacle	0.408	0.337	0.457	barnacle
barney	0.451	0.378	0.440	barney
barnyard	0.510	0.353	0.336	barnyard
barometer	0.388	0.273	0.545	bawomèt
baron	0.520	0.358	0.709	baron
baroness	0.625	0.453	0.755	baroness
baroque	0.490	0.357	0.418	barok
barrack	0.378	0.500	0.455	kazèn
barracuda	0.333	0.713	0.510	barracuda
barrage	0.388	0.871	0.627	baraj
barred	0.143	0.741	0.535	entèdi
barrel	0.429	0.298	0.474	barik
barren	0.173	0.373	0.221	fè pitit
barricade	0.323	0.667	0.673	barikad
barrier	0.333	0.480	0.562	baryè
barring	0.292	0.670	0.420	anpeche
barrister	0.469	0.570	0.792	avoka
barroom	0.686	0.619	0.470	barroom
barrow	0.479	0.363	0.362	barrow
bartender	0.573	0.698	0.585	barman
barter	0.465	0.559	0.596	trok
base	0.635	0.298	0.553	baz
baseball	0.660	0.760	0.563	bezbòl
baseball bat	0.667	0.567	0.509	baton bezbòl
baseboard	0.396	0.198	0.405	plent
baseless	0.292	0.382	0.375	san fondman
baseline	0.483	0.367	0.509	debaz
baseman	0.604	0.449	0.462	baseman
basement	0.388	0.500	0.268	sousòl
bases	0.569	0.236	0.591	baz
bash	0.385	0.546	0.463	bash
bashful	0.400	0.406	0.217	timid
basic	0.643	0.102	0.395	debaz
basics	0.688	0.311	0.491	de baz yo
basil	0.534	0.274	0.309	Basil
basilica	0.612	0.302	0.639	bazilik
basin	0.552	0.231	0.398	basen
basis	0.602	0.260	0.426	baz
bask	0.760	0.330	0.381	dore
basket	0.458	0.227	0.336	panyen
basketball	0.814	0.764	0.435	baskètbòl
bass	0.427	0.206	0.268	bas
bass guitar	0.738	0.370	0.294	gita bas
basso	0.417	0.420	0.439	bas
bassoon	0.500	0.433	0.310	fagot
bastard	0.094	0.692	0.289	bastard
bastarding	0.104	0.608	0.269	bastarding
bastards	0.082	0.680	0.422	salo
bastion	0.531	0.500	0.596	bastion
bat	0.324	0.409	0.480	baton
batch	0.560	0.357	0.357	pakèt
batching	0.484	0.420	0.518	par
bate	0.429	0.525	0.464	bate
bath	0.725	0.260	0.263	benyen
bathe	0.677	0.294	0.371	benyen
bathhouse	0.602	0.380	0.459	benyen
bathing	0.740	0.276	0.361	benyen
bathrobe	0.531	0.442	0.394	penyen
bathroom	0.561	0.283	0.345	twalèt
bathtub	0.625	0.240	0.318	basen
bathymetry	0.432	0.480	0.509	batimetri
baton	0.272	0.235	0.519	baton
battalion	0.333	0.818	0.795	batayon
batter	0.561	0.245	0.373	baton
battered	0.080	0.790	0.306	bat
battering	0.210	0.798	0.490	bat
battery	0.480	0.425	0.442	batri
battle	0.365	0.945	0.868	batay
battled	0.292	0.794	0.575	batay
battlefield	0.133	0.918	0.781	chan batay
battleground	0.156	0.958	0.812	chan batay
battlements	0.276	0.441	0.530	chanèl
battleship	0.479	0.750	0.726	kwirase
batty	0.375	0.619	0.274	batty
bauble	0.698	0.429	0.255	bouyon
bawdy	0.184	0.823	0.508	dezagreyab
bawl	0.385	0.880	0.561	kriye
bay	0.719	0.365	0.569	bay
bayonet	0.263	0.775	0.561	bayonèt
bayou	0.469	0.431	0.324	bayou
bazaar	0.604	0.340	0.500	bazar
bazooka	0.302	0.824	0.634	bazouka
bday	0.729	0.600	0.415	lajounen
be	0.670	0.240	0.554	dwe
beach	0.885	0.529	0.455	plaj
beaches	0.865	0.500	0.538	plaj
beacon	0.580	0.407	0.537	baliz
bead	0.592	0.388	0.381	chaplèt
beading	0.542	0.320	0.398	pèl
beads	0.673	0.388	0.552	pèl
beady	0.448	0.417	0.443	beady
beagle	0.649	0.470	0.395	beagle
beak	0.375	0.363	0.411	bèk
beaker	0.420	0.410	0.391	bèkè
beam	0.584	0.349	0.382	gwo bout bwa
beaming	0.892	0.654	0.587	rayonnant
bean	0.667	0.269	0.264	pwa
beanbag	0.450	0.380	0.340	sak pwa
beanie	0.500	0.230	0.263	beanie
bear	0.448	0.570	0.475	lous
bearable	0.542	0.375	0.605	siportab
beard	0.490	0.261	0.371	bab
bearded	0.439	0.337	0.391	bab
bearer	0.571	0.547	0.676	pote
bearing	0.571	0.367	0.474	kote yo pote
bearings	0.418	0.490	0.426	bi
bearish	0.521	0.549	0.324	bearish
bearskin	0.333	0.398	0.464	po lous
beast	0.214	0.780	0.732	bèt
beastly	0.146	0.874	0.843	bèt
beat	0.279	0.647	0.492	bat
beaten	0.083	0.846	0.265	bat
beater	0.438	0.545	0.482	batè
beating	0.153	0.833	0.481	bat
beatnik	0.429	0.510	0.382	beatnik
beau	0.612	0.440	0.432	bèl
beautification	0.885	0.575	0.725	anbelisman
beautiful	0.875	0.614	0.648	bèl
beautify	0.898	0.592	0.736	anbeli
beauty	0.842	0.600	0.644	bote
beaver	0.490	0.344	0.393	kastò
bebop	0.482	0.490	0.358	bebop
beck	0.580	0.375	0.418	bèk
beckon	0.663	0.455	0.452	siy
become	0.641	0.583	0.643	vin
bed	0.604	0.173	0.327	kabann
bedding	0.704	0.276	0.377	kabann
bedpan	0.510	0.400	0.362	kabann
bedrock	0.561	0.340	0.598	soubasman
bedroom	0.744	0.296	0.491	chanm
bedside	0.604	0.167	0.375	bò kabann
bedspread	0.551	0.139	0.292	kouvèti kabann
bedtime	0.673	0.314	0.373	lè dòmi
bee	0.520	0.509	0.309	myèl
beef	0.582	0.312	0.492	vyann bèf
beefsteak	0.594	0.391	0.455	vyann bèf
beehive	0.541	0.700	0.422	ruch
beep	0.595	0.541	0.304	bip
beeper	0.438	0.720	0.441	beeper
beer	0.592	0.654	0.500	byè
bees	0.562	0.635	0.412	myèl
beeswax	0.583	0.402	0.375	sire myèl
beetle	0.323	0.356	0.295	skarabe
befall	0.520	0.663	0.585	rive
befitting	0.708	0.333	0.394	konvnab
befriend	0.930	0.624	0.471	fè zanmi
befuddled	0.156	0.714	0.269	boulvèse
beg	0.292	0.608	0.328	sipliye
beggar	0.240	0.402	0.116	mandyan
begging	0.292	0.461	0.202	sipliye
begin	0.677	0.569	0.763	kòmanse
beginner	0.490	0.480	0.387	debutan
beginning	0.816	0.528	0.558	kòmansman
beginnings	0.837	0.527	0.600	kòmansman
begrudge	0.177	0.731	0.377	rankin
begun	0.677	0.500	0.404	kòmanse
behappy	0.875	0.557	0.562	gen kè kontan
behave	0.677	0.363	0.747	konpòte
behavior	0.594	0.442	0.813	konpòtman
behavioral	0.612	0.440	0.708	konpòtman
behemoth	0.583	0.781	0.853	behemoth
behest	0.602	0.350	0.720	mande
behold	0.610	0.284	0.449	gade
beholden	0.296	0.555	0.212	devwe
beholder	0.714	0.491	0.520	gade
beige	0.490	0.222	0.224	bèlj
belated	0.240	0.400	0.214	an reta
belay	0.500	0.472	0.702	sere
belch	0.194	0.562	0.240	rout
belief	0.896	0.375	0.656	kwayans
believable	0.866	0.390	0.676	kredib
believe	0.781	0.370	0.682	kwè
believed	0.500	0.562	0.547	kwè
believer	0.725	0.445	0.564	kwayan
believing	0.870	0.418	0.833	kwè
belittle	0.122	0.417	0.250	minimize
belittled	0.177	0.392	0.226	meprize
bell	0.552	0.510	0.505	klòch
bellboy	0.542	0.363	0.302	klòch
bellhop	0.500	0.287	0.318	klòch
belligerent	0.344	0.680	0.594	belijeran
bellman	0.540	0.250	0.371	klòch
bellow	0.248	0.337	0.212	anba
bellows	0.458	0.515	0.429	bellows
belly	0.510	0.388	0.387	vant
bellybutton	0.531	0.283	0.360	nan vant
bellyful	0.347	0.806	0.519	vant
belong	0.643	0.405	0.569	fè pati
belongings	0.592	0.380	0.750	afè
beloved	0.969	0.613	0.708	mezanmi
belt	0.541	0.322	0.445	sentiwon
beluga	0.510	0.333	0.482	beluga
bemused	0.281	0.490	0.278	egare
bench	0.571	0.289	0.544	ban
bend	0.571	0.324	0.368	pliye
bender	0.490	0.510	0.466	bender
bending	0.448	0.565	0.455	koube
beneath	0.354	0.173	0.233	anba
benedictory	0.677	0.438	0.481	benediktwa
benefactor	0.833	0.578	0.755	byenfektè
beneficial	0.820	0.579	0.703	benefisye
beneficiary	0.776	0.399	0.616	benefisyè
benefit	0.906	0.422	0.806	benefisye
benevolence	0.786	0.340	0.717	byenveyans
benevolent	0.786	0.407	0.651	byenveyan
benign	0.694	0.440	0.509	benign
bent	0.375	0.453	0.298	koube
benzene	0.439	0.459	0.403	benzèn
bequeath	0.743	0.500	0.741	lèg
bequest	0.661	0.398	0.882	legzanp
bereaved	0.104	0.479	0.221	nan lapenn
bereavement	0.265	0.677	0.500	lapenn
bereft	0.229	0.490	0.336	pèdi
beret	0.542	0.240	0.327	beret
bergamot	0.510	0.365	0.339	bergamot
berlin	0.592	0.423	0.571	berlin
berserk	0.398	0.556	0.480	fou
berth	0.295	0.337	0.596	kous
beryllium	0.417	0.412	0.425	beryllium
beseech	0.330	0.441	0.600	sipliye
beset	0.385	0.717	0.317	anvayi
bestdayever	0.760	0.646	0.593	bestdayever
bestfeeling	0.806	0.509	0.625	pi bon santiman
bestfriends	0.934	0.662	0.647	Bon zanmi
bestial	0.260	0.761	0.674	bestial
besties	0.888	0.509	0.614	meyè
bestow	0.656	0.560	0.642	bay
bestseller	0.771	0.643	0.700	bestseller
bet	0.385	0.698	0.432	parye
beta	0.710	0.370	0.439	beta
betray	0.042	0.870	0.536	trayi
betrayal	0.083	0.719	0.418	trayizon
betrayed	0.122	0.769	0.308	trayi
betrothed	0.833	0.630	0.667	fiyanse
betterment	0.898	0.536	0.769	amelyorasyon
betting	0.237	0.804	0.411	parayj
betty	0.542	0.358	0.381	betty
bevel	0.757	0.406	0.454	bizote
beverage	0.635	0.490	0.389	bwason
bevy	0.429	0.460	0.541	bevy
beware	0.151	0.596	0.518	pran prekosyon
bewilder	0.306	0.571	0.289	dezòd
bewildered	0.230	0.630	0.300	sezi
bewilderment	0.312	0.716	0.216	dezòd
bias	0.400	0.370	0.541	patipri
biased	0.271	0.302	0.368	partial
bib	0.385	0.396	0.339	bib
bible	0.719	0.225	0.726	bib
biblical	0.635	0.304	0.712	biblik
bibliography	0.622	0.204	0.528	bibliyografi
bicarbonate	0.479	0.337	0.438	bikabonat
bicentennial	0.541	0.423	0.507	bisantnè
biceps	0.592	0.588	0.602	biceps
bicker	0.143	0.643	0.552	diskisyon
bickering	0.122	0.800	0.536	diskisyon
bicolor	0.580	0.327	0.404	bikolor
bicycle	0.708	0.519	0.425	bisiklèt
bid	0.760	0.530	0.655	òf
bidder	0.465	0.474	0.433	machandè
bidding	0.586	0.644	0.509	òf
bide	0.368	0.407	0.282	bide
biennial	0.531	0.309	0.353	biennyèl
bier	0.497	0.448	0.407	bier
bifurcation	0.385	0.625	0.352	bifurcation
big	0.802	0.588	0.812	gwo
bigamy	0.327	0.696	0.482	bigami
bigday	0.796	0.689	0.596	gwo jou
biggestfear	0.062	0.730	0.480	pi gwo laperèz
biggie	0.531	0.481	0.500	biggie
bighorn	0.480	0.547	0.580	bighorn
bigmouth	0.417	0.577	0.430	gwo bouch
bigot	0.479	0.745	0.517	bigot
bigoted	0.153	0.760	0.462	fanatik
bigotry	0.356	0.737	0.481	fanatik
bike	0.708	0.500	0.333	bisiklèt
biker	0.604	0.710	0.567	motar
bikini	0.730	0.639	0.353	bikini
bilateral	0.633	0.343	0.491	bilateral
bilayer	0.438	0.398	0.388	bikouch
bile	0.157	0.461	0.324	kòlè
bilge	0.316	0.392	0.412	bilge
bilingual	0.735	0.490	0.606	bileng
bill	0.396	0.402	0.535	bòdwo
billboard	0.594	0.317	0.481	tablo afichaj
billet	0.479	0.583	0.500	billet
billiard	0.719	0.616	0.543	biya
billiards	0.643	0.559	0.387	biya
billing	0.406	0.481	0.670	bòdwo
billion	0.719	0.564	0.782	milya dola
billionaire	0.806	0.667	0.923	bilyonè
billy	0.490	0.397	0.375	billy
bimbo	0.396	0.370	0.300	bimbo
bimonthly	0.408	0.298	0.471	bimansyèl
bin	0.422	0.304	0.327	bin
binary	0.490	0.356	0.420	binè
bind	0.398	0.462	0.448	mare
binder	0.438	0.250	0.308	lyan
bindery	0.548	0.388	0.482	lyan
binding	0.438	0.425	0.640	obligatwa
bing	0.573	0.453	0.415	bing
binge	0.304	0.650	0.500	binge
bingo	0.735	0.667	0.429	bengo
binocular	0.531	0.344	0.426	longvi
binoculars	0.490	0.309	0.411	longvi
binomial	0.600	0.406	0.426	binòm
bio	0.612	0.225	0.490	bio
biochemical	0.367	0.481	0.618	byochimik
biochemist	0.471	0.449	0.717	byochimist
biochemistry	0.552	0.531	0.596	byochimik
biogenesis	0.594	0.442	0.697	byogenesis
biographer	0.708	0.427	0.617	byograf
biography	0.698	0.229	0.718	biyografi
biological	0.590	0.410	0.615	byolojik
biologist	0.625	0.453	0.693	byolojis
biology	0.479	0.274	0.546	byoloji
bionic	0.571	0.570	0.788	byonik
biopsy	0.323	0.657	0.481	byopsi
biosphere	0.684	0.351	0.579	byosfè
bipartite	0.365	0.480	0.464	toule de pati
bipolar	0.208	0.685	0.426	bipolè
birch	0.562	0.346	0.382	Birch
bird	0.729	0.357	0.364	zwazo
birdcage	0.480	0.398	0.318	kaj zwazo
birdie	0.594	0.394	0.407	zwazo
birdman	0.490	0.567	0.604	zwazo
birth	0.896	0.655	0.536	nesans
birthday	0.969	0.844	0.575	anivèsè nesans
birthing	0.796	0.877	0.519	akouchman
birthmark	0.630	0.461	0.500	mak nesans
birthplace	0.781	0.290	0.491	kote li fèt
birthright	0.684	0.417	0.714	dwa nesans
bis	0.440	0.420	0.345	bis
biscuit	0.888	0.260	0.231	biskit
bishop	0.594	0.184	0.725	evèk
bison	0.573	0.433	0.557	bizon
bisque	0.693	0.443	0.312	bisk
bistro	0.594	0.472	0.396	bistro
bit	0.427	0.310	0.225	ti jan
bitch	0.276	0.740	0.343	chen
bitchy	0.188	0.700	0.373	chòp
bite	0.219	0.796	0.510	mòde
biter	0.260	0.598	0.500	biter
bitsy	0.510	0.388	0.382	bitsy
bitter	0.218	0.627	0.411	anmè
bitterly	0.194	0.685	0.362	anmè
bitterness	0.115	0.633	0.270	anmè
bittersweet	0.469	0.569	0.474	amèr
bitty	0.469	0.271	0.257	bitty
bitumen	0.375	0.235	0.307	bitumen
biweekly	0.581	0.337	0.455	chak de semèn
biz	0.500	0.473	0.473	biz
bizarre	0.379	0.620	0.392	ra
blab	0.438	0.425	0.353	blab
blabbermouth	0.323	0.640	0.422	blabbermouth
blackberry	0.667	0.413	0.453	rakèt
blackbird	0.520	0.340	0.405	blackbird
blackboard	0.469	0.255	0.287	tablo nwa
blacken	0.208	0.500	0.228	nwasi
blackface	0.302	0.490	0.441	figi nwa
blackjack	0.419	0.679	0.452	blakjak
blacklist	0.133	0.750	0.396	lis nwa
blackmail	0.094	0.802	0.482	chantaj
blackmailer	0.092	0.780	0.472	chantajeur
blackness	0.260	0.480	0.406	nwar
blackout	0.126	0.530	0.349	blakawout
blacksmith	0.480	0.531	0.702	fòjwon
bladder	0.406	0.412	0.330	blad pipi
blade	0.378	0.602	0.594	lam
blame	0.115	0.640	0.309	blame
blameless	0.759	0.196	0.343	san repwòch
bland	0.300	0.226	0.157	afab
blank	0.531	0.229	0.250	vid
blanket	0.740	0.132	0.391	dra
blare	0.439	0.561	0.519	blare
blase	0.420	0.310	0.412	blaze
blasphemous	0.210	0.755	0.491	blasfeme
blasphemy	0.146	0.794	0.406	blasfèm
blast	0.167	0.929	0.777	eksplozyon
blaster	0.459	0.538	0.554	boutfeu
blastoff	0.357	0.865	0.736	eksplozyon
blatant	0.327	0.677	0.675	flagran
blather	0.344	0.481	0.382	blame
blaze	0.698	0.467	0.658	limen
blazer	0.635	0.385	0.417	blazer
blazing	0.594	0.896	0.735	limen
bleach	0.336	0.282	0.337	klowòks
bleak	0.204	0.427	0.272	fèb
bleed	0.041	0.843	0.346	senyen
bleeder	0.260	0.852	0.356	senyen
bleeding	0.135	0.817	0.408	senyen
bleep	0.479	0.667	0.345	bleep
blemish	0.219	0.558	0.272	defo
blemished	0.173	0.469	0.370	defo
blend	0.469	0.452	0.463	melanj
blender	0.602	0.534	0.351	blendè
blending	0.560	0.418	0.637	melanje
bless	0.929	0.269	0.588	beni
blessed	0.910	0.279	0.696	beni
blessing	0.929	0.264	0.800	benediksyon
blessings	0.929	0.361	0.623	benediksyon
bleu	0.460	0.354	0.379	ble
blight	0.271	0.771	0.429	cheche
blighted	0.146	0.615	0.296	blese
blimp	0.600	0.410	0.532	blimp
blinded	0.245	0.471	0.231	avèg
blindfold	0.448	0.684	0.337	je
blindfolded	0.208	0.564	0.209	bouche je yo
blinding	0.304	0.596	0.406	avegleman
blindly	0.439	0.598	0.278	avèg
blindness	0.245	0.480	0.196	avèg
blink	0.552	0.316	0.324	bat je
blip	0.529	0.461	0.418	blip
bliss	0.816	0.500	0.782	benediksyon
blissful	0.885	0.639	0.676	byennere
blister	0.407	0.538	0.402	ti anpoul
blistering	0.344	0.569	0.390	anpoul
blitz	0.417	0.722	0.789	blitz
blizzard	0.375	0.726	0.417	blizzard
bloat	0.229	0.694	0.298	gonfle
bloated	0.167	0.593	0.424	gonfle
blob	0.500	0.376	0.298	tach
block	0.286	0.350	0.402	blòk
blockade	0.380	0.519	0.510	blokaj
blockage	0.250	0.608	0.444	blokaj
blockbuster	0.730	0.676	0.883	sukse
blockhead	0.163	0.333	0.148	blockhead
blog	0.639	0.390	0.432	blog
bloke	0.450	0.479	0.545	bloke
blond	0.590	0.490	0.490	blond
blonde	0.698	0.545	0.412	blond
blood	0.219	0.684	0.585	san
bloodbath	0.060	0.971	0.475	beny san
bloodhound	0.327	0.462	0.538	bloodhound
bloodless	0.292	0.390	0.212	san
bloodline	0.510	0.657	0.604	linyon
bloodshed	0.048	0.942	0.525	san koule
bloodshot	0.188	0.810	0.482	san
bloodstream	0.552	0.530	0.528	san
bloodthirsty	0.052	0.804	0.644	asasen
bloody	0.031	0.910	0.518	san
bloom	0.816	0.453	0.587	fleri
bloomers	0.521	0.587	0.395	fleri
blooming	0.860	0.452	0.593	fleri
blossom	0.792	0.275	0.309	fleri
blot	0.365	0.304	0.223	tach
blotched	0.133	0.562	0.264	blotched
blotter	0.360	0.298	0.280	blotter
blouse	0.580	0.190	0.302	kòsaj
blow	0.316	0.750	0.570	soufle
blower	0.564	0.550	0.536	balèn
blowfish	0.344	0.420	0.389	blowfish
blowing	0.521	0.472	0.434	mouche
blowjob	0.460	0.784	0.387	pip
blown	0.333	0.548	0.412	kònen
blowout	0.398	0.792	0.616	eklate
blowtorch	0.520	0.730	0.510	blowtorch
blubber	0.388	0.260	0.360	grate
bluddy	0.312	0.528	0.442	bluddy
blue	0.646	0.137	0.291	ble
blue spruce	0.559	0.335	0.364	ble Spruce
blueberry	0.656	0.185	0.365	blueberry
bluebird	0.573	0.350	0.450	bluebird
bluegrass	0.573	0.441	0.395	bluegrass
bluejay	0.635	0.520	0.310	bluejay
blueprint	0.490	0.173	0.425	plan
blues	0.469	0.220	0.287	blues
bluff	0.418	0.286	0.377	blof
bluish	0.604	0.245	0.382	ble
blunder	0.135	0.635	0.145	malè
blunt	0.551	0.680	0.925	bouche
blur	0.268	0.471	0.205	flou
blurred	0.320	0.367	0.231	twoub
blurry	0.059	0.385	0.218	twoub
blurt	0.408	0.439	0.441	flou
blush	0.698	0.610	0.445	ront
blushing	0.510	0.789	0.288	ront
boa	0.255	0.569	0.542	boa
boa constrictor	0.198	0.784	0.609	boa constrictor
boar	0.406	0.500	0.351	kochon
board	0.592	0.255	0.385	tablo
board game	0.711	0.490	0.349	jwèt tablo
boarder	0.604	0.440	0.475	pensionnaire
boarding	0.531	0.402	0.534	monte
boardroom	0.555	0.566	0.661	sal konsèy
boards	0.469	0.270	0.524	planch
boardwalk	0.643	0.481	0.549	boardwalk
boast	0.520	0.586	0.569	fè grandizè
boastful	0.490	0.806	0.695	vante
boasting	0.417	0.620	0.602	vante
boat	0.516	0.420	0.554	bato
boathouse	0.592	0.380	0.404	kay bato
boating	0.638	0.613	0.557	bato
boatload	0.365	0.415	0.485	chajman bato
boatman	0.592	0.573	0.562	bato
bobbin	0.429	0.472	0.353	bobin
bobcat	0.562	0.490	0.529	bobcat
bobsled	0.667	0.613	0.325	bobsled
bode	0.344	0.406	0.411	bode
bodega	0.573	0.307	0.398	bodega
bodice	0.390	0.471	0.386	korsaj
bodily	0.594	0.481	0.557	kòporèl
body	0.694	0.461	0.571	kò
bodyguard	0.510	0.710	0.754	gad kò
bog	0.302	0.361	0.365	marè
bogey	0.380	0.519	0.368	bogey
bogeyman	0.388	0.708	0.517	bogeyman
bogus	0.219	0.353	0.144	fos
bohemian	0.622	0.500	0.407	ensousyan
boil	0.417	0.684	0.433	bouyi
boiler	0.561	0.590	0.509	chodyè
boilerplate	0.398	0.519	0.387	chodyèr
boiling	0.302	0.690	0.526	bouyi
boisterous	0.385	0.806	0.565	briyan
bold	0.490	0.271	0.483	fonse
boldness	0.806	0.684	0.814	odas
bollocks	0.448	0.471	0.327	bollocks
bolster	0.708	0.471	0.569	ranfòse
bolt	0.354	0.363	0.426	boulon
bolus	0.426	0.491	0.352	bolus
bomb	0.167	0.912	0.750	bonm
bombard	0.156	0.961	0.777	bonbard
bombardier	0.240	0.863	0.787	bonbadye
bombardment	0.146	0.959	0.742	bonbadman
bombed	0.051	0.851	0.627	bonbade
bomber	0.125	0.837	0.810	bonm
bombers	0.173	0.920	0.787	bonm
bombing	0.167	0.963	0.732	bonbadman
bombshell	0.327	0.868	0.693	bonm
bonanza	0.875	0.410	0.683	bonanza
bonbon	0.865	0.551	0.446	bonbon
bond	0.667	0.519	0.630	kosyon
bondage	0.146	0.705	0.355	esklavaj
bonding	0.594	0.442	0.509	lyezon
bonds	0.740	0.472	0.583	lyezon
bondsman	0.469	0.497	0.675	bondsman
bone	0.337	0.370	0.413	zo
bonehead	0.337	0.521	0.518	bonehead
boner	0.344	0.612	0.393	boner
bones	0.281	0.343	0.358	zo
bonfire	0.480	0.719	0.473	dife
bong	0.333	0.566	0.375	bong
bonkers	0.306	0.847	0.278	bonkers
bonne	0.448	0.395	0.362	bonne
bonnet	0.406	0.509	0.473	bonnet
bonny	0.561	0.404	0.444	bonny
bonsai	0.714	0.235	0.375	bonsai
bonus	0.857	0.620	0.682	bonis
bony	0.445	0.462	0.330	zo
boo	0.153	0.676	0.309	boo
boob	0.694	0.600	0.392	boub
booby	0.396	0.423	0.185	bobo
booger	0.399	0.537	0.427	boug
boogeyman	0.292	0.559	0.567	boogeyman
boogie	0.590	0.543	0.400	bougi
book	0.802	0.210	0.606	Liv
bookcase	0.553	0.221	0.490	etajè liv
bookie	0.344	0.633	0.618	boukmèyker
booking	0.708	0.503	0.583	anrjistreman
bookish	0.604	0.236	0.430	liv
bookkeeper	0.480	0.363	0.468	kontab
