English Word	Valence	Arousal	Dominance	Czech Word
dismay	0.314	0.681	0.459	zděšení
dismayed	0.165	0.735	0.389	konsternovaný
dismemberment	0.104	0.860	0.470	rozdělení
dismiss	0.167	0.541	0.509	zavrhnout
dismissal	0.153	0.723	0.271	propuštění
dismissive	0.188	0.541	0.430	odmítavý
dismount	0.361	0.423	0.391	sesednout
disobedience	0.051	0.868	0.369	neposlušnost
disobedient	0.276	0.706	0.353	neposlušný
disobey	0.143	0.556	0.491	neuposlechnout
disorder	0.115	0.816	0.218	porucha
disordered	0.210	0.714	0.288	neuspořádaný
disorderly	0.188	0.748	0.385	neuspořádaně
disorganized	0.052	0.507	0.184	dezorganizovaný
disorientation	0.163	0.472	0.212	dezorientace
disoriented	0.227	0.643	0.227	dezorientovaný
disown	0.153	0.637	0.368	popřít
disparage	0.092	0.663	0.336	znevažovat
disparaging	0.102	0.626	0.411	znevažující
disparate	0.438	0.500	0.368	nesourodý
disparity	0.208	0.482	0.361	disparita
dispassionate	0.199	0.217	0.218	nezaujatý
dispatch	0.317	0.417	0.555	odeslání
dispatcher	0.365	0.704	0.652	odesílatel
dispel	0.388	0.402	0.411	rozptýlit
dispensary	0.406	0.380	0.606	lékárna
dispensation	0.388	0.462	0.490	dispenzace
dispense	0.561	0.520	0.518	vydávat
dispenser	0.583	0.392	0.470	dávkovač
dispersal	0.388	0.507	0.421	rozptýlení
disperse	0.375	0.569	0.434	rozptýlit
dispersed	0.344	0.490	0.274	rozptýlené
dispersion	0.270	0.604	0.350	disperze
dispirited	0.204	0.280	0.142	deprimovaný
displace	0.424	0.541	0.454	přemístit
displaced	0.281	0.472	0.291	přemístěno
displacement	0.276	0.531	0.481	přemístění
displacency	0.500	0.528	0.642	posunutí
display	0.677	0.325	0.400	Zobrazit
displease	0.021	0.702	0.286	nelibost
displeased	0.135	0.690	0.400	nespokojený
displeasure	0.115	0.559	0.250	nelibost
disposable	0.271	0.439	0.250	jednorázový
disposal	0.135	0.608	0.396	likvidace
dispose	0.548	0.538	0.559	zlikvidovat
disposed	0.688	0.441	0.625	zlikvidován
disposition	0.663	0.542	0.734	dispozice
dispossessed	0.354	0.577	0.331	vyvlastněný
disprove	0.375	0.625	0.613	vyvrátit
dispute	0.219	0.750	0.585	spor
disqualification	0.066	0.677	0.330	diskvalifikace
disqualified	0.129	0.464	0.232	diskvalifikovaný
disqualify	0.208	0.595	0.267	diskvalifikovat
disquieted	0.229	0.850	0.290	znepokojený
disregard	0.177	0.647	0.308	ignorovat
disregarded	0.260	0.458	0.283	ignorován
disrelish	0.375	0.471	0.304	nemít rád
disreputable	0.104	0.688	0.353	pochybný
disrepute	0.208	0.630	0.292	špatná pověst
disrespect	0.062	0.637	0.302	neúcta
disrespectful	0.031	0.694	0.273	neuctivý
disrupt	0.265	0.640	0.349	narušit
disrupting	0.186	0.557	0.339	rušivé
disruption	0.235	0.735	0.436	narušení
disruptive	0.255	0.755	0.575	rušivý
dissatisfaction	0.115	0.663	0.202	nespokojenost
dissatisfied	0.042	0.561	0.291	nespokojený
dissect	0.367	0.750	0.595	pitvat
dissection	0.276	0.632	0.462	pitva
disseminate	0.562	0.608	0.750	šířit
dissemination	0.476	0.551	0.583	šíření
dissension	0.250	0.618	0.414	neshoda
dissent	0.300	0.655	0.407	nesouhlasit
dissenting	0.208	0.552	0.366	nesouhlasný
dissertation	0.312	0.575	0.575	disertační práce
disservice	0.250	0.794	0.480	medvědí služba
dissident	0.350	0.582	0.413	disident
dissimilar	0.276	0.461	0.472	odlišný
dissipate	0.385	0.368	0.355	rozptýlit
dissipated	0.281	0.421	0.231	rozptýlené
dissociation	0.135	0.555	0.471	disociace
dissociative	0.281	0.615	0.397	disociativní
dissolution	0.204	0.464	0.349	rozpuštění
dissolve	0.271	0.490	0.410	rozpustit
dissonance	0.173	0.471	0.336	disonance
dissuade	0.482	0.500	0.350	odradit
distal	0.410	0.401	0.438	distální
distance	0.233	0.317	0.418	vzdálenost
distant	0.229	0.324	0.269	vzdálený
distaste	0.184	0.625	0.370	nechuť
distasteful	0.264	0.676	0.222	odporný
distillate	0.500	0.347	0.382	destilát
distillation	0.396	0.436	0.575	destilace
distilled	0.427	0.573	0.500	destilovaná
distinct	0.542	0.578	0.509	odlišný
distinction	0.584	0.571	0.750	rozdíl
distinctive	0.885	0.520	0.604	rozlišovací
distinguish	0.675	0.471	0.600	rozlišovat
distinguishable	0.635	0.530	0.727	rozlišitelné
distinguished	0.823	0.593	0.759	rozlišoval
distinguishing	0.622	0.363	0.640	rozlišovací
distort	0.100	0.740	0.366	zkreslovat
distorted	0.250	0.521	0.280	zkreslený
distortion	0.299	0.570	0.380	zkreslení
distract	0.241	0.609	0.336	rozptýlit
distracted	0.194	0.392	0.213	roztržitý
distracting	0.445	0.583	0.400	rozptylující
distraction	0.402	0.557	0.390	rozptýlení
distraught	0.115	0.903	0.264	rozrušený
distress	0.073	0.840	0.396	nouze
distressed	0.143	0.771	0.324	utrápený
distressing	0.075	0.750	0.375	znepokojující
distribute	0.643	0.596	0.709	distribuovat
distribution	0.635	0.548	0.788	rozdělení
distributor	0.702	0.447	0.718	distributor
district	0.438	0.327	0.660	okres
distrust	0.060	0.670	0.276	nedůvěra
disturb	0.175	0.760	0.481	rušit
disturbance	0.146	0.907	0.404	rušení
disturbed	0.125	0.870	0.305	narušený
disturbing	0.146	0.792	0.439	rušivý
disuse	0.229	0.229	0.202	nepoužívat
disused	0.250	0.302	0.186	nepoužívané
ditch	0.357	0.364	0.322	příkop
ditto	0.449	0.418	0.411	totéž
ditty	0.470	0.433	0.334	popěvek
diurnal	0.714	0.296	0.443	denní
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	pohovka
dive	0.583	0.531	0.500	potápět se
diver	0.594	0.520	0.564	potápěč
diverge	0.375	0.657	0.520	rozcházet se
divergence	0.429	0.615	0.687	divergence
divergent	0.449	0.660	0.587	divergentní
diverging	0.417	0.613	0.573	rozcházející se
divers	0.583	0.580	0.602	potápěči
diverse	0.562	0.519	0.604	rozmanité
diversified	0.602	0.538	0.549	diverzifikované
diversify	0.656	0.588	0.464	diverzifikovat
diversion	0.740	0.821	0.714	odklon
diversionary	0.551	0.587	0.300	diverzní
diversity	0.806	0.472	0.711	rozmanitost
divert	0.344	0.622	0.407	odklonit
diverting	0.396	0.571	0.537	odklonění
divest	0.365	0.547	0.424	zbavit
divested	0.333	0.449	0.311	prodáno
divestment	0.302	0.509	0.382	odprodej
divide	0.333	0.520	0.417	rozdělit
divided	0.271	0.623	0.391	rozdělený
dividend	0.583	0.491	0.566	dividenda
divination	0.500	0.650	0.545	věštění
divine	0.918	0.571	0.885	božský
divinity	0.896	0.559	0.774	božství
divisible	0.323	0.462	0.411	dělitelný
division	0.370	0.481	0.472	divize
divisor	0.344	0.517	0.455	dělitel
divorce	0.042	0.700	0.385	rozvod
divorcee	0.153	0.610	0.481	rozvedený
divulge	0.531	0.718	0.467	prozradit
divvy	0.351	0.462	0.429	divvy
dizziness	0.229	0.555	0.254	závrať
dizzy	0.199	0.582	0.193	závratě
do	0.670	0.548	0.536	dělat
doable	0.760	0.404	0.675	proveditelné
doc	0.458	0.317	0.392	doc
docile	0.604	0.259	0.264	poslušný
dock	0.490	0.409	0.481	dok
docked	0.281	0.754	0.398	zakotvila
docket	0.505	0.509	0.607	doket
docking	0.354	0.596	0.587	dokování
doctor	0.700	0.531	0.861	doktor
doctorate	0.776	0.479	0.841	doktorát
doctrinal	0.510	0.373	0.673	doktrinální
doctrine	0.500	0.394	0.769	doktrína
document	0.594	0.240	0.667	dokument
documentary	0.622	0.213	0.596	dokumentární
documentation	0.719	0.290	0.667	dokumentace
documents	0.530	0.250	0.587	dokumenty
dodge	0.333	0.760	0.509	vyhnout se
dodger	0.427	0.454	0.490	neplatič
dodging	0.396	0.654	0.382	uhýbání
dodgy	0.281	0.510	0.254	riskantní
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	srna
doer	0.724	0.550	0.728	muž činu
dog	0.704	0.500	0.407	Pes
dogface	0.219	0.470	0.264	psí obličej
dogged	0.255	0.750	0.594	zarputilý
doggy	0.646	0.491	0.404	psí
doghouse	0.438	0.417	0.340	Bouda pro psa
dogma	0.530	0.460	0.719	dogma
dogmatic	0.448	0.520	0.654	dogmatický
dogsick	0.571	0.490	0.377	psí nemoc
doings	0.604	0.491	0.705	činy
doit	0.500	0.519	0.392	Udělej to
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	útlum
dole	0.448	0.402	0.348	dole
doll	0.729	0.321	0.330	panenka
dollar	0.755	0.632	0.694	dolar
dollhouse	0.643	0.245	0.363	domeček pro panenky
dolor	0.167	0.635	0.375	dolor
dolphin	0.776	0.350	0.414	delfín
domain	0.573	0.549	0.828	doména
dome	0.620	0.398	0.509	kupole
domestic	0.729	0.327	0.500	domácí
domesticated	0.635	0.360	0.294	domestikovaný
domestication	0.594	0.390	0.435	domestikace
domicile	0.604	0.292	0.529	bydliště
domiciled	0.542	0.340	0.516	se sídlem
dominance	0.542	0.775	0.839	dominance
dominant	0.406	0.854	0.893	dominantní
dominate	0.439	0.814	0.953	ovládat
dominating	0.427	0.769	0.902	dominující
domination	0.505	0.786	0.959	nadvláda
dominatrix	0.390	0.727	0.709	domina
dominion	0.542	0.704	0.890	panství
domino	0.594	0.510	0.473	domino
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	darovat
donation	0.792	0.398	0.602	sponzorský dar
donkey	0.406	0.367	0.245	osel
donor	0.714	0.490	0.653	dárce
dontlikeyou	0.055	0.500	0.282	nemám tě rád
dontmess	0.396	0.482	0.440	nezmatkovat
dontmesswithme	0.312	0.635	0.440	nebav se se mnou
dontpanic	0.469	0.465	0.425	nepanikařte
dontunderstand	0.219	0.357	0.271	nerozumím
doodle	0.604	0.402	0.376	čmáranice
doom	0.073	0.750	0.442	osud
doomed	0.041	0.755	0.301	odsouzený k záhubě
doomsday	0.125	0.861	0.670	soudný den
door	0.549	0.189	0.421	dveře
doorbell	0.564	0.500	0.307	domovní zvonek
doorknob	0.406	0.553	0.462	klika
doorman	0.570	0.371	0.491	vrátný
doormat	0.458	0.269	0.267	rohožka
doornail	0.459	0.370	0.423	dveřní hřeb
doorstep	0.531	0.274	0.391	prahu
doorway	0.573	0.304	0.496	vchod
dopamine	0.548	0.469	0.426	dopamin
dope	0.295	0.855	0.425	droga
dopey	0.320	0.380	0.365	ošklivý
dork	0.272	0.519	0.361	dork
dorky	0.302	0.480	0.390	dorky
dorm	0.719	0.194	0.327	kolej
dormant	0.385	0.245	0.245	spící
dormitory	0.633	0.204	0.382	ubytovna
dorsal	0.449	0.360	0.445	hřbetní
dosage	0.344	0.450	0.490	dávkování
dose	0.458	0.490	0.427	dávka
dossier	0.357	0.380	0.544	dokumentace
dot	0.434	0.290	0.391	tečka
doting	0.888	0.415	0.426	zbožňování
dotted	0.480	0.347	0.426	tečkovaný
dotty	0.375	0.402	0.393	praštěný
double	0.677	0.378	0.569	dvojnásobek
doubled	0.427	0.536	0.560	zdvojnásobil
doublet	0.420	0.431	0.500	dublet
doubling	0.459	0.452	0.464	zdvojnásobení
doubt	0.395	0.351	0.231	pochybovat
doubtful	0.250	0.465	0.241	pochybný
doubting	0.224	0.560	0.189	pochybovat
doubtless	0.688	0.415	0.689	nepochybně
doubts	0.306	0.448	0.305	pochybnosti
douche	0.490	0.413	0.397	sprcha
douchebags	0.327	0.587	0.366	douchebags
dough	0.588	0.229	0.391	těsto
doughboy	0.365	0.443	0.396	těsta
doughnut	0.663	0.380	0.279	Kobliha
dour	0.360	0.404	0.325	zarputilý
douse	0.365	0.453	0.412	uhasit
dove	0.729	0.235	0.437	holubice
down	0.208	0.330	0.264	dolů
downcast	0.071	0.500	0.222	skleslý
downer	0.120	0.594	0.226	sedativum
downfall	0.200	0.717	0.182	pád
downfield	0.521	0.330	0.380	downfield
downhearted	0.119	0.461	0.255	sklíčený
downhill	0.292	0.573	0.279	sjezd
download	0.602	0.490	0.503	stažení
downpour	0.328	0.602	0.481	liják
downright	0.625	0.454	0.679	přímo
downriver	0.542	0.469	0.279	po proudu řeky
downside	0.190	0.400	0.246	spodní strana
downtime	0.240	0.226	0.324	prostoje
downward	0.188	0.347	0.255	dolů
downy	0.630	0.170	0.255	peřový
dowry	0.604	0.453	0.544	věno
doze	0.592	0.200	0.405	podřimovat
dozen	0.583	0.343	0.425	tucet
drab	0.327	0.300	0.242	jednotvárný
draft	0.438	0.360	0.351	návrh
drafty	0.458	0.500	0.518	vystavený průvanu
drag	0.388	0.606	0.348	táhnout
dragon	0.541	0.821	0.712	drak
dragonfly	0.571	0.373	0.357	vážka
drain	0.277	0.470	0.222	vypustit
drainage	0.219	0.354	0.307	odvodnění
drained	0.310	0.441	0.352	vyčerpaný
draining	0.337	0.396	0.304	odvodnění
drainpipe	0.417	0.413	0.277	okapová roura
drake	0.467	0.411	0.452	kačer
drama	0.430	0.755	0.481	drama
dramaqueen	0.337	0.682	0.482	královna dramatu
dramatic	0.367	0.780	0.443	dramatický
drape	0.417	0.439	0.404	přikrýt
drapery	0.479	0.220	0.223	textil
drastic	0.194	0.839	0.657	drastický
drat	0.302	0.516	0.409	drat
draught	0.465	0.245	0.316	návrh
draw	0.704	0.449	0.481	kreslit
drawback	0.302	0.422	0.148	nevýhoda
drawbridge	0.551	0.557	0.438	padací most
drawer	0.429	0.196	0.292	šuplík
drawers	0.539	0.260	0.236	šuplíky
drawing	0.698	0.216	0.333	výkres
dread	0.153	0.792	0.368	strach
dreaded	0.122	0.706	0.460	obávaný
dreadful	0.092	0.786	0.348	strašlivý
dreadfully	0.246	0.806	0.306	děsivě
dreading	0.125	0.760	0.377	děsit se
dream	0.844	0.157	0.328	sen
dreamboat	0.776	0.491	0.458	loď snů
dreamer	0.820	0.394	0.455	snílek
dreaming	0.854	0.320	0.336	snění
dreamland	0.844	0.471	0.566	zasněnost
dreams	0.865	0.415	0.530	sny
dreamt	0.812	0.380	0.518	snil
dreamy	0.837	0.350	0.500	zasněný
dreary	0.260	0.490	0.324	ponurý
dredge	0.427	0.445	0.444	hloubit
drenched	0.302	0.361	0.388	promočený
dress	0.760	0.300	0.345	šaty
dresser	0.604	0.398	0.473	prádelník
dressmaker	0.698	0.460	0.483	švadlena
dressy	0.800	0.570	0.696	elegantní
dribble	0.417	0.551	0.465	driblovat
dried	0.427	0.260	0.385	sušené
drier	0.306	0.347	0.392	sušší
drift	0.316	0.520	0.375	drift
drifted	0.312	0.542	0.310	driftoval
drifter	0.449	0.512	0.391	tulák
driftwood	0.321	0.283	0.439	naplavené dříví
drill	0.250	0.602	0.573	vrtat
drink	0.650	0.552	0.474	napít se
drinker	0.365	0.735	0.441	pijan
drinking	0.562	0.459	0.317	pití
drinks	0.729	0.656	0.412	nápoje
drip	0.392	0.193	0.175	odkapávat
dripping	0.302	0.257	0.267	kapající
drive	0.625	0.689	0.713	řídit
drivel	0.398	0.469	0.463	blábol
driver	0.553	0.538	0.637	Řidič
driveway	0.612	0.392	0.689	příjezdová cesta
drizzle	0.521	0.353	0.319	mrholení
droll	0.459	0.573	0.422	komický
drone	0.429	0.686	0.596	trubec
drones	0.398	0.577	0.588	drony
drool	0.385	0.398	0.204	slintat
drooping	0.245	0.558	0.353	visící
droopy	0.438	0.350	0.297	svěšený
drop	0.479	0.321	0.291	pokles
droplet	0.625	0.208	0.194	kapička
dropout	0.253	0.550	0.481	odpadnutí
dropper	0.333	0.216	0.236	kapátko
drought	0.133	0.353	0.267	sucho
drove	0.541	0.528	0.623	řídil
drown	0.071	0.860	0.270	utopit
drowsiness	0.260	0.194	0.303	ospalost
drowsy	0.375	0.180	0.240	ospalý
drudgery	0.094	0.522	0.241	dřina
drug	0.214	0.790	0.453	lék
drug dealing	0.042	0.843	0.500	obchod s drogami
drugged	0.102	0.750	0.321	omámený
druggist	0.240	0.561	0.417	lékárník
drugs	0.167	0.750	0.368	drogy
drugstore	0.490	0.343	0.518	lékárna
druid	0.517	0.445	0.481	druid
drum	0.615	0.679	0.339	buben
drummer	0.646	0.700	0.564	bubeník
drumming	0.594	0.750	0.426	bubnování
drunk	0.194	0.800	0.250	opilý
drunk driving	0.073	0.900	0.306	řízení pod vlivem alkoholu
drunkard	0.240	0.873	0.250	opilec
drunken	0.155	0.849	0.250	opilý
drunkenness	0.214	0.774	0.336	opilost
dry	0.363	0.169	0.311	suchý
dryer	0.479	0.343	0.277	sušička
dryness	0.292	0.296	0.263	suchost
dual	0.573	0.330	0.384	dvojí
dualism	0.490	0.406	0.536	dualismus
duality	0.438	0.520	0.503	dualita
dub	0.510	0.480	0.387	dabovat
dubious	0.414	0.480	0.198	pochybný
duchess	0.656	0.548	0.711	vévodkyně
duck	0.594	0.337	0.236	kachna
ducking	0.344	0.573	0.294	přikrčení
duckling	0.602	0.353	0.263	kachňátko
ducky	0.520	0.430	0.368	drahoušek
duct	0.449	0.435	0.430	potrubí
ductile	0.508	0.420	0.433	tvárný
dud	0.167	0.455	0.246	blázen
dude	0.809	0.356	0.615	kámo
duds	0.347	0.311	0.339	hlupáci
due	0.562	0.340	0.467	způsoben
duel	0.271	0.696	0.589	souboj
dues	0.367	0.461	0.288	poplatky
duet	0.694	0.693	0.527	duet
duffel	0.500	0.400	0.384	duffel
dugout	0.490	0.370	0.463	zákop
duh	0.357	0.461	0.364	fuj
duke	0.667	0.440	0.669	vévoda
dull	0.194	0.120	0.185	nudný
dullard	0.450	0.480	0.365	tupec
dumb	0.188	0.330	0.151	němý
dumbasses	0.316	0.590	0.363	blbci
dumbbell	0.302	0.469	0.364	činka
dumbbitch	0.281	0.636	0.393	děvka
dumfound	0.271	0.551	0.295	tupý
dumfounder	0.406	0.481	0.400	dumfounder
dummy	0.440	0.144	0.250	figurína
dump	0.345	0.500	0.370	skládka
dumpling	0.580	0.321	0.360	knedlík
dumps	0.302	0.583	0.365	skládky
dumpster	0.229	0.418	0.101	popelnice
dun	0.458	0.431	0.339	šedohnědé
dunce	0.188	0.327	0.146	hlupák
dune	0.459	0.173	0.414	duna
dung	0.104	0.549	0.149	hnůj
dungeon	0.276	0.608	0.440	žalář
dunk	0.406	0.333	0.475	namočit
duo	0.510	0.500	0.447	duo
dupe	0.184	0.760	0.327	napálit
duplex	0.592	0.452	0.467	duplexní
duplicate	0.521	0.490	0.338	duplikát
duplication	0.480	0.564	0.577	zdvojení
duplicity	0.406	0.500	0.578	duplicita
durability	0.750	0.398	0.813	trvanlivost
durable	0.740	0.294	0.688	odolný
duration	0.656	0.370	0.536	doba trvání
duress	0.302	0.569	0.612	nátlak
dusk	0.532	0.276	0.519	soumrak
dusky	0.229	0.528	0.324	šerý
dust	0.344	0.246	0.241	prach
duster	0.408	0.265	0.296	prachovka
dustpan	0.609	0.466	0.371	lopatka na smetí
dusty	0.406	0.294	0.255	zaprášený
dutiful	0.724	0.245	0.585	svědomitý
duty	0.583	0.579	0.651	povinnost
dwarf	0.370	0.340	0.288	trpaslík
dwarfed	0.365	0.265	0.293	zakrslý
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	přebývat
dweller	0.615	0.304	0.500	obyvatel
dwelling	0.765	0.330	0.481	obydlí
dye	0.479	0.314	0.371	barvivo
dying	0.040	0.664	0.422	umírající
dyke	0.438	0.396	0.566	hráz
dynamic	0.724	0.750	0.836	dynamický
dynamical	0.786	0.730	0.827	dynamický
dynamics	0.745	0.682	0.774	dynamika
dynamite	0.344	0.860	0.783	dynamit
dynamo	0.531	0.650	0.593	dynamo
dynasty	0.725	0.588	0.936	dynastie
dysentery	0.260	0.528	0.345	úplavice
dysfunction	0.156	0.410	0.386	dysfunkce
dysfunctional	0.125	0.558	0.307	nefunkční
dyspepsia	0.212	0.470	0.460	dyspepsie
eager	0.521	0.812	0.306	dychtivý
eagerness	0.406	0.621	0.443	dychtivost
eagle	0.604	0.594	0.679	orel
ear	0.469	0.216	0.231	ucho
earful	0.533	0.462	0.443	ušatý
earl	0.582	0.461	0.794	hrabě
earlier	0.562	0.352	0.339	dříve
early	0.633	0.373	0.426	brzy
earn	0.865	0.769	0.817	vydělat
earnest	0.653	0.380	0.670	seriózní
earnestly	0.847	0.490	0.717	vážně
earnestness	0.812	0.373	0.615	serióznost
earnings	0.938	0.650	0.875	zisk
earpiece	0.583	0.286	0.452	sluchátko
earring	0.583	0.520	0.500	náušnice
earrings	0.676	0.346	0.517	náušnice
earshot	0.552	0.332	0.408	doslech
earth	0.750	0.225	0.614	Země
earthenware	0.552	0.210	0.320	kamenina
earthling	0.531	0.412	0.570	pozemšťan
earthly	0.625	0.318	0.518	pozemský
earthquake	0.073	0.930	0.812	zemětřesení
earthy	0.375	0.413	0.404	zemitý
ease	0.796	0.385	0.491	ulehčit
easel	0.694	0.340	0.527	stojan
easement	0.479	0.345	0.302	ulehčení
easily	0.885	0.279	0.453	snadno
east	0.510	0.250	0.317	východní
eastbound	0.541	0.408	0.402	na východ
eastern	0.521	0.420	0.480	východní
easy	0.865	0.194	0.373	snadný
easygoing	0.823	0.276	0.538	ležérní
eat	0.731	0.500	0.464	jíst
eater	0.459	0.337	0.510	jedlík
eating	0.847	0.491	0.615	jíst
eatingdisorders	0.365	0.608	0.508	poruchy příjmu potravy
eavesdrop	0.375	0.710	0.368	odposlouchávat
eavesdropping	0.490	0.380	0.441	odposlouchávání
ebb	0.354	0.451	0.404	odliv
ebony	0.490	0.317	0.400	eben
ebullient	0.659	0.856	0.746	bujný
eccentric	0.531	0.806	0.721	výstřední
eccentricity	0.408	0.735	0.745	excentricita
ecclesiastical	0.673	0.270	0.660	církevní
echelon	0.490	0.404	0.425	ešalon
echinacea	0.592	0.418	0.454	echinacea
echo	0.573	0.373	0.345	echo
eclectic	0.646	0.542	0.508	eklektický
eclipse	0.541	0.469	0.616	zatmění
ecliptic	0.531	0.520	0.556	ekliptický
ecological	0.885	0.290	0.607	ekologický
economic	0.561	0.408	0.639	hospodářský
economical	0.667	0.564	0.673	hospodárný
economics	0.625	0.481	0.632	ekonomika
economy	0.583	0.434	0.771	ekonomika
ecosystem	0.729	0.259	0.633	ekosystému
ecstasy	0.796	0.922	0.655	extáze
ecstatic	0.875	0.769	0.742	extatický
ecumenical	0.561	0.450	0.547	ekumenický
eddy	0.500	0.394	0.350	vír
edema	0.250	0.519	0.318	otok
edge	0.439	0.470	0.468	okraj
edging	0.479	0.394	0.370	obruba
edgy	0.281	0.895	0.306	podrážděný
edible	0.750	0.425	0.497	jedlý
edict	0.316	0.547	0.560	edikt
edification	0.625	0.481	0.697	poučení
edifice	0.551	0.403	0.610	budova
edit	0.510	0.410	0.544	Upravit
editing	0.604	0.404	0.493	editace
edition	0.542	0.455	0.564	edice
editor	0.772	0.431	0.673	editor
editorial	0.583	0.330	0.570	redakční
educate	0.760	0.380	0.728	vzdělávat
educated	0.816	0.297	0.625	vzdělaný
education	0.896	0.275	0.840	vzdělání
educational	0.745	0.457	0.764	vzdělávací
educator	0.827	0.317	0.845	vychovatel
eeeek	0.367	0.540	0.349	eeeek
eeek	0.333	0.490	0.302	eeek
eek	0.292	0.529	0.343	eek
eel	0.292	0.564	0.487	úhoř
eerie	0.265	0.771	0.442	děsivý
effect	0.570	0.518	0.608	účinek
effective	0.844	0.632	0.891	efektivní
effectiveness	0.640	0.654	0.812	účinnost
effects	0.470	0.578	0.379	efekty
effectual	0.776	0.559	0.820	účinný
effectually	0.724	0.500	0.594	účinně
effectuate	0.510	0.602	0.679	uskutečnit
effeminate	0.337	0.619	0.291	zženštilý
efficacious	0.823	0.698	0.845	účinný
efficacy	0.802	0.490	0.906	účinnost
efficiency	0.802	0.509	0.892	účinnost
efficient	0.959	0.604	0.830	účinný
effigy	0.510	0.440	0.401	podobizna
effort	0.698	0.778	0.858	snaha
effortless	0.626	0.090	0.352	bez námahy
effusion	0.344	0.730	0.472	výpotek
effyou	0.354	0.529	0.490	effyy
egg	0.684	0.241	0.293	vejce
egghead	0.316	0.492	0.284	vaječná hlava
eggnog	0.635	0.360	0.259	vaječný koňak
eggplant	0.592	0.152	0.323	lilek
eggshell	0.408	0.269	0.212	vaječná skořápka
ego	0.328	0.576	0.593	ego
egomaniac	0.133	0.708	0.596	egomaniak
egotistical	0.156	0.667	0.363	egoistický
egregious	0.150	0.716	0.442	křiklavý
egress	0.490	0.429	0.287	výtok
eight	0.540	0.199	0.315	osm
eighteen	0.523	0.340	0.404	osmnáct
eighth	0.531	0.226	0.380	osmý
eighty	0.500	0.300	0.453	osmdesát
ejaculate	0.604	0.896	0.604	ejakulovat
ejaculation	0.615	0.893	0.547	ejakulace
eject	0.434	0.656	0.559	vysunout
ejection	0.188	0.836	0.554	vyhození
elaborate	0.561	0.367	0.680	propracovaný
elaboration	0.708	0.500	0.598	zpracování
elan	0.562	0.367	0.500	elán
elapse	0.514	0.440	0.455	uplynout
elapsed	0.583	0.451	0.493	Uplynulý
elastic	0.656	0.518	0.385	elastický
elasticity	0.635	0.452	0.582	pružnost
elated	0.792	0.960	0.725	povznesený
elation	0.740	0.853	0.623	euforie
elbow	0.448	0.133	0.254	loket
eld	0.471	0.292	0.451	eld
elder	0.448	0.153	0.462	starší
elders	0.602	0.260	0.441	starší
eldest	0.625	0.471	0.741	nejstarší
elect	0.667	0.554	0.661	zvolit
election	0.625	0.519	0.651	volby
elective	0.612	0.380	0.623	volitelný
elector	0.479	0.520	0.766	volič
electoral	0.490	0.631	0.602	volební
electorate	0.560	0.380	0.696	voliči
electric	0.458	0.708	0.512	elektrický
electric slide	0.542	0.660	0.536	elektrická skluzavka
electrical	0.531	0.620	0.688	elektrický
electrician	0.449	0.590	0.620	elektrikář
electricity	0.698	0.810	0.733	elektřina
electrify	0.520	0.769	0.737	elektrifikovat
electrocute	0.271	0.731	0.555	elektrickým proudem
electrocution	0.177	0.844	0.692	zabití elektrickým proudem
electromagnetic	0.531	0.632	0.683	elektromagnetické
electron	0.520	0.455	0.560	elektron
electronic	0.571	0.490	0.704	elektronický
electronics	0.708	0.545	0.574	elektronika
elegance	0.918	0.396	0.824	elegance
elegant	0.865	0.500	0.685	elegantní
element	0.531	0.259	0.481	živel
elemental	0.627	0.306	0.711	elementární
elementary	0.594	0.286	0.686	základní
elements	0.510	0.312	0.462	Prvky
elephant	0.531	0.510	0.615	slon
elevate	0.812	0.500	0.804	povýšit
elevated	0.704	0.594	0.620	zvýšené
elevation	0.760	0.759	0.711	nadmořská výška
elevator	0.562	0.604	0.676	výtah
eleven	0.449	0.250	0.430	jedenáct
eleventh	0.594	0.329	0.357	jedenáctý
elf	0.460	0.457	0.315	Elf
elicit	0.406	0.594	0.658	vyvolat
eligible	0.750	0.400	0.518	vhodný
eliminate	0.265	0.670	0.324	odstranit
elimination	0.052	0.667	0.431	odstranění
elite	0.688	0.704	0.737	elita
elitist	0.500	0.606	0.656	elitářský
elixir	0.708	0.587	0.604	elixír
elk	0.439	0.337	0.340	los
ell	0.469	0.418	0.373	ell
ellipse	0.531	0.410	0.479	elipsa
ellipsis	0.653	0.358	0.314	elipsa
ellipsoid	0.500	0.440	0.419	elipsoid
elliptic	0.500	0.431	0.528	eliptický
elliptical	0.338	0.385	0.490	eliptický
elm	0.510	0.345	0.321	jilm
elongate	0.583	0.385	0.540	prodloužit
elongation	0.561	0.500	0.500	prodloužení
elope	0.396	0.694	0.528	uprchnout
eloquence	0.729	0.490	0.804	výmluvnost
eloquent	0.870	0.680	0.741	výmluvný
elucidate	0.583	0.509	0.518	objasnit
elucidation	0.650	0.574	0.586	objasnění
elude	0.438	0.521	0.464	uniknout
elusive	0.229	0.615	0.466	nepolapitelný
emaciated	0.103	0.541	0.151	vyzáblý
email	0.698	0.230	0.456	e-mailem
