English Word	Valence	Arousal	Dominance	Irish Word
drinking	0.562	0.459	0.317	ag ól
drinks	0.729	0.656	0.412	deochanna
drip	0.392	0.193	0.175	drip
dripping	0.302	0.257	0.267	sileadh
drive	0.625	0.689	0.713	tiomáint
drivel	0.398	0.469	0.463	tiomántán
driver	0.553	0.538	0.637	tiománaí
driveway	0.612	0.392	0.689	cabhsa
drizzle	0.521	0.353	0.319	Ceobhrán
droll	0.459	0.573	0.422	drogall
drone	0.429	0.686	0.596	drone
drones	0.398	0.577	0.588	drones
drool	0.385	0.398	0.204	drool
drooping	0.245	0.558	0.353	drooping
droopy	0.438	0.350	0.297	droopy
drop	0.479	0.321	0.291	titim
droplet	0.625	0.208	0.194	braoinín
dropout	0.253	0.550	0.481	titim amach
dropper	0.333	0.216	0.236	dropper
drought	0.133	0.353	0.267	triomach
drove	0.541	0.528	0.623	thiomáin
drown	0.071	0.860	0.270	báthadh
drowsiness	0.260	0.194	0.303	codlatacht
drowsy	0.375	0.180	0.240	codlatach
drudgery	0.094	0.522	0.241	drudgery
drug	0.214	0.790	0.453	druga
drug dealing	0.042	0.843	0.500	mangaireacht drugaí
drugged	0.102	0.750	0.321	drugged
druggist	0.240	0.561	0.417	drugadóir
drugs	0.167	0.750	0.368	drugaí
drugstore	0.490	0.343	0.518	siopa drugaí
druid	0.517	0.445	0.481	druid
drum	0.615	0.679	0.339	druma
drummer	0.646	0.700	0.564	drumadóir
drumming	0.594	0.750	0.426	drumadóireacht
drunk	0.194	0.800	0.250	ar meisce
drunk driving	0.073	0.900	0.306	tiomáint ar meisce
drunkard	0.240	0.873	0.250	meisceoir
drunken	0.155	0.849	0.250	meisce
drunkenness	0.214	0.774	0.336	meisce
dry	0.363	0.169	0.311	tirim
dryer	0.479	0.343	0.277	triomadóir
dryness	0.292	0.296	0.263	triomacht
dual	0.573	0.330	0.384	déach
dualism	0.490	0.406	0.536	dualachas
duality	0.438	0.520	0.503	duals
dub	0.510	0.480	0.387	dub
dubious	0.414	0.480	0.198	amhrasach
duchess	0.656	0.548	0.711	ban-dia
duck	0.594	0.337	0.236	lacha
ducking	0.344	0.573	0.294	lachain
duckling	0.602	0.353	0.263	lachan
ducky	0.520	0.430	0.368	lacha
duct	0.449	0.435	0.430	ducht
ductile	0.508	0.420	0.433	insínte
dud	0.167	0.455	0.246	dud
dude	0.809	0.356	0.615	gaige
duds	0.347	0.311	0.339	duds
due	0.562	0.340	0.467	dlite
duel	0.271	0.696	0.589	duel
dues	0.367	0.461	0.288	dleachtanna
duet	0.694	0.693	0.527	díséad
duffel	0.500	0.400	0.384	duffel
dugout	0.490	0.370	0.463	dugout
duh	0.357	0.461	0.364	duh
duke	0.667	0.440	0.669	diúc
dull	0.194	0.120	0.185	maol
dullard	0.450	0.480	0.365	dullard
dumb	0.188	0.330	0.151	balbh
dumbasses	0.316	0.590	0.363	dumbass
dumbbell	0.302	0.469	0.364	dumbbell
dumbbitch	0.281	0.636	0.393	dumbitch
dumfound	0.271	0.551	0.295	dumha
dumfounder	0.406	0.481	0.400	dumfounder
dummy	0.440	0.144	0.250	caochadán
dump	0.345	0.500	0.370	Dumpáil
dumpling	0.580	0.321	0.360	dumpling
dumps	0.302	0.583	0.365	dumpaí
dumpster	0.229	0.418	0.101	dumpaire
dun	0.458	0.431	0.339	dun
dunce	0.188	0.327	0.146	dunce
dune	0.459	0.173	0.414	dumhcha
dung	0.104	0.549	0.149	aoiligh
dungeon	0.276	0.608	0.440	dungeon
dunk	0.406	0.333	0.475	dunach
duo	0.510	0.500	0.447	duo
dupe	0.184	0.760	0.327	dupe
duplex	0.592	0.452	0.467	déphléacsacha
duplicate	0.521	0.490	0.338	dúbailt
duplication	0.480	0.564	0.577	dúbailt
duplicity	0.406	0.500	0.578	dúbailt
durability	0.750	0.398	0.813	marthanacht
durable	0.740	0.294	0.688	durable
duration	0.656	0.370	0.536	ré
duress	0.302	0.569	0.612	éigeantas
dusk	0.532	0.276	0.519	duibhe
dusky	0.229	0.528	0.324	dusky
dust	0.344	0.246	0.241	deannach
duster	0.408	0.265	0.296	duster
dustpan	0.609	0.466	0.371	deannach
dusty	0.406	0.294	0.255	deannach
dutiful	0.724	0.245	0.585	dualgasach
duty	0.583	0.579	0.651	dualgas
dwarf	0.370	0.340	0.288	damh
dwarfed	0.365	0.265	0.293	dwarfed
dweeb	0.354	0.446	0.327	duain
dwell	0.698	0.245	0.611	áitigh
dweller	0.615	0.304	0.500	áititheoir
dwelling	0.765	0.330	0.481	teaghais
dye	0.479	0.314	0.371	lí
dying	0.040	0.664	0.422	ag fáil bháis
dyke	0.438	0.396	0.566	claí
dynamic	0.724	0.750	0.836	dinimiciúil
dynamical	0.786	0.730	0.827	dinimiciúil
dynamics	0.745	0.682	0.774	dinimic
dynamite	0.344	0.860	0.783	dynamite
dynamo	0.531	0.650	0.593	dinimic
dynasty	0.725	0.588	0.936	dynasty
dysentery	0.260	0.528	0.345	dysentery
dysfunction	0.156	0.410	0.386	mífheidhm
dysfunctional	0.125	0.558	0.307	mífheidhmiúil
dyspepsia	0.212	0.470	0.460	dyspepsia
eager	0.521	0.812	0.306	fonn
eagerness	0.406	0.621	0.443	fonn
eagle	0.604	0.594	0.679	iolair
ear	0.469	0.216	0.231	cluas
earful	0.533	0.462	0.443	cluas
earl	0.582	0.461	0.794	iarla
earlier	0.562	0.352	0.339	níos luaithe
early	0.633	0.373	0.426	go luath
earn	0.865	0.769	0.817	thuilleamh
earnest	0.653	0.380	0.670	dáiríre
earnestly	0.847	0.490	0.717	go dian
earnestness	0.812	0.373	0.615	earnest
earnings	0.938	0.650	0.875	tuilleamh
earpiece	0.583	0.286	0.452	cluas
earring	0.583	0.520	0.500	cluaise
earrings	0.676	0.346	0.517	cluaise
earshot	0.552	0.332	0.408	cluas
earth	0.750	0.225	0.614	talamh
earthenware	0.552	0.210	0.320	earraí cré
earthling	0.531	0.412	0.570	talmhan
earthly	0.625	0.318	0.518	talmhaidh
earthquake	0.073	0.930	0.812	crith talún
earthy	0.375	0.413	0.404	talmhaidh
ease	0.796	0.385	0.491	gan stró
easel	0.694	0.340	0.527	easail
easement	0.479	0.345	0.302	éasúint
easily	0.885	0.279	0.453	go héasca
east	0.510	0.250	0.317	thoir
eastbound	0.541	0.408	0.402	soir
eastern	0.521	0.420	0.480	thoir
easy	0.865	0.194	0.373	éasca
easygoing	0.823	0.276	0.538	éascaíocht
eat	0.731	0.500	0.464	ithe
eater	0.459	0.337	0.510	eatora
eating	0.847	0.491	0.615	ag ithe
eatingdisorders	0.365	0.608	0.508	neamhoird itheacháin
eavesdrop	0.375	0.710	0.368	eavesdrop
eavesdropping	0.490	0.380	0.441	eavesdropping
ebb	0.354	0.451	0.404	eab
ebony	0.490	0.317	0.400	ebony
ebullient	0.659	0.856	0.746	olc
eccentric	0.531	0.806	0.721	eicint
eccentricity	0.408	0.735	0.745	ecentricity
ecclesiastical	0.673	0.270	0.660	eaglasta
echelon	0.490	0.404	0.425	echelon
echinacea	0.592	0.418	0.454	echinacea
echo	0.573	0.373	0.345	macalla
eclectic	0.646	0.542	0.508	eicléictiúil
eclipse	0.541	0.469	0.616	eclipse
ecliptic	0.531	0.520	0.556	éiclipteach
ecological	0.885	0.290	0.607	éiceolaíoch
economic	0.561	0.408	0.639	eacnamaíoch
economical	0.667	0.564	0.673	eacnamaíoch
economics	0.625	0.481	0.632	eacnamaíocht
economy	0.583	0.434	0.771	Geilleagar
ecosystem	0.729	0.259	0.633	éiceachóras
ecstasy	0.796	0.922	0.655	eacstais
ecstatic	0.875	0.769	0.742	eicstatach
ecumenical	0.561	0.450	0.547	éacúiméineach
eddy	0.500	0.394	0.350	eadra
edema	0.250	0.519	0.318	éidéime
edge	0.439	0.470	0.468	imeall
edging	0.479	0.394	0.370	imeall
edgy	0.281	0.895	0.306	corrach
edible	0.750	0.425	0.497	inite
edict	0.316	0.547	0.560	eagar
edification	0.625	0.481	0.697	eagna
edifice	0.551	0.403	0.610	foirgneamh
edit	0.510	0.410	0.544	eagar
editing	0.604	0.404	0.493	eagarthóireachta
edition	0.542	0.455	0.564	eagrán
editor	0.772	0.431	0.673	eagarthóir
editorial	0.583	0.330	0.570	eagarthóireachta
educate	0.760	0.380	0.728	oideachas
educated	0.816	0.297	0.625	oideachas
education	0.896	0.275	0.840	oideachas
educational	0.745	0.457	0.764	oideachais
educator	0.827	0.317	0.845	oideachasóir
eeeek	0.367	0.540	0.349	eeeek
eeek	0.333	0.490	0.302	easc
eek	0.292	0.529	0.343	eek
eel	0.292	0.564	0.487	eascann
eerie	0.265	0.771	0.442	iora
effect	0.570	0.518	0.608	éifeacht
effective	0.844	0.632	0.891	éifeachtach
effectiveness	0.640	0.654	0.812	éifeachtacht
effects	0.470	0.578	0.379	éifeachtaí
effectual	0.776	0.559	0.820	éifeachtúil
effectually	0.724	0.500	0.594	go héifeachtúil
effectuate	0.510	0.602	0.679	éifeacht
effeminate	0.337	0.619	0.291	éifeachtach
efficacious	0.823	0.698	0.845	éifeachtach
efficacy	0.802	0.490	0.906	éifeachtúlacht
efficiency	0.802	0.509	0.892	éifeachtúlacht
efficient	0.959	0.604	0.830	éifeachtach
effigy	0.510	0.440	0.401	dealbha
effort	0.698	0.778	0.858	iarracht
effortless	0.626	0.090	0.352	gan stró
effusion	0.344	0.730	0.472	eisileadh
effyou	0.354	0.529	0.490	éifeach
egg	0.684	0.241	0.293	ubh
egghead	0.316	0.492	0.284	ceann ubh
eggnog	0.635	0.360	0.259	ubhóg
eggplant	0.592	0.152	0.323	ubhthoradh
eggshell	0.408	0.269	0.212	sliogán uibhe
ego	0.328	0.576	0.593	ego
egomaniac	0.133	0.708	0.596	egomaniac
egotistical	0.156	0.667	0.363	egotisticeach
egregious	0.150	0.716	0.442	uafásach
egress	0.490	0.429	0.287	bealach amach
eight	0.540	0.199	0.315	ocht
eighteen	0.523	0.340	0.404	ocht déag
eighth	0.531	0.226	0.380	ochtú
eighty	0.500	0.300	0.453	ochtó
ejaculate	0.604	0.896	0.604	ejaculate
ejaculation	0.615	0.893	0.547	ejaculation
eject	0.434	0.656	0.559	scaoil amach
ejection	0.188	0.836	0.554	díbeartha
elaborate	0.561	0.367	0.680	ilchasta
elaboration	0.708	0.500	0.598	mionsaothrú
elan	0.562	0.367	0.500	elan
elapse	0.514	0.440	0.455	imigh
elapsed	0.583	0.451	0.493	imithe
elastic	0.656	0.518	0.385	leaisteach
elasticity	0.635	0.452	0.582	leaisteachas
elated	0.792	0.960	0.725	aoibhinn
elation	0.740	0.853	0.623	suairc
elbow	0.448	0.133	0.254	uillinn
eld	0.471	0.292	0.451	áird
elder	0.448	0.153	0.462	sine
elders	0.602	0.260	0.441	sinsir
eldest	0.625	0.471	0.741	is sine
elect	0.667	0.554	0.661	togh
election	0.625	0.519	0.651	toghchán
elective	0.612	0.380	0.623	roghnach
elector	0.479	0.520	0.766	toghthóir
electoral	0.490	0.631	0.602	toghcháin
electorate	0.560	0.380	0.696	toghthóirí
electric	0.458	0.708	0.512	Leictreach
electric slide	0.542	0.660	0.536	sleamhnán leictreach
electrical	0.531	0.620	0.688	leictreach
electrician	0.449	0.590	0.620	leictreoir
electricity	0.698	0.810	0.733	leictreachas
electrify	0.520	0.769	0.737	leictriú
electrocute	0.271	0.731	0.555	electrocute
electrocution	0.177	0.844	0.692	leictrealú
electromagnetic	0.531	0.632	0.683	leictreamaighnéadach
electron	0.520	0.455	0.560	leictreon
electronic	0.571	0.490	0.704	leictreonach
electronics	0.708	0.545	0.574	leictreonaic
elegance	0.918	0.396	0.824	galántacht
elegant	0.865	0.500	0.685	galánta
element	0.531	0.259	0.481	eilimint
elemental	0.627	0.306	0.711	eiliminteach
elementary	0.594	0.286	0.686	bunrang
elements	0.510	0.312	0.462	eilimintí
elephant	0.531	0.510	0.615	eilifint
elevate	0.812	0.500	0.804	ardaigh
elevated	0.704	0.594	0.620	ardaithe
elevation	0.760	0.759	0.711	ingearchló
elevator	0.562	0.604	0.676	ardaitheoir
eleven	0.449	0.250	0.430	a haon déag
eleventh	0.594	0.329	0.357	a haon déag
elf	0.460	0.457	0.315	elf
elicit	0.406	0.594	0.658	fháil
eligible	0.750	0.400	0.518	incháilithe
eliminate	0.265	0.670	0.324	deireadh a chur
elimination	0.052	0.667	0.431	díchur
elite	0.688	0.704	0.737	mionlach
elitist	0.500	0.606	0.656	elitist
elixir	0.708	0.587	0.604	elixir
elk	0.439	0.337	0.340	eilc
ell	0.469	0.418	0.373	ell
ellipse	0.531	0.410	0.479	éilips
ellipsis	0.653	0.358	0.314	éilips
ellipsoid	0.500	0.440	0.419	éilipsóideach
elliptic	0.500	0.431	0.528	éilipseach
elliptical	0.338	0.385	0.490	éilipseacha
elm	0.510	0.345	0.321	leamhan
elongate	0.583	0.385	0.540	fadaithe
elongation	0.561	0.500	0.500	fadú
elope	0.396	0.694	0.528	éalaigh
eloquence	0.729	0.490	0.804	eloquence
eloquent	0.870	0.680	0.741	eloquent
elucidate	0.583	0.509	0.518	soiléir
elucidation	0.650	0.574	0.586	soiléiriú
elude	0.438	0.521	0.464	seachrán
elusive	0.229	0.615	0.466	dothuigthe
emaciated	0.103	0.541	0.151	emaciated
email	0.698	0.230	0.456	ríomhphost
emanate	0.653	0.464	0.554	eascair
emancipation	0.704	0.684	0.763	fuascailt
embankment	0.677	0.438	0.436	claífort
embargo	0.229	0.564	0.443	lánchosc
embark	0.541	0.550	0.619	dul ar bord
embarrass	0.082	0.667	0.364	náire
embarrassed	0.184	0.560	0.246	náire
embarrassing	0.226	0.809	0.225	náire
embarrassment	0.143	0.685	0.226	náire
embassy	0.622	0.333	0.758	ambasáid
embattled	0.235	0.724	0.421	i ngleic
embed	0.417	0.554	0.670	neadú
embellish	0.842	0.500	0.769	mhaisiú
embellishment	0.673	0.449	0.405	maisiúchán
embers	0.490	0.481	0.508	suthanna
embezzlement	0.143	0.827	0.435	embezzlement
embezzler	0.146	0.823	0.491	embezzler
emblem	0.640	0.330	0.754	suaitheantas
emblematic	0.771	0.459	0.798	suaitheanta
embodiment	0.562	0.690	0.663	embodiment
embolism	0.104	0.660	0.302	heambólacht
embossed	0.531	0.481	0.500	cabhraithe
embrace	0.949	0.490	0.452	glacadh
embroidered	0.677	0.279	0.407	bróidnithe
embroidery	0.781	0.358	0.280	bróidnéireacht
embroiled	0.337	0.721	0.420	embroiled
embryo	0.673	0.469	0.453	suthanna
embryonic	0.573	0.453	0.598	suthach
emcee	0.694	0.577	0.691	imcee
emerald	0.740	0.363	0.726	emerald
emerge	0.602	0.594	0.731	teacht chun cinn
emergence	0.276	0.857	0.676	teacht chun cinn
emergency	0.200	0.900	0.571	éigeandála
emeritus	0.633	0.402	0.735	emeritus
emery	0.469	0.583	0.472	emery
emetophobia	0.243	0.620	0.403	emeafóibe
emigrate	0.356	0.812	0.508	eisimirce
emigration	0.564	0.664	0.432	eisimirce
eminence	0.816	0.644	0.837	eminence
eminent	0.740	0.620	0.830	oirirc
eminently	0.694	0.607	0.773	go h-iontach
emir	0.510	0.396	0.621	emir
emissary	0.562	0.462	0.636	emissary
emission	0.510	0.453	0.591	astú
emit	0.638	0.445	0.510	scaoileann
emo	0.354	0.314	0.226	Ioma
emotion	0.693	0.873	0.696	mothúcháin
emotional	0.779	0.714	0.526	mhothúchánach
emotive	0.917	0.741	0.525	mhothúchánach
empathic	0.760	0.570	0.558	ionbhách
empathize	0.802	0.591	0.660	comhbhá
empathy	0.729	0.349	0.545	comhbhá
emperor	0.651	0.704	0.962	impire
emphasis	0.653	0.745	0.816	béim
emphasize	0.510	0.605	0.769	béim
emphatic	0.615	0.707	0.732	emphatic
emphysema	0.156	0.556	0.336	emphysema
empire	0.688	0.730	0.944	impireacht
empirical	0.500	0.510	0.574	eimpíreach
empiricism	0.583	0.460	0.547	eimpíreach
employ	0.729	0.481	0.702	fhostú
employee	0.582	0.361	0.481	fostaí
employer	0.663	0.518	0.767	fostóir
employment	0.750	0.594	0.611	fostaíochta
emporium	0.622	0.556	0.724	emporium
empower	0.694	0.779	0.891	chumhacht
empress	0.716	0.669	0.855	empress
emptiness	0.177	0.173	0.184	folmhú
emption	0.570	0.406	0.458	fuascailt
empty	0.188	0.183	0.081	folamh
emu	0.420	0.358	0.330	aea
emulate	0.438	0.340	0.549	aithris
emulsion	0.562	0.431	0.453	eibleacht
enable	0.760	0.491	0.782	chumasú
enablement	0.600	0.451	0.750	chumasú
enact	0.680	0.564	0.598	achtú
enactment	0.667	0.612	0.769	achtachán
enamel	0.594	0.280	0.306	cruan
encampment	0.677	0.573	0.605	campa
enchant	0.873	0.650	0.643	draíocht
enchanted	0.917	0.633	0.687	draíocht
enchanting	0.917	0.681	0.708	draíochtúil
enchantment	0.816	0.775	0.647	draíocht
enchantress	0.398	0.663	0.479	draíocht
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	timpeall
encircling	0.510	0.368	0.557	ag timpeallú
enclave	0.531	0.333	0.580	iamhach
enclose	0.531	0.477	0.473	faoi iamh
enclosure	0.417	0.375	0.490	imfhálú
encode	0.490	0.500	0.734	ionchódú
encomiastic	0.541	0.500	0.670	eacnamúil
encomium	0.541	0.451	0.519	encomium
encompass	0.520	0.298	0.661	cuimsiú
encore	0.510	0.423	0.500	encore
encounter	0.865	0.702	0.689	bhíonn
encourage	0.896	0.580	0.704	spreagadh
encouraged	0.953	0.702	0.657	spreagadh
encouragement	0.865	0.700	0.759	spreagadh
encouraging	0.823	0.583	0.755	ag spreagadh
encroach	0.302	0.742	0.702	cúngú
encroachment	0.255	0.736	0.620	cúngú
encrypt	0.500	0.387	0.500	chriptigh
encryption	0.547	0.415	0.474	criptithe
encumbrance	0.300	0.521	0.480	eire
encyclopedia	0.679	0.320	0.645	chiclipéid
end	0.198	0.349	0.298	deireadh
end table	0.541	0.480	0.482	tábla deiridh
endanger	0.115	0.885	0.404	i mbaol
endangered	0.083	0.885	0.430	i mbaol
endangerment	0.167	0.873	0.519	i mbaol
endearing	0.663	0.434	0.604	críonna
endeavor	0.677	0.755	0.765	dícheall
ended	0.302	0.500	0.500	dar críoch
endemic	0.406	0.480	0.483	endemic
endgame	0.449	0.538	0.526	deireadh cluiche
ending	0.344	0.365	0.492	dar críoch
endless	0.347	0.462	0.472	gan deireadh
endocarditis	0.235	0.587	0.412	endocarditis
endorse	0.592	0.392	0.472	fhormhuinigh
endorsement	0.834	0.360	0.611	formhuiniú
endow	0.684	0.398	0.609	dearlaice
endowed	0.755	0.510	0.769	dearlaice
endowment	0.685	0.578	0.647	dearlaice
endpapers	0.542	0.400	0.339	páipéir deiridh
endpoint	0.311	0.410	0.448	críochphointe
endurance	0.592	0.745	0.760	seasmhachta
endure	0.320	0.610	0.574	mairfidh
enduring	0.633	0.459	0.768	marthanach
enema	0.281	0.673	0.268	enema
enemy	0.135	0.794	0.591	namhaid
energetic	0.847	0.868	0.902	fuinniúil
energize	0.792	0.810	0.875	fuinneamh
energy	0.944	0.725	0.868	fuinneamh
enforce	0.583	0.644	0.836	fhorfheidhmiú
enforcement	0.594	0.571	0.736	forfheidhmithe
enforcer	0.398	0.612	0.639	forneart
engage	0.771	0.796	0.713	gabháil
engaged	0.837	0.596	0.849	gabháil
engagement	0.906	0.587	0.807	rannpháirtíocht
engaging	0.948	0.612	0.862	ag gabháil
engender	0.561	0.741	0.688	ghin
engine	0.615	0.644	0.676	inneall
engineer	0.719	0.500	0.875	innealtóir
engineering	0.735	0.471	0.836	innealtóireacht
engrave	0.486	0.442	0.517	greanta
engraved	0.542	0.375	0.473	greanta
engraver	0.552	0.417	0.500	greanadóir
engraving	0.604	0.430	0.442	greanadh
engrossed	0.541	0.471	0.304	gafa
engrossing	0.698	0.702	0.750	gríosaitheach
engulf	0.398	0.573	0.500	engulf
enhance	0.802	0.578	0.814	feabhas
enhancement	0.877	0.490	0.741	feabhsú
enigma	0.513	0.700	0.500	enigma
enigmatic	0.469	0.589	0.679	enigmatic
enjoin	0.594	0.454	0.732	gabháil
enjoy	0.959	0.725	0.750	taitneamh a bhaint as
enjoyable	1.000	0.481	0.605	taitneamhach
enjoying	0.908	0.759	0.759	ag baint suilt as
enjoyment	0.930	0.612	0.716	taitneamh
enlarge	0.735	0.606	0.688	mhéadú
enlarged	0.673	0.490	0.518	méadaithe
enlargement	0.677	0.577	0.616	méadú
enlighten	0.729	0.549	0.667	solas
enlightened	0.956	0.566	0.700	soléite
enlightening	0.825	0.729	0.727	soléite
enlightenment	0.837	0.549	0.619	eagna
enlist	0.510	0.370	0.483	liostáil
enliven	0.833	0.683	0.702	beocht
enmity	0.094	0.706	0.382	naimhdeas
ennui	0.406	0.461	0.316	núi
enormity	0.594	0.648	0.848	ollmhór
enormous	0.677	0.665	0.886	ollmhór
enormously	0.760	0.694	0.872	go mór
enraged	0.083	0.962	0.636	feargach
enrich	0.896	0.731	0.705	saibhriú
enroll	0.696	0.530	0.611	clárú
enrollment	0.667	0.391	0.698	rollú
ensemble	0.697	0.418	0.586	ensemble
ensign	0.663	0.270	0.545	chomhartha
enslave	0.073	0.800	0.481	sclábhaíocht
enslaved	0.104	0.720	0.321	sclábhaithe
enslavement	0.086	0.635	0.302	sclábhaíocht
ensue	0.698	0.363	0.332	lean
ensure	0.737	0.406	0.759	chinntiú
entail	0.484	0.630	0.645	gceist
entangled	0.319	0.578	0.357	i bhfostú
entanglement	0.302	0.765	0.248	gabháil
enter	0.708	0.470	0.500	isteach
enterprise	0.760	0.392	0.754	fiontar
enterprising	0.865	0.784	0.875	fiontraíoch
entertain	0.918	0.684	0.598	siamsaíocht
entertained	0.902	0.644	0.712	siamsaíocht
entertainer	0.888	0.709	0.759	siamsóir
entertaining	0.833	0.658	0.660	siamsaíocht
entertainment	0.847	0.750	0.569	siamsaíocht
enthralled	0.745	0.602	0.615	faoi ghríosadh
enthusiasm	0.938	0.816	0.798	díograis
enthusiast	0.867	0.810	0.875	díograiseach
enthusiastic	0.885	0.868	0.848	díograiseach
entice	0.521	0.887	0.518	mhealladh
entire	0.689	0.462	0.698	ar fad
entirety	0.854	0.460	0.804	ar fad
entitle	0.729	0.333	0.827	teideal
entity	0.542	0.402	0.670	aonán
entomology	0.438	0.396	0.545	feithideolaíocht
entourage	0.491	0.567	0.467	comhluadar
entrails	0.365	0.538	0.387	iontráil
entrance	0.698	0.393	0.526	bealach isteach
entrapment	0.177	0.604	0.441	entrapment
entreat	0.304	0.560	0.462	impigh
entree	0.615	0.477	0.624	isteach
entrepreneur	0.885	0.704	0.920	fiontraí
entrust	0.693	0.310	0.630	iontaoibh
entry	0.552	0.353	0.602	iontráil
enumerate	0.521	0.390	0.491	áirigh
enumeration	0.548	0.327	0.534	áirimh
envelope	0.604	0.275	0.377	clúdach litreach
envious	0.110	0.754	0.341	in éad
environ	0.724	0.221	0.433	timpeallacht
environment	0.646	0.194	0.528	timpeallacht
environmental	0.633	0.313	0.664	comhshaoil
environs	0.561	0.288	0.345	timpeallacht
envision	0.625	0.449	0.483	amharc
envoy	0.531	0.375	0.586	toscaire
envy	0.240	0.704	0.427	éad
enzyme	0.562	0.277	0.481	einsím
ephemeral	0.500	0.312	0.377	gearrshaolach
ephemeris	0.640	0.380	0.528	gearrshaolach
epic	0.857	0.713	0.830	eipiciúil
epidemic	0.092	0.830	0.611	eipidéim
epidermis	0.418	0.490	0.426	eipideirm
epidural	0.347	0.452	0.525	eipidiúir
epilepsy	0.061	0.854	0.250	titimeas
epileptic	0.146	0.794	0.340	epileptic
epilogue	0.582	0.353	0.466	epilogue
epiphany	0.625	0.596	0.526	eipidéim
episcopal	0.542	0.314	0.750	easpag
episode	0.719	0.367	0.509	eachtra
episodic	0.531	0.542	0.462	eipeasóideach
epistle	0.604	0.417	0.535	eipistil
epitaph	0.276	0.323	0.442	epitaph
epithet	0.530	0.394	0.524	eipid
epitome	0.510	0.500	0.667	eipidéim
epoch	0.553	0.343	0.797	aga
equal	0.781	0.178	0.407	comhionann
equality	0.898	0.305	0.716	comhionannas
equalization	0.625	0.422	0.423	cothromú
equalize	0.738	0.281	0.574	chothromú
equalizer	0.604	0.451	0.586	cothromóir
equally	0.625	0.264	0.436	go cothrom
equate	0.724	0.382	0.624	ionann
equation	0.479	0.384	0.608	chothromóid
equator	0.550	0.302	0.462	meánchiorcal
equatorial	0.550	0.271	0.593	meánchiorcal
equestrian	0.633	0.519	0.417	eachaíochta
equidistant	0.375	0.406	0.509	comhfhad
equilibration	0.724	0.317	0.593	cothromaíochta
equilibrium	0.676	0.235	0.620	cothromaíochta
equip	0.650	0.519	0.713	threalmhú
equipment	0.745	0.495	0.700	trealamh
equitable	0.714	0.286	0.750	cothrom
equity	0.792	0.304	0.614	Cothromas
equivalence	0.663	0.250	0.582	coibhéis
equivalent	0.646	0.347	0.500	comhionann
equivocal	0.327	0.482	0.257	aonchiallach
era	0.615	0.407	0.449	ré
eradicate	0.260	0.690	0.686	scrios
eradication	0.208	0.788	0.685	díothú
erase	0.240	0.260	0.321	scriosadh
eraser	0.458	0.209	0.311	scriosán
erasure	0.281	0.360	0.265	scriosadh
ere	0.479	0.312	0.377	er
erect	0.643	0.885	0.627	in airde
erectile	0.542	0.796	0.625	erectile
erection	0.640	0.856	0.695	chur suas
ergo	0.385	0.400	0.385	ergo
erode	0.208	0.643	0.580	creimeadh
erosion	0.312	0.770	0.465	creimeadh
erotic	0.625	0.946	0.683	erotic
erotica	0.781	0.870	0.579	erotica
err	0.146	0.660	0.236	earráid
errand	0.385	0.519	0.482	earráid
errant	0.205	0.602	0.375	earráid
erratic	0.271	0.503	0.217	corrach
erratum	0.327	0.528	0.436	erratum
erroneous	0.057	0.561	0.245	earráideach
error	0.094	0.559	0.198	earráid
erst	0.277	0.422	0.357	erst
erudite	0.719	0.434	0.774	sothuigthe
erupt	0.188	0.820	0.818	brúchtadh
eruption	0.156	0.913	0.733	brúchtadh
escalade	0.480	0.724	0.442	escalade
escalate	0.653	0.714	0.728	ardú
escalating	0.646	0.724	0.518	ag ardú
escalation	0.571	0.807	0.582	formhéadú
escalator	0.500	0.530	0.518	escalator
escape	0.367	0.765	0.448	éalú
escaped	0.365	0.755	0.518	éalaigh
escarpment	0.406	0.553	0.470	scairp
eschew	0.184	0.438	0.370	easc
escort	0.729	0.480	0.608	choimhdeacht
escrow	0.449	0.520	0.613	scrow
esophagus	0.429	0.454	0.464	éasafagas
esoteric	0.500	0.676	0.545	esoteric
especial	0.827	0.419	0.794	ar leith
espionage	0.312	0.750	0.620	spiaireacht
espouse	0.802	0.529	0.598	céile
espresso	0.677	0.620	0.508	espresso
esprit	0.552	0.431	0.407	esprit
esquire	0.604	0.542	0.518	eistear
essay	0.559	0.411	0.530	aiste
essayist	0.656	0.460	0.462	aistí
essence	0.663	0.369	0.575	bunúsach
essential	0.812	0.405	0.759	riachtanach
essentially	0.750	0.373	0.802	go bunúsach
establish	0.708	0.500	0.688	bhunú
established	0.796	0.394	0.694	bunaithe
establishment	0.690	0.398	0.631	bunaíocht
estate	0.653	0.385	0.647	eastát
esteem	0.745	0.380	0.679	meas
esteemed	0.694	0.418	0.531	meas
esthetic	0.635	0.360	0.558	aeistéitiúil
estimable	0.796	0.408	0.630	inmheasta
estimate	0.719	0.469	0.517	meastachán
estimation	0.740	0.480	0.589	meastachán
estoppel	0.354	0.459	0.482	estoppel
estranged	0.156	0.382	0.377	choimhthíoch
estrogen	0.580	0.500	0.425	estrogen
estuary	0.469	0.278	0.482	inbhear
etch	0.510	0.367	0.598	etch
etching	0.567	0.491	0.575	eitseáil
eternal	0.854	0.409	0.843	síoraí
eternity	0.765	0.520	0.911	an tsíoraíocht
ethanol	0.333	0.410	0.534	eatánól
ether	0.490	0.306	0.412	éitear
