English Word	Valence	Arousal	Dominance	Filipino Word
clearing	0.680	0.333	0.509	paglilinis
clearness	0.875	0.316	0.689	kalinawan
cleat	0.486	0.260	0.361	cleat
cleavage	0.542	0.602	0.454	cleavage
cleave	0.296	0.545	0.389	hiwain
cleaver	0.240	0.627	0.434	clever
clef	0.615	0.360	0.595	clef
cleft	0.306	0.442	0.360	lamat
clemency	0.594	0.417	0.397	awa
clench	0.438	0.618	0.580	magkuyom
clergy	0.531	0.312	0.575	kaparian
clergyman	0.594	0.330	0.556	pari
cleric	0.521	0.324	0.589	klerigo
clerical	0.520	0.396	0.491	klerikal
clerk	0.500	0.579	0.509	klerk
clerkship	0.582	0.380	0.596	klerkship
clever	0.896	0.353	0.729	matalino
cleverness	0.878	0.509	0.921	katalinuhan
click	0.536	0.365	0.268	i-click
clicker	0.418	0.490	0.463	clicker
client	0.583	0.450	0.618	kliyente
clientele	0.625	0.577	0.508	mga kliyente
cliff	0.361	0.620	0.509	talampas
climate	0.635	0.240	0.483	klima
climatology	0.531	0.367	0.541	klimatolohiya
climax	0.735	0.853	0.667	kasukdulan
climb	0.615	0.660	0.604	umakyat
climber	0.573	0.716	0.735	umaakyat
clinch	0.469	0.538	0.430	clinch
cling	0.417	0.620	0.588	kumapit
clingy	0.224	0.460	0.370	clingy
clinic	0.469	0.439	0.600	klinika
clinical	0.337	0.412	0.640	klinikal
clink	0.458	0.462	0.319	kumalabit
clip	0.438	0.310	0.381	clip
clipboard	0.594	0.255	0.423	clipboard
clipper	0.293	0.422	0.383	pamputol
clipping	0.460	0.500	0.405	paggupit
clique	0.427	0.430	0.391	pangkat
clitoris	0.625	0.844	0.464	klitoris
cloak	0.469	0.188	0.333	balabal
cloaking	0.521	0.595	0.389	pagkukunwari
cloakroom	0.690	0.254	0.397	silid ng damit
clobber	0.396	0.578	0.464	clobber
clock	0.677	0.173	0.407	orasan
clockwork	0.490	0.373	0.528	gawaing orasan
clod	0.375	0.404	0.365	clod
clog	0.104	0.618	0.454	bakya
cloister	0.438	0.413	0.475	cloister
clone	0.406	0.471	0.524	clone
cloning	0.216	0.696	0.679	pag-clone
close	0.292	0.260	0.263	malapit na
closed	0.240	0.164	0.318	sarado
closeness	0.796	0.237	0.450	pagiging malapit
closet	0.531	0.204	0.330	aparador
closure	0.229	0.220	0.412	pagsasara
clot	0.150	0.558	0.275	namuo
cloth	0.510	0.190	0.287	tela
clothe	0.797	0.330	0.481	damit
clothes	0.833	0.270	0.414	mga damit
clothesline	0.582	0.324	0.366	sampayan
clothing	0.750	0.343	0.407	damit
cloud	0.740	0.133	0.342	ulap
clouded	0.240	0.213	0.302	maulap
cloudiness	0.469	0.250	0.343	maulap
clouds	0.735	0.195	0.324	mga ulap
cloudy	0.281	0.280	0.202	maulap
clout	0.584	0.636	0.704	kapangyarihan
clove	0.439	0.296	0.315	clove
clover	0.605	0.340	0.364	klouber
cloves	0.427	0.218	0.396	mga clove
clown	0.650	0.598	0.300	payaso
clowns	0.600	0.673	0.391	mga payaso
club	0.646	0.618	0.393	club
clubhouse	0.694	0.571	0.493	clubhouse
clubs	0.723	0.530	0.591	mga club
cluck	0.390	0.490	0.353	kumakatok
clue	0.653	0.380	0.412	bakas
clueless	0.350	0.333	0.161	walang alam
clump	0.551	0.480	0.582	kumpol
clumsy	0.125	0.420	0.144	malamya
clunk	0.448	0.472	0.407	kumakatok
cluster	0.490	0.458	0.446	kumpol
clutch	0.383	0.500	0.491	clutch
clutches	0.542	0.373	0.528	clutches
clutter	0.135	0.598	0.400	kalat
coach	0.633	0.823	0.735	coach
coachman	0.479	0.394	0.509	kutsero
coagulation	0.381	0.558	0.436	pamumuo
coal	0.360	0.241	0.340	uling
coalesce	0.479	0.434	0.529	magsama-sama
coalition	0.490	0.730	0.673	koalisyon
coarse	0.333	0.481	0.481	magaspang
coast	0.719	0.396	0.458	baybayin
coastal	0.604	0.370	0.510	baybayin
coaster	0.612	0.788	0.627	coaster
coastline	0.745	0.282	0.441	baybayin
coat	0.677	0.256	0.464	amerikana
coating	0.620	0.440	0.596	patong
coax	0.367	0.400	0.447	suyuin
cobalt	0.408	0.325	0.441	kobalt
cobble	0.448	0.385	0.368	cobble
cobbler	0.510	0.415	0.318	sapatero
cobra	0.312	0.712	0.600	ulupong
cocaine	0.156	0.840	0.373	cocaine
cock	0.418	0.562	0.392	titi
cockamamie	0.450	0.500	0.382	cockamamie
cockeyed	0.459	0.460	0.423	cockeyed
cockpit	0.520	0.424	0.343	sabungan
cockroach	0.188	0.667	0.196	ipis
cocksucker	0.083	0.764	0.339	sabungero
cocktail	0.740	0.480	0.381	cocktail
cocky	0.260	0.784	0.519	bastos
cocoa	0.776	0.255	0.322	kakaw
coconut	0.622	0.265	0.227	niyog
cocoon	0.470	0.280	0.290	cocoon
cod	0.510	0.321	0.304	bakalaw
code	0.583	0.308	0.491	code
codeine	0.375	0.582	0.436	codeine
codex	0.531	0.488	0.524	codex
codfish	0.490	0.245	0.300	bakalaw
codification	0.448	0.400	0.698	kodipikasyon
codify	0.448	0.410	0.679	i-codify
coding	0.442	0.344	0.667	coding
coed	0.469	0.531	0.481	coed
coefficient	0.677	0.415	0.702	koepisyent
coerce	0.260	0.741	0.517	pilitin
coercion	0.330	0.708	0.577	pamimilit
coercive	0.479	0.670	0.506	mapilit
coexist	0.708	0.460	0.536	magkakasamang buhay
coexistence	0.588	0.472	0.638	magkakasamang buhay
coexisting	0.551	0.349	0.648	magkakasamang nabubuhay
coffee	0.823	0.418	0.309	kape
coffee table	0.720	0.339	0.295	mesa ng kape
coffeehouse	0.694	0.357	0.307	coffeehouse
coffeepot	0.760	0.333	0.312	kape
coffin	0.073	0.432	0.343	kabaong
cog	0.427	0.343	0.363	cog
cogent	0.765	0.479	0.836	matibay
cognac	0.615	0.510	0.430	konyak
cognate	0.615	0.350	0.398	magkaugnay
cognition	0.635	0.344	0.706	katalusan
cognitive	0.513	0.401	0.634	nagbibigay-malay
cohabitation	0.646	0.526	0.598	paninirahan
coherence	0.720	0.406	0.788	pagkakaugnay-ugnay
coherent	0.698	0.281	0.500	magkakaugnay
cohesion	0.604	0.536	0.555	pagkakaisa
cohesive	0.531	0.470	0.603	magkakasama
cohort	0.459	0.551	0.566	pangkat
coil	0.448	0.343	0.298	likid
coiled	0.378	0.518	0.389	nakapulupot
coin	0.677	0.574	0.445	barya
coinage	0.500	0.400	0.545	coinage
coincide	0.635	0.490	0.593	magkasabay
coincidence	0.612	0.450	0.518	pagkakataon
coincident	0.562	0.385	0.602	nagkataon
coincidental	0.646	0.481	0.337	nagkataon lang
coinciding	0.673	0.373	0.623	magkasabay
coke	0.404	0.461	0.397	coke
cola	0.469	0.325	0.240	cola
cold	0.398	0.538	0.348	malamig
coldly	0.365	0.358	0.407	malamig
coldness	0.093	0.470	0.427	lamig
coldsweat	0.427	0.491	0.327	malamig na pawis
coleslaw	0.707	0.312	0.336	coleslaw
colic	0.135	0.736	0.361	colic
coliseum	0.612	0.663	0.704	coliseum
collaborate	0.816	0.449	0.559	makipagtulungan
collaboration	0.885	0.628	0.741	pakikipagtulungan
collaborator	0.729	0.320	0.769	katuwang
collage	0.680	0.321	0.375	collage
collagen	0.541	0.245	0.450	collagen
collapse	0.208	0.689	0.342	pagbagsak
collar	0.656	0.442	0.446	kwelyo
collarbone	0.420	0.427	0.306	collarbone
collate	0.438	0.448	0.580	mag-collate
collateral	0.531	0.422	0.717	collateral
collation	0.520	0.333	0.508	koleksyon
colleague	0.740	0.413	0.600	kasamahan
collect	0.635	0.481	0.491	mangolekta
collected	0.570	0.402	0.588	nakolekta
collection	0.725	0.311	0.588	koleksyon
collective	0.583	0.458	0.698	sama-sama
collectively	0.817	0.573	0.533	sama-sama
collector	0.552	0.481	0.648	kolektor
college	0.700	0.467	0.746	kolehiyo
collegiate	0.592	0.461	0.678	kolehiyo
collide	0.271	0.892	0.557	mabangga
collie	0.562	0.308	0.328	collie
collision	0.245	0.848	0.585	banggaan
collocation	0.637	0.360	0.594	kolokasyon
colloquial	0.604	0.363	0.368	kolokyal
collusion	0.365	0.510	0.400	sabwatan
cologne	0.677	0.413	0.552	cologne
colon	0.449	0.394	0.384	colon
colonel	0.459	0.592	0.890	koronel
colonial	0.553	0.327	0.613	kolonyal
colonic	0.333	0.420	0.430	colonic
colonoscopy	0.208	0.524	0.466	colonoscopy
colony	0.716	0.353	0.593	kolonya
colophon	0.500	0.408	0.385	kolopon
color	0.786	0.280	0.402	kulay
coloration	0.541	0.520	0.443	kulay
colored	0.806	0.317	0.275	may kulay
colorful	0.850	0.520	0.519	makulay
coloring	0.781	0.469	0.353	pangkulay
colorless	0.354	0.340	0.250	walang kulay
colors	0.875	0.349	0.340	mga kulay
colossal	0.698	0.692	0.900	napakalaki
colt	0.561	0.587	0.543	bisiro
columbine	0.520	0.521	0.407	columbine
column	0.480	0.250	0.670	hanay
columnar	0.448	0.340	0.491	kolumnar
columnist	0.646	0.365	0.648	kolumnista
com	0.396	0.382	0.382	com
coma	0.219	0.255	0.302	pagkawala ng malay
comatose	0.143	0.438	0.433	na-comatose
comb	0.490	0.123	0.268	suklay
combat	0.302	0.846	0.833	labanan
combatant	0.531	0.853	0.780	panlaban
combative	0.381	0.690	0.816	palaban
combination	0.708	0.480	0.726	kumbinasyon
combinatorial	0.561	0.436	0.428	kombinatoryal
combine	0.663	0.442	0.533	pagsamahin
combined	0.622	0.370	0.500	pinagsama-sama
combo	0.698	0.439	0.453	combo
combustible	0.386	0.650	0.750	nasusunog
combustion	0.457	0.807	0.591	pagkasunog
come	0.529	0.269	0.558	halika
comeback	0.580	0.409	0.555	bumalik
comedian	0.812	0.735	0.598	komedyante
comedy	0.918	0.555	0.490	komedya
comet	0.704	0.679	0.471	kometa
comfort	0.863	0.231	0.670	kaginhawaan
comfortable	0.927	0.163	0.473	komportable
comforter	0.618	0.275	0.302	mang-aaliw
comforting	0.906	0.337	0.620	nakakaaliw
comfy	0.930	0.241	0.625	kumportable
comic	0.917	0.459	0.387	komiks
comical	0.844	0.737	0.327	nakakatawa
comics	0.690	0.556	0.384	komiks
coming	0.653	0.417	0.500	pagdating
comma	0.344	0.269	0.242	kuwit
command	0.427	0.790	0.849	utos
commandant	0.622	0.700	0.943	kumandante
commandeer	0.552	0.639	0.931	kumander
commander	0.531	0.615	0.906	kumander
commanding	0.562	0.664	0.925	nag-uutos
commandment	0.656	0.490	0.876	utos
commando	0.323	0.710	0.817	commando
commemorate	0.812	0.602	0.636	gunitain
commemoration	0.719	0.615	0.754	paggunita
commemorative	0.750	0.438	0.754	commemorative
commence	0.760	0.585	0.741	magsimula
commend	0.906	0.694	0.711	purihin
commendable	0.786	0.570	0.555	kapuri-puri
commendation	0.911	0.500	0.639	papuri
commensurate	0.610	0.304	0.550	katapat
comment	0.667	0.417	0.379	komento
commentary	0.602	0.402	0.446	komentaryo
commentator	0.492	0.510	0.607	komentarista
commerce	0.646	0.500	0.788	komersiyo
commercial	0.806	0.490	0.528	komersyal
commie	0.385	0.519	0.454	commie
commissary	0.385	0.500	0.788	commissary
commission	0.677	0.480	0.571	komisyon
commissioner	0.602	0.449	0.949	komisyoner
commit	0.365	0.529	0.491	mangako
commitment	0.714	0.710	0.843	pangako
committal	0.472	0.519	0.582	committal
committed	0.710	0.542	0.712	nakatuon
committee	0.592	0.392	0.721	komite
commodity	0.615	0.394	0.537	kalakal
commodore	0.427	0.530	0.636	komodoro
common	0.600	0.127	0.318	karaniwan
commoner	0.448	0.365	0.327	karaniwang tao
commonly	0.604	0.170	0.574	karaniwan
commonplace	0.520	0.337	0.442	karaniwan
commons	0.633	0.396	0.623	commons
commonwealth	0.630	0.406	0.702	komonwelt
commotion	0.490	0.700	0.646	kaguluhan
communal	0.592	0.321	0.556	komunal
commune	0.500	0.488	0.655	pakikipagniig
communicable	0.796	0.491	0.623	nakakahawa
communicate	0.823	0.410	0.696	makipag-usap
communication	0.837	0.400	0.649	komunikasyon
communicative	0.847	0.560	0.637	komunikatibo
communicator	0.573	0.509	0.796	tagapagbalita
communion	0.765	0.357	0.607	komunyon
communism	0.264	0.570	0.623	komunismo
communist	0.265	0.702	0.632	komunista
community	0.750	0.350	0.659	pamayanan
commutation	0.469	0.431	0.652	commutation
commutative	0.667	0.442	0.569	commutative
commute	0.622	0.582	0.565	mag-commute
commuter	0.646	0.520	0.512	commuter
comp	0.573	0.450	0.371	comp
compact	0.458	0.417	0.673	compact
compaction	0.531	0.471	0.582	compaction
compactness	0.582	0.352	0.454	pagiging compactness
companion	0.770	0.377	0.618	kasama
companionless	0.271	0.259	0.200	walang kasama
companionship	0.833	0.438	0.792	pagsasama
company	0.906	0.425	0.798	kumpanya
comparable	0.562	0.443	0.458	maihahambing
comparative	0.470	0.273	0.562	pahambing
comparatively	0.604	0.391	0.538	pahambing
compare	0.552	0.408	0.524	ihambing
comparison	0.583	0.456	0.492	paghahambing
compartment	0.500	0.389	0.607	kompartimento
compass	0.541	0.307	0.529	kumpas
compassion	0.735	0.258	0.509	pakikiramay
compassionate	0.857	0.404	0.411	mahabagin
compatibility	0.816	0.450	0.673	pagkakatugma
compatible	0.892	0.387	0.638	magkatugma
compel	0.200	0.847	0.625	pilitin
compelled	0.333	0.654	0.347	pinilit
compelling	0.698	0.570	0.870	mapilit
compendium	0.610	0.461	0.537	kompendyum
compensate	0.612	0.429	0.762	bayaran
compensation	0.775	0.469	0.598	kabayaran
compensatory	0.589	0.490	0.700	kabayaran
compete	0.573	0.745	0.786	makipagkumpetensya
competence	0.615	0.802	0.823	kakayahan
competency	0.768	0.775	0.764	kakayahan
competent	0.865	0.560	0.904	may kakayahan
competition	0.580	0.790	0.798	kompetisyon
competitive	0.447	0.718	0.908	mapagkumpitensya
competitor	0.612	0.959	0.861	katunggali
compilation	0.530	0.512	0.606	compilation
compile	0.600	0.413	0.519	mag-compile
complacency	0.604	0.503	0.519	kasiyahan
complacent	0.625	0.452	0.518	kampante
complain	0.143	0.682	0.360	magreklamo
complaint	0.143	0.606	0.281	reklamo
complement	0.760	0.277	0.600	pandagdag
complementary	0.714	0.320	0.586	pantulong
complete	0.750	0.414	0.809	kumpleto
completed	0.823	0.357	0.777	nakumpleto
completely	0.730	0.370	0.690	ganap
completeness	0.823	0.433	0.769	pagkakumpleto
completing	0.614	0.500	0.769	pagkumpleto
completion	0.656	0.470	0.525	pagkumpleto
complex	0.388	0.608	0.550	kumplikado
complexed	0.312	0.577	0.612	kumplikado
complexion	0.521	0.520	0.380	kulay ng balat
complexity	0.479	0.620	0.595	pagiging kumplikado
compliance	0.750	0.462	0.750	pagsunod
compliant	0.677	0.310	0.519	sumusunod
complicate	0.210	0.657	0.404	kumplikado
complicated	0.211	0.660	0.455	magulo
complication	0.365	0.726	0.330	komplikasyon
complicity	0.323	0.684	0.670	pakikipagsabwatan
compliment	0.820	0.490	0.651	papuri
complimentary	0.823	0.413	0.435	komplimentaryong
comply	0.806	0.370	0.638	sumunod
complying	0.729	0.423	0.590	sumusunod
compo	0.500	0.346	0.390	compo
component	0.531	0.382	0.525	sangkap
compose	0.639	0.432	0.694	sumulat
composed	0.684	0.385	0.682	binubuo
composer	0.822	0.588	0.691	kompositor
composite	0.591	0.459	0.620	pinagsama-sama
composition	0.765	0.408	0.652	komposisyon
compost	0.480	0.404	0.441	compost
composure	0.802	0.354	0.717	katahimikan
compound	0.635	0.385	0.735	tambalan
comprehend	0.875	0.365	0.689	intindihin
comprehension	0.908	0.387	0.688	pang-unawa
comprehensive	0.796	0.385	0.644	komprehensibo
compress	0.406	0.412	0.460	compress
compressed	0.323	0.396	0.388	naka-compress
compressible	0.622	0.392	0.585	compressible
compression	0.646	0.521	0.579	compression
compressor	0.418	0.481	0.630	tagapiga
comprise	0.839	0.373	0.669	binubuo
compromise	0.677	0.520	0.805	kompromiso
comptroller	0.402	0.481	0.866	tagakontrol
compulsion	0.118	0.760	0.604	pamimilit
compulsive	0.347	0.871	0.573	mapilit
compulsory	0.343	0.541	0.791	sapilitan
computable	0.570	0.402	0.545	computable
computation	0.583	0.429	0.697	pagtutuos
compute	0.531	0.408	0.564	compute
computer	0.802	0.356	0.639	kompyuter
computerized	0.677	0.450	0.657	nakakompyuter
computing	0.745	0.398	0.695	pag-compute
comrade	0.781	0.412	0.804	kasama
con	0.255	0.736	0.427	con
concatenation	0.480	0.593	0.539	pagsasama-sama
concave	0.441	0.349	0.349	malukong
conceal	0.312	0.436	0.306	itago
concealed	0.344	0.363	0.352	nakatago
concealment	0.302	0.570	0.390	pagtatago
concede	0.670	0.324	0.473	umamin
conceit	0.354	0.625	0.309	pagmamayabang
conceited	0.194	0.667	0.473	mayabang
conceivable	0.730	0.350	0.613	maiisip
conceive	0.708	0.538	0.700	magbuntis
concentrate	0.750	0.439	0.743	tumutok
concentration	0.735	0.500	0.722	konsentrasyon
concentric	0.730	0.479	0.635	konsentriko
concept	0.573	0.265	0.632	konsepto
conception	0.694	0.490	0.614	paglilihi
concern	0.250	0.734	0.463	alalahanin
concerned	0.292	0.698	0.350	nag-aalala
concert	0.938	0.867	0.718	konsiyerto
concerto	0.613	0.759	0.679	concerto
concession	0.588	0.423	0.615	konsesyon
concessional	0.770	0.493	0.657	konsesyon
conch	0.583	0.306	0.339	kabibe
concierge	0.480	0.343	0.343	concierge
conciliation	0.792	0.475	0.726	pagkakasundo
concise	0.583	0.298	0.620	maigsi
conclave	0.573	0.440	0.611	conclave
conclude	0.530	0.267	0.679	tapusin
concluding	0.531	0.382	0.603	pagtatapos
conclusion	0.615	0.377	0.659	konklusyon
conclusive	0.500	0.427	0.745	conclusive
concoction	0.448	0.459	0.417	samahan
concomitant	0.427	0.482	0.727	kasabay
concord	0.677	0.320	0.586	pagkakasundo
concordance	0.625	0.358	0.608	konkordansiya
concours	0.500	0.530	0.495	concours
concourse	0.740	0.657	0.528	concourse
concrete	0.633	0.420	0.547	kongkreto
concubine	0.388	0.594	0.476	babae
concur	0.459	0.394	0.429	sumang-ayon
concurrence	0.764	0.627	0.613	pagsang-ayon
concurrent	0.573	0.547	0.741	kasabay
concurring	0.573	0.600	0.681	pagsang-ayon
concussion	0.072	0.708	0.482	pagkakalog
condemn	0.102	0.793	0.625	hatulan
condemnation	0.133	0.725	0.449	pagkondena
condensation	0.510	0.316	0.538	paghalay
condensed	0.598	0.415	0.623	condensed
condescending	0.583	0.363	0.593	mapagpakumbaba
condescension	0.521	0.377	0.565	pagpapakababa
condiment	0.520	0.333	0.433	pampalasa
condition	0.500	0.469	0.519	kundisyon
conditional	0.521	0.343	0.556	may kondisyon
conditionally	0.396	0.419	0.617	may kondisyon
conditioned	0.490	0.417	0.616	nakakondisyon
conditioner	0.781	0.360	0.538	conditioner
conditioning	0.440	0.468	0.617	pagkondisyon
conditions	0.551	0.441	0.593	kundisyon
condo	0.439	0.288	0.607	condo
condolence	0.260	0.443	0.404	pakikiramay
condolences	0.198	0.480	0.288	pakikiramay
condom	0.406	0.637	0.500	condom
condone	0.571	0.441	0.619	pumayag
condor	0.573	0.388	0.519	condor
conducive	0.775	0.479	0.679	kaaya-aya
conduct	0.453	0.510	0.750	pag-uugali
conduction	0.530	0.557	0.717	pagpapadaloy
conductivity	0.583	0.575	0.642	kondaktibiti
conductor	0.677	0.663	0.621	konduktor
conduit	0.470	0.302	0.413	tubo
cone	0.417	0.208	0.343	kono
confederacy	0.590	0.541	0.736	kompederasyon
confederate	0.551	0.546	0.792	magka-confederate
confederation	0.663	0.404	0.830	kompederasyon
confer	0.573	0.482	0.583	magkasundo
conference	0.688	0.615	0.606	pagpupulong
confess	0.360	0.712	0.431	umamin
confession	0.469	0.642	0.460	pagtatapat
confessional	0.458	0.392	0.629	kumpisalan
confessions	0.325	0.538	0.658	mga pagtatapat
confetti	0.781	0.573	0.250	confetti
confidant	0.837	0.633	0.631	mapagkakatiwalaan
confide	0.669	0.472	0.595	magtapat
confidence	0.959	0.276	0.943	kumpiyansa
confident	0.765	0.324	0.723	tiwala
confidential	0.643	0.471	0.761	kumpidensyal
confidentiality	0.667	0.431	0.718	pagiging kompidensiyal
confidentially	0.633	0.469	0.558	kumpidensyal
configuration	0.540	0.443	0.591	pagsasaayos
confine	0.327	0.551	0.538	ikulong
confined	0.286	0.472	0.444	nakakulong
confinement	0.333	0.656	0.520	pagkakulong
confines	0.396	0.386	0.542	nakakulong
confirm	0.802	0.439	0.806	kumpirmahin
confirmation	0.812	0.480	0.692	kumpirmasyon
confirmatory	0.656	0.500	0.683	kumpirmasyon
confirmed	0.760	0.490	0.764	nakumpirma
confiscate	0.250	0.625	0.482	kumpiskahin
confiscation	0.208	0.706	0.586	pagkumpiska
conflagration	0.344	0.721	0.594	sunog
conflict	0.335	0.906	0.471	tunggalian
conflicting	0.173	0.738	0.553	magkasalungat
confluence	0.677	0.598	0.565	tagpuan
conform	0.479	0.380	0.375	umayon
conformance	0.608	0.278	0.254	pagkakasundo
conformation	0.622	0.435	0.711	pagbabagong-anyo
conformity	0.645	0.363	0.579	pagkakasundo
confound	0.347	0.529	0.333	lituhin
confounded	0.333	0.528	0.264	nalilito
confront	0.281	0.760	0.746	harapin
confrontation	0.177	0.870	0.658	paghaharap
confuse	0.100	0.580	0.270	malito
confused	0.220	0.650	0.179	nalilito
confusing	0.229	0.690	0.222	nakakalito
confusion	0.255	0.667	0.277	pagkalito
conga	0.469	0.529	0.440	conga
congenial	0.820	0.412	0.620	kaaya-aya
congenital	0.448	0.434	0.427	congenital
congestion	0.271	0.654	0.491	kasikipan
conglomerate	0.500	0.500	0.838	conglomerate
conglomeration	0.541	0.720	0.670	kalipunan
congrats	0.930	0.726	0.775	congrats
congratulate	0.927	0.724	0.784	batiin
congratulation	0.948	0.780	0.717	pagbati
congratulations	0.960	0.755	0.719	binabati kita
congratulatory	0.959	0.616	0.689	pagbati
congregate	0.653	0.530	0.733	magtipun-tipon
congregation	0.561	0.490	0.700	kongregasyon
congress	0.449	0.444	0.857	kongreso
congressional	0.552	0.491	0.848	kongreso
congressman	0.438	0.471	0.877	kongresista
congruence	0.656	0.472	0.577	pagkakatugma
conic	0.510	0.368	0.379	alimusod
conical	0.490	0.422	0.471	korteng kono
conjecture	0.396	0.398	0.534	haka-haka
conjugal	0.698	0.510	0.688	conjugal
conjugate	0.583	0.420	0.467	conjugate
conjugation	0.479	0.429	0.582	banghay
conjunction	0.520	0.472	0.509	pang-ugnay
conjunctive	0.487	0.444	0.639	pang-ugnay
conjure	0.385	0.679	0.645	mag-isip
conjuring	0.224	0.653	0.694	pagkukunwari
conk	0.340	0.469	0.404	conk
connect	0.724	0.299	0.536	kumonekta
connected	0.816	0.550	0.612	konektado
connection	0.729	0.560	0.655	koneksyon
connective	0.719	0.491	0.764	nag-uugnay
connoisseur	0.760	0.461	0.769	manhid
conquer	0.694	0.873	0.971	lupigin
conquering	0.760	0.873	0.936	pananakop
conqueror	0.604	0.809	0.930	mananakop
conquest	0.710	0.702	0.833	pananakop
conscience	0.663	0.375	0.721	konsensya
conscientious	0.688	0.404	0.688	matapat
conscious	0.740	0.333	0.705	malay
consciousness	0.840	0.483	0.755	kamalayan
conscription	0.396	0.775	0.642	pagpapatala sa tungkulin
consecrated	0.663	0.500	0.800	itinalaga
consecration	0.771	0.418	0.804	pagtatalaga
consecutive	0.663	0.418	0.643	magkasunod
consensual	0.663	0.417	0.655	pinagkasunduan
consensus	0.627	0.358	0.625	pinagkasunduan
consent	0.750	0.500	0.620	pagpayag
consenting	0.727	0.406	0.693	pumayag
consequence	0.240	0.721	0.593	kahihinatnan
consequent	0.663	0.471	0.625	kinahinatnan
conservation	0.832	0.401	0.606	konserbasyon
conservatism	0.406	0.369	0.633	konserbatismo
conservative	0.615	0.316	0.788	konserbatibo
conservatory	0.635	0.240	0.729	konserbatoryo
conserve	0.690	0.347	0.573	tipid
consider	0.677	0.368	0.579	isaalang-alang
considerable	0.653	0.314	0.683	malaki
considerate	0.781	0.380	0.633	maalalahanin
consideration	0.589	0.380	0.687	pagsasaalang-alang
consignee	0.635	0.385	0.602	consignee
consignment	0.490	0.440	0.500	padala
consist	0.823	0.386	0.580	binubuo
consistency	0.714	0.500	0.887	hindi pagbabago
consistent	0.786	0.431	0.726	pare-pareho
consolation	0.408	0.250	0.304	aliw
console	0.625	0.398	0.415	console
consoled	0.700	0.343	0.452	naaaliw
consolidate	0.880	0.440	0.870	pagsamahin
consolidated	0.700	0.366	0.784	pinagsama-sama
consolidation	0.604	0.445	0.776	pagpapatatag
consonant	0.500	0.347	0.417	katinig
consort	0.632	0.509	0.630	asawa
conspicuous	0.479	0.520	0.596	kahanga-hanga
conspiracy	0.125	0.787	0.652	pagsasabwatan
conspirator	0.271	0.786	0.707	kasabwat
conspire	0.206	0.740	0.520	makipagsabwatan
constable	0.573	0.667	0.764	constable
constancy	0.786	0.443	0.763	katatagan
constant	0.740	0.296	0.686	pare-pareho
constantly	0.663	0.561	0.700	tuloy-tuloy
constellation	0.719	0.533	0.775	konstelasyon
consternation	0.167	0.680	0.469	pagkabalisa
constipation	0.079	0.612	0.231	pagtitibi
constituency	0.500	0.480	0.696	nasasakupan
constituent	0.573	0.500	0.827	bumubuo
constituents	0.573	0.414	0.833	mga nasasakupan
constitute	0.812	0.349	0.906	bumubuo
constitution	0.590	0.380	0.889	konstitusyon
constitutional	0.633	0.418	0.827	konstitusyonal
constitutionality	0.612	0.439	0.853	konstitusyonalidad
constrain	0.261	0.500	0.500	hadlangan
constrained	0.135	0.537	0.357	pinipigilan
constraint	0.323	0.550	0.481	paghihigpit
construct	0.750	0.648	0.792	bumuo
construction	0.848	0.612	0.759	pagtatayo
constructive	0.860	0.570	0.812	nakabubuo
construe	0.602	0.519	0.553	ipakahulugan
consul	0.573	0.354	0.688	konsul
consulate	0.561	0.453	0.694	konsulado
consult	0.755	0.370	0.441	sumangguni
consultant	0.770	0.344	0.808	consultant
consultation	0.660	0.463	0.625	konsultasyon
consume	0.427	0.620	0.509	ubusin
consumer	0.507	0.551	0.677	mamimili
consuming	0.573	0.541	0.536	nakakaubos
consummate	0.551	0.540	0.558	ganap
consummation	0.583	0.676	0.661	katuparan
consumption	0.390	0.531	0.538	pagkonsumo
contact	0.719	0.424	0.526	contact
contagion	0.208	0.630	0.535	pagkahawa
contagious	0.184	0.725	0.400	nakakahawa
contain	0.542	0.490	0.658	naglalaman ng
container	0.551	0.396	0.561	lalagyan
containment	0.411	0.491	0.618	pagpigil
contaminate	0.140	0.611	0.426	makahawa
contaminated	0.040	0.500	0.368	kontaminado
contamination	0.125	0.610	0.375	karumihan
contemplate	0.740	0.347	0.642	pag-isipan
contemplation	0.552	0.324	0.627	pagmumuni-muni
contemplative	0.729	0.308	0.739	mapagnilay-nilay
contemporaneous	0.640	0.373	0.591	kasabay
contemporary	0.720	0.365	0.569	magkapanabay
contempt	0.206	0.635	0.396	paghamak
contemptible	0.146	0.657	0.471	kasuklam-suklam
contemptuous	0.204	0.500	0.375	mapanglait
contend	0.510	0.657	0.731	makipagtalo
contender	0.480	0.790	0.681	kalaban
contending	0.490	0.698	0.716	nakikipagtalo
content	0.764	0.296	0.559	nilalaman
contented	0.857	0.612	0.746	kontento na
contention	0.375	0.510	0.738	pagtatalo
contentious	0.422	0.573	0.637	palaaway
contentment	0.875	0.610	0.782	kasiyahan
contents	0.656	0.375	0.550	nilalaman
contest	0.667	0.698	0.717	paligsahan
contestant	0.760	0.530	0.602	kalahok
context	0.531	0.300	0.553	konteksto
contiguous	0.375	0.450	0.500	magkadikit
continence	0.450	0.396	0.469	pagpipigil
continent	0.551	0.373	0.833	kontinente
continental	0.486	0.350	0.755	kontinental
contingency	0.396	0.500	0.670	contingency
contingent	0.470	0.531	0.659	contingent
