English Word	Valence	Arousal	Dominance	Uzbek Word
biogenesis	0.594	0.442	0.697	biogenez
biographer	0.708	0.427	0.617	biograf
biography	0.698	0.229	0.718	biografiyasi
biological	0.590	0.410	0.615	biologik
biologist	0.625	0.453	0.693	biolog
biology	0.479	0.274	0.546	biologiya
bionic	0.571	0.570	0.788	bionik
biopsy	0.323	0.657	0.481	biopsiya
biosphere	0.684	0.351	0.579	biosfera
bipartite	0.365	0.480	0.464	ikki tomonlama
bipolar	0.208	0.685	0.426	bipolyar
birch	0.562	0.346	0.382	qayin
bird	0.729	0.357	0.364	qush
birdcage	0.480	0.398	0.318	qush qafasi
birdie	0.594	0.394	0.407	qush
birdman	0.490	0.567	0.604	qushchi
birth	0.896	0.655	0.536	tug'ilish
birthday	0.969	0.844	0.575	tug'ilgan kun
birthing	0.796	0.877	0.519	tug'ilish
birthmark	0.630	0.461	0.500	tug'ilish belgisi
birthplace	0.781	0.290	0.491	tug'ilgan joyi
birthright	0.684	0.417	0.714	tug'ma huquq
bis	0.440	0.420	0.345	bis
biscuit	0.888	0.260	0.231	pechene
bishop	0.594	0.184	0.725	episkop
bison	0.573	0.433	0.557	bizon
bisque	0.693	0.443	0.312	pechene
bistro	0.594	0.472	0.396	bistro
bit	0.427	0.310	0.225	bit
bitch	0.276	0.740	0.343	kaltak
bitchy	0.188	0.700	0.373	kaltak
bite	0.219	0.796	0.510	tishlash
biter	0.260	0.598	0.500	achchiq
bitsy	0.510	0.388	0.382	bitsy
bitter	0.218	0.627	0.411	achchiq
bitterly	0.194	0.685	0.362	achchiq
bitterness	0.115	0.633	0.270	achchiqlik
bittersweet	0.469	0.569	0.474	achchiq-shirin
bitty	0.469	0.271	0.257	achchiq
bitumen	0.375	0.235	0.307	bitum
biweekly	0.581	0.337	0.455	ikki haftada bir marta
biz	0.500	0.473	0.473	biz
bizarre	0.379	0.620	0.392	g'alati
blab	0.438	0.425	0.353	blab
blabbermouth	0.323	0.640	0.422	labbermouth
blackberry	0.667	0.413	0.453	BlackBerry
blackbird	0.520	0.340	0.405	qoraqurt
blackboard	0.469	0.255	0.287	doska
blacken	0.208	0.500	0.228	qoralash
blackface	0.302	0.490	0.441	qora yuz
blackjack	0.419	0.679	0.452	blackjack
blacklist	0.133	0.750	0.396	qora ro'yxat
blackmail	0.094	0.802	0.482	shantaj
blackmailer	0.092	0.780	0.472	shantajchi
blackness	0.260	0.480	0.406	qoralik
blackout	0.126	0.530	0.349	qorayish
blacksmith	0.480	0.531	0.702	temirchi
bladder	0.406	0.412	0.330	siydik pufagi
blade	0.378	0.602	0.594	pichoq
blame	0.115	0.640	0.309	ayblash
blameless	0.759	0.196	0.343	aybsiz
bland	0.300	0.226	0.157	yumshoq
blank	0.531	0.229	0.250	bo'sh
blanket	0.740	0.132	0.391	adyol
blare	0.439	0.561	0.519	porlash
blase	0.420	0.310	0.412	blase
blasphemous	0.210	0.755	0.491	kufr
blasphemy	0.146	0.794	0.406	kufr
blast	0.167	0.929	0.777	portlash
blaster	0.459	0.538	0.554	blaster
blastoff	0.357	0.865	0.736	portlash
blatant	0.327	0.677	0.675	ochiqchasiga
blather	0.344	0.481	0.382	baqirmoq
blaze	0.698	0.467	0.658	alanga
blazer	0.635	0.385	0.417	blazer
blazing	0.594	0.896	0.735	yonayotgan
bleach	0.336	0.282	0.337	oqartiruvchi
bleak	0.204	0.427	0.272	xira
bleed	0.041	0.843	0.346	qon ketish
bleeder	0.260	0.852	0.356	qon ketuvchi
bleeding	0.135	0.817	0.408	qon ketishi
bleep	0.479	0.667	0.345	jiringlash
blemish	0.219	0.558	0.272	dog'
blemished	0.173	0.469	0.370	dog'langan
blend	0.469	0.452	0.463	aralashtirmoq
blender	0.602	0.534	0.351	blender
blending	0.560	0.418	0.637	aralashtirish
bless	0.929	0.269	0.588	baraka ber
blessed	0.910	0.279	0.696	muborak
blessing	0.929	0.264	0.800	baraka
blessings	0.929	0.361	0.623	barakalar
bleu	0.460	0.354	0.379	bleu
blight	0.271	0.771	0.429	xastalik
blighted	0.146	0.615	0.296	xiralashgan
blimp	0.600	0.410	0.532	pufak
blinded	0.245	0.471	0.231	ko'r bo'lgan
blindfold	0.448	0.684	0.337	ko'zi bog'langan
blindfolded	0.208	0.564	0.209	ko'zlari bog'langan
blinding	0.304	0.596	0.406	ko'r qilish
blindly	0.439	0.598	0.278	ko'r-ko'rona
blindness	0.245	0.480	0.196	ko'rlik
blink	0.552	0.316	0.324	miltillash
blip	0.529	0.461	0.418	chayqalish
bliss	0.816	0.500	0.782	baxt
blissful	0.885	0.639	0.676	baxtiyor
blister	0.407	0.538	0.402	blister
blistering	0.344	0.569	0.390	qabariq
blitz	0.417	0.722	0.789	blits
blizzard	0.375	0.726	0.417	bo'ron
bloat	0.229	0.694	0.298	shishiradi
bloated	0.167	0.593	0.424	shishgan
blob	0.500	0.376	0.298	blob
block	0.286	0.350	0.402	blok
blockade	0.380	0.519	0.510	blokada
blockage	0.250	0.608	0.444	blokirovka
blockbuster	0.730	0.676	0.883	blokbaster
blockhead	0.163	0.333	0.148	blok bosh
blog	0.639	0.390	0.432	blog
bloke	0.450	0.479	0.545	yigit
blond	0.590	0.490	0.490	sarg'ish
blonde	0.698	0.545	0.412	sarg'ish
blood	0.219	0.684	0.585	qon
bloodbath	0.060	0.971	0.475	qon to'kilishi
bloodhound	0.327	0.462	0.538	qonli it
bloodless	0.292	0.390	0.212	qonsiz
bloodline	0.510	0.657	0.604	qon chizig'i
bloodshed	0.048	0.942	0.525	qon to'kish
bloodshot	0.188	0.810	0.482	qon to'kilishi
bloodstream	0.552	0.530	0.528	qon oqimi
bloodthirsty	0.052	0.804	0.644	qonxo'r
bloody	0.031	0.910	0.518	qonli
bloom	0.816	0.453	0.587	gullash
bloomers	0.521	0.587	0.395	gul ochuvchilar
blooming	0.860	0.452	0.593	gullash
blossom	0.792	0.275	0.309	gullash
blot	0.365	0.304	0.223	dog'
blotched	0.133	0.562	0.264	qoraygan
blotter	0.360	0.298	0.280	quritgich
blouse	0.580	0.190	0.302	bluzka
blow	0.316	0.750	0.570	puflamoq
blower	0.564	0.550	0.536	puflagich
blowfish	0.344	0.420	0.389	puflash baliqlari
blowing	0.521	0.472	0.434	puflash
blowjob	0.460	0.784	0.387	oral seks
blown	0.333	0.548	0.412	puflangan
blowout	0.398	0.792	0.616	ISHIRMOQ
blowtorch	0.520	0.730	0.510	puflagich
blubber	0.388	0.260	0.360	yog '
bluddy	0.312	0.528	0.442	xira
blue	0.646	0.137	0.291	ko'k
blue spruce	0.559	0.335	0.364	ko'k archa
blueberry	0.656	0.185	0.365	buta mevasi
bluebird	0.573	0.350	0.450	ko'k qush
bluegrass	0.573	0.441	0.395	blugrass
bluejay	0.635	0.520	0.310	bluejay
blueprint	0.490	0.173	0.425	chizma
blues	0.469	0.220	0.287	blyuz
bluff	0.418	0.286	0.377	blef
bluish	0.604	0.245	0.382	mavimsi
blunder	0.135	0.635	0.145	qo'pol xato
blunt	0.551	0.680	0.925	to'mtoq
blur	0.268	0.471	0.205	xiralashish
blurred	0.320	0.367	0.231	xiralashgan
blurry	0.059	0.385	0.218	loyqa
blurt	0.408	0.439	0.441	xiralashish
blush	0.698	0.610	0.445	qizarib ketish
blushing	0.510	0.789	0.288	qizarib ketish
boa	0.255	0.569	0.542	boa
boa constrictor	0.198	0.784	0.609	boa konstriktori
boar	0.406	0.500	0.351	to'ng'iz
board	0.592	0.255	0.385	taxta
board game	0.711	0.490	0.349	o'yin
boarder	0.604	0.440	0.475	pansioner
boarding	0.531	0.402	0.534	bortga chiqish
boardroom	0.555	0.566	0.661	majlislar zali
boards	0.469	0.270	0.524	taxtalar
boardwalk	0.643	0.481	0.549	yo'lak
boast	0.520	0.586	0.569	maqtanmoq
boastful	0.490	0.806	0.695	maqtanchoq
boasting	0.417	0.620	0.602	maqtanish
boat	0.516	0.420	0.554	qayiq
boathouse	0.592	0.380	0.404	qayiqxona
boating	0.638	0.613	0.557	qayiqda sayr qilish
boatload	0.365	0.415	0.485	qayiq yuki
boatman	0.592	0.573	0.562	qayiqchi
bobbin	0.429	0.472	0.353	bobin
bobcat	0.562	0.490	0.529	bobcat
bobsled	0.667	0.613	0.325	bobsled
bode	0.344	0.406	0.411	belgi
bodega	0.573	0.307	0.398	bodega
bodice	0.390	0.471	0.386	ko'ylak
bodily	0.594	0.481	0.557	jismonan
body	0.694	0.461	0.571	tanasi
bodyguard	0.510	0.710	0.754	tansoqchi
bog	0.302	0.361	0.365	botqoq
bogey	0.380	0.519	0.368	ahmoq
bogeyman	0.388	0.708	0.517	o'yinchi
bogus	0.219	0.353	0.144	soxta
bohemian	0.622	0.500	0.407	bohem
boil	0.417	0.684	0.433	qaynatib oling
boiler	0.561	0.590	0.509	qozon
boilerplate	0.398	0.519	0.387	qozon plitasi
boiling	0.302	0.690	0.526	qaynash
boisterous	0.385	0.806	0.565	shovqinli
bold	0.490	0.271	0.483	qalin
boldness	0.806	0.684	0.814	jasorat
bollocks	0.448	0.471	0.327	bolloklar
bolster	0.708	0.471	0.569	mustahkamlash
bolt	0.354	0.363	0.426	murvat
bolus	0.426	0.491	0.352	bolus
bomb	0.167	0.912	0.750	bomba
bombard	0.156	0.961	0.777	bombardimon qilish
bombardier	0.240	0.863	0.787	bombardimonchi
bombardment	0.146	0.959	0.742	bombardimon qilish
bombed	0.051	0.851	0.627	bombalangan
bomber	0.125	0.837	0.810	bombardimonchi
bombers	0.173	0.920	0.787	bombardimonchilar
bombing	0.167	0.963	0.732	bombardimon qilish
bombshell	0.327	0.868	0.693	bomba
bonanza	0.875	0.410	0.683	bonanza
bonbon	0.865	0.551	0.446	bonbon
bond	0.667	0.519	0.630	rishta
bondage	0.146	0.705	0.355	qullik
bonding	0.594	0.442	0.509	bog'lash
bonds	0.740	0.472	0.583	obligatsiyalar
bondsman	0.469	0.497	0.675	qul
bone	0.337	0.370	0.413	suyak
bonehead	0.337	0.521	0.518	suyak boshi
boner	0.344	0.612	0.393	boner
bones	0.281	0.343	0.358	suyaklar
bonfire	0.480	0.719	0.473	gulxan
bong	0.333	0.566	0.375	bong
bonkers	0.306	0.847	0.278	ahmoqlar
bonne	0.448	0.395	0.362	suyak
bonnet	0.406	0.509	0.473	kaput
bonny	0.561	0.404	0.444	go'zal
bonsai	0.714	0.235	0.375	bonsai
bonus	0.857	0.620	0.682	bonus
bony	0.445	0.462	0.330	suyakli
boo	0.153	0.676	0.309	boo
boob	0.694	0.600	0.392	ko'krak
booby	0.396	0.423	0.185	bubi
booger	0.399	0.537	0.427	booger
boogeyman	0.292	0.559	0.567	o'g'itchi
boogie	0.590	0.543	0.400	bugi
book	0.802	0.210	0.606	kitob
bookcase	0.553	0.221	0.490	kitob javoni
bookie	0.344	0.633	0.618	bukuvchi
booking	0.708	0.503	0.583	bron qilish
bookish	0.604	0.236	0.430	kitobiy
bookkeeper	0.480	0.363	0.468	buxgalter
bookkeeping	0.520	0.214	0.592	buxgalteriya hisobi
booklet	0.510	0.270	0.351	buklet
bookmaker	0.583	0.804	0.633	bukmeker
bookmark	0.543	0.441	0.415	xatcho'p
books	0.729	0.115	0.430	kitoblar
bookseller	0.583	0.317	0.456	kitob sotuvchisi
bookshop	0.688	0.291	0.389	kitob do'koni
bookstore	0.771	0.180	0.503	kitob do'koni
bookworm	0.563	0.337	0.316	kitob qurti
boom	0.604	0.655	0.731	bum
boomer	0.480	0.539	0.441	boomer
boomerang	0.531	0.625	0.500	bumerang
booming	0.688	0.554	0.661	gullab-yashnamoqda
boon	0.878	0.294	0.642	ne'mat
boooo	0.271	0.549	0.255	boooo
boost	0.865	0.730	0.750	oshirish
booster	0.755	0.600	0.800	kuchaytiruvchi
boot	0.438	0.650	0.625	yuklash
booth	0.531	0.400	0.310	kabina
bootleg	0.357	0.519	0.466	bootleg
bootlegger	0.354	0.649	0.541	bootlegger
boots	0.602	0.255	0.350	etiklar
booty	0.663	0.587	0.784	o'lja
booze	0.265	0.745	0.431	spirtli ichimlik
bop	0.429	0.490	0.426	bop
bopper	0.398	0.530	0.385	bopper
border	0.406	0.382	0.424	chegara
bordering	0.643	0.382	0.438	chegaradosh
borderline	0.449	0.520	0.490	chegara chizig'i
bore	0.417	0.440	0.455	zerikish
boreal	0.582	0.348	0.400	boreal
bored	0.153	0.167	0.196	zerikkan
boredom	0.167	0.139	0.255	zerikish
borer	0.302	0.549	0.578	burg'ulash
boring	0.194	0.217	0.125	zerikarli
born	0.865	0.509	0.591	tug'ilgan
boron	0.441	0.370	0.375	bor
borough	0.429	0.343	0.380	tuman
borrow	0.398	0.573	0.282	qarz olish
borrower	0.439	0.423	0.763	qarz oluvchi
bosom	0.612	0.588	0.404	ko'krak
boss	0.310	0.627	0.954	xo'jayin
bossy	0.240	0.824	0.750	boshliq
boston	0.643	0.380	0.580	Boston
botanical	0.660	0.259	0.491	botanika
botanist	0.651	0.240	0.456	botanik
botany	0.604	0.201	0.500	botanika
bother	0.208	0.780	0.370	bezovta qilmoq
bothering	0.208	0.764	0.449	bezovta
bottle	0.469	0.236	0.336	shisha
bottleneck	0.284	0.471	0.287	to'siq
bottling	0.365	0.333	0.370	shishaga quyish
bottom	0.417	0.370	0.291	pastki
bottomless	0.310	0.470	0.368	tubsiz
botulism	0.292	0.575	0.386	botulizm
boulder	0.461	0.309	0.531	tosh
bounce	0.375	0.633	0.386	sakrash
bouncer	0.490	0.653	0.655	sakrashchi
bouncy	0.562	0.565	0.429	chaqqon
bound	0.417	0.667	0.310	bog'langan
boundary	0.561	0.427	0.518	chegara
boundless	0.684	0.642	0.652	cheksiz
bounds	0.378	0.426	0.604	chegaralar
bountiful	0.854	0.596	0.759	serob
bounty	0.760	0.755	0.833	ne'mat
bouquet	0.724	0.352	0.306	guldasta
bourbon	0.602	0.490	0.517	burbon
bourgeois	0.439	0.593	0.682	burjua
bourgeoisie	0.357	0.417	0.767	burjuaziya
bourse	0.530	0.230	0.336	birja
bout	0.208	0.808	0.679	jang
boutique	0.745	0.490	0.441	butik
bouttime	0.588	0.373	0.410	to'qnashuv vaqti
bovine	0.449	0.255	0.353	sigir
bow	0.530	0.306	0.408	ta'zim
bowed	0.410	0.418	0.368	ta'zim qildi
bowel	0.306	0.417	0.391	ichak
bowels	0.194	0.448	0.362	ichaklar
bowl	0.625	0.377	0.358	kosa
bowler	0.552	0.633	0.481	bolg'achi
bowling	0.656	0.431	0.309	bouling
bowls	0.551	0.280	0.277	kosalar
box	0.500	0.179	0.312	quti
boxcar	0.420	0.469	0.421	vagon
boxer	0.490	0.810	0.802	bokschi
boxers	0.375	0.880	0.654	bokschilar
boxing	0.427	0.854	0.645	boks
boycott	0.112	0.690	0.505	boykot
boyfriend	0.781	0.604	0.547	yigit
boyhood	0.729	0.745	0.500	bolalik
boyish	0.698	0.562	0.462	yigitcha
boysenberry	0.646	0.409	0.475	boysenberry
bozo	0.388	0.364	0.298	bozo
bra	0.672	0.529	0.509	sutyen
brace	0.610	0.385	0.364	qavs
bracelet	0.776	0.340	0.322	bilaguzuk
braces	0.500	0.337	0.568	qavslar
brachial	0.388	0.363	0.464	brakiyal
bracket	0.490	0.350	0.682	qavs
brackets	0.573	0.281	0.435	qavslar
brackish	0.469	0.368	0.421	sho'r
brad	0.490	0.385	0.402	brad
brag	0.347	0.545	0.578	maqtanmoq
braid	0.427	0.222	0.216	ortiqcha oro bermay
brain	0.667	0.441	0.823	miya
brainless	0.138	0.310	0.224	miyasiz
brains	0.663	0.557	0.722	miyalar
brainstorm	0.794	0.784	0.636	aql bo'roni
brainwash	0.198	0.647	0.481	miya yuvish
brainy	0.708	0.520	0.648	aqlli
brake	0.312	0.481	0.310	tormoz
bran	0.688	0.433	0.483	kepak
branch	0.538	0.206	0.250	filiali
branching	0.520	0.422	0.472	shoxlanish
brand	0.562	0.284	0.547	brend
brandy	0.600	0.590	0.487	brendi
brash	0.360	0.814	0.552	jasur
brass	0.500	0.320	0.490	guruch
brass knuckle	0.406	0.449	0.518	mis bo'g'im
brassiere	0.510	0.469	0.336	sutyen
brat	0.312	0.440	0.231	brat
bratwurst	0.510	0.490	0.464	bratwurst
bravado	0.479	0.510	0.527	jasorat
brave	0.837	0.750	0.917	jasur
bravery	0.898	0.745	0.868	jasorat
brawl	0.104	0.938	0.603	mushtlashuv
brawn	0.438	0.402	0.544	qo'ng'irchoq
brazen	0.292	0.640	0.518	shafqatsiz
breach	0.177	0.745	0.423	buzish
bread	0.660	0.314	0.342	non
breadth	0.667	0.490	0.644	kenglik
break	0.610	0.265	0.370	tanaffus
breakable	0.194	0.667	0.408	sinishi mumkin
breakaway	0.479	0.802	0.519	ajralib chiqish; uzoqlashish
breakdown	0.365	0.423	0.361	sindirish
breaker	0.323	0.527	0.520	to'xtatuvchi
breakers	0.469	0.588	0.439	to'xtatuvchilari
breakfast	0.885	0.330	0.429	nonushta
breaking and entering	0.418	0.729	0.500	buzish va kirish
breakingnews	0.500	0.552	0.607	Tezkor xabarlar
breakneck	0.254	0.833	0.604	buzuqlik
breakthrough	0.680	0.525	0.718	yutuq
breakup	0.250	0.720	0.357	sindirish; ayrilish; to'xtatish
breast	0.753	0.429	0.500	ko'krak
breath	0.684	0.392	0.451	nafas
breathe	0.833	0.373	0.518	nafas ol
breather	0.624	0.471	0.388	nafas oluvchi
breathless	0.323	0.490	0.222	nafassiz
breathtaking	0.936	0.792	0.921	hayajonli
breech	0.500	0.637	0.422	kamar
breeches	0.365	0.457	0.333	shimlar
breed	0.490	0.441	0.578	nasl
breeder	0.645	0.481	0.605	selektsioner
breeding	0.667	0.481	0.610	naslchilik
breeze	0.837	0.284	0.370	shabada
breezy	0.531	0.472	0.482	shamolli
brethren	0.917	0.380	0.641	birodarlar
breve	0.535	0.365	0.191	breve
brevity	0.459	0.434	0.375	qisqalik
brew	0.740	0.538	0.758	pishirmoq
brewery	0.710	0.622	0.510	pivo zavodi
brewing	0.740	0.593	0.609	pivo tayyorlash
briar	0.493	0.375	0.407	briar
bribe	0.112	0.690	0.472	pora berish
bribery	0.135	0.775	0.585	poraxo'rlik
brick	0.217	0.418	0.368	g'isht
bridal	0.823	0.655	0.596	kelinlik
bride	0.840	0.708	0.579	kelin
bridegroom	0.809	0.736	0.527	kuyov
bridesmaid	0.748	0.519	0.618	kelinlik
bridge	0.625	0.324	0.519	ko'prik
bridle	0.427	0.367	0.386	jilov
brief	0.469	0.300	0.279	qisqacha
briefcase	0.542	0.206	0.442	portfel
briefing	0.612	0.333	0.702	brifing
briefly	0.686	0.314	0.330	qisqacha
brig	0.573	0.539	0.500	brig
brigade	0.604	0.710	0.828	brigada
bright	0.890	0.527	0.812	yorqin
brighten	0.760	0.547	0.649	yorqinlashtirmoq
brightens	0.771	0.611	0.613	yoritadi
brighter	0.918	0.698	0.833	yorqinroq
brightness	0.938	0.623	0.660	yorqinlik
brilliance	0.990	0.673	0.830	yorqinlik
brilliant	0.939	0.575	0.923	ajoyib
brim	0.469	0.333	0.330	chekka
brimming	0.656	0.690	0.758	to'lib-toshgan
brimstone	0.357	0.520	0.440	oltingugurt
brine	0.333	0.481	0.361	sho'r suv
bring	0.635	0.460	0.462	olib keling
brink	0.375	0.413	0.356	chekka
brisk	0.719	0.745	0.742	jonli
brisket	0.552	0.378	0.222	brisket
bristle	0.375	0.375	0.326	tuk
brittle	0.276	0.490	0.272	mo'rt
bro	0.794	0.349	0.684	uka
broach	0.438	0.439	0.675	brosh
broad	0.762	0.365	0.637	keng
broadcast	0.615	0.587	0.355	efirga uzatish
broadcasting	0.542	0.700	0.706	eshittirish
broaden	0.678	0.602	0.610	kengaytirmoq
broadside	0.459	0.316	0.462	keng tomoni
broadsword	0.469	0.573	0.615	keng so'z
brocade	0.500	0.327	0.464	brokar
broccoli	0.469	0.200	0.283	brokkoli
brochure	0.552	0.226	0.391	broshyura
broil	0.510	0.404	0.330	qovurmoq
broke	0.245	0.590	0.370	buzildi
broken	0.062	0.500	0.293	buzilgan
brokenheart	0.115	0.577	0.343	singan yurak
brokenhearted	0.130	0.598	0.227	qalbi singan
broker	0.582	0.462	0.600	broker
brokerage	0.479	0.500	0.500	vositachilik
bromide	0.347	0.425	0.411	bromid
bronco	0.500	0.510	0.473	bronko
bronze	0.622	0.333	0.526	bronza
brooch	0.531	0.260	0.380	brosh
brood	0.633	0.519	0.434	nasl
brooding	0.327	0.367	0.333	xayolparastlik
brook	0.594	0.347	0.412	ariq
broom	0.385	0.154	0.302	supurgi
broomstick	0.410	0.265	0.227	supurgi
broth	0.500	0.245	0.168	bulyon
brothel	0.255	0.886	0.418	fohishaxona
brother	0.823	0.361	0.546	uka
brotherhood	0.990	0.471	0.760	birodarlik
brotherly	0.865	0.306	0.596	birodarlik
brow	0.562	0.311	0.481	qosh
brown	0.396	0.202	0.293	jigarrang
brownstone	0.559	0.423	0.439	jigarrang tosh
browse	0.635	0.750	0.592	ko'rib chiqish
brrr	0.373	0.540	0.282	brrr
bruise	0.133	0.640	0.474	ko'karish
bruising	0.084	0.520	0.422	ko'karish
brunch	0.406	0.363	0.343	nonushta
brunette	0.802	0.528	0.529	qoramag'iz
brunt	0.204	0.750	0.349	og'ir
brush	0.490	0.265	0.186	cho'tka
brutal	0.122	0.882	0.643	shafqatsiz
brutality	0.122	0.832	0.571	shafqatsizlik
brute	0.115	0.547	0.379	qo'pol
brutish	0.270	0.837	0.588	shafqatsiz
bubble	0.774	0.213	0.364	qabariq
bubbling	0.500	0.438	0.384	qabariq
bubbly	0.698	0.608	0.462	pufakchali
bubonic	0.280	0.530	0.394	bubonik
buck	0.677	0.577	0.720	pul
buckaroo	0.448	0.469	0.479	karabuak
bucket	0.408	0.167	0.336	chelak
buckle	0.416	0.373	0.361	qisqich
buckled	0.427	0.358	0.439	bukilgan
bucko	0.439	0.455	0.465	bukko
buckshot	0.255	0.740	0.322	otishma
buckwheat	0.490	0.471	0.434	grechka
bud	0.460	0.402	0.333	kurtak
buddha	0.690	0.198	0.604	Budda
buddhism	0.510	0.115	0.673	buddizm
budding	0.490	0.500	0.355	tomurcuklanma
buddy	0.884	0.585	0.655	do'stim
budge	0.719	0.755	0.543	budjet
budget	0.643	0.396	0.731	byudjet
buff	0.561	0.425	0.361	buff
buffalo	0.469	0.528	0.527	qo'tos
buffer	0.520	0.474	0.350	bufer
buffering	0.479	0.468	0.381	buferlash
buffet	0.656	0.546	0.519	bufet
buffoon	0.344	0.651	0.290	buffon
bug	0.286	0.500	0.246	xato
bugaboo	0.439	0.491	0.441	bugabu
bugged	0.561	0.439	0.500	xafa bo'ldi
bugger	0.312	0.627	0.474	bugger
buggy	0.500	0.509	0.327	aravacha
bugle	0.479	0.588	0.391	bug'lamoq
bugler	0.542	0.540	0.393	bugler
build	0.771	0.546	0.806	qurmoq
builder	0.660	0.642	0.701	quruvchi
building	0.705	0.288	0.673	bino
buildings	0.582	0.380	0.552	binolar
buildup	0.490	0.509	0.623	qurmoq
bulb	0.562	0.208	0.300	lampochka
bulbous	0.390	0.442	0.430	bulbulli
bulge	0.260	0.487	0.400	bo'rtib
bulimic	0.092	0.570	0.373	bulimik
bulk	0.469	0.413	0.509	ommaviy
bulkhead	0.312	0.425	0.402	to'siq
bulky	0.427	0.591	0.750	katta hajmli
bull	0.521	0.640	0.644	buqa
bulldog	0.494	0.650	0.530	buldog
bulldozer	0.459	0.549	0.643	buldozer
bullet	0.408	0.794	0.634	o'q
bulletin	0.573	0.294	0.361	byulleten
bulletproof	0.750	0.721	0.779	o'q o'tkazmaydigan
bullfighter	0.448	0.794	0.664	buqa jangchisi
bullfrog	0.344	0.481	0.422	buqa qurbaqasi
bullheaded	0.229	0.740	0.516	boshli
bullhorn	0.510	0.653	0.736	buqa shoxi
bullion	0.693	0.558	0.729	quyma
bullock	0.281	0.402	0.375	buqa
bullpen	0.480	0.549	0.500	buqalar
bullshit	0.042	0.676	0.183	bema'nilik
bully	0.257	0.755	0.564	bezori
bulwark	0.551	0.552	0.675	qo'rg'on
bum	0.281	0.451	0.155	bum
bumblebee	0.469	0.493	0.321	bumblebee
bummed	0.296	0.430	0.227	xijolat tortdi
bummer	0.163	0.500	0.267	g'amgin
bump	0.286	0.458	0.368	zarba
bumper	0.385	0.573	0.518	bamper
bumpy	0.306	0.683	0.419	g'alati
bun	0.424	0.306	0.268	bulochka
bunch	0.552	0.358	0.473	to'da
bundle	0.510	0.343	0.434	to'plam
bungalow	0.562	0.352	0.406	bungalov
bungee	0.637	0.545	0.327	bungee
bunghole	0.286	0.426	0.396	tuynuk
bunion	0.276	0.340	0.290	bunyon
bunk	0.438	0.332	0.339	ranza
bunker	0.375	0.673	0.773	bunker
bunkhouse	0.470	0.414	0.407	bunkhouse
bunny	0.740	0.325	0.194	quyon
bunt	0.417	0.422	0.349	bunt
buoy	0.562	0.280	0.284	suzuvchi
buoyancy	0.625	0.373	0.538	suzuvchanlik
buoyant	0.625	0.441	0.497	suzuvchi
bur	0.385	0.353	0.314	bur
burden	0.367	0.583	0.697	yuk
burdened	0.429	0.519	0.565	yuklangan
burdensome	0.229	0.696	0.419	og'ir
bureau	0.562	0.373	0.618	byuro
bureaucracy	0.380	0.578	0.740	rasmiyatchilik
bureaucrat	0.208	0.519	0.598	byurokrat
bureaucratic	0.280	0.630	0.573	byurokratik
burger	0.688	0.568	0.398	burger
burglar	0.050	0.769	0.404	o'g'ri
burglary	0.146	0.918	0.543	o'g'irlik
burial	0.203	0.577	0.333	dafn qilish
buried	0.133	0.530	0.370	dafn etilgan
burke	0.466	0.441	0.451	burke
burlap	0.429	0.462	0.411	xalta
burlesque	0.327	0.615	0.343	burlesk
burly	0.562	0.650	0.750	o'tkir
burn	0.219	0.783	0.509	kuyish
burned	0.163	0.603	0.347	yondirilgan
burner	0.296	0.816	0.446	burner
burning	0.229	0.760	0.412	yonayotgan
burnished	0.520	0.580	0.464	yondirilgan
burnout	0.219	0.445	0.240	charchash
burnt	0.082	0.713	0.356	kuygan
burp	0.219	0.594	0.432	burp
burr	0.390	0.426	0.308	burr
burrito	0.688	0.294	0.166	burrito
burro	0.400	0.356	0.318	burro
burrow	0.438	0.280	0.355	chuqur
bursary	0.729	0.462	0.571	stipendiya
burst	0.156	0.894	0.845	portlash
bury	0.077	0.571	0.346	dafn qilmoq
bus	0.407	0.411	0.400	avtobus
busboy	0.510	0.453	0.441	busboy
bush	0.413	0.220	0.315	buta
bushel	0.417	0.387	0.368	bushel
bushy	0.562	0.321	0.427	buta
business	0.688	0.569	0.755	biznes
business man	0.530	0.598	0.933	Tadbirkor
businessman	0.653	0.510	0.802	Tadbirkor
businesswoman	0.719	0.500	0.764	Tadbirkor ayol
busload	0.561	0.481	0.492	avtobus yuki
buss	0.469	0.500	0.391	avtobus
bust	0.520	0.500	0.420	büstü
busted	0.204	0.676	0.345	buzib tashlangan
buster	0.469	0.491	0.483	buster
bustle	0.347	0.814	0.445	shovqin
bustling	0.490	0.850	0.528	shovqinli
busy	0.402	0.500	0.474	band
busybody	0.255	0.634	0.472	band odam
butane	0.442	0.483	0.380	butan
butcher	0.500	0.575	0.608	qassob
butler	0.469	0.225	0.438	butler
butt	0.347	0.725	0.336	dumba
butter	0.650	0.292	0.202	sariyog'
buttercup	0.562	0.482	0.422	sariyog'
butterfly	0.892	0.327	0.314	kapalak
buttermilk	0.633	0.311	0.304	ayran
butterscotch	0.708	0.510	0.356	sariyog '
buttery	0.625	0.318	0.303	sariyog '
buttock	0.429	0.600	0.288	dumba
buttocks	0.458	0.677	0.365	dumba
button	0.520	0.220	0.343	tugmasi
buttress	0.438	0.684	0.721	tayanch
buxom	0.562	0.719	0.547	buxom
buy	0.771	0.769	0.612	sotib olish
buyer	0.613	0.519	0.649	xaridor
