English Word	Valence	Arousal	Dominance	Kannada Word
archaic	0.271	0.327	0.332	ಪುರಾತನವಾದ
archangel	0.837	0.500	0.708	ಪ್ರಧಾನ ದೇವದೂತ
archbishop	0.622	0.280	0.776	ಆರ್ಚ್ಬಿಷಪ್
archdiocese	0.400	0.321	0.704	ಆರ್ಚ್ ಡಯೋಸಿಸ್
archduke	0.458	0.413	0.634	ಆರ್ಚ್ಡ್ಯೂಕ್
arched	0.582	0.403	0.398	ಕಮಾನಿನಾಕಾರದ
archer	0.573	0.622	0.661	ಬಿಲ್ಲುಗಾರ
archery	0.594	0.604	0.589	ಬಿಲ್ಲುಗಾರಿಕೆ
archetype	0.448	0.520	0.569	ಮೂಲಮಾದರಿ
archipelago	0.745	0.370	0.592	ದ್ವೀಪಸಮೂಹ
architect	0.776	0.442	0.836	ವಾಸ್ತುಶಿಲ್ಪಿ
architectural	0.729	0.390	0.670	ವಾಸ್ತುಶಿಲ್ಪೀಯ
architecture	0.820	0.390	0.694	ವಾಸ್ತುಶಿಲ್ಪ
archive	0.438	0.294	0.527	ಆರ್ಕೈವ್
arctic	0.615	0.352	0.546	ಆರ್ಕ್ಟಿಕ್
ardent	0.694	0.873	0.722	ಉತ್ಕಟ
ardor	0.500	0.780	0.538	ಉತ್ಸಾಹ
arduous	0.344	0.783	0.605	ಪ್ರಯಾಸಕರ
area	0.490	0.306	0.464	ಪ್ರದೇಶ
arena	0.510	0.235	0.404	ಅಖಾಡ
areola	0.417	0.396	0.381	ಅರೋಲಾ
areyoukidding	0.429	0.633	0.400	ನೀವು ತಮಾಷೆ ಮಾಡುತ್ತಿದ್ದೀರಿ
areyoukiddingme	0.365	0.635	0.375	ನೀನು ನನಗೆ ತಮಾಷೆಮಾಡುತ್ತಿದ್ದೀಯಾ
argent	0.594	0.418	0.472	ಅರ್ಜೆಂಟ್
argh	0.260	0.538	0.328	argh
arghh	0.292	0.536	0.397	ಅರ್ಘ್
arghhhh	0.250	0.618	0.324	arghhhh
argue	0.093	0.798	0.525	ವಾದಿಸುತ್ತಾರೆ
argument	0.510	0.464	0.698	ವಾದ
argumentation	0.479	0.549	0.760	ವಾದ
argumentative	0.450	0.531	0.679	ವಾದಾತ್ಮಕ
arguments	0.541	0.602	0.657	ವಾದಗಳು
arid	0.323	0.333	0.379	ಶುಷ್ಕ
arise	0.750	0.582	0.725	ಹುಟ್ಟಿಕೊಳ್ಳುತ್ತವೆ
aristocracy	0.688	0.549	0.842	ಶ್ರೀಮಂತರು
aristocrat	0.583	0.413	0.811	ಶ್ರೀಮಂತ
aristocratic	0.449	0.519	0.676	ಶ್ರೀಮಂತ
arithmetic	0.453	0.460	0.634	ಅಂಕಗಣಿತ
ark	0.396	0.427	0.543	ಆರ್ಕ್
arm	0.552	0.285	0.469	ತೋಳು
armada	0.408	0.740	0.868	ನೌಕಾಪಡೆ
armament	0.198	0.764	0.810	ಶಸ್ತ್ರಾಸ್ತ್ರ
armaments	0.192	0.839	0.830	ಶಸ್ತ್ರಾಸ್ತ್ರಗಳು
armature	0.510	0.558	0.755	ಆರ್ಮೇಚರ್
armchair	0.646	0.164	0.339	ತೋಳುಕುರ್ಚಿ
armed	0.188	0.750	0.808	ಶಸ್ತ್ರಸಜ್ಜಿತ
armor	0.469	0.625	0.784	ರಕ್ಷಾಕವಚ
armored	0.469	0.509	0.861	ಶಸ್ತ್ರಸಜ್ಜಿತ
armory	0.448	0.663	0.800	ಶಸ್ತ್ರಾಗಾರ
armpit	0.283	0.439	0.250	ಆರ್ಮ್ಪಿಟ್
arms	0.464	0.395	0.483	ತೋಳುಗಳು
army	0.417	0.759	0.902	ಸೈನ್ಯ
aroma	0.823	0.235	0.442	ಪರಿಮಳ
aromatherapy	0.847	0.220	0.473	ಅರೋಮಾಥೆರಪಿ
arousal	0.791	0.943	0.731	ಪ್ರಚೋದನೆ
arouse	0.740	0.491	0.580	ಪ್ರಚೋದಿಸುತ್ತವೆ
aroused	0.708	0.952	0.667	ಪ್ರಚೋದಿಸಿತು
arraignment	0.406	0.837	0.534	ನಿಯೋಜನೆ
arrange	0.740	0.490	0.571	ವ್ಯವಸ್ಥೆ ಮಾಡಿ
arranged	0.698	0.531	0.728	ವ್ಯವಸ್ಥೆ
arrangement	0.625	0.382	0.683	ವ್ಯವಸ್ಥೆ
array	0.521	0.396	0.568	ಶ್ರೇಣಿ
arrears	0.286	0.485	0.302	ಬಾಕಿ
arrest	0.146	0.951	0.500	ಬಂಧನ
arrhythmia	0.265	0.706	0.356	ಆರ್ಹೆತ್ಮಿಯಾ
arrival	0.678	0.510	0.474	ಆಗಮನ
arrive	0.837	0.406	0.585	ಆಗಮಿಸುತ್ತಾರೆ
arrogance	0.143	0.750	0.620	ದುರಹಂಕಾರ
arrogant	0.115	0.755	0.580	ದಾರ್ಷ್ಟ್ಯ
arrow	0.439	0.390	0.454	ಬಾಣ
arsehole	0.276	0.598	0.433	ಆರ್ಸ್ಹೋಲ್
arseholes	0.188	0.545	0.351	ಆರ್ಸ್ಹೋಲ್ಗಳು
arsenal	0.365	0.741	0.752	ಶಸ್ತ್ರಾಗಾರ
arsenic	0.281	0.472	0.447	ಆರ್ಸೆನಿಕ್
arson	0.133	0.904	0.567	ಅಗ್ನಿಸ್ಪರ್ಶ
arsonist	0.348	0.840	0.500	ಬೆಂಕಿ ಹಚ್ಚುವವ
art	0.812	0.360	0.603	ಕಲೆ
arterial	0.396	0.510	0.583	ಅಪಧಮನಿಯ
artery	0.396	0.580	0.537	ಅಪಧಮನಿ
artful	0.771	0.608	0.778	ಕಲಾತ್ಮಕ
arthritis	0.110	0.518	0.345	ಸಂಧಿವಾತ
arthropod	0.344	0.464	0.434	ಆರ್ತ್ರೋಪಾಡ್
artichoke	0.583	0.218	0.287	ಪಲ್ಲೆಹೂವು
article	0.594	0.280	0.481	ಲೇಖನ
articles	0.552	0.324	0.565	ಲೇಖನಗಳು
articulate	0.677	0.462	0.618	ಅಭಿವ್ಯಕ್ತಗೊಳಿಸುತ್ತವೆ
articulation	0.479	0.480	0.591	ಉಚ್ಚಾರಣೆ
artifact	0.510	0.500	0.566	ಕಲಾಕೃತಿ
artifice	0.316	0.696	0.482	ಕಲಾಕೃತಿ
artificial	0.306	0.385	0.351	ಕೃತಕ
artillery	0.350	0.912	0.794	ಫಿರಂಗಿ
artisan	0.781	0.330	0.411	ಕುಶಲಕರ್ಮಿ
artist	0.802	0.442	0.732	ಕಲಾವಿದ
artiste	0.844	0.512	0.565	ಕಲಾವಿದ
artistic	0.802	0.646	0.632	ಕಲಾತ್ಮಕ
artistry	0.823	0.346	0.769	ಕಲಾತ್ಮಕತೆ
artists	0.796	0.667	0.741	ಕಲಾವಿದರು
artwork	0.896	0.368	0.679	ಕಲಾಕೃತಿ
arty	0.490	0.422	0.388	ಕಲಾತ್ಮಕ
asap	0.571	0.500	0.552	ಆದಷ್ಟು ಬೇಗ
asbestos	0.357	0.481	0.464	ಕಲ್ನಾರಿನ
ascend	0.830	0.620	0.812	ಏರು
ascendancy	0.724	0.625	0.700	ಆರೋಹಣ
ascendant	0.656	0.673	0.821	ಆರೋಹಣ
ascending	0.826	0.644	0.777	ಆರೋಹಣ
ascension	0.765	0.720	0.714	ಆರೋಹಣ
ascent	0.755	0.627	0.833	ಆರೋಹಣ
ascertain	0.560	0.530	0.625	ಖಚಿತಪಡಿಸಿಕೊಳ್ಳುತ್ತಾರೆ
ascertained	0.531	0.529	0.616	ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ
ascetic	0.438	0.375	0.472	ತಪಸ್ವಿ
ash	0.260	0.210	0.207	ಬೂದಿ
ashamed	0.156	0.588	0.228	ನಾಚಿಕೆಯಾಯಿತು
ashes	0.327	0.279	0.142	ಬೂದಿ
ashtray	0.406	0.382	0.265	ಬೂದಿಪಾತ್ರೆ
asinine	0.429	0.472	0.433	ಅಸಿನೈನ್
ask	0.531	0.440	0.459	ಕೇಳು
asleeep	0.490	0.210	0.322	ನಿದ್ದೆಯಲ್ಲಿದೆ
asleep	0.604	0.100	0.270	ನಿದ್ರಿಸಿದೆ
asp	0.438	0.489	0.375	asp
asparagus	0.469	0.317	0.264	ಶತಾವರಿ
aspartame	0.469	0.480	0.322	ಆಸ್ಪರ್ಟೇಮ್
aspect	0.479	0.469	0.588	ಅಂಶ
aspects	0.439	0.480	0.565	ಅಂಶಗಳು
aspen	0.479	0.280	0.395	ಆಸ್ಪೆನ್
asphalt	0.479	0.264	0.439	ಡಾಂಬರು
asphyxia	0.198	0.704	0.311	ಉಸಿರುಕಟ್ಟುವಿಕೆ
asphyxiation	0.059	0.745	0.412	ಉಸಿರುಕಟ್ಟುವಿಕೆ
aspiration	0.704	0.724	0.675	ಆಕಾಂಕ್ಷೆ
aspire	0.812	0.469	0.722	ಹಾರೈಸುತ್ತಾರೆ
aspirin	0.479	0.271	0.422	ಆಸ್ಪಿರಿನ್
aspiring	0.844	0.582	0.604	ಮಹತ್ವಾಕಾಂಕ್ಷಿ
ass	0.323	0.750	0.345	ಕತ್ತೆ
assail	0.378	0.510	0.500	ಆಕ್ರಮಣ
assailant	0.184	0.868	0.602	ಆಕ್ರಮಣಕಾರ
assassin	0.073	0.933	0.632	ಹಂತಕ
assassinate	0.051	0.969	0.722	ಹತ್ಯೆ ಮಾಡು
assassination	0.083	0.941	0.525	ಹತ್ಯೆ
assault	0.167	0.848	0.550	ದಾಳಿ
assay	0.633	0.559	0.594	ವಿಶ್ಲೇಷಣೆ
assemblage	0.429	0.452	0.600	ಜೋಡಣೆ
assemble	0.542	0.570	0.750	ಜೋಡಿಸು
assembled	0.663	0.450	0.644	ಜೋಡಿಸಲಾಗಿದೆ
assembly	0.698	0.500	0.640	ಸಭೆ
assemblyman	0.430	0.538	0.760	ಅಸೆಂಬ್ಲಿ
assent	0.615	0.515	0.719	ಒಪ್ಪಿಗೆ
assert	0.750	0.619	0.809	ಪ್ರತಿಪಾದಿಸುತ್ತಾರೆ
asserting	0.694	0.531	0.736	ಪ್ರತಿಪಾದಿಸುತ್ತಿದೆ
assertion	0.740	0.442	0.750	ಪ್ರತಿಪಾದನೆ
assertive	0.719	0.412	0.770	ಪ್ರತಿಷ್ಠಾಪನೆಯ
assess	0.698	0.500	0.623	ನಿರ್ಣಯಿಸಿ
assessment	0.750	0.623	0.658	ಮೌಲ್ಯಮಾಪನ
assessor	0.551	0.538	0.764	ಮೌಲ್ಯಮಾಪಕ
asset	0.797	0.765	0.788	ಆಸ್ತಿ
assets	0.667	0.613	0.765	ಸ್ವತ್ತುಗಳು
asshole	0.133	0.582	0.263	ಕತ್ತೆ
assign	0.622	0.417	0.709	ನಿಯೋಜಿಸಿ
assignee	0.510	0.462	0.510	ನಿಯೋಜಿತ
assignment	0.483	0.398	0.745	ನಿಯೋಜನೆ
assimilate	0.559	0.391	0.683	ಸಮೀಕರಿಸು
assimilation	0.429	0.378	0.463	ಸಮೀಕರಣ
assist	0.833	0.435	0.629	ಸಹಾಯ
assistance	0.656	0.519	0.633	ನೆರವು
assistant	0.625	0.390	0.536	ಸಹಾಯಕ
associate	0.812	0.409	0.625	ಸಹವರ್ತಿ
association	0.745	0.500	0.817	ಸಂಘ
assorted	0.602	0.460	0.472	ವರ್ಗೀಕರಿಸಲಾಗಿದೆ
assortment	0.694	0.360	0.526	ವಿಂಗಡಣೆ
assuage	0.745	0.255	0.500	ಸಮಾಧಾನಗೊಳಿಸು
assume	0.698	0.401	0.464	ಊಹಿಸುತ್ತವೆ
assumed	0.612	0.247	0.454	ಊಹಿಸಲಾಗಿದೆ
assuming	0.740	0.390	0.526	ಊಹಿಸಿಕೊಂಡು
assumption	0.479	0.431	0.417	ಊಹೆ
assurance	0.675	0.442	0.704	ಭರವಸೆ
assure	0.910	0.460	0.839	ಭರವಸೆ
assured	0.878	0.327	0.754	ಖಚಿತವಾದ
assuredly	0.786	0.396	0.833	ಖಚಿತವಾಗಿ
asterisk	0.541	0.288	0.273	ನಕ್ಷತ್ರ ಚಿಹ್ನೆ
asteroid	0.430	0.721	0.623	ಕ್ಷುದ್ರಗ್ರಹ
asteroids	0.361	0.694	0.712	ಕ್ಷುದ್ರಗ್ರಹಗಳು
asthma	0.198	0.549	0.227	ಉಬ್ಬಸ
asthmatic	0.229	0.706	0.294	ಉಬ್ಬಸ
astigmatism	0.214	0.490	0.429	ಅಸ್ಟಿಗ್ಮ್ಯಾಟಿಸಮ್
astonish	0.786	0.845	0.658	ಬೆರಗುಗೊಳಿಸುತ್ತದೆ
astonished	0.510	0.775	0.574	ಬೆರಗಾದರು
astonishing	0.844	0.802	0.821	ಆಶ್ಚರ್ಯಕರ
astonishingly	0.827	0.898	0.773	ಆಶ್ಚರ್ಯಕರವಾಗಿ
astonishment	0.680	0.718	0.519	ಬೆರಗು
astound	0.729	0.675	0.474	ಬೆರಗುಗೊಳಿಸುತ್ತದೆ
astral	0.604	0.417	0.567	ಆಸ್ಟ್ರಲ್
astray	0.098	0.676	0.308	ದಾರಿ ತಪ್ಪಿದ
astringent	0.316	0.500	0.474	ಸಂಕೋಚಕ
astrologer	0.594	0.519	0.673	ಜ್ಯೋತಿಷಿ
astrology	0.635	0.340	0.500	ಜ್ಯೋತಿಷ್ಯ
astronaut	0.792	0.601	0.761	ಗಗನಯಾತ್ರಿ
astronomer	0.750	0.509	0.735	ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞ
astronomical	0.600	0.632	0.726	ಖಗೋಳಶಾಸ್ತ್ರೀಯ
astronomy	0.613	0.474	0.722	ಖಗೋಳಶಾಸ್ತ್ರ
astute	0.776	0.658	0.827	ಚಾಣಾಕ್ಷ
asunder	0.208	0.442	0.259	ಅಂಡರ್
asylum	0.407	0.330	0.445	ಆಶ್ರಯ
asymmetric	0.580	0.343	0.465	ಅಸಮ್ಮಿತ
asymmetry	0.476	0.373	0.527	ಅಸಿಮ್ಮೆಟ್ರಿ
asymptotic	0.479	0.451	0.472	ಲಕ್ಷಣರಹಿತ
atelier	0.490	0.330	0.705	ಅಟೆಲಿಯರ್
atheism	0.276	0.460	0.481	ನಾಸ್ತಿಕತೆ
atheistic	0.373	0.481	0.466	ನಾಸ್ತಿಕ
atherosclerosis	0.250	0.480	0.343	ಅಪಧಮನಿಕಾಠಿಣ್ಯ
athlete	0.781	0.718	0.686	ಕ್ರೀಡಾಪಟು
athletic	0.857	0.798	0.708	ಅಥ್ಲೆಟಿಕ್
athleticism	0.750	0.863	0.778	ಅಥ್ಲೆಟಿಸಮ್
athletics	0.831	0.691	0.740	ಅಥ್ಲೆಟಿಕ್ಸ್
atlas	0.531	0.306	0.554	ಅಟ್ಲಾಸ್
atmosphere	0.604	0.300	0.560	ವಾತಾವರಣ
atmospheric	0.531	0.420	0.594	ವಾತಾವರಣದ
atoll	0.480	0.408	0.472	ಅಟಾಲ್
atom	0.510	0.500	0.433	ಪರಮಾಣು
atomic	0.327	0.817	0.713	ಪರಮಾಣು
atone	0.418	0.673	0.411	ಪ್ರಾಯಶ್ಚಿತ್ತ
atonement	0.550	0.602	0.683	ಪ್ರಾಯಶ್ಚಿತ್ತ
atpeace	0.724	0.298	0.519	ಶಾಂತಿ
atrium	0.469	0.365	0.473	ಹೃತ್ಕರ್ಣ
atrocious	0.073	0.811	0.445	ಕ್ರೂರ
atrocity	0.115	0.844	0.593	ದೌರ್ಜನ್ಯ
atrophy	0.177	0.540	0.208	ಕ್ಷೀಣತೆ
attach	0.520	0.363	0.559	ಲಗತ್ತಿಸಿ
attached	0.562	0.350	0.439	ಲಗತ್ತಿಸಲಾಗಿದೆ
attachment	0.570	0.343	0.500	ಬಾಂಧವ್ಯ
attack	0.286	0.948	0.670	ದಾಳಿ
attacker	0.185	0.962	0.629	ಆಕ್ರಮಣಕಾರ
attacking	0.276	0.837	0.642	ದಾಳಿ ಮಾಡುತ್ತಿದೆ
attain	0.806	0.510	0.719	ಸಾಧಿಸುತ್ತವೆ
attainable	0.760	0.500	0.759	ಸಾಧಿಸಬಹುದಾದ
attainment	0.830	0.520	0.940	ಸಾಧನೆ
attempt	0.625	0.491	0.431	ಪ್ರಯತ್ನ
attempted	0.594	0.580	0.567	ಪ್ರಯತ್ನಿಸಿದರು
attend	0.650	0.420	0.625	ಹಾಜರಾಗಲು
attendance	0.812	0.500	0.592	ಹಾಜರಾತಿ
attendant	0.580	0.365	0.519	ಪರಿಚಾರಕ
attention	0.740	0.599	0.774	ಗಮನ
attentionseeker	0.367	0.745	0.457	ಅವಧಾನಿ
attentionseekers	0.531	0.673	0.500	ಗಮನ ಸೆಳೆಯುವವರು
attentive	0.812	0.520	0.724	ಗಮನ
attenuate	0.408	0.302	0.429	ದುರ್ಬಲಗೊಳಿಸು
attenuated	0.449	0.280	0.298	ಕ್ಷೀಣಿಸಿದೆ
attenuation	0.458	0.363	0.464	ಕ್ಷೀಣತೆ
attest	0.439	0.710	0.685	ದೃಢೀಕರಿಸಿ
attestation	0.234	0.635	0.500	ದೃಢೀಕರಣ
attic	0.521	0.259	0.377	ಬೇಕಾಬಿಟ್ಟಿಯಾಗಿ
attire	0.742	0.388	0.483	ಉಡುಪು
attitude	0.760	0.644	0.861	ವರ್ತನೆ
attorney	0.600	0.594	0.754	ವಕೀಲ
attract	0.796	0.663	0.769	ಆಕರ್ಷಿಸುತ್ತವೆ
attraction	0.906	0.774	0.712	ಆಕರ್ಷಣೆ
attractive	0.906	0.630	0.769	ಆಕರ್ಷಕ
attractiveness	0.938	0.667	0.755	ಆಕರ್ಷಣೆ
attributable	0.704	0.430	0.527	ಆಪಾದನೀಯ
attribute	0.781	0.439	0.795	ಗುಣಲಕ್ಷಣ
attribution	0.646	0.467	0.658	ಗುಣಲಕ್ಷಣ
attrition	0.229	0.540	0.259	ತಿಕ್ಕಾಟ
auburn	0.510	0.240	0.411	ಆಬರ್ನ್
auction	0.594	0.702	0.519	ಹರಾಜು
auctioneer	0.542	0.732	0.716	ಹರಾಜುಗಾರ
audacious	0.740	0.875	0.825	ದಿಟ್ಟತನದ
audacity	0.760	0.755	0.916	ದಿಟ್ಟತನ
audible	0.673	0.370	0.462	ಶ್ರವ್ಯ
audience	0.698	0.610	0.613	ಪ್ರೇಕ್ಷಕರು
audio	0.709	0.425	0.370	ಆಡಿಯೋ
audit	0.375	0.562	0.735	ಆಡಿಟ್
audition	0.750	0.685	0.615	ಆಡಿಷನ್
auditions	0.740	0.765	0.596	ಆಡಿಷನ್‌ಗಳು
auditor	0.582	0.571	0.726	ಲೆಕ್ಕ ಪರಿಶೋಧಕ
auditorium	0.529	0.490	0.538	ಸಭಾಂಗಣ
auditory	0.531	0.481	0.570	ಶ್ರವಣೇಂದ್ರಿಯ
aught	0.418	0.135	0.217	ಸ್ವಲ್ಪ
augment	0.650	0.683	0.645	ವೃದ್ಧಿಗೊಳಿಸು
augmentation	0.714	0.613	0.850	ವರ್ಧನೆ
august	0.652	0.292	0.462	ಆಗಸ್ಟ್
aunt	0.667	0.291	0.420	ಚಿಕ್ಕಮ್ಮ
auntie	0.643	0.275	0.447	ಚಿಕ್ಕಮ್ಮ
aura	0.760	0.333	0.500	ಸೆಳವು
aurora	0.817	0.306	0.537	ಅರೋರಾ
auspices	0.542	0.500	0.634	ಶುಭ ಕೋರುತ್ತಾರೆ
auspicious	0.562	0.635	0.669	ಮಂಗಳಕರ
austere	0.500	0.390	0.422	ಕಠೋರ
austerity	0.438	0.406	0.534	ಸಂಯಮ
authentic	0.885	0.510	0.782	ಅಧಿಕೃತ
authenticate	0.833	0.480	0.789	ಪ್ರಮಾಣೀಕರಿಸಿ
authentication	0.724	0.491	0.750	ದೃಢೀಕರಣ
authenticity	0.670	0.548	0.845	ದೃಢೀಕರಣವನ್ನು
author	0.775	0.343	0.749	ಲೇಖಕ
authoritative	0.636	0.520	0.890	ಅಧಿಕೃತ
authority	0.592	0.592	0.934	ಅಧಿಕಾರ
authorization	0.521	0.567	0.817	ಅಧಿಕಾರ
authorize	0.772	0.596	0.821	ಅಧಿಕಾರ ನೀಡಿ
authorized	0.760	0.458	0.815	ಅಧಿಕಾರ ನೀಡಲಾಗಿದೆ
authorship	0.667	0.635	0.773	ಕರ್ತೃತ್ವ
autism	0.235	0.500	0.447	ಸ್ವಲೀನತೆ
autistic	0.367	0.337	0.404	ಸ್ವಲೀನತೆಯ
auto	0.571	0.569	0.500	ಸ್ವಯಂ
autobiographical	0.909	0.462	0.582	ಆತ್ಮಚರಿತ್ರೆಯ
autobiography	0.735	0.284	0.629	ಆತ್ಮಚರಿತ್ರೆ
autocorrect	0.551	0.439	0.616	ಸ್ವಯಂ ತಿದ್ದುಪಡಿ
autocratic	0.542	0.577	0.727	ನಿರಂಕುಶಾಧಿಕಾರಿ
autograph	0.735	0.565	0.473	ಆಟೋಗ್ರಾಫ್
autographed	0.781	0.620	0.625	ಹಸ್ತಾಕ್ಷರ ಹಾಕಿದರು
automated	0.578	0.402	0.632	ಸ್ವಯಂಚಾಲಿತ
automatic	0.562	0.433	0.664	ಸ್ವಯಂಚಾಲಿತ
automobile	0.753	0.625	0.534	ಆಟೋಮೊಬೈಲ್
automotive	0.656	0.520	0.577	ವಾಹನ
autonomy	0.781	0.349	0.891	ಸ್ವಾಯತ್ತತೆ
autopilot	0.594	0.462	0.632	ಆಟೋಪೈಲಟ್
autopsy	0.252	0.650	0.538	ಶವಪರೀಕ್ಷೆ
autumn	0.765	0.204	0.450	ಶರತ್ಕಾಲ
auxiliary	0.622	0.471	0.509	ಸಹಾಯಕ
avail	0.800	0.430	0.603	ಲಾಭ
availability	0.796	0.544	0.600	ಲಭ್ಯತೆ
available	0.844	0.356	0.623	ಲಭ್ಯವಿದೆ
avalanche	0.265	0.915	0.683	ಹಿಮಕುಸಿತ
avarice	0.198	0.726	0.352	ದುರಾಸೆ
avatar	0.633	0.410	0.567	ಅವತಾರ
avenge	0.073	0.867	0.559	ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳುತ್ತಾರೆ
avenger	0.337	0.865	0.670	ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳುವವನು
avenging	0.143	0.880	0.717	ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದಾರೆ
avenue	0.677	0.360	0.377	ಅವೆನ್ಯೂ
aver	0.492	0.450	0.393	aver
average	0.684	0.280	0.455	ಸರಾಸರಿ
aversation	0.582	0.442	0.432	ನಿವಾರಣೆ
averse	0.253	0.569	0.492	ವಿಮುಖ
averseness	0.296	0.606	0.528	ವಿಮುಖತೆ
aversion	0.074	0.663	0.525	ತಿರಸ್ಕಾರ
avert	0.510	0.388	0.465	ತಪ್ಪಿಸಿ
aviary	0.500	0.360	0.467	ಪಂಜರ
aviation	0.708	0.646	0.741	ವಾಯುಯಾನ
aviator	0.615	0.700	0.644	ವಿಮಾನ ಚಾಲಕ
avid	0.582	0.459	0.593	ಅತ್ಯಾಸಕ್ತಿಯ
avocado	0.677	0.255	0.287	ಆವಕಾಡೊ
avoid	0.427	0.442	0.415	ತಪ್ಪಿಸಲು
avoidance	0.470	0.481	0.466	ತಪ್ಪಿಸುವುದು
avoiding	0.457	0.433	0.309	ತಪ್ಪಿಸುವುದು
await	0.448	0.264	0.276	ನಿರೀಕ್ಷಿಸಿ
awake	0.667	0.469	0.741	ಎಚ್ಚರ
awaken	0.729	0.412	0.611	ಜಾಗೃತಗೊಳಿಸು
awakening	0.745	0.500	0.618	ಜಾಗೃತಿ
award	0.865	0.745	0.660	ಪ್ರಶಸ್ತಿ
awards	0.958	0.736	0.652	ಪ್ರಶಸ್ತಿಗಳು
aware	0.656	0.340	0.770	ಅರಿತಿದೆ
awareness	0.684	0.422	0.810	ಅರಿವು
awe	0.469	0.740	0.300	ವಿಸ್ಮಯ
awed	0.364	0.774	0.361	ವಿಸ್ಮಯವಾಯಿತು
awesome	0.980	0.897	0.891	ಅದ್ಭುತ
awesomeness	0.917	0.647	0.927	ಅದ್ಭುತತೆ
awestruck	0.615	0.767	0.680	ವಿಸ್ಮಯವಾಯಿತು
awful	0.061	0.786	0.450	ಭೀಕರವಾದ
awkward	0.296	0.650	0.358	ಪೇಚಿನ
awkwardness	0.167	0.454	0.148	ಎಡವಟ್ಟು
awning	0.500	0.186	0.318	ಮೇಲ್ಕಟ್ಟು
awry	0.156	0.540	0.275	ವಿಚಿತ್ರವಾದ
axe	0.296	0.690	0.536	ಕೊಡಲಿ
axial	0.458	0.278	0.491	ಅಕ್ಷೀಯ
axiom	0.439	0.441	0.583	ಮೂಲತತ್ವ
axiomatic	0.458	0.392	0.627	ಅಕ್ಷೀಯ
axis	0.209	0.250	0.356	ಅಕ್ಷರೇಖೆ
axle	0.459	0.294	0.473	ಅಚ್ಚು
ay	0.500	0.557	0.255	ಆಯ್
aye	0.562	0.420	0.392	ಹೌದು
azimuth	0.385	0.461	0.421	ಅಜಿಮುತ್
azure	0.620	0.256	0.339	ಆಕಾಶ ನೀಲಿ
babble	0.552	0.441	0.204	ಬಡಬಡಿಸು
babbling	0.396	0.418	0.241	ಬೊಬ್ಬೆ ಹೊಡೆಯುವುದು
babe	0.860	0.536	0.424	ತರುಣಿ
baboon	0.357	0.410	0.429	ಬಬೂನ್
baby	0.837	0.365	0.455	ಮಗು
babysit	0.719	0.587	0.398	ಶಿಶುಪಾಲನಾ ಕೇಂದ್ರ
babysitter	0.656	0.415	0.408	ಶಿಶುಪಾಲಕ
baccalaureate	0.729	0.510	0.480	ಬ್ಯಾಕಲೌರಿಯೇಟ್
baccarat	0.583	0.497	0.436	ಬ್ಯಾಕರಟ್
bachelor	0.667	0.406	0.600	ಬ್ರಹ್ಮಚಾರಿ
bachelorette	0.735	0.780	0.465	ಬ್ಯಾಚಿಲ್ಲೋರೆಟ್
back	0.438	0.353	0.336	ಹಿಂದೆ
backboard	0.480	0.259	0.436	ಹಿಂಬದಿ
backbone	0.538	0.464	0.620	ಬೆನ್ನೆಲುಬು
backdoor	0.344	0.410	0.333	ಹಿಂಬಾಗಿಲು
backdrop	0.320	0.309	0.444	ಹಿನ್ನೆಲೆ
backer	0.646	0.375	0.537	ಬೆಂಬಲಿಗ
backfire	0.265	0.612	0.491	ಹಿನ್ನಡೆ
backgammon	0.580	0.410	0.390	ಬ್ಯಾಕ್ಗಮನ್
background	0.399	0.357	0.498	ಹಿನ್ನೆಲೆ
backhand	0.427	0.449	0.390	ಬ್ಯಾಕ್ಹ್ಯಾಂಡ್
backhoe	0.398	0.554	0.562	ಬ್ಯಾಕ್‌ಹೋ
backoff	0.104	0.396	0.240	ಹಿಂದಕ್ಕೆ
backpack	0.729	0.278	0.333	ಬೆನ್ನುಹೊರೆಯ
backpacker	0.510	0.730	0.460	ಬ್ಯಾಕ್‌ಪ್ಯಾಕರ್
backroom	0.406	0.500	0.387	ಹಿಂಬದಿಯ ಕೋಣೆ
backseat	0.388	0.330	0.237	ಹಿಂಬದಿಯ ಆಸನ
backside	0.182	0.417	0.342	ಹಿಂಭಾಗ
backtrack	0.312	0.525	0.278	ಹಿನ್ನಡೆ
backup	0.520	0.510	0.553	ಬ್ಯಾಕ್ಅಪ್
backward	0.309	0.367	0.250	ಹಿಂದುಳಿದ
backwardness	0.240	0.500	0.136	ಹಿಂದುಳಿದಿರುವಿಕೆ
backwards	0.302	0.372	0.330	ಹಿಂದಕ್ಕೆ
backwater	0.312	0.410	0.161	ಹಿನ್ನೀರು
backwoods	0.541	0.350	0.482	ಹಿನ್ನೀರಿನ ಮರಗಳು
backyard	0.552	0.280	0.302	ಹಿತ್ತಲು
bacon	0.698	0.406	0.295	ಬೇಕನ್
bacteria	0.177	0.553	0.570	ಬ್ಯಾಕ್ಟೀರಿಯಾ
