English Word	Valence	Arousal	Dominance	Sindhi Word
communication	0.837	0.400	0.649	مواصلات
communicative	0.847	0.560	0.637	رابطي وارو
communicator	0.573	0.509	0.796	ڳالھائيندڙ
communion	0.765	0.357	0.607	گڏجاڻي
communism	0.264	0.570	0.623	ڪميونزم
communist	0.265	0.702	0.632	ڪميونسٽ
community	0.750	0.350	0.659	ڪميونٽي
commutation	0.469	0.431	0.652	تبديلي
commutative	0.667	0.442	0.569	مٽاسٽا ڪندڙ
commute	0.622	0.582	0.565	سفر
commuter	0.646	0.520	0.512	مسافر
comp	0.573	0.450	0.371	comp
compact	0.458	0.417	0.673	ڪمپيڪٽ
compaction	0.531	0.471	0.582	ملائڻ
compactness	0.582	0.352	0.454	compactness
companion	0.770	0.377	0.618	ساٿي
companionless	0.271	0.259	0.200	بي صحبت
companionship	0.833	0.438	0.792	صحبت
company	0.906	0.425	0.798	ڪمپني
comparable	0.562	0.443	0.458	موازنہ
comparative	0.470	0.273	0.562	تقابلي
comparatively	0.604	0.391	0.538	نسبتا
compare	0.552	0.408	0.524	موازنہ ڪرڻ
comparison	0.583	0.456	0.492	مقابلو
compartment	0.500	0.389	0.607	خانو
compass	0.541	0.307	0.529	کمپاس
compassion	0.735	0.258	0.509	شفقت
compassionate	0.857	0.404	0.411	رحمدل
compatibility	0.816	0.450	0.673	مطابقت
compatible	0.892	0.387	0.638	مطابقت رکندڙ
compel	0.200	0.847	0.625	مجبور ڪرڻ
compelled	0.333	0.654	0.347	مجبور
compelling	0.698	0.570	0.870	مجبور ڪندڙ
compendium	0.610	0.461	0.537	مجموعو
compensate	0.612	0.429	0.762	معاوضو ڏيڻ
compensation	0.775	0.469	0.598	معاوضو
compensatory	0.589	0.490	0.700	معاوضي وارو
compete	0.573	0.745	0.786	مقابلو ڪرڻ
competence	0.615	0.802	0.823	قابليت
competency	0.768	0.775	0.764	قابليت
competent	0.865	0.560	0.904	قابل
competition	0.580	0.790	0.798	مقابلو
competitive	0.447	0.718	0.908	مقابلي واري
competitor	0.612	0.959	0.861	مقابلو ڪندڙ
compilation	0.530	0.512	0.606	تاليف
compile	0.600	0.413	0.519	گڏ ڪرڻ
complacency	0.604	0.503	0.519	اطمينان
complacent	0.625	0.452	0.518	مطمئن
complain	0.143	0.682	0.360	شڪايت
complaint	0.143	0.606	0.281	شڪايت
complement	0.760	0.277	0.600	مڪمل ڪرڻ
complementary	0.714	0.320	0.586	اضافي
complete	0.750	0.414	0.809	مڪمل
completed	0.823	0.357	0.777	مڪمل
completely	0.730	0.370	0.690	مڪمل طور تي
completeness	0.823	0.433	0.769	مڪمل ٿيڻ
completing	0.614	0.500	0.769	مڪمل ڪرڻ
completion	0.656	0.470	0.525	مڪمل ٿيڻ
complex	0.388	0.608	0.550	پيچيده
complexed	0.312	0.577	0.612	پيچيده
complexion	0.521	0.520	0.380	رنگ
complexity	0.479	0.620	0.595	پيچيدگي
compliance	0.750	0.462	0.750	تعميل
compliant	0.677	0.310	0.519	مطابق
complicate	0.210	0.657	0.404	پيچيده
complicated	0.211	0.660	0.455	پيچيده
complication	0.365	0.726	0.330	پيچيدگي
complicity	0.323	0.684	0.670	شموليت
compliment	0.820	0.490	0.651	تعريف
complimentary	0.823	0.413	0.435	مفت ۾
comply	0.806	0.370	0.638	تعميل ڪرڻ
complying	0.729	0.423	0.590	تعميل ڪرڻ
compo	0.500	0.346	0.390	ڪمپو
component	0.531	0.382	0.525	جزو
compose	0.639	0.432	0.694	ٺاھڻ
composed	0.684	0.385	0.682	ٺهيل
composer	0.822	0.588	0.691	ڪمپوزر
composite	0.591	0.459	0.620	جامع
composition	0.765	0.408	0.652	مرکب
compost	0.480	0.404	0.441	compost
composure	0.802	0.354	0.717	آرام
compound	0.635	0.385	0.735	مرڪب
comprehend	0.875	0.365	0.689	سمجھڻ
comprehension	0.908	0.387	0.688	سمجھ
comprehensive	0.796	0.385	0.644	جامع
compress	0.406	0.412	0.460	دٻائڻ
compressed	0.323	0.396	0.388	دٻجي ويل
compressible	0.622	0.392	0.585	دٻائڻ وارو
compression	0.646	0.521	0.579	دٻاءُ
compressor	0.418	0.481	0.630	ڪمپريسر
comprise	0.839	0.373	0.669	تي مشتمل
compromise	0.677	0.520	0.805	سمجھوتو
comptroller	0.402	0.481	0.866	ڪنٽرولر
compulsion	0.118	0.760	0.604	مجبوري
compulsive	0.347	0.871	0.573	مجبوري
compulsory	0.343	0.541	0.791	لازمي
computable	0.570	0.402	0.545	ڳڻپيوڪر
computation	0.583	0.429	0.697	حساب ڪتاب
compute	0.531	0.408	0.564	حساب
computer	0.802	0.356	0.639	ڪمپيوٽر
computerized	0.677	0.450	0.657	ڪمپيوٽرائيزڊ
computing	0.745	0.398	0.695	ڪمپيوٽنگ
comrade	0.781	0.412	0.804	ڪامريڊ
con	0.255	0.736	0.427	con
concatenation	0.480	0.593	0.539	ڳنڍڻ
concave	0.441	0.349	0.349	مقدر
conceal	0.312	0.436	0.306	لڪائڻ
concealed	0.344	0.363	0.352	لڪايل
concealment	0.302	0.570	0.390	لڪائڻ
concede	0.670	0.324	0.473	مڃڻ
conceit	0.354	0.625	0.309	غرور
conceited	0.194	0.667	0.473	مغرور
conceivable	0.730	0.350	0.613	قابل فهم
conceive	0.708	0.538	0.700	تصور ڪرڻ
concentrate	0.750	0.439	0.743	توجه ڏيڻ
concentration	0.735	0.500	0.722	ڪنسنٽريشن
concentric	0.730	0.479	0.635	مرڪوز
concept	0.573	0.265	0.632	تصور
conception	0.694	0.490	0.614	تصور
concern	0.250	0.734	0.463	تشويش
concerned	0.292	0.698	0.350	متعلق
concert	0.938	0.867	0.718	ڪنسرٽ
concerto	0.613	0.759	0.679	ڪنسرٽو
concession	0.588	0.423	0.615	رعايت
concessional	0.770	0.493	0.657	رعايتي
conch	0.583	0.306	0.339	شنک
concierge	0.480	0.343	0.343	دربان
conciliation	0.792	0.475	0.726	صلح
concise	0.583	0.298	0.620	مختصر
conclave	0.573	0.440	0.611	گڏجاڻي
conclude	0.530	0.267	0.679	ختم ڪرڻ
concluding	0.531	0.382	0.603	ختم ڪرڻ
conclusion	0.615	0.377	0.659	نتيجو
conclusive	0.500	0.427	0.745	حتمي
concoction	0.448	0.459	0.417	ٺاهه
concomitant	0.427	0.482	0.727	همعصر
concord	0.677	0.320	0.586	اتفاق
concordance	0.625	0.358	0.608	مطابقت
concours	0.500	0.530	0.495	اتفاق ڪري ٿو
concourse	0.740	0.657	0.528	گڏجاڻي
concrete	0.633	0.420	0.547	ڪنڪريٽ
concubine	0.388	0.594	0.476	ڪنواري
concur	0.459	0.394	0.429	اتفاق ڪرڻ
concurrence	0.764	0.627	0.613	اتفاق
concurrent	0.573	0.547	0.741	همعصر
concurring	0.573	0.600	0.681	متفق
concussion	0.072	0.708	0.482	ڌڪ لڳڻ
condemn	0.102	0.793	0.625	مذمت ڪرڻ
condemnation	0.133	0.725	0.449	مذمت
condensation	0.510	0.316	0.538	ڪنسنسيشن
condensed	0.598	0.415	0.623	ڳنڍيل
condescending	0.583	0.363	0.593	تعظيم ڪندڙ
condescension	0.521	0.377	0.565	تعزيت
condiment	0.520	0.333	0.433	مصالحو
condition	0.500	0.469	0.519	حالت
conditional	0.521	0.343	0.556	مشروط
conditionally	0.396	0.419	0.617	مشروط طور
conditioned	0.490	0.417	0.616	مشروط
conditioner	0.781	0.360	0.538	ڪنڊيشنر
conditioning	0.440	0.468	0.617	ڪنڊيشن
conditions	0.551	0.441	0.593	حالتون
condo	0.439	0.288	0.607	condo
condolence	0.260	0.443	0.404	تعزيت
condolences	0.198	0.480	0.288	تعزيت
condom	0.406	0.637	0.500	ڪنڊوم
condone	0.571	0.441	0.619	معافي ڏيڻ
condor	0.573	0.388	0.519	ڪنڊر
conducive	0.775	0.479	0.679	سازگار
conduct	0.453	0.510	0.750	عمل
conduction	0.530	0.557	0.717	وهڪري
conductivity	0.583	0.575	0.642	چالکائي
conductor	0.677	0.663	0.621	هلائيندڙ
conduit	0.470	0.302	0.413	نلڪي
cone	0.417	0.208	0.343	شنک
confederacy	0.590	0.541	0.736	اتحاد
confederate	0.551	0.546	0.792	اتحاد
confederation	0.663	0.404	0.830	اتحاد
confer	0.573	0.482	0.583	ڪانفرنس ڪرڻ
conference	0.688	0.615	0.606	ڪانفرنس
confess	0.360	0.712	0.431	اقرار ڪرڻ
confession	0.469	0.642	0.460	اعتراف
confessional	0.458	0.392	0.629	اعترافي
confessions	0.325	0.538	0.658	اعتراف
confetti	0.781	0.573	0.250	ڪنفيٽي
confidant	0.837	0.633	0.631	اعتماد وارو
confide	0.669	0.472	0.595	يقين ڪرڻ
confidence	0.959	0.276	0.943	اعتماد
confident	0.765	0.324	0.723	اعتماد وارو
confidential	0.643	0.471	0.761	رازداري
confidentiality	0.667	0.431	0.718	رازداري
confidentially	0.633	0.469	0.558	رازداري سان
configuration	0.540	0.443	0.591	تشڪيل
confine	0.327	0.551	0.538	محدود ڪرڻ
confined	0.286	0.472	0.444	محدود
confinement	0.333	0.656	0.520	قيد
confines	0.396	0.386	0.542	محدود ڪري ٿو
confirm	0.802	0.439	0.806	تصديق ڪرڻ
confirmation	0.812	0.480	0.692	تصديق
confirmatory	0.656	0.500	0.683	تصديق ڪندڙ
confirmed	0.760	0.490	0.764	تصديق ٿيل
confiscate	0.250	0.625	0.482	ضبط ڪرڻ
confiscation	0.208	0.706	0.586	ضبط ڪرڻ
conflagration	0.344	0.721	0.594	ڀڙڪائڻ
conflict	0.335	0.906	0.471	تڪرار
conflicting	0.173	0.738	0.553	تڪراري
confluence	0.677	0.598	0.565	سنگم
conform	0.479	0.380	0.375	موافقت
conformance	0.608	0.278	0.254	مطابقت
conformation	0.622	0.435	0.711	ٺاهه
conformity	0.645	0.363	0.579	مطابقت
confound	0.347	0.529	0.333	الجھائڻ
confounded	0.333	0.528	0.264	حيران
confront	0.281	0.760	0.746	منهن ڏيڻ
confrontation	0.177	0.870	0.658	مقابلو
confuse	0.100	0.580	0.270	پريشان ڪرڻ
confused	0.220	0.650	0.179	پريشان
confusing	0.229	0.690	0.222	مونجهارو
confusion	0.255	0.667	0.277	مونجهارو
conga	0.469	0.529	0.440	ڪانگا
congenial	0.820	0.412	0.620	ملنسار
congenital	0.448	0.434	0.427	پيدائشي
congestion	0.271	0.654	0.491	رش
conglomerate	0.500	0.500	0.838	گڏجاڻي
conglomeration	0.541	0.720	0.670	گڏجاڻي
congrats	0.930	0.726	0.775	مبارڪون
congratulate	0.927	0.724	0.784	مبارڪون ڏيڻ
congratulation	0.948	0.780	0.717	مبارڪون
congratulations	0.960	0.755	0.719	مبارڪون
congratulatory	0.959	0.616	0.689	مبارڪون
congregate	0.653	0.530	0.733	گڏ ٿيڻ
congregation	0.561	0.490	0.700	جماعت
congress	0.449	0.444	0.857	ڪانگريس
congressional	0.552	0.491	0.848	ڪانگريسي
congressman	0.438	0.471	0.877	ڪانگريسي
congruence	0.656	0.472	0.577	مطابقت
conic	0.510	0.368	0.379	مخروطي
conical	0.490	0.422	0.471	مخروطي
conjecture	0.396	0.398	0.534	گمان
conjugal	0.698	0.510	0.688	شادي شده
conjugate	0.583	0.420	0.467	ملائڻ
conjugation	0.479	0.429	0.582	ملائڻ
conjunction	0.520	0.472	0.509	سنگت
conjunctive	0.487	0.444	0.639	گڏيل
conjure	0.385	0.679	0.645	جادو ڪرڻ
conjuring	0.224	0.653	0.694	جادو ڪرڻ
conk	0.340	0.469	0.404	ڪنڪ
connect	0.724	0.299	0.536	ڳنڍڻ
connected	0.816	0.550	0.612	ڳنڍيل
connection	0.729	0.560	0.655	ڪنيڪشن
connective	0.719	0.491	0.764	ڳنڍيندڙ
connoisseur	0.760	0.461	0.769	ماهر
conquer	0.694	0.873	0.971	فتح ڪرڻ
conquering	0.760	0.873	0.936	فتح ڪرڻ
conqueror	0.604	0.809	0.930	فاتح
conquest	0.710	0.702	0.833	فتح
conscience	0.663	0.375	0.721	ضمير
conscientious	0.688	0.404	0.688	باشعور
conscious	0.740	0.333	0.705	باشعور
consciousness	0.840	0.483	0.755	شعور
conscription	0.396	0.775	0.642	ڀرتي
consecrated	0.663	0.500	0.800	مقدس ڪيل
consecration	0.771	0.418	0.804	تقدس
consecutive	0.663	0.418	0.643	لڳاتار
consensual	0.663	0.417	0.655	اتفاق سان
consensus	0.627	0.358	0.625	اتفاق
consent	0.750	0.500	0.620	رضامندي
consenting	0.727	0.406	0.693	رضامندي
consequence	0.240	0.721	0.593	نتيجو
consequent	0.663	0.471	0.625	نتيجي ۾
conservation	0.832	0.401	0.606	تحفظ
conservatism	0.406	0.369	0.633	قدامت پسندي
conservative	0.615	0.316	0.788	قدامت پسند
conservatory	0.635	0.240	0.729	قدامت پسند
conserve	0.690	0.347	0.573	محفوظ ڪرڻ
consider	0.677	0.368	0.579	غور ڪرڻ
considerable	0.653	0.314	0.683	قابل ذڪر
considerate	0.781	0.380	0.633	غور ڪندڙ
consideration	0.589	0.380	0.687	غور
consignee	0.635	0.385	0.602	موڪليندڙ
consignment	0.490	0.440	0.500	سامان
consist	0.823	0.386	0.580	مشتمل
consistency	0.714	0.500	0.887	مطابقت
consistent	0.786	0.431	0.726	مسلسل
consolation	0.408	0.250	0.304	تسلي
console	0.625	0.398	0.415	ڪنسول
consoled	0.700	0.343	0.452	تسلي ڏني
consolidate	0.880	0.440	0.870	مضبوط ڪرڻ
consolidated	0.700	0.366	0.784	گڏيل
consolidation	0.604	0.445	0.776	استحڪام
consonant	0.500	0.347	0.417	تلفظ
consort	0.632	0.509	0.630	ساٿي
conspicuous	0.479	0.520	0.596	نمايان
conspiracy	0.125	0.787	0.652	سازش
conspirator	0.271	0.786	0.707	سازش ڪندڙ
conspire	0.206	0.740	0.520	سازش ڪرڻ
constable	0.573	0.667	0.764	ڪانسٽيبل
constancy	0.786	0.443	0.763	تسلسل
constant	0.740	0.296	0.686	مسلسل
constantly	0.663	0.561	0.700	مسلسل
constellation	0.719	0.533	0.775	تارو
consternation	0.167	0.680	0.469	پريشاني
constipation	0.079	0.612	0.231	قبض
constituency	0.500	0.480	0.696	حلقو
constituent	0.573	0.500	0.827	جزو
constituents	0.573	0.414	0.833	اجزاء
constitute	0.812	0.349	0.906	ٺاھڻ
constitution	0.590	0.380	0.889	آئين
constitutional	0.633	0.418	0.827	آئيني
constitutionality	0.612	0.439	0.853	آئيني حيثيت
constrain	0.261	0.500	0.500	پابند ڪرڻ
constrained	0.135	0.537	0.357	پابند ٿيل
constraint	0.323	0.550	0.481	پابندي
construct	0.750	0.648	0.792	ٺاھڻ
construction	0.848	0.612	0.759	اڏاوت
constructive	0.860	0.570	0.812	تعميري
construe	0.602	0.519	0.553	ٺاھڻ
consul	0.573	0.354	0.688	قونصل
consulate	0.561	0.453	0.694	قونصل خانو
consult	0.755	0.370	0.441	صلاح ڪرڻ
consultant	0.770	0.344	0.808	صلاحڪار
consultation	0.660	0.463	0.625	صلاح
consume	0.427	0.620	0.509	استعمال ڪرڻ
consumer	0.507	0.551	0.677	صارف
consuming	0.573	0.541	0.536	واپرائڻ
consummate	0.551	0.540	0.558	پورو ڪرڻ
consummation	0.583	0.676	0.661	مڪمل ٿيڻ
consumption	0.390	0.531	0.538	واپرائڻ
contact	0.719	0.424	0.526	رابطو
contagion	0.208	0.630	0.535	وبائي مرض
contagious	0.184	0.725	0.400	وبائي
contain	0.542	0.490	0.658	تي مشتمل
container	0.551	0.396	0.561	ڪنٽينر
containment	0.411	0.491	0.618	ڪنٽرول
contaminate	0.140	0.611	0.426	آلوده ڪرڻ
contaminated	0.040	0.500	0.368	آلوده
contamination	0.125	0.610	0.375	آلودگي
contemplate	0.740	0.347	0.642	غور ڪرڻ
contemplation	0.552	0.324	0.627	غور ڪرڻ
contemplative	0.729	0.308	0.739	سوچڻ وارو
contemporaneous	0.640	0.373	0.591	همعصر
contemporary	0.720	0.365	0.569	همعصر
contempt	0.206	0.635	0.396	توهين
contemptible	0.146	0.657	0.471	حقير
contemptuous	0.204	0.500	0.375	توهين ڪندڙ
contend	0.510	0.657	0.731	مقابلو ڪرڻ
contender	0.480	0.790	0.681	مقابلو ڪندڙ
contending	0.490	0.698	0.716	مقابلو ڪرڻ
content	0.764	0.296	0.559	مواد
contented	0.857	0.612	0.746	مطمئن
contention	0.375	0.510	0.738	تڪرار
contentious	0.422	0.573	0.637	تڪراري
contentment	0.875	0.610	0.782	سڪون
contents	0.656	0.375	0.550	مواد
contest	0.667	0.698	0.717	مقابلو
contestant	0.760	0.530	0.602	مقابلو ڪندڙ
context	0.531	0.300	0.553	حوالي
contiguous	0.375	0.450	0.500	ملندڙ
continence	0.450	0.396	0.469	تسلسل
continent	0.551	0.373	0.833	براعظم
continental	0.486	0.350	0.755	براعظمي
contingency	0.396	0.500	0.670	هنگامي
contingent	0.470	0.531	0.659	دستا
continual	0.500	0.423	0.685	مسلسل
continually	0.646	0.438	0.698	مسلسل
continuance	0.729	0.510	0.652	تسلسل
continuation	0.615	0.470	0.566	تسلسل
continue	0.630	0.427	0.612	جاري رکڻ
continued	0.635	0.440	0.500	جاري رهيو
continuing	0.667	0.500	0.520	جاري
continuity	0.781	0.439	0.684	تسلسل
continuous	0.625	0.509	0.580	لڳاتار
continuously	0.719	0.417	0.702	مسلسل
continuum	0.677	0.390	0.491	تسلسل
contour	0.589	0.265	0.414	شڪل
contraband	0.177	0.875	0.670	ممنوع
contraception	0.296	0.518	0.525	مانع حمل
contract	0.594	0.412	0.636	معاهدو
contracted	0.344	0.557	0.449	معاهدو ڪيو ويو
contractile	0.480	0.586	0.569	ٺيڪيدار
contracting	0.594	0.490	0.769	معاهدو ڪرڻ
contraction	0.292	0.755	0.603	ڇڪڻ
contractor	0.592	0.479	0.727	ٺيڪيدار
contradict	0.160	0.598	0.482	تضاد
contradiction	0.250	0.660	0.377	تضاد
contradictory	0.365	0.651	0.421	متضاد
contraption	0.448	0.590	0.491	ضبط ڪرڻ
contrary	0.327	0.449	0.338	خلاف
contrast	0.480	0.406	0.520	برعڪس
contrasted	0.521	0.538	0.491	متضاد
contravene	0.357	0.618	0.472	خلاف ورزي ڪرڻ
contravention	0.344	0.627	0.593	خلاف ورزي
contribute	0.806	0.350	0.795	حصو ڏيڻ
contribution	0.854	0.452	0.760	تعاون
contributor	0.844	0.510	0.760	مدد ڪندڙ
contrite	0.347	0.363	0.473	افسوس ڪرڻ
contrition	0.347	0.583	0.463	تڪرار
contrived	0.408	0.530	0.458	ٺهرايل
control	0.729	0.352	0.808	ڪنٽرول
controller	0.469	0.712	0.868	ڪنٽرولر
controlling	0.490	0.441	0.885	ڪنٽرول ڪرڻ
controversial	0.271	0.858	0.538	تڪراري
controversy	0.250	0.819	0.600	تڪرار
contusion	0.167	0.565	0.509	تڪرار
conundrum	0.354	0.524	0.408	مسئلو
convalescent	0.458	0.480	0.269	تندرست
convection	0.521	0.494	0.526	نقل و حمل
convene	0.583	0.676	0.636	گڏ ڪرڻ
convenience	0.781	0.448	0.613	سهولت
conveniences	0.802	0.412	0.693	سهولتون
convenient	0.846	0.491	0.574	آسان
convent	0.480	0.217	0.594	ڪنويٽ
convention	0.622	0.622	0.704	ڪنوينشن
conventional	0.594	0.292	0.634	روايتي
converge	0.635	0.471	0.539	گڏ ٿيڻ
convergence	0.551	0.491	0.625	ملائڻ
convergent	0.781	0.490	0.696	متضاد
conversant	0.724	0.360	0.542	ڳالهائيندڙ
conversation	0.750	0.510	0.609	گفتگو
conversational	0.719	0.431	0.596	گفتگو ڪندڙ
conversationalist	0.719	0.467	0.667	گفتگو ڪندڙ
converse	0.594	0.406	0.598	ڳالهه ٻولهه
conversing	0.755	0.409	0.442	گفتگو ڪرڻ
conversion	0.480	0.605	0.736	تبديلي
convert	0.551	0.538	0.704	بدلائڻ
converted	0.663	0.418	0.686	تبديل ٿيل
convertible	0.542	0.529	0.717	تبديل ٿيندڙ
convex	0.438	0.427	0.445	محدب
convexity	0.449	0.354	0.484	convexity
convey	0.719	0.633	0.708	پهچائڻ
conveyance	0.615	0.520	0.455	پهچائڻ
conveyancing	0.375	0.479	0.663	پهچائڻ
convict	0.177	0.840	0.477	سزا ڏيندڙ
conviction	0.615	0.704	0.826	يقين
convince	0.708	0.539	0.763	قائل ڪرڻ
convinced	0.750	0.500	0.630	قائل
convincing	0.760	0.527	0.900	قائل ڪندڙ
convocation	0.538	0.611	0.663	ڪنووڪيشن
convoluted	0.323	0.614	0.433	ضبط ٿيل
convolution	0.417	0.559	0.527	ڪنوليشن
convoy	0.500	0.671	0.639	قافلو
coo	0.490	0.439	0.500	coo
cook	0.847	0.500	0.412	پچائڻ
cookbook	0.602	0.346	0.398	کاڌي جو ڪتاب
cooker	0.592	0.373	0.407	ڪڪڙ
cookery	0.633	0.368	0.345	پچائڻ
cookie	0.792	0.306	0.250	ڪوڪي
cookies	0.823	0.451	0.316	ڪوڪيز
cooking	0.694	0.510	0.434	پچائڻ
cookout	0.680	0.406	0.482	پچائڻ
cool	0.885	0.540	0.781	عمده
coolant	0.720	0.412	0.456	ٿڌي
cooler	0.664	0.375	0.460	کولر
cooling	0.469	0.324	0.392	ٿڌي ڪرڻ
coolness	0.490	0.307	0.548	ٿڌائي
coon	0.490	0.460	0.400	ڪون
coop	0.612	0.445	0.650	کوپ
cooperate	0.898	0.451	0.582	تعاون ڪرڻ
cooperating	0.760	0.390	0.693	تعاون ڪرڻ
cooperation	0.847	0.473	0.686	تعاون
cooperative	0.816	0.461	0.670	تعاون ڪندڙ
coordinate	0.698	0.429	0.694	همراه ڪرڻ
coordination	0.677	0.454	0.789	ڪوآرڊينيشن
coordinator	0.750	0.510	0.850	ڪوآرڊينيٽر
cop	0.327	0.770	0.836	پوليس
copacetic	0.510	0.471	0.453	copacetic
cope	0.592	0.647	0.709	منهن ڏيڻ
copier	0.459	0.345	0.390	ڪاپي ڪندڙ
copilot	0.640	0.538	0.573	copilot
coping	0.562	0.630	0.613	منهن ڏيڻ
copious	0.427	0.462	0.527	ڀرپور
copper	0.580	0.260	0.500	ٽامي
copter	0.571	0.704	0.569	هيلي ڪاپٽر
copy	0.460	0.240	0.263	ڪاپي
copycat	0.449	0.580	0.443	ڪاپي ڪيٽ
copying	0.448	0.315	0.404	نقل ڪرڻ
copyright	0.458	0.402	0.663	ڪاپي رائيٽ
coral	0.802	0.231	0.425	مرجان
coral snake	0.276	0.712	0.607	مرجان سانپ
cord	0.388	0.378	0.358	تار
cordial	0.823	0.312	0.482	خوشگوار
cordless	0.667	0.441	0.528	بي تار
cordon	0.469	0.317	0.380	ڪنڊن
corduroy	0.570	0.324	0.357	corduroy
core	0.721	0.378	0.540	بنيادي
cork	0.347	0.250	0.281	ڪارڪ
corkscrew	0.427	0.443	0.445	ڪارڪ اسڪرو
corn	0.594	0.196	0.292	اناج
cornball	0.479	0.378	0.325	ڪارن بال
cornbread	0.643	0.304	0.302	اناج جي ماني
cornea	0.521	0.346	0.443	ڪنڊا
corned	0.459	0.441	0.425	مکڻ
corner	0.400	0.296	0.366	ڪنڊ
cornerstone	0.550	0.388	0.596	بنياد جو پٿر
cornet	0.507	0.520	0.415	ڪارنيٽ
cornfield	0.719	0.310	0.349	مکڻ جو ميدان
cornflakes	0.729	0.346	0.355	ڪارن فلیکس
cornice	0.458	0.441	0.295	ڪنڊي
cornstarch	0.643	0.299	0.337	مکڻ
corny	0.448	0.370	0.221	ڪارني
corollary	0.458	0.469	0.366	نتيجو
corona	0.818	0.439	0.745	ڪرونا
coronary	0.567	0.613	0.509	ڪورونري
coronation	0.792	0.592	0.836	تاجپوشي
coroner	0.323	0.558	0.526	ڪورونر
corporal	0.582	0.490	0.596	جسماني
corporate	0.592	0.454	0.745	ڪارپوريٽ
corporation	0.429	0.332	0.873	ڪارپوريشن
corporeal	0.520	0.350	0.461	جسماني
corps	0.551	0.453	0.483	ڪور
corpse	0.094	0.657	0.232	لاش
corpsman	0.439	0.469	0.651	ڪورپسمان
corpus	0.543	0.340	0.490	لاش
corral	0.606	0.662	0.422	ڪورل
correct	0.857	0.306	0.723	صحيح
correction	0.448	0.485	0.558	اصلاح
correctional	0.292	0.713	0.602	اصلاحي
corrective	0.448	0.528	0.613	اصلاحي
correctness	0.796	0.450	0.649	درستي
correlation	0.596	0.462	0.571	لاڳاپو
correlative	0.510	0.402	0.571	لاڳاپيل
correspond	0.710	0.452	0.545	ملندڙ
correspondence	0.663	0.423	0.491	خط و ڪتابت
correspondent	0.573	0.565	0.712	صحافي
corresponding	0.740	0.423	0.618	ملندڙ
corridor	0.604	0.589	0.592	ڪوريڊور
corroborate	0.671	0.471	0.616	تصديق ڪرڻ
corroboration	0.625	0.431	0.733	تصديق
corrosion	0.156	0.610	0.348	زنگ
corrosive	0.140	0.618	0.570	corrosive
corrupt	0.020	0.806	0.500	خراب
corrupting	0.062	0.804	0.380	خراب ڪرڻ
corruption	0.052	0.830	0.549	ڪرپشن
corsage	0.510	0.294	0.397	corsage
corse	0.448	0.451	0.382	ڪورس
corset	0.490	0.520	0.381	ڪارسيٽ
cortex	0.594	0.439	0.529	cortex
cortical	0.380	0.423	0.536	cortical
cortisone	0.427	0.395	0.456	cortisone
corvette	0.551	0.520	0.598	ڪورويٽ
cosmetic	0.625	0.304	0.308	کاسمتيڪ
cosmetics	0.765	0.464	0.472	کاسمیٹکس
cosmic	0.663	0.538	0.692	ڪائناتي
cosmology	0.651	0.438	0.637	cosmology
cosmopolitan	0.823	0.510	0.760	cosmopolitan
cosmos	0.860	0.478	0.664	cosmos
cost	0.365	0.420	0.439	قيمت
costly	0.316	0.650	0.642	مهانگو
costume	0.548	0.510	0.374	پوشاڪ
cosy	0.847	0.255	0.518	آرامده
cot	0.625	0.230	0.278	پلنگ
cote	0.439	0.344	0.324	ڪوٽ
cottage	0.600	0.279	0.361	ڪوٺي
cotton	0.639	0.071	0.240	ڪپهه
couch	0.594	0.082	0.198	صوف
cougar	0.438	0.588	0.538	ڪوگر
cough	0.255	0.627	0.241	کنگهه
council	0.875	0.279	0.635	ڪائونسل
councilman	0.531	0.367	0.793	ڪائونسلر
counsel	0.594	0.519	0.730	صلاح
counseling	0.667	0.480	0.704	صلاح
counsellor	0.823	0.327	0.740	صلاحڪار
counselor	0.873	0.365	0.706	صلاحڪار
count	0.594	0.389	0.492	شمار
countdown	0.438	0.692	0.490	ڳڻپ
countenance	0.635	0.440	0.690	منهن
counter	0.439	0.478	0.750	انسداد
counteract	0.378	0.542	0.688	ضد ڪرڻ
counterattack	0.281	0.951	0.764	جوابي حملو
counterbalance	0.520	0.480	0.627	توازن
counterclaim	0.398	0.760	0.651	جوابي دعويٰ
counterfeit	0.094	0.694	0.451	جعلي
counterpart	0.448	0.608	0.577	هم منصب
counterpoint	0.438	0.509	0.538	ضد نقطو
countess	0.562	0.440	0.670	شمار
countless	0.520	0.566	0.534	بيشمار
country	0.698	0.394	0.693	ملڪ
countryman	0.673	0.441	0.789	ملڪاڻي
countrymusic	0.795	0.451	0.438	ملڪي موسيقي
countryside	0.732	0.288	0.327	ٻهراڙي
counts	0.343	0.373	0.500	شمار
county	0.479	0.368	0.545	ملڪ
coup	0.275	0.815	0.607	بغاوت
coupe	0.479	0.460	0.482	ڪوپ
couple	0.806	0.605	0.607	جوڙو
coupled	0.612	0.286	0.650	جوڙيل
coupling	0.594	0.479	0.555	جوڙڻ
coupon	0.704	0.300	0.421	ڪوپن
courage	0.830	0.728	0.849	همت
courageous	0.918	0.587	0.879	بهادر
courier	0.551	0.383	0.441	ڪوريئر
courses	0.735	0.412	0.534	ڪورس
coursing	0.542	0.472	0.546	ڪورس ڪرڻ
court	0.479	0.769	0.827	ڪورٽ
courteous	0.937	0.396	0.529	مهربان
courtesy	0.927	0.287	0.431	مھرباني
