English Word	Valence	Arousal	Dominance	Bengali Word
drought	0.133	0.353	0.267	খরা
drove	0.541	0.528	0.623	চালিত
drown	0.071	0.860	0.270	ডুব
drowsiness	0.260	0.194	0.303	তন্দ্রা
drowsy	0.375	0.180	0.240	তন্দ্রাচ্ছন্ন
drudgery	0.094	0.522	0.241	পরিশ্রম
drug	0.214	0.790	0.453	ড্রাগ
drug dealing	0.042	0.843	0.500	মাদক ব্যবসা
drugged	0.102	0.750	0.321	মাদকাসক্ত
druggist	0.240	0.561	0.417	ড্রাগজিস্ট
drugs	0.167	0.750	0.368	ওষুধের
drugstore	0.490	0.343	0.518	ওষুধের দোকান
druid	0.517	0.445	0.481	দ্রুইড
drum	0.615	0.679	0.339	ড্রাম
drummer	0.646	0.700	0.564	ড্রামার
drumming	0.594	0.750	0.426	ড্রামিং
drunk	0.194	0.800	0.250	মাতাল
drunk driving	0.073	0.900	0.306	মাতাল ড্রাইভিং
drunkard	0.240	0.873	0.250	মাতাল
drunken	0.155	0.849	0.250	মাতাল
drunkenness	0.214	0.774	0.336	মাতাল
dry	0.363	0.169	0.311	শুকনো
dryer	0.479	0.343	0.277	ড্রায়ার
dryness	0.292	0.296	0.263	শুষ্কতা
dual	0.573	0.330	0.384	দ্বৈত
dualism	0.490	0.406	0.536	দ্বৈতবাদ
duality	0.438	0.520	0.503	দ্বৈততা
dub	0.510	0.480	0.387	ডাব
dubious	0.414	0.480	0.198	সন্দেহজনক
duchess	0.656	0.548	0.711	জাঁদরেল মহিলা
duck	0.594	0.337	0.236	হাঁস
ducking	0.344	0.573	0.294	হাঁস
duckling	0.602	0.353	0.263	হাঁসের বাচ্চা
ducky	0.520	0.430	0.368	হাঁস
duct	0.449	0.435	0.430	নালী
ductile	0.508	0.420	0.433	নমনীয়
dud	0.167	0.455	0.246	দুষ্ট
dude	0.809	0.356	0.615	শহরবাসী
duds	0.347	0.311	0.339	দুষ্ট
due	0.562	0.340	0.467	বাকি
duel	0.271	0.696	0.589	দ্বন্দ্ব
dues	0.367	0.461	0.288	বকেয়া
duet	0.694	0.693	0.527	যুগল
duffel	0.500	0.400	0.384	ডাফেল
dugout	0.490	0.370	0.463	ডাগআউট
duh	0.357	0.461	0.364	দুহ
duke	0.667	0.440	0.669	ডিউক
dull	0.194	0.120	0.185	নিস্তেজ
dullard	0.450	0.480	0.365	dullard
dumb	0.188	0.330	0.151	বোবা
dumbasses	0.316	0.590	0.363	dumbasses
dumbbell	0.302	0.469	0.364	ডাম্বেল
dumbbitch	0.281	0.636	0.393	বোবা
dumfound	0.271	0.551	0.295	ডামফাউন্ড
dumfounder	0.406	0.481	0.400	dumfounder
dummy	0.440	0.144	0.250	ডামি
dump	0.345	0.500	0.370	ডাম্প
dumpling	0.580	0.321	0.360	ডাম্পলিং
dumps	0.302	0.583	0.365	ডাম্প
dumpster	0.229	0.418	0.101	ডাম্পস্টার
dun	0.458	0.431	0.339	ডন
dunce	0.188	0.327	0.146	ডন্স
dune	0.459	0.173	0.414	টিলা
dung	0.104	0.549	0.149	গোবর
dungeon	0.276	0.608	0.440	অন্ধকূপ
dunk	0.406	0.333	0.475	dunk
duo	0.510	0.500	0.447	যুগল
dupe	0.184	0.760	0.327	প্রতারণা
duplex	0.592	0.452	0.467	ডুপ্লেক্স
duplicate	0.521	0.490	0.338	নকল
duplication	0.480	0.564	0.577	নকল
duplicity	0.406	0.500	0.578	দ্বৈততা
durability	0.750	0.398	0.813	স্থায়িত্ব
durable	0.740	0.294	0.688	টেকসই
duration	0.656	0.370	0.536	সময়কাল
duress	0.302	0.569	0.612	জোর
dusk	0.532	0.276	0.519	সন্ধ্যা
dusky	0.229	0.528	0.324	গোধূলি
dust	0.344	0.246	0.241	ধুলো
duster	0.408	0.265	0.296	ঝাড়বাতি
dustpan	0.609	0.466	0.371	ডাস্টপ্যান
dusty	0.406	0.294	0.255	ধুলো
dutiful	0.724	0.245	0.585	কর্তব্যপরায়ণ
duty	0.583	0.579	0.651	কর্তব্য
dwarf	0.370	0.340	0.288	বামন
dwarfed	0.365	0.265	0.293	বামন
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	বাস
dweller	0.615	0.304	0.500	বাসিন্দা
dwelling	0.765	0.330	0.481	বাসস্থান
dye	0.479	0.314	0.371	রঞ্জক
dying	0.040	0.664	0.422	মরণ
dyke	0.438	0.396	0.566	ডাইক
dynamic	0.724	0.750	0.836	গতিশীল
dynamical	0.786	0.730	0.827	গতিশীল
dynamics	0.745	0.682	0.774	গতিবিদ্যা
dynamite	0.344	0.860	0.783	ডিনামাইট
dynamo	0.531	0.650	0.593	ডায়নামো
dynasty	0.725	0.588	0.936	রাজবংশ
dysentery	0.260	0.528	0.345	আমাশয়
dysfunction	0.156	0.410	0.386	কর্মহীনতা
dysfunctional	0.125	0.558	0.307	অকার্যকর
dyspepsia	0.212	0.470	0.460	ডিসপেপসিয়া
eager	0.521	0.812	0.306	আগ্রহী
eagerness	0.406	0.621	0.443	আগ্রহ
eagle	0.604	0.594	0.679	ঈগল
ear	0.469	0.216	0.231	কান
earful	0.533	0.462	0.443	কানপূর্ণ
earl	0.582	0.461	0.794	আর্ল
earlier	0.562	0.352	0.339	আগে
early	0.633	0.373	0.426	তাড়াতাড়ি
earn	0.865	0.769	0.817	উপার্জন
earnest	0.653	0.380	0.670	আন্তরিক
earnestly	0.847	0.490	0.717	আন্তরিকভাবে
earnestness	0.812	0.373	0.615	আন্তরিকতা
earnings	0.938	0.650	0.875	উপার্জন
earpiece	0.583	0.286	0.452	ইয়ারপিস
earring	0.583	0.520	0.500	কানের দুল
earrings	0.676	0.346	0.517	কানের দুল
earshot	0.552	0.332	0.408	কানের শট
earth	0.750	0.225	0.614	পৃথিবী
earthenware	0.552	0.210	0.320	মাটির পাত্র
earthling	0.531	0.412	0.570	আর্থলিং
earthly	0.625	0.318	0.518	পার্থিব
earthquake	0.073	0.930	0.812	ভূমিকম্প
earthy	0.375	0.413	0.404	মাটির
ease	0.796	0.385	0.491	আরাম
easel	0.694	0.340	0.527	ইজেল
easement	0.479	0.345	0.302	স্বাচ্ছন্দ্য
easily	0.885	0.279	0.453	সহজে
east	0.510	0.250	0.317	পূর্ব
eastbound	0.541	0.408	0.402	পূর্বমুখী
eastern	0.521	0.420	0.480	পূর্ব
easy	0.865	0.194	0.373	সহজ
easygoing	0.823	0.276	0.538	সহজগামী
eat	0.731	0.500	0.464	খাওয়া
eater	0.459	0.337	0.510	ভক্ষক
eating	0.847	0.491	0.615	খাওয়া
eatingdisorders	0.365	0.608	0.508	খাওয়ার রোগ
eavesdrop	0.375	0.710	0.368	শ্রবণ করা
eavesdropping	0.490	0.380	0.441	eavesdropping
ebb	0.354	0.451	0.404	ভাটা
ebony	0.490	0.317	0.400	আবলুস
ebullient	0.659	0.856	0.746	উত্সাহী
eccentric	0.531	0.806	0.721	উদ্ভট
eccentricity	0.408	0.735	0.745	উদ্ভটতা
ecclesiastical	0.673	0.270	0.660	ধর্মীয়
echelon	0.490	0.404	0.425	অগ্রগামী
echinacea	0.592	0.418	0.454	echinacea
echo	0.573	0.373	0.345	প্রতিধ্বনি
eclectic	0.646	0.542	0.508	সারগ্রাহী
eclipse	0.541	0.469	0.616	গ্রহন
ecliptic	0.531	0.520	0.556	গ্রহগত
ecological	0.885	0.290	0.607	পরিবেশগত
economic	0.561	0.408	0.639	অর্থনৈতিক
economical	0.667	0.564	0.673	অর্থনৈতিক
economics	0.625	0.481	0.632	অর্থনীতি
economy	0.583	0.434	0.771	অর্থনীতি
ecosystem	0.729	0.259	0.633	বাস্তুতন্ত্র
ecstasy	0.796	0.922	0.655	পরমানন্দ
ecstatic	0.875	0.769	0.742	আনন্দিত
ecumenical	0.561	0.450	0.547	বিশ্বজনীন
eddy	0.500	0.394	0.350	এডি
edema	0.250	0.519	0.318	শোথ
edge	0.439	0.470	0.468	প্রান্ত
edging	0.479	0.394	0.370	প্রান্ত
edgy	0.281	0.895	0.306	তীক্ষ্ণ
edible	0.750	0.425	0.497	ভোজ্য
edict	0.316	0.547	0.560	আদেশ
edification	0.625	0.481	0.697	এডিফিকেশন
edifice	0.551	0.403	0.610	ভবন
edit	0.510	0.410	0.544	সম্পাদনা
editing	0.604	0.404	0.493	সম্পাদনা
edition	0.542	0.455	0.564	সংস্করণ
editor	0.772	0.431	0.673	সম্পাদক
editorial	0.583	0.330	0.570	সম্পাদকীয়
educate	0.760	0.380	0.728	শিক্ষিত
educated	0.816	0.297	0.625	শিক্ষিত
education	0.896	0.275	0.840	শিক্ষা
educational	0.745	0.457	0.764	শিক্ষাগত
educator	0.827	0.317	0.845	শিক্ষাবিদ
eeeek	0.367	0.540	0.349	eeeek
eeek	0.333	0.490	0.302	eeek
eek	0.292	0.529	0.343	eek
eel	0.292	0.564	0.487	ঈল
eerie	0.265	0.771	0.442	ভয়ঙ্কর
effect	0.570	0.518	0.608	প্রভাব
effective	0.844	0.632	0.891	কার্যকর
effectiveness	0.640	0.654	0.812	কার্যকারিতা
effects	0.470	0.578	0.379	প্রভাব
effectual	0.776	0.559	0.820	কার্যকরী
effectually	0.724	0.500	0.594	কার্যকরভাবে
effectuate	0.510	0.602	0.679	কার্যকর করা
effeminate	0.337	0.619	0.291	নির্মল
efficacious	0.823	0.698	0.845	কার্যকরী
efficacy	0.802	0.490	0.906	কার্যকারিতা
efficiency	0.802	0.509	0.892	দক্ষতা
efficient	0.959	0.604	0.830	দক্ষ
effigy	0.510	0.440	0.401	মূর্তি
effort	0.698	0.778	0.858	প্রচেষ্টা
effortless	0.626	0.090	0.352	অনায়াসে
effusion	0.344	0.730	0.472	নিঃসরণ
effyou	0.354	0.529	0.490	effyou
egg	0.684	0.241	0.293	ডিম
egghead	0.316	0.492	0.284	ডিমহেড
eggnog	0.635	0.360	0.259	ডিমনগ
eggplant	0.592	0.152	0.323	বেগুন
eggshell	0.408	0.269	0.212	ডিমের খোসা
ego	0.328	0.576	0.593	অহংকার
egomaniac	0.133	0.708	0.596	অহংবোধ
egotistical	0.156	0.667	0.363	অহংকারী
egregious	0.150	0.716	0.442	জঘন্য
egress	0.490	0.429	0.287	প্রস্থান
eight	0.540	0.199	0.315	আট
eighteen	0.523	0.340	0.404	আঠার
eighth	0.531	0.226	0.380	অষ্টম
eighty	0.500	0.300	0.453	আশি
ejaculate	0.604	0.896	0.604	বীর্যপাত
ejaculation	0.615	0.893	0.547	বীর্যপাত
eject	0.434	0.656	0.559	বের করা
ejection	0.188	0.836	0.554	ইজেকশন
elaborate	0.561	0.367	0.680	বিস্তারিত
elaboration	0.708	0.500	0.598	বিস্তারিত
elan	0.562	0.367	0.500	এলান
elapse	0.514	0.440	0.455	অতিবাহিত
elapsed	0.583	0.451	0.493	অতিবাহিত
elastic	0.656	0.518	0.385	ইলাস্টিক
elasticity	0.635	0.452	0.582	স্থিতিস্থাপকতা
elated	0.792	0.960	0.725	উচ্ছ্বসিত
elation	0.740	0.853	0.623	উচ্ছ্বাস
elbow	0.448	0.133	0.254	কনুই
eld	0.471	0.292	0.451	প্রাচীন
elder	0.448	0.153	0.462	বড়
elders	0.602	0.260	0.441	প্রবীণ
eldest	0.625	0.471	0.741	জ্যেষ্ঠ
elect	0.667	0.554	0.661	নির্বাচিত
election	0.625	0.519	0.651	নির্বাচন
elective	0.612	0.380	0.623	নির্বাচনী
elector	0.479	0.520	0.766	নির্বাচক
electoral	0.490	0.631	0.602	নির্বাচনী
electorate	0.560	0.380	0.696	নির্বাচকমণ্ডলী
electric	0.458	0.708	0.512	বৈদ্যুতিক
electric slide	0.542	0.660	0.536	বৈদ্যুতিক স্লাইড
electrical	0.531	0.620	0.688	বৈদ্যুতিক
electrician	0.449	0.590	0.620	ইলেকট্রিশিয়ান
electricity	0.698	0.810	0.733	বিদ্যুৎ
electrify	0.520	0.769	0.737	বিদ্যুতায়ন
electrocute	0.271	0.731	0.555	ইলেক্ট্রোকিউট
electrocution	0.177	0.844	0.692	ইলেক্ট্রোকশন
electromagnetic	0.531	0.632	0.683	ইলেক্ট্রোম্যাগনেটিক
electron	0.520	0.455	0.560	ইলেকট্রন
electronic	0.571	0.490	0.704	বৈদ্যুতিক
electronics	0.708	0.545	0.574	ইলেকট্রনিক্স
elegance	0.918	0.396	0.824	কমনীয়তা
elegant	0.865	0.500	0.685	মার্জিত
element	0.531	0.259	0.481	উপাদান
elemental	0.627	0.306	0.711	মৌলিক
elementary	0.594	0.286	0.686	প্রাথমিক
elements	0.510	0.312	0.462	উপাদান
elephant	0.531	0.510	0.615	হাতি
elevate	0.812	0.500	0.804	উন্নত করা
elevated	0.704	0.594	0.620	উত্তোলিত
elevation	0.760	0.759	0.711	উচ্চতা
elevator	0.562	0.604	0.676	লিফট
eleven	0.449	0.250	0.430	এগারো
eleventh	0.594	0.329	0.357	একাদশ
elf	0.460	0.457	0.315	পরী
elicit	0.406	0.594	0.658	প্রকাশ করা
eligible	0.750	0.400	0.518	যোগ্য
eliminate	0.265	0.670	0.324	নিষ্কাশন করা
elimination	0.052	0.667	0.431	নির্মূল
elite	0.688	0.704	0.737	অভিজাত
elitist	0.500	0.606	0.656	অভিজাত
elixir	0.708	0.587	0.604	অমৃত
elk	0.439	0.337	0.340	এলক
ell	0.469	0.418	0.373	ell
ellipse	0.531	0.410	0.479	উপবৃত্ত
ellipsis	0.653	0.358	0.314	উপবৃত্তাকার
ellipsoid	0.500	0.440	0.419	উপবৃত্তাকার
elliptic	0.500	0.431	0.528	উপবৃত্তাকার
elliptical	0.338	0.385	0.490	উপবৃত্তাকার
elm	0.510	0.345	0.321	এলম
elongate	0.583	0.385	0.540	প্রসারিত করা
elongation	0.561	0.500	0.500	প্রসারণ
elope	0.396	0.694	0.528	পালিয়ে যাওয়া
eloquence	0.729	0.490	0.804	বাগ্মিতা
eloquent	0.870	0.680	0.741	বাকপটু
elucidate	0.583	0.509	0.518	ব্যাখ্যা করা
elucidation	0.650	0.574	0.586	ব্যাখ্যা
elude	0.438	0.521	0.464	এলাড
elusive	0.229	0.615	0.466	অধরা
emaciated	0.103	0.541	0.151	দুর্বল
email	0.698	0.230	0.456	ইমেইল
emanate	0.653	0.464	0.554	নির্গত
emancipation	0.704	0.684	0.763	মুক্তি
embankment	0.677	0.438	0.436	বাঁধ
embargo	0.229	0.564	0.443	নিষেধাজ্ঞা
embark	0.541	0.550	0.619	আরোহণ
embarrass	0.082	0.667	0.364	বিব্রত করা
embarrassed	0.184	0.560	0.246	বিব্রত
embarrassing	0.226	0.809	0.225	বিব্রতকর
embarrassment	0.143	0.685	0.226	বিব্রত অবস্থা
embassy	0.622	0.333	0.758	দূতাবাস
embattled	0.235	0.724	0.421	বিরোধিতা
embed	0.417	0.554	0.670	বসান
embellish	0.842	0.500	0.769	অলঙ্কৃত করা
embellishment	0.673	0.449	0.405	অলঙ্করণ
embers	0.490	0.481	0.508	অঙ্গার
embezzlement	0.143	0.827	0.435	আত্মসাৎ
embezzler	0.146	0.823	0.491	আত্মসাৎকারী
emblem	0.640	0.330	0.754	প্রতীক
emblematic	0.771	0.459	0.798	প্রতীকী
embodiment	0.562	0.690	0.663	মূর্তকরণ
embolism	0.104	0.660	0.302	এম্বলিজম
embossed	0.531	0.481	0.500	এমবসড
embrace	0.949	0.490	0.452	আলিঙ্গন
embroidered	0.677	0.279	0.407	এমব্রয়ডারি করা
embroidery	0.781	0.358	0.280	সূচিকর্ম
embroiled	0.337	0.721	0.420	জড়িত
embryo	0.673	0.469	0.453	ভ্রূণ
embryonic	0.573	0.453	0.598	ভ্রূণ
emcee	0.694	0.577	0.691	emcee
emerald	0.740	0.363	0.726	পান্না
emerge	0.602	0.594	0.731	আবির্ভূত
emergence	0.276	0.857	0.676	উত্থান
emergency	0.200	0.900	0.571	জরুরী
emeritus	0.633	0.402	0.735	ইমেরিটাস
emery	0.469	0.583	0.472	এমেরি
emetophobia	0.243	0.620	0.403	ইমেটোফোবিয়া
emigrate	0.356	0.812	0.508	দেশত্যাগ
emigration	0.564	0.664	0.432	দেশত্যাগ
eminence	0.816	0.644	0.837	বিশিষ্টতা
eminent	0.740	0.620	0.830	বিশিষ্ট
eminently	0.694	0.607	0.773	বিশিষ্টভাবে
emir	0.510	0.396	0.621	আমির
emissary	0.562	0.462	0.636	দূত
emission	0.510	0.453	0.591	নিঃসরণ
emit	0.638	0.445	0.510	নির্গত
emo	0.354	0.314	0.226	ইমো
emotion	0.693	0.873	0.696	আবেগ
emotional	0.779	0.714	0.526	আবেগপূর্ণ
emotive	0.917	0.741	0.525	আবেগপূর্ণ
empathic	0.760	0.570	0.558	সহানুভূতিশীল
empathize	0.802	0.591	0.660	সহানুভূতি করা
empathy	0.729	0.349	0.545	সহমর্মিতা
emperor	0.651	0.704	0.962	সম্রাট
emphasis	0.653	0.745	0.816	জোর
emphasize	0.510	0.605	0.769	জোর দেওয়া
emphatic	0.615	0.707	0.732	জোর
emphysema	0.156	0.556	0.336	এমফিসেমা
empire	0.688	0.730	0.944	সাম্রাজ্য
empirical	0.500	0.510	0.574	অভিজ্ঞতামূলক
empiricism	0.583	0.460	0.547	অভিজ্ঞতাবাদ
employ	0.729	0.481	0.702	নিয়োগ
employee	0.582	0.361	0.481	কর্মচারী
employer	0.663	0.518	0.767	নিয়োগকর্তা
employment	0.750	0.594	0.611	কর্মসংস্থান
emporium	0.622	0.556	0.724	এম্পোরিয়াম
empower	0.694	0.779	0.891	ক্ষমতায়ন
empress	0.716	0.669	0.855	সম্রাজ্ঞী
emptiness	0.177	0.173	0.184	শূন্যতা
emption	0.570	0.406	0.458	খালি
empty	0.188	0.183	0.081	খালি
emu	0.420	0.358	0.330	ইমু
emulate	0.438	0.340	0.549	অনুকরণ করা
emulsion	0.562	0.431	0.453	ইমালসন
enable	0.760	0.491	0.782	সক্ষম
enablement	0.600	0.451	0.750	সক্ষমতা
enact	0.680	0.564	0.598	আইন করা
enactment	0.667	0.612	0.769	আইন
enamel	0.594	0.280	0.306	এনামেল
encampment	0.677	0.573	0.605	ক্যাম্প
enchant	0.873	0.650	0.643	জাদু করা
enchanted	0.917	0.633	0.687	মন্ত্রমুগ্ধ
enchanting	0.917	0.681	0.708	মন্ত্রমুগ্ধকর
enchantment	0.816	0.775	0.647	জাদু
enchantress	0.398	0.663	0.479	মন্ত্রমুগ্ধ
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	ঘেরা
encircling	0.510	0.368	0.557	ঘেরা
enclave	0.531	0.333	0.580	ছিটমহল
enclose	0.531	0.477	0.473	ঘিরা
enclosure	0.417	0.375	0.490	ঘের
encode	0.490	0.500	0.734	এনকোড
encomiastic	0.541	0.500	0.670	encomiastic
encomium	0.541	0.451	0.519	encomium
encompass	0.520	0.298	0.661	বেষ্টন করা
encore	0.510	0.423	0.500	এনকোর
encounter	0.865	0.702	0.689	সম্মুখীন
encourage	0.896	0.580	0.704	উত্সাহিত করা
encouraged	0.953	0.702	0.657	উৎসাহিত
encouragement	0.865	0.700	0.759	উত্সাহ
encouraging	0.823	0.583	0.755	উত্সাহজনক
encroach	0.302	0.742	0.702	দখল করা
encroachment	0.255	0.736	0.620	সীমালঙ্ঘন
encrypt	0.500	0.387	0.500	এনক্রিপ্ট
encryption	0.547	0.415	0.474	জোড়া লাগানো
encumbrance	0.300	0.521	0.480	দায়বদ্ধতা
encyclopedia	0.679	0.320	0.645	বিশ্বকোষ
end	0.198	0.349	0.298	শেষ
end table	0.541	0.480	0.482	শেষ টেবিল
endanger	0.115	0.885	0.404	বিপন্ন
endangered	0.083	0.885	0.430	বিপন্ন
endangerment	0.167	0.873	0.519	বিপদ
endearing	0.663	0.434	0.604	প্রিয়
endeavor	0.677	0.755	0.765	চেষ্টা
ended	0.302	0.500	0.500	শেষ
endemic	0.406	0.480	0.483	স্থানীয়
endgame	0.449	0.538	0.526	শেষ খেলা
ending	0.344	0.365	0.492	শেষ
endless	0.347	0.462	0.472	অন্তহীন
endocarditis	0.235	0.587	0.412	এন্ডোকার্ডাইটিস
endorse	0.592	0.392	0.472	অনুমোদন করা
endorsement	0.834	0.360	0.611	অনুমোদন
endow	0.684	0.398	0.609	দান
endowed	0.755	0.510	0.769	সমৃদ্ধ
endowment	0.685	0.578	0.647	দান
endpapers	0.542	0.400	0.339	শেষপত্র
endpoint	0.311	0.410	0.448	শেষপ্রান্ত
endurance	0.592	0.745	0.760	সহনশীলতা
endure	0.320	0.610	0.574	সহ্য করা
enduring	0.633	0.459	0.768	স্থায়ী
enema	0.281	0.673	0.268	এনিমা
enemy	0.135	0.794	0.591	শত্রু
energetic	0.847	0.868	0.902	অনলস
energize	0.792	0.810	0.875	শক্তি যোগান
energy	0.944	0.725	0.868	শক্তি
enforce	0.583	0.644	0.836	প্রয়োগ করা
enforcement	0.594	0.571	0.736	প্রয়োগ
enforcer	0.398	0.612	0.639	প্রয়োগকারী
engage	0.771	0.796	0.713	জড়িত
engaged	0.837	0.596	0.849	নিযুক্ত
engagement	0.906	0.587	0.807	ব্যস্ততা
engaging	0.948	0.612	0.862	আকর্ষক
engender	0.561	0.741	0.688	উৎপন্ন করা
engine	0.615	0.644	0.676	ইঞ্জিন
engineer	0.719	0.500	0.875	প্রকৌশলী
engineering	0.735	0.471	0.836	প্রকৌশল
engrave	0.486	0.442	0.517	খোদাই করা
engraved	0.542	0.375	0.473	খোদাই করা
engraver	0.552	0.417	0.500	খোদাইকারী
engraving	0.604	0.430	0.442	খোদাই
engrossed	0.541	0.471	0.304	মগ্ন
engrossing	0.698	0.702	0.750	আকর্ষক
engulf	0.398	0.573	0.500	গ্রাস করা
enhance	0.802	0.578	0.814	উন্নত করা
enhancement	0.877	0.490	0.741	বর্ধন
enigma	0.513	0.700	0.500	রহস্য
enigmatic	0.469	0.589	0.679	রহস্যময়
enjoin	0.594	0.454	0.732	আদেশ করা
enjoy	0.959	0.725	0.750	উপভোগ
enjoyable	1.000	0.481	0.605	উপভোগ্য
enjoying	0.908	0.759	0.759	উপভোগ করা
enjoyment	0.930	0.612	0.716	উপভোগ
enlarge	0.735	0.606	0.688	বড় করা
enlarged	0.673	0.490	0.518	বর্ধিত
enlargement	0.677	0.577	0.616	বৃদ্ধি
enlighten	0.729	0.549	0.667	আলোকিত করা
enlightened	0.956	0.566	0.700	আলোকিত
enlightening	0.825	0.729	0.727	আলোকিত
enlightenment	0.837	0.549	0.619	জ্ঞানদান
enlist	0.510	0.370	0.483	তালিকাভুক্ত করা
enliven	0.833	0.683	0.702	জীবিত করা
enmity	0.094	0.706	0.382	শত্রুতা
ennui	0.406	0.461	0.316	ennui
enormity	0.594	0.648	0.848	বিশালতা
enormous	0.677	0.665	0.886	বিশাল
enormously	0.760	0.694	0.872	অতিশয়
enraged	0.083	0.962	0.636	রাগান্বিত
enrich	0.896	0.731	0.705	সমৃদ্ধ করা
enroll	0.696	0.530	0.611	নথিভুক্ত করা
enrollment	0.667	0.391	0.698	তালিকাভুক্তি
ensemble	0.697	0.418	0.586	ensemble
ensign	0.663	0.270	0.545	চিহ্ন
enslave	0.073	0.800	0.481	দাস করা
enslaved	0.104	0.720	0.321	ক্রীতদাস
enslavement	0.086	0.635	0.302	দাসত্ব
ensue	0.698	0.363	0.332	ফলপ্রসূ
ensure	0.737	0.406	0.759	নিশ্চিত করা
entail	0.484	0.630	0.645	entail
entangled	0.319	0.578	0.357	entangled
entanglement	0.302	0.765	0.248	ফাঁদে ফেলা
enter	0.708	0.470	0.500	প্রবেশ করা
enterprise	0.760	0.392	0.754	এন্টারপ্রাইজ
enterprising	0.865	0.784	0.875	উদ্যোগী
entertain	0.918	0.684	0.598	বিনোদন
entertained	0.902	0.644	0.712	বিনোদন
entertainer	0.888	0.709	0.759	বিনোদনকারী
entertaining	0.833	0.658	0.660	বিনোদনমূলক
entertainment	0.847	0.750	0.569	বিনোদন
enthralled	0.745	0.602	0.615	মুগ্ধ
enthusiasm	0.938	0.816	0.798	উদ্দীপনা
enthusiast	0.867	0.810	0.875	উত্সাহী
enthusiastic	0.885	0.868	0.848	উদ্যমী
entice	0.521	0.887	0.518	প্রলুব্ধ করা
entire	0.689	0.462	0.698	সম্পূর্ণ
entirety	0.854	0.460	0.804	সম্পূর্ণতা
entitle	0.729	0.333	0.827	এনটাইটেল
entity	0.542	0.402	0.670	সত্তা
entomology	0.438	0.396	0.545	কীটতত্ত্ব
entourage	0.491	0.567	0.467	দল
entrails	0.365	0.538	0.387	অন্ত্র
entrance	0.698	0.393	0.526	প্রবেশদ্বার
entrapment	0.177	0.604	0.441	ফাঁদে ফেলা
entreat	0.304	0.560	0.462	অনুরোধ করা
entree	0.615	0.477	0.624	প্রবেশ
entrepreneur	0.885	0.704	0.920	উদ্যোক্তা
entrust	0.693	0.310	0.630	অর্পণ
entry	0.552	0.353	0.602	প্রবেশ
enumerate	0.521	0.390	0.491	গোনা
enumeration	0.548	0.327	0.534	গণনা
envelope	0.604	0.275	0.377	খাম
envious	0.110	0.754	0.341	ঈর্ষান্বিত
environ	0.724	0.221	0.433	পরিবেশ
environment	0.646	0.194	0.528	পরিবেশ
environmental	0.633	0.313	0.664	পরিবেশগত
environs	0.561	0.288	0.345	পরিবেশ
envision	0.625	0.449	0.483	কল্পনা করা
envoy	0.531	0.375	0.586	দূত
envy	0.240	0.704	0.427	ঈর্ষা
enzyme	0.562	0.277	0.481	এনজাইম
ephemeral	0.500	0.312	0.377	ক্ষণস্থায়ী
ephemeris	0.640	0.380	0.528	ইফেমেরিস
epic	0.857	0.713	0.830	মহাকাব্য
epidemic	0.092	0.830	0.611	মহামারী
epidermis	0.418	0.490	0.426	এপিডার্মিস
epidural	0.347	0.452	0.525	এপিডুরাল
epilepsy	0.061	0.854	0.250	মৃগীরোগ
epileptic	0.146	0.794	0.340	মৃগীরোগ
epilogue	0.582	0.353	0.466	উপসংহার
epiphany	0.625	0.596	0.526	এপিফেনি
episcopal	0.542	0.314	0.750	এপিস্কোপাল
episode	0.719	0.367	0.509	পর্ব
episodic	0.531	0.542	0.462	এপিসোডিক
epistle	0.604	0.417	0.535	পত্র
epitaph	0.276	0.323	0.442	এপিটাফ
epithet	0.530	0.394	0.524	এপিথেট
epitome	0.510	0.500	0.667	উপাখ্যান
epoch	0.553	0.343	0.797	যুগ
equal	0.781	0.178	0.407	সমান
equality	0.898	0.305	0.716	সমতা
equalization	0.625	0.422	0.423	সমতা
equalize	0.738	0.281	0.574	সমান করা
equalizer	0.604	0.451	0.586	সমানকারী
equally	0.625	0.264	0.436	সমানভাবে
equate	0.724	0.382	0.624	সমান করা
equation	0.479	0.384	0.608	সমীকরণ
equator	0.550	0.302	0.462	বিষুবরেখা
equatorial	0.550	0.271	0.593	নিরক্ষীয়
equestrian	0.633	0.519	0.417	অশ্বারোহী
equidistant	0.375	0.406	0.509	সমদূরবর্তী
equilibration	0.724	0.317	0.593	ভারসাম্য
equilibrium	0.676	0.235	0.620	ভারসাম্য
equip	0.650	0.519	0.713	সজ্জিত করা
equipment	0.745	0.495	0.700	সরঞ্জাম
equitable	0.714	0.286	0.750	ন্যায়সঙ্গত
equity	0.792	0.304	0.614	ইক্যুইটি
equivalence	0.663	0.250	0.582	সমতা
equivalent	0.646	0.347	0.500	সমতুল্য
equivocal	0.327	0.482	0.257	দ্ব্যর্থহীন
era	0.615	0.407	0.449	যুগ
eradicate	0.260	0.690	0.686	নির্মূল
eradication	0.208	0.788	0.685	নির্মূল
erase	0.240	0.260	0.321	মুছে ফেলা
eraser	0.458	0.209	0.311	ইরেজার
erasure	0.281	0.360	0.265	মুছে ফেলা
ere	0.479	0.312	0.377	আগে
erect	0.643	0.885	0.627	খাড়া
erectile	0.542	0.796	0.625	ইরেক্টাইল
erection	0.640	0.856	0.695	ইমারত
