English Word	Valence	Arousal	Dominance	Sesotho Word
curtailment	0.230	0.578	0.431	khiriso
curtain	0.698	0.278	0.304	lesira
curtains	0.615	0.123	0.342	likharetene
curtsy	0.635	0.412	0.598	curtsy
curvature	0.417	0.367	0.447	kobeha
curve	0.480	0.375	0.307	kobeha
curved	0.542	0.407	0.337	kobehile
curvilinear	0.480	0.575	0.411	curvilinear
cushion	0.653	0.221	0.292	mosamo
cushy	0.823	0.283	0.395	cushy
cusp	0.667	0.710	0.700	cusp
cuss	0.354	0.538	0.443	qosa
cussed	0.156	0.625	0.454	kgethile
custard	0.618	0.260	0.293	custard
custodial	0.418	0.462	0.718	tshoarollo
custodian	0.594	0.625	0.528	mohlokomedi
custody	0.494	0.472	0.675	tlhokomelo
custom	0.552	0.382	0.688	tloaelo
customary	0.700	0.253	0.561	tloaelo
customer	0.562	0.430	0.673	moreki
customized	0.625	0.504	0.590	customized
cut	0.490	0.490	0.393	kgaola
cutaneous	0.365	0.370	0.328	cutaneous
cute	0.920	0.528	0.579	e ntle
cuticle	0.340	0.320	0.377	cuticle
cutie	0.638	0.528	0.464	cutie
cutlass	0.173	0.648	0.528	sekotla
cutlery	0.552	0.300	0.345	poho
cutoff	0.432	0.510	0.518	khaola
cutter	0.427	0.731	0.583	mosehi
cutters	0.197	0.653	0.491	basehi
cutthroat	0.110	0.823	0.663	sekotlo
cutting	0.448	0.375	0.536	ho poma
cutting board	0.337	0.540	0.342	letlapa la ho seha
cuttings	0.479	0.392	0.433	li-cuttings
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	cyanide
cyberspace	0.677	0.594	0.611	sebaka sa marang-rang
cycle	0.635	0.400	0.533	potoloho
cyclical	0.380	0.450	0.554	cyclical
cyclist	0.684	0.582	0.576	mopalami wa baesekele
cyclone	0.416	0.796	0.673	leholiotsoana
cylinder	0.459	0.324	0.447	moqomo
cylindrical	0.458	0.294	0.414	cylindrical
cymbal	0.542	0.363	0.362	cymbala
cynic	0.135	0.632	0.473	moqosi
cynical	0.156	0.760	0.474	monyatsi
cynicism	0.104	0.780	0.454	boipelaetso
cyst	0.173	0.578	0.312	cyst
cystic	0.314	0.481	0.400	cystic
cytomegalovirus	0.186	0.657	0.443	tšoaetso ea cytomegalovirus
cytoplasm	0.378	0.442	0.474	cytoplasm
czar	0.480	0.348	0.643	czar
dab	0.510	0.337	0.340	dab
dabble	0.550	0.530	0.491	tsikitlanya
dabbling	0.562	0.726	0.676	tjantjello
dad	0.857	0.412	0.786	ntate
daddy	0.795	0.400	0.736	ntate
dado	0.510	0.240	0.364	ntate
daemon	0.333	0.490	0.500	daemon
daft	0.255	0.436	0.157	daft
dagger	0.224	0.797	0.613	thipa
daily	0.653	0.347	0.473	letsatsi le letsatsi
dainty	0.604	0.284	0.424	monate
daiquiri	0.670	0.519	0.400	Daiquiri
dairy	0.633	0.255	0.462	lebese
daisy	0.562	0.367	0.333	daisy
dak	0.510	0.417	0.424	dak
dale	0.622	0.270	0.365	dale
dam	0.250	0.553	0.394	letamo
damage	0.059	0.726	0.403	tshenyo
damaged	0.104	0.635	0.182	senyehile
damages	0.082	0.760	0.310	tshenyo
dame	0.694	0.480	0.500	ntate
damn	0.073	0.784	0.431	Yerrrrrrr
damnation	0.135	0.750	0.416	tsuo
damned	0.100	0.760	0.465	nyelisoa
damp	0.360	0.279	0.210	mongobo
dampened	0.271	0.422	0.336	tsikisitse
damper	0.459	0.378	0.473	damper
damsel	0.719	0.475	0.400	ngoanana
dance	0.894	0.840	0.551	motjeko
dancer	0.740	0.768	0.545	setantshi
dancing	0.885	0.868	0.444	ho tjeka
dandruff	0.398	0.298	0.293	dandruff
dandy	0.673	0.520	0.630	monate
danger	0.115	0.923	0.673	Kotsi
dangerous	0.020	0.941	0.658	kotsi
dangerously	0.082	0.930	0.564	ka kotsi
dangit	0.396	0.606	0.358	dangit
dangle	0.362	0.469	0.375	leketla
dank	0.390	0.381	0.383	dank
dapper	0.770	0.560	0.698	dapper
dare	0.677	0.788	0.684	sebete
daredevil	0.429	0.714	0.653	daredevil
daresay	0.540	0.451	0.490	daresay
daring	0.583	0.840	0.711	sebete
dark	0.198	0.398	0.426	lefifi
darken	0.250	0.471	0.382	fifatsa
darkened	0.135	0.440	0.452	fifala
darkly	0.219	0.548	0.443	lefifing
darkness	0.102	0.602	0.418	lefifi
darkroom	0.188	0.627	0.423	phaposi e lefifi
darkside	0.102	0.690	0.365	lefifi
darling	0.885	0.370	0.608	moratuoa
darn	0.115	0.765	0.418	darn
dart	0.417	0.608	0.500	motsu
dash	0.574	0.312	0.324	lebelo
dashboard	0.510	0.371	0.595	dashboard
dashed	0.276	0.393	0.338	dashed
dashing	0.612	0.627	0.799	qabola
dastardly	0.208	0.688	0.270	dastardly
data	0.500	0.250	0.426	data
database	0.604	0.286	0.644	database
date	0.604	0.231	0.400	letsatsi
datenight	0.708	0.637	0.518	bosiu
daughter	0.908	0.415	0.455	morali
dawdle	0.479	0.464	0.357	dawdle
dawn	0.827	0.235	0.519	mafube
dawned	0.694	0.471	0.473	thobile
day	0.719	0.269	0.389	letsatsi
daybreak	0.802	0.358	0.474	mesong
daycare	0.776	0.481	0.360	tlhokomelo ea letsatsi
daydream	0.750	0.337	0.456	toro ya letsatsi
daydreaming	0.776	0.360	0.479	ho lora motshehare
daylight	0.865	0.420	0.545	khanya ea letsatsi
daymade	0.646	0.450	0.417	ya letsatsi
dayoff	0.760	0.368	0.377	letsatsioff
daytime	0.750	0.324	0.454	motsheare
daze	0.245	0.735	0.329	tsieleha
dazed	0.300	0.697	0.277	tsielehile
dazzle	0.730	0.782	0.683	qabola
dazzling	0.854	0.880	0.767	e kganyang
deacon	0.531	0.430	0.736	modiakone
deactivate	0.235	0.447	0.392	timatsa
dead	0.052	0.454	0.194	shoeleng
deadbeat	0.229	0.453	0.368	ho otla
deadline	0.214	0.615	0.460	letsatsi la pheletso
deadlines	0.406	0.769	0.411	linako tse behiloeng
deadlock	0.170	0.418	0.323	deadlock
deadly	0.143	0.849	0.554	bolaeang
deafening	0.281	0.835	0.482	e thibang ditsebe
deafness	0.125	0.413	0.219	ho hloka kutlo
deal	0.719	0.599	0.543	sebetsana
dealer	0.799	0.615	0.683	morekisi
dealership	0.541	0.430	0.629	morekisi
dealing	0.724	0.415	0.598	sebetsana
dealings	0.600	0.491	0.480	litšebelisano
dean	0.612	0.469	0.723	dean
dear	0.880	0.434	0.629	ratehang
dearest	0.902	0.427	0.508	ratehang ka ho fetisisa
dearth	0.156	0.539	0.255	khaello
death	0.031	0.720	0.472	lefu
deathbed	0.051	0.652	0.311	bethe ya lefu
deathly	0.073	0.771	0.682	ka lefu
debacle	0.156	0.606	0.266	debacle
debased	0.219	0.529	0.170	nyelisoe
debatable	0.181	0.610	0.474	qoakoang
debate	0.408	0.691	0.683	ngangisano
debauchery	0.354	0.901	0.500	bohlola
debenture	0.417	0.500	0.466	debentu
debilitating	0.125	0.490	0.308	fokolisa
debit	0.333	0.400	0.474	debit
debrief	0.247	0.343	0.549	tlhaloso
debriefing	0.427	0.580	0.456	debriefing
debris	0.135	0.396	0.327	litšila
debt	0.204	0.598	0.336	molato
debtor	0.219	0.546	0.160	mokoloto
debut	0.806	0.606	0.629	qalo
debutante	0.771	0.627	0.454	qalo
decade	0.531	0.402	0.665	lilemo tse leshome
decadence	0.237	0.455	0.291	decadence/
decadent	0.290	0.559	0.324	decadent
decaf	0.480	0.324	0.353	decaf
decanter	0.438	0.567	0.510	decanter
decathlon	0.573	0.753	0.620	decathlon
decay	0.143	0.312	0.170	ho bola
decayed	0.017	0.375	0.169	senyehile
decaying	0.073	0.510	0.214	ho bola
deceased	0.021	0.538	0.188	mofu
decedent	0.423	0.481	0.415	decedent
deceit	0.020	0.696	0.343	thetso
deceitful	0.071	0.788	0.371	thetso
deceive	0.094	0.775	0.414	thetsa
deceived	0.059	0.673	0.302	thetsitsoe
deceiving	0.099	0.636	0.426	thetsang
december	0.740	0.540	0.464	December
decency	0.750	0.235	0.634	boitlhompho
decent	0.823	0.296	0.653	hlomphehang
deception	0.090	0.745	0.370	thetso
deceptive	0.027	0.605	0.294	thetsang
decide	0.656	0.540	0.855	etsa qeto
decidedly	0.750	0.480	0.843	ka qeto
deciduous	0.385	0.353	0.282	deciduous
decimal	0.507	0.259	0.305	decimal
decimeter	0.520	0.292	0.377	decimeter
decipher	0.417	0.630	0.652	manolla
decision	0.646	0.510	0.839	qeto
decisive	0.740	0.509	0.935	qeto
deck	0.420	0.333	0.394	mokato
declaration	0.551	0.590	0.714	phatlalatso
declaratory	0.635	0.582	0.673	phatlalatsoa
declare	0.677	0.623	0.668	phatlalatsa
declination	0.250	0.549	0.311	declination
decline	0.173	0.491	0.240	fokotseha
declining	0.328	0.400	0.264	fokotseha
deco	0.625	0.274	0.356	deco
decode	0.551	0.510	0.640	decode
decoder	0.562	0.340	0.686	sekhouthara
decompose	0.194	0.596	0.241	bola
decomposed	0.073	0.442	0.231	senyehile
decomposition	0.133	0.600	0.263	ho bola
decompress	0.438	0.430	0.509	decompress
decompression	0.208	0.520	0.311	decompression
decontamination	0.611	0.538	0.573	ho tsilafatsa
decor	0.734	0.311	0.573	mokgabiso
decorate	0.954	0.370	0.404	kgabisa
decorating	0.863	0.548	0.462	ho kgabisa
decoration	0.878	0.553	0.526	mokgabiso
decorative	0.908	0.460	0.381	mokgabiso
decorator	0.840	0.471	0.455	mokgabi
decorum	0.802	0.327	0.462	mokhabo
decoy	0.149	0.460	0.330	thetsa
decrease	0.125	0.360	0.267	fokotseha
decreased	0.224	0.271	0.170	fokotsehile
decreasing	0.320	0.346	0.224	fokotseha
decree	0.552	0.478	0.746	taelo/ taelo
decrement	0.255	0.427	0.373	fokotseha
decrepit	0.156	0.490	0.225	decrepit
decry	0.400	0.814	0.548	nyelisa
decryption	0.459	0.445	0.600	decryption
dedicate	0.823	0.431	0.588	nehela
dedication	0.867	0.471	0.682	boinehelo
deduce	0.490	0.510	0.466	deduce
deduct	0.355	0.330	0.412	hula
deductible	0.375	0.286	0.455	deductible
deduction	0.438	0.462	0.527	phokotso
deed	0.520	0.320	0.592	ketso
deejay	0.551	0.630	0.473	deejay
deem	0.594	0.529	0.690	nka
deep	0.490	0.473	0.657	tebile
deepen	0.625	0.530	0.776	tebisa
deer	0.583	0.375	0.292	kgama
defamation	0.110	0.670	0.481	nyeliso
defamatory	0.143	0.688	0.402	nyeliso
default	0.459	0.343	0.712	ya kamehla
defeat	0.092	0.500	0.224	hloloa
defeated	0.104	0.582	0.145	hlotsoe
defeatist	0.163	0.567	0.315	mohlodi
defect	0.135	0.561	0.185	sekodi
defection	0.146	0.594	0.330	ho kgeloha
defective	0.122	0.580	0.274	e nang le sekodi
defector	0.163	0.696	0.286	sefokodi
defend	0.698	0.722	0.670	sireletsa
defendant	0.250	0.710	0.491	moqosuoa
defended	0.663	0.451	0.582	sireletsa
defender	0.639	0.708	0.750	mosireletsi
defending	0.604	0.871	0.812	sireletsa
defense	0.652	0.698	0.802	tshireletso
defenseless	0.143	0.357	0.105	e hlokang tshireletso
defensible	0.740	0.509	0.593	ka sireletsoa
defensive	0.542	0.640	0.678	tshireletso
defer	0.245	0.459	0.317	defer
deference	0.510	0.396	0.447	tlhompho
deferral	0.765	0.542	0.327	deferral/
deferring	0.343	0.500	0.413	deferring
defiance	0.333	0.780	0.760	defiance
defiant	0.250	0.792	0.769	defiant
defibrillator	0.398	0.663	0.431	defibrillator
deficiency	0.073	0.373	0.179	khaello
deficient	0.240	0.464	0.132	hlaela
deficit	0.358	0.500	0.269	khaello
define	0.688	0.415	0.632	hlalosa
defined	0.670	0.214	0.646	hlalositsoe
definite	0.708	0.292	0.741	bonnete
definition	0.573	0.375	0.579	tlhaloso
definitive	0.583	0.479	0.787	ka tieo
deflate	0.148	0.404	0.237	deflate
deflation	0.287	0.536	0.407	deflation
deflect	0.133	0.491	0.482	kheloha
deflection	0.188	0.500	0.382	kheloha
defloration	0.188	0.690	0.434	defloration
deform	0.112	0.654	0.284	holofatsa
deformed	0.198	0.435	0.308	holofetse
deformity	0.160	0.569	0.241	ho holofala
defraud	0.175	0.635	0.314	thetso
defray	0.375	0.598	0.653	defray
defrost	0.427	0.317	0.389	defrost
deft	0.719	0.575	0.849	deft
defunct	0.112	0.491	0.272	felloa ke matla
defuse	0.167	0.480	0.430	defuse
defy	0.353	0.884	0.657	defy
degeneracy	0.143	0.720	0.298	bofokoli
degenerate	0.069	0.724	0.264	degenerate
degeneration	0.245	0.578	0.371	phokotso
degradation	0.160	0.608	0.315	nyenyefatso
degrade	0.083	0.500	0.184	nyenyefatsa
degraded	0.167	0.433	0.205	degraded
degrading	0.031	0.583	0.232	nyenyefatsa
degree	0.724	0.365	0.663	tekanyo
dehydrated	0.310	0.685	0.212	felloa ke metsi
dehydration	0.188	0.472	0.259	ho felloa ke metsi
dejected	0.104	0.654	0.347	tsielehile
delay	0.204	0.510	0.162	lieha
delayed	0.188	0.490	0.216	lieha
delectable	0.781	0.642	0.718	e kgethehang
delegate	0.612	0.491	0.658	moemeli
delegation	0.562	0.431	0.609	moifo
delete	0.292	0.298	0.409	hlakola
deleterious	0.297	0.725	0.440	derious
deletion	0.062	0.506	0.462	hlakotsoe
deli	0.561	0.448	0.447	deli
deliberate	0.551	0.654	0.682	ka boomo
deliberation	0.561	0.678	0.596	monahano
deliberative	0.392	0.552	0.573	kabolelo
delicacy	0.812	0.279	0.336	delicacy
delicate	0.583	0.294	0.366	tiea
delicatessen	0.656	0.474	0.400	delicatessen
delicious	0.927	0.650	0.589	monate
delight	0.949	0.666	0.647	nyakallo
delighted	0.938	0.664	0.685	Nyakalletse
delightful	0.918	0.735	0.644	kgahlisang
delineate	0.448	0.430	0.445	delineate
delineation	0.521	0.402	0.314	delineation
delinquency	0.135	0.860	0.508	botlokotsebe
delinquent	0.051	0.904	0.500	mofokoli
delirious	0.219	0.774	0.538	delirious
delirium	0.233	0.694	0.484	delirium
deliver	0.583	0.370	0.582	nehelana ka
deliverance	0.750	0.520	0.658	topollo
delivery	0.704	0.461	0.786	phano
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	delta
delude	0.143	0.627	0.353	delude
deluge	0.245	0.714	0.612	moroallo
delusion	0.344	0.647	0.400	thetso
delusional	0.219	0.745	0.327	tsietsi
deluxe	0.792	0.612	0.755	deluxe
delve	0.469	0.529	0.684	qabola
demand	0.292	0.673	0.500	tlhokeho
demanding	0.396	0.750	0.828	e batlang
demeaned	0.271	0.520	0.212	nyenyefatsa
demeaning	0.104	0.645	0.308	nyenyefatsa
demeanor	0.633	0.433	0.657	boitshoaro
demented	0.088	0.787	0.309	dementia
dementia	0.092	0.779	0.337	dementia
demise	0.104	0.596	0.456	ho timela
demo	0.510	0.314	0.423	pontšo
democracy	0.680	0.500	0.840	demokrasi
democrat	0.582	0.400	0.755	demokrasi
democratic	0.802	0.519	0.798	demokrasi
demographic	0.459	0.356	0.594	palo ea batho
demolish	0.125	0.632	0.700	heletsa
demolished	0.271	0.647	0.353	heletsoe
demolition	0.133	0.827	0.541	heletso
demon	0.037	0.908	0.509	modemona
demonic	0.146	0.875	0.600	bodemona
demonstrable	0.735	0.471	0.749	supisoa
demonstrate	0.771	0.552	0.839	bontsha
demonstrated	0.617	0.500	0.649	bontshitse
demonstrating	0.698	0.571	0.693	ho bontsha
demonstration	0.551	0.676	0.679	pontsho
demonstrative	0.656	0.528	0.736	pontsho
demonstrator	0.520	0.598	0.733	mosubi
demoralized	0.082	0.590	0.149	nyenyefaditse
demos	0.418	0.370	0.368	li-demos
demure	0.690	0.315	0.417	demure
den	0.510	0.347	0.398	den
deniability	0.230	0.509	0.417	ho latola
denial	0.194	0.435	0.318	hana
denied	0.188	0.604	0.333	hanoa
denim	0.520	0.382	0.327	denim
denomination	0.490	0.363	0.429	phutheho ya bodumedi
denominational	0.458	0.375	0.679	mokgatlo wa phutheho
denominator	0.450	0.410	0.613	sehloho
denote	0.448	0.471	0.534	bolela
denounce	0.083	0.780	0.426	nyatsa
dense	0.354	0.343	0.536	teteaneng
density	0.602	0.471	0.561	tekano
dent	0.306	0.606	0.325	seboba
dental	0.573	0.404	0.463	meno
dentist	0.479	0.620	0.642	ngaka ea meno
dentistry	0.429	0.570	0.569	bongaka ba meno
dentists	0.364	0.600	0.582	lingaka tsa meno
denunciation	0.146	0.830	0.561	nyatso
deny	0.316	0.667	0.321	latola
denying	0.080	0.542	0.272	ho hana
deodorant	0.480	0.265	0.269	deodorant
depart	0.398	0.480	0.444	tloha
departed	0.245	0.536	0.391	tlohile
department	0.708	0.358	0.642	lefapha
departmental	0.612	0.422	0.446	lefapha
departure	0.573	0.500	0.426	ho tloha
depend	0.388	0.429	0.358	itshetlehile
dependable	0.880	0.357	0.741	ea ka tšeptjoang
dependant	0.357	0.404	0.451	itshetlehile
dependence	0.250	0.451	0.433	ho itšetleha
dependency	0.429	0.365	0.356	ho itšetleha
dependent	0.354	0.455	0.404	itshetlehile
depict	0.663	0.529	0.723	hlalosa
depicting	0.490	0.566	0.602	hlalosang
depletion	0.153	0.370	0.236	phokotso
deplorable	0.135	0.657	0.230	nyatsehang
deplore	0.135	0.575	0.373	hlompholla
deploy	0.500	0.520	0.585	tsamaisa
deployment	0.510	0.520	0.612	thomello
deport	0.167	0.667	0.546	leleka
deportation	0.104	0.786	0.450	ho lelekoa naheng
depose	0.286	0.420	0.451	theola
deposit	0.540	0.379	0.483	depositi
depositary	0.604	0.431	0.500	depositi
deposition	0.394	0.510	0.471	deposition
depository	0.551	0.373	0.481	polokelo
depot	0.635	0.255	0.471	depo
depraved	0.031	0.837	0.395	tshenyehile
depravity	0.115	0.854	0.453	bohlola
depreciate	0.270	0.623	0.445	theola boleng
depreciated	0.135	0.672	0.250	depreciated
depreciation	0.143	0.571	0.386	phokotso ya boleng
depress	0.219	0.635	0.528	tepeletse maikutlo
depressed	0.024	0.445	0.136	tepelletse maikutlong
depressing	0.146	0.559	0.216	nyahamisa
depression	0.031	0.520	0.232	khatello ea maikutlo
depressive	0.143	0.434	0.202	tepelletse maikutlong
depresson	0.135	0.400	0.308	khatello ea maikutlo
deprivation	0.194	0.610	0.413	tlhokeho
deprive	0.271	0.591	0.340	amoha
deprived	0.354	0.506	0.536	nyatsetsoe
depth	0.708	0.561	0.759	botebo
deputy	0.429	0.530	0.787	motlatsi
derail	0.108	0.802	0.375	kheloha
deranged	0.376	0.868	0.357	tsielehile
derelict	0.208	0.470	0.237	hlokomolohile
derision	0.265	0.670	0.292	tshotlo
derivation	0.521	0.519	0.644	derivation
derivative	0.541	0.491	0.508	e nkiloeng
derive	0.396	0.324	0.360	fumana
dermal	0.385	0.406	0.443	dermal
dermatologist	0.531	0.358	0.528	ngaka ea letlalo
dermatology	0.422	0.500	0.556	dermatology
derogation	0.208	0.460	0.327	nyenyefatso
derogatory	0.122	0.580	0.404	nyelisa
descend	0.385	0.535	0.231	theoha
descendant	0.684	0.420	0.625	setloholo
descendent	0.391	0.480	0.565	theohile
descending	0.219	0.493	0.250	ho theoha
descent	0.300	0.402	0.158	theoho
describe	0.542	0.472	0.555	hlalosa
description	0.582	0.425	0.596	tlhaloso
descriptive	0.667	0.352	0.570	e hlalosang
desecrate	0.255	0.806	0.509	nyelisa
desecration	0.125	0.833	0.564	nyeliso
desert	0.469	0.279	0.389	lehoatata
deserted	0.156	0.480	0.214	deserted
deserter	0.122	0.710	0.366	deserter
desertion	0.122	0.630	0.289	ho furalla
deserve	0.802	0.436	0.613	tšoaneloa
deserved	0.781	0.582	0.689	loketsoeng
deserving	0.802	0.596	0.858	tšoaneloa
design	0.796	0.327	0.632	moralo
designate	0.531	0.538	0.683	qapa
designated	0.500	0.412	0.616	kgethile
designation	0.612	0.571	0.675	qoollo
designed	0.745	0.380	0.595	etselitsoe
designer	0.875	0.519	0.670	moqapi
designing	0.792	0.355	0.552	ho qapa
desirability	0.684	0.550	0.675	takatso
desirable	0.740	0.735	0.750	e lakatsehang
desire	0.896	0.692	0.647	takatso
desiring	0.814	0.821	0.632	lakatsa
desirous	0.719	0.824	0.562	lakatsang
desist	0.220	0.358	0.291	tsitlella
desk	0.510	0.135	0.422	deske
desolate	0.104	0.320	0.228	lesupi
desolation	0.073	0.481	0.273	tshenyeho
despair	0.115	0.794	0.245	tsieleha
despairing	0.073	0.735	0.286	ho nyahama
despatch	0.448	0.400	0.613	depatch
desperado	0.260	0.745	0.361	tsieleha
desperate	0.083	0.842	0.337	tsielehile
desperation	0.125	0.904	0.419	tsieleho
despicable	0.146	0.710	0.255	nyatsehang
despise	0.167	0.745	0.296	nyelisa
despondent	0.133	0.378	0.221	nyatsehile
despotic	0.141	0.824	0.592	nyatseha
despotism	0.255	0.696	0.620	bonyatsi
dessert	0.755	0.491	0.404	lijo tse tsoekere
destination	0.708	0.471	0.637	moo e eang teng
destined	0.698	0.462	0.617	laotsoe
destiny	0.781	0.413	0.611	pheletso
destitute	0.130	0.451	0.222	hlokang
destroy	0.046	0.935	0.635	senya
destroyed	0.031	0.696	0.288	senyehile
destroyer	0.083	0.830	0.543	mosenyi
destroying	0.041	0.828	0.660	ho senya
destruct	0.071	0.868	0.525	senya
destruction	0.102	0.929	0.613	timetso
destructive	0.177	0.870	0.713	senyang
detach	0.357	0.625	0.450	qhala
detached	0.280	0.396	0.216	khaotsoe
detachment	0.243	0.700	0.443	sehlopha
detail	0.514	0.406	0.528	dintlha
detailed	0.603	0.314	0.472	qaqisitsoe
details	0.583	0.367	0.481	lintlha
detain	0.351	0.345	0.430	tshoarela
detainee	0.306	0.510	0.321	motlamuoa
detect	0.531	0.520	0.565	lemoha
detectable	0.479	0.539	0.649	bonoe
detection	0.708	0.567	0.538	ho lemoha
detective	0.500	0.764	0.901	lefokisi
detector	0.459	0.630	0.724	detector
detention	0.265	0.698	0.562	koalloa
deter	0.344	0.537	0.567	thibela
detergent	0.458	0.304	0.426	sesepa
deteriorate	0.083	0.471	0.202	senyeha
deteriorated	0.053	0.549	0.237	senyehile
deteriorating	0.104	0.459	0.112	ho senyeha
deterioration	0.130	0.512	0.283	ho senyeha
determinable	0.625	0.565	0.723	determinable
determinate	0.630	0.314	0.772	determinate
determination	0.776	0.725	0.795	boikemisetso
determine	0.612	0.368	0.776	etsa qeto
determined	0.760	0.528	0.673	ikemiselitse
deterrent	0.292	0.461	0.385	thibela
detest	0.083	0.800	0.492	hloea
detestation	0.177	0.637	0.412	manyala
detonate	0.375	0.850	0.696	qhomisa
detonation	0.167	0.931	0.741	ho qhomisa
detonator	0.207	0.875	0.750	seqhomisa
detour	0.398	0.539	0.309	kheloha
detract	0.344	0.438	0.368	nyenyefatsa
detriment	0.281	0.538	0.263	kotsi
detrimental	0.203	0.679	0.387	kotsi
detritus	0.276	0.353	0.363	detritus
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	deutschmark
devalued	0.321	0.462	0.212	nyenyefatsoa
devastate	0.021	0.796	0.509	senya
devastated	0.120	0.544	0.264	tsielehile
devastating	0.104	0.856	0.419	senyang
devastation	0.090	0.904	0.472	tshenyo
develop	0.771	0.670	0.821	ntshetsa pele
developer	0.844	0.653	0.864	mohlahisi
developing	0.833	0.587	0.714	ntshetsopele
development	0.827	0.500	0.796	ntshetsopele
deviant	0.094	0.589	0.398	kgelohile
deviate	0.173	0.562	0.269	kheloha
deviating	0.354	0.634	0.536	kheloha
deviation	0.105	0.513	0.336	kheloha
device	0.562	0.404	0.627	sesebelisoa
devil	0.161	0.900	0.611	diabolose
deviled	0.347	0.559	0.358	tshenyehile
devilish	0.073	0.865	0.490	diabolose
devious	0.250	0.519	0.259	e khelohileng
devise	0.551	0.557	0.670	qapa
devoid	0.219	0.436	0.300	e hlokang
devolution	0.345	0.434	0.425	theolelo
devolve	0.367	0.427	0.596	devolve
devote	0.802	0.490	0.642	inehela
devoted	0.867	0.320	0.698	inehetse
devotee	0.816	0.461	0.577	inehetseng
devotion	0.802	0.561	0.673	boinehelo
devotional	0.740	0.394	0.655	boinehelo
devour	0.344	0.888	0.574	harola
devout	0.620	0.357	0.464	inehetseng
dew	0.604	0.225	0.464	phoka
dexter	0.458	0.473	0.444	dexter
dexterity	0.771	0.673	0.864	boqhetseke
dextrose	0.333	0.402	0.323	dextrose
diabetes	0.051	0.472	0.279	lefu la tsoekere
diabetic	0.125	0.269	0.237	lefu la tsoekere
diabolical	0.102	0.912	0.456	diabolosi
diagnose	0.378	0.520	0.714	hlahloba
diagnosis	0.571	0.500	0.819	tlhahlobo
diagnostic	0.417	0.483	0.635	tlhatlhobo
diagnostics	0.540	0.440	0.750	tlhatlhobo
diagonal	0.500	0.343	0.410	diagonal
diagram	0.562	0.357	0.445	setšoantšo
dial	0.620	0.427	0.596	letsa
dialect	0.635	0.422	0.526	puo
dialectic	0.510	0.540	0.638	dialectic
dialogue	0.599	0.441	0.625	moqoqo
dialysis	0.194	0.567	0.407	dialysis
diameter	0.427	0.298	0.483	bophara
diamond	0.910	0.606	0.769	taemane
diamonds	0.927	0.684	0.917	litaemane
diaper	0.409	0.274	0.155	leleiri
diaphragm	0.459	0.337	0.517	diaphragm
diarrhea	0.092	0.684	0.143	letšollo
diarrhoea	0.038	0.692	0.250	letšollo
diary	0.698	0.292	0.464	bukana ya ditaba
diatribe	0.354	0.569	0.409	diatribe
dib	0.479	0.370	0.344	dib
dibs	0.510	0.410	0.391	dibs
dice	0.458	0.441	0.264	letaese
dicey	0.290	0.833	0.727	dicey
dichotomous	0.365	0.452	0.538	dichotomous
dichotomy	0.323	0.482	0.483	dichotomy
dick	0.208	0.500	0.462	tsiki
dickhead	0.115	0.608	0.284	hlooho ea hlooho
dicks	0.310	0.694	0.358	ditshipi
dictate	0.480	0.423	0.668	laela
dictation	0.255	0.378	0.627	qoso
dictator	0.073	0.760	0.862	mohatelli
dictatorial	0.204	0.770	0.840	mohatelli
dictatorship	0.082	0.806	0.784	bohatelli
diction	0.439	0.373	0.679	diction
dictionary	0.620	0.250	0.598	bukantswe
dictum	0.385	0.510	0.528	dictum
didactic	0.645	0.480	0.673	didactic
diddle	0.429	0.566	0.393	qoela
die	0.031	0.765	0.259	shoa
died	0.021	0.650	0.327	shoa
diesel	0.490	0.327	0.448	diesel
diet	0.429	0.235	0.398	dijo
dietary	0.551	0.220	0.261	dijo
differ	0.230	0.398	0.396	fapana
difference	0.474	0.560	0.483	phapang
differences	0.365	0.582	0.342	diphapang
different	0.612	0.394	0.473	fapaneng
differential	0.520	0.378	0.535	phapang
differentiation	0.367	0.561	0.535	karohano
differently	0.480	0.431	0.506	ka tsela e fapaneng
differing	0.418	0.410	0.455	fapaneng
difficult	0.235	0.700	0.508	boima
difficulties	0.082	0.784	0.357	mathata
difficulty	0.079	0.740	0.368	bothata
diffuse	0.430	0.431	0.321	hasanya
diffusion	0.356	0.615	0.517	phasollo
dig	0.367	0.585	0.637	cheka
digest	0.720	0.413	0.483	tshetleha
digestion	0.531	0.410	0.455	tshilo ya dijo
digestive	0.542	0.413	0.434	tshilong ya dijo
digit	0.447	0.286	0.333	palo
digital	0.740	0.382	0.529	tsa digital
dignified	0.766	0.481	0.635	seriti
dignify	0.854	0.588	0.735	seriti
dignity	0.844	0.391	0.873	seriti
digress	0.271	0.625	0.411	kgeloha
digs	0.448	0.670	0.635	cheka
dike	0.360	0.384	0.490	dike
dilapidated	0.229	0.618	0.286	senyehile
dilatation	0.385	0.574	0.368	katoloso
dilation	0.347	0.490	0.578	katoloso
dildo	0.536	0.587	0.491	dildo
dilemma	0.153	0.590	0.430	tsietsi
diligence	0.688	0.423	0.700	tlhoafalo
diligent	0.760	0.426	0.759	khothetse
dill	0.427	0.360	0.373	dille
