English Word	Valence	Arousal	Dominance	Dutch Word
conformity	0.645	0.363	0.579	overeenstemming
confound	0.347	0.529	0.333	verwarren
confounded	0.333	0.528	0.264	verward
confront	0.281	0.760	0.746	confronteren
confrontation	0.177	0.870	0.658	confrontatie
confuse	0.100	0.580	0.270	verwarren
confused	0.220	0.650	0.179	verward
confusing	0.229	0.690	0.222	verwarrend
confusion	0.255	0.667	0.277	verwardheid
conga	0.469	0.529	0.440	conga
congenial	0.820	0.412	0.620	sympathiek
congenital	0.448	0.434	0.427	aangeboren
congestion	0.271	0.654	0.491	ophoping
conglomerate	0.500	0.500	0.838	conglomeraat
conglomeration	0.541	0.720	0.670	conglomeraat
congrats	0.930	0.726	0.775	Proficiat
congratulate	0.927	0.724	0.784	feliciteren
congratulation	0.948	0.780	0.717	gefeliciteerd
congratulations	0.960	0.755	0.719	Gefeliciteerd
congratulatory	0.959	0.616	0.689	felicitatie-
congregate	0.653	0.530	0.733	samenkomen
congregation	0.561	0.490	0.700	gemeente
congress	0.449	0.444	0.857	congres
congressional	0.552	0.491	0.848	congres
congressman	0.438	0.471	0.877	congreslid
congruence	0.656	0.472	0.577	congruentie
conic	0.510	0.368	0.379	kegelsnede
conical	0.490	0.422	0.471	conisch
conjecture	0.396	0.398	0.534	vermoeden
conjugal	0.698	0.510	0.688	echtelijk
conjugate	0.583	0.420	0.467	conjugeren
conjugation	0.479	0.429	0.582	conjugatie
conjunction	0.520	0.472	0.509	voegwoord
conjunctive	0.487	0.444	0.639	conjunctief
conjure	0.385	0.679	0.645	toveren
conjuring	0.224	0.653	0.694	toveren
conk	0.340	0.469	0.404	neus
connect	0.724	0.299	0.536	aansluiten
connected	0.816	0.550	0.612	verbonden
connection	0.729	0.560	0.655	verbinding
connective	0.719	0.491	0.764	verbindend
connoisseur	0.760	0.461	0.769	kenner
conquer	0.694	0.873	0.971	veroveren
conquering	0.760	0.873	0.936	overwinnend
conqueror	0.604	0.809	0.930	veroveraar
conquest	0.710	0.702	0.833	verovering
conscience	0.663	0.375	0.721	geweten
conscientious	0.688	0.404	0.688	nauwgezet
conscious	0.740	0.333	0.705	bij bewustzijn
consciousness	0.840	0.483	0.755	bewustzijn
conscription	0.396	0.775	0.642	dienstplicht
consecrated	0.663	0.500	0.800	gewijd
consecration	0.771	0.418	0.804	wijding
consecutive	0.663	0.418	0.643	opeenvolgend
consensual	0.663	0.417	0.655	consensueel
consensus	0.627	0.358	0.625	overeenstemming
consent	0.750	0.500	0.620	toestemming
consenting	0.727	0.406	0.693	instemmend
consequence	0.240	0.721	0.593	gevolg
consequent	0.663	0.471	0.625	consequent
conservation	0.832	0.401	0.606	behoud
conservatism	0.406	0.369	0.633	conservatisme
conservative	0.615	0.316	0.788	conservatief
conservatory	0.635	0.240	0.729	serre
conserve	0.690	0.347	0.573	conserveren
consider	0.677	0.368	0.579	beschouwen
considerable	0.653	0.314	0.683	aanzienlijk
considerate	0.781	0.380	0.633	attent
consideration	0.589	0.380	0.687	overweging
consignee	0.635	0.385	0.602	geadresseerde
consignment	0.490	0.440	0.500	zending
consist	0.823	0.386	0.580	bestaan uit
consistency	0.714	0.500	0.887	samenhang
consistent	0.786	0.431	0.726	consequent
consolation	0.408	0.250	0.304	troost
console	0.625	0.398	0.415	troosten
consoled	0.700	0.343	0.452	getroost
consolidate	0.880	0.440	0.870	consolideren
consolidated	0.700	0.366	0.784	geconsolideerd
consolidation	0.604	0.445	0.776	consolidatie
consonant	0.500	0.347	0.417	medeklinker
consort	0.632	0.509	0.630	partner
conspicuous	0.479	0.520	0.596	opvallend
conspiracy	0.125	0.787	0.652	complot
conspirator	0.271	0.786	0.707	samenzweerder
conspire	0.206	0.740	0.520	samenzweren
constable	0.573	0.667	0.764	agent
constancy	0.786	0.443	0.763	standvastigheid
constant	0.740	0.296	0.686	constante
constantly	0.663	0.561	0.700	constant
constellation	0.719	0.533	0.775	sterrenbeeld
consternation	0.167	0.680	0.469	consternatie
constipation	0.079	0.612	0.231	constipatie
constituency	0.500	0.480	0.696	kiesdistrict
constituent	0.573	0.500	0.827	bestanddeel
constituents	0.573	0.414	0.833	bestanddelen
constitute	0.812	0.349	0.906	vormen
constitution	0.590	0.380	0.889	grondwet
constitutional	0.633	0.418	0.827	grondwettelijk
constitutionality	0.612	0.439	0.853	grondwettelijkheid
constrain	0.261	0.500	0.500	beperken
constrained	0.135	0.537	0.357	beperkt
constraint	0.323	0.550	0.481	beperking
construct	0.750	0.648	0.792	construeren
construction	0.848	0.612	0.759	bouw
constructive	0.860	0.570	0.812	constructief
construe	0.602	0.519	0.553	construeren
consul	0.573	0.354	0.688	consul
consulate	0.561	0.453	0.694	consulaat
consult	0.755	0.370	0.441	raadplegen
consultant	0.770	0.344	0.808	consultant
consultation	0.660	0.463	0.625	overleg
consume	0.427	0.620	0.509	consumeren
consumer	0.507	0.551	0.677	klant
consuming	0.573	0.541	0.536	consumeren
consummate	0.551	0.540	0.558	volmaakt
consummation	0.583	0.676	0.661	voleinding
consumption	0.390	0.531	0.538	consumptie
contact	0.719	0.424	0.526	contact
contagion	0.208	0.630	0.535	besmetting
contagious	0.184	0.725	0.400	besmettelijk
contain	0.542	0.490	0.658	bevatten
container	0.551	0.396	0.561	container
containment	0.411	0.491	0.618	insluiting
contaminate	0.140	0.611	0.426	besmetten
contaminated	0.040	0.500	0.368	vervuild
contamination	0.125	0.610	0.375	besmetting
contemplate	0.740	0.347	0.642	overdenken
contemplation	0.552	0.324	0.627	contemplatie
contemplative	0.729	0.308	0.739	contemplatief
contemporaneous	0.640	0.373	0.591	gelijktijdig
contemporary	0.720	0.365	0.569	hedendaags
contempt	0.206	0.635	0.396	minachting
contemptible	0.146	0.657	0.471	verachtelijk
contemptuous	0.204	0.500	0.375	minachtend
contend	0.510	0.657	0.731	strijden
contender	0.480	0.790	0.681	mededinger
contending	0.490	0.698	0.716	strijden
content	0.764	0.296	0.559	inhoud
contented	0.857	0.612	0.746	tevreden
contention	0.375	0.510	0.738	twist
contentious	0.422	0.573	0.637	omstreden
contentment	0.875	0.610	0.782	tevredenheid
contents	0.656	0.375	0.550	inhoud
contest	0.667	0.698	0.717	wedstrijd
contestant	0.760	0.530	0.602	deelnemer
context	0.531	0.300	0.553	context
contiguous	0.375	0.450	0.500	aaneengesloten
continence	0.450	0.396	0.469	continentie
continent	0.551	0.373	0.833	continent
continental	0.486	0.350	0.755	continentaal
contingency	0.396	0.500	0.670	onvoorspelbaarheid
contingent	0.470	0.531	0.659	contingent
continual	0.500	0.423	0.685	continu
continually	0.646	0.438	0.698	voortdurend
continuance	0.729	0.510	0.652	voortzetting
continuation	0.615	0.470	0.566	voortzetting
continue	0.630	0.427	0.612	doorgaan
continued	0.635	0.440	0.500	voortgezet
continuing	0.667	0.500	0.520	doorgaan
continuity	0.781	0.439	0.684	continuïteit
continuous	0.625	0.509	0.580	continu
continuously	0.719	0.417	0.702	doorlopend
continuum	0.677	0.390	0.491	continuüm
contour	0.589	0.265	0.414	contour
contraband	0.177	0.875	0.670	smokkelwaar
contraception	0.296	0.518	0.525	anticonceptie
contract	0.594	0.412	0.636	contract
contracted	0.344	0.557	0.449	gecontracteerd
contractile	0.480	0.586	0.569	contractiel
contracting	0.594	0.490	0.769	contracteren
contraction	0.292	0.755	0.603	samentrekking
contractor	0.592	0.479	0.727	aannemer
contradict	0.160	0.598	0.482	tegenspreken
contradiction	0.250	0.660	0.377	tegenstrijdigheid
contradictory	0.365	0.651	0.421	tegenstrijdig
contraption	0.448	0.590	0.491	ding
contrary	0.327	0.449	0.338	tegendeel
contrast	0.480	0.406	0.520	contrast
contrasted	0.521	0.538	0.491	gecontrasteerd
contravene	0.357	0.618	0.472	in strijd zijn met
contravention	0.344	0.627	0.593	overtreding
contribute	0.806	0.350	0.795	bijdrage leveren
contribution	0.854	0.452	0.760	bijdrage
contributor	0.844	0.510	0.760	bijdrager
contrite	0.347	0.363	0.473	berouwvol
contrition	0.347	0.583	0.463	berouw
contrived	0.408	0.530	0.458	gekunsteld
control	0.729	0.352	0.808	controle
controller	0.469	0.712	0.868	controleur
controlling	0.490	0.441	0.885	controlerend
controversial	0.271	0.858	0.538	controverseel
controversy	0.250	0.819	0.600	controverse
contusion	0.167	0.565	0.509	kneuzing
conundrum	0.354	0.524	0.408	raadsel
convalescent	0.458	0.480	0.269	herstellend
convection	0.521	0.494	0.526	convectie
convene	0.583	0.676	0.636	bijeenroepen
convenience	0.781	0.448	0.613	gemak
conveniences	0.802	0.412	0.693	gemakken
convenient	0.846	0.491	0.574	handig
convent	0.480	0.217	0.594	klooster
convention	0.622	0.622	0.704	conventie
conventional	0.594	0.292	0.634	gebruikelijke
converge	0.635	0.471	0.539	convergeren
convergence	0.551	0.491	0.625	convergentie
convergent	0.781	0.490	0.696	convergerend
conversant	0.724	0.360	0.542	vertrouwd
conversation	0.750	0.510	0.609	gesprek
conversational	0.719	0.431	0.596	gemoedelijk
conversationalist	0.719	0.467	0.667	gesprekspartner
converse	0.594	0.406	0.598	converseren
conversing	0.755	0.409	0.442	in gesprek
conversion	0.480	0.605	0.736	conversie
convert	0.551	0.538	0.704	overzetten
converted	0.663	0.418	0.686	bekeerd
convertible	0.542	0.529	0.717	cabriolet
convex	0.438	0.427	0.445	convex
convexity	0.449	0.354	0.484	convexiteit
convey	0.719	0.633	0.708	overdragen
conveyance	0.615	0.520	0.455	vervoermiddel
conveyancing	0.375	0.479	0.663	overbrenging
convict	0.177	0.840	0.477	veroordelen
conviction	0.615	0.704	0.826	overtuiging
convince	0.708	0.539	0.763	overtuigen
convinced	0.750	0.500	0.630	overtuigd
convincing	0.760	0.527	0.900	overtuigend
convocation	0.538	0.611	0.663	oproeping
convoluted	0.323	0.614	0.433	ingewikkeld
convolution	0.417	0.559	0.527	convolutie
convoy	0.500	0.671	0.639	konvooi
coo	0.490	0.439	0.500	coo
cook	0.847	0.500	0.412	koken
cookbook	0.602	0.346	0.398	kookboek
cooker	0.592	0.373	0.407	fornuis
cookery	0.633	0.368	0.345	koken
cookie	0.792	0.306	0.250	koekje
cookies	0.823	0.451	0.316	koekjes
cooking	0.694	0.510	0.434	Koken
cookout	0.680	0.406	0.482	uitkoken
cool	0.885	0.540	0.781	koel
coolant	0.720	0.412	0.456	koelmiddel
cooler	0.664	0.375	0.460	koeler
cooling	0.469	0.324	0.392	koeling
coolness	0.490	0.307	0.548	koelte
coon	0.490	0.460	0.400	coon
coop	0.612	0.445	0.650	coop
cooperate	0.898	0.451	0.582	samenwerken
cooperating	0.760	0.390	0.693	meewerkend
cooperation	0.847	0.473	0.686	medewerking
cooperative	0.816	0.461	0.670	coöperatief
coordinate	0.698	0.429	0.694	coördineren
coordination	0.677	0.454	0.789	coördinatie
coordinator	0.750	0.510	0.850	coördinator
cop	0.327	0.770	0.836	politieagent
copacetic	0.510	0.471	0.453	copacetisch
cope	0.592	0.647	0.709	omgaan met
copier	0.459	0.345	0.390	kopieerapparaat
copilot	0.640	0.538	0.573	tweede piloot
coping	0.562	0.630	0.613	omgaan met
copious	0.427	0.462	0.527	overvloedig
copper	0.580	0.260	0.500	koper
copter	0.571	0.704	0.569	helikopter
copy	0.460	0.240	0.263	kopiëren
copycat	0.449	0.580	0.443	copycat
copying	0.448	0.315	0.404	kopiëren
copyright	0.458	0.402	0.663	auteursrechten
coral	0.802	0.231	0.425	koraal
coral snake	0.276	0.712	0.607	koraal slang
cord	0.388	0.378	0.358	koord
cordial	0.823	0.312	0.482	hartelijk
cordless	0.667	0.441	0.528	draadloos
cordon	0.469	0.317	0.380	cordon
corduroy	0.570	0.324	0.357	corduroy
core	0.721	0.378	0.540	kern
cork	0.347	0.250	0.281	kurk
corkscrew	0.427	0.443	0.445	kurketrekker
corn	0.594	0.196	0.292	maïs
cornball	0.479	0.378	0.325	cornball
cornbread	0.643	0.304	0.302	maïsbrood
cornea	0.521	0.346	0.443	hoornvlies
corned	0.459	0.441	0.425	gepekeld
corner	0.400	0.296	0.366	hoek
cornerstone	0.550	0.388	0.596	hoeksteen
cornet	0.507	0.520	0.415	kornet
cornfield	0.719	0.310	0.349	korenveld
cornflakes	0.729	0.346	0.355	cornflakes
cornice	0.458	0.441	0.295	kroonlijst
cornstarch	0.643	0.299	0.337	maïszetmeel
corny	0.448	0.370	0.221	smakeloos
corollary	0.458	0.469	0.366	uitvloeisel
corona	0.818	0.439	0.745	corona
coronary	0.567	0.613	0.509	coronair
coronation	0.792	0.592	0.836	kroning
coroner	0.323	0.558	0.526	lijkschouwer
corporal	0.582	0.490	0.596	korporaal
corporate	0.592	0.454	0.745	zakelijk
corporation	0.429	0.332	0.873	bedrijf
corporeal	0.520	0.350	0.461	lichamelijk
corps	0.551	0.453	0.483	corps
corpse	0.094	0.657	0.232	lijk
corpsman	0.439	0.469	0.651	corpsman
corpus	0.543	0.340	0.490	corpus
corral	0.606	0.662	0.422	kraal
correct	0.857	0.306	0.723	juist
correction	0.448	0.485	0.558	correctie
correctional	0.292	0.713	0.602	correctioneel
corrective	0.448	0.528	0.613	corrigerend
correctness	0.796	0.450	0.649	juistheid
correlation	0.596	0.462	0.571	correlatie
correlative	0.510	0.402	0.571	correlatief
correspond	0.710	0.452	0.545	corresponderen
correspondence	0.663	0.423	0.491	correspondentie
correspondent	0.573	0.565	0.712	correspondent
corresponding	0.740	0.423	0.618	overeenkomend
corridor	0.604	0.589	0.592	hal
corroborate	0.671	0.471	0.616	bevestigen
corroboration	0.625	0.431	0.733	bevestiging
corrosion	0.156	0.610	0.348	corrosie
corrosive	0.140	0.618	0.570	corrosief
corrupt	0.020	0.806	0.500	corrupt
corrupting	0.062	0.804	0.380	corrumperen
corruption	0.052	0.830	0.549	corruptie
corsage	0.510	0.294	0.397	corsage
corse	0.448	0.451	0.382	corse
corset	0.490	0.520	0.381	korset
cortex	0.594	0.439	0.529	cortex
cortical	0.380	0.423	0.536	corticaal
cortisone	0.427	0.395	0.456	cortisone
corvette	0.551	0.520	0.598	korvet
cosmetic	0.625	0.304	0.308	kunstmatig
cosmetics	0.765	0.464	0.472	cosmetica
cosmic	0.663	0.538	0.692	kosmisch
cosmology	0.651	0.438	0.637	kosmologie
cosmopolitan	0.823	0.510	0.760	kosmopolitisch
cosmos	0.860	0.478	0.664	kosmos
cost	0.365	0.420	0.439	kosten
costly	0.316	0.650	0.642	duur
costume	0.548	0.510	0.374	kostuum
cosy	0.847	0.255	0.518	knus
cot	0.625	0.230	0.278	kinderbed
cote	0.439	0.344	0.324	coté
cottage	0.600	0.279	0.361	huisje
cotton	0.639	0.071	0.240	katoen
couch	0.594	0.082	0.198	bank
cougar	0.438	0.588	0.538	poema
cough	0.255	0.627	0.241	hoesten
council	0.875	0.279	0.635	raad
councilman	0.531	0.367	0.793	raadslid
counsel	0.594	0.519	0.730	raad
counseling	0.667	0.480	0.704	begeleiding
counsellor	0.823	0.327	0.740	raadgever
counselor	0.873	0.365	0.706	raadgever
count	0.594	0.389	0.492	graaf
countdown	0.438	0.692	0.490	aftellen
countenance	0.635	0.440	0.690	gelaat
counter	0.439	0.478	0.750	balie
counteract	0.378	0.542	0.688	tegengaan
counterattack	0.281	0.951	0.764	Tegenaanval
counterbalance	0.520	0.480	0.627	tegenwicht
counterclaim	0.398	0.760	0.651	tegenvordering
counterfeit	0.094	0.694	0.451	namaak
counterpart	0.448	0.608	0.577	tegenhanger
counterpoint	0.438	0.509	0.538	contrapunt
countess	0.562	0.440	0.670	gravin
countless	0.520	0.566	0.534	ontelbaar
country	0.698	0.394	0.693	land
countryman	0.673	0.441	0.789	landgenoot
countrymusic	0.795	0.451	0.438	Country muziek
countryside	0.732	0.288	0.327	platteland
counts	0.343	0.373	0.500	telt
county	0.479	0.368	0.545	district
coup	0.275	0.815	0.607	staatsgreep
coupe	0.479	0.460	0.482	coupe
couple	0.806	0.605	0.607	stel
coupled	0.612	0.286	0.650	gekoppeld
coupling	0.594	0.479	0.555	koppelen
coupon	0.704	0.300	0.421	coupon
courage	0.830	0.728	0.849	moed
courageous	0.918	0.587	0.879	moedig
courier	0.551	0.383	0.441	koerier
courses	0.735	0.412	0.534	cursussen
coursing	0.542	0.472	0.546	coursing
court	0.479	0.769	0.827	rechtbank
courteous	0.937	0.396	0.529	beleefd
courtesy	0.927	0.287	0.431	beleefdheid
courthouse	0.571	0.503	0.818	gerechtsgebouw
courtroom	0.385	0.670	0.887	rechtszaal
courts	0.367	0.710	0.816	rechtbanken
courtship	0.667	0.490	0.654	verkering
courtside	0.592	0.391	0.434	rechtbank
courtyard	0.503	0.365	0.355	binnenplaats
cousin	0.675	0.394	0.427	neef
cousins	0.760	0.409	0.464	nichten en neven
cove	0.500	0.304	0.370	inham
coven	0.458	0.578	0.591	coven
covenant	0.594	0.462	0.667	verbond
cover	0.365	0.240	0.471	omslag
coverage	0.767	0.413	0.629	Dekking
covered	0.562	0.340	0.644	bedekt
covering	0.615	0.382	0.583	aan het bedekken
covert	0.500	0.570	0.508	heimelijk
covet	0.302	0.779	0.524	begeren
coveted	0.661	0.730	0.625	begeerde
cow	0.449	0.230	0.300	koe
coward	0.102	0.490	0.149	lafaard
cowardice	0.133	0.621	0.167	lafheid
cowardly	0.102	0.385	0.127	laf
cowboy	0.594	0.625	0.695	cowboy
cowgirl	0.541	0.566	0.554	cowgirl
cowhand	0.438	0.480	0.596	koeienhand
cowhide	0.458	0.324	0.333	koeienhuid
cowl	0.427	0.450	0.232	kap
coworker	0.667	0.490	0.625	collega
coy	0.347	0.330	0.213	terughoudend
coyote	0.459	0.471	0.387	coyote
cozy	0.910	0.356	0.545	knus
crab	0.421	0.396	0.330	krab
crabby	0.198	0.812	0.370	slechtgehumeurd
crack	0.302	0.625	0.400	scheur
cracked	0.224	0.520	0.228	gebarsten
cracker	0.604	0.343	0.346	cracker
crackerjack	0.567	0.509	0.426	crackerjack
cracking	0.327	0.557	0.286	kraken
crackle	0.327	0.643	0.481	knetteren
crackpot	0.260	0.602	0.245	crackpot
cradle	0.776	0.194	0.333	wieg
craft	0.760	0.321	0.539	ambacht
crafts	0.667	0.380	0.391	ambachten
craftsman	0.719	0.310	0.583	ambachtsman
craftsmanship	0.823	0.373	0.571	vakmanschap
crafty	0.589	0.679	0.783	sluw
craig	0.448	0.449	0.490	craig
cram	0.354	0.730	0.598	volproppen
crammed	0.406	0.740	0.466	volgepropt
cramp	0.194	0.796	0.340	kramp
cramped	0.240	0.567	0.360	krap
cranberry	0.793	0.330	0.363	veenbes
cranberry juice	0.622	0.321	0.281	cranberry sap
crane	0.396	0.417	0.589	kraan
cranial	0.354	0.510	0.583	craniaal
cranium	0.439	0.491	0.725	schedel
crank	0.448	0.275	0.417	zwengel
cranky	0.194	0.776	0.396	chagrijnig
cranny	0.194	0.471	0.250	gaatje
crap	0.083	0.644	0.167	stront
crappy	0.039	0.582	0.208	waardeloos
craps	0.375	0.420	0.273	craps
crash	0.194	0.906	0.355	Botsing
crass	0.223	0.490	0.466	grof
crate	0.427	0.173	0.274	krat
crater	0.450	0.647	0.529	krater
crave	0.625	0.510	0.731	snakken naar
craving	0.510	0.755	0.636	verlangen
crawfish	0.510	0.427	0.342	langoesten
crawl	0.479	0.519	0.467	kruipen
crayon	0.604	0.260	0.185	kleurpotlood
crayons	0.684	0.366	0.405	kleurpotloden
craze	0.255	0.657	0.435	rage
crazed	0.153	0.877	0.417	gek
craziness	0.238	0.908	0.255	gekte
crazy	0.156	0.843	0.321	gek
creak	0.344	0.670	0.411	kraken
creaking	0.302	0.743	0.415	krakend
cream	0.688	0.259	0.220	room
creamed	0.723	0.273	0.288	afgeroomd
creamer	0.594	0.192	0.269	creamer
creamy	0.823	0.337	0.345	romig
crease	0.440	0.286	0.300	vouw
create	0.786	0.588	0.789	creëren
creation	0.927	0.575	0.868	schepping
creative	0.917	0.518	0.788	creatief
creativity	0.938	0.684	0.815	creativiteit
creator	0.865	0.592	0.856	Schepper
creature	0.669	0.625	0.620	schepsel
credence	0.760	0.460	0.737	geloofsovertuiging
credential	0.735	0.337	0.597	legitimatie
credentials	0.708	0.373	0.675	Inloggegevens
credibility	0.875	0.427	0.809	geloofwaardigheid
credible	0.917	0.441	0.750	geloofwaardig
credit	0.673	0.549	0.648	credit
credit card	0.670	0.550	0.640	kredietkaart
creditable	0.802	0.510	0.742	verdienstelijk
credited	0.781	0.390	0.691	gecrediteerd
crediting	0.673	0.550	0.741	crediteren
creditor	0.479	0.594	0.689	schuldeiser
creed	0.573	0.245	0.544	geloofsovertuiging
creek	0.552	0.392	0.330	kreek
creep	0.354	0.647	0.361	kruipen
creeper	0.429	0.558	0.366	klimplant
creeping	0.292	0.613	0.282	sluipen
creepy	0.125	0.861	0.373	eng
cremation	0.084	0.620	0.420	crematie
creole	0.667	0.357	0.523	creools
crepe	0.562	0.224	0.349	crêpe
crescendo	0.760	0.575	0.594	crescendo
crescent	0.698	0.382	0.407	halve maan
crest	0.458	0.333	0.333	kam
crestfallen	0.235	0.346	0.175	bedroefd
cretin	0.265	0.583	0.312	cretin
cretins	0.094	0.741	0.328	cretins
crevice	0.361	0.471	0.275	spleet
crew	0.604	0.598	0.735	bemanning
crewman	0.602	0.580	0.548	bemanningslid
crib	0.653	0.240	0.407	wieg
cricket	0.423	0.539	0.370	krekel
cried	0.167	0.612	0.254	huilde
crime	0.071	0.943	0.630	misdrijf
criminal	0.021	0.830	0.529	crimineel
criminality	0.122	0.863	0.580	criminaliteit
crimp	0.260	0.557	0.396	krimpen
crimson	0.667	0.385	0.370	karmozijnrood
cringe	0.245	0.840	0.377	in elkaar krimpen
cripple	0.094	0.392	0.161	kreupel
crippled	0.035	0.358	0.236	kreupel
crippling	0.156	0.598	0.391	verlammend
crisis	0.208	0.811	0.431	crisis
crisp	0.776	0.692	0.508	knapperig
crispy	0.656	0.550	0.509	krokant
criterion	0.396	0.410	0.736	criterium
critic	0.264	0.604	0.686	criticus
critical	0.312	0.802	0.545	kritisch
criticise	0.073	0.700	0.452	bekritiseren
criticism	0.115	0.563	0.505	kritiek
criticize	0.143	0.708	0.473	bekritiseren
criticized	0.240	0.600	0.311	bekritiseerd
critique	0.302	0.760	0.537	kritiek
critter	0.542	0.539	0.482	beestje
croak	0.337	0.346	0.298	kwaken
croc	0.327	0.452	0.451	krokodil
crock	0.385	0.412	0.421	kruik
crockery	0.552	0.216	0.327	serviesgoed
crocodile	0.344	0.708	0.610	krokodil
croft	0.531	0.429	0.421	croft
croissant	0.745	0.330	0.430	croissant
crook	0.171	0.765	0.550	oplichter
crooked	0.146	0.594	0.305	scheef
crop	0.615	0.260	0.500	Bijsnijden
croquet	0.551	0.519	0.407	kroket
cross	0.448	0.321	0.569	kruis
cross country	0.531	0.441	0.529	langlaufen
crossbow	0.344	0.598	0.560	kruisboog
crossed	0.431	0.490	0.508	gekruist
crossfire	0.316	0.896	0.722	kruisvuur
crossing	0.549	0.349	0.451	kruispunt
crossover	0.559	0.550	0.500	kruising
crosswalk	0.557	0.441	0.380	zebrapad
crossword	0.611	0.423	0.455	kruiswoordraadsel
crotch	0.521	0.637	0.447	kruis
crouch	0.281	0.606	0.312	hurken
crouched	0.333	0.363	0.279	gehurkt
crouching	0.261	0.429	0.345	gehurkt
croupier	0.531	0.519	0.404	croupier
crow	0.224	0.439	0.363	kraai
crowbar	0.406	0.531	0.386	koevoet
crowd	0.350	0.827	0.731	menigte
crowded	0.694	0.286	0.585	druk
crowds	0.469	0.723	0.806	drukte
crown	0.708	0.572	0.737	kroon
crowning	0.773	0.594	0.831	bekroning
crucial	0.541	0.657	0.777	cruciaal
cruciate	0.429	0.435	0.585	kruisvormig
crucifix	0.469	0.480	0.510	kruisbeeld
crucifixion	0.135	0.857	0.541	kruisiging
crucify	0.146	0.878	0.573	kruisigen
crud	0.312	0.330	0.444	grof
crude	0.198	0.402	0.357	ruw
cruel	0.122	0.866	0.391	wreed
cruelly	0.146	0.790	0.471	wreed
cruelty	0.092	0.836	0.536	wreedheid
cruise	0.740	0.442	0.683	cruise
cruise ship	0.878	0.650	0.500	Cruise schip
cruiser	0.737	0.490	0.608	kruiser
cruising	0.886	0.580	0.560	cruisen
crumb	0.417	0.255	0.216	kruimel
crumble	0.333	0.480	0.423	afbrokkelen
crumbling	0.167	0.696	0.308	afbrokkelend
crummy	0.125	0.531	0.224	slordig
crunch	0.292	0.630	0.406	kraken
crunchy	0.625	0.560	0.539	knapperig
crusade	0.592	0.720	0.709	kruistocht
crusader	0.439	0.588	0.548	kruisvaarder
crush	0.271	0.676	0.582	verbrijzeling
crushed	0.167	0.647	0.300	verpletterd
crusher	0.271	0.709	0.598	breker
crushing	0.219	0.755	0.411	verpletteren
crust	0.542	0.337	0.456	korst
crusty	0.625	0.531	0.473	knapperig
crutch	0.302	0.294	0.302	kruk
crux	0.469	0.558	0.519	crux
cry	0.133	0.627	0.255	schreeuw
crybaby	0.375	0.702	0.311	huilebalk
crying	0.153	0.704	0.208	huilend
crypt	0.156	0.431	0.386	crypt
cryptic	0.296	0.516	0.474	cryptisch
cryptography	0.490	0.415	0.650	cryptografie
crystal	0.618	0.270	0.508	kristal
crystalline	0.765	0.235	0.534	kristallijn
crystallization	0.600	0.449	0.565	kristallisatie
cub	0.646	0.382	0.284	welp
cubby	0.354	0.385	0.360	hokje
cube	0.469	0.226	0.274	kubus
cubic	0.458	0.306	0.407	kubieke
cubicle	0.479	0.343	0.417	hokje
cuckold	0.210	0.573	0.230	hoorndrager
cuckoo	0.420	0.459	0.284	koekoek
cucumber	0.490	0.235	0.237	komkommer
cuddle	0.885	0.559	0.475	knuffel
cuddled	0.906	0.547	0.567	geknuffeld
cuddles	0.847	0.382	0.500	knuffels
cuddling	0.917	0.562	0.433	knuffelen
cue	0.521	0.433	0.484	keu
cuff	0.469	0.453	0.387	manchet
cuisine	0.714	0.365	0.390	keuken
culinary	0.654	0.443	0.519	culinair
cull	0.365	0.702	0.464	ruiming
culminate	0.667	0.550	0.602	culmineren
culmination	0.656	0.586	0.695	hoogtepunt
culpability	0.112	0.745	0.368	schuld
culpable	0.140	0.700	0.319	schuldig
culprit	0.062	0.676	0.333	dader
cult	0.448	0.535	0.648	sekte
cultivate	0.708	0.410	0.598	cultiveren
cultivated	0.837	0.343	0.564	gecultiveerd
cultivation	0.625	0.324	0.462	teelt
cultural	0.802	0.390	0.623	cultureel
culture	0.753	0.304	0.675	cultuur
cultured	0.635	0.429	0.625	gecultiveerd
culvert	0.337	0.324	0.343	duiker
cumbersome	0.259	0.623	0.292	moeizaam
cumulus	0.570	0.433	0.432	cumulus
cunning	0.604	0.685	0.683	sluw
cunt	0.135	0.673	0.377	kut
cup	0.615	0.167	0.231	beker
cupboard	0.553	0.200	0.304	kast
cupcake	0.656	0.333	0.344	cupcake
cupping	0.490	0.610	0.402	cupping
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	geneesbaar
curate	0.726	0.418	0.526	curator
curative	0.667	0.318	0.613	genezend
curator	0.688	0.389	0.688	curator
curb	0.472	0.371	0.402	intomen
curd	0.542	0.442	0.278	wrongel
cure	0.719	0.377	0.623	genezing
curfew	0.219	0.618	0.623	avondklok
curiosity	0.750	0.755	0.463	nieuwsgierigheid
curious	0.635	0.600	0.483	nieuwsgierig
curl	0.385	0.452	0.351	krullen
curling	0.583	0.592	0.400	curling
currency	0.583	0.418	0.592	munteenheid
current	0.625	0.312	0.612	huidig
curriculum	0.708	0.306	0.620	leerplan
curry	0.633	0.345	0.302	kerrie
curse	0.033	0.720	0.375	vloek
cursed	0.083	0.783	0.393	vervloekt
cursing	0.112	0.860	0.446	vloeken
cursory	0.423	0.451	0.431	vluchtig
curt	0.245	0.610	0.452	kortaf
curtail	0.306	0.439	0.497	inperken
curtailment	0.230	0.578	0.431	inperking
