English Word	Valence	Arousal	Dominance	Armenian Word
exacting	0.448	0.673	0.767	խստապահանջ
exaggerate	0.193	0.760	0.529	չափազանցնել
exaggerated	0.224	0.885	0.732	չափազանցված
exaggeration	0.312	0.775	0.582	չափազանցություն
exalt	0.656	0.750	0.745	վեհացնել
exaltation	0.594	0.892	0.673	վեհացում
exalted	0.676	0.845	0.696	վեհացված
exam	0.479	0.663	0.577	քննություն
examination	0.378	0.657	0.679	քննություն
examine	0.615	0.623	0.786	քննել
examiner	0.406	0.575	0.812	քննիչ
example	0.542	0.337	0.510	օրինակ
exasperated	0.229	0.816	0.377	զայրացած
exasperation	0.214	0.833	0.483	զայրույթ
excavate	0.583	0.613	0.635	պեղել
excavation	0.540	0.644	0.527	պեղում
excavator	0.427	0.673	0.649	էքսկավատոր
exceed	0.500	0.827	0.586	գերազանցել
exceeding	0.500	0.802	0.668	գերազանցելով
excel	0.561	0.363	0.466	գերազանցել
excellence	0.958	0.620	0.907	գերազանցություն
excellent	0.970	0.587	0.870	գերազանց
excelsior	0.700	0.625	0.611	գերազանցիկ
excepting	0.408	0.413	0.526	բացառությամբ
exception	0.469	0.600	0.544	բացառություն
exceptional	0.806	0.740	0.933	բացառիկ
excerpt	0.437	0.367	0.543	հատված
excess	0.385	0.889	0.712	ավելցուկ
excessive	0.417	0.731	0.601	չափից դուրս
excessively	0.449	0.882	0.716	չափից դուրս
exchange	0.740	0.569	0.491	փոխանակում
excise	0.448	0.561	0.577	ակցիզ
excision	0.260	0.480	0.519	հեռացում
excitability	0.906	0.910	0.724	գրգռվածություն
excitable	0.803	0.939	0.629	հուզիչ
excitation	0.792	0.958	0.750	գրգռում
excite	0.823	0.950	0.668	հուզել
excited	0.908	0.931	0.709	հուզված
excitement	0.896	0.684	0.731	հուզմունք
exciting	0.950	0.792	0.789	հուզիչ
exclaim	0.635	0.711	0.639	բացականչել
exclamation	0.612	0.745	0.598	բացականչություն
exclude	0.292	0.500	0.530	բացառել
excluded	0.061	0.540	0.134	բացառված
excluding	0.271	0.550	0.324	բացառելով
exclusion	0.240	0.530	0.389	բացառում
exclusive	0.792	0.630	0.653	բացառիկ
excrement	0.041	0.558	0.221	արտաթորանք
excretion	0.285	0.650	0.457	արտազատում
excruciating	0.083	0.837	0.345	տանջալից
excursion	0.625	0.714	0.627	էքսկուրսիա
excuse	0.240	0.696	0.318	արդարացում
exec	0.640	0.352	0.769	գործադիր
execute	0.327	0.708	0.769	կատարել
execution	0.160	0.811	0.713	կատարումը
executioner	0.235	0.816	0.676	դահիճ
executive	0.704	0.449	0.894	գործադիր
executor	0.365	0.755	0.759	կատարող
exegesis	0.458	0.472	0.491	բացատրություն
exemplar	0.844	0.537	0.625	օրինակելի
exemplary	0.833	0.343	0.729	օրինակելի
exemplify	0.735	0.506	0.783	օրինակել
exempt	0.588	0.455	0.664	ազատված
exemption	0.531	0.578	0.627	ազատում
exercise	0.750	0.789	0.625	վարժություն
exert	0.694	0.735	0.806	գործադրել
exertion	0.663	0.755	0.717	ջանք
exhale	0.542	0.490	0.411	արտաշնչել
exhaust	0.546	0.710	0.337	արտանետում
exhausted	0.123	0.423	0.202	ուժասպառ
exhaustion	0.366	0.633	0.269	հյուծվածություն
exhaustive	0.388	0.635	0.604	սպառիչ
exhibit	0.688	0.633	0.708	Ցուցադրել
exhibition	0.698	0.590	0.531	ցուցահանդես
exhilarated	0.890	0.963	0.759	ոգևորված
exhilarating	0.917	0.823	0.810	հուզիչ
exhilaration	0.792	0.868	0.783	ոգևորություն
exhort	0.378	0.660	0.745	հորդորել
exhortation	0.531	0.624	0.580	հորդոր
exhumation	0.177	0.586	0.473	արտաշիրիմում
exhume	0.184	0.627	0.452	արտաշիրիմել
exigent	0.385	0.611	0.792	պահանջկոտ
exile	0.184	0.630	0.483	աքսոր
exist	0.857	0.421	0.788	գոյություն ունենալ
existence	0.760	0.513	0.771	գոյություն
existent	0.635	0.490	0.635	գոյություն ունեցող
existential	0.583	0.510	0.638	էկզիստենցիալ
existing	0.802	0.344	0.750	գոյություն ունեցող
exit	0.370	0.353	0.399	ելք
exodus	0.286	0.663	0.567	արտագաղթ
exonerate	0.592	0.500	0.538	արդարացնել
exorbitant	0.398	0.865	0.825	չափից դուրս
exorcism	0.163	0.980	0.557	էկզորցիզմ
exorcist	0.219	0.906	0.716	exorcist
exotic	0.840	0.711	0.727	էկզոտիկ
expand	0.792	0.559	0.686	ընդլայնել
expanded	0.760	0.406	0.689	ընդլայնվել է
expanse	0.594	0.529	0.689	տարածություն
expansion	0.776	0.618	0.787	ընդլայնում
expansive	0.708	0.650	0.778	ընդարձակ
expatriate	0.265	0.764	0.391	գաղթական
expect	0.469	0.327	0.377	ակնկալել
expectance	0.552	0.724	0.660	սպասողականություն
expectancy	0.581	0.622	0.558	սպասվող տեւողությունը
expectant	0.708	0.650	0.474	սպասող
expectation	0.771	0.690	0.707	ակնկալիք
expected	0.729	0.412	0.545	ակնկալվում է
expecting	0.561	0.450	0.302	ակնկալելով
expediency	0.604	0.443	0.703	նպատակահարմարություն
expedient	0.885	0.461	0.454	նպատակահարմար
expedite	0.571	0.858	0.798	արագացնել
expedition	0.735	0.802	0.620	արշավախումբ
expeditious	0.602	0.645	0.773	արագընթաց
expel	0.281	0.725	0.452	վտարել
expendable	0.479	0.490	0.423	ծախսվող
expenditure	0.250	0.608	0.603	ծախսեր
expense	0.317	0.451	0.377	ծախս
expenses	0.240	0.633	0.396	ծախսերը
expensive	0.323	0.540	0.530	թանկարժեք
experience	0.827	0.618	0.905	փորձը
experienced	0.771	0.613	0.914	փորձառու
experiences	0.793	0.647	0.795	փորձառություններ
experiment	0.479	0.720	0.675	փորձ
experimental	0.417	0.764	0.396	փորձարարական
experimentation	0.637	0.769	0.767	փորձարկում
experimenter	0.708	0.710	0.700	փորձարար
expert	0.776	0.646	0.911	փորձագետ
expertise	0.792	0.589	0.925	փորձագիտություն
expiration	0.265	0.539	0.463	ժամկետի ավարտը
expire	0.573	0.745	0.702	ժամկետը լրանում է
expired	0.198	0.394	0.200	ժամկետանց
expiry	0.194	0.434	0.382	ժամկետի ավարտը
explain	0.719	0.517	0.736	բացատրել
explanation	0.615	0.610	0.825	բացատրություն
explanatory	0.573	0.433	0.688	բացատրական
expletive	0.357	0.567	0.536	սպառողական
explication	0.510	0.445	0.602	բացատրություն
explicit	0.562	0.694	0.734	բացահայտ
explode	0.277	0.885	0.773	պայթել
exploit	0.312	0.878	0.660	շահագործել
exploitation	0.156	0.920	0.718	շահագործում
exploration	0.594	0.650	0.773	հետախուզում
exploratory	0.653	0.690	0.698	հետախուզական
explore	0.776	0.660	0.727	ուսումնասիրել
explorer	0.729	0.663	0.714	հետախույզ
explosion	0.167	0.960	0.767	պայթյուն
explosions	0.123	0.860	0.594	պայթյուններ
explosive	0.156	0.943	0.663	պայթուցիկ
expo	0.610	0.562	0.500	էքսպո
exponent	0.529	0.510	0.845	ցուցիչ
exponential	0.704	0.588	0.763	էքսպոնենցիալ
export	0.567	0.661	0.755	արտահանում
exportation	0.760	0.633	0.673	արտահանում
expose	0.344	0.643	0.537	բացահայտել
exposed	0.471	0.661	0.509	բացահայտված
exposition	0.521	0.627	0.655	ցուցադրություն
expository	0.706	0.653	0.636	լուսաբանող
exposure	0.570	0.830	0.630	ազդեցության ենթարկում
expound	0.438	0.575	0.740	բացատրել
express	0.760	0.623	0.691	արտահայտել
expression	0.790	0.650	0.721	արտահայտություն
expressive	0.755	0.724	0.685	արտահայտիչ
expressway	0.633	0.635	0.587	արագընթաց մայրուղի
expropriation	0.188	0.735	0.788	օտարում
expulsion	0.190	0.790	0.529	վտարում
exquisite	0.892	0.644	0.604	նուրբ
exquisitely	0.849	0.728	0.723	նրբագեղորեն
extant	0.646	0.390	0.523	գոյություն ունեցող
extend	0.646	0.570	0.689	երկարացնել
extendable	0.660	0.592	0.722	երկարաձգվող
extended	0.570	0.304	0.649	երկարացված
extension	0.490	0.510	0.529	երկարաձգում
extensive	0.635	0.520	0.760	ընդարձակ
extent	0.646	0.451	0.602	չափ
exterior	0.542	0.400	0.627	արտաքին
exterminate	0.177	0.857	0.736	բնաջնջել
extermination	0.190	0.860	0.616	բնաջնջում
exterminator	0.344	0.804	0.887	բնաջնջող
external	0.479	0.341	0.509	արտաքին
externally	0.643	0.521	0.568	արտաքինից
extinct	0.112	0.491	0.412	հանգած
extinction	0.104	0.750	0.611	անհետացում
extinguish	0.240	0.576	0.482	մարել
extinguisher	0.707	0.379	0.543	կրակմարիչ
extol	0.582	0.667	0.456	մեծարել
extort	0.052	0.827	0.570	շորթել
extortion	0.112	0.868	0.630	շորթում
extra	0.656	0.551	0.745	լրացուցիչ
extract	0.565	0.402	0.519	քաղվածք
extracting	0.521	0.709	0.689	արդյունահանում
extraction	0.418	0.740	0.526	արդյունահանում
extractor	0.302	0.536	0.519	արդյունահանող
extracurricular	0.457	0.471	0.743	արտադասարանական
extradition	0.229	0.627	0.554	արտահանձնում
extrajudicial	0.365	0.686	0.667	արտադատական
extramural	0.336	0.559	0.537	արտապատմական
extraneous	0.276	0.625	0.478	կողմնակի
extraordinaire	0.847	0.864	0.898	արտասովոր
extraordinary	0.969	0.728	0.860	արտասովոր
extraterrestrial	0.510	0.833	0.792	այլմոլորակային
extravagance	0.531	0.802	0.700	շռայլություն
extravagant	0.720	0.763	0.812	շռայլ
extravaganza	0.646	0.786	0.906	շռայլություն
extreme	0.318	0.800	0.721	ծայրահեղ
extreme anticipation	0.551	0.740	0.704	ծայրահեղ սպասում
extreme disgust	0.052	0.873	0.456	ծայրահեղ զզվանք
extreme surprise	0.833	0.935	0.676	ծայրահեղ անակնկալ
extreme trust	0.826	0.713	0.922	ծայրահեղ վստահություն
extremely	0.635	0.827	0.886	չափազանց
extremely negative	0.030	0.786	0.311	չափազանց բացասական
extremely positive	0.993	0.730	0.839	չափազանց դրական
extremity	0.408	0.588	0.583	ծայրահեղություն
extricate	0.542	0.510	0.543	դուրս հանել
extrinsic	0.510	0.479	0.636	արտաքին
extrusion	0.229	0.660	0.545	արտամղման
exuberance	0.698	0.816	0.787	առատություն
exude	0.375	0.519	0.411	ցայտել
eye	0.531	0.265	0.425	աչք
eyeball	0.526	0.422	0.420	ակնախնձոր
eyebrow	0.510	0.198	0.222	Հոնք
eyeful	0.802	0.500	0.676	աչալուրջ
eyeglass	0.531	0.236	0.286	ակնոց
eyeglasses	0.561	0.269	0.306	ակնոցներ
eyelash	0.480	0.250	0.278	թարթիչ
eyelet	0.632	0.298	0.346	ծակ
eyeliner	0.688	0.349	0.347	eyeliner
eyepiece	0.418	0.347	0.480	ակնոց
eyes	0.760	0.279	0.432	աչքերը
eyesight	0.750	0.226	0.343	տեսողություն
eyewitness	0.541	0.686	0.698	ականատես
fab	0.490	0.380	0.406	ֆաբ
fable	0.663	0.387	0.389	առակ
fabled	0.625	0.538	0.545	առասպելական
fabric	0.635	0.190	0.345	գործվածք
fabricate	0.636	0.491	0.779	կեղծել
fabricated	0.418	0.427	0.555	շինծու
fabrication	0.573	0.587	0.705	հորինվածք
fabulous	0.979	0.660	0.797	առասպելական
facade	0.520	0.333	0.518	ճակատ
face	0.571	0.173	0.453	դեմքը
faceless	0.230	0.406	0.173	անդեմ
facet	0.667	0.324	0.382	երեսակ
facial	0.594	0.429	0.433	դեմքի
facile	0.740	0.264	0.307	դյուրին
facilitate	0.812	0.333	0.509	հեշտացնել
facility	0.625	0.500	0.654	հաստատություն
facing	0.604	0.406	0.550	դեմքով
facsimile	0.490	0.500	0.543	ֆաքսիմիլ
fact	0.683	0.333	0.618	փաստ
faction	0.469	0.430	0.448	խմբակցություն
factor	0.635	0.365	0.678	գործոն
factory	0.500	0.500	0.683	գործարան
facts	0.688	0.471	0.693	փաստեր
factual	0.656	0.440	0.545	փաստացի
faculties	0.643	0.431	0.760	ֆակուլտետները
faculty	0.615	0.412	0.732	ֆակուլտետը
fad	0.663	0.520	0.570	քմահաճույք
fade	0.354	0.333	0.245	մարել
faded	0.302	0.275	0.194	խունացած
faeces	0.184	0.476	0.175	կղանքները
fag	0.122	0.653	0.331	ժլատ
faggot	0.219	0.643	0.292	ֆագոտ
fail	0.177	0.578	0.154	ձախողվել
failing	0.125	0.490	0.268	ձախողվելով
failure	0.167	0.575	0.139	ձախողում
fain	0.479	0.417	0.426	թուլանալ
faint	0.063	0.429	0.167	ուշաթափվել
fainting	0.333	0.510	0.214	ուշագնացություն
fair	0.812	0.557	0.643	արդար
fairly	0.790	0.406	0.750	արդարացիորեն
fairness	0.740	0.317	0.552	արդարություն
fairway	0.541	0.510	0.500	ֆեյրվեյ
fairy	0.776	0.408	0.413	փերի
faith	0.833	0.220	0.763	հավատք
faithful	0.888	0.333	0.627	հավատարիմ
faithfulness	0.833	0.426	0.602	հավատարմություն
faithless	0.102	0.683	0.304	անհավատ
fake	0.073	0.554	0.268	կեղծ
faker	0.245	0.630	0.480	կեղծարար
falafel	0.560	0.402	0.351	ֆալաֆել
falcon	0.557	0.580	0.678	բազե
fall	0.177	0.657	0.221	աշնանը
fallacious	0.271	0.587	0.390	կեղծ
fallacy	0.112	0.561	0.430	մոլորություն
fallback	0.458	0.358	0.508	ընկնում ետ
fallible	0.365	0.537	0.402	սխալական
falling	0.202	0.716	0.306	ընկնելը
fallopian	0.297	0.390	0.464	fallopian
fallout	0.428	0.356	0.373	անկում
fallow	0.375	0.368	0.464	ձագ
false	0.120	0.404	0.240	«կեղծ»
falsehood	0.031	0.625	0.384	կեղծիք
falsely	0.083	0.480	0.265	կեղծ
falsification	0.173	0.720	0.490	կեղծում
falsified	0.042	0.630	0.306	կեղծված
falsify	0.115	0.657	0.409	կեղծել
falsity	0.120	0.689	0.186	կեղծիք
falter	0.421	0.650	0.346	թուլանալ
fame	0.896	0.755	0.852	համբավ
famed	0.878	0.750	0.819	հայտնի
familiar	0.906	0.330	0.615	ծանոթ
familiarity	0.854	0.346	0.616	ծանոթություն
familiarize	0.760	0.365	0.654	ծանոթացնել
family	0.968	0.383	0.643	ընտանիք
familytime	0.939	0.420	0.679	ընտանիքի ժամանակ
famine	0.163	0.679	0.310	սով
famished	0.177	0.654	0.282	քաղցած
famous	0.916	0.775	0.882	հայտնի
famously	0.856	0.765	0.787	հայտնի
fan	0.781	0.429	0.357	երկրպագու
fanatic	0.573	0.780	0.629	մոլեռանդ
fanatical	0.555	0.830	0.714	մոլեռանդ
fanaticism	0.292	0.896	0.566	ֆանատիզմ
fanciful	0.677	0.592	0.342	երևակայական
fancy	0.854	0.673	0.534	շքեղ
fandango	0.490	0.591	0.429	ֆանդանգո
fanfare	0.656	0.640	0.437	ֆանֆար
fang	0.175	0.491	0.455	ժանիք
fangs	0.286	0.598	0.434	ժանիքներ
fanning	0.615	0.330	0.236	օդափոխել
fantasia	0.898	0.694	0.436	ֆանտազիա
fantasize	0.771	0.660	0.356	երևակայել
fantastic	0.969	0.696	0.831	ֆանտաստիկ
fantasy	0.880	0.627	0.474	ֆանտազիա
faraway	0.365	0.356	0.285	հեռու
farce	0.265	0.667	0.246	ֆարս
farcical	0.406	0.481	0.259	ֆարսիկ
fare	0.490	0.425	0.645	ուղեվարձը
farewell	0.130	0.500	0.591	հրաժեշտ
farm	0.781	0.327	0.297	ֆերմա
farmer	0.677	0.432	0.464	ֆերմեր
farmhouse	0.690	0.330	0.444	ֆերմա
farming	0.580	0.414	0.568	հողագործություն
farmland	0.729	0.363	0.509	գյուղատնտեսական հողատարածք
faro	0.544	0.349	0.357	ֆարո
fart	0.194	0.439	0.264	փորել
farther	0.418	0.500	0.430	ավելի հեռու
fascia	0.480	0.366	0.356	ֆասիա
fascinate	0.854	0.683	0.802	հմայել
fascinated	0.812	0.714	0.788	հիացած
fascinating	0.979	0.817	0.784	հետաքրքրաշարժ
fascination	0.885	0.773	0.835	հրապուրանք
fascism	0.104	0.740	0.695	ֆաշիզմ
fascist	0.200	0.755	0.527	ֆաշիստ
fashion	0.827	0.616	0.589	նորաձեւություն
fashionable	0.750	0.510	0.605	նորաձեւ
fastball	0.688	0.679	0.575	արագ գնդակ
fasten	0.458	0.585	0.529	ամրացնել
fastener	0.577	0.377	0.491	ամրացնող
fastening	0.594	0.473	0.554	ամրացում
fasting	0.388	0.370	0.394	ծոմապահություն
fat	0.198	0.353	0.237	ճարպ
fatal	0.061	0.775	0.509	ճակատագրական
fatalism	0.208	0.694	0.631	ֆատալիզմ
fatality	0.062	0.798	0.595	մահացու ելք
fate	0.571	0.479	0.712	ճակատագիր
fated	0.582	0.472	0.692	ճակատագիր
fateful	0.290	0.583	0.402	ճակատագրական
fathead	0.296	0.527	0.463	հաստագլուխ
father	0.812	0.333	0.824	հայրիկ
fatherhood	0.885	0.519	0.682	հայրություն
fatherland	0.729	0.469	0.778	հայրենիք
fatherly	0.865	0.363	0.712	հայրական
fathom	0.520	0.410	0.523	հասկանալ
fatigue	0.173	0.378	0.265	հոգնածություն
fatigued	0.146	0.433	0.245	հոգնած
fatso	0.286	0.394	0.336	ֆացո
fatten	0.375	0.549	0.363	գիրացնել
fatty	0.286	0.361	0.325	չաղ
faucet	0.427	0.278	0.356	ծորակ
fault	0.188	0.558	0.184	մեղքով
faultless	0.792	0.500	0.741	անթերի
faulty	0.184	0.520	0.378	թերի
faun	0.490	0.303	0.376	կենդանական աշխարհ
fauna	0.646	0.346	0.404	կենդանական աշխարհ
faux	0.291	0.490	0.204	կեղծ
favor	0.812	0.308	0.519	բարեհաճություն
favorable	0.952	0.380	0.788	բարենպաստ
favorite	0.885	0.590	0.691	սիրելի
favoriteholiday	0.867	0.618	0.582	սիրելի տոն
favoritism	0.582	0.559	0.658	ֆավորիտիզմ
fawn	0.626	0.360	0.284	ձագուկ
fax	0.406	0.368	0.304	ֆաքս
faze	0.417	0.515	0.382	faze
fear	0.073	0.840	0.293	վախ
feared	0.240	0.733	0.509	վախեցած
fearful	0.083	0.482	0.278	վախկոտ
fearfully	0.112	0.567	0.271	վախեցած
fearing	0.125	0.566	0.256	վախենալով
fearless	0.810	0.806	0.760	անվախ
fears	0.061	0.821	0.306	վախերը
fearsome	0.115	0.900	0.586	սարսափելի
feasibility	0.653	0.490	0.741	իրագործելիություն
feasible	0.694	0.388	0.611	իրագործելի
feast	0.979	0.724	0.680	խնջույք
feat	0.750	0.706	0.849	feat
feather	0.677	0.208	0.144	փետուր
feathered	0.438	0.288	0.214	փետրավոր
feature	0.667	0.314	0.679	հատկանիշ
features	0.667	0.433	0.509	Հատկություններ
febrile	0.429	0.578	0.414	տենդային
fecal	0.255	0.528	0.213	ֆեկալ
feces	0.240	0.407	0.307	կղանք
fecundity	0.688	0.591	0.683	պտղաբերություն
fed	0.602	0.370	0.482	կերակրել
federal	0.530	0.459	0.859	դաշնային
federation	0.633	0.354	0.763	ֆեդերացիա
fedup	0.327	0.500	0.352	կշտացած
fee	0.354	0.386	0.556	վճար
feeble	0.157	0.280	0.109	թույլ
feed	0.812	0.429	0.739	կերակրել
feedback	0.622	0.557	0.645	հետադարձ կապ
feeder	0.604	0.452	0.713	սնուցող
feel	0.802	0.602	0.596	զգալ
feelgood	0.990	0.441	0.621	լավ զգալ
feeling	0.806	0.329	0.531	Զգացմունք
feelingdown	0.490	0.457	0.567	տխուր լինել
feelinggood	0.940	0.449	0.655	լավ զգալ
feet	0.510	0.240	0.292	ոտքերը
feign	0.340	0.394	0.356	ձեւացնել
feigned	0.173	0.602	0.333	շինծու
feisty	0.592	0.853	0.789	աշխույժ
felicity	0.913	0.704	0.793	երջանկություն
feline	0.615	0.745	0.509	կատվային
fell	0.255	0.462	0.250	ընկել է
feller	0.406	0.622	0.617	ֆլլեր
fellow	0.745	0.298	0.570	ընկերակից
fellowship	0.900	0.429	0.778	ընկերակցություն
felon	0.111	0.898	0.455	հանցագործ
felony	0.206	0.808	0.472	հանցագործություն
felt	0.643	0.417	0.566	զգացել
feminine	0.802	0.520	0.394	կանացի
femininity	0.750	0.479	0.451	կանացիություն
feminism	0.541	0.570	0.636	ֆեմինիզմ
femme	0.551	0.529	0.398	կին
femoral	0.417	0.324	0.566	ազդրային
femur	0.408	0.289	0.413	femur
fen	0.490	0.276	0.379	ֆեն
fence	0.500	0.198	0.398	պարիսպ
fenced	0.323	0.430	0.429	պարսպապատված
fencing	0.542	0.654	0.539	սուսերամարտ
fend	0.646	0.731	0.537	պաշտպանել
fender	0.369	0.459	0.476	պաշտպանիչ
fennel	0.573	0.277	0.389	սամիթ
ferment	0.375	0.531	0.418	խմորել
fermentation	0.420	0.567	0.473	խմորում
fern	0.602	0.240	0.290	պտեր
ferocious	0.167	0.915	0.776	վայրագ
ferocity	0.235	0.906	0.746	վայրագություն
ferret	0.385	0.391	0.398	լաստանավ
ferry	0.604	0.509	0.389	լաստանավ
ferryboat	0.594	0.452	0.553	լաստանավ
fertile	0.888	0.408	0.704	բեղմնավոր
fertility	0.885	0.529	0.726	պտղաբերություն
fertilize	0.708	0.443	0.542	պարարտացնել
fertilizer	0.438	0.463	0.565	պարարտանյութ
fervent	0.646	0.632	0.773	ջերմեռանդ
fervor	0.573	0.769	0.651	եռանդ
fess	0.395	0.420	0.370	ֆեսս
fest	0.704	0.574	0.402	տոն
festival	0.870	0.706	0.714	փառատոն
festive	0.854	0.740	0.764	տոնական
fetal	0.388	0.308	0.364	պտղի
fetch	0.479	0.363	0.491	բերել
fete	0.580	0.551	0.465	տոնակատարություն
fetish	0.307	0.706	0.500	ֆետիշ
fetus	0.479	0.519	0.395	պտուղը
feud	0.146	0.796	0.312	թշնամանք
feudal	0.367	0.370	0.610	ֆեոդալական
feudalism	0.229	0.465	0.607	ֆեոդալիզմ
fever	0.194	0.674	0.364	ջերմություն
feverish	0.385	0.696	0.436	տենդային
fiancee	0.959	0.626	0.556	հարսնացու
fiasco	0.167	0.600	0.200	ֆիասկո
fiat	0.520	0.418	0.446	fiat
fib	0.438	0.510	0.361	մանրաթել
fiber	0.719	0.284	0.390	մանրաթել
fiberglass	0.451	0.451	0.443	ապակեպլաստե
fibrosis	0.160	0.469	0.546	ֆիբրոզ
fibrous	0.480	0.441	0.464	մանրաթելային
fickle	0.406	0.481	0.346	անկայուն
fiction	0.438	0.657	0.441	գեղարվեստական գրականություն
fictional	0.430	0.490	0.340	գեղարվեստական
fictitious	0.224	0.444	0.293	մտացածին
fiddle	0.571	0.449	0.391	ջութակ
fiddler	0.615	0.580	0.500	ջութակահար
fidelity	0.765	0.580	0.709	հավատարմություն
fidgety	0.229	0.786	0.351	անհանգիստ
fiduciary	0.375	0.400	0.509	հավատարմատար
field	0.640	0.380	0.336	դաշտ
field hockey	0.602	0.786	0.518	դաշտային հոկեյ
fielder	0.583	0.378	0.415	դաշտավար
fiend	0.146	0.903	0.608	սատանան
fiendish	0.167	0.846	0.591	դիվային
fierce	0.281	0.877	0.759	կատաղի
fiery	0.418	0.850	0.721	կրակոտ
fiesta	0.927	0.779	0.655	փառատոն
fiesty	0.571	0.663	0.472	բուռն
fifteen	0.490	0.290	0.443	տասնհինգ
fifty	0.571	0.368	0.439	հիսուն
fig	0.573	0.390	0.339	թզ
fight	0.531	0.868	0.809	պայքարել
fighter	0.637	0.760	0.898	մարտիկ
fighting	0.292	0.885	0.783	մարտնչող
fights	0.070	0.920	0.712	կռիվներ
figment	0.552	0.316	0.533	արգասիք
figurative	0.479	0.450	0.634	փոխաբերական
figure	0.688	0.328	0.509	գործիչ
figurine	0.760	0.283	0.258	արձանիկ
filament	0.510	0.452	0.377	թելիկ
filamentous	0.531	0.480	0.516	թելիկավոր
file	0.480	0.316	0.463	ֆայլ
filet	0.615	0.392	0.291	ֆիլե
filibuster	0.271	0.714	0.508	ֆիլիբուստեր
filigree	0.576	0.408	0.514	ֆիլիգրան
filing	0.620	0.420	0.700	ներկայացում
filings	0.323	0.412	0.340	ֆայլեր
fill	0.729	0.449	0.637	լրացնել
filler	0.531	0.347	0.529	լցոնիչ
fillet	0.745	0.415	0.378	ֆիլե
filling	0.510	0.382	0.525	լցնում
filly	0.479	0.564	0.519	լցված
film	0.823	0.491	0.566	ֆիլմ
filmmaker	0.704	0.510	0.635	կինոռեժիսոր
filmy	0.583	0.510	0.425	ֆիլմային
filter	0.440	0.296	0.260	զտիչ
filth	0.194	0.592	0.319	կեղտ
filthy	0.115	0.714	0.321	կեղտոտ
filtration	0.407	0.520	0.255	ֆիլտրում
fin	0.333	0.340	0.377	fin
final	0.276	0.575	0.508	եզրափակիչ
finale	0.406	0.330	0.468	եզրափակիչ
finalist	0.833	0.686	0.736	եզրափակիչի մասնակից
finality	0.615	0.368	0.627	վերջնականություն
finalize	0.556	0.550	0.578	վերջնականացնել
finalized	0.245	0.210	0.608	վերջնականացված
finally	0.583	0.433	0.465	վերջապես
finance	0.753	0.431	0.843	ֆինանսներ
financial	0.667	0.500	0.722	ֆինանսական
financier	0.602	0.500	0.778	ֆինանսիստ
finch	0.438	0.444	0.358	ֆինշ
find	0.774	0.555	0.580	գտնել
finder	0.360	0.550	0.630	որոնիչ
finding	0.796	0.469	0.664	գտնելը
fine	0.823	0.240	0.647	տուգանք
finery	0.562	0.479	0.636	նրբագեղություն
finesse	0.740	0.387	0.412	նրբություն
finger	0.321	0.264	0.291	մատը
fingernail	0.418	0.415	0.153	մատի եղունգ
fingerprint	0.583	0.404	0.570	մատնահետք
fingerscrossed	0.573	0.540	0.356	մատները խաչած
finish	0.471	0.429	0.545	ավարտել
finished	0.510	0.387	0.570	ավարտված
finite	0.384	0.347	0.293	վերջավոր
fink	0.410	0.514	0.439	ֆինկ
fir	0.521	0.275	0.306	եղեւնի
fire	0.380	0.804	0.635	կրակ
firearm	0.086	0.943	0.864	հրազեն
firearms	0.220	0.943	0.821	հրազեն
fireball	0.302	0.777	0.664	հրե գնդակ
firecracker	0.474	0.741	0.434	ճայթրուկ
firefight	0.153	0.920	0.664	կրակահերթ
firefighter	0.637	0.770	0.773	հրշեջ
firefly	0.622	0.410	0.363	կայծոռիկ
firehouse	0.594	0.689	0.627	հրշեջ
firelight	0.677	0.504	0.639	կրակի լույս
fireman	0.583	0.745	0.755	հրշեջ
fireplace	0.667	0.380	0.417	Բուխարի
firepower	0.375	0.941	0.810	կրակի ուժ
fireproof	0.684	0.679	0.723	հրակայուն
fireside	0.684	0.377	0.394	խարույկ
firestorm	0.180	0.929	0.766	հրե փոթորիկ
firewall	0.485	0.602	0.629	firewall
firewood	0.520	0.348	0.263	վառելափայտ
firework	0.786	0.904	0.593	հրավառություն
fireworks	0.735	0.863	0.579	հրավառություն
firing	0.188	0.931	0.803	կրակել
firm	0.635	0.380	0.728	ամուր
firmament	0.750	0.407	0.660	երկնակամար
firmly	0.786	0.510	0.777	ամուր
firmness	0.823	0.479	0.939	ամրություն
first	0.625	0.500	0.788	առաջին
firstborn	0.786	0.490	0.695	առաջնեկ
firstworldprobs	0.458	0.612	0.483	առաջին աշխարհի խնդիրներ
fiscal	0.500	0.582	0.845	հարկաբյուջետային
fish	0.510	0.280	0.250	ձուկ
fisherman	0.656	0.461	0.546	ձկնորս
fishery	0.574	0.503	0.519	ձկնորսություն
fishing	0.677	0.283	0.405	ձկնորսություն
fishing boat	0.521	0.403	0.627	ձկնորսական նավակ
fishy	0.224	0.601	0.471	ձկնային
fissile	0.333	0.490	0.380	տրոհվող
fission	0.386	0.500	0.567	տրոհում
fissure	0.333	0.510	0.431	ճեղքվածք
fist	0.333	0.686	0.481	բռունցք
fistfight	0.208	0.902	0.543	բռունցքամարտ
fistful	0.500	0.509	0.500	բռունցք
fistula	0.312	0.481	0.330	ֆիստուլա
fit	0.604	0.450	0.632	տեղավորել
fitness	0.875	0.529	0.810	ֆիթնես
fits	0.571	0.363	0.580	տեղավորվում է
