English Word	Valence	Arousal	Dominance	Sundanese Word
blacken	0.208	0.500	0.228	hideung
blackface	0.302	0.490	0.441	blackface
blackjack	0.419	0.679	0.452	blackjack
blacklist	0.133	0.750	0.396	daptar hideung
blackmail	0.094	0.802	0.482	meres
blackmailer	0.092	0.780	0.472	tukang meres
blackness	0.260	0.480	0.406	hideung
blackout	0.126	0.530	0.349	blackout
blacksmith	0.480	0.531	0.702	panday
bladder	0.406	0.412	0.330	kandung kemih
blade	0.378	0.602	0.594	sabeulah
blame	0.115	0.640	0.309	nyalahkeun
blameless	0.759	0.196	0.343	taya salahna
bland	0.300	0.226	0.157	hambar
blank	0.531	0.229	0.250	kosong
blanket	0.740	0.132	0.391	simbut
blare	0.439	0.561	0.519	ngagorowok
blase	0.420	0.310	0.412	blase
blasphemous	0.210	0.755	0.491	ngahujat
blasphemy	0.146	0.794	0.406	ngahujat
blast	0.167	0.929	0.777	ngabeledug
blaster	0.459	0.538	0.554	blaster
blastoff	0.357	0.865	0.736	blastoff
blatant	0.327	0.677	0.675	terang-terangan
blather	0.344	0.481	0.382	blater
blaze	0.698	0.467	0.658	seuneu
blazer	0.635	0.385	0.417	blazer
blazing	0.594	0.896	0.735	blazing
bleach	0.336	0.282	0.337	ngabodaskeun
bleak	0.204	0.427	0.272	suram
bleed	0.041	0.843	0.346	getihan
bleeder	0.260	0.852	0.356	tukang getihan
bleeding	0.135	0.817	0.408	ngaluarkeun getih
bleep	0.479	0.667	0.345	bleep
blemish	0.219	0.558	0.272	cacad
blemished	0.173	0.469	0.370	cacad
blend	0.469	0.452	0.463	nyampur
blender	0.602	0.534	0.351	adun
blending	0.560	0.418	0.637	nyampur
bless	0.929	0.269	0.588	ngaberkahan
blessed	0.910	0.279	0.696	rahayu
blessing	0.929	0.264	0.800	berkah
blessings	0.929	0.361	0.623	berkah
bleu	0.460	0.354	0.379	bleu
blight	0.271	0.771	0.429	hawar-hawar
blighted	0.146	0.615	0.296	hanjelu
blimp	0.600	0.410	0.532	blimp
blinded	0.245	0.471	0.231	buta
blindfold	0.448	0.684	0.337	panutup panon
blindfolded	0.208	0.564	0.209	ditutupan panon
blinding	0.304	0.596	0.406	buta
blindly	0.439	0.598	0.278	buta-buta
blindness	0.245	0.480	0.196	buta
blink	0.552	0.316	0.324	kedip-kedip
blip	0.529	0.461	0.418	blip
bliss	0.816	0.500	0.782	kabagjaan
blissful	0.885	0.639	0.676	bagja
blister	0.407	0.538	0.402	lepuh
blistering	0.344	0.569	0.390	melepuh
blitz	0.417	0.722	0.789	blitz
blizzard	0.375	0.726	0.417	badai salju
bloat	0.229	0.694	0.298	kembung
bloated	0.167	0.593	0.424	kembung
blob	0.500	0.376	0.298	gumpalan
block	0.286	0.350	0.402	Blok
blockade	0.380	0.519	0.510	blokade
blockage	0.250	0.608	0.444	sumbatan
blockbuster	0.730	0.676	0.883	blockbuster
blockhead	0.163	0.333	0.148	blockhead
blog	0.639	0.390	0.432	blog
bloke	0.450	0.479	0.545	bolong
blond	0.590	0.490	0.490	pirang
blonde	0.698	0.545	0.412	pirang
blood	0.219	0.684	0.585	getih
bloodbath	0.060	0.971	0.475	getihan
bloodhound	0.327	0.462	0.538	anjing getih
bloodless	0.292	0.390	0.212	teu getihan
bloodline	0.510	0.657	0.604	garis getih
bloodshed	0.048	0.942	0.525	pertumpahan getih
bloodshot	0.188	0.810	0.482	getihan
bloodstream	0.552	0.530	0.528	aliran getih
bloodthirsty	0.052	0.804	0.644	haus getih
bloody	0.031	0.910	0.518	getihan
bloom	0.816	0.453	0.587	mekar
bloomers	0.521	0.587	0.395	bloomers
blooming	0.860	0.452	0.593	mekar
blossom	0.792	0.275	0.309	mekar
blot	0.365	0.304	0.223	nyapu
blotched	0.133	0.562	0.264	blotched
blotter	0.360	0.298	0.280	blotter
blouse	0.580	0.190	0.302	blus
blow	0.316	0.750	0.570	niup
blower	0.564	0.550	0.536	blower
blowfish	0.344	0.420	0.389	lauk niup
blowing	0.521	0.472	0.434	niupan
blowjob	0.460	0.784	0.387	blowjob
blown	0.333	0.548	0.412	ditiup
blowout	0.398	0.792	0.616	tiup
blowtorch	0.520	0.730	0.510	obor
blubber	0.388	0.260	0.360	létah
bluddy	0.312	0.528	0.442	bluddy
blue	0.646	0.137	0.291	biru
blue spruce	0.559	0.335	0.364	spruce biru
blueberry	0.656	0.185	0.365	buah Blueberry
bluebird	0.573	0.350	0.450	manuk biru
bluegrass	0.573	0.441	0.395	jukut biru
bluejay	0.635	0.520	0.310	bluejay
blueprint	0.490	0.173	0.425	blueprint
blues	0.469	0.220	0.287	blues
bluff	0.418	0.286	0.377	gertak
bluish	0.604	0.245	0.382	semu biru
blunder	0.135	0.635	0.145	kasalahan
blunt	0.551	0.680	0.925	bodor
blur	0.268	0.471	0.205	kabur
blurred	0.320	0.367	0.231	kabur
blurry	0.059	0.385	0.218	rumeuk
blurt	0.408	0.439	0.441	blurt
blush	0.698	0.610	0.445	semu beureum
blushing	0.510	0.789	0.288	semu beureum
boa	0.255	0.569	0.542	boa
boa constrictor	0.198	0.784	0.609	boa-boa
boar	0.406	0.500	0.351	celeng
board	0.592	0.255	0.385	papan
board game	0.711	0.490	0.349	kaulinan dewan
boarder	0.604	0.440	0.475	panumpang
boarding	0.531	0.402	0.534	kosan
boardroom	0.555	0.566	0.661	rohang dewan
boards	0.469	0.270	0.524	papan
boardwalk	0.643	0.481	0.549	boardwalk
boast	0.520	0.586	0.569	reueus
boastful	0.490	0.806	0.695	sombong
boasting	0.417	0.620	0.602	boasting
boat	0.516	0.420	0.554	parahu
boathouse	0.592	0.380	0.404	imah parahu
boating	0.638	0.613	0.557	parahu
boatload	0.365	0.415	0.485	muatan kapal
boatman	0.592	0.573	0.562	tukang kapal
bobbin	0.429	0.472	0.353	gelendong
bobcat	0.562	0.490	0.529	bobcat
bobsled	0.667	0.613	0.325	bobsled
bode	0.344	0.406	0.411	pertanda
bodega	0.573	0.307	0.398	bodega
bodice	0.390	0.471	0.386	bodice
bodily	0.594	0.481	0.557	ragana
body	0.694	0.461	0.571	awak
bodyguard	0.510	0.710	0.754	pangawal
bog	0.302	0.361	0.365	rawa
bogey	0.380	0.519	0.368	bogoy
bogeyman	0.388	0.708	0.517	bogeyman
bogus	0.219	0.353	0.144	bohong
bohemian	0.622	0.500	0.407	bohemian
boil	0.417	0.684	0.433	ngagolak
boiler	0.561	0.590	0.509	alat keur ngagolakkeun
boilerplate	0.398	0.519	0.387	boilerplate
boiling	0.302	0.690	0.526	ngagolak
boisterous	0.385	0.806	0.565	riweuh
bold	0.490	0.271	0.483	kandel
boldness	0.806	0.684	0.814	kawanian
bollocks	0.448	0.471	0.327	bolotot
bolster	0.708	0.471	0.569	gugah
bolt	0.354	0.363	0.426	baud
bolus	0.426	0.491	0.352	bolus
bomb	0.167	0.912	0.750	bom
bombard	0.156	0.961	0.777	ngabom
bombardier	0.240	0.863	0.787	bombardier
bombardment	0.146	0.959	0.742	ngabom
bombed	0.051	0.851	0.627	dibom
bomber	0.125	0.837	0.810	ngebom
bombers	0.173	0.920	0.787	pangebom
bombing	0.167	0.963	0.732	ngabom
bombshell	0.327	0.868	0.693	bom
bonanza	0.875	0.410	0.683	bonanza
bonbon	0.865	0.551	0.446	bonbon
bond	0.667	0.519	0.630	beungkeutan
bondage	0.146	0.705	0.355	kasundaan
bonding	0.594	0.442	0.509	beungkeutan
bonds	0.740	0.472	0.583	beungkeutan
bondsman	0.469	0.497	0.675	bondon
bone	0.337	0.370	0.413	tulang
bonehead	0.337	0.521	0.518	sirah tulang
boner	0.344	0.612	0.393	boner
bones	0.281	0.343	0.358	tulang
bonfire	0.480	0.719	0.473	api unggun
bong	0.333	0.566	0.375	bong
bonkers	0.306	0.847	0.278	bonkers
bonne	0.448	0.395	0.362	bonne
bonnet	0.406	0.509	0.473	bonténg
bonny	0.561	0.404	0.444	bonny
bonsai	0.714	0.235	0.375	bonsai
bonus	0.857	0.620	0.682	bonus
bony	0.445	0.462	0.330	tulang tonggong
boo	0.153	0.676	0.309	boo
boob	0.694	0.600	0.392	boob
booby	0.396	0.423	0.185	booby
booger	0.399	0.537	0.427	booger
boogeyman	0.292	0.559	0.567	boogeyman
boogie	0.590	0.543	0.400	boogie
book	0.802	0.210	0.606	buku
bookcase	0.553	0.221	0.490	lomari buku
bookie	0.344	0.633	0.618	bookie
booking	0.708	0.503	0.583	booking
bookish	0.604	0.236	0.430	bukur
bookkeeper	0.480	0.363	0.468	tukang buku
bookkeeping	0.520	0.214	0.592	pembukuan
booklet	0.510	0.270	0.351	buku leutik
bookmaker	0.583	0.804	0.633	bookmaker
bookmark	0.543	0.441	0.415	tetengger
books	0.729	0.115	0.430	buku
bookseller	0.583	0.317	0.456	tukang buku
bookshop	0.688	0.291	0.389	toko buku
bookstore	0.771	0.180	0.503	toko buku
bookworm	0.563	0.337	0.316	kutu buku
boom	0.604	0.655	0.731	booming
boomer	0.480	0.539	0.441	boomer
boomerang	0.531	0.625	0.500	bumerang
booming	0.688	0.554	0.661	booming
boon	0.878	0.294	0.642	karunia
boooo	0.271	0.549	0.255	boooo
boost	0.865	0.730	0.750	naekeun
booster	0.755	0.600	0.800	booster
boot	0.438	0.650	0.625	sapatu bot
booth	0.531	0.400	0.310	stan
bootleg	0.357	0.519	0.466	bootleg
bootlegger	0.354	0.649	0.541	tukang jarah
boots	0.602	0.255	0.350	sapatu bot
booty	0.663	0.587	0.784	jarahan
booze	0.265	0.745	0.431	inuman keras
bop	0.429	0.490	0.426	bop
bopper	0.398	0.530	0.385	bopper
border	0.406	0.382	0.424	wates
bordering	0.643	0.382	0.438	wawatesan
borderline	0.449	0.520	0.490	wates
bore	0.417	0.440	0.455	ngabodor
boreal	0.582	0.348	0.400	boréal
bored	0.153	0.167	0.196	bosen
boredom	0.167	0.139	0.255	kabosenan
borer	0.302	0.549	0.578	tukang bor
boring	0.194	0.217	0.125	pikaboseneun
born	0.865	0.509	0.591	dilahirkeun
boron	0.441	0.370	0.375	boron
borough	0.429	0.343	0.380	kacamatan
borrow	0.398	0.573	0.282	nginjeum
borrower	0.439	0.423	0.763	peminjam
bosom	0.612	0.588	0.404	dadana
boss	0.310	0.627	0.954	bos
bossy	0.240	0.824	0.750	pamimpin
boston	0.643	0.380	0.580	boston
botanical	0.660	0.259	0.491	botanis
botanist	0.651	0.240	0.456	ahli botani
botany	0.604	0.201	0.500	botani
bother	0.208	0.780	0.370	ngaganggu
bothering	0.208	0.764	0.449	ngaganggu
bottle	0.469	0.236	0.336	botol
bottleneck	0.284	0.471	0.287	bottleneck
bottling	0.365	0.333	0.370	botolan
bottom	0.417	0.370	0.291	handap
bottomless	0.310	0.470	0.368	dasarna
botulism	0.292	0.575	0.386	botulisme
boulder	0.461	0.309	0.531	batu gede
bounce	0.375	0.633	0.386	mumbul
bouncer	0.490	0.653	0.655	tukang nyulam
bouncy	0.562	0.565	0.429	mumbul
bound	0.417	0.667	0.310	meungkeut
boundary	0.561	0.427	0.518	wates
boundless	0.684	0.642	0.652	taya watesna
bounds	0.378	0.426	0.604	wates
bountiful	0.854	0.596	0.759	melimpah
bounty	0.760	0.755	0.833	kasinugrahan
bouquet	0.724	0.352	0.306	karangan bunga
bourbon	0.602	0.490	0.517	bourbon
bourgeois	0.439	0.593	0.682	borjuis
bourgeoisie	0.357	0.417	0.767	borjuis
bourse	0.530	0.230	0.336	bursa
bout	0.208	0.808	0.679	pertarungan
boutique	0.745	0.490	0.441	butik
bouttime	0.588	0.373	0.410	waktuna
bovine	0.449	0.255	0.353	bovine
bow	0.530	0.306	0.408	sujud
bowed	0.410	0.418	0.368	sujud
bowel	0.306	0.417	0.391	peujit
bowels	0.194	0.448	0.362	peujit
bowl	0.625	0.377	0.358	mangkok
bowler	0.552	0.633	0.481	tukang boling
bowling	0.656	0.431	0.309	boling
bowls	0.551	0.280	0.277	mangkok
box	0.500	0.179	0.312	kotak
boxcar	0.420	0.469	0.421	gerbong
boxer	0.490	0.810	0.802	petinju
boxers	0.375	0.880	0.654	petinju
boxing	0.427	0.854	0.645	tinju
boycott	0.112	0.690	0.505	boikot
boyfriend	0.781	0.604	0.547	kabogoh
boyhood	0.729	0.745	0.500	budak leutik
boyish	0.698	0.562	0.462	budak leutik
boysenberry	0.646	0.409	0.475	boysenberry
bozo	0.388	0.364	0.298	bozo
bra	0.672	0.529	0.509	kutang
brace	0.610	0.385	0.364	pananggeuy
bracelet	0.776	0.340	0.322	pinggel
braces	0.500	0.337	0.568	kurung
brachial	0.388	0.363	0.464	brachial
bracket	0.490	0.350	0.682	kurung
brackets	0.573	0.281	0.435	kurung
brackish	0.469	0.368	0.421	payau
brad	0.490	0.385	0.402	brad
brag	0.347	0.545	0.578	ngagungkeun
braid	0.427	0.222	0.216	kepang
brain	0.667	0.441	0.823	uteuk
brainless	0.138	0.310	0.224	teu boga otak
brains	0.663	0.557	0.722	uteuk
brainstorm	0.794	0.784	0.636	brainstorming
brainwash	0.198	0.647	0.481	nyeuseuh otak
brainy	0.708	0.520	0.648	brainy
brake	0.312	0.481	0.310	marake
bran	0.688	0.433	0.483	dedak
branch	0.538	0.206	0.250	dahan
branching	0.520	0.422	0.472	ngacabang
brand	0.562	0.284	0.547	merek
brandy	0.600	0.590	0.487	inuman brandy
brash	0.360	0.814	0.552	kurang ajar
brass	0.500	0.320	0.490	kuningan
brass knuckle	0.406	0.449	0.518	ros kuningan
brassiere	0.510	0.469	0.336	brassiere
brat	0.312	0.440	0.231	budak leutik
bratwurst	0.510	0.490	0.464	bratwurst
bravado	0.479	0.510	0.527	bravado
brave	0.837	0.750	0.917	gagah
bravery	0.898	0.745	0.868	kawani
brawl	0.104	0.938	0.603	tawuran
brawn	0.438	0.402	0.544	tarang
brazen	0.292	0.640	0.518	kurang ajar
breach	0.177	0.745	0.423	ngalanggar
bread	0.660	0.314	0.342	roti
breadth	0.667	0.490	0.644	legana
break	0.610	0.265	0.370	putus
breakable	0.194	0.667	0.408	pegatna
breakaway	0.479	0.802	0.519	papisah
breakdown	0.365	0.423	0.361	rinci
breaker	0.323	0.527	0.520	pameget
breakers	0.469	0.588	0.439	breakers
breakfast	0.885	0.330	0.429	sasarap
breaking and entering	0.418	0.729	0.500	peupeus jeung asup
breakingnews	0.500	0.552	0.607	warta warta
breakneck	0.254	0.833	0.604	breakneck
breakthrough	0.680	0.525	0.718	terobosan
breakup	0.250	0.720	0.357	pegat
breast	0.753	0.429	0.500	dada
breath	0.684	0.392	0.451	ambekan
breathe	0.833	0.373	0.518	ngambekan
breather	0.624	0.471	0.388	ambekan
breathless	0.323	0.490	0.222	ngarenghap
breathtaking	0.936	0.792	0.921	breathtaking
breech	0.500	0.637	0.422	sungsang
breeches	0.365	0.457	0.333	rengkuh
breed	0.490	0.441	0.578	urang sunda
breeder	0.645	0.481	0.605	peternak
breeding	0.667	0.481	0.610	beternak
breeze	0.837	0.284	0.370	angin ngahiliwir
breezy	0.531	0.472	0.482	angin ngahiliwir
brethren	0.917	0.380	0.641	baraya
breve	0.535	0.365	0.191	breve
brevity	0.459	0.434	0.375	singgetan
brew	0.740	0.538	0.758	brew
brewery	0.710	0.622	0.510	pabrik bir
brewing	0.740	0.593	0.609	nyieun bir
briar	0.493	0.375	0.407	briar
bribe	0.112	0.690	0.472	nyogok
bribery	0.135	0.775	0.585	nyogok
brick	0.217	0.418	0.368	bata
bridal	0.823	0.655	0.596	panganten
bride	0.840	0.708	0.579	panganten awewe
bridegroom	0.809	0.736	0.527	panganten lalaki
bridesmaid	0.748	0.519	0.618	panganten awewe
bridge	0.625	0.324	0.519	sasak
bridle	0.427	0.367	0.386	kerung
brief	0.469	0.300	0.279	singket
briefcase	0.542	0.206	0.442	tas kerja
briefing	0.612	0.333	0.702	pengarahan
briefly	0.686	0.314	0.330	sakeudeung
brig	0.573	0.539	0.500	brig
brigade	0.604	0.710	0.828	brigade
bright	0.890	0.527	0.812	caang
brighten	0.760	0.547	0.649	caang
brightens	0.771	0.611	0.613	brightens
brighter	0.918	0.698	0.833	leuwih caang
brightness	0.938	0.623	0.660	kacaangan
brilliance	0.990	0.673	0.830	kacemerlangan
brilliant	0.939	0.575	0.923	cemerlang
brim	0.469	0.333	0.330	pangeusina
brimming	0.656	0.690	0.758	brimming
brimstone	0.357	0.520	0.440	walirang
brine	0.333	0.481	0.361	brine
bring	0.635	0.460	0.462	mawa
brink	0.375	0.413	0.356	tepi
brisk	0.719	0.745	0.742	gancang
brisket	0.552	0.378	0.222	brisket
bristle	0.375	0.375	0.326	buluan
brittle	0.276	0.490	0.272	rapuh
bro	0.794	0.349	0.684	bro
broach	0.438	0.439	0.675	broach
broad	0.762	0.365	0.637	lega
broadcast	0.615	0.587	0.355	siaran
broadcasting	0.542	0.700	0.706	siaran
broaden	0.678	0.602	0.610	ngalegaan
broadside	0.459	0.316	0.462	broadside
broadsword	0.469	0.573	0.615	pedang lebar
brocade	0.500	0.327	0.464	brokat
broccoli	0.469	0.200	0.283	brokoli
brochure	0.552	0.226	0.391	brosur
broil	0.510	0.404	0.330	ngagoreng
broke	0.245	0.590	0.370	peupeus
broken	0.062	0.500	0.293	pegat
brokenheart	0.115	0.577	0.343	patah hati
brokenhearted	0.130	0.598	0.227	patah hati
broker	0.582	0.462	0.600	calo
brokerage	0.479	0.500	0.500	calo
bromide	0.347	0.425	0.411	bromida
bronco	0.500	0.510	0.473	bronco
bronze	0.622	0.333	0.526	perunggu
brooch	0.531	0.260	0.380	bros
brood	0.633	0.519	0.434	brood
brooding	0.327	0.367	0.333	ngalamun
brook	0.594	0.347	0.412	walungan
broom	0.385	0.154	0.302	sapu
broomstick	0.410	0.265	0.227	sapu sapu
broth	0.500	0.245	0.168	kaldu
brothel	0.255	0.886	0.418	rumah bordil
brother	0.823	0.361	0.546	lanceukna
brotherhood	0.990	0.471	0.760	babarayaan
brotherly	0.865	0.306	0.596	baraya
brow	0.562	0.311	0.481	halis
brown	0.396	0.202	0.293	coklat
brownstone	0.559	0.423	0.439	batu coklat
browse	0.635	0.750	0.592	ngotéktak
brrr	0.373	0.540	0.282	brrr
bruise	0.133	0.640	0.474	bisul
bruising	0.084	0.520	0.422	bruising
brunch	0.406	0.363	0.343	brunch
brunette	0.802	0.528	0.529	brunette
brunt	0.204	0.750	0.349	brunt
brush	0.490	0.265	0.186	sikat
brutal	0.122	0.882	0.643	brutal
brutality	0.122	0.832	0.571	kakejaman
brute	0.115	0.547	0.379	kasar
brutish	0.270	0.837	0.588	kasar
bubble	0.774	0.213	0.364	gelembung
bubbling	0.500	0.438	0.384	ngagelebug
bubbly	0.698	0.608	0.462	bubbly
bubonic	0.280	0.530	0.394	bubonic
buck	0.677	0.577	0.720	duit
buckaroo	0.448	0.469	0.479	buckaroo
bucket	0.408	0.167	0.336	ember
buckle	0.416	0.373	0.361	ngaitkeun
buckled	0.427	0.358	0.439	ngabengkokkeun
bucko	0.439	0.455	0.465	bacot
buckshot	0.255	0.740	0.322	buckshot
buckwheat	0.490	0.471	0.434	soba
bud	0.460	0.402	0.333	pucukna
buddha	0.690	0.198	0.604	budha
buddhism	0.510	0.115	0.673	agama budha
budding	0.490	0.500	0.355	kuncup
buddy	0.884	0.585	0.655	sobat
budge	0.719	0.755	0.543	ngahuleng
budget	0.643	0.396	0.731	anggaran
buff	0.561	0.425	0.361	buff
buffalo	0.469	0.528	0.527	kebo
buffer	0.520	0.474	0.350	panyangga
buffering	0.479	0.468	0.381	panyangga
buffet	0.656	0.546	0.519	parasmanan
buffoon	0.344	0.651	0.290	badut
bug	0.286	0.500	0.246	bug
bugaboo	0.439	0.491	0.441	bugaboo
bugged	0.561	0.439	0.500	buged
bugger	0.312	0.627	0.474	bugger
buggy	0.500	0.509	0.327	buggy
bugle	0.479	0.588	0.391	bugel
bugler	0.542	0.540	0.393	bugler
build	0.771	0.546	0.806	ngawangun
builder	0.660	0.642	0.701	pembina
building	0.705	0.288	0.673	wangunan
buildings	0.582	0.380	0.552	wangunan
buildup	0.490	0.509	0.623	ngawangun
bulb	0.562	0.208	0.300	bohlam
bulbous	0.390	0.442	0.430	bulbous
bulge	0.260	0.487	0.400	bongbolongan
bulimic	0.092	0.570	0.373	bulimic
bulk	0.469	0.413	0.509	bulk
bulkhead	0.312	0.425	0.402	sekat
bulky	0.427	0.591	0.750	gede pisan
bull	0.521	0.640	0.644	banteng
bulldog	0.494	0.650	0.530	bulldog
bulldozer	0.459	0.549	0.643	buldoser
bullet	0.408	0.794	0.634	pélor
bulletin	0.573	0.294	0.361	buletin
bulletproof	0.750	0.721	0.779	anti pélor
bullfighter	0.448	0.794	0.664	banteng banteng
bullfrog	0.344	0.481	0.422	banteng
bullheaded	0.229	0.740	0.516	dibobodo
bullhorn	0.510	0.653	0.736	tanduk banteng
bullion	0.693	0.558	0.729	bullion
bullock	0.281	0.402	0.375	banteng
bullpen	0.480	0.549	0.500	bullpen
bullshit	0.042	0.676	0.183	omong kosong
bully	0.257	0.755	0.564	ngabully
bulwark	0.551	0.552	0.675	benteng
bum	0.281	0.451	0.155	bum
bumblebee	0.469	0.493	0.321	bangbaluh
bummed	0.296	0.430	0.227	gubrak
bummer	0.163	0.500	0.267	kabeurangan
bump	0.286	0.458	0.368	nabrak
bumper	0.385	0.573	0.518	bemper
bumpy	0.306	0.683	0.419	gubrak
bun	0.424	0.306	0.268	bun
bunch	0.552	0.358	0.473	kebat
bundle	0.510	0.343	0.434	iket
bungalow	0.562	0.352	0.406	banglo
bungee	0.637	0.545	0.327	bungee
bunghole	0.286	0.426	0.396	bunghole
bunion	0.276	0.340	0.290	bunion
bunk	0.438	0.332	0.339	ranjang
bunker	0.375	0.673	0.773	bunker
bunkhouse	0.470	0.414	0.407	imah bunkhouse
bunny	0.740	0.325	0.194	kelinci
bunt	0.417	0.422	0.349	buntung
buoy	0.562	0.280	0.284	palampung
buoyancy	0.625	0.373	0.538	apungan
buoyant	0.625	0.441	0.497	ngapung
bur	0.385	0.353	0.314	bur
burden	0.367	0.583	0.697	beungbeurat
burdened	0.429	0.519	0.565	dibeungbeuratan
burdensome	0.229	0.696	0.419	ngabeuratkeun
bureau	0.562	0.373	0.618	biro
bureaucracy	0.380	0.578	0.740	birokrasi
bureaucrat	0.208	0.519	0.598	birokrat
bureaucratic	0.280	0.630	0.573	birokrasi
burger	0.688	0.568	0.398	burger
burglar	0.050	0.769	0.404	maling
burglary	0.146	0.918	0.543	papalingan
burial	0.203	0.577	0.333	pangkuburan
buried	0.133	0.530	0.370	dikubur
burke	0.466	0.441	0.451	burke
burlap	0.429	0.462	0.411	goni
burlesque	0.327	0.615	0.343	burlesque
burly	0.562	0.650	0.750	lebeng
burn	0.219	0.783	0.509	ngaduruk
burned	0.163	0.603	0.347	dibeuleum
burner	0.296	0.816	0.446	ngaduruk
burning	0.229	0.760	0.412	ngaduruk
burnished	0.520	0.580	0.464	diduruk
burnout	0.219	0.445	0.240	kabeurangan
burnt	0.082	0.713	0.356	dibeuleum
burp	0.219	0.594	0.432	burp
burr	0.390	0.426	0.308	burr
burrito	0.688	0.294	0.166	burrito
burro	0.400	0.356	0.318	burro
burrow	0.438	0.280	0.355	ngagali
bursary	0.729	0.462	0.571	bursary
burst	0.156	0.894	0.845	peupeus
bury	0.077	0.571	0.346	ngubur
bus	0.407	0.411	0.400	beus
busboy	0.510	0.453	0.441	busboy
bush	0.413	0.220	0.315	rungkun
bushel	0.417	0.387	0.368	gantang
bushy	0.562	0.321	0.427	riweuh
business	0.688	0.569	0.755	usaha
business man	0.530	0.598	0.933	lalaki bisnis
businessman	0.653	0.510	0.802	pangusaha
businesswoman	0.719	0.500	0.764	pangusaha
busload	0.561	0.481	0.492	muatan beus
buss	0.469	0.500	0.391	beus
bust	0.520	0.500	0.420	dadana
busted	0.204	0.676	0.345	didadarkeun
buster	0.469	0.491	0.483	buster
bustle	0.347	0.814	0.445	riweuh
bustling	0.490	0.850	0.528	rame
busy	0.402	0.500	0.474	sibuk
busybody	0.255	0.634	0.472	tukang sibuk
butane	0.442	0.483	0.380	butana
butcher	0.500	0.575	0.608	tukang jagal
butler	0.469	0.225	0.438	butler
butt	0.347	0.725	0.336	butut
butter	0.650	0.292	0.202	mentega
buttercup	0.562	0.482	0.422	cangkir mentega
butterfly	0.892	0.327	0.314	kukupu
buttermilk	0.633	0.311	0.304	mantega
butterscotch	0.708	0.510	0.356	butterscotch
buttery	0.625	0.318	0.303	mentega
buttock	0.429	0.600	0.288	imbit
buttocks	0.458	0.677	0.365	imbit
button	0.520	0.220	0.343	kancing
buttress	0.438	0.684	0.721	panangan
buxom	0.562	0.719	0.547	buuk
buy	0.771	0.769	0.612	meuli
buyer	0.613	0.519	0.649	nu meuli
buying	0.665	0.784	0.589	meuli
buzz	0.333	0.686	0.375	buzz
buzzard	0.350	0.500	0.225	buzzard
buzzed	0.583	0.549	0.448	buzzed
buzzer	0.549	0.716	0.480	buzzer
buzzing	0.430	0.588	0.370	buzzing
bye	0.375	0.398	0.321	aduh
bygone	0.229	0.310	0.315	kaliwat
bylaw	0.469	0.373	0.725	aturan
byline	0.469	0.450	0.435	byline
bypass	0.429	0.418	0.353	bypass
bystander	0.480	0.462	0.491	nu lalajo
byte	0.490	0.380	0.407	bait
byzantine	0.546	0.443	0.492	Bizantium
cab	0.438	0.490	0.421	taksi
cabal	0.500	0.406	0.573	cabal
cabana	0.698	0.296	0.407	cabana
cabaret	0.677	0.656	0.482	kabaret
cabbage	0.398	0.225	0.264	kol
cabbie	0.521	0.417	0.429	angkot
cabernet	0.543	0.420	0.480	cabernet
cabin	0.643	0.292	0.430	kabina-bina
cabinet	0.552	0.306	0.465	kabinét
cable	0.583	0.245	0.434	kabel
caboodle	0.529	0.521	0.325	caboodle
caboose	0.440	0.453	0.438	caboose
cabriolet	0.667	0.525	0.472	cabriolet
cache	0.552	0.348	0.389	cache
cacophony	0.408	0.562	0.440	cacophony
cactus	0.439	0.412	0.284	kaktus
cad	0.447	0.406	0.404	cad
cadaver	0.030	0.690	0.260	mayit
caddie	0.521	0.435	0.259	caddy
caddy	0.580	0.470	0.380	caddy
cadence	0.427	0.473	0.355	cadence
cadet	0.504	0.393	0.664	kadet
cafe	0.781	0.392	0.358	kafé
cafeteria	0.757	0.400	0.382	kantin
caffeine	0.562	0.759	0.500	kafein
cage	0.316	0.333	0.352	kandang
cagey	0.542	0.363	0.582	cagey
cahoots	0.312	0.696	0.474	cahoots
cairn	0.260	0.435	0.254	karikil
cake	0.810	0.375	0.287	jajan
cakewalk	0.719	0.510	0.447	cakewalk
calamari	0.521	0.312	0.406	cumi
calamitous	0.219	0.685	0.500	musibah
calamity	0.122	0.795	0.343	musibah
calcareous	0.490	0.368	0.462	calcareous
calcium	0.600	0.346	0.479	kalsium
calculate	0.490	0.452	0.440	ngitung
calculated	0.633	0.425	0.683	diitung
calculating	0.458	0.430	0.625	ngitung
calculation	0.646	0.453	0.606	itungan
calculator	0.513	0.283	0.588	kalkulator
calculus	0.360	0.360	0.562	kalkulus
calendar	0.480	0.212	0.473	kalénder
calender	0.531	0.275	0.451	kalénder
calf	0.531	0.366	0.336	anak sapi
caliber	0.429	0.551	0.606	haliber
calibrate	0.552	0.460	0.623	ngakalibrasi
calico	0.406	0.338	0.491	calik
calipers	0.480	0.510	0.481	caliper
calisthenics	0.562	0.663	0.545	calisthenics
call	0.594	0.627	0.558	nelepon
callback	0.524	0.529	0.434	telepon balik
caller	0.646	0.615	0.472	nelepon
calligraphy	0.620	0.216	0.500	kaligrafi
calling	0.646	0.590	0.483	nelepon
callous	0.245	0.500	0.386	teu karasa
calls	0.608	0.431	0.551	nelepon
calm	0.875	0.100	0.282	kalem
calming	0.885	0.105	0.360	calming
