English Word	Valence	Arousal	Dominance	Tamil Word
bearer	0.571	0.547	0.676	தாங்குபவர்
bearing	0.571	0.367	0.474	தாங்கி
bearings	0.418	0.490	0.426	தாங்கு உருளைகள்
bearish	0.521	0.549	0.324	முரட்டுத்தனமான
bearskin	0.333	0.398	0.464	கரடி தோல்
beast	0.214	0.780	0.732	மிருகம்
beastly	0.146	0.874	0.843	மிருகத்தனமான
beat	0.279	0.647	0.492	அடி
beaten	0.083	0.846	0.265	அடித்தார்கள்
beater	0.438	0.545	0.482	அடிப்பவர்
beating	0.153	0.833	0.481	அடிப்பது
beatnik	0.429	0.510	0.382	பீட்னிக்
beau	0.612	0.440	0.432	அழகி
beautification	0.885	0.575	0.725	அழகுபடுத்துதல்
beautiful	0.875	0.614	0.648	அழகு
beautify	0.898	0.592	0.736	அழகுபடுத்தும்
beauty	0.842	0.600	0.644	அழகு
beaver	0.490	0.344	0.393	நீர்நாய்
bebop	0.482	0.490	0.358	பெபாப்
beck	0.580	0.375	0.418	பெக்
beckon	0.663	0.455	0.452	அழைக்கவும்
become	0.641	0.583	0.643	ஆக
bed	0.604	0.173	0.327	படுக்கை
bedding	0.704	0.276	0.377	படுக்கை
bedpan	0.510	0.400	0.362	படுக்கையறை
bedrock	0.561	0.340	0.598	அடிப்பாறை
bedroom	0.744	0.296	0.491	படுக்கையறை
bedside	0.604	0.167	0.375	படுக்கையில்
bedspread	0.551	0.139	0.292	படுக்கை விரிப்பு
bedtime	0.673	0.314	0.373	உறங்கும் நேரம்
bee	0.520	0.509	0.309	தேனீ
beef	0.582	0.312	0.492	மாட்டிறைச்சி
beefsteak	0.594	0.391	0.455	மாட்டிறைச்சி
beehive	0.541	0.700	0.422	தேன் கூடு
beep	0.595	0.541	0.304	பீப் ஒலி
beeper	0.438	0.720	0.441	பீப்பர்
beer	0.592	0.654	0.500	பீர்
bees	0.562	0.635	0.412	தேனீக்கள்
beeswax	0.583	0.402	0.375	தேன் மெழுகு
beetle	0.323	0.356	0.295	வண்டு
befall	0.520	0.663	0.585	ஏற்படும்
befitting	0.708	0.333	0.394	பொருத்தமானது
befriend	0.930	0.624	0.471	நட்பு
befuddled	0.156	0.714	0.269	குழப்பமடைந்தது
beg	0.292	0.608	0.328	மன்றாடு
beggar	0.240	0.402	0.116	பிச்சைக்காரன்
begging	0.292	0.461	0.202	பிச்சை
begin	0.677	0.569	0.763	தொடங்கும்
beginner	0.490	0.480	0.387	தொடக்கக்காரர்
beginning	0.816	0.528	0.558	ஆரம்பம்
beginnings	0.837	0.527	0.600	தொடக்கங்கள்
begrudge	0.177	0.731	0.377	பிச்சை
begun	0.677	0.500	0.404	தொடங்கியது
behappy	0.875	0.557	0.562	மகிழ்ச்சியாக இரு
behave	0.677	0.363	0.747	நடந்துகொள்
behavior	0.594	0.442	0.813	நடத்தை
behavioral	0.612	0.440	0.708	நடத்தை
behemoth	0.583	0.781	0.853	பெஹிமோத்
behest	0.602	0.350	0.720	உத்தரவு
behold	0.610	0.284	0.449	இதோ
beholden	0.296	0.555	0.212	பார்க்கப்பட்டது
beholder	0.714	0.491	0.520	பார்ப்பவர்
beige	0.490	0.222	0.224	பழுப்பு
belated	0.240	0.400	0.214	தாமதமாக
belay	0.500	0.472	0.702	பேலே
belch	0.194	0.562	0.240	ஏப்பம்
belief	0.896	0.375	0.656	நம்பிக்கை
believable	0.866	0.390	0.676	நம்பக்கூடியது
believe	0.781	0.370	0.682	நம்பு
believed	0.500	0.562	0.547	நம்பப்படுகிறது
believer	0.725	0.445	0.564	விசுவாசி
believing	0.870	0.418	0.833	நம்பிக்கை
belittle	0.122	0.417	0.250	சிறியது
belittled	0.177	0.392	0.226	சிறுமைப்படுத்தப்பட்டது
bell	0.552	0.510	0.505	மணி
bellboy	0.542	0.363	0.302	பெல்பாய்
bellhop	0.500	0.287	0.318	பெல்ஹாப்
belligerent	0.344	0.680	0.594	போர்க்குணமிக்க
bellman	0.540	0.250	0.371	மணிமேகலை
bellow	0.248	0.337	0.212	கீழே
bellows	0.458	0.515	0.429	பெல்லோஸ்
belly	0.510	0.388	0.387	தொப்பை
bellybutton	0.531	0.283	0.360	தொப்பை பொத்தான்
bellyful	0.347	0.806	0.519	வயிறு நிறைந்த
belong	0.643	0.405	0.569	சேர்ந்தவை
belongings	0.592	0.380	0.750	உடமைகள்
beloved	0.969	0.613	0.708	காதலி
belt	0.541	0.322	0.445	பெல்ட்
beluga	0.510	0.333	0.482	பெலுகா
bemused	0.281	0.490	0.278	மயங்கினார்
bench	0.571	0.289	0.544	பெஞ்ச்
bend	0.571	0.324	0.368	வளைவு
bender	0.490	0.510	0.466	வளைந்தவர்
bending	0.448	0.565	0.455	வளைக்கும்
beneath	0.354	0.173	0.233	கீழே
benedictory	0.677	0.438	0.481	ஆசீர்வாதம்
benefactor	0.833	0.578	0.755	அருளாளர்
beneficial	0.820	0.579	0.703	நன்மை பயக்கும்
beneficiary	0.776	0.399	0.616	பயனாளி
benefit	0.906	0.422	0.806	நன்மை
benevolence	0.786	0.340	0.717	பரோபகாரம்
benevolent	0.786	0.407	0.651	நற்குணமுள்ளவர்
benign	0.694	0.440	0.509	தீங்கற்றது
bent	0.375	0.453	0.298	வளைந்தது
benzene	0.439	0.459	0.403	பென்சீன்
bequeath	0.743	0.500	0.741	உயில்
bequest	0.661	0.398	0.882	உயில்
bereaved	0.104	0.479	0.221	துக்கமடைந்தார்
bereavement	0.265	0.677	0.500	இரங்கல்
bereft	0.229	0.490	0.336	சிதைந்த
beret	0.542	0.240	0.327	பெரட்
bergamot	0.510	0.365	0.339	பர்கமோட்
berlin	0.592	0.423	0.571	பெர்லின்
berserk	0.398	0.556	0.480	வெறித்தனம்
berth	0.295	0.337	0.596	பெர்த்
beryllium	0.417	0.412	0.425	பெரிலியம்
beseech	0.330	0.441	0.600	மன்றாடு
beset	0.385	0.717	0.317	சூழ்ந்தது
bestdayever	0.760	0.646	0.593	சிறந்த நாள் எப்போதும்
bestfeeling	0.806	0.509	0.625	சிறந்த உணர்வு
bestfriends	0.934	0.662	0.647	நெருங்கிய நண்பர்கள்
bestial	0.260	0.761	0.674	மிருகத்தனமான
besties	0.888	0.509	0.614	அன்பர்கள்
bestow	0.656	0.560	0.642	அருளும்
bestseller	0.771	0.643	0.700	சிறந்த விற்பனையாளர்
bet	0.385	0.698	0.432	பந்தயம்
beta	0.710	0.370	0.439	பீட்டா
betray	0.042	0.870	0.536	காட்டிக்கொடுக்கின்றன
betrayal	0.083	0.719	0.418	துரோகம்
betrayed	0.122	0.769	0.308	காட்டிக்கொடுத்தார்
betrothed	0.833	0.630	0.667	நிச்சயிக்கப்பட்ட
betterment	0.898	0.536	0.769	முன்னேற்றம்
betting	0.237	0.804	0.411	பந்தயம்
betty	0.542	0.358	0.381	பெட்டி
bevel	0.757	0.406	0.454	வளைவு
beverage	0.635	0.490	0.389	பானம்
bevy	0.429	0.460	0.541	பெவி
beware	0.151	0.596	0.518	ஜாக்கிரதை
bewilder	0.306	0.571	0.289	திகைப்பவர்
bewildered	0.230	0.630	0.300	திகைத்தார்
bewilderment	0.312	0.716	0.216	திகைப்பு
bias	0.400	0.370	0.541	சார்பு
biased	0.271	0.302	0.368	பாரபட்சமான
bib	0.385	0.396	0.339	பைப்
bible	0.719	0.225	0.726	திருவிவிலியம்
biblical	0.635	0.304	0.712	விவிலியம்
bibliography	0.622	0.204	0.528	நூல் பட்டியல்
bicarbonate	0.479	0.337	0.438	பைகார்பனேட்
bicentennial	0.541	0.423	0.507	இருநூறாண்டு
biceps	0.592	0.588	0.602	பைசெப்ஸ்
bicker	0.143	0.643	0.552	சண்டை போடுபவர்
bickering	0.122	0.800	0.536	சச்சரவு
bicolor	0.580	0.327	0.404	இரு வண்ணம்
bicycle	0.708	0.519	0.425	மிதிவண்டி
bid	0.760	0.530	0.655	ஏலம்
bidder	0.465	0.474	0.433	ஏலதாரர்
bidding	0.586	0.644	0.509	ஏலம்
bide	0.368	0.407	0.282	ஏலம்
biennial	0.531	0.309	0.353	ஈராண்டுக்கு ஒருமுறை
bier	0.497	0.448	0.407	பையர்
bifurcation	0.385	0.625	0.352	பிளவு
big	0.802	0.588	0.812	பெரிய
bigamy	0.327	0.696	0.482	இரு மனைவியர்
bigday	0.796	0.689	0.596	பெரிய நாள்
biggestfear	0.062	0.730	0.480	மிகப்பெரிய பயம்
biggie	0.531	0.481	0.500	பெரிய
bighorn	0.480	0.547	0.580	பெரிய கொம்பு
bigmouth	0.417	0.577	0.430	பெரிய வாய்
bigot	0.479	0.745	0.517	மதவெறி
bigoted	0.153	0.760	0.462	மதவெறியர்
bigotry	0.356	0.737	0.481	மதவெறி
bike	0.708	0.500	0.333	உந்துஉருளி
biker	0.604	0.710	0.567	பைக்கர்
bikini	0.730	0.639	0.353	பிகினி
bilateral	0.633	0.343	0.491	இருதரப்பு
bilayer	0.438	0.398	0.388	இரு அடுக்கு
bile	0.157	0.461	0.324	பித்தம்
bilge	0.316	0.392	0.412	நீர்க்கட்டு
bilingual	0.735	0.490	0.606	இருமொழி
bill	0.396	0.402	0.535	ர சி து
billboard	0.594	0.317	0.481	விளம்பர பலகை
billet	0.479	0.583	0.500	உண்டியல்
billiard	0.719	0.616	0.543	பில்லியர்ட்
billiards	0.643	0.559	0.387	பில்லியர்ட்ஸ்
billing	0.406	0.481	0.670	பில்லிங்
billion	0.719	0.564	0.782	பில்லியன்
billionaire	0.806	0.667	0.923	கோடீஸ்வரன்
billy	0.490	0.397	0.375	பில்லி
bimbo	0.396	0.370	0.300	பிம்போ
bimonthly	0.408	0.298	0.471	இருமாதம்
bin	0.422	0.304	0.327	தொட்டி
binary	0.490	0.356	0.420	பைனரி
bind	0.398	0.462	0.448	கட்டுதல்
binder	0.438	0.250	0.308	பைண்டர்
bindery	0.548	0.388	0.482	பைண்டரி
binding	0.438	0.425	0.640	பிணைப்பு
bing	0.573	0.453	0.415	பிங்
binge	0.304	0.650	0.500	அளவுக்கதிகமாக
bingo	0.735	0.667	0.429	பிங்கோ
binocular	0.531	0.344	0.426	தொலைநோக்கி
binoculars	0.490	0.309	0.411	தொலைநோக்கிகள்
binomial	0.600	0.406	0.426	இருவகை
bio	0.612	0.225	0.490	உயிர்
biochemical	0.367	0.481	0.618	உயிர்வேதியியல்
biochemist	0.471	0.449	0.717	உயிர் வேதியியலாளர்
biochemistry	0.552	0.531	0.596	உயிர் வேதியியல்
biogenesis	0.594	0.442	0.697	உயிர் உருவாக்கம்
biographer	0.708	0.427	0.617	வாழ்க்கை வரலாற்றாசிரியர்
biography	0.698	0.229	0.718	சுயசரிதை
biological	0.590	0.410	0.615	உயிரியல்
biologist	0.625	0.453	0.693	உயிரியலாளர்
biology	0.479	0.274	0.546	உயிரியல்
bionic	0.571	0.570	0.788	உயிரியல்
biopsy	0.323	0.657	0.481	பயாப்ஸி
biosphere	0.684	0.351	0.579	உயிர்க்கோளம்
bipartite	0.365	0.480	0.464	இருதரப்பு
bipolar	0.208	0.685	0.426	இருமுனை
birch	0.562	0.346	0.382	பிர்ச்
bird	0.729	0.357	0.364	பறவை
birdcage	0.480	0.398	0.318	பறவைக் கூண்டு
birdie	0.594	0.394	0.407	பறவை பறவை
birdman	0.490	0.567	0.604	பறவை மனிதர்
birth	0.896	0.655	0.536	பிறப்பு
birthday	0.969	0.844	0.575	பிறந்த நாள்
birthing	0.796	0.877	0.519	பிறப்பு
birthmark	0.630	0.461	0.500	பிறப்பு குறி
birthplace	0.781	0.290	0.491	பிறந்த இடம்
birthright	0.684	0.417	0.714	பிறப்புரிமை
bis	0.440	0.420	0.345	bis
biscuit	0.888	0.260	0.231	பிஸ்கட்
bishop	0.594	0.184	0.725	பிஷப்
bison	0.573	0.433	0.557	காட்டெருமை
bisque	0.693	0.443	0.312	பிஸ்கு
bistro	0.594	0.472	0.396	பிஸ்ட்ரோ
bit	0.427	0.310	0.225	பிட்
bitch	0.276	0.740	0.343	பிச்
bitchy	0.188	0.700	0.373	பிச்சி
bite	0.219	0.796	0.510	கடி
biter	0.260	0.598	0.500	கடிக்கிற
bitsy	0.510	0.388	0.382	பிட்ஸி
bitter	0.218	0.627	0.411	கசப்பான
bitterly	0.194	0.685	0.362	கசப்பான
bitterness	0.115	0.633	0.270	கசப்பு
bittersweet	0.469	0.569	0.474	கசப்பான இனிப்பு
bitty	0.469	0.271	0.257	பிட்டி
bitumen	0.375	0.235	0.307	பிற்றுமின்
biweekly	0.581	0.337	0.455	இருவாரம்
biz	0.500	0.473	0.473	வணிகம்
bizarre	0.379	0.620	0.392	வினோதமான
blab	0.438	0.425	0.353	திட்டு
blabbermouth	0.323	0.640	0.422	திட்டுவாய்
blackberry	0.667	0.413	0.453	கருப்பட்டி
blackbird	0.520	0.340	0.405	கருங்குருவி
blackboard	0.469	0.255	0.287	கரும்பலகை
blacken	0.208	0.500	0.228	கருப்பாக்கும்
blackface	0.302	0.490	0.441	கருப்பு முகம்
blackjack	0.419	0.679	0.452	கரும்புள்ளி
blacklist	0.133	0.750	0.396	கருப்பு பட்டியல்
blackmail	0.094	0.802	0.482	மிரட்டல்
blackmailer	0.092	0.780	0.472	மிரட்டுபவர்
blackness	0.260	0.480	0.406	கருமை
blackout	0.126	0.530	0.349	இருட்டடிப்பு
blacksmith	0.480	0.531	0.702	கொல்லன்
bladder	0.406	0.412	0.330	சிறுநீர்ப்பை
blade	0.378	0.602	0.594	கத்தி
blame	0.115	0.640	0.309	பழி
blameless	0.759	0.196	0.343	குற்றமற்ற
bland	0.300	0.226	0.157	சாதுவான
blank	0.531	0.229	0.250	வெற்று
blanket	0.740	0.132	0.391	போர்வை
blare	0.439	0.561	0.519	கூச்சலிடு
blase	0.420	0.310	0.412	நெருப்பு
blasphemous	0.210	0.755	0.491	நிந்தனை
blasphemy	0.146	0.794	0.406	நிந்தனை
blast	0.167	0.929	0.777	குண்டு வெடிப்பு
blaster	0.459	0.538	0.554	பிளாஸ்டர்
blastoff	0.357	0.865	0.736	வெடிப்பு
blatant	0.327	0.677	0.675	அப்பட்டமான
blather	0.344	0.481	0.382	கோபம்
blaze	0.698	0.467	0.658	நெருப்பு
blazer	0.635	0.385	0.417	பிளேஸர்
blazing	0.594	0.896	0.735	எரியும்
bleach	0.336	0.282	0.337	ப்ளீச்
bleak	0.204	0.427	0.272	இருண்ட
bleed	0.041	0.843	0.346	இரத்தப்போக்கு
bleeder	0.260	0.852	0.356	இரத்தப்போக்கு செய்பவர்
bleeding	0.135	0.817	0.408	இரத்தப்போக்கு
bleep	0.479	0.667	0.345	தூக்கம்
blemish	0.219	0.558	0.272	களங்கம்
blemished	0.173	0.469	0.370	கறைபடிந்த
blend	0.469	0.452	0.463	கலவை
blender	0.602	0.534	0.351	கலப்பான்
blending	0.560	0.418	0.637	கலத்தல்
bless	0.929	0.269	0.588	ஆசீர்வதிப்பார்
blessed	0.910	0.279	0.696	ஆசிர்வதித்தார்
blessing	0.929	0.264	0.800	ஆசீர்வாதம்
blessings	0.929	0.361	0.623	ஆசீர்வாதங்கள்
bleu	0.460	0.354	0.379	ப்ளூ
blight	0.271	0.771	0.429	ப்ளைட்
blighted	0.146	0.615	0.296	கருகியது
blimp	0.600	0.410	0.532	பிளிம்ப்
blinded	0.245	0.471	0.231	கண்மூடித்தனமான
blindfold	0.448	0.684	0.337	கண்மூடி
blindfolded	0.208	0.564	0.209	கண்மூடித்தனமாக
blinding	0.304	0.596	0.406	கண்மூடித்தனமான
blindly	0.439	0.598	0.278	கண்மூடித்தனமாக
blindness	0.245	0.480	0.196	குருட்டுத்தன்மை
blink	0.552	0.316	0.324	கண் சிமிட்டும்
blip	0.529	0.461	0.418	தடங்கலாகவே
bliss	0.816	0.500	0.782	பேரின்பம்
blissful	0.885	0.639	0.676	ஆனந்தமான
blister	0.407	0.538	0.402	கொப்புளம்
blistering	0.344	0.569	0.390	கொப்புளங்கள்
blitz	0.417	0.722	0.789	பிளிட்ஸ்
blizzard	0.375	0.726	0.417	பனிப்புயல்
bloat	0.229	0.694	0.298	வீக்கம்
bloated	0.167	0.593	0.424	வீங்கிய
blob	0.500	0.376	0.298	பொட்டு
block	0.286	0.350	0.402	தொகுதி
blockade	0.380	0.519	0.510	முற்றுகை
blockage	0.250	0.608	0.444	அடைப்பு
blockbuster	0.730	0.676	0.883	பிளாக்பஸ்டர்
blockhead	0.163	0.333	0.148	பிளாக்ஹெட்
blog	0.639	0.390	0.432	வலைப்பதிவு
bloke	0.450	0.479	0.545	தடை
blond	0.590	0.490	0.490	இளம் பொன் நிறமான
blonde	0.698	0.545	0.412	பொன்னிற
blood	0.219	0.684	0.585	இரத்தம்
bloodbath	0.060	0.971	0.475	இரத்தக்களரி
bloodhound	0.327	0.462	0.538	மோப்பம் பிடிக்கும் வேட்டை நாய்
bloodless	0.292	0.390	0.212	இரத்தமற்ற
bloodline	0.510	0.657	0.604	இரத்தக் கோடு
bloodshed	0.048	0.942	0.525	இரத்தக்களரி
bloodshot	0.188	0.810	0.482	இரத்தக்களரி
bloodstream	0.552	0.530	0.528	இரத்த ஓட்டம்
bloodthirsty	0.052	0.804	0.644	இரத்தவெறி
bloody	0.031	0.910	0.518	இரத்தக்களரி
bloom	0.816	0.453	0.587	பூக்கும்
bloomers	0.521	0.587	0.395	பூப்பவர்கள்
blooming	0.860	0.452	0.593	பூக்கும்
blossom	0.792	0.275	0.309	மலரும்
blot	0.365	0.304	0.223	கறை
blotched	0.133	0.562	0.264	மழுங்கியது
blotter	0.360	0.298	0.280	துடைப்பவர்
blouse	0.580	0.190	0.302	ரவிக்கை
blow	0.316	0.750	0.570	அடி
blower	0.564	0.550	0.536	ஊதுபவர்
blowfish	0.344	0.420	0.389	ஊது மீன்
blowing	0.521	0.472	0.434	ஊதுகிறது
blowjob	0.460	0.784	0.387	ஊதுகுழல்
blown	0.333	0.548	0.412	ஊதப்பட்டது
blowout	0.398	0.792	0.616	ஊதுகுழல்
blowtorch	0.520	0.730	0.510	ஊதுபத்தி
blubber	0.388	0.260	0.360	மழுப்பல்
bluddy	0.312	0.528	0.442	மங்கலான
blue	0.646	0.137	0.291	நீலம்
blue spruce	0.559	0.335	0.364	நீல தளிர்
blueberry	0.656	0.185	0.365	புளுபெர்ரி
bluebird	0.573	0.350	0.450	நீல பறவை
bluegrass	0.573	0.441	0.395	புளூகிராஸ்
bluejay	0.635	0.520	0.310	ப்ளூஜெய்
blueprint	0.490	0.173	0.425	வரைபடம்
blues	0.469	0.220	0.287	ப்ளூஸ்
bluff	0.418	0.286	0.377	மங்கலான
bluish	0.604	0.245	0.382	நீலநிறம்
blunder	0.135	0.635	0.145	தவறு
blunt	0.551	0.680	0.925	மழுங்கிய
blur	0.268	0.471	0.205	தெளிவின்மை
blurred	0.320	0.367	0.231	மங்கலான
blurry	0.059	0.385	0.218	மங்கலான
blurt	0.408	0.439	0.441	மழுங்கடித்தல்
blush	0.698	0.610	0.445	வெட்கப்படுமளவிற்கு
blushing	0.510	0.789	0.288	வெட்கப்படுதல்
boa	0.255	0.569	0.542	போவா
boa constrictor	0.198	0.784	0.609	போவா கட்டுப்பான்
boar	0.406	0.500	0.351	பன்றி
board	0.592	0.255	0.385	பலகை
board game	0.711	0.490	0.349	பலகை விளையாட்டு
boarder	0.604	0.440	0.475	ஏறுபவர்
boarding	0.531	0.402	0.534	போர்டிங்
boardroom	0.555	0.566	0.661	சபை அறை
boards	0.469	0.270	0.524	பலகைகள்
boardwalk	0.643	0.481	0.549	பலகை
boast	0.520	0.586	0.569	தற்பெருமை
boastful	0.490	0.806	0.695	பெருமையடிக்கும்
boasting	0.417	0.620	0.602	பெருமை பேசுதல்
boat	0.516	0.420	0.554	படகு
boathouse	0.592	0.380	0.404	படகு இல்லம்
boating	0.638	0.613	0.557	படகு சவாரி
boatload	0.365	0.415	0.485	படகு சுமை
boatman	0.592	0.573	0.562	படகோட்டி
bobbin	0.429	0.472	0.353	பாபின்
bobcat	0.562	0.490	0.529	பாப்கேட்
bobsled	0.667	0.613	0.325	குலுக்கல்
bode	0.344	0.406	0.411	போட்
bodega	0.573	0.307	0.398	போடேகா
bodice	0.390	0.471	0.386	ரவிக்கை
bodily	0.594	0.481	0.557	உடல்
body	0.694	0.461	0.571	உடல்
bodyguard	0.510	0.710	0.754	மெய்க்காப்பாளர்
bog	0.302	0.361	0.365	சதுப்பு நிலம்
bogey	0.380	0.519	0.368	போகி
bogeyman	0.388	0.708	0.517	போகிமான்
bogus	0.219	0.353	0.144	போலி
bohemian	0.622	0.500	0.407	போஹேமியன்
boil	0.417	0.684	0.433	கொதி
boiler	0.561	0.590	0.509	கொதிகலன்
boilerplate	0.398	0.519	0.387	கொதிகலன்
boiling	0.302	0.690	0.526	கொதிக்கும்
boisterous	0.385	0.806	0.565	கொந்தளிப்பான
bold	0.490	0.271	0.483	தைரியமான
boldness	0.806	0.684	0.814	தைரியம்
bollocks	0.448	0.471	0.327	பொல்லாக்ஸ்
bolster	0.708	0.471	0.569	வலுவூட்டு
bolt	0.354	0.363	0.426	ஆணி
bolus	0.426	0.491	0.352	போலஸ்
bomb	0.167	0.912	0.750	குண்டு
bombard	0.156	0.961	0.777	குண்டுவீச்சு
bombardier	0.240	0.863	0.787	குண்டுவீச்சுக்காரர்
bombardment	0.146	0.959	0.742	குண்டுவீச்சு
bombed	0.051	0.851	0.627	குண்டு வீசப்பட்டது
bomber	0.125	0.837	0.810	குண்டுவீச்சு
bombers	0.173	0.920	0.787	குண்டுவீச்சுக்காரர்கள்
bombing	0.167	0.963	0.732	குண்டுவீச்சு
bombshell	0.327	0.868	0.693	வெடிகுண்டு
bonanza	0.875	0.410	0.683	பொனான்சா
bonbon	0.865	0.551	0.446	பான்பன்
bond	0.667	0.519	0.630	பத்திரம்
bondage	0.146	0.705	0.355	அடிமைத்தனம்
bonding	0.594	0.442	0.509	பிணைப்பு
bonds	0.740	0.472	0.583	பத்திரங்கள்
bondsman	0.469	0.497	0.675	பத்திரக்காரர்
bone	0.337	0.370	0.413	எலும்பு
bonehead	0.337	0.521	0.518	எலும்புத் தலை
boner	0.344	0.612	0.393	எலும்புக்கூடு
bones	0.281	0.343	0.358	எலும்புகள்
bonfire	0.480	0.719	0.473	நெருப்பு
bong	0.333	0.566	0.375	போங்
bonkers	0.306	0.847	0.278	பதறியடித்துக்கொண்டு
bonne	0.448	0.395	0.362	எலும்பு
bonnet	0.406	0.509	0.473	பொன்னெட்
bonny	0.561	0.404	0.444	பொன்னி
bonsai	0.714	0.235	0.375	பொன்சாய்
bonus	0.857	0.620	0.682	போனஸ்
bony	0.445	0.462	0.330	எலும்பு
boo	0.153	0.676	0.309	பூ
boob	0.694	0.600	0.392	மார்பு
booby	0.396	0.423	0.185	கண்ணி வெடி
booger	0.399	0.537	0.427	பூகர்
boogeyman	0.292	0.559	0.567	பூஜ்ஜியன்
boogie	0.590	0.543	0.400	போகி
book	0.802	0.210	0.606	நூல்
bookcase	0.553	0.221	0.490	புத்தக அலமாரி
bookie	0.344	0.633	0.618	புக்கி
booking	0.708	0.503	0.583	பதிவு
bookish	0.604	0.236	0.430	புத்தகமான
bookkeeper	0.480	0.363	0.468	புத்தகக் காப்பாளர்
bookkeeping	0.520	0.214	0.592	கணக்கு வைத்தல்
booklet	0.510	0.270	0.351	சிறு புத்தகம்
bookmaker	0.583	0.804	0.633	புத்தகத் தயாரிப்பாளர்
bookmark	0.543	0.441	0.415	புத்தககுறி
books	0.729	0.115	0.430	புத்தகங்கள்
bookseller	0.583	0.317	0.456	புத்தக விற்பனையாளர்
bookshop	0.688	0.291	0.389	புத்தகக்கடை
bookstore	0.771	0.180	0.503	புத்தகக் கடை
bookworm	0.563	0.337	0.316	புத்தகப்புழு
boom	0.604	0.655	0.731	ஏற்றம்
boomer	0.480	0.539	0.441	பூமர்
boomerang	0.531	0.625	0.500	எறிவளைதடு
booming	0.688	0.554	0.661	ஏற்றம்
boon	0.878	0.294	0.642	வரம்
boooo	0.271	0.549	0.255	booooo
boost	0.865	0.730	0.750	ஊக்கம்
booster	0.755	0.600	0.800	பூஸ்டர்
boot	0.438	0.650	0.625	துவக்க
booth	0.531	0.400	0.310	சாவடி
bootleg	0.357	0.519	0.466	பூட்லெக்
bootlegger	0.354	0.649	0.541	கொள்ளையடிப்பவர்
boots	0.602	0.255	0.350	பூட்ஸ்
booty	0.663	0.587	0.784	கொள்ளை
booze	0.265	0.745	0.431	சாராயம்
bop	0.429	0.490	0.426	பாப்
bopper	0.398	0.530	0.385	பாப்பர்
border	0.406	0.382	0.424	எல்லை
bordering	0.643	0.382	0.438	எல்லைக்கோடு
borderline	0.449	0.520	0.490	எல்லைக்கோடு
bore	0.417	0.440	0.455	சலிப்பு
boreal	0.582	0.348	0.400	பொரியல்
bored	0.153	0.167	0.196	சலித்தது
boredom	0.167	0.139	0.255	சலிப்பு
borer	0.302	0.549	0.578	துளைப்பான்
boring	0.194	0.217	0.125	சலிப்பு
born	0.865	0.509	0.591	பிறந்தார்
boron	0.441	0.370	0.375	பழுப்பம்
borough	0.429	0.343	0.380	பெருநகரம்
borrow	0.398	0.573	0.282	கடன் வாங்கு
borrower	0.439	0.423	0.763	கடன் வாங்குபவர்
bosom	0.612	0.588	0.404	மார்பு
boss	0.310	0.627	0.954	முதலாளி
bossy	0.240	0.824	0.750	முதலாளி
boston	0.643	0.380	0.580	பாஸ்டன்
botanical	0.660	0.259	0.491	தாவரவியல்
botanist	0.651	0.240	0.456	தாவரவியலாளர்
botany	0.604	0.201	0.500	தாவரவியல்
bother	0.208	0.780	0.370	தொந்தரவு
bothering	0.208	0.764	0.449	தொந்தரவு
bottle	0.469	0.236	0.336	பாட்டில்
bottleneck	0.284	0.471	0.287	இடையூறு
bottling	0.365	0.333	0.370	பாட்டில்
bottom	0.417	0.370	0.291	கீழே
bottomless	0.310	0.470	0.368	அடிமட்ட
botulism	0.292	0.575	0.386	பொட்டுலிசம்
boulder	0.461	0.309	0.531	கற்பாறை
bounce	0.375	0.633	0.386	துள்ளல்
bouncer	0.490	0.653	0.655	பவுன்சர்
bouncy	0.562	0.565	0.429	துள்ளும்
bound	0.417	0.667	0.310	கட்டுப்பட்டது
boundary	0.561	0.427	0.518	எல்லை
boundless	0.684	0.642	0.652	எல்லையற்ற
bounds	0.378	0.426	0.604	எல்லைகள்
bountiful	0.854	0.596	0.759	கொடையான
bounty	0.760	0.755	0.833	வரம்
bouquet	0.724	0.352	0.306	மலர்கொத்து
bourbon	0.602	0.490	0.517	போர்பன்
bourgeois	0.439	0.593	0.682	முதலாளித்துவ
bourgeoisie	0.357	0.417	0.767	முதலாளித்துவ வர்க்கம்
bourse	0.530	0.230	0.336	பங்குச்சந்தை
bout	0.208	0.808	0.679	போட்
boutique	0.745	0.490	0.441	பூட்டிக்
bouttime	0.588	0.373	0.410	போட் டைம்
bovine	0.449	0.255	0.353	பசு மாடு
bow	0.530	0.306	0.408	வில்
bowed	0.410	0.418	0.368	வணங்கினான்
bowel	0.306	0.417	0.391	குடல்
bowels	0.194	0.448	0.362	குடல்கள்
bowl	0.625	0.377	0.358	கிண்ணம்
bowler	0.552	0.633	0.481	பந்துவீச்சாளர்
bowling	0.656	0.431	0.309	பந்துவீச்சு
bowls	0.551	0.280	0.277	கிண்ணங்கள்
box	0.500	0.179	0.312	பெட்டி
boxcar	0.420	0.469	0.421	பெட்டி வண்டி
boxer	0.490	0.810	0.802	குத்துச்சண்டை வீரர்
boxers	0.375	0.880	0.654	குத்துச்சண்டை வீரர்கள்
boxing	0.427	0.854	0.645	குத்துச்சண்டை
boycott	0.112	0.690	0.505	புறக்கணிப்பு
boyfriend	0.781	0.604	0.547	காதலன்
boyhood	0.729	0.745	0.500	சிறுவயது
