English Word	Valence	Arousal	Dominance	Shona Word
dementia	0.092	0.779	0.337	dementia
demise	0.104	0.596	0.456	kufa
demo	0.510	0.314	0.423	demo
democracy	0.680	0.500	0.840	democracy
democrat	0.582	0.400	0.755	democrat
democratic	0.802	0.519	0.798	zvegutsaruzhinji
demographic	0.459	0.356	0.594	nhamba yevanhu
demolish	0.125	0.632	0.700	paradza
demolished	0.271	0.647	0.353	rakaputswa
demolition	0.133	0.827	0.541	kuparadza
demon	0.037	0.908	0.509	dhimoni
demonic	0.146	0.875	0.600	zvemadhimoni
demonstrable	0.735	0.471	0.749	demonstrable
demonstrate	0.771	0.552	0.839	kuratidza
demonstrated	0.617	0.500	0.649	akaratidza
demonstrating	0.698	0.571	0.693	kuratidzira
demonstration	0.551	0.676	0.679	kuratidzira
demonstrative	0.656	0.528	0.736	demonstrative
demonstrator	0.520	0.598	0.733	demonstrator
demoralized	0.082	0.590	0.149	demoralized
demos	0.418	0.370	0.368	demos
demure	0.690	0.315	0.417	demure
den	0.510	0.347	0.398	den
deniability	0.230	0.509	0.417	kuramba
denial	0.194	0.435	0.318	kuramba
denied	0.188	0.604	0.333	akaramba
denim	0.520	0.382	0.327	denim
denomination	0.490	0.363	0.429	sangano
denominational	0.458	0.375	0.679	zvesangano
denominator	0.450	0.410	0.613	denominator
denote	0.448	0.471	0.534	denote
denounce	0.083	0.780	0.426	shora
dense	0.354	0.343	0.536	dense
density	0.602	0.471	0.561	density
dent	0.306	0.606	0.325	dent
dental	0.573	0.404	0.463	mazino
dentist	0.479	0.620	0.642	chiremba wemazino
dentistry	0.429	0.570	0.569	dentistry
dentists	0.364	0.600	0.582	vanachiremba vemazino
denunciation	0.146	0.830	0.561	kushora
deny	0.316	0.667	0.321	kuramba
denying	0.080	0.542	0.272	kuramba
deodorant	0.480	0.265	0.269	deodorant
depart	0.398	0.480	0.444	ibva
departed	0.245	0.536	0.391	vakabva
department	0.708	0.358	0.642	department
departmental	0.612	0.422	0.446	vedhipatimendi
departure	0.573	0.500	0.426	kubva
depend	0.388	0.429	0.358	depend
dependable	0.880	0.357	0.741	kuvimbika
dependant	0.357	0.404	0.451	dependent
dependence	0.250	0.451	0.433	kutsamira
dependency	0.429	0.365	0.356	dependency
dependent	0.354	0.455	0.404	dependent
depict	0.663	0.529	0.723	depic
depicting	0.490	0.566	0.602	kuratidza
depletion	0.153	0.370	0.236	kupera
deplorable	0.135	0.657	0.230	zvinosiririsa
deplore	0.135	0.575	0.373	deplore
deploy	0.500	0.520	0.585	deploy
deployment	0.510	0.520	0.612	deployment
deport	0.167	0.667	0.546	kudzinga
deportation	0.104	0.786	0.450	kudzingwa
depose	0.286	0.420	0.451	depose
deposit	0.540	0.379	0.483	deposit
depositary	0.604	0.431	0.500	depositary
deposition	0.394	0.510	0.471	deposition
depository	0.551	0.373	0.481	depository
depot	0.635	0.255	0.471	depot
depraved	0.031	0.837	0.395	depraved
depravity	0.115	0.854	0.453	uori
depreciate	0.270	0.623	0.445	depreciate
depreciated	0.135	0.672	0.250	depreciated
depreciation	0.143	0.571	0.386	depreciation
depress	0.219	0.635	0.528	depress
depressed	0.024	0.445	0.136	akaora mwoyo
depressing	0.146	0.559	0.216	kuora mwoyo
depression	0.031	0.520	0.232	kuora mwoyo
depressive	0.143	0.434	0.202	kuora mwoyo
depresson	0.135	0.400	0.308	kuora mwoyo
deprivation	0.194	0.610	0.413	kunyimwa
deprive	0.271	0.591	0.340	kunyima
deprived	0.354	0.506	0.536	kunyimwa
depth	0.708	0.561	0.759	udzamu
deputy	0.429	0.530	0.787	mutevedzeri
derail	0.108	0.802	0.375	derail
deranged	0.376	0.868	0.357	deranged
derelict	0.208	0.470	0.237	kurelict
derision	0.265	0.670	0.292	kunyomba
derivation	0.521	0.519	0.644	derivation
derivative	0.541	0.491	0.508	derivative
derive	0.396	0.324	0.360	ibva
dermal	0.385	0.406	0.443	dermal
dermatologist	0.531	0.358	0.528	dermatologist
dermatology	0.422	0.500	0.556	dermatology
derogation	0.208	0.460	0.327	derogation
derogatory	0.122	0.580	0.404	derogatory
descend	0.385	0.535	0.231	buruka
descendant	0.684	0.420	0.625	muzukuru
descendent	0.391	0.480	0.565	kudzika
descending	0.219	0.493	0.250	achidzika
descent	0.300	0.402	0.158	descent
describe	0.542	0.472	0.555	tsanangura
description	0.582	0.425	0.596	tsananguro
descriptive	0.667	0.352	0.570	zvinotsanangura
desecrate	0.255	0.806	0.509	desecrate
desecration	0.125	0.833	0.564	desecration
desert	0.469	0.279	0.389	desert
deserted	0.156	0.480	0.214	deserted
deserter	0.122	0.710	0.366	deserter
desertion	0.122	0.630	0.289	desertion
deserve	0.802	0.436	0.613	zvakakodzera
deserved	0.781	0.582	0.689	zvakakodzera
deserving	0.802	0.596	0.858	zvakakodzera
design	0.796	0.327	0.632	design
designate	0.531	0.538	0.683	sarudza
designated	0.500	0.412	0.616	yakatarwa
designation	0.612	0.571	0.675	zita
designed	0.745	0.380	0.595	yakagadzirwa
designer	0.875	0.519	0.670	mugadziri
designing	0.792	0.355	0.552	kugadzira
desirability	0.684	0.550	0.675	desirability
desirable	0.740	0.735	0.750	zvinodiwa
desire	0.896	0.692	0.647	chido
desiring	0.814	0.821	0.632	kuda
desirous	0.719	0.824	0.562	desirous
desist	0.220	0.358	0.291	deist
desk	0.510	0.135	0.422	desk
desolate	0.104	0.320	0.228	dongo
desolation	0.073	0.481	0.273	dongo
despair	0.115	0.794	0.245	kupererwa
despairing	0.073	0.735	0.286	kupererwa
despatch	0.448	0.400	0.613	despatch
desperado	0.260	0.745	0.361	shuwa
desperate	0.083	0.842	0.337	kupererwa
desperation	0.125	0.904	0.419	kupererwa
despicable	0.146	0.710	0.255	zvinoshoreka
despise	0.167	0.745	0.296	zvidza
despondent	0.133	0.378	0.221	vakaora mwoyo
despotic	0.141	0.824	0.592	despotic
despotism	0.255	0.696	0.620	kudzvinyirira
dessert	0.755	0.491	0.404	dessert
destination	0.708	0.471	0.637	destination
destined	0.698	0.462	0.617	destined
destiny	0.781	0.413	0.611	destiny
destitute	0.130	0.451	0.222	vasina
destroy	0.046	0.935	0.635	kuparadza
destroyed	0.031	0.696	0.288	kuparadzwa
destroyer	0.083	0.830	0.543	muparadzi
destroying	0.041	0.828	0.660	kuparadza
destruct	0.071	0.868	0.525	destruct
destruction	0.102	0.929	0.613	kuparadza
destructive	0.177	0.870	0.713	zvinoparadza
detach	0.357	0.625	0.450	detach
detached	0.280	0.396	0.216	detached
detachment	0.243	0.700	0.443	detachment
detail	0.514	0.406	0.528	tsanangudzo
detailed	0.603	0.314	0.472	zvakadzama
details	0.583	0.367	0.481	details
detain	0.351	0.345	0.430	detain
detainee	0.306	0.510	0.321	musungwa
detect	0.531	0.520	0.565	detect
detectable	0.479	0.539	0.649	detectable
detection	0.708	0.567	0.538	kuonekwa
detective	0.500	0.764	0.901	mutikitivha
detector	0.459	0.630	0.724	detector
detention	0.265	0.698	0.562	kuvharirwa
deter	0.344	0.537	0.567	deter
detergent	0.458	0.304	0.426	detergent
deteriorate	0.083	0.471	0.202	deteriorate
deteriorated	0.053	0.549	0.237	deteriorated
deteriorating	0.104	0.459	0.112	kuderera
deterioration	0.130	0.512	0.283	kuora
determinable	0.625	0.565	0.723	determinable
determinate	0.630	0.314	0.772	determinate
determination	0.776	0.725	0.795	kutsunga
determine	0.612	0.368	0.776	sarudza
determined	0.760	0.528	0.673	kutsunga
deterrent	0.292	0.461	0.385	deterrent
detest	0.083	0.800	0.492	detest
detestation	0.177	0.637	0.412	detestation
detonate	0.375	0.850	0.696	detonate
detonation	0.167	0.931	0.741	detonation
detonator	0.207	0.875	0.750	detonator
detour	0.398	0.539	0.309	kutsauka
detract	0.344	0.438	0.368	detract
detriment	0.281	0.538	0.263	kukuvadza
detrimental	0.203	0.679	0.387	zvinokuvadza
detritus	0.276	0.353	0.363	detritus
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	deutschmark
devalued	0.321	0.462	0.212	devalued
devastate	0.021	0.796	0.509	devastate
devastated	0.120	0.544	0.264	kuparara
devastating	0.104	0.856	0.419	kuparadza
devastation	0.090	0.904	0.472	kuparadza
develop	0.771	0.670	0.821	develop
developer	0.844	0.653	0.864	developer
developing	0.833	0.587	0.714	kusimukira
development	0.827	0.500	0.796	development
deviant	0.094	0.589	0.398	kutsauka
deviate	0.173	0.562	0.269	kutsauka
deviating	0.354	0.634	0.536	kutsauka
deviation	0.105	0.513	0.336	kutsauka
device	0.562	0.404	0.627	mudziyo
devil	0.161	0.900	0.611	dhiyabhorosi
deviled	0.347	0.559	0.358	Satanid
devilish	0.073	0.865	0.490	dhiyabhorosi
devious	0.250	0.519	0.259	devious
devise	0.551	0.557	0.670	kuronga
devoid	0.219	0.436	0.300	devoid
devolution	0.345	0.434	0.425	devolution
devolve	0.367	0.427	0.596	devolve
devote	0.802	0.490	0.642	devote
devoted	0.867	0.320	0.698	devoted
devotee	0.816	0.461	0.577	devotee
devotion	0.802	0.561	0.673	kuzvipira
devotional	0.740	0.394	0.655	kunamata
devour	0.344	0.888	0.574	kudya
devout	0.620	0.357	0.464	akazvipira
dew	0.604	0.225	0.464	dova
dexter	0.458	0.473	0.444	dexter
dexterity	0.771	0.673	0.864	dexterity
dextrose	0.333	0.402	0.323	dextrose
diabetes	0.051	0.472	0.279	chirwere cheshuga
diabetic	0.125	0.269	0.237	chirwere cheshuga
diabolical	0.102	0.912	0.456	dhiyabhorosi
diagnose	0.378	0.520	0.714	kuongorora
diagnosis	0.571	0.500	0.819	kuongororwa
diagnostic	0.417	0.483	0.635	diagnostic
diagnostics	0.540	0.440	0.750	diagnostics
diagonal	0.500	0.343	0.410	diagonal
diagram	0.562	0.357	0.445	diagram
dial	0.620	0.427	0.596	dial
dialect	0.635	0.422	0.526	mutauro
dialectic	0.510	0.540	0.638	dialectic
dialogue	0.599	0.441	0.625	nhaurirano
dialysis	0.194	0.567	0.407	dialysis
diameter	0.427	0.298	0.483	dhayamita
diamond	0.910	0.606	0.769	diamond
diamonds	0.927	0.684	0.917	madhaimani
diaper	0.409	0.274	0.155	manapukeni
diaphragm	0.459	0.337	0.517	diaphragm
diarrhea	0.092	0.684	0.143	manyoka
diarrhoea	0.038	0.692	0.250	manyoka
diary	0.698	0.292	0.464	diary
diatribe	0.354	0.569	0.409	diatribe
dib	0.479	0.370	0.344	dib
dibs	0.510	0.410	0.391	dibs
dice	0.458	0.441	0.264	dice
dicey	0.290	0.833	0.727	dicey
dichotomous	0.365	0.452	0.538	dichotomous
dichotomy	0.323	0.482	0.483	dichotomy
dick	0.208	0.500	0.462	dick
dickhead	0.115	0.608	0.284	dickhead
dicks	0.310	0.694	0.358	dicks
dictate	0.480	0.423	0.668	raira
dictation	0.255	0.378	0.627	dictation
dictator	0.073	0.760	0.862	mudzvanyiriri
dictatorial	0.204	0.770	0.840	udzvinyiriri
dictatorship	0.082	0.806	0.784	udzvanyiriri
diction	0.439	0.373	0.679	diction
dictionary	0.620	0.250	0.598	duramazwi
dictum	0.385	0.510	0.528	dictum
didactic	0.645	0.480	0.673	didactic
diddle	0.429	0.566	0.393	diddle
die	0.031	0.765	0.259	kufa
died	0.021	0.650	0.327	akafa
diesel	0.490	0.327	0.448	dhiziri
diet	0.429	0.235	0.398	kudya
dietary	0.551	0.220	0.261	dietary
differ	0.230	0.398	0.396	siyana
difference	0.474	0.560	0.483	musiyano
differences	0.365	0.582	0.342	misiyano
different	0.612	0.394	0.473	zvakasiyana
differential	0.520	0.378	0.535	musiyano
differentiation	0.367	0.561	0.535	kusiyana
differently	0.480	0.431	0.506	zvakasiyana
differing	0.418	0.410	0.455	zvakasiyana
difficult	0.235	0.700	0.508	zvakaoma
difficulties	0.082	0.784	0.357	matambudziko
difficulty	0.079	0.740	0.368	kuoma
diffuse	0.430	0.431	0.321	diffuse
diffusion	0.356	0.615	0.517	diffusion
dig	0.367	0.585	0.637	dig
digest	0.720	0.413	0.483	digest
digestion	0.531	0.410	0.455	kugaya
digestive	0.542	0.413	0.434	kugaya
digit	0.447	0.286	0.333	digit
digital	0.740	0.382	0.529	digital
dignified	0.766	0.481	0.635	zvine chiremerera
dignify	0.854	0.588	0.735	chiremerera
dignity	0.844	0.391	0.873	chiremerera
digress	0.271	0.625	0.411	digress
digs	0.448	0.670	0.635	digs
dike	0.360	0.384	0.490	dike
dilapidated	0.229	0.618	0.286	dilapidated
dilatation	0.385	0.574	0.368	dilatation
dilation	0.347	0.490	0.578	dilation
dildo	0.536	0.587	0.491	dildo
dilemma	0.153	0.590	0.430	dambudziko
diligence	0.688	0.423	0.700	kushingaira
diligent	0.760	0.426	0.759	diligent
dill	0.427	0.360	0.373	dill
diluent	0.417	0.344	0.332	diluent
dilute	0.275	0.192	0.349	dilute
diluted	0.469	0.310	0.229	diluted
dilution	0.445	0.337	0.352	dilution
dim	0.398	0.321	0.273	dim
dime	0.653	0.317	0.345	dime
dimension	0.592	0.415	0.627	dimension
dimensional	0.561	0.484	0.596	dimensional
diminish	0.240	0.357	0.167	diminish
diminished	0.156	0.269	0.196	diminished
diminution	0.316	0.296	0.245	diminution
diminutive	0.323	0.200	0.109	diminutive
dimwit	0.255	0.459	0.175	dimwit
din	0.440	0.417	0.398	din
dine	0.821	0.519	0.478	dine
diner	0.643	0.302	0.538	diner
dinghy	0.510	0.269	0.325	dinghy
dingo	0.608	0.472	0.346	dingo
dingy	0.156	0.483	0.343	dingy
dining	0.724	0.350	0.459	dining
dinky	0.357	0.451	0.358	dinky
dinner	0.823	0.392	0.379	kudya kwemanheru
dinnertime	0.796	0.406	0.341	nguva yekudya kwemanheru
dinosaur	0.448	0.630	0.596	dinosaur
dint	0.378	0.480	0.492	dint
diocesan	0.520	0.283	0.518	diocesan
diocese	0.510	0.288	0.575	diocese
diorama	0.592	0.441	0.462	diorama
dioxide	0.354	0.433	0.456	diokisi
dip	0.516	0.583	0.397	dip
diploma	0.750	0.462	0.731	diploma
diplomacy	0.740	0.396	0.774	diplomacy
diplomat	0.563	0.262	0.868	diplomat
diplomatic	0.653	0.363	0.918	diplomatic
dipper	0.548	0.361	0.348	dipper
dippy	0.430	0.402	0.340	dippy
dipstick	0.365	0.312	0.316	dipstick
dire	0.214	0.660	0.259	dire
direct	0.793	0.403	0.650	zvakananga
directed	0.542	0.490	0.541	directed
direction	0.719	0.330	0.684	direction
directive	0.604	0.530	0.918	directive
directly	0.747	0.400	0.702	zvakananga
director	0.688	0.580	0.912	director
directory	0.439	0.413	0.538	directory
dirt	0.112	0.500	0.236	tsvina
dirty	0.153	0.460	0.170	tsvina
disability	0.073	0.482	0.173	hurema
disable	0.115	0.430	0.269	disable
disabled	0.308	0.443	0.235	kuremara
disadvantage	0.150	0.377	0.282	disadvantage
disaffected	0.176	0.410	0.291	kusakanganiswa
disagree	0.133	0.590	0.345	kusabvumirana
disagreeable	0.042	0.643	0.178	zvisingawirirani
disagreeing	0.255	0.643	0.350	kusabvumirana
disagreement	0.104	0.618	0.236	kusawirirana
disallow	0.156	0.519	0.424	kusabvumira
disallowed	0.135	0.500	0.328	zvisingabvumirwe
disapointment	0.104	0.418	0.231	disapointment
disappear	0.143	0.441	0.350	disappear
disappearance	0.214	0.698	0.367	kunyangarika
disappearing	0.167	0.427	0.379	kunyangarika
disappoint	0.150	0.633	0.288	disappoint
disappointed	0.071	0.472	0.241	kuodzwa mwoyo
disappointing	0.073	0.640	0.200	zvinoodza mwoyo
disappointment	0.115	0.490	0.336	kuora mwoyo
disapproval	0.085	0.551	0.367	kusatendera
disapprove	0.160	0.594	0.445	kusatendera
disapproved	0.104	0.550	0.114	kusatenderwa
disapproving	0.245	0.625	0.452	kusatendera
disarm	0.292	0.528	0.613	bvisa zvombo
disarray	0.198	0.657	0.223	disarray
disaster	0.082	0.892	0.433	njodzi
disastrous	0.071	0.741	0.439	njodzi
disband	0.302	0.491	0.417	disband
disbelief	0.188	0.409	0.373	kusatenda
disbelieve	0.188	0.441	0.352	kusatenda
disburse	0.418	0.473	0.353	disburse
disbursement	0.240	0.443	0.435	kubhadhara
disc	0.622	0.410	0.426	disc
discard	0.240	0.343	0.337	kurasa
discarded	0.229	0.460	0.308	kuraswa
discards	0.240	0.464	0.391	anorasa
discern	0.459	0.566	0.518	nzwisisa
discernible	0.427	0.441	0.481	zvinonzwisisika
discerning	0.542	0.584	0.780	kunzwisisa
discernment	0.408	0.471	0.694	kunzwisisa
discharge	0.427	0.538	0.578	discharge
disciple	0.765	0.385	0.462	mudzidzi
disciplinary	0.562	0.593	0.796	kuranga
discipline	0.615	0.471	0.806	kuranga
disciplined	0.728	0.450	0.750	kurangwa
disclaim	0.235	0.509	0.321	disclaim
disclaimer	0.367	0.571	0.542	disclaimer
disclose	0.490	0.570	0.545	zivisa
disclosed	0.271	0.575	0.546	pachena
disclosure	0.500	0.615	0.710	kuburitsa
disco	0.710	0.806	0.575	disco
discoloration	0.224	0.373	0.414	discoloration
discolored	0.204	0.340	0.269	discolored
discomfort	0.153	0.719	0.272	kusagadzikana
disconcerted	0.100	0.612	0.288	kuvhiringidzika
disconcerting	0.106	0.549	0.269	kuvhiringidza
disconnect	0.438	0.292	0.191	disconnect
disconnected	0.292	0.276	0.173	disconnected
disconnection	0.167	0.283	0.277	disconnection
disconnects	0.256	0.357	0.241	disconnects
discontent	0.240	0.530	0.263	kusagutsikana
discontinuance	0.123	0.741	0.337	discontinuance
discontinue	0.354	0.396	0.349	discontinue
discontinuity	0.303	0.439	0.250	discontinuity
discontinuous	0.233	0.409	0.316	discontinuous
discord	0.115	0.882	0.465	kusawirirana
discount	0.724	0.530	0.302	discount
discounted	0.677	0.471	0.430	kuderedzwa
discourage	0.184	0.443	0.267	kuora mwoyo
discouraged	0.220	0.304	0.090	kuora mwoyo
discouragement	0.112	0.319	0.206	kuora mwoyo
discouraging	0.167	0.469	0.281	zvinoodza mwoyo
discourse	0.410	0.550	0.803	hurukuro
discover	0.771	0.793	0.673	discover
discovery	0.823	0.627	0.814	kuwanikwa
discredit	0.075	0.529	0.355	discredit
discredited	0.112	0.491	0.182	discredited
discreet	0.552	0.216	0.532	vakangwara
discrepancy	0.260	0.643	0.417	mutsauko
discrete	0.585	0.231	0.429	discrete
discretion	0.552	0.320	0.685	kungwara
discretionary	0.520	0.365	0.446	discretionary
discriminate	0.125	0.761	0.366	rusarura
discriminating	0.160	0.783	0.462	kusarura
discrimination	0.051	0.724	0.379	rusarura
discus	0.542	0.423	0.343	discus
discuss	0.396	0.769	0.509	kurukura
discussion	0.333	0.842	0.536	hurukuro
disdain	0.153	0.446	0.441	kushora
disdainful	0.097	0.480	0.263	kuzvidza
disease	0.041	0.539	0.333	chirwere
diseased	0.123	0.510	0.134	kurwara
disembodied	0.167	0.620	0.412	disbodyed
disengage	0.406	0.529	0.304	disengage
disengagement	0.327	0.373	0.395	disengagement
disfigured	0.153	0.613	0.336	disfigured
disgrace	0.061	0.531	0.331	kunyadziswa
disgraced	0.071	0.661	0.250	kunyadziswa
disgraceful	0.082	0.702	0.240	zvinonyadzisa
disgruntled	0.104	0.658	0.442	disgruntled
disguise	0.573	0.694	0.431	disguise
disguised	0.500	0.615	0.326	disguised
disgust	0.052	0.775	0.317	kusemesa
disgusted	0.051	0.773	0.274	kusemeswa
disgusting	0.031	0.796	0.245	zvinosemesa
dish	0.552	0.255	0.264	dish
disheartened	0.153	0.343	0.238	kuora mwoyo
disheartening	0.010	0.353	0.224	zvinoodza mwoyo
dishonest	0.191	0.491	0.163	kusatendeseka
dishonesty	0.094	0.592	0.348	kusavimbika
dishonor	0.104	0.620	0.185	kunyadziswa
dishonorable	0.112	0.641	0.280	zvisina kukudzwa
dishwasher	0.480	0.296	0.324	dishwasher
disillusionment	0.051	0.519	0.190	kuora mwoyo
disinclination	0.125	0.491	0.330	disinclination
disincline	0.458	0.454	0.278	disinline
disinclined	0.385	0.442	0.364	disinclined
disinfect	0.448	0.388	0.648	disinfect
disinfectant	0.531	0.429	0.460	mushonga wekuuraya utachiona
disinfection	0.517	0.556	0.473	disinfection
disinformation	0.230	0.577	0.260	disinformation
disingenuous	0.194	0.509	0.204	diingenuous
disintegrate	0.143	0.660	0.364	disintegrate
disintegration	0.094	0.551	0.381	kuparara
disinterested	0.398	0.284	0.392	kusafarira
disjoint	0.351	0.385	0.322	disjoint
disjointed	0.323	0.518	0.365	disjointed
disjunctive	0.286	0.481	0.400	disjunctive
disk	0.573	0.423	0.412	disk
diskette	0.531	0.255	0.391	diskette
dislike	0.156	0.406	0.321	kusada
disliked	0.062	0.510	0.221	kusada
disliking	0.163	0.637	0.366	kusada
dislocated	0.125	0.625	0.200	dislocated
dislocation	0.229	0.565	0.373	dislocation
dislodge	0.214	0.769	0.356	dislodge
disloyal	0.062	0.582	0.245	kusavimbika
disloyalty	0.187	0.716	0.267	kusavimbika
dismal	0.194	0.450	0.192	dismal
dismantle	0.347	0.644	0.462	dismantle
dismay	0.314	0.681	0.459	kushungurudzika
dismayed	0.165	0.735	0.389	kuvhunduka
dismemberment	0.104	0.860	0.470	kugurwa
dismiss	0.167	0.541	0.509	dzinga
dismissal	0.153	0.723	0.271	kudzingwa basa
dismissive	0.188	0.541	0.430	dismissive
dismount	0.361	0.423	0.391	dismount
disobedience	0.051	0.868	0.369	kusateerera
disobedient	0.276	0.706	0.353	vasingateereri
disobey	0.143	0.556	0.491	kusateerera
disorder	0.115	0.816	0.218	disorder
disordered	0.210	0.714	0.288	disordered
disorderly	0.188	0.748	0.385	zvisina hurongwa
disorganized	0.052	0.507	0.184	disorganized
disorientation	0.163	0.472	0.212	disorientation
disoriented	0.227	0.643	0.227	disoriented
disown	0.153	0.637	0.368	disown
disparage	0.092	0.663	0.336	kushora
disparaging	0.102	0.626	0.411	kuzvidza
disparate	0.438	0.500	0.368	zvakasiyana
disparity	0.208	0.482	0.361	kusiyana
dispassionate	0.199	0.217	0.218	dispassionate
dispatch	0.317	0.417	0.555	dispatch
dispatcher	0.365	0.704	0.652	dispatcher
dispel	0.388	0.402	0.411	dispel
dispensary	0.406	0.380	0.606	dispensary
dispensation	0.388	0.462	0.490	kugovera
dispense	0.561	0.520	0.518	dispense
dispenser	0.583	0.392	0.470	dispenser
dispersal	0.388	0.507	0.421	dispersal
disperse	0.375	0.569	0.434	disperse
dispersed	0.344	0.490	0.274	vakapararira
dispersion	0.270	0.604	0.350	kupararira
dispirited	0.204	0.280	0.142	dispirited
displace	0.424	0.541	0.454	displace
displaced	0.281	0.472	0.291	vakadzingwa
displacement	0.276	0.531	0.481	kutama
displacency	0.500	0.528	0.642	displacency
display	0.677	0.325	0.400	kuratidza
displease	0.021	0.702	0.286	kusafadza
displeased	0.135	0.690	0.400	kusafara
displeasure	0.115	0.559	0.250	kusafara
disposable	0.271	0.439	0.250	zvinoraswa
disposal	0.135	0.608	0.396	kurasa
dispose	0.548	0.538	0.559	kurasa
disposed	0.688	0.441	0.625	disposed
disposition	0.663	0.542	0.734	maitiro
dispossessed	0.354	0.577	0.331	kutorerwa pfuma
disprove	0.375	0.625	0.613	ramba
dispute	0.219	0.750	0.585	nharo
disqualification	0.066	0.677	0.330	disqualification
disqualified	0.129	0.464	0.232	disqualified
disqualify	0.208	0.595	0.267	disqualify
disquieted	0.229	0.850	0.290	disquieted
disregard	0.177	0.647	0.308	kusaremekedza
disregarded	0.260	0.458	0.283	vasina hanya
disrelish	0.375	0.471	0.304	disrelish
disreputable	0.104	0.688	0.353	asina mukurumbira
disrepute	0.208	0.630	0.292	disrepute
disrespect	0.062	0.637	0.302	kusaremekedza
disrespectful	0.031	0.694	0.273	kusaremekedza
disrupt	0.265	0.640	0.349	kukanganisa
disrupting	0.186	0.557	0.339	kukanganisa
disruption	0.235	0.735	0.436	kukanganisa
disruptive	0.255	0.755	0.575	kukanganisa
dissatisfaction	0.115	0.663	0.202	kusagutsikana
dissatisfied	0.042	0.561	0.291	kusagutsikana
dissect	0.367	0.750	0.595	dissect
dissection	0.276	0.632	0.462	dissection
disseminate	0.562	0.608	0.750	paradzira
dissemination	0.476	0.551	0.583	kuparadzira
dissension	0.250	0.618	0.414	kukakavara
dissent	0.300	0.655	0.407	kushora
dissenting	0.208	0.552	0.366	kushora
dissertation	0.312	0.575	0.575	dissertation
disservice	0.250	0.794	0.480	kusaremekedza
dissident	0.350	0.582	0.413	dissident
dissimilar	0.276	0.461	0.472	zvakasiyana
dissipate	0.385	0.368	0.355	dissipate
dissipated	0.281	0.421	0.231	dissipated
dissociation	0.135	0.555	0.471	dissociation
dissociative	0.281	0.615	0.397	dissociative
dissolution	0.204	0.464	0.349	dissolution
dissolve	0.271	0.490	0.410	dissolve
dissonance	0.173	0.471	0.336	dissonance
dissuade	0.482	0.500	0.350	dissuade
distal	0.410	0.401	0.438	distal
distance	0.233	0.317	0.418	chinhambwe
distant	0.229	0.324	0.269	kure
distaste	0.184	0.625	0.370	distaste
distasteful	0.264	0.676	0.222	distasteful
distillate	0.500	0.347	0.382	distillate
distillation	0.396	0.436	0.575	distillation
distilled	0.427	0.573	0.500	distilled
distinct	0.542	0.578	0.509	distinct
distinction	0.584	0.571	0.750	musiyano
distinctive	0.885	0.520	0.604	distinctive
distinguish	0.675	0.471	0.600	siyanisa
distinguishable	0.635	0.530	0.727	differentable
distinguished	0.823	0.593	0.759	vakakurumbira
distinguishing	0.622	0.363	0.640	kusiyanisa
distort	0.100	0.740	0.366	distort
distorted	0.250	0.521	0.280	distorted
distortion	0.299	0.570	0.380	kukanganisa
distract	0.241	0.609	0.336	vhiringidza
distracted	0.194	0.392	0.213	kuvhiringidzwa
distracting	0.445	0.583	0.400	kuvhiringidza
distraction	0.402	0.557	0.390	kuvhiringidza
distraught	0.115	0.903	0.264	distraught
distress	0.073	0.840	0.396	kushungurudzika
distressed	0.143	0.771	0.324	kushungurudzika
distressing	0.075	0.750	0.375	zvinoshungurudza
distribute	0.643	0.596	0.709	govera
distribution	0.635	0.548	0.788	kugovera
distributor	0.702	0.447	0.718	distributor
district	0.438	0.327	0.660	wedunhu
distrust	0.060	0.670	0.276	kusavimba
disturb	0.175	0.760	0.481	kukanganisa
disturbance	0.146	0.907	0.404	kukanganisa
disturbed	0.125	0.870	0.305	kuvhiringidzwa
disturbing	0.146	0.792	0.439	kuvhiringidza
disuse	0.229	0.229	0.202	kusashandisa
disused	0.250	0.302	0.186	disused
ditch	0.357	0.364	0.322	gomba
ditto	0.449	0.418	0.411	saizvozvo
ditty	0.470	0.433	0.334	ditty
diurnal	0.714	0.296	0.443	diurnal
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	divan
dive	0.583	0.531	0.500	dive
diver	0.594	0.520	0.564	diver
diverge	0.375	0.657	0.520	diverge
divergence	0.429	0.615	0.687	divergence
divergent	0.449	0.660	0.587	divergent
diverging	0.417	0.613	0.573	diverging
divers	0.583	0.580	0.602	divers
diverse	0.562	0.519	0.604	zvakasiyana-siyana
diversified	0.602	0.538	0.549	diversified
diversify	0.656	0.588	0.464	diversify
diversion	0.740	0.821	0.714	diversion
diversionary	0.551	0.587	0.300	diversionary
diversity	0.806	0.472	0.711	zvakasiyana-siyana
divert	0.344	0.622	0.407	divert
diverting	0.396	0.571	0.537	diverting
divest	0.365	0.547	0.424	divest
divested	0.333	0.449	0.311	divested
divestment	0.302	0.509	0.382	divestment
divide	0.333	0.520	0.417	divide
divided	0.271	0.623	0.391	kupatsanurwa
dividend	0.583	0.491	0.566	dividend
divination	0.500	0.650	0.545	kushopera
divine	0.918	0.571	0.885	zvoumwari
divinity	0.896	0.559	0.774	humwari
divisible	0.323	0.462	0.411	divisible
division	0.370	0.481	0.472	division
divisor	0.344	0.517	0.455	divisor
divorce	0.042	0.700	0.385	kurambana
