English Word	Valence	Arousal	Dominance	Danish Word
example	0.542	0.337	0.510	eksempel
exasperated	0.229	0.816	0.377	irriteret
exasperation	0.214	0.833	0.483	irritation
excavate	0.583	0.613	0.635	udgrave
excavation	0.540	0.644	0.527	udgravning
excavator	0.427	0.673	0.649	gravemaskine
exceed	0.500	0.827	0.586	overstige
exceeding	0.500	0.802	0.668	overskrider
excel	0.561	0.363	0.466	Excel
excellence	0.958	0.620	0.907	fortræffelighed
excellent	0.970	0.587	0.870	fremragende
excelsior	0.700	0.625	0.611	excelsior
excepting	0.408	0.413	0.526	undtagen
exception	0.469	0.600	0.544	undtagelse
exceptional	0.806	0.740	0.933	enestående
excerpt	0.437	0.367	0.543	uddrag
excess	0.385	0.889	0.712	overskydende
excessive	0.417	0.731	0.601	overdreven
excessively	0.449	0.882	0.716	overdrevent
exchange	0.740	0.569	0.491	udveksling
excise	0.448	0.561	0.577	punktafgift
excision	0.260	0.480	0.519	excision
excitability	0.906	0.910	0.724	excitabilitet
excitable	0.803	0.939	0.629	ophidsende
excitation	0.792	0.958	0.750	excitation
excite	0.823	0.950	0.668	ophidse
excited	0.908	0.931	0.709	begejstret
excitement	0.896	0.684	0.731	spænding
exciting	0.950	0.792	0.789	spændende
exclaim	0.635	0.711	0.639	udbrød
exclamation	0.612	0.745	0.598	udråb
exclude	0.292	0.500	0.530	udelukke
excluded	0.061	0.540	0.134	udelukket
excluding	0.271	0.550	0.324	ekskl
exclusion	0.240	0.530	0.389	undtagelse
exclusive	0.792	0.630	0.653	eksklusiv
excrement	0.041	0.558	0.221	ekskrementer
excretion	0.285	0.650	0.457	udskillelse
excruciating	0.083	0.837	0.345	ulidelig
excursion	0.625	0.714	0.627	udflugt
excuse	0.240	0.696	0.318	undskyldning
exec	0.640	0.352	0.769	exec
execute	0.327	0.708	0.769	udføre
execution	0.160	0.811	0.713	udførelse
executioner	0.235	0.816	0.676	bøddel
executive	0.704	0.449	0.894	udøvende
executor	0.365	0.755	0.759	bobestyrer
exegesis	0.458	0.472	0.491	eksegese
exemplar	0.844	0.537	0.625	eksemplarisk
exemplary	0.833	0.343	0.729	eksemplarisk
exemplify	0.735	0.506	0.783	eksemplificere
exempt	0.588	0.455	0.664	fritaget
exemption	0.531	0.578	0.627	fritagelse
exercise	0.750	0.789	0.625	dyrke motion
exert	0.694	0.735	0.806	anstrenge sig
exertion	0.663	0.755	0.717	anstrengelse
exhale	0.542	0.490	0.411	ånde ud
exhaust	0.546	0.710	0.337	udstødning
exhausted	0.123	0.423	0.202	udmattet
exhaustion	0.366	0.633	0.269	udmattelse
exhaustive	0.388	0.635	0.604	udtømmende
exhibit	0.688	0.633	0.708	udstille
exhibition	0.698	0.590	0.531	udstilling
exhilarated	0.890	0.963	0.759	opstemt
exhilarating	0.917	0.823	0.810	spændende
exhilaration	0.792	0.868	0.783	opstemthed
exhort	0.378	0.660	0.745	formane
exhortation	0.531	0.624	0.580	formaning
exhumation	0.177	0.586	0.473	opgravning
exhume	0.184	0.627	0.452	grave op
exigent	0.385	0.611	0.792	påkrævet
exile	0.184	0.630	0.483	eksil
exist	0.857	0.421	0.788	eksisterer
existence	0.760	0.513	0.771	eksistens
existent	0.635	0.490	0.635	eksisterende
existential	0.583	0.510	0.638	eksistentielle
existing	0.802	0.344	0.750	eksisterende
exit	0.370	0.353	0.399	Afslut
exodus	0.286	0.663	0.567	udvandring
exonerate	0.592	0.500	0.538	frifinde
exorbitant	0.398	0.865	0.825	ublu
exorcism	0.163	0.980	0.557	eksorcisme
exorcist	0.219	0.906	0.716	eksorcist
exotic	0.840	0.711	0.727	eksotisk
expand	0.792	0.559	0.686	udvide
expanded	0.760	0.406	0.689	udvidet
expanse	0.594	0.529	0.689	vidde
expansion	0.776	0.618	0.787	udvidelse
expansive	0.708	0.650	0.778	ekspansiv
expatriate	0.265	0.764	0.391	udstationeret
expect	0.469	0.327	0.377	forventer
expectance	0.552	0.724	0.660	forventning
expectancy	0.581	0.622	0.558	forventning
expectant	0.708	0.650	0.474	forventningsfulde
expectation	0.771	0.690	0.707	forventning
expected	0.729	0.412	0.545	forventet
expecting	0.561	0.450	0.302	forventer
expediency	0.604	0.443	0.703	hensigtsmæssighed
expedient	0.885	0.461	0.454	formålstjenlig
expedite	0.571	0.858	0.798	fremskynde
expedition	0.735	0.802	0.620	ekspedition
expeditious	0.602	0.645	0.773	hurtig
expel	0.281	0.725	0.452	bortvise
expendable	0.479	0.490	0.423	undværlig
expenditure	0.250	0.608	0.603	udgifter
expense	0.317	0.451	0.377	bekostning
expenses	0.240	0.633	0.396	udgifter
expensive	0.323	0.540	0.530	dyrt
experience	0.827	0.618	0.905	erfaring
experienced	0.771	0.613	0.914	erfarne
experiences	0.793	0.647	0.795	erfaringer
experiment	0.479	0.720	0.675	eksperiment
experimental	0.417	0.764	0.396	eksperimentel
experimentation	0.637	0.769	0.767	eksperimentering
experimenter	0.708	0.710	0.700	eksperimentator
expert	0.776	0.646	0.911	ekspert
expertise	0.792	0.589	0.925	ekspertise
expiration	0.265	0.539	0.463	udløb
expire	0.573	0.745	0.702	udløbe
expired	0.198	0.394	0.200	udløbet
expiry	0.194	0.434	0.382	udløb
explain	0.719	0.517	0.736	forklare
explanation	0.615	0.610	0.825	forklaring
explanatory	0.573	0.433	0.688	forklarende
expletive	0.357	0.567	0.536	eksplosiv
explication	0.510	0.445	0.602	forklaring
explicit	0.562	0.694	0.734	eksplicit
explode	0.277	0.885	0.773	eksplodere
exploit	0.312	0.878	0.660	udnytte
exploitation	0.156	0.920	0.718	udnyttelse
exploration	0.594	0.650	0.773	udforskning
exploratory	0.653	0.690	0.698	undersøgende
explore	0.776	0.660	0.727	udforske
explorer	0.729	0.663	0.714	opdagelsesrejsende
explosion	0.167	0.960	0.767	eksplosion
explosions	0.123	0.860	0.594	eksplosioner
explosive	0.156	0.943	0.663	eksplosiv
expo	0.610	0.562	0.500	udstilling
exponent	0.529	0.510	0.845	eksponent
exponential	0.704	0.588	0.763	eksponentiel
export	0.567	0.661	0.755	eksport
exportation	0.760	0.633	0.673	eksport
expose	0.344	0.643	0.537	udsætte
exposed	0.471	0.661	0.509	udsat
exposition	0.521	0.627	0.655	udstilling
expository	0.706	0.653	0.636	udstillingssted
exposure	0.570	0.830	0.630	eksponering
expound	0.438	0.575	0.740	redegøre for
express	0.760	0.623	0.691	udtrykke
expression	0.790	0.650	0.721	udtryk
expressive	0.755	0.724	0.685	udtryksfulde
expressway	0.633	0.635	0.587	motorvej
expropriation	0.188	0.735	0.788	ekspropriation
expulsion	0.190	0.790	0.529	udvisning
exquisite	0.892	0.644	0.604	udsøgt
exquisitely	0.849	0.728	0.723	udsøgt
extant	0.646	0.390	0.523	eksisterende
extend	0.646	0.570	0.689	forlænge
extendable	0.660	0.592	0.722	kan forlænges
extended	0.570	0.304	0.649	udvidet
extension	0.490	0.510	0.529	udvidelse
extensive	0.635	0.520	0.760	stor
extent	0.646	0.451	0.602	grad
exterior	0.542	0.400	0.627	ydre
exterminate	0.177	0.857	0.736	udrydde
extermination	0.190	0.860	0.616	udryddelse
exterminator	0.344	0.804	0.887	udrydder
external	0.479	0.341	0.509	ydre
externally	0.643	0.521	0.568	eksternt
extinct	0.112	0.491	0.412	uddøde
extinction	0.104	0.750	0.611	udryddelse
extinguish	0.240	0.576	0.482	slukke
extinguisher	0.707	0.379	0.543	ildslukker
extol	0.582	0.667	0.456	hylde
extort	0.052	0.827	0.570	afpresse
extortion	0.112	0.868	0.630	afpresning
extra	0.656	0.551	0.745	ekstra
extract	0.565	0.402	0.519	uddrag
extracting	0.521	0.709	0.689	udvinding
extraction	0.418	0.740	0.526	udvinding
extractor	0.302	0.536	0.519	udtrækker
extracurricular	0.457	0.471	0.743	udenomslære
extradition	0.229	0.627	0.554	udlevering
extrajudicial	0.365	0.686	0.667	udenretslig
extramural	0.336	0.559	0.537	ekstramural
extraneous	0.276	0.625	0.478	fremmede
extraordinaire	0.847	0.864	0.898	ekstraordinære
extraordinary	0.969	0.728	0.860	ekstraordinær
extraterrestrial	0.510	0.833	0.792	udenjordisk
extravagance	0.531	0.802	0.700	ekstravagance
extravagant	0.720	0.763	0.812	ekstravagant
extravaganza	0.646	0.786	0.906	ekstravaganza
extreme	0.318	0.800	0.721	ekstrem
extreme anticipation	0.551	0.740	0.704	ekstrem forventning
extreme disgust	0.052	0.873	0.456	ekstrem afsky
extreme surprise	0.833	0.935	0.676	ekstrem overraskelse
extreme trust	0.826	0.713	0.922	ekstrem tillid
extremely	0.635	0.827	0.886	ekstremt
extremely negative	0.030	0.786	0.311	yderst negativ
extremely positive	0.993	0.730	0.839	yderst positiv
extremity	0.408	0.588	0.583	ekstremitet
extricate	0.542	0.510	0.543	frigøres
extrinsic	0.510	0.479	0.636	ydre
extrusion	0.229	0.660	0.545	ekstrudering
exuberance	0.698	0.816	0.787	overflod
exude	0.375	0.519	0.411	udstråler
eye	0.531	0.265	0.425	øje
eyeball	0.526	0.422	0.420	øjeæblet
eyebrow	0.510	0.198	0.222	øjenbryn
eyeful	0.802	0.500	0.676	øjenfuld
eyeglass	0.531	0.236	0.286	briller
eyeglasses	0.561	0.269	0.306	briller
eyelash	0.480	0.250	0.278	øjenvipper
eyelet	0.632	0.298	0.346	øje
eyeliner	0.688	0.349	0.347	eyeliner
eyepiece	0.418	0.347	0.480	okular
eyes	0.760	0.279	0.432	øjne
eyesight	0.750	0.226	0.343	synet
eyewitness	0.541	0.686	0.698	øjenvidne
fab	0.490	0.380	0.406	fab
fable	0.663	0.387	0.389	fabel
fabled	0.625	0.538	0.545	sagnomspundne
fabric	0.635	0.190	0.345	stof
fabricate	0.636	0.491	0.779	fremstille
fabricated	0.418	0.427	0.555	fabrikeret
fabrication	0.573	0.587	0.705	fremstilling
fabulous	0.979	0.660	0.797	fabelagtig
facade	0.520	0.333	0.518	facade
face	0.571	0.173	0.453	ansigt
faceless	0.230	0.406	0.173	ansigtsløse
facet	0.667	0.324	0.382	facet
facial	0.594	0.429	0.433	ansigtsbehandling
facile	0.740	0.264	0.307	let
facilitate	0.812	0.333	0.509	lette
facility	0.625	0.500	0.654	anlæg
facing	0.604	0.406	0.550	over
facsimile	0.490	0.500	0.543	faksimile
fact	0.683	0.333	0.618	faktum
faction	0.469	0.430	0.448	fraktion
factor	0.635	0.365	0.678	faktor
factory	0.500	0.500	0.683	fabrik
facts	0.688	0.471	0.693	fakta
factual	0.656	0.440	0.545	faktuel
faculties	0.643	0.431	0.760	fakulteter
faculty	0.615	0.412	0.732	fakultet
fad	0.663	0.520	0.570	fadæse
fade	0.354	0.333	0.245	falme
faded	0.302	0.275	0.194	falmet
faeces	0.184	0.476	0.175	afføring
fag	0.122	0.653	0.331	fag
faggot	0.219	0.643	0.292	fagot
fail	0.177	0.578	0.154	svigte
failing	0.125	0.490	0.268	fejler
failure	0.167	0.575	0.139	fiasko
fain	0.479	0.417	0.426	fain
faint	0.063	0.429	0.167	svag
fainting	0.333	0.510	0.214	besvimelse
fair	0.812	0.557	0.643	retfærdig
fairly	0.790	0.406	0.750	retfærdigt
fairness	0.740	0.317	0.552	retfærdighed
fairway	0.541	0.510	0.500	fairway
fairy	0.776	0.408	0.413	fe
faith	0.833	0.220	0.763	tro
faithful	0.888	0.333	0.627	trofast
faithfulness	0.833	0.426	0.602	trofasthed
faithless	0.102	0.683	0.304	troløse
fake	0.073	0.554	0.268	falsk
faker	0.245	0.630	0.480	faker
falafel	0.560	0.402	0.351	falafel
falcon	0.557	0.580	0.678	falk
fall	0.177	0.657	0.221	efterår
fallacious	0.271	0.587	0.390	fejlagtigt
fallacy	0.112	0.561	0.430	fejlslutning
fallback	0.458	0.358	0.508	Falde tilbage
fallible	0.365	0.537	0.402	fejlbarlig
falling	0.202	0.716	0.306	falder
fallopian	0.297	0.390	0.464	æggeleder
fallout	0.428	0.356	0.373	falde ud
fallow	0.375	0.368	0.464	brak
false	0.120	0.404	0.240	falsk
falsehood	0.031	0.625	0.384	falskhed
falsely	0.083	0.480	0.265	falsk
falsification	0.173	0.720	0.490	forfalskning
falsified	0.042	0.630	0.306	forfalsket
falsify	0.115	0.657	0.409	forfalske
falsity	0.120	0.689	0.186	falskhed
falter	0.421	0.650	0.346	vakle
fame	0.896	0.755	0.852	berømmelse
famed	0.878	0.750	0.819	berømt
familiar	0.906	0.330	0.615	velkendt
familiarity	0.854	0.346	0.616	fortrolighed
familiarize	0.760	0.365	0.654	gøre sig bekendt
family	0.968	0.383	0.643	familie
familytime	0.939	0.420	0.679	familie tid
famine	0.163	0.679	0.310	hungersnød
famished	0.177	0.654	0.282	hungersnød
famous	0.916	0.775	0.882	berømt
famously	0.856	0.765	0.787	berømt
fan	0.781	0.429	0.357	ventilator
fanatic	0.573	0.780	0.629	fanatisk
fanatical	0.555	0.830	0.714	fanatisk
fanaticism	0.292	0.896	0.566	fanatisme
fanciful	0.677	0.592	0.342	fantasifulde
fancy	0.854	0.673	0.534	fancy
fandango	0.490	0.591	0.429	fandango
fanfare	0.656	0.640	0.437	fanfare
fang	0.175	0.491	0.455	hugtænd
fangs	0.286	0.598	0.434	hugtænder
fanning	0.615	0.330	0.236	vifter
fantasia	0.898	0.694	0.436	fantasia
fantasize	0.771	0.660	0.356	fantasere
fantastic	0.969	0.696	0.831	fantastisk
fantasy	0.880	0.627	0.474	fantasi
faraway	0.365	0.356	0.285	langt væk
farce	0.265	0.667	0.246	farce
farcical	0.406	0.481	0.259	farceagtig
fare	0.490	0.425	0.645	billetpris
farewell	0.130	0.500	0.591	farvel
farm	0.781	0.327	0.297	gård
farmer	0.677	0.432	0.464	landmand
farmhouse	0.690	0.330	0.444	stuehus
farming	0.580	0.414	0.568	landbrug
farmland	0.729	0.363	0.509	landbrugsjord
faro	0.544	0.349	0.357	faro
fart	0.194	0.439	0.264	prut
farther	0.418	0.500	0.430	fjernere
fascia	0.480	0.366	0.356	fascia
fascinate	0.854	0.683	0.802	fascinere
fascinated	0.812	0.714	0.788	fascineret
fascinating	0.979	0.817	0.784	spændende
fascination	0.885	0.773	0.835	fascination
fascism	0.104	0.740	0.695	fascisme
fascist	0.200	0.755	0.527	fascist
fashion	0.827	0.616	0.589	mode
fashionable	0.750	0.510	0.605	på mode
fastball	0.688	0.679	0.575	fastball
fasten	0.458	0.585	0.529	fastgøre
fastener	0.577	0.377	0.491	fastgørelsesmiddel
fastening	0.594	0.473	0.554	fastgørelse
fasting	0.388	0.370	0.394	faste
fat	0.198	0.353	0.237	fed
fatal	0.061	0.775	0.509	fatal
fatalism	0.208	0.694	0.631	fatalisme
fatality	0.062	0.798	0.595	dødsfald
fate	0.571	0.479	0.712	skæbne
fated	0.582	0.472	0.692	skæbnesvangre
fateful	0.290	0.583	0.402	skæbnesvangre
fathead	0.296	0.527	0.463	fedthoved
father	0.812	0.333	0.824	far
fatherhood	0.885	0.519	0.682	faderskab
fatherland	0.729	0.469	0.778	fædreland
fatherly	0.865	0.363	0.712	faderlig
fathom	0.520	0.410	0.523	begribe
fatigue	0.173	0.378	0.265	træthed
fatigued	0.146	0.433	0.245	træt
fatso	0.286	0.394	0.336	fatso
fatten	0.375	0.549	0.363	fede
fatty	0.286	0.361	0.325	fed
faucet	0.427	0.278	0.356	vandhane
fault	0.188	0.558	0.184	fejl
faultless	0.792	0.500	0.741	fejlfri
faulty	0.184	0.520	0.378	defekt
faun	0.490	0.303	0.376	faun
fauna	0.646	0.346	0.404	fauna
faux	0.291	0.490	0.204	faux
favor	0.812	0.308	0.519	gunst
favorable	0.952	0.380	0.788	gunstige
favorite	0.885	0.590	0.691	favorit
favoriteholiday	0.867	0.618	0.582	favoritferie
favoritism	0.582	0.559	0.658	favorisering
fawn	0.626	0.360	0.284	fawn
fax	0.406	0.368	0.304	fax
faze	0.417	0.515	0.382	faze
fear	0.073	0.840	0.293	frygt
feared	0.240	0.733	0.509	frygtede
fearful	0.083	0.482	0.278	bange
fearfully	0.112	0.567	0.271	frygtsomt
fearing	0.125	0.566	0.256	frygter
fearless	0.810	0.806	0.760	frygtløs
fears	0.061	0.821	0.306	frygt
fearsome	0.115	0.900	0.586	frygtfuld
feasibility	0.653	0.490	0.741	gennemførlighed
feasible	0.694	0.388	0.611	gennemførlig
feast	0.979	0.724	0.680	fest
feat	0.750	0.706	0.849	bedrift
feather	0.677	0.208	0.144	fjer
feathered	0.438	0.288	0.214	fjerklædte
feature	0.667	0.314	0.679	funktion
features	0.667	0.433	0.509	funktioner
febrile	0.429	0.578	0.414	febril
fecal	0.255	0.528	0.213	fækal
feces	0.240	0.407	0.307	afføring
fecundity	0.688	0.591	0.683	frugtbarhed
fed	0.602	0.370	0.482	fodret
federal	0.530	0.459	0.859	føderale
federation	0.633	0.354	0.763	føderation
fedup	0.327	0.500	0.352	træt af
fee	0.354	0.386	0.556	betaling
feeble	0.157	0.280	0.109	svag
feed	0.812	0.429	0.739	foder
feedback	0.622	0.557	0.645	feedback
feeder	0.604	0.452	0.713	feeder
feel	0.802	0.602	0.596	føle
feelgood	0.990	0.441	0.621	have det godt
feeling	0.806	0.329	0.531	følelse
feelingdown	0.490	0.457	0.567	føle sig nede
feelinggood	0.940	0.449	0.655	føle sig godt tilpas
feet	0.510	0.240	0.292	fødder
feign	0.340	0.394	0.356	foregive
feigned	0.173	0.602	0.333	foregivet
feisty	0.592	0.853	0.789	feisty
felicity	0.913	0.704	0.793	lykke
feline	0.615	0.745	0.509	kattedyr
fell	0.255	0.462	0.250	faldt
feller	0.406	0.622	0.617	falder
fellow	0.745	0.298	0.570	fyr
fellowship	0.900	0.429	0.778	fællesskab
felon	0.111	0.898	0.455	forbryder
felony	0.206	0.808	0.472	forbrydelse
felt	0.643	0.417	0.566	følte
feminine	0.802	0.520	0.394	feminin
femininity	0.750	0.479	0.451	femininitet
feminism	0.541	0.570	0.636	feminisme
femme	0.551	0.529	0.398	femme
femoral	0.417	0.324	0.566	lårben
femur	0.408	0.289	0.413	lårben
fen	0.490	0.276	0.379	fen
fence	0.500	0.198	0.398	hegn
fenced	0.323	0.430	0.429	indhegnet
fencing	0.542	0.654	0.539	hegn
fend	0.646	0.731	0.537	afværge
fender	0.369	0.459	0.476	fender
fennel	0.573	0.277	0.389	fennikel
ferment	0.375	0.531	0.418	gære
fermentation	0.420	0.567	0.473	gæring
fern	0.602	0.240	0.290	bregne
ferocious	0.167	0.915	0.776	glubsk
ferocity	0.235	0.906	0.746	vildskab
ferret	0.385	0.391	0.398	ilder
ferry	0.604	0.509	0.389	færge
ferryboat	0.594	0.452	0.553	færge
fertile	0.888	0.408	0.704	frodige
fertility	0.885	0.529	0.726	fertilitet
fertilize	0.708	0.443	0.542	befrugte
fertilizer	0.438	0.463	0.565	gødning
fervent	0.646	0.632	0.773	brændende
fervor	0.573	0.769	0.651	inderlighed
fess	0.395	0.420	0.370	fess
fest	0.704	0.574	0.402	fest
festival	0.870	0.706	0.714	festival
festive	0.854	0.740	0.764	festlig
fetal	0.388	0.308	0.364	foster
fetch	0.479	0.363	0.491	hente
fete	0.580	0.551	0.465	fest
fetish	0.307	0.706	0.500	fetich
fetus	0.479	0.519	0.395	foster
feud	0.146	0.796	0.312	fejde
feudal	0.367	0.370	0.610	feudal
feudalism	0.229	0.465	0.607	feudalisme
fever	0.194	0.674	0.364	feber
feverish	0.385	0.696	0.436	febrilsk
fiancee	0.959	0.626	0.556	forlovede
fiasco	0.167	0.600	0.200	fiasko
fiat	0.520	0.418	0.446	Fiat
fib	0.438	0.510	0.361	fib
fiber	0.719	0.284	0.390	fiber
fiberglass	0.451	0.451	0.443	glasfiber
fibrosis	0.160	0.469	0.546	fibrose
fibrous	0.480	0.441	0.464	fibrøse
fickle	0.406	0.481	0.346	vægelsindet
fiction	0.438	0.657	0.441	fiktion
fictional	0.430	0.490	0.340	fiktive
fictitious	0.224	0.444	0.293	fiktive
fiddle	0.571	0.449	0.391	violin
fiddler	0.615	0.580	0.500	violinist
fidelity	0.765	0.580	0.709	Troskab
fidgety	0.229	0.786	0.351	urolig
fiduciary	0.375	0.400	0.509	tillidsmand
field	0.640	0.380	0.336	Mark
field hockey	0.602	0.786	0.518	landhockey
fielder	0.583	0.378	0.415	markspiller
fiend	0.146	0.903	0.608	djævel
fiendish	0.167	0.846	0.591	djævelsk
fierce	0.281	0.877	0.759	voldsom
fiery	0.418	0.850	0.721	brændende
fiesta	0.927	0.779	0.655	fiesta
fiesty	0.571	0.663	0.472	festlig
fifteen	0.490	0.290	0.443	femten
fifty	0.571	0.368	0.439	halvtreds
fig	0.573	0.390	0.339	fig
fight	0.531	0.868	0.809	kæmpe
fighter	0.637	0.760	0.898	fighter
fighting	0.292	0.885	0.783	kæmper
fights	0.070	0.920	0.712	kampe
figment	0.552	0.316	0.533	opdigtning
figurative	0.479	0.450	0.634	figurativ
figure	0.688	0.328	0.509	figur
figurine	0.760	0.283	0.258	figur
filament	0.510	0.452	0.377	filament
filamentous	0.531	0.480	0.516	filamentøse
file	0.480	0.316	0.463	fil
filet	0.615	0.392	0.291	filet
filibuster	0.271	0.714	0.508	filibuster
filigree	0.576	0.408	0.514	filigran
filing	0.620	0.420	0.700	arkivering
filings	0.323	0.412	0.340	ansøgninger
fill	0.729	0.449	0.637	fylde
filler	0.531	0.347	0.529	fyldstof
fillet	0.745	0.415	0.378	filet
filling	0.510	0.382	0.525	fyldning
filly	0.479	0.564	0.519	hoppeføl
film	0.823	0.491	0.566	film
filmmaker	0.704	0.510	0.635	filmskaber
filmy	0.583	0.510	0.425	filmagtig
filter	0.440	0.296	0.260	filter
filth	0.194	0.592	0.319	snavs
filthy	0.115	0.714	0.321	beskidt
filtration	0.407	0.520	0.255	filtrering
fin	0.333	0.340	0.377	fin
final	0.276	0.575	0.508	endelig
finale	0.406	0.330	0.468	finale
finalist	0.833	0.686	0.736	finalist
finality	0.615	0.368	0.627	endelighed
finalize	0.556	0.550	0.578	afslutte
finalized	0.245	0.210	0.608	afsluttet
finally	0.583	0.433	0.465	langt om længe
finance	0.753	0.431	0.843	finansiere
financial	0.667	0.500	0.722	finansiel
financier	0.602	0.500	0.778	finansmand
finch	0.438	0.444	0.358	finke
find	0.774	0.555	0.580	finde
finder	0.360	0.550	0.630	finder
finding	0.796	0.469	0.664	finde
fine	0.823	0.240	0.647	bøde
finery	0.562	0.479	0.636	pynt
finesse	0.740	0.387	0.412	finesse
finger	0.321	0.264	0.291	finger
fingernail	0.418	0.415	0.153	fingernegl
fingerprint	0.583	0.404	0.570	fingeraftryk
fingerscrossed	0.573	0.540	0.356	med krydsede fingre
finish	0.471	0.429	0.545	Afslut
finished	0.510	0.387	0.570	færdig
finite	0.384	0.347	0.293	begrænset
fink	0.410	0.514	0.439	fink
fir	0.521	0.275	0.306	gran
fire	0.380	0.804	0.635	brand
firearm	0.086	0.943	0.864	skydevåben
firearms	0.220	0.943	0.821	skydevåben
fireball	0.302	0.777	0.664	ildkugle
firecracker	0.474	0.741	0.434	fyrværkeri
firefight	0.153	0.920	0.664	ildkamp
firefighter	0.637	0.770	0.773	brandmand
firefly	0.622	0.410	0.363	ildflue
firehouse	0.594	0.689	0.627	brandhus
firelight	0.677	0.504	0.639	ildlys
fireman	0.583	0.745	0.755	brandmand
fireplace	0.667	0.380	0.417	ildsted
firepower	0.375	0.941	0.810	ildkraft
fireproof	0.684	0.679	0.723	brandsikker
fireside	0.684	0.377	0.394	ildsted
firestorm	0.180	0.929	0.766	ildstorm
firewall	0.485	0.602	0.629	firewall
firewood	0.520	0.348	0.263	brænde
firework	0.786	0.904	0.593	fyrværkeri
fireworks	0.735	0.863	0.579	fyrværkeri
firing	0.188	0.931	0.803	fyring
firm	0.635	0.380	0.728	firma
firmament	0.750	0.407	0.660	firmament
firmly	0.786	0.510	0.777	fast
firmness	0.823	0.479	0.939	fasthed
first	0.625	0.500	0.788	først
firstborn	0.786	0.490	0.695	førstefødte
firstworldprobs	0.458	0.612	0.483	firstworldprobs
fiscal	0.500	0.582	0.845	skattemæssige
fish	0.510	0.280	0.250	fisk
fisherman	0.656	0.461	0.546	fisker
fishery	0.574	0.503	0.519	fiskeri
fishing	0.677	0.283	0.405	fiskeri
fishing boat	0.521	0.403	0.627	fiskebåd
fishy	0.224	0.601	0.471	fiskeagtig
fissile	0.333	0.490	0.380	fissile
fission	0.386	0.500	0.567	fission
fissure	0.333	0.510	0.431	sprække
fist	0.333	0.686	0.481	næve
fistfight	0.208	0.902	0.543	nævekamp
fistful	0.500	0.509	0.500	knytnæve
fistula	0.312	0.481	0.330	fistel
fit	0.604	0.450	0.632	passe
fitness	0.875	0.529	0.810	fitness
fits	0.571	0.363	0.580	passer
fitted	0.507	0.404	0.673	monteret
fitting	0.612	0.441	0.638	montering
fittings	0.531	0.404	0.409	beslag
five	0.510	0.221	0.298	fem
fiver	0.458	0.469	0.517	femmer
fix	0.760	0.538	0.519	rette op
fixable	0.724	0.470	0.645	fikserbar
fixation	0.562	0.459	0.655	fiksering
fixed	0.684	0.167	0.509	fast
fixer	0.633	0.375	0.606	fixer
fixture	0.663	0.216	0.409	armatur
fixtures	0.643	0.330	0.370	inventar
fizz	0.459	0.708	0.349	bruse
fjord	0.510	0.404	0.463	fjord
flabbergast	0.480	0.679	0.547	flabbergast
flabbergasted	0.312	0.802	0.342	forbløffet
flabby	0.292	0.358	0.250	slap
flaccid	0.156	0.400	0.151	slap
flag	0.592	0.378	0.536	flag
flagging	0.521	0.519	0.509	flagning
flagpole	0.500	0.394	0.458	flagstang
flagrant	0.286	0.673	0.455	flagrant
flagship	0.592	0.587	0.703	flagskib
flagstaff	0.520	0.517	0.500	flagstang
flair	0.775	0.471	0.676	flair
flak	0.390	0.600	0.600	flage
flake	0.385	0.388	0.289	flage
flaky	0.363	0.509	0.279	flagende
flamboyant	0.615	0.794	0.705	flamboyant
flame	0.448	0.574	0.615	flamme
flamethrower	0.160	0.882	0.683	flammekaster
flaming	0.406	0.645	0.558	flammende
flamingo	0.667	0.451	0.482	flamingo
flammable	0.216	0.800	0.715	brandfarlig
flan	0.604	0.304	0.198	flan
flange	0.500	0.306	0.390	flange
flank	0.448	0.458	0.443	flanke
flanked	0.333	0.431	0.368	flankeret
flanking	0.490	0.622	0.519	flankerende
flannel	0.490	0.250	0.327	flannel
flap	0.275	0.385	0.344	klap
flapping	0.458	0.728	0.404	flagrende
flare	0.558	0.823	0.508	blusse
flares	0.580	0.642	0.556	blusser
flaring	0.625	0.771	0.509	afbrænding
flash	0.571	0.590	0.657	blitz
flashback	0.265	0.400	0.485	tilbageblik
flashing	0.604	0.574	0.438	blinkende
flashlight	0.653	0.414	0.356	lommelygte
flashy	0.704	0.600	0.827	prangende
flask	0.418	0.412	0.454	kolbe
flat	0.408	0.236	0.303	flad
flatbed	0.490	0.250	0.380	flatbed
flatfoot	0.265	0.333	0.330	flad fod
flatness	0.479	0.280	0.527	fladhed
flatten	0.286	0.469	0.442	flade
flatter	0.521	0.418	0.302	smigre
flattered	0.865	0.608	0.708	smigret
flattering	0.755	0.686	0.500	smigrende
flattery	0.470	0.575	0.404	smiger
flatulence	0.210	0.632	0.343	flatulens
flaunt	0.438	0.611	0.525	prale
flavor	0.885	0.479	0.392	smag
flaw	0.319	0.491	0.175	fejl
flawed	0.133	0.490	0.194	fejlbehæftet
flawless	0.729	0.420	0.741	fejlfri
flea	0.286	0.353	0.218	loppe
fleabag	0.271	0.557	0.348	loppepose
fled	0.224	0.639	0.322	flygtede
flee	0.292	0.796	0.232	flygte
fleece	0.561	0.250	0.381	fleece
fleet	0.547	0.430	0.623	flåde
fleeting	0.439	0.650	0.387	flygtig
flesh	0.604	0.390	0.475	kød
fleshy	0.500	0.518	0.406	kødfulde
flex	0.604	0.378	0.330	bøje
