English Word	Valence	Arousal	Dominance	Kyrgyz Word
doomsday	0.125	0.861	0.670	кыямат
door	0.549	0.189	0.421	эшик
doorbell	0.564	0.500	0.307	эшик коңгуроосу
doorknob	0.406	0.553	0.462	эшик туткасы
doorman	0.570	0.371	0.491	дарбазачы
doormat	0.458	0.269	0.267	килем
doornail	0.459	0.370	0.423	эшиктин тырмагы
doorstep	0.531	0.274	0.391	босого
doorway	0.573	0.304	0.496	эшик
dopamine	0.548	0.469	0.426	дофамин
dope	0.295	0.855	0.425	допинг
dopey	0.320	0.380	0.365	допей
dork	0.272	0.519	0.361	жинди
dorky	0.302	0.480	0.390	dorky
dorm	0.719	0.194	0.327	жатакана
dormant	0.385	0.245	0.245	уктап жаткан
dormitory	0.633	0.204	0.382	жатакана
dorsal	0.449	0.360	0.445	арка
dosage	0.344	0.450	0.490	дозасы
dose	0.458	0.490	0.427	доза
dossier	0.357	0.380	0.544	досье
dot	0.434	0.290	0.391	чекит
doting	0.888	0.415	0.426	сүйүүчү
dotted	0.480	0.347	0.426	чекиттүү
dotty	0.375	0.402	0.393	чекиттүү
double	0.677	0.378	0.569	кош
doubled	0.427	0.536	0.560	эки эселенген
doublet	0.420	0.431	0.500	дублет
doubling	0.459	0.452	0.464	эселенген
doubt	0.395	0.351	0.231	күмөн
doubtful	0.250	0.465	0.241	күмөндүү
doubting	0.224	0.560	0.189	шектенүү
doubtless	0.688	0.415	0.689	шексиз
doubts	0.306	0.448	0.305	шектенүүлөр
douche	0.490	0.413	0.397	душ
douchebags	0.327	0.587	0.366	акмактар
dough	0.588	0.229	0.391	камыр
doughboy	0.365	0.443	0.396	камырчы
doughnut	0.663	0.380	0.279	пончик
dour	0.360	0.404	0.325	кыжырдануу
douse	0.365	0.453	0.412	чачуу
dove	0.729	0.235	0.437	көгүчкөн
down	0.208	0.330	0.264	төмөн
downcast	0.071	0.500	0.222	төмөн
downer	0.120	0.594	0.226	түшүрүүчү
downfall	0.200	0.717	0.182	кулоо
downfield	0.521	0.330	0.380	төмөн талаа
downhearted	0.119	0.461	0.255	көңүлү чөктү
downhill	0.292	0.573	0.279	ылдыйга
download	0.602	0.490	0.503	жүктөө
downpour	0.328	0.602	0.481	жамгыр
downright	0.625	0.454	0.679	так
downriver	0.542	0.469	0.279	дарыянын ылдыйы
downside	0.190	0.400	0.246	терс жагы
downtime	0.240	0.226	0.324	токтоп калуу
downward	0.188	0.347	0.255	ылдый
downy	0.630	0.170	0.255	түктүү
dowry	0.604	0.453	0.544	сеп
doze	0.592	0.200	0.405	уйку
dozen	0.583	0.343	0.425	ондогон
drab	0.327	0.300	0.242	суюк
draft	0.438	0.360	0.351	Долбоор
drafty	0.458	0.500	0.518	суюк
drag	0.388	0.606	0.348	сүйрөө
dragon	0.541	0.821	0.712	ажыдаар
dragonfly	0.571	0.373	0.357	ийнелик
drain	0.277	0.470	0.222	дренаж
drainage	0.219	0.354	0.307	дренаж
drained	0.310	0.441	0.352	кургатылган
draining	0.337	0.396	0.304	агызуу
drainpipe	0.417	0.413	0.277	дренаждык түтүк
drake	0.467	0.411	0.452	дрейк
drama	0.430	0.755	0.481	драма
dramaqueen	0.337	0.682	0.482	драма ханы
dramatic	0.367	0.780	0.443	драмалык
drape	0.417	0.439	0.404	жабуу
drapery	0.479	0.220	0.223	перде
drastic	0.194	0.839	0.657	кескин
drat	0.302	0.516	0.409	драт
draught	0.465	0.245	0.316	Долбоор
draw	0.704	0.449	0.481	тартуу
drawback	0.302	0.422	0.148	кемчилик
drawbridge	0.551	0.557	0.438	тартма көпүрө
drawer	0.429	0.196	0.292	тартма
drawers	0.539	0.260	0.236	тартмалар
drawing	0.698	0.216	0.333	тартуу
dread	0.153	0.792	0.368	коркуу
dreaded	0.122	0.706	0.460	корккон
dreadful	0.092	0.786	0.348	коркунучтуу
dreadfully	0.246	0.806	0.306	коркунучтуу
dreading	0.125	0.760	0.377	коркуу
dream	0.844	0.157	0.328	кыял
dreamboat	0.776	0.491	0.458	арман кайыгы
dreamer	0.820	0.394	0.455	кыялкеч
dreaming	0.854	0.320	0.336	кыялдануу
dreamland	0.844	0.471	0.566	кыялдар өлкөсү
dreams	0.865	0.415	0.530	кыялдар
dreamt	0.812	0.380	0.518	кыялданган
dreamy	0.837	0.350	0.500	кыялкеч
dreary	0.260	0.490	0.324	кайгылуу
dredge	0.427	0.445	0.444	дренаж
drenched	0.302	0.361	0.388	сууланган
dress	0.760	0.300	0.345	кийим
dresser	0.604	0.398	0.473	кийим салгыч
dressmaker	0.698	0.460	0.483	кийим тигүүчү
dressy	0.800	0.570	0.696	кийинүү
dribble	0.417	0.551	0.465	дриблинг
dried	0.427	0.260	0.385	кургатылган
drier	0.306	0.347	0.392	кургаткыч
drift	0.316	0.520	0.375	дрейф
drifted	0.312	0.542	0.310	сүзүп кетти
drifter	0.449	0.512	0.391	дрифтер
driftwood	0.321	0.283	0.439	дрифттер
drill	0.250	0.602	0.573	бургулоо
drink	0.650	0.552	0.474	ичүү
drinker	0.365	0.735	0.441	ичүүчү
drinking	0.562	0.459	0.317	ичүү
drinks	0.729	0.656	0.412	суусундуктар
drip	0.392	0.193	0.175	тамчы
dripping	0.302	0.257	0.267	тамчылоо
drive	0.625	0.689	0.713	айда
drivel	0.398	0.469	0.463	drivel
driver	0.553	0.538	0.637	айдоочу
driveway	0.612	0.392	0.689	автожол
drizzle	0.521	0.353	0.319	жамгыр
droll	0.459	0.573	0.422	droll
drone	0.429	0.686	0.596	дрон
drones	0.398	0.577	0.588	дрондор
drool	0.385	0.398	0.204	аккан
drooping	0.245	0.558	0.353	салбырап
droopy	0.438	0.350	0.297	салкын
drop	0.479	0.321	0.291	таштоо
droplet	0.625	0.208	0.194	тамчы
dropout	0.253	0.550	0.481	калтырып кетүү
dropper	0.333	0.216	0.236	тамчылаткыч
drought	0.133	0.353	0.267	кургакчылык
drove	0.541	0.528	0.623	айдады
drown	0.071	0.860	0.270	чөгүп кетүү
drowsiness	0.260	0.194	0.303	уйкучулук
drowsy	0.375	0.180	0.240	уйкулуу
drudgery	0.094	0.522	0.241	оорчулук
drug	0.214	0.790	0.453	дары
drug dealing	0.042	0.843	0.500	баңгизат сатуу
drugged	0.102	0.750	0.321	дарыланган
druggist	0.240	0.561	0.417	аптека
drugs	0.167	0.750	0.368	дарылар
drugstore	0.490	0.343	0.518	дарыкана
druid	0.517	0.445	0.481	друид
drum	0.615	0.679	0.339	барабан
drummer	0.646	0.700	0.564	барабанчы
drumming	0.594	0.750	0.426	барабан
drunk	0.194	0.800	0.250	мас
drunk driving	0.073	0.900	0.306	мас абалында айдоо
drunkard	0.240	0.873	0.250	аракеч
drunken	0.155	0.849	0.250	мас
drunkenness	0.214	0.774	0.336	масчылык
dry	0.363	0.169	0.311	кургак
dryer	0.479	0.343	0.277	кургаткыч
dryness	0.292	0.296	0.263	кургактык
dual	0.573	0.330	0.384	кош
dualism	0.490	0.406	0.536	дуализм
duality	0.438	0.520	0.503	экилик
dub	0.510	0.480	0.387	дубляж
dubious	0.414	0.480	0.198	шектүү
duchess	0.656	0.548	0.711	герцогиня
duck	0.594	0.337	0.236	өрдөк
ducking	0.344	0.573	0.294	өрдөк
duckling	0.602	0.353	0.263	өрдөк балапан
ducky	0.520	0.430	0.368	өрдөк
duct	0.449	0.435	0.430	түтүк
ductile	0.508	0.420	0.433	ийкемдүү
dud	0.167	0.455	0.246	dud
dude	0.809	0.356	0.615	досум
duds	0.347	0.311	0.339	дудар
due	0.562	0.340	0.467	төлөнүүчү
duel	0.271	0.696	0.589	дуэл
dues	0.367	0.461	0.288	жыйымдар
duet	0.694	0.693	0.527	дуэт
duffel	0.500	0.400	0.384	Duffel
dugout	0.490	0.370	0.463	блиндаж
duh	0.357	0.461	0.364	дух
duke	0.667	0.440	0.669	герцог
dull	0.194	0.120	0.185	кызыксыз
dullard	0.450	0.480	0.365	бүдөмүк
dumb	0.188	0.330	0.151	дудук
dumbasses	0.316	0.590	0.363	акмактар
dumbbell	0.302	0.469	0.364	гантел
dumbbitch	0.281	0.636	0.393	акмак
dumfound	0.271	0.551	0.295	акылсыз
dumfounder	0.406	0.481	0.400	дамфодер
dummy	0.440	0.144	0.250	муляж
dump	0.345	0.500	0.370	таштанды
dumpling	0.580	0.321	0.360	пельмен
dumps	0.302	0.583	0.365	таштандылар
dumpster	0.229	0.418	0.101	таштанды челек
dun	0.458	0.431	0.339	дун
dunce	0.188	0.327	0.146	dunce
dune	0.459	0.173	0.414	дөбө
dung	0.104	0.549	0.149	тезек
dungeon	0.276	0.608	0.440	зындан
dunk	0.406	0.333	0.475	данк
duo	0.510	0.500	0.447	дуэт
dupe	0.184	0.760	0.327	аңкоо
duplex	0.592	0.452	0.467	дуплекс
duplicate	0.521	0.490	0.338	дубликат
duplication	0.480	0.564	0.577	кайталоо
duplicity	0.406	0.500	0.578	эки жүздүүлүк
durability	0.750	0.398	0.813	туруктуулук
durable	0.740	0.294	0.688	туруктуу
duration	0.656	0.370	0.536	узактыгы
duress	0.302	0.569	0.612	мажбурлоо
dusk	0.532	0.276	0.519	күүгүм
dusky	0.229	0.528	0.324	күңүрт
dust	0.344	0.246	0.241	чаң
duster	0.408	0.265	0.296	чаң салгыч
dustpan	0.609	0.466	0.371	чаң челек
dusty	0.406	0.294	0.255	чаңдуу
dutiful	0.724	0.245	0.585	милдеттуу
duty	0.583	0.579	0.651	милдет
dwarf	0.370	0.340	0.288	карлик
dwarfed	0.365	0.265	0.293	карлик
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	жашоо
dweller	0.615	0.304	0.500	жашоочу
dwelling	0.765	0.330	0.481	турак жай
dye	0.479	0.314	0.371	боёк
dying	0.040	0.664	0.422	өлүп жатат
dyke	0.438	0.396	0.566	дайк
dynamic	0.724	0.750	0.836	динамикалык
dynamical	0.786	0.730	0.827	динамикалык
dynamics	0.745	0.682	0.774	динамикасы
dynamite	0.344	0.860	0.783	динамит
dynamo	0.531	0.650	0.593	динамо
dynasty	0.725	0.588	0.936	династия
dysentery	0.260	0.528	0.345	дизентерия
dysfunction	0.156	0.410	0.386	дисфункция
dysfunctional	0.125	0.558	0.307	иштебеген
dyspepsia	0.212	0.470	0.460	диспепсия
eager	0.521	0.812	0.306	дилгир
eagerness	0.406	0.621	0.443	дилгирлик
eagle	0.604	0.594	0.679	бүркүт
ear	0.469	0.216	0.231	кулак
earful	0.533	0.462	0.443	кулак салуучу
earl	0.582	0.461	0.794	граф
earlier	0.562	0.352	0.339	мурда
early	0.633	0.373	0.426	эрте
earn	0.865	0.769	0.817	табуу
earnest	0.653	0.380	0.670	чынчыл
earnestly	0.847	0.490	0.717	чын жүрөктөн
earnestness	0.812	0.373	0.615	чынчылдык
earnings	0.938	0.650	0.875	кирешелер
earpiece	0.583	0.286	0.452	наушник
earring	0.583	0.520	0.500	сөйкө
earrings	0.676	0.346	0.517	сөйкөлөр
earshot	0.552	0.332	0.408	кулак салуу
earth	0.750	0.225	0.614	жер
earthenware	0.552	0.210	0.320	чопо
earthling	0.531	0.412	0.570	жерлик
earthly	0.625	0.318	0.518	жердеги
earthquake	0.073	0.930	0.812	жер титирөө
earthy	0.375	0.413	0.404	жердеги
ease	0.796	0.385	0.491	жеңил
easel	0.694	0.340	0.527	мольберт
easement	0.479	0.345	0.302	сервитут
easily	0.885	0.279	0.453	оңой
east	0.510	0.250	0.317	чыгыш
eastbound	0.541	0.408	0.402	чыгышты көздөй
eastern	0.521	0.420	0.480	чыгыш
easy	0.865	0.194	0.373	жеңил
easygoing	0.823	0.276	0.538	жөнөкөй
eat	0.731	0.500	0.464	же
eater	0.459	0.337	0.510	жегич
eating	0.847	0.491	0.615	тамактануу
eatingdisorders	0.365	0.608	0.508	тамактануу бузулуулары
eavesdrop	0.375	0.710	0.368	тыңшоо
eavesdropping	0.490	0.380	0.441	тыңшоо
ebb	0.354	0.451	0.404	ebb
ebony	0.490	0.317	0.400	кара жыгач
ebullient	0.659	0.856	0.746	толкунданган
eccentric	0.531	0.806	0.721	эксцентрик
eccentricity	0.408	0.735	0.745	эксцентриситет
ecclesiastical	0.673	0.270	0.660	чиркөөчү
echelon	0.490	0.404	0.425	эшелон
echinacea	0.592	0.418	0.454	эхинацея
echo	0.573	0.373	0.345	echo
eclectic	0.646	0.542	0.508	эклектикалык
eclipse	0.541	0.469	0.616	тутулуу
ecliptic	0.531	0.520	0.556	эклиптика
ecological	0.885	0.290	0.607	экологиялык
economic	0.561	0.408	0.639	экономикалык
economical	0.667	0.564	0.673	экономикалык
economics	0.625	0.481	0.632	экономика
economy	0.583	0.434	0.771	экономика
ecosystem	0.729	0.259	0.633	экосистема
ecstasy	0.796	0.922	0.655	экстази
ecstatic	0.875	0.769	0.742	экстатикалык
ecumenical	0.561	0.450	0.547	экуменикалык
eddy	0.500	0.394	0.350	eddy
edema	0.250	0.519	0.318	шишик
edge	0.439	0.470	0.468	чети
edging	0.479	0.394	0.370	кыр
edgy	0.281	0.895	0.306	ачуулуу
edible	0.750	0.425	0.497	жегенге болот
edict	0.316	0.547	0.560	жарлык
edification	0.625	0.481	0.697	тарбиялоо
edifice	0.551	0.403	0.610	имарат
edit	0.510	0.410	0.544	түзөтүү
editing	0.604	0.404	0.493	түзөтүү
edition	0.542	0.455	0.564	басылышы
editor	0.772	0.431	0.673	редактор
editorial	0.583	0.330	0.570	редакциялык
educate	0.760	0.380	0.728	тарбиялоо
educated	0.816	0.297	0.625	билимдүү
education	0.896	0.275	0.840	билим берүү
educational	0.745	0.457	0.764	тарбиялык
educator	0.827	0.317	0.845	тарбиячы
eeeek	0.367	0.540	0.349	ээээк
eeek	0.333	0.490	0.302	eeek
eek	0.292	0.529	0.343	эек
eel	0.292	0.564	0.487	жылан балыгы
eerie	0.265	0.771	0.442	коркунучтуу
effect	0.570	0.518	0.608	эффект
effective	0.844	0.632	0.891	натыйжалуу
effectiveness	0.640	0.654	0.812	натыйжалуулугу
effects	0.470	0.578	0.379	эффекттер
effectual	0.776	0.559	0.820	эффективдүү
effectually	0.724	0.500	0.594	натыйжалуу
effectuate	0.510	0.602	0.679	ишке ашыруу
effeminate	0.337	0.619	0.291	аялдык
efficacious	0.823	0.698	0.845	натыйжалуу
efficacy	0.802	0.490	0.906	натыйжалуулугу
efficiency	0.802	0.509	0.892	натыйжалуулугу
efficient	0.959	0.604	0.830	натыйжалуу
effigy	0.510	0.440	0.401	элестүү
effort	0.698	0.778	0.858	аракет
effortless	0.626	0.090	0.352	аракетсиз
effusion	0.344	0.730	0.472	эффузия
effyou	0.354	0.529	0.490	effyou
egg	0.684	0.241	0.293	жумуртка
egghead	0.316	0.492	0.284	жумуртка башы
eggnog	0.635	0.360	0.259	жумуртка
eggplant	0.592	0.152	0.323	баклажан
eggshell	0.408	0.269	0.212	жумуртканын кабыгы
ego	0.328	0.576	0.593	эго
egomaniac	0.133	0.708	0.596	эгомания
egotistical	0.156	0.667	0.363	эгоист
egregious	0.150	0.716	0.442	коркунучтуу
egress	0.490	0.429	0.287	чыгуу
eight	0.540	0.199	0.315	сегиз
eighteen	0.523	0.340	0.404	он сегиз
eighth	0.531	0.226	0.380	сегизинчи
eighty	0.500	0.300	0.453	сексен
ejaculate	0.604	0.896	0.604	эякуляция
ejaculation	0.615	0.893	0.547	эякуляция
eject	0.434	0.656	0.559	чыгаруу
ejection	0.188	0.836	0.554	чыгаруу
elaborate	0.561	0.367	0.680	иштеп чыгуу
elaboration	0.708	0.500	0.598	иштеп чыгуу
elan	0.562	0.367	0.500	elan
elapse	0.514	0.440	0.455	өтүү
elapsed	0.583	0.451	0.493	өттү
elastic	0.656	0.518	0.385	ийкемдүү
elasticity	0.635	0.452	0.582	ийкемдүүлүк
elated	0.792	0.960	0.725	кубанычтуу
elation	0.740	0.853	0.623	кубаныч
elbow	0.448	0.133	0.254	чыканак
eld	0.471	0.292	0.451	эл
elder	0.448	0.153	0.462	аксакал
elders	0.602	0.260	0.441	аксакалдар
eldest	0.625	0.471	0.741	улуу
elect	0.667	0.554	0.661	шайлоо
election	0.625	0.519	0.651	шайлоо
elective	0.612	0.380	0.623	тандоо
elector	0.479	0.520	0.766	шайлоочу
electoral	0.490	0.631	0.602	шайлоо
electorate	0.560	0.380	0.696	электорат
electric	0.458	0.708	0.512	электр
electric slide	0.542	0.660	0.536	электр слайд
electrical	0.531	0.620	0.688	электрдик
electrician	0.449	0.590	0.620	электрик
electricity	0.698	0.810	0.733	электр энергиясы
electrify	0.520	0.769	0.737	электрлештируу
electrocute	0.271	0.731	0.555	электр тогу
electrocution	0.177	0.844	0.692	токко урунуу
electromagnetic	0.531	0.632	0.683	электромагниттик
electron	0.520	0.455	0.560	электрон
electronic	0.571	0.490	0.704	электрондук
electronics	0.708	0.545	0.574	электроника
elegance	0.918	0.396	0.824	көрктүүлүк
elegant	0.865	0.500	0.685	жарашыктуу
element	0.531	0.259	0.481	элемент
elemental	0.627	0.306	0.711	элементардык
elementary	0.594	0.286	0.686	башталгыч
elements	0.510	0.312	0.462	элементтер
elephant	0.531	0.510	0.615	пил
elevate	0.812	0.500	0.804	көтөрүү
elevated	0.704	0.594	0.620	көтөрүлгөн
elevation	0.760	0.759	0.711	бийиктик
elevator	0.562	0.604	0.676	лифт
eleven	0.449	0.250	0.430	он бир
eleventh	0.594	0.329	0.357	он биринчи
elf	0.460	0.457	0.315	эльф
elicit	0.406	0.594	0.658	чыгаруу
eligible	0.750	0.400	0.518	жарамдуу
eliminate	0.265	0.670	0.324	жок кылуу
elimination	0.052	0.667	0.431	жоюу
elite	0.688	0.704	0.737	элита
elitist	0.500	0.606	0.656	элитист
elixir	0.708	0.587	0.604	эликсир
elk	0.439	0.337	0.340	багыш
ell	0.469	0.418	0.373	эл
ellipse	0.531	0.410	0.479	эллипс
ellipsis	0.653	0.358	0.314	эллипс
ellipsoid	0.500	0.440	0.419	эллипсоид
elliptic	0.500	0.431	0.528	эллиптикалык
elliptical	0.338	0.385	0.490	эллиптикалык
elm	0.510	0.345	0.321	карагай
elongate	0.583	0.385	0.540	узартуу
elongation	0.561	0.500	0.500	узартуу
elope	0.396	0.694	0.528	качуу
eloquence	0.729	0.490	0.804	чечендик
eloquent	0.870	0.680	0.741	чечен
elucidate	0.583	0.509	0.518	түшүндүрүү
elucidation	0.650	0.574	0.586	түшүндүрүү
elude	0.438	0.521	0.464	качуу
elusive	0.229	0.615	0.466	кармалгыс
emaciated	0.103	0.541	0.151	арык
email	0.698	0.230	0.456	электрондук почта
emanate	0.653	0.464	0.554	чыгуу
emancipation	0.704	0.684	0.763	эмансипация
embankment	0.677	0.438	0.436	жээк
embargo	0.229	0.564	0.443	эмбарго
embark	0.541	0.550	0.619	түшүү
embarrass	0.082	0.667	0.364	уялтуу
embarrassed	0.184	0.560	0.246	уялып
embarrassing	0.226	0.809	0.225	уят
embarrassment	0.143	0.685	0.226	уялуу
embassy	0.622	0.333	0.758	элчилик
embattled	0.235	0.724	0.421	күрөшкөн
embed	0.417	0.554	0.670	киргизүү
embellish	0.842	0.500	0.769	кооздоо
embellishment	0.673	0.449	0.405	жасалгалоо
embers	0.490	0.481	0.508	чок
embezzlement	0.143	0.827	0.435	уурдоо
embezzler	0.146	0.823	0.491	уурдоочу
emblem	0.640	0.330	0.754	эмблема
emblematic	0.771	0.459	0.798	эмблемалуу
embodiment	0.562	0.690	0.663	ишке ашыруу
embolism	0.104	0.660	0.302	эмболия
embossed	0.531	0.481	0.500	рельефтүү
embrace	0.949	0.490	0.452	кучактоо
embroidered	0.677	0.279	0.407	саймалуу
embroidery	0.781	0.358	0.280	сайма
embroiled	0.337	0.721	0.420	аралашкан
embryo	0.673	0.469	0.453	эмбрион
embryonic	0.573	0.453	0.598	эмбриондук
emcee	0.694	0.577	0.691	emcee
emerald	0.740	0.363	0.726	изумруд
emerge	0.602	0.594	0.731	чыгуу
emergence	0.276	0.857	0.676	пайда болушу
emergency	0.200	0.900	0.571	өзгөчө кырдаал
emeritus	0.633	0.402	0.735	ардактуу
emery	0.469	0.583	0.472	эмери
emetophobia	0.243	0.620	0.403	эмофобия
emigrate	0.356	0.812	0.508	эмиграция
emigration	0.564	0.664	0.432	эмиграция
eminence	0.816	0.644	0.837	атактуулук
eminent	0.740	0.620	0.830	атактуу
eminently	0.694	0.607	0.773	өзгөчө
emir	0.510	0.396	0.621	эмир
emissary	0.562	0.462	0.636	эмиссар
emission	0.510	0.453	0.591	чыгаруу
emit	0.638	0.445	0.510	чыгаруу
emo	0.354	0.314	0.226	эмо
emotion	0.693	0.873	0.696	эмоция
emotional	0.779	0.714	0.526	эмоционалдуу
emotive	0.917	0.741	0.525	эмоциялуу
empathic	0.760	0.570	0.558	эмпатикалык
empathize	0.802	0.591	0.660	эмпатия кылуу
empathy	0.729	0.349	0.545	эмпатия
emperor	0.651	0.704	0.962	император
emphasis	0.653	0.745	0.816	басым
emphasize	0.510	0.605	0.769	баса белгиле
emphatic	0.615	0.707	0.732	баса белгилеген
emphysema	0.156	0.556	0.336	эмфизема
empire	0.688	0.730	0.944	империя
empirical	0.500	0.510	0.574	эмпирикалык
empiricism	0.583	0.460	0.547	эмпиризм
employ	0.729	0.481	0.702	жумушка алуу
employee	0.582	0.361	0.481	кызматкер
employer	0.663	0.518	0.767	иш берүүчү
employment	0.750	0.594	0.611	жумуш менен камсыз кылуу
emporium	0.622	0.556	0.724	emporium
empower	0.694	0.779	0.891	күч берүү
empress	0.716	0.669	0.855	императрица
emptiness	0.177	0.173	0.184	боштук
emption	0.570	0.406	0.458	бошотуу
empty	0.188	0.183	0.081	бош
emu	0.420	0.358	0.330	emu
emulate	0.438	0.340	0.549	тууроо
emulsion	0.562	0.431	0.453	эмульсия
enable	0.760	0.491	0.782	иштетүү
enablement	0.600	0.451	0.750	иштетүү
enact	0.680	0.564	0.598	кабыл алуу
enactment	0.667	0.612	0.769	кабыл алуу
enamel	0.594	0.280	0.306	эмаль
encampment	0.677	0.573	0.605	лагерь
enchant	0.873	0.650	0.643	сыйкырлоо
enchanted	0.917	0.633	0.687	сыйкырдуу
enchanting	0.917	0.681	0.708	сыйкырдуу
enchantment	0.816	0.775	0.647	сыйкырчылык
enchantress	0.398	0.663	0.479	сыйкырчы
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	курчап алуу
encircling	0.510	0.368	0.557	курчап алуу
enclave	0.531	0.333	0.580	анклав
enclose	0.531	0.477	0.473	жабуу
enclosure	0.417	0.375	0.490	тосмо
encode	0.490	0.500	0.734	коддоо
encomiastic	0.541	0.500	0.670	энкомиазиялык
encomium	0.541	0.451	0.519	encomium
encompass	0.520	0.298	0.661	камтуу
encore	0.510	0.423	0.500	бис
encounter	0.865	0.702	0.689	жолугушуу
encourage	0.896	0.580	0.704	дем берүү
encouraged	0.953	0.702	0.657	дем берди
encouragement	0.865	0.700	0.759	дем берүү
encouraging	0.823	0.583	0.755	дем берүүчү
encroach	0.302	0.742	0.702	кол салуу
encroachment	0.255	0.736	0.620	кол салуу
encrypt	0.500	0.387	0.500	шифрлөө
encryption	0.547	0.415	0.474	шифрлөө
encumbrance	0.300	0.521	0.480	түйшүк
encyclopedia	0.679	0.320	0.645	энциклопедия
end	0.198	0.349	0.298	бүтүү
end table	0.541	0.480	0.482	акыркы стол
endanger	0.115	0.885	0.404	коркунуч
endangered	0.083	0.885	0.430	коркунучта
endangerment	0.167	0.873	0.519	коркунуч
endearing	0.663	0.434	0.604	сүйкүмдүү
endeavor	0.677	0.755	0.765	аракет кылуу
ended	0.302	0.500	0.500	аяктады
endemic	0.406	0.480	0.483	эндемикалык
endgame	0.449	0.538	0.526	акыркы оюн
ending	0.344	0.365	0.492	бүтүрүү
endless	0.347	0.462	0.472	чексиз
endocarditis	0.235	0.587	0.412	эндокардит
endorse	0.592	0.392	0.472	колдоо
endorsement	0.834	0.360	0.611	жактыруу
endow	0.684	0.398	0.609	тартуулоо
endowed	0.755	0.510	0.769	берилген
endowment	0.685	0.578	0.647	кайрымдуулук
endpapers	0.542	0.400	0.339	акыркы кагаздар
endpoint	0.311	0.410	0.448	акыркы чекит
endurance	0.592	0.745	0.760	чыдамкайлык
endure	0.320	0.610	0.574	чыда
enduring	0.633	0.459	0.768	чыдамдуу
enema	0.281	0.673	0.268	клизма
enemy	0.135	0.794	0.591	душман
energetic	0.847	0.868	0.902	энергиялуу
energize	0.792	0.810	0.875	энергия берүү
energy	0.944	0.725	0.868	энергия
enforce	0.583	0.644	0.836	ишке ашыруу
enforcement	0.594	0.571	0.736	аткаруу
enforcer	0.398	0.612	0.639	аткаруучу
engage	0.771	0.796	0.713	тартуу
engaged	0.837	0.596	0.849	алектенген
engagement	0.906	0.587	0.807	тартуу
engaging	0.948	0.612	0.862	тартуу
engender	0.561	0.741	0.688	жаратуу
engine	0.615	0.644	0.676	мотор
engineer	0.719	0.500	0.875	инженер
engineering	0.735	0.471	0.836	инженерия
engrave	0.486	0.442	0.517	оюп түшүрүү
engraved	0.542	0.375	0.473	оюп түшүрүлгөн
engraver	0.552	0.417	0.500	оюучу
engraving	0.604	0.430	0.442	оюу
engrossed	0.541	0.471	0.304	батып кетти
engrossing	0.698	0.702	0.750	кызыктуу
engulf	0.398	0.573	0.500	жутуп алуу
enhance	0.802	0.578	0.814	жогорулатуу
enhancement	0.877	0.490	0.741	өркүндөтүү
enigma	0.513	0.700	0.500	табышмак
enigmatic	0.469	0.589	0.679	табышмактуу
enjoin	0.594	0.454	0.732	буйрук кылуу
enjoy	0.959	0.725	0.750	ырахат алуу
enjoyable	1.000	0.481	0.605	жагымдуу
enjoying	0.908	0.759	0.759	ырахат алуу
enjoyment	0.930	0.612	0.716	ырахат
enlarge	0.735	0.606	0.688	чоңойтуу
enlarged	0.673	0.490	0.518	чоңойтулган
enlargement	0.677	0.577	0.616	кеңейтүү
enlighten	0.729	0.549	0.667	агартуу
enlightened	0.956	0.566	0.700	агартылган
enlightening	0.825	0.729	0.727	агартуучу
enlightenment	0.837	0.549	0.619	агартуу
enlist	0.510	0.370	0.483	чакыруу
enliven	0.833	0.683	0.702	жандантуу
enmity	0.094	0.706	0.382	кастык
ennui	0.406	0.461	0.316	эннуи
enormity	0.594	0.648	0.848	зордук
enormous	0.677	0.665	0.886	зор
enormously	0.760	0.694	0.872	эбегейсиз
enraged	0.083	0.962	0.636	ачууланган
enrich	0.896	0.731	0.705	байытуу
enroll	0.696	0.530	0.611	катталуу
enrollment	0.667	0.391	0.698	каттоо
ensemble	0.697	0.418	0.586	ансамбль
ensign	0.663	0.270	0.545	прапорщик
enslave	0.073	0.800	0.481	кул кылуу
enslaved	0.104	0.720	0.321	кул болгон
enslavement	0.086	0.635	0.302	кулчулук
ensue	0.698	0.363	0.332	пайда болот
ensure	0.737	0.406	0.759	камсыз кылуу
entail	0.484	0.630	0.645	алып келет
entangled	0.319	0.578	0.357	чырмалышкан
entanglement	0.302	0.765	0.248	чырмалышып калуу
enter	0.708	0.470	0.500	кирүү
enterprise	0.760	0.392	0.754	ишкана
enterprising	0.865	0.784	0.875	демилгелуу
entertain	0.918	0.684	0.598	көңүл ачуу
entertained	0.902	0.644	0.712	көңүл ачты
entertainer	0.888	0.709	0.759	көңүл ачуучу
entertaining	0.833	0.658	0.660	кызыктуу
entertainment	0.847	0.750	0.569	көңүл ачуу
enthralled	0.745	0.602	0.615	суктанган
enthusiasm	0.938	0.816	0.798	энтузиазм
enthusiast	0.867	0.810	0.875	энтузиаст
enthusiastic	0.885	0.868	0.848	энтузиаст
entice	0.521	0.887	0.518	азгыруу
entire	0.689	0.462	0.698	бүтүндөй
entirety	0.854	0.460	0.804	толугу менен
entitle	0.729	0.333	0.827	укук
entity	0.542	0.402	0.670	субъект
