English Word	Valence	Arousal	Dominance	Persian Word
chapter	0.580	0.308	0.461	فصل
char	0.554	0.361	0.404	کاراکتر
character	0.667	0.373	0.686	شخصیت
characteristic	0.583	0.328	0.538	مشخصه
characterize	0.729	0.471	0.735	مشخص کردن
charade	0.458	0.550	0.346	حرام
charcoal	0.302	0.186	0.342	زغال چوبی
chardonnay	0.677	0.567	0.492	شاردونه
charge	0.510	0.633	0.785	شارژ
chargeable	0.551	0.550	0.453	قابل شارژ
charger	0.531	0.418	0.545	شارژر
chariot	0.684	0.550	0.491	ارابه
charisma	0.938	0.591	0.759	جذابیت
charismatic	0.938	0.684	0.849	کاریزماتیک
charitable	0.865	0.380	0.593	خیریه
charity	0.920	0.284	0.551	خیریه
charlatan	0.200	0.640	0.352	شارلاتان
charm	0.833	0.363	0.649	افسون
charmed	0.938	0.570	0.769	افسون شده
charmer	0.882	0.683	0.782	افسونگر
charming	0.917	0.660	0.764	جذاب
charred	0.208	0.676	0.373	زغال شده
chart	0.469	0.317	0.330	چارت سازمانی
charter	0.677	0.382	0.518	منشور
chartered	0.569	0.460	0.490	اجاره شده
chase	0.396	0.878	0.623	تعقیب
chased	0.188	0.830	0.287	تعقیب کردند
chaser	0.375	0.830	0.645	تعقیب کننده
chasm	0.265	0.579	0.500	شکاف عظیم
chassis	0.406	0.342	0.444	شاسی
chaste	0.408	0.248	0.453	پاکدامن
chastened	0.156	0.580	0.345	تنبیه شد
chastisement	0.156	0.852	0.462	تنبیه
chastity	0.469	0.392	0.509	عفت
chat	0.729	0.400	0.346	چت کردن
chateau	0.615	0.464	0.702	قلعه
chatter	0.560	0.450	0.347	پچ پچ کردن
chatterbox	0.459	0.548	0.482	وراج
chattering	0.460	0.663	0.304	پچ پچ کردن
chatty	0.594	0.548	0.345	پرحرف
chauffeur	0.500	0.353	0.471	کمک راننده
chauvinist	0.310	0.539	0.527	شوونیست
cheap	0.612	0.471	0.272	ارزان
cheapened	0.471	0.611	0.282	ارزان شد
cheapskate	0.148	0.482	0.327	ارزان اسکیت
cheat	0.125	0.776	0.400	تقلب
cheater	0.104	0.920	0.333	متقلب
check	0.523	0.552	0.602	بررسی
checkbook	0.552	0.284	0.364	دسته چك
checker	0.330	0.417	0.553	چکر
checkered	0.459	0.316	0.336	شطرنجی
checkers	0.676	0.451	0.437	چکرز
checklist	0.561	0.521	0.552	چک لیست
checkmate	0.667	0.708	0.750	مات
checkout	0.597	0.510	0.670	وارسی
checkpoint	0.571	0.323	0.812	ایست بازرسی
checkup	0.500	0.435	0.491	چکاپ
cheek	0.670	0.314	0.421	گونه
cheeks	0.708	0.324	0.282	گونه ها
cheeky	0.434	0.679	0.410	پر رو
cheep	0.367	0.380	0.373	ارزان
cheer	0.938	0.784	0.845	تشویق کردن
cheered	0.875	0.648	0.790	تشویق کرد
cheerful	0.990	0.720	0.696	بشاش
cheerfulness	0.969	0.802	0.675	نشاط
cheering	0.815	0.824	0.642	تشویق کردن
cheerleader	0.923	0.746	0.657	تشویق کننده
cheerleading	0.698	0.769	0.404	تشویق کردن
cheerless	0.204	0.373	0.167	بی روح
cheers	0.948	0.770	0.702	به سلامتی
cheery	0.949	0.657	0.486	شاد
cheese	0.740	0.280	0.281	پنیر
cheeseburger	0.802	0.529	0.336	چیزبرگر
cheesecake	0.860	0.276	0.238	چیزکیک
cheesy	0.470	0.471	0.179	پنیری
cheetah	0.469	0.770	0.667	یوزپلنگ
chef	0.854	0.411	0.570	سرآشپز
chemical	0.337	0.560	0.508	شیمیایی
chemise	0.530	0.275	0.364	لباس زنانه
chemist	0.408	0.575	0.610	شیمیدان
chemistry	0.625	0.520	0.694	علم شیمی
chemo	0.214	0.686	0.444	شیمی درمانی
chemotherapy	0.163	0.689	0.517	شیمی درمانی
cheque	0.698	0.529	0.660	بررسی
cherish	0.896	0.491	0.652	گرامی داشتن
cherishing	0.836	0.380	0.625	گرامی داشتن
cherry	0.688	0.186	0.250	گیلاس
cherub	0.663	0.340	0.455	کروبی
chess	0.656	0.363	0.518	شطرنج
chest	0.520	0.429	0.481	قفسه سینه
chestnut	0.714	0.210	0.294	فندق
chevron	0.469	0.469	0.598	شورون
chew	0.520	0.490	0.404	جویدن
chewy	0.625	0.418	0.390	جویدنی
chic	0.870	0.624	0.380	شیک
chicane	0.357	0.460	0.481	شیکن
chick	0.771	0.602	0.387	جوجه
chicken	0.594	0.306	0.394	مرغ
chicken pox	0.194	0.510	0.415	آبله مرغان
chickenpox	0.173	0.562	0.357	ابله مرغان
chief	0.520	0.544	0.869	رئیس
chiefly	0.600	0.587	0.764	عمدتا
chieftain	0.343	0.529	0.860	رئیس
chiffon	0.406	0.230	0.250	نوعی پارچه ابریشمی
child	0.912	0.460	0.413	کودک
childbirth	0.604	0.861	0.673	زایمان
childhood	0.865	0.413	0.307	دوران کودکی
childish	0.573	0.442	0.230	کودکانه
childless	0.310	0.400	0.396	بی فرزند
childlike	0.656	0.372	0.293	کودکانه
childloss	0.240	0.571	0.421	از دست دادن فرزند
children	0.857	0.538	0.435	فرزندان
chili	0.592	0.566	0.433	فلفل
chill	0.837	0.206	0.482	سرد شدن
chilled	0.521	0.340	0.482	سرد شده
chilling	0.208	0.850	0.358	سرد
chilly	0.329	0.459	0.408	سرد
chime	0.573	0.541	0.464	صدای زنگ
chimera	0.292	0.582	0.372	واهی
chimes	0.625	0.490	0.402	زنگ زدن
chimney	0.583	0.286	0.225	دودکش
chimp	0.394	0.588	0.345	شامپانزه
chimpanzee	0.500	0.633	0.387	شامپانزه
chin	0.571	0.310	0.269	چانه
china	0.561	0.443	0.556	چین
chinchilla	0.480	0.450	0.286	چینچیلا
chine	0.561	0.360	0.352	چینی
chinook	0.408	0.497	0.491	شینوک
chip	0.479	0.382	0.452	تراشه
chipmunk	0.573	0.562	0.409	سنجاب
chipper	0.418	0.588	0.500	برش دهنده
chipping	0.354	0.452	0.353	خرد کردن
chiropractor	0.420	0.549	0.651	متخصص کایروپراکتیک
chirp	0.469	0.602	0.365	چهچهچه
chirping	0.500	0.463	0.360	چهچهه زدن
chisel	0.469	0.404	0.452	اسکنه
chiseler	0.429	0.606	0.464	اسکنه
chit	0.490	0.352	0.321	چیت
chitchat	0.673	0.455	0.403	چت چت
chivalry	0.857	0.380	0.848	جوانمردی
chloride	0.265	0.387	0.474	کلرید
chlorine	0.306	0.327	0.332	کلر
chloroform	0.281	0.370	0.393	کلروفرم
chocolate	0.885	0.480	0.418	شکلات
choice	0.745	0.520	0.664	انتخاب
choir	0.704	0.298	0.473	گروه کر
choke	0.167	0.788	0.676	خفه کردن
cholera	0.020	0.867	0.507	وبا
cholesterol	0.198	0.583	0.398	کلسترول
choose	0.615	0.542	0.648	انتخاب کنید
choosing	0.719	0.529	0.689	انتخاب کردن
choosy	0.280	0.760	0.712	برگزیده
chop	0.250	0.655	0.467	تکه کردن
chopper	0.594	0.560	0.509	خردکن
choppers	0.469	0.745	0.691	هلی کوپتر
chopping	0.560	0.625	0.362	خرد کردن
chops	0.612	0.420	0.269	ریز ریز کردن
choral	0.852	0.290	0.421	کرال
chord	0.729	0.394	0.539	وتر
chords	0.639	0.406	0.388	آکورد
chore	0.406	0.462	0.500	کارهای عادی و روزمره
choreographer	0.646	0.639	0.625	طراح رقص
choreography	0.812	0.750	0.547	رقص
chorus	0.620	0.417	0.500	گروه کر
chosen	0.865	0.449	0.833	انتخاب شده است
chow	0.573	0.490	0.390	غذا خوردن
chowder	0.510	0.324	0.241	آبگوشت
christ	0.781	0.510	0.750	مسیح
christen	0.673	0.356	0.588	تعمید
christening	0.725	0.382	0.650	تعمید
christmas	0.959	0.520	0.741	کریسمس
christmasbreak	0.842	0.640	0.548	تعطیلات کریسمس
christmaseve	0.812	0.491	0.463	شب کریسمس
christmasspirit	0.867	0.602	0.575	روح کریسمس
christmassy	0.875	0.698	0.602	کریسمس
christmastime	0.837	0.588	0.515	کریسمس
chromatic	0.407	0.413	0.435	رنگی
chromatography	0.480	0.537	0.535	کروماتوگرافی
chrome	0.582	0.373	0.421	کروم
chromium	0.458	0.404	0.447	کروم
chromosome	0.500	0.296	0.548	کروموزوم
chronic	0.255	0.615	0.464	مزمن
chronicle	0.427	0.571	0.586	تاريخچه
chronograph	0.500	0.392	0.529	کرنوگراف
chronological	0.594	0.445	0.600	زمانی
chubby	0.531	0.427	0.304	چاق و چله
chuck	0.542	0.509	0.413	دور انداختن
chuckle	0.844	0.736	0.481	خندیدن
chug	0.401	0.413	0.358	چنگ
chum	0.911	0.347	0.518	دوست
chummy	0.760	0.420	0.610	دوست داشتنی
chump	0.375	0.451	0.304	برآمدگی
chunk	0.365	0.287	0.214	تکه
chunky	0.520	0.517	0.509	درشت
church	0.708	0.198	0.610	کلیسا
churchyard	0.296	0.444	0.347	حیاط کلیسا
churn	0.316	0.491	0.407	سر خوردن
chute	0.580	0.745	0.455	ناودان
chutney	0.459	0.370	0.400	یک نوع ترشی با ادویه
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	شراب سیب
cigar	0.306	0.463	0.346	سیگار برگ
cigarette	0.219	0.528	0.304	سیگار
cilantro	0.469	0.260	0.208	گشنیز
cinch	0.450	0.490	0.387	چنگ زدن
cinder	0.350	0.260	0.157	خاکستر
cinema	0.698	0.538	0.500	سینما
cinematic	0.663	0.490	0.600	سینمایی
cinematographer	0.792	0.455	0.711	فیلمبردار
cinematography	0.781	0.571	0.625	فیلمبرداری
cinnamon	0.600	0.250	0.292	دارچین
cipher	0.490	0.414	0.500	رمزگذاری
circle	0.480	0.290	0.343	دایره
circling	0.510	0.654	0.336	حلقه زدن
circuit	0.586	0.461	0.707	جریان
circuitry	0.596	0.615	0.536	مدار
circular	0.562	0.342	0.417	گرد
circulate	0.612	0.388	0.320	گردش کند
circulation	0.735	0.520	0.657	جریان
circulatory	0.592	0.575	0.545	گردش خون
circumcision	0.327	0.657	0.528	ختنه کردن
circumference	0.458	0.255	0.488	دور
circumferential	0.551	0.422	0.509	دورتادور
circumscribed	0.365	0.539	0.569	محدود شده است
circumstance	0.520	0.565	0.596	چگونگی، امر، تفصیل، شرایط محیط، پیش امد، شرح
circumstances	0.562	0.527	0.464	موقعیت
circumstantial	0.500	0.538	0.519	شرایطی
circumvent	0.316	0.642	0.383	دور زدن
circumvention	0.531	0.571	0.473	دور زدن
circus	0.724	0.637	0.432	سیرک
cirque	0.604	0.647	0.467	سیرک
cirrhosis	0.079	0.602	0.370	سیروز
cirrus	0.470	0.451	0.348	سیروس
cistern	0.541	0.413	0.432	مخزن
citadel	0.585	0.464	0.602	ارگ
citation	0.570	0.549	0.508	نقل قول
cite	0.625	0.454	0.532	نقل قول
citizen	0.631	0.250	0.586	شهروند
citizenship	0.786	0.404	0.723	تابعیت
citrine	0.375	0.400	0.420	سیترین
citrus	0.469	0.368	0.375	مرکبات
city	0.847	0.531	0.508	شهر
citywide	0.592	0.509	0.707	در سطح شهر
civic	0.653	0.240	0.573	مدنی
civics	0.700	0.279	0.720	مدنی
civil	0.521	0.281	0.517	مدنی
civilian	0.700	0.229	0.598	غیر نظامی
civilians	0.490	0.448	0.525	غیرنظامیان
civility	0.760	0.306	0.679	مدنیت
civilization	0.823	0.452	0.839	تمدن
civilized	0.792	0.231	0.796	متمدن
clad	0.583	0.373	0.481	پوشیده شده
claim	0.255	0.760	0.473	مطالبه
claimant	0.271	0.690	0.779	مدعی
clairvoyant	0.765	0.531	0.897	روشن بین
clam	0.442	0.302	0.272	صدف
clambake	0.542	0.540	0.429	clambake
clammy	0.354	0.440	0.236	آب پز
clamor	0.438	0.643	0.360	سر و صدا
clamp	0.541	0.388	0.454	گیره
clan	0.562	0.491	0.686	قبیله
clandestine	0.425	0.677	0.469	مخفیانه
clang	0.459	0.520	0.510	زنگ زدن
clap	0.779	0.731	0.529	کف زدن
clapper	0.500	0.229	0.420	کف زدن
clapping	0.823	0.894	0.686	کف زدن
clarification	0.802	0.461	0.613	شفاف سازی
clarify	0.652	0.535	0.625	روشن کردن
clarinet	0.592	0.453	0.411	کلارینت
clarion	0.500	0.443	0.422	روشن کردن
clarity	0.796	0.310	0.631	وضوح
clash	0.293	0.918	0.453	درگیری
clashing	0.177	0.764	0.575	درگیری
clasp	0.448	0.375	0.241	گیره
class	0.656	0.314	0.522	کلاس
classic	0.690	0.260	0.611	کلاسیک
classic rock	0.729	0.571	0.588	راک کلاسیک
classical	0.643	0.198	0.536	کلاسیک
classics	0.750	0.333	0.510	کلاسیک ها
classification	0.583	0.423	0.613	طبقه بندی
classified	0.571	0.460	0.663	طبقه بندی شده
classify	0.646	0.411	0.720	طبقه بندی کردن
classmate	0.781	0.400	0.593	همکلاسی
classroom	0.539	0.292	0.363	کلاس درس
classy	0.917	0.410	0.649	درجه یک
clatter	0.418	0.820	0.387	تق تق
clause	0.480	0.409	0.528	عبارت
clauses	0.449	0.429	0.545	بندها
claustrophobia	0.125	0.840	0.333	کلاستروفوبیا
claustrophobic	0.092	0.755	0.400	کلاستروفوبیک
clavicle	0.398	0.400	0.452	ترقوه
claw	0.260	0.600	0.598	پنجه
claws	0.281	0.698	0.562	پنجه ها
clay	0.542	0.250	0.267	خاک رس
clean	0.827	0.170	0.500	تمیز
cleaner	0.604	0.556	0.375	پاک کننده
cleaning	0.595	0.396	0.427	تمیز کردن
cleanliness	0.816	0.363	0.609	پاکیزگی
cleanly	0.823	0.352	0.583	تمیز
cleanse	0.625	0.310	0.660	پاک کردن
cleanser	0.604	0.353	0.433	پاک کننده
cleansing	0.729	0.298	0.472	پاکسازی
cleanup	0.729	0.314	0.451	پاک کردن
clear	0.857	0.327	0.573	روشن
clearance	0.542	0.459	0.473	ترخیص کالا از گمرک
clearing	0.680	0.333	0.509	پاکسازی
clearness	0.875	0.316	0.689	شفافیت
cleat	0.486	0.260	0.361	گیره
cleavage	0.542	0.602	0.454	رخ
cleave	0.296	0.545	0.389	شکافتن
cleaver	0.240	0.627	0.434	چاقو
clef	0.615	0.360	0.595	کلید
cleft	0.306	0.442	0.360	شکاف
clemency	0.594	0.417	0.397	رحم
clench	0.438	0.618	0.580	فشردن
clergy	0.531	0.312	0.575	روحانیت
clergyman	0.594	0.330	0.556	روحانی
cleric	0.521	0.324	0.589	روحانی
clerical	0.520	0.396	0.491	روحانی
clerk	0.500	0.579	0.509	منشی
clerkship	0.582	0.380	0.596	منشی
clever	0.896	0.353	0.729	باهوش
cleverness	0.878	0.509	0.921	زیرکی
click	0.536	0.365	0.268	کلیک
clicker	0.418	0.490	0.463	کلیک کننده
client	0.583	0.450	0.618	مشتری
clientele	0.625	0.577	0.508	ارباب رجوع
cliff	0.361	0.620	0.509	صخره
climate	0.635	0.240	0.483	اقلیم
climatology	0.531	0.367	0.541	اقلیم شناسی
climax	0.735	0.853	0.667	به اوج رسیدن
climb	0.615	0.660	0.604	بالا رفتن
climber	0.573	0.716	0.735	کوهنورد
clinch	0.469	0.538	0.430	گیره
cling	0.417	0.620	0.588	چسبیدن
clingy	0.224	0.460	0.370	چسبیده
clinic	0.469	0.439	0.600	درمانگاه
clinical	0.337	0.412	0.640	بالینی
clink	0.458	0.462	0.319	صدا زدن
clip	0.438	0.310	0.381	کلیپ
clipboard	0.594	0.255	0.423	کلیپ بورد
clipper	0.293	0.422	0.383	قیچی
clipping	0.460	0.500	0.405	بریدن
clique	0.427	0.430	0.391	دسته
clitoris	0.625	0.844	0.464	کلیتوریس
cloak	0.469	0.188	0.333	شنل
cloaking	0.521	0.595	0.389	پوشش
cloakroom	0.690	0.254	0.397	رخت کن
clobber	0.396	0.578	0.464	کلوبگر
clock	0.677	0.173	0.407	ساعت
clockwork	0.490	0.373	0.528	ساعت
clod	0.375	0.404	0.365	کلوخ
clog	0.104	0.618	0.454	گرفتگی
cloister	0.438	0.413	0.475	صومعه
clone	0.406	0.471	0.524	شبیه
cloning	0.216	0.696	0.679	شبیه سازی
close	0.292	0.260	0.263	بستن
closed	0.240	0.164	0.318	بسته
closeness	0.796	0.237	0.450	نزدیکی
closet	0.531	0.204	0.330	کمد لباس
closure	0.229	0.220	0.412	بسته
clot	0.150	0.558	0.275	لخته خون
cloth	0.510	0.190	0.287	پارچه
clothe	0.797	0.330	0.481	لباس
clothes	0.833	0.270	0.414	لباس ها
clothesline	0.582	0.324	0.366	بند رخت
clothing	0.750	0.343	0.407	تن پوش
cloud	0.740	0.133	0.342	ابر
clouded	0.240	0.213	0.302	ابری
cloudiness	0.469	0.250	0.343	ابری
clouds	0.735	0.195	0.324	ابرها
cloudy	0.281	0.280	0.202	ابری
clout	0.584	0.636	0.704	نفوذ
clove	0.439	0.296	0.315	میخک
clover	0.605	0.340	0.364	شبدر
cloves	0.427	0.218	0.396	میخک ها
clown	0.650	0.598	0.300	دلقک
clowns	0.600	0.673	0.391	دلقک ها
club	0.646	0.618	0.393	باشگاه
clubhouse	0.694	0.571	0.493	باشگاه
clubs	0.723	0.530	0.591	باشگاه ها
cluck	0.390	0.490	0.353	کلک کردن
clue	0.653	0.380	0.412	سرنخ
clueless	0.350	0.333	0.161	بی خبر
clump	0.551	0.480	0.582	توده
clumsy	0.125	0.420	0.144	دست و پا چلفتی
clunk	0.448	0.472	0.407	چنگ زدن
cluster	0.490	0.458	0.446	خوشه
clutch	0.383	0.500	0.491	کلاچ
clutches	0.542	0.373	0.528	کلاچ ها
clutter	0.135	0.598	0.400	کلفت
coach	0.633	0.823	0.735	مربی
coachman	0.479	0.394	0.509	کاوشگر
coagulation	0.381	0.558	0.436	انعقاد
coal	0.360	0.241	0.340	زغال سنگ
coalesce	0.479	0.434	0.529	یکی شدن
coalition	0.490	0.730	0.673	ائتلاف
coarse	0.333	0.481	0.481	درشت
coast	0.719	0.396	0.458	ساحل
coastal	0.604	0.370	0.510	ساحلی
coaster	0.612	0.788	0.627	زیر لیوانی
coastline	0.745	0.282	0.441	خط ساحلی
coat	0.677	0.256	0.464	کت
coating	0.620	0.440	0.596	پوشش
coax	0.367	0.400	0.447	متقاعد کننده
cobalt	0.408	0.325	0.441	کبالت
cobble	0.448	0.385	0.368	سنگفرش
cobbler	0.510	0.415	0.318	پینه دوز
cobra	0.312	0.712	0.600	کبرا
cocaine	0.156	0.840	0.373	کوکائین
cock	0.418	0.562	0.392	خروس
cockamamie	0.450	0.500	0.382	کاکامی
cockeyed	0.459	0.460	0.423	مغرور
cockpit	0.520	0.424	0.343	کابین خلبان
cockroach	0.188	0.667	0.196	سوسک
cocksucker	0.083	0.764	0.339	خروس
cocktail	0.740	0.480	0.381	کوکتل
cocky	0.260	0.784	0.519	از خود راضی
cocoa	0.776	0.255	0.322	کاکائو
coconut	0.622	0.265	0.227	نارگیل
cocoon	0.470	0.280	0.290	پیله
cod	0.510	0.321	0.304	کد
code	0.583	0.308	0.491	کد
codeine	0.375	0.582	0.436	کدئین
codex	0.531	0.488	0.524	کدکس
codfish	0.490	0.245	0.300	ماهی کاد
codification	0.448	0.400	0.698	کدگذاری
codify	0.448	0.410	0.679	کدگذاری
coding	0.442	0.344	0.667	کد نویسی
coed	0.469	0.531	0.481	مختلط
coefficient	0.677	0.415	0.702	ضریب
coerce	0.260	0.741	0.517	اجبار
coercion	0.330	0.708	0.577	اجبار
coercive	0.479	0.670	0.506	اجباری
coexist	0.708	0.460	0.536	همزیستی
coexistence	0.588	0.472	0.638	همزیستی
coexisting	0.551	0.349	0.648	همزیستی
coffee	0.823	0.418	0.309	قهوه
coffee table	0.720	0.339	0.295	میز قهوه خوری
coffeehouse	0.694	0.357	0.307	قهوه خانه
coffeepot	0.760	0.333	0.312	قهوه جوش
coffin	0.073	0.432	0.343	تابوت
cog	0.427	0.343	0.363	چرخ دنده
cogent	0.765	0.479	0.836	قانع کننده
cognac	0.615	0.510	0.430	کنیاک
cognate	0.615	0.350	0.398	هم خانواده
cognition	0.635	0.344	0.706	شناخت
cognitive	0.513	0.401	0.634	شناختی
cohabitation	0.646	0.526	0.598	زندگی مشترک
coherence	0.720	0.406	0.788	انسجام
coherent	0.698	0.281	0.500	منسجم
cohesion	0.604	0.536	0.555	انسجام
cohesive	0.531	0.470	0.603	منسجم
cohort	0.459	0.551	0.566	گروه
coil	0.448	0.343	0.298	سیم پیچ
coiled	0.378	0.518	0.389	پیچ خورده
coin	0.677	0.574	0.445	سکه
coinage	0.500	0.400	0.545	ضرب سکه
coincide	0.635	0.490	0.593	مصادف شدن
coincidence	0.612	0.450	0.518	اتفاقی
coincident	0.562	0.385	0.602	تصادفی
coincidental	0.646	0.481	0.337	تصادفی
coinciding	0.673	0.373	0.623	همزمان
coke	0.404	0.461	0.397	کک
cola	0.469	0.325	0.240	کولا
cold	0.398	0.538	0.348	سرد
coldly	0.365	0.358	0.407	سرد
coldness	0.093	0.470	0.427	سردی
coldsweat	0.427	0.491	0.327	عرق سرد
coleslaw	0.707	0.312	0.336	سالاد کلم
colic	0.135	0.736	0.361	قولنج
coliseum	0.612	0.663	0.704	کولیسئوم
collaborate	0.816	0.449	0.559	همکاری
collaboration	0.885	0.628	0.741	همکاری
collaborator	0.729	0.320	0.769	همکار
collage	0.680	0.321	0.375	کلاژ
collagen	0.541	0.245	0.450	کلاژن
collapse	0.208	0.689	0.342	سقوط - فروپاشی
collar	0.656	0.442	0.446	یقه
collarbone	0.420	0.427	0.306	استخوان ترقوه
collate	0.438	0.448	0.580	جمع آوری
collateral	0.531	0.422	0.717	وثیقه
collation	0.520	0.333	0.508	تطبیق
colleague	0.740	0.413	0.600	همکار
collect	0.635	0.481	0.491	جمع آوری کنید
collected	0.570	0.402	0.588	جمع آوری شده
collection	0.725	0.311	0.588	مجموعه
collective	0.583	0.458	0.698	جمعی
collectively	0.817	0.573	0.533	به صورت جمعی
collector	0.552	0.481	0.648	گردآورنده
college	0.700	0.467	0.746	دانشکده
collegiate	0.592	0.461	0.678	دانشگاهی
collide	0.271	0.892	0.557	برخورد
collie	0.562	0.308	0.328	کولی
collision	0.245	0.848	0.585	برخورد
collocation	0.637	0.360	0.594	همایند
colloquial	0.604	0.363	0.368	محاوره ای
collusion	0.365	0.510	0.400	تبانی
cologne	0.677	0.413	0.552	ادکلن
colon	0.449	0.394	0.384	روده بزرگ
colonel	0.459	0.592	0.890	سرهنگ
colonial	0.553	0.327	0.613	استعماری
colonic	0.333	0.420	0.430	روده بزرگ
colonoscopy	0.208	0.524	0.466	کولونوسکوپی
colony	0.716	0.353	0.593	مستعمره
colophon	0.500	0.408	0.385	کلفون
color	0.786	0.280	0.402	رنگ
coloration	0.541	0.520	0.443	رنگ آمیزی
colored	0.806	0.317	0.275	رنگی
colorful	0.850	0.520	0.519	رنگارنگ
coloring	0.781	0.469	0.353	رنگ آمیزی
colorless	0.354	0.340	0.250	بی رنگ
colors	0.875	0.349	0.340	رنگ ها
colossal	0.698	0.692	0.900	غول آسا
colt	0.561	0.587	0.543	کلت
columbine	0.520	0.521	0.407	کلمباین
column	0.480	0.250	0.670	ستون
columnar	0.448	0.340	0.491	ستونی
columnist	0.646	0.365	0.648	مقالهنویس
com	0.396	0.382	0.382	com
coma	0.219	0.255	0.302	کما
comatose	0.143	0.438	0.433	به کما رفته
comb	0.490	0.123	0.268	شانه کردن
combat	0.302	0.846	0.833	مبارزه کن
combatant	0.531	0.853	0.780	رزمنده
combative	0.381	0.690	0.816	رزمنده
combination	0.708	0.480	0.726	ترکیبی
combinatorial	0.561	0.436	0.428	ترکیبی
combine	0.663	0.442	0.533	ترکیب کردن
combined	0.622	0.370	0.500	ترکیب شده
combo	0.698	0.439	0.453	ترکیبی
combustible	0.386	0.650	0.750	قابل احتراق
combustion	0.457	0.807	0.591	احتراق
come	0.529	0.269	0.558	بیا
comeback	0.580	0.409	0.555	بازگشت
comedian	0.812	0.735	0.598	کمدین
comedy	0.918	0.555	0.490	کمدی
comet	0.704	0.679	0.471	دنباله دار
comfort	0.863	0.231	0.670	راحتی
comfortable	0.927	0.163	0.473	راحت
comforter	0.618	0.275	0.302	تسلی دهنده
comforting	0.906	0.337	0.620	آرامش بخش
comfy	0.930	0.241	0.625	راحت
comic	0.917	0.459	0.387	کمیک
comical	0.844	0.737	0.327	طنز
comics	0.690	0.556	0.384	کمیک
coming	0.653	0.417	0.500	آینده
comma	0.344	0.269	0.242	کاما
command	0.427	0.790	0.849	فرمان
commandant	0.622	0.700	0.943	فرمانده
commandeer	0.552	0.639	0.931	فرمانده
commander	0.531	0.615	0.906	فرمانده
commanding	0.562	0.664	0.925	فرمان دادن
commandment	0.656	0.490	0.876	فرمان
commando	0.323	0.710	0.817	کماندویی
commemorate	0.812	0.602	0.636	بزرگداشت
commemoration	0.719	0.615	0.754	بزرگداشت
commemorative	0.750	0.438	0.754	یادبود
commence	0.760	0.585	0.741	آغاز شود
commend	0.906	0.694	0.711	ستایش کردن
commendable	0.786	0.570	0.555	قابل ستایش
commendation	0.911	0.500	0.639	ستایش
commensurate	0.610	0.304	0.550	متناسب
comment	0.667	0.417	0.379	اظهار نظر
commentary	0.602	0.402	0.446	تفسیر
commentator	0.492	0.510	0.607	مفسر
commerce	0.646	0.500	0.788	تجارت
commercial	0.806	0.490	0.528	تجاری
commie	0.385	0.519	0.454	commie
commissary	0.385	0.500	0.788	کمیساری
commission	0.677	0.480	0.571	کمیسیون
commissioner	0.602	0.449	0.949	کمیسیونر، رئیس پلیس
commit	0.365	0.529	0.491	مرتکب شدن
commitment	0.714	0.710	0.843	تعهد
committal	0.472	0.519	0.582	متعهد
committed	0.710	0.542	0.712	متعهد شد
committee	0.592	0.392	0.721	کمیته
commodity	0.615	0.394	0.537	کالا
commodore	0.427	0.530	0.636	کمدور
common	0.600	0.127	0.318	مشترک
commoner	0.448	0.365	0.327	معمولی
commonly	0.604	0.170	0.574	معمولا
commonplace	0.520	0.337	0.442	عادی
commons	0.633	0.396	0.623	مشترک
commonwealth	0.630	0.406	0.702	مشترک المنافع
commotion	0.490	0.700	0.646	هیاهو
communal	0.592	0.321	0.556	اشتراکی
commune	0.500	0.488	0.655	کمون
communicable	0.796	0.491	0.623	قابل انتقال
communicate	0.823	0.410	0.696	برقراری ارتباط
communication	0.837	0.400	0.649	ارتباط
communicative	0.847	0.560	0.637	ارتباطی
communicator	0.573	0.509	0.796	ارتباط دهنده
communion	0.765	0.357	0.607	اشتراک
communism	0.264	0.570	0.623	کمونیسم
communist	0.265	0.702	0.632	کمونیست
community	0.750	0.350	0.659	انجمن
commutation	0.469	0.431	0.652	تخفیف
commutative	0.667	0.442	0.569	تعویضی
commute	0.622	0.582	0.565	رفت و آمد
commuter	0.646	0.520	0.512	مسافر
comp	0.573	0.450	0.371	مقایسه
compact	0.458	0.417	0.673	فشرده - جمع و جور
compaction	0.531	0.471	0.582	فشرده سازی
compactness	0.582	0.352	0.454	فشردگی
companion	0.770	0.377	0.618	همراه و همدم
companionless	0.271	0.259	0.200	بی همنشین
companionship	0.833	0.438	0.792	همراهی - مصاحبت
company	0.906	0.425	0.798	شرکت
comparable	0.562	0.443	0.458	قابل مقایسه
comparative	0.470	0.273	0.562	مقایسه ای
comparatively	0.604	0.391	0.538	به صورت مقایسه ای
compare	0.552	0.408	0.524	مقایسه کنید
comparison	0.583	0.456	0.492	مقایسه
compartment	0.500	0.389	0.607	محفظه
compass	0.541	0.307	0.529	قطب نما
compassion	0.735	0.258	0.509	رحم و شفقت - دلسوزی
compassionate	0.857	0.404	0.411	دلسوز
compatibility	0.816	0.450	0.673	سازگاری
compatible	0.892	0.387	0.638	سازگار
compel	0.200	0.847	0.625	مجبور کردن
compelled	0.333	0.654	0.347	مجبور
compelling	0.698	0.570	0.870	متقاعد کننده
compendium	0.610	0.461	0.537	چکیده
compensate	0.612	0.429	0.762	جبران کردن
compensation	0.775	0.469	0.598	جبران خسارت
