English Word	Valence	Arousal	Dominance	Turkish Word
calligraphy	0.620	0.216	0.500	kaligrafi
calling	0.646	0.590	0.483	arama
callous	0.245	0.500	0.386	duygusuz
calls	0.608	0.431	0.551	aramalar
calm	0.875	0.100	0.282	sakinlik
calming	0.885	0.105	0.360	sakinleştirici
calmness	0.934	0.105	0.394	sakinlik
caloric	0.327	0.483	0.448	kalori
calorie	0.333	0.540	0.427	kalori
calorimeter	0.406	0.560	0.414	kalorimetre
cam	0.448	0.363	0.355	kam
camaraderie	0.833	0.510	0.648	dostluk
camber	0.430	0.382	0.439	kamber
camcorder	0.556	0.422	0.454	kamera
camel	0.540	0.282	0.314	deve
cameo	0.573	0.457	0.509	kamera hücresi
camera	0.640	0.288	0.379	kamera
cameraman	0.542	0.452	0.542	kameraman
camisole	0.497	0.250	0.375	kaşkorse
camouflage	0.438	0.585	0.450	kamuflaj
camouflaged	0.350	0.422	0.562	kamufle edilmiş
camp	0.622	0.617	0.594	kamp
campaign	0.602	0.730	0.823	kampanya
campaigner	0.592	0.698	0.821	kampanyacı
campaigning	0.531	0.663	0.741	kampanya
camper	0.573	0.529	0.482	kampçı
campfire	0.677	0.509	0.436	kamp ateşi
camping	0.653	0.529	0.480	kamp yapmak
campsite	0.680	0.490	0.547	kamp alanı
campus	0.604	0.388	0.519	yerleşke
can	0.662	0.360	0.454	Yapabilmek
can opener	0.444	0.491	0.308	Konserve açacağı
canal	0.673	0.259	0.321	kanal
canary	0.582	0.276	0.265	kanarya
cancel	0.214	0.306	0.368	iptal etmek
canceling	0.229	0.470	0.349	iptal
cancellation	0.224	0.431	0.389	iptal
cancer	0.052	0.694	0.529	kanser
candid	0.667	0.349	0.458	samimi
candidacy	0.490	0.657	0.696	adaylık
candidate	0.596	0.490	0.804	aday
candied	0.713	0.330	0.360	şekerlenmiş
candle	0.602	0.221	0.344	mum
candlelight	0.789	0.294	0.417	mum ışığı
candles	0.615	0.206	0.268	mumlar
candlestick	0.448	0.531	0.534	şamdan
candor	0.740	0.389	0.607	samimiyet
candy	0.930	0.425	0.384	Şeker
cane	0.459	0.298	0.398	baston
canine	0.573	0.569	0.425	köpek
canister	0.553	0.271	0.403	teneke kutu
canker	0.262	0.469	0.427	kanser
cannabis	0.271	0.500	0.564	esrar
canned	0.398	0.357	0.298	konserve
cannibal	0.122	0.824	0.480	yamyam
cannibalism	0.094	0.890	0.583	yamyamlık
canning	0.490	0.392	0.259	konserve
cannon	0.529	0.676	0.811	top
cannonball	0.344	0.840	0.759	top mermisi
canoe	0.542	0.300	0.418	kano
canon	0.385	0.519	0.541	kanon
canonical	0.542	0.410	0.620	kanonik
canons	0.385	0.588	0.593	kanunlar
canopy	0.615	0.264	0.398	gölgelik
cantaloupe	0.592	0.212	0.276	kavun
cantbreathe	0.284	0.667	0.375	nefes alamamak
canteen	0.688	0.600	0.514	kantin
canterbury	0.582	0.438	0.510	canterbury
canthandleit	0.354	0.613	0.354	şamdan
cantilever	0.357	0.618	0.421	konsol
cantina	0.646	0.612	0.380	kantina
canto	0.776	0.461	0.554	kanto
canton	0.542	0.472	0.536	kanton
cantstandit	0.418	0.546	0.343	dayanamıyorum
cantwin	0.260	0.509	0.298	cantwin
canvas	0.719	0.090	0.364	tuval
canvass	0.675	0.356	0.397	tuval
canyon	0.468	0.731	0.634	kanyon
cap	0.612	0.240	0.375	kap
capability	0.833	0.571	0.730	kabiliyet
capable	0.765	0.587	0.547	yetenekli
capacity	0.719	0.411	0.806	kapasite
cape	0.531	0.235	0.357	pelerin
caper	0.510	0.370	0.326	muziplik
capillary	0.469	0.365	0.395	kılcal damar
capital	0.520	0.500	0.798	Başkent
capitalism	0.448	0.686	0.848	kapitalizm
capitalist	0.352	0.577	0.821	kapitalist
capitalize	0.771	0.601	0.885	büyük harf kullanmak
capitals	0.755	0.500	0.655	başkentler
capitation	0.479	0.529	0.589	büyük harf
capitol	0.535	0.375	0.705	başkent
capitulation	0.375	0.546	0.615	kapitülasyon
cappuccino	0.792	0.279	0.384	cappuccino
caprice	0.333	0.640	0.430	kapris
capricious	0.221	0.650	0.500	kaprisli
caps	0.510	0.221	0.368	büyük harfler
capslock	0.330	0.394	0.398	Caps Lock
capsule	0.583	0.290	0.570	kapsül
captain	0.552	0.653	0.966	Kaptan
caption	0.814	0.292	0.379	altyazı
captivate	0.698	0.604	0.723	büyülemek
captivating	0.895	0.594	0.816	büyüleyici
captive	0.235	0.558	0.411	tutsak
captivity	0.225	0.493	0.387	tutsaklık
captor	0.347	0.625	0.612	esir
capture	0.357	0.650	0.537	ele geçirmek
car	0.776	0.540	0.500	araba
caramel	0.901	0.363	0.400	karamel
carat	0.823	0.604	0.676	karat
caravan	0.635	0.559	0.455	karavan
carbon	0.604	0.360	0.350	karbon
carburetor	0.469	0.612	0.555	karbüratör
carcass	0.115	0.529	0.309	karkas
carcinoma	0.153	0.692	0.440	karsinom
card	0.531	0.269	0.436	kart
cardboard	0.500	0.173	0.309	karton
cardiac	0.344	0.765	0.615	kalp
cardigan	0.599	0.324	0.264	hırka
cardinal	0.583	0.358	0.712	kardinal
cardiologist	0.458	0.630	0.814	kardiyolog
cardiology	0.203	0.545	0.605	kardiyoloji
cardiomyopathy	0.177	0.645	0.537	kardiyomiyopati
cards	0.568	0.317	0.320	kartlar
care	0.729	0.370	0.500	bakım
career	0.740	0.712	0.606	kariyer
carefree	0.755	0.220	0.500	kaygısız
careful	0.625	0.538	0.530	dikkatli olmak
carefully	0.698	0.330	0.544	dikkatlice
careless	0.255	0.431	0.125	dikkatsiz
carelessness	0.245	0.482	0.330	dikkatsizlik
caress	0.833	0.418	0.509	okşamak
caret	0.656	0.402	0.527	şapka
caretaker	0.714	0.531	0.759	bekçi
cargo	0.408	0.444	0.455	kargo
caribou	0.562	0.452	0.342	ren geyiği
caricature	0.604	0.373	0.383	karikatür
caries	0.115	0.569	0.283	çürük
caring	0.635	0.469	0.500	ilgili
carjack	0.438	0.682	0.439	araba hırsızı
carnage	0.406	0.600	0.558	katliam
carnal	0.417	0.679	0.421	cinsel
carnation	0.653	0.357	0.431	karanfil
carnival	0.927	0.888	0.555	karnaval
carnivorous	0.224	0.613	0.651	etobur
carol	0.673	0.412	0.436	şarkı
carols	0.847	0.420	0.491	şarkılar
carousel	0.704	0.500	0.412	atlıkarınca
carp	0.531	0.324	0.375	sazan
carpal	0.449	0.327	0.420	karpal
carpenter	0.521	0.550	0.519	marangoz
carpentry	0.561	0.459	0.518	marangozluk
carpet	0.520	0.170	0.339	halı
carpeting	0.542	0.312	0.444	halı
carpool	0.625	0.509	0.500	araba paylaşımı
carriage	0.650	0.538	0.491	araba
carried	0.490	0.382	0.534	taşınan
carrier	0.533	0.588	0.638	taşıyıcı
carrot	0.500	0.235	0.279	havuç
carry	0.635	0.380	0.500	taşımak
carrying	0.656	0.557	0.443	taşıma
carsick	0.224	0.574	0.255	araba tutması
cart	0.520	0.344	0.388	araba
carte	0.592	0.320	0.274	carte
cartel	0.438	0.394	0.602	kartel
carter	0.312	0.480	0.431	arabacı
cartilage	0.438	0.370	0.407	kıkırdak
cartographic	0.490	0.348	0.424	kartografik
cartography	0.520	0.300	0.579	haritacılık
carton	0.286	0.186	0.241	karton
cartoon	0.867	0.471	0.387	karikatür
cartouche	0.427	0.458	0.450	kartuş
cartridge	0.458	0.500	0.407	kartuş
carve	0.469	0.443	0.598	oymak
carver	0.418	0.500	0.500	oymacı
carving	0.541	0.444	0.368	oymacılık
cascade	0.735	0.509	0.395	Çağlayan
case	0.427	0.275	0.441	dava
casein	0.470	0.436	0.415	kazein
cash	0.867	0.552	0.714	nakit
cashier	0.615	0.413	0.484	kasiyer
cashmere	0.653	0.452	0.439	kaşmir
casing	0.458	0.327	0.328	kasa
casino	0.542	0.684	0.568	kumarhane
cask	0.490	0.398	0.444	fıçı
casket	0.125	0.490	0.346	tabut
casserole	0.570	0.360	0.328	güveç
cassette	0.490	0.334	0.355	kaset
cast	0.558	0.620	0.517	oyuncu kadrosu
castaway	0.208	0.646	0.422	ıssız adada mahsur kalmak
caste	0.510	0.333	0.374	kast
caster	0.604	0.670	0.647	teker
castle	0.680	0.396	0.718	kale
castor	0.583	0.337	0.368	teker
castrate	0.177	0.485	0.519	hadım etmek
castration	0.198	0.735	0.381	hadım etme
casual	0.643	0.224	0.385	gündelik
casually	0.658	0.290	0.333	gelişigüzel
casualty	0.235	0.274	0.132	zayiat
cat	0.667	0.260	0.370	kedi
catabolism	0.265	0.573	0.605	katabolizma
catalog	0.561	0.221	0.573	katalog
catalogue	0.647	0.327	0.533	katalog
catalysis	0.385	0.559	0.531	kataliz
catalyst	0.604	0.509	0.585	katalizör
catalytic	0.562	0.519	0.563	katalitik
catamaran	0.571	0.566	0.526	katamaran
catapult	0.480	0.830	0.649	mancınık
cataract	0.406	0.545	0.549	katarakt
catastrophe	0.146	0.952	0.670	felaket
catastrophic	0.071	0.934	0.598	felaket
catatonic	0.255	0.500	0.509	katatonik
catch	0.531	0.437	0.552	tutmak
catcher	0.653	0.413	0.540	yakalayıcı
catching	0.490	0.788	0.644	yakalamak
catchphrase	0.698	0.423	0.433	slogan
catchy	0.677	0.441	0.462	akılda kalıcı
catechism	0.656	0.236	0.613	ilmihal
categorical	0.615	0.442	0.760	kategorik
category	0.571	0.264	0.521	kategori
cater	0.802	0.500	0.509	karşılamak
caterer	0.550	0.557	0.644	yemek şirketi
caterpillar	0.461	0.286	0.330	tırtıl
cates	0.370	0.394	0.407	kedi
catfish	0.458	0.337	0.296	kedi balığı
cathartic	0.450	0.510	0.604	katartik
cathedral	0.598	0.330	0.643	katedral
catheter	0.336	0.491	0.373	kateter
cathouse	0.327	0.375	0.363	kedi evi
catnip	0.439	0.381	0.296	kedi nanesi
cattle	0.622	0.340	0.445	sığırlar
catwalk	0.698	0.436	0.464	podyum
caucus	0.418	0.311	0.491	grup toplantısı
caudal	0.500	0.425	0.583	kaudal
cauldron	0.510	0.486	0.418	kazan
cauliflower	0.448	0.255	0.231	Karnıbahar
caulk	0.367	0.500	0.418	kalafat
causal	0.562	0.367	0.491	nedensel
causality	0.500	0.378	0.336	nedensellik
causation	0.562	0.480	0.567	nedensellik
cause	0.469	0.373	0.486	neden
caused	0.344	0.520	0.382	neden oldu
causeway	0.453	0.382	0.422	geçit
caution	0.552	0.712	0.547	Dikkat
cautionary	0.510	0.541	0.519	uyarıcı
cautious	0.470	0.445	0.517	dikkatli
cautiously	0.510	0.388	0.525	dikkatli bir şekilde
cavalier	0.735	0.462	0.713	şövalye
cavalry	0.667	0.727	0.794	süvari
cave	0.459	0.333	0.380	mağara
caveat	0.344	0.629	0.484	uyarı
caveman	0.235	0.644	0.482	mağara adamı
cavern	0.323	0.360	0.365	mağara
cavernous	0.354	0.548	0.462	kavernöz
caviar	0.906	0.394	0.481	havyar
caving	0.378	0.491	0.551	Mağaracılık
cavity	0.466	0.385	0.379	boşluk
cayenne	0.615	0.306	0.355	kırmızı biber
cease	0.388	0.250	0.420	durdurmak
ceasefire	0.542	0.594	0.567	ateşkes
ceaseless	0.378	0.704	0.658	durmaksızın
cedar	0.560	0.267	0.577	sedir
cede	0.275	0.327	0.402	devretmek
ceiling	0.520	0.224	0.366	tavan
celebrant	0.865	0.656	0.643	kutlama
celebrate	0.917	0.857	0.859	kutlamak
celebrated	0.875	0.690	0.763	ünlü
celebrating	0.927	0.860	0.773	kutlama
celebration	0.939	0.824	0.880	kutlama
celebrations	0.958	0.794	0.714	kutlamalar
celebratory	0.857	0.653	0.845	kutlama
celebrity	0.760	0.619	0.855	ünlü
celery	0.396	0.147	0.223	kereviz
celestial	0.817	0.360	0.731	göksel
celibacy	0.302	0.276	0.509	bekarlık
celibate	0.419	0.387	0.391	bekar
cell	0.541	0.375	0.465	hücre
cellar	0.510	0.277	0.406	kiler
cellblock	0.186	0.570	0.500	hücre bloğu
cellist	0.667	0.500	0.486	çellist
cellmate	0.167	0.684	0.349	hücre arkadaşı
cello	0.635	0.324	0.528	çello
cellophane	0.648	0.282	0.289	selofan
cellular	0.643	0.398	0.517	hücresel
cellulite	0.200	0.384	0.256	selülit
celluloid	0.469	0.440	0.425	selüloit
cement	0.544	0.265	0.527	çimento
cemented	0.429	0.382	0.537	çimentolu
cemetery	0.051	0.630	0.417	mezarlık
censor	0.344	0.276	0.538	sansür
censorship	0.219	0.698	0.421	sansür
censure	0.219	0.653	0.417	kınama
census	0.449	0.289	0.553	nüfus sayımı
cent	0.439	0.367	0.402	sent
centenary	0.604	0.440	0.642	yüzüncü yıl
centennial	0.583	0.394	0.700	yüzüncü yıl
center	0.643	0.231	0.431	merkez
centerfold	0.571	0.407	0.485	orta sayfa
centerpiece	0.594	0.208	0.520	merkez parçası
centimeter	0.427	0.280	0.380	santimetre
centipede	0.296	0.399	0.361	kırkayak
central	0.640	0.356	0.621	merkezi
centrality	0.571	0.312	0.709	merkezilik
centralization	0.521	0.440	0.702	merkezileşme
centralize	0.684	0.427	0.802	merkezileştirmek
centrally	0.729	0.280	0.700	merkezi olarak
centrifugal	0.306	0.651	0.480	merkezkaç
centrifuge	0.495	0.622	0.527	santrifüj
centurion	0.590	0.447	0.696	yüzbaşı
century	0.407	0.347	0.735	yüzyıl
ceramic	0.521	0.255	0.371	seramik
ceramics	0.573	0.250	0.373	seramik
cereal	0.612	0.206	0.316	mısır gevreği
cereals	0.719	0.224	0.311	hububat
cerebral	0.408	0.509	0.627	beyin
ceremonial	0.771	0.540	0.691	tören
ceremony	0.760	0.559	0.761	tören
certain	0.760	0.358	0.673	belirli
certainty	0.781	0.400	0.769	kesinlik
certifiable	0.714	0.427	0.662	sertifikalandırılabilir
certificate	0.786	0.377	0.746	sertifika
certified	0.781	0.422	0.806	sertifikalı
certify	0.866	0.400	0.746	onaylamak
cervical	0.375	0.413	0.445	servikal
cervix	0.429	0.360	0.340	serviks, rahim ağzı
cess	0.427	0.375	0.406	kesinti
cessation	0.414	0.385	0.358	bırakma
cesspool	0.167	0.460	0.409	lağım çukuru
cha cha	0.714	0.546	0.324	ça ça
chaff	0.333	0.327	0.188	saman
chafing	0.430	0.415	0.368	sürtünme
chagrin	0.104	0.704	0.472	üzülmek
chagrined	0.112	0.745	0.361	üzgün
chai	0.500	0.375	0.363	çay
chain	0.378	0.500	0.547	Zincir
chainsaw	0.367	0.804	0.636	elektrikli testere
chair	0.562	0.082	0.276	sandalye
chairman	0.656	0.567	0.933	başkan
chairperson	0.730	0.657	0.966	başkan
chairwoman	0.719	0.664	0.953	başkan
chaise	0.406	0.349	0.327	şezlong
chalet	0.653	0.349	0.278	dağ evi
chalice	0.633	0.286	0.529	kadeh
chalk	0.385	0.185	0.121	tebeşir
challenge	0.469	0.922	0.713	meydan okumak
challenger	0.417	0.755	0.652	meydan okuyan
chamber	0.583	0.373	0.455	bölme
chambermaid	0.594	0.375	0.336	oda hizmetçisi
chambers	0.542	0.442	0.388	odalar
chameleon	0.490	0.580	0.345	bukalemun
champ	0.854	0.754	0.896	şampiyon
champagne	0.760	0.600	0.454	Şampanya
champion	0.890	0.880	0.945	şampiyon
championship	0.833	0.800	0.880	şampiyonluk
chance	0.833	0.551	0.525	şans
chancellor	0.646	0.500	0.887	şansölye
chandelier	0.615	0.542	0.366	avize
chandler	0.510	0.452	0.454	chandler
change	0.625	0.575	0.606	değiştirmek
changeable	0.490	0.480	0.528	değiştirilebilir
changed	0.594	0.375	0.491	değişti
changer	0.583	0.519	0.567	değiştirici
changing	0.571	0.569	0.461	değiştirme
channel	0.490	0.287	0.405	kanal
chant	0.771	0.698	0.650	ilahi
chaos	0.016	0.923	0.373	kaos
chaotic	0.115	0.847	0.442	kaotik
chap	0.550	0.410	0.345	Çatlak
chapel	0.573	0.240	0.440	şapel
chaperon	0.500	0.520	0.404	refakatçi
chaplain	0.582	0.370	0.577	papaz
chapman	0.562	0.529	0.465	chapman
chaps	0.350	0.462	0.350	ahbaplar
chapter	0.580	0.308	0.461	bölüm
char	0.554	0.361	0.404	karakter
character	0.667	0.373	0.686	karakter
characteristic	0.583	0.328	0.538	karakteristik
characterize	0.729	0.471	0.735	karakterize etmek
charade	0.458	0.550	0.346	maskaralık
charcoal	0.302	0.186	0.342	odun kömürü
chardonnay	0.677	0.567	0.492	chardonnay
charge	0.510	0.633	0.785	şarj
chargeable	0.551	0.550	0.453	ücretli
charger	0.531	0.418	0.545	şarj cihazı
chariot	0.684	0.550	0.491	savaş arabası
charisma	0.938	0.591	0.759	Karizma
charismatic	0.938	0.684	0.849	karizmatik
charitable	0.865	0.380	0.593	yardımsever
charity	0.920	0.284	0.551	hayır kurumu
charlatan	0.200	0.640	0.352	şarlatan
charm	0.833	0.363	0.649	cazibe
charmed	0.938	0.570	0.769	Charmed
charmer	0.882	0.683	0.782	büyücü
charming	0.917	0.660	0.764	alımlı
charred	0.208	0.676	0.373	kömürleşmiş
chart	0.469	0.317	0.330	çizelge
charter	0.677	0.382	0.518	kiralama
chartered	0.569	0.460	0.490	Yeminli
chase	0.396	0.878	0.623	kovalamak
chased	0.188	0.830	0.287	kovaladı
chaser	0.375	0.830	0.645	kovalayan
chasm	0.265	0.579	0.500	uçurum
chassis	0.406	0.342	0.444	şasi
chaste	0.408	0.248	0.453	iffetli
chastened	0.156	0.580	0.345	terbiye edilmiş
chastisement	0.156	0.852	0.462	azap
chastity	0.469	0.392	0.509	iffet
chat	0.729	0.400	0.346	sohbet
chateau	0.615	0.464	0.702	şato
chatter	0.560	0.450	0.347	gevezelik
chatterbox	0.459	0.548	0.482	sohbet kutusu
chattering	0.460	0.663	0.304	gevezelik
chatty	0.594	0.548	0.345	konuşkan
chauffeur	0.500	0.353	0.471	şoför
chauvinist	0.310	0.539	0.527	şovenist
cheap	0.612	0.471	0.272	ucuz
cheapened	0.471	0.611	0.282	ucuzlamış
cheapskate	0.148	0.482	0.327	cimri
cheat	0.125	0.776	0.400	aldatmak
cheater	0.104	0.920	0.333	dolandırıcı
check	0.523	0.552	0.602	Kontrol
checkbook	0.552	0.284	0.364	çek defteri
checker	0.330	0.417	0.553	denetleyici
checkered	0.459	0.316	0.336	damalı
checkers	0.676	0.451	0.437	dama
checklist	0.561	0.521	0.552	kontrol listesi
checkmate	0.667	0.708	0.750	Şah Mat
checkout	0.597	0.510	0.670	ödeme
checkpoint	0.571	0.323	0.812	kontrol noktası
checkup	0.500	0.435	0.491	kontrol etmek
cheek	0.670	0.314	0.421	yanak
cheeks	0.708	0.324	0.282	yanaklar
cheeky	0.434	0.679	0.410	yüzsüz
cheep	0.367	0.380	0.373	cıvıltı
cheer	0.938	0.784	0.845	tezahürat
cheered	0.875	0.648	0.790	tezahürat
cheerful	0.990	0.720	0.696	neşeli
cheerfulness	0.969	0.802	0.675	neşe
cheering	0.815	0.824	0.642	tezahürat
cheerleader	0.923	0.746	0.657	ponpon kız
cheerleading	0.698	0.769	0.404	amigoluk
cheerless	0.204	0.373	0.167	neşesiz
cheers	0.948	0.770	0.702	şerefe
cheery	0.949	0.657	0.486	neşeli
cheese	0.740	0.280	0.281	peynir
cheeseburger	0.802	0.529	0.336	cheeseburger
cheesecake	0.860	0.276	0.238	Çizkek
cheesy	0.470	0.471	0.179	peynirli
cheetah	0.469	0.770	0.667	çita
chef	0.854	0.411	0.570	şef
chemical	0.337	0.560	0.508	kimyasal
chemise	0.530	0.275	0.364	kombinezon
chemist	0.408	0.575	0.610	eczacı
chemistry	0.625	0.520	0.694	kimya
chemo	0.214	0.686	0.444	kemoterapi
chemotherapy	0.163	0.689	0.517	kemoterapi
cheque	0.698	0.529	0.660	Kontrol
cherish	0.896	0.491	0.652	beslemek
cherishing	0.836	0.380	0.625	el üstünde tutmak
cherry	0.688	0.186	0.250	Kiraz
cherub	0.663	0.340	0.455	melek
chess	0.656	0.363	0.518	satranç
chest	0.520	0.429	0.481	göğüs
chestnut	0.714	0.210	0.294	kestane
chevron	0.469	0.469	0.598	şerit
chew	0.520	0.490	0.404	çiğnemek
chewy	0.625	0.418	0.390	çiğnemek
chic	0.870	0.624	0.380	şık
chicane	0.357	0.460	0.481	şike
chick	0.771	0.602	0.387	piliç
chicken	0.594	0.306	0.394	Tavuk
chicken pox	0.194	0.510	0.415	suçiçeği
chickenpox	0.173	0.562	0.357	suçiçeği
chief	0.520	0.544	0.869	şef
chiefly	0.600	0.587	0.764	başlıca
chieftain	0.343	0.529	0.860	şef
chiffon	0.406	0.230	0.250	şifon
child	0.912	0.460	0.413	çocuk
childbirth	0.604	0.861	0.673	doğum
childhood	0.865	0.413	0.307	çocukluk
childish	0.573	0.442	0.230	çocukça
childless	0.310	0.400	0.396	çocuksuz
childlike	0.656	0.372	0.293	çocuksu
childloss	0.240	0.571	0.421	çocuk kaybı
children	0.857	0.538	0.435	çocuklar
chili	0.592	0.566	0.433	Acı biber
chill	0.837	0.206	0.482	soğuk
chilled	0.521	0.340	0.482	soğutulmuş
chilling	0.208	0.850	0.358	ürpertici
chilly	0.329	0.459	0.408	soğuk
chime	0.573	0.541	0.464	çan
chimera	0.292	0.582	0.372	kimera
chimes	0.625	0.490	0.402	çanlar
chimney	0.583	0.286	0.225	baca
chimp	0.394	0.588	0.345	şempanze
chimpanzee	0.500	0.633	0.387	şempanze
chin	0.571	0.310	0.269	Çene
china	0.561	0.443	0.556	Çin
chinchilla	0.480	0.450	0.286	çinçilla
chine	0.561	0.360	0.352	Çin
chinook	0.408	0.497	0.491	çınar
chip	0.479	0.382	0.452	yonga
chipmunk	0.573	0.562	0.409	sincap
chipper	0.418	0.588	0.500	parçalayıcı
chipping	0.354	0.452	0.353	yontma
chiropractor	0.420	0.549	0.651	kiropraktör
chirp	0.469	0.602	0.365	cıvıldamak
chirping	0.500	0.463	0.360	cıvıl cıvıl
chisel	0.469	0.404	0.452	keski
chiseler	0.429	0.606	0.464	keski
chit	0.490	0.352	0.321	cıvıl cıvıl
chitchat	0.673	0.455	0.403	Geyik sohbetler
chivalry	0.857	0.380	0.848	şövalyelik
chloride	0.265	0.387	0.474	klorür
chlorine	0.306	0.327	0.332	klor
chloroform	0.281	0.370	0.393	kloroform
chocolate	0.885	0.480	0.418	çikolata
choice	0.745	0.520	0.664	seçim
choir	0.704	0.298	0.473	koro
choke	0.167	0.788	0.676	boğulmak
cholera	0.020	0.867	0.507	kolera
cholesterol	0.198	0.583	0.398	kolesterol
choose	0.615	0.542	0.648	Seç
choosing	0.719	0.529	0.689	seçme
choosy	0.280	0.760	0.712	seçici
chop	0.250	0.655	0.467	kesmek
chopper	0.594	0.560	0.509	helikopter
choppers	0.469	0.745	0.691	helikopterler
chopping	0.560	0.625	0.362	doğrama
chops	0.612	0.420	0.269	pirzola
choral	0.852	0.290	0.421	koro
chord	0.729	0.394	0.539	akor
chords	0.639	0.406	0.388	akorlar
chore	0.406	0.462	0.500	zevksiz iş
choreographer	0.646	0.639	0.625	koreograf
choreography	0.812	0.750	0.547	koreografi
chorus	0.620	0.417	0.500	Koro
chosen	0.865	0.449	0.833	seçilmiş
chow	0.573	0.490	0.390	yemek
chowder	0.510	0.324	0.241	çorba
christ	0.781	0.510	0.750	İsa
christen	0.673	0.356	0.588	vaftiz etmek
christening	0.725	0.382	0.650	vaftiz
christmas	0.959	0.520	0.741	Noel
christmasbreak	0.842	0.640	0.548	Noel tatili
christmaseve	0.812	0.491	0.463	Noel arifesi
christmasspirit	0.867	0.602	0.575	Yılbaşı ruhu
christmassy	0.875	0.698	0.602	noel gibi
christmastime	0.837	0.588	0.515	Noel zamanı
chromatic	0.407	0.413	0.435	kromatik
chromatography	0.480	0.537	0.535	kromatografi
chrome	0.582	0.373	0.421	krom
chromium	0.458	0.404	0.447	krom
chromosome	0.500	0.296	0.548	kromozom
chronic	0.255	0.615	0.464	kronik
chronicle	0.427	0.571	0.586	kronik
chronograph	0.500	0.392	0.529	kronograf
chronological	0.594	0.445	0.600	kronolojik
chubby	0.531	0.427	0.304	Tombul
chuck	0.542	0.509	0.413	ayna
chuckle	0.844	0.736	0.481	kıkırdama
chug	0.401	0.413	0.358	çuvallamak
chum	0.911	0.347	0.518	kanka
chummy	0.760	0.420	0.610	cana yakın
chump	0.375	0.451	0.304	salak
chunk	0.365	0.287	0.214	yığın
chunky	0.520	0.517	0.509	tıknaz
church	0.708	0.198	0.610	kilise
churchyard	0.296	0.444	0.347	kilise bahçesi
churn	0.316	0.491	0.407	çalkalamak
chute	0.580	0.745	0.455	şut
chutney	0.459	0.370	0.400	Hint turşusu
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	Elmadan yapılan bir içki
cigar	0.306	0.463	0.346	puro
cigarette	0.219	0.528	0.304	sigara
cilantro	0.469	0.260	0.208	Kişniş
cinch	0.450	0.490	0.387	çocuk oyuncağı
cinder	0.350	0.260	0.157	kül
cinema	0.698	0.538	0.500	sinema
cinematic	0.663	0.490	0.600	sinematik
cinematographer	0.792	0.455	0.711	görüntü yönetmeni
cinematography	0.781	0.571	0.625	sinematografi
cinnamon	0.600	0.250	0.292	tarçın
cipher	0.490	0.414	0.500	şifre
circle	0.480	0.290	0.343	daire
circling	0.510	0.654	0.336	daire içine almak
circuit	0.586	0.461	0.707	devre
circuitry	0.596	0.615	0.536	devre
circular	0.562	0.342	0.417	dairesel
circulate	0.612	0.388	0.320	dolaştırmak
circulation	0.735	0.520	0.657	dolaşım
circulatory	0.592	0.575	0.545	dolaşım
circumcision	0.327	0.657	0.528	sünnet
circumference	0.458	0.255	0.488	çevre
circumferential	0.551	0.422	0.509	çevresel
circumscribed	0.365	0.539	0.569	sınırlı
circumstance	0.520	0.565	0.596	durum
circumstances	0.562	0.527	0.464	durumlar
circumstantial	0.500	0.538	0.519	koşullu
circumvent	0.316	0.642	0.383	atlatmak
circumvention	0.531	0.571	0.473	atlatmak
circus	0.724	0.637	0.432	sirk
cirque	0.604	0.647	0.467	sirk
cirrhosis	0.079	0.602	0.370	siroz
cirrus	0.470	0.451	0.348	sirrus
cistern	0.541	0.413	0.432	sarnıç
citadel	0.585	0.464	0.602	kale
citation	0.570	0.549	0.508	Alıntı
cite	0.625	0.454	0.532	anmak
citizen	0.631	0.250	0.586	vatandaş
citizenship	0.786	0.404	0.723	vatandaşlık
citrine	0.375	0.400	0.420	sitrin
citrus	0.469	0.368	0.375	narenciye
city	0.847	0.531	0.508	Kent
citywide	0.592	0.509	0.707	Şehir çapında
civic	0.653	0.240	0.573	sivil
civics	0.700	0.279	0.720	yurttaşlık
civil	0.521	0.281	0.517	sivil
civilian	0.700	0.229	0.598	sivil
civilians	0.490	0.448	0.525	siviller
civility	0.760	0.306	0.679	nezaket
civilization	0.823	0.452	0.839	medeniyet
civilized	0.792	0.231	0.796	uygar
clad	0.583	0.373	0.481	kaplı
claim	0.255	0.760	0.473	iddia
claimant	0.271	0.690	0.779	davacı
clairvoyant	0.765	0.531	0.897	sezgisel öngörü
clam	0.442	0.302	0.272	deniz tarağı
clambake	0.542	0.540	0.429	istiridye
clammy	0.354	0.440	0.236	rutubetli
clamor	0.438	0.643	0.360	yaygara
clamp	0.541	0.388	0.454	kelepçe
clan	0.562	0.491	0.686	klan
clandestine	0.425	0.677	0.469	gizli
clang	0.459	0.520	0.510	çınlamak
clap	0.779	0.731	0.529	alkış
clapper	0.500	0.229	0.420	tokmağı
clapping	0.823	0.894	0.686	alkış
clarification	0.802	0.461	0.613	açıklama
clarify	0.652	0.535	0.625	açıklamak
clarinet	0.592	0.453	0.411	klarnet
clarion	0.500	0.443	0.422	zurna
clarity	0.796	0.310	0.631	açıklık
clash	0.293	0.918	0.453	çarpışma
clashing	0.177	0.764	0.575	çatışan
clasp	0.448	0.375	0.241	toka
class	0.656	0.314	0.522	sınıf
classic	0.690	0.260	0.611	klasik
