English Word	Valence	Arousal	Dominance	French Word
canine	0.573	0.569	0.425	canin
canister	0.553	0.271	0.403	boîte
canker	0.262	0.469	0.427	chancre
cannabis	0.271	0.500	0.564	cannabis
canned	0.398	0.357	0.298	en conserve
cannibal	0.122	0.824	0.480	cannibale
cannibalism	0.094	0.890	0.583	cannibalisme
canning	0.490	0.392	0.259	mise en conserve
cannon	0.529	0.676	0.811	canon
cannonball	0.344	0.840	0.759	boulet de canon
canoe	0.542	0.300	0.418	canoë
canon	0.385	0.519	0.541	canon
canonical	0.542	0.410	0.620	canonique
canons	0.385	0.588	0.593	chanoines
canopy	0.615	0.264	0.398	canopée
cantaloupe	0.592	0.212	0.276	cantaloup
cantbreathe	0.284	0.667	0.375	ne peut pas respirer
canteen	0.688	0.600	0.514	cantine
canterbury	0.582	0.438	0.510	cantorbéry
canthandleit	0.354	0.613	0.354	canthandleit
cantilever	0.357	0.618	0.421	cantilever
cantina	0.646	0.612	0.380	cantine
canto	0.776	0.461	0.554	chant
canton	0.542	0.472	0.536	canton
cantstandit	0.418	0.546	0.343	je ne supporte pas
cantwin	0.260	0.509	0.298	cantwin
canvas	0.719	0.090	0.364	Toile
canvass	0.675	0.356	0.397	solliciter
canyon	0.468	0.731	0.634	canyon
cap	0.612	0.240	0.375	casquette
capability	0.833	0.571	0.730	aptitude
capable	0.765	0.587	0.547	capable
capacity	0.719	0.411	0.806	capacité
cape	0.531	0.235	0.357	cap
caper	0.510	0.370	0.326	câpre
capillary	0.469	0.365	0.395	capillaire
capital	0.520	0.500	0.798	Capitale
capitalism	0.448	0.686	0.848	capitalisme
capitalist	0.352	0.577	0.821	capitaliste
capitalize	0.771	0.601	0.885	capitaliser
capitals	0.755	0.500	0.655	majuscules
capitation	0.479	0.529	0.589	capitation
capitol	0.535	0.375	0.705	Capitole
capitulation	0.375	0.546	0.615	capitulation
cappuccino	0.792	0.279	0.384	cappuccino
caprice	0.333	0.640	0.430	caprice
capricious	0.221	0.650	0.500	capricieux
caps	0.510	0.221	0.368	casquettes
capslock	0.330	0.394	0.398	verrouillage des majuscules
capsule	0.583	0.290	0.570	capsule
captain	0.552	0.653	0.966	capitaine
caption	0.814	0.292	0.379	légende
captivate	0.698	0.604	0.723	captiver
captivating	0.895	0.594	0.816	captivant
captive	0.235	0.558	0.411	captif
captivity	0.225	0.493	0.387	captivité
captor	0.347	0.625	0.612	ravisseur
capture	0.357	0.650	0.537	Capturer
car	0.776	0.540	0.500	auto
caramel	0.901	0.363	0.400	caramel
carat	0.823	0.604	0.676	carat
caravan	0.635	0.559	0.455	caravane
carbon	0.604	0.360	0.350	carbone
carburetor	0.469	0.612	0.555	carburateur
carcass	0.115	0.529	0.309	carcasse
carcinoma	0.153	0.692	0.440	carcinome
card	0.531	0.269	0.436	carte
cardboard	0.500	0.173	0.309	papier carton
cardiac	0.344	0.765	0.615	cardiaque
cardigan	0.599	0.324	0.264	cardigan
cardinal	0.583	0.358	0.712	cardinal
cardiologist	0.458	0.630	0.814	cardiologue
cardiology	0.203	0.545	0.605	cardiologie
cardiomyopathy	0.177	0.645	0.537	cardiomyopathie
cards	0.568	0.317	0.320	cartes
care	0.729	0.370	0.500	se soucier
career	0.740	0.712	0.606	carrière
carefree	0.755	0.220	0.500	insouciant
careful	0.625	0.538	0.530	prudent
carefully	0.698	0.330	0.544	avec attention
careless	0.255	0.431	0.125	imprudent
carelessness	0.245	0.482	0.330	négligence
caress	0.833	0.418	0.509	caresse
caret	0.656	0.402	0.527	caret
caretaker	0.714	0.531	0.759	le concierge
cargo	0.408	0.444	0.455	cargaison
caribou	0.562	0.452	0.342	caribou
caricature	0.604	0.373	0.383	caricature
caries	0.115	0.569	0.283	carie
caring	0.635	0.469	0.500	soins
carjack	0.438	0.682	0.439	carjack
carnage	0.406	0.600	0.558	carnage
carnal	0.417	0.679	0.421	charnel
carnation	0.653	0.357	0.431	œillet
carnival	0.927	0.888	0.555	carnaval
carnivorous	0.224	0.613	0.651	carnivore
carol	0.673	0.412	0.436	carol
carols	0.847	0.420	0.491	chants
carousel	0.704	0.500	0.412	carrousel
carp	0.531	0.324	0.375	carpe
carpal	0.449	0.327	0.420	carpien
carpenter	0.521	0.550	0.519	Charpentier
carpentry	0.561	0.459	0.518	charpenterie
carpet	0.520	0.170	0.339	tapis
carpeting	0.542	0.312	0.444	moquette
carpool	0.625	0.509	0.500	covoiturage
carriage	0.650	0.538	0.491	le chariot
carried	0.490	0.382	0.534	porté
carrier	0.533	0.588	0.638	transporteur
carrot	0.500	0.235	0.279	carotte
carry	0.635	0.380	0.500	porter
carrying	0.656	0.557	0.443	porter
carsick	0.224	0.574	0.255	malade en voiture
cart	0.520	0.344	0.388	Chariot
carte	0.592	0.320	0.274	cartes
cartel	0.438	0.394	0.602	cartel
carter	0.312	0.480	0.431	charretier
cartilage	0.438	0.370	0.407	cartilage
cartographic	0.490	0.348	0.424	cartographique
cartography	0.520	0.300	0.579	cartographie
carton	0.286	0.186	0.241	carton
cartoon	0.867	0.471	0.387	dessin animé
cartouche	0.427	0.458	0.450	cartouche
cartridge	0.458	0.500	0.407	cartouche
carve	0.469	0.443	0.598	tailler
carver	0.418	0.500	0.500	sculpteur
carving	0.541	0.444	0.368	sculpture
cascade	0.735	0.509	0.395	Cascade
case	0.427	0.275	0.441	Cas
casein	0.470	0.436	0.415	caséine
cash	0.867	0.552	0.714	en espèces
cashier	0.615	0.413	0.484	la caissière
cashmere	0.653	0.452	0.439	cachemire
casing	0.458	0.327	0.328	enveloppe
casino	0.542	0.684	0.568	casino
cask	0.490	0.398	0.444	fût
casket	0.125	0.490	0.346	cercueil
casserole	0.570	0.360	0.328	casserole
cassette	0.490	0.334	0.355	cassette
cast	0.558	0.620	0.517	moulage
castaway	0.208	0.646	0.422	naufragé
caste	0.510	0.333	0.374	caste
caster	0.604	0.670	0.647	roulette
castle	0.680	0.396	0.718	Château
castor	0.583	0.337	0.368	castor
castrate	0.177	0.485	0.519	castrer
castration	0.198	0.735	0.381	castration
casual	0.643	0.224	0.385	décontractée
casually	0.658	0.290	0.333	mine de rien
casualty	0.235	0.274	0.132	victime
cat	0.667	0.260	0.370	chat
catabolism	0.265	0.573	0.605	catabolisme
catalog	0.561	0.221	0.573	catalogue
catalogue	0.647	0.327	0.533	catalogue
catalysis	0.385	0.559	0.531	catalyse
catalyst	0.604	0.509	0.585	catalyseur
catalytic	0.562	0.519	0.563	catalytique
catamaran	0.571	0.566	0.526	catamaran
catapult	0.480	0.830	0.649	catapulte
cataract	0.406	0.545	0.549	cataracte
catastrophe	0.146	0.952	0.670	catastrophe
catastrophic	0.071	0.934	0.598	catastrophique
catatonic	0.255	0.500	0.509	catatonique
catch	0.531	0.437	0.552	attraper
catcher	0.653	0.413	0.540	receveur
catching	0.490	0.788	0.644	contagieux
catchphrase	0.698	0.423	0.433	slogan
catchy	0.677	0.441	0.462	entraînant
catechism	0.656	0.236	0.613	catéchisme
categorical	0.615	0.442	0.760	catégorique
category	0.571	0.264	0.521	Catégorie
cater	0.802	0.500	0.509	approvisionner
caterer	0.550	0.557	0.644	traiteur
caterpillar	0.461	0.286	0.330	chenille
cates	0.370	0.394	0.407	chats
catfish	0.458	0.337	0.296	Poisson-chat
cathartic	0.450	0.510	0.604	cathartique
cathedral	0.598	0.330	0.643	cathédrale
catheter	0.336	0.491	0.373	cathéter
cathouse	0.327	0.375	0.363	chatière
catnip	0.439	0.381	0.296	herbe à chat
cattle	0.622	0.340	0.445	bétail
catwalk	0.698	0.436	0.464	passerelle
caucus	0.418	0.311	0.491	caucus
caudal	0.500	0.425	0.583	caudal
cauldron	0.510	0.486	0.418	chaudron
cauliflower	0.448	0.255	0.231	choufleur
caulk	0.367	0.500	0.418	calfater
causal	0.562	0.367	0.491	causal
causality	0.500	0.378	0.336	causalité
causation	0.562	0.480	0.567	lien de causalité
cause	0.469	0.373	0.486	cause
caused	0.344	0.520	0.382	causé
causeway	0.453	0.382	0.422	chaussée
caution	0.552	0.712	0.547	mise en garde
cautionary	0.510	0.541	0.519	de précaution
cautious	0.470	0.445	0.517	prudent
cautiously	0.510	0.388	0.525	avec prudence
cavalier	0.735	0.462	0.713	cavalier
cavalry	0.667	0.727	0.794	cavalerie
cave	0.459	0.333	0.380	la grotte
caveat	0.344	0.629	0.484	mise en garde
caveman	0.235	0.644	0.482	Homme des cavernes
cavern	0.323	0.360	0.365	caverne
cavernous	0.354	0.548	0.462	caverneux
caviar	0.906	0.394	0.481	caviar
caving	0.378	0.491	0.551	spéléologie
cavity	0.466	0.385	0.379	cavité
cayenne	0.615	0.306	0.355	Cayenne
cease	0.388	0.250	0.420	cesser
ceasefire	0.542	0.594	0.567	cessez-le-feu
ceaseless	0.378	0.704	0.658	incessant
cedar	0.560	0.267	0.577	cèdre
cede	0.275	0.327	0.402	céder
ceiling	0.520	0.224	0.366	plafond
celebrant	0.865	0.656	0.643	célébrant
celebrate	0.917	0.857	0.859	célébrer
celebrated	0.875	0.690	0.763	célèbre
celebrating	0.927	0.860	0.773	célébrer
celebration	0.939	0.824	0.880	fête
celebrations	0.958	0.794	0.714	célébrations
celebratory	0.857	0.653	0.845	festif
celebrity	0.760	0.619	0.855	célébrité
celery	0.396	0.147	0.223	céleri
celestial	0.817	0.360	0.731	céleste
celibacy	0.302	0.276	0.509	célibat
celibate	0.419	0.387	0.391	célibataire
cell	0.541	0.375	0.465	cellule
cellar	0.510	0.277	0.406	cave
cellblock	0.186	0.570	0.500	bloc cellulaire
cellist	0.667	0.500	0.486	violoncelliste
cellmate	0.167	0.684	0.349	compagnon de cellule
cello	0.635	0.324	0.528	violoncelle
cellophane	0.648	0.282	0.289	cellophane
cellular	0.643	0.398	0.517	cellulaire
cellulite	0.200	0.384	0.256	cellulite
celluloid	0.469	0.440	0.425	celluloïd
cement	0.544	0.265	0.527	ciment
cemented	0.429	0.382	0.537	cimenté
cemetery	0.051	0.630	0.417	cimetière
censor	0.344	0.276	0.538	censurer
censorship	0.219	0.698	0.421	la censure
censure	0.219	0.653	0.417	censurer
census	0.449	0.289	0.553	recensement
cent	0.439	0.367	0.402	cent
centenary	0.604	0.440	0.642	centenaire
centennial	0.583	0.394	0.700	centenaire
center	0.643	0.231	0.431	centre
centerfold	0.571	0.407	0.485	pli central
centerpiece	0.594	0.208	0.520	pièce maîtresse
centimeter	0.427	0.280	0.380	centimètre
centipede	0.296	0.399	0.361	Mille-Pattes
central	0.640	0.356	0.621	central
centrality	0.571	0.312	0.709	centralité
centralization	0.521	0.440	0.702	centralisation
centralize	0.684	0.427	0.802	centraliser
centrally	0.729	0.280	0.700	centralement
centrifugal	0.306	0.651	0.480	centrifuge
centrifuge	0.495	0.622	0.527	centrifuger
centurion	0.590	0.447	0.696	centurion
century	0.407	0.347	0.735	siècle
ceramic	0.521	0.255	0.371	céramique
ceramics	0.573	0.250	0.373	céramique
cereal	0.612	0.206	0.316	céréale
cereals	0.719	0.224	0.311	des céréales
cerebral	0.408	0.509	0.627	cérébral
ceremonial	0.771	0.540	0.691	cérémonial
ceremony	0.760	0.559	0.761	la cérémonie
certain	0.760	0.358	0.673	certain
certainty	0.781	0.400	0.769	certitude
certifiable	0.714	0.427	0.662	certifiable
certificate	0.786	0.377	0.746	certificat
certified	0.781	0.422	0.806	agréé
certify	0.866	0.400	0.746	certifier
cervical	0.375	0.413	0.445	cervical
cervix	0.429	0.360	0.340	col de l'utérus
cess	0.427	0.375	0.406	cession
cessation	0.414	0.385	0.358	cessation
cesspool	0.167	0.460	0.409	cloaque
cha cha	0.714	0.546	0.324	cha-cha
chaff	0.333	0.327	0.188	balle
chafing	0.430	0.415	0.368	friction
chagrin	0.104	0.704	0.472	dépit
chagrined	0.112	0.745	0.361	chagriné
chai	0.500	0.375	0.363	chaï
chain	0.378	0.500	0.547	chaîne
chainsaw	0.367	0.804	0.636	tronçonneuse
chair	0.562	0.082	0.276	chaise
chairman	0.656	0.567	0.933	président
chairperson	0.730	0.657	0.966	président
chairwoman	0.719	0.664	0.953	présidente
chaise	0.406	0.349	0.327	cabriolet
chalet	0.653	0.349	0.278	chalet
chalice	0.633	0.286	0.529	calice
chalk	0.385	0.185	0.121	craie
challenge	0.469	0.922	0.713	défi
challenger	0.417	0.755	0.652	challenger
chamber	0.583	0.373	0.455	chambre
chambermaid	0.594	0.375	0.336	femme de chambre
chambers	0.542	0.442	0.388	chambres
chameleon	0.490	0.580	0.345	caméléon
champ	0.854	0.754	0.896	champion
champagne	0.760	0.600	0.454	Champagne
champion	0.890	0.880	0.945	champion
championship	0.833	0.800	0.880	championnat
chance	0.833	0.551	0.525	chance
chancellor	0.646	0.500	0.887	chancelier
chandelier	0.615	0.542	0.366	lustre
chandler	0.510	0.452	0.454	Chandler
change	0.625	0.575	0.606	monnaie
changeable	0.490	0.480	0.528	changeable
changed	0.594	0.375	0.491	modifié
changer	0.583	0.519	0.567	changeur
changing	0.571	0.569	0.461	en changeant
channel	0.490	0.287	0.405	canaliser
chant	0.771	0.698	0.650	chant
chaos	0.016	0.923	0.373	le chaos
chaotic	0.115	0.847	0.442	chaotique
chap	0.550	0.410	0.345	type
chapel	0.573	0.240	0.440	chapelle
chaperon	0.500	0.520	0.404	chaperon
chaplain	0.582	0.370	0.577	aumônier
chapman	0.562	0.529	0.465	chapman
chaps	0.350	0.462	0.350	gars
chapter	0.580	0.308	0.461	chapitre
char	0.554	0.361	0.404	carboniser
character	0.667	0.373	0.686	personnage
characteristic	0.583	0.328	0.538	caractéristique
characterize	0.729	0.471	0.735	caractériser
charade	0.458	0.550	0.346	charade
charcoal	0.302	0.186	0.342	charbon
chardonnay	0.677	0.567	0.492	chardonnay
charge	0.510	0.633	0.785	charge
chargeable	0.551	0.550	0.453	payant
charger	0.531	0.418	0.545	chargeur
chariot	0.684	0.550	0.491	char
charisma	0.938	0.591	0.759	charisme
charismatic	0.938	0.684	0.849	charismatique
charitable	0.865	0.380	0.593	charitable
charity	0.920	0.284	0.551	charité
charlatan	0.200	0.640	0.352	charlatan
charm	0.833	0.363	0.649	charme
charmed	0.938	0.570	0.769	charmé
charmer	0.882	0.683	0.782	charmeur
charming	0.917	0.660	0.764	charmant
charred	0.208	0.676	0.373	carbonisé
chart	0.469	0.317	0.330	graphique
charter	0.677	0.382	0.518	charte
chartered	0.569	0.460	0.490	affrété
chase	0.396	0.878	0.623	chasse
chased	0.188	0.830	0.287	chassé
chaser	0.375	0.830	0.645	chasseur
chasm	0.265	0.579	0.500	gouffre
chassis	0.406	0.342	0.444	châssis
chaste	0.408	0.248	0.453	chaste
chastened	0.156	0.580	0.345	châtié
chastisement	0.156	0.852	0.462	châtiment
chastity	0.469	0.392	0.509	chasteté
chat	0.729	0.400	0.346	discuter
chateau	0.615	0.464	0.702	château
chatter	0.560	0.450	0.347	bavarder
chatterbox	0.459	0.548	0.482	bavard
chattering	0.460	0.663	0.304	bavardage
chatty	0.594	0.548	0.345	bavard
chauffeur	0.500	0.353	0.471	chauffeur
chauvinist	0.310	0.539	0.527	chauvin
cheap	0.612	0.471	0.272	bon marché
cheapened	0.471	0.611	0.282	dévalorisé
cheapskate	0.148	0.482	0.327	rapiat
cheat	0.125	0.776	0.400	Tricher
cheater	0.104	0.920	0.333	tricheur
check	0.523	0.552	0.602	Chèque
checkbook	0.552	0.284	0.364	chéquier
checker	0.330	0.417	0.553	vérificateur
checkered	0.459	0.316	0.336	à carreaux
checkers	0.676	0.451	0.437	dames
checklist	0.561	0.521	0.552	liste de contrôle
checkmate	0.667	0.708	0.750	échec et mat
checkout	0.597	0.510	0.670	vérifier
checkpoint	0.571	0.323	0.812	point de contrôle
checkup	0.500	0.435	0.491	vérification
cheek	0.670	0.314	0.421	joue
cheeks	0.708	0.324	0.282	joues
cheeky	0.434	0.679	0.410	effronté
cheep	0.367	0.380	0.373	piaulement
cheer	0.938	0.784	0.845	bravo
cheered	0.875	0.648	0.790	acclamé
cheerful	0.990	0.720	0.696	de bonne humeur
cheerfulness	0.969	0.802	0.675	gaieté
cheering	0.815	0.824	0.642	applaudissement
cheerleader	0.923	0.746	0.657	pom-pom girl
cheerleading	0.698	0.769	0.404	pom-pom girl
cheerless	0.204	0.373	0.167	triste
cheers	0.948	0.770	0.702	à votre santé
cheery	0.949	0.657	0.486	gai
cheese	0.740	0.280	0.281	fromage
cheeseburger	0.802	0.529	0.336	cheeseburger
cheesecake	0.860	0.276	0.238	cheesecake
cheesy	0.470	0.471	0.179	ringard
cheetah	0.469	0.770	0.667	guépard
chef	0.854	0.411	0.570	chef
chemical	0.337	0.560	0.508	chimique
chemise	0.530	0.275	0.364	nuisette
chemist	0.408	0.575	0.610	chimiste
chemistry	0.625	0.520	0.694	chimie
chemo	0.214	0.686	0.444	chimio
chemotherapy	0.163	0.689	0.517	chimiothérapie
cheque	0.698	0.529	0.660	Chèque
cherish	0.896	0.491	0.652	chérir
cherishing	0.836	0.380	0.625	chérir
cherry	0.688	0.186	0.250	cerise
cherub	0.663	0.340	0.455	chérubin
chess	0.656	0.363	0.518	jeu d'échecs
chest	0.520	0.429	0.481	poitrine
chestnut	0.714	0.210	0.294	châtaigne
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	mâcher
chewy	0.625	0.418	0.390	moelleux
chic	0.870	0.624	0.380	élégant
chicane	0.357	0.460	0.481	chicane
chick	0.771	0.602	0.387	poussin
chicken	0.594	0.306	0.394	poulet
chicken pox	0.194	0.510	0.415	varicelle
chickenpox	0.173	0.562	0.357	varicelle
chief	0.520	0.544	0.869	chef
chiefly	0.600	0.587	0.764	principalement
chieftain	0.343	0.529	0.860	chef de clan
chiffon	0.406	0.230	0.250	mousseline de soie
child	0.912	0.460	0.413	enfant
childbirth	0.604	0.861	0.673	accouchement
childhood	0.865	0.413	0.307	enfance
childish	0.573	0.442	0.230	puéril
childless	0.310	0.400	0.396	sans enfant
childlike	0.656	0.372	0.293	enfantin
childloss	0.240	0.571	0.421	perte d'enfant
children	0.857	0.538	0.435	enfants
chili	0.592	0.566	0.433	le Chili
chill	0.837	0.206	0.482	froideur
chilled	0.521	0.340	0.482	glacé
chilling	0.208	0.850	0.358	refroidissement
chilly	0.329	0.459	0.408	froid
chime	0.573	0.541	0.464	carillon
chimera	0.292	0.582	0.372	chimère
chimes	0.625	0.490	0.402	carillons
chimney	0.583	0.286	0.225	cheminée
chimp	0.394	0.588	0.345	chimpanzé
chimpanzee	0.500	0.633	0.387	chimpanzé
chin	0.571	0.310	0.269	menton
china	0.561	0.443	0.556	Chine
chinchilla	0.480	0.450	0.286	chinchilla
chine	0.561	0.360	0.352	échine
chinook	0.408	0.497	0.491	quinnat
chip	0.479	0.382	0.452	ébrécher
chipmunk	0.573	0.562	0.409	tamia
chipper	0.418	0.588	0.500	déchiqueteuse
chipping	0.354	0.452	0.353	déchiquetage
chiropractor	0.420	0.549	0.651	chiropracteur
chirp	0.469	0.602	0.365	gazouiller
chirping	0.500	0.463	0.360	chant
chisel	0.469	0.404	0.452	ciseau
chiseler	0.429	0.606	0.464	ciseleur
chit	0.490	0.352	0.321	bavardage
chitchat	0.673	0.455	0.403	bavardage
chivalry	0.857	0.380	0.848	chevalerie
chloride	0.265	0.387	0.474	chlorure
chlorine	0.306	0.327	0.332	chlore
chloroform	0.281	0.370	0.393	chloroforme
chocolate	0.885	0.480	0.418	Chocolat
choice	0.745	0.520	0.664	choix
choir	0.704	0.298	0.473	chorale
choke	0.167	0.788	0.676	étouffer
cholera	0.020	0.867	0.507	choléra
cholesterol	0.198	0.583	0.398	cholestérol
choose	0.615	0.542	0.648	choisir
choosing	0.719	0.529	0.689	choisir
choosy	0.280	0.760	0.712	difficile
chop	0.250	0.655	0.467	hacher
chopper	0.594	0.560	0.509	hachoir
choppers	0.469	0.745	0.691	hachoirs
chopping	0.560	0.625	0.362	hacher
chops	0.612	0.420	0.269	côtelettes
choral	0.852	0.290	0.421	choral
chord	0.729	0.394	0.539	accord
chords	0.639	0.406	0.388	accords
chore	0.406	0.462	0.500	corvée
choreographer	0.646	0.639	0.625	chorégraphe
choreography	0.812	0.750	0.547	chorégraphie
chorus	0.620	0.417	0.500	Refrain
chosen	0.865	0.449	0.833	choisi
chow	0.573	0.490	0.390	bouffe
chowder	0.510	0.324	0.241	chaudrée
christ	0.781	0.510	0.750	Christ
christen	0.673	0.356	0.588	baptiser
christening	0.725	0.382	0.650	baptême
christmas	0.959	0.520	0.741	Noël
christmasbreak	0.842	0.640	0.548	vacances de Noël
christmaseve	0.812	0.491	0.463	réveillon de Noël
christmasspirit	0.867	0.602	0.575	l'esprit de Noël
christmassy	0.875	0.698	0.602	Noël
christmastime	0.837	0.588	0.515	période de Noël
chromatic	0.407	0.413	0.435	chromatique
chromatography	0.480	0.537	0.535	chromatographie
chrome	0.582	0.373	0.421	chrome
chromium	0.458	0.404	0.447	chrome
chromosome	0.500	0.296	0.548	chromosome
chronic	0.255	0.615	0.464	chronique
chronicle	0.427	0.571	0.586	la chronique
chronograph	0.500	0.392	0.529	chronographe
chronological	0.594	0.445	0.600	chronologique
chubby	0.531	0.427	0.304	joufflu
chuck	0.542	0.509	0.413	mandrin
chuckle	0.844	0.736	0.481	glousser
chug	0.401	0.413	0.358	souffler
chum	0.911	0.347	0.518	ami
chummy	0.760	0.420	0.610	sociable
chump	0.375	0.451	0.304	idiot
chunk	0.365	0.287	0.214	tronçon
chunky	0.520	0.517	0.509	trapu
church	0.708	0.198	0.610	église
churchyard	0.296	0.444	0.347	cimetière
churn	0.316	0.491	0.407	baratte
chute	0.580	0.745	0.455	chute
chutney	0.459	0.370	0.400	chutney
ciao	0.542	0.426	0.409	ciao
cider	0.530	0.346	0.398	Cidre
cigar	0.306	0.463	0.346	cigare
cigarette	0.219	0.528	0.304	cigarette
cilantro	0.469	0.260	0.208	coriandre
cinch	0.450	0.490	0.387	sangler
cinder	0.350	0.260	0.157	cendre
cinema	0.698	0.538	0.500	cinéma
cinematic	0.663	0.490	0.600	cinématographique
cinematographer	0.792	0.455	0.711	directeur de la photographie
cinematography	0.781	0.571	0.625	cinématographie
cinnamon	0.600	0.250	0.292	cannelle
cipher	0.490	0.414	0.500	chiffrer
circle	0.480	0.290	0.343	cercle
circling	0.510	0.654	0.336	encerclant
circuit	0.586	0.461	0.707	circuit
circuitry	0.596	0.615	0.536	circuits
circular	0.562	0.342	0.417	circulaire
circulate	0.612	0.388	0.320	circuler
circulation	0.735	0.520	0.657	circulation
circulatory	0.592	0.575	0.545	circulatoire
circumcision	0.327	0.657	0.528	circoncision
circumference	0.458	0.255	0.488	circonférence
circumferential	0.551	0.422	0.509	circonférentiel
circumscribed	0.365	0.539	0.569	circonscrit
circumstance	0.520	0.565	0.596	circonstance
circumstances	0.562	0.527	0.464	conditions
circumstantial	0.500	0.538	0.519	circonstancié
circumvent	0.316	0.642	0.383	circonvenir
circumvention	0.531	0.571	0.473	contournement
circus	0.724	0.637	0.432	cirque
cirque	0.604	0.647	0.467	cirque
cirrhosis	0.079	0.602	0.370	cirrhose
cirrus	0.470	0.451	0.348	cirrus
cistern	0.541	0.413	0.432	citerne
citadel	0.585	0.464	0.602	citadelle
citation	0.570	0.549	0.508	citation
cite	0.625	0.454	0.532	citer
citizen	0.631	0.250	0.586	citoyen
citizenship	0.786	0.404	0.723	citoyenneté
citrine	0.375	0.400	0.420	citrine
citrus	0.469	0.368	0.375	agrumes
city	0.847	0.531	0.508	ville
citywide	0.592	0.509	0.707	Partout dans la ville
civic	0.653	0.240	0.573	civique
civics	0.700	0.279	0.720	instruction civique
civil	0.521	0.281	0.517	civil
civilian	0.700	0.229	0.598	civil
civilians	0.490	0.448	0.525	civils
civility	0.760	0.306	0.679	civilité
civilization	0.823	0.452	0.839	civilisation
civilized	0.792	0.231	0.796	civilisé
clad	0.583	0.373	0.481	habillé
claim	0.255	0.760	0.473	réclamer
claimant	0.271	0.690	0.779	demandeur
clairvoyant	0.765	0.531	0.897	voyant
clam	0.442	0.302	0.272	palourde
clambake	0.542	0.540	0.429	cuire au four
clammy	0.354	0.440	0.236	humide
clamor	0.438	0.643	0.360	clameur
clamp	0.541	0.388	0.454	serrer
clan	0.562	0.491	0.686	clan
clandestine	0.425	0.677	0.469	clandestin
clang	0.459	0.520	0.510	bruit
clap	0.779	0.731	0.529	taper
clapper	0.500	0.229	0.420	battant
clapping	0.823	0.894	0.686	applaudir
clarification	0.802	0.461	0.613	clarification
clarify	0.652	0.535	0.625	clarifier
clarinet	0.592	0.453	0.411	clarinette
clarion	0.500	0.443	0.422	clairon
clarity	0.796	0.310	0.631	clarté
clash	0.293	0.918	0.453	choc
clashing	0.177	0.764	0.575	heurter
clasp	0.448	0.375	0.241	fermoir
class	0.656	0.314	0.522	classer
classic	0.690	0.260	0.611	classique
classic rock	0.729	0.571	0.588	rock classique
classical	0.643	0.198	0.536	classique
classics	0.750	0.333	0.510	classiques
classification	0.583	0.423	0.613	classification
classified	0.571	0.460	0.663	classifié
classify	0.646	0.411	0.720	classer
classmate	0.781	0.400	0.593	camarade de classe
classroom	0.539	0.292	0.363	Salle de classe
classy	0.917	0.410	0.649	chic
clatter	0.418	0.820	0.387	bruit
clause	0.480	0.409	0.528	clause
clauses	0.449	0.429	0.545	clauses
claustrophobia	0.125	0.840	0.333	claustrophobie
claustrophobic	0.092	0.755	0.400	claustrophobe
clavicle	0.398	0.400	0.452	clavicule
claw	0.260	0.600	0.598	griffe
claws	0.281	0.698	0.562	les griffes
clay	0.542	0.250	0.267	argile
clean	0.827	0.170	0.500	nettoyer
cleaner	0.604	0.556	0.375	nettoyeur
cleaning	0.595	0.396	0.427	nettoyage
cleanliness	0.816	0.363	0.609	propreté
cleanly	0.823	0.352	0.583	propre
cleanse	0.625	0.310	0.660	purifier
cleanser	0.604	0.353	0.433	nettoyant
cleansing	0.729	0.298	0.472	nettoyage
cleanup	0.729	0.314	0.451	nettoyer
clear	0.857	0.327	0.573	dégager
clearance	0.542	0.459	0.473	autorisation
clearing	0.680	0.333	0.509	clairière
clearness	0.875	0.316	0.689	clarté
cleat	0.486	0.260	0.361	taquet
cleavage	0.542	0.602	0.454	clivage
cleave	0.296	0.545	0.389	fendre
cleaver	0.240	0.627	0.434	couperet
clef	0.615	0.360	0.595	clef
cleft	0.306	0.442	0.360	fendu
clemency	0.594	0.417	0.397	clémence
clench	0.438	0.618	0.580	serrer
clergy	0.531	0.312	0.575	le clergé
clergyman	0.594	0.330	0.556	pasteur
cleric	0.521	0.324	0.589	clerc
clerical	0.520	0.396	0.491	clérical
clerk	0.500	0.579	0.509	employé de bureau
clerkship	0.582	0.380	0.596	externat
clever	0.896	0.353	0.729	intelligent
cleverness	0.878	0.509	0.921	habileté
click	0.536	0.365	0.268	Cliquez sur
clicker	0.418	0.490	0.463	cliqueur
client	0.583	0.450	0.618	client
clientele	0.625	0.577	0.508	clientèle
cliff	0.361	0.620	0.509	falaise
climate	0.635	0.240	0.483	climat
climatology	0.531	0.367	0.541	climatologie
climax	0.735	0.853	0.667	Climax
climb	0.615	0.660	0.604	monter
climber	0.573	0.716	0.735	grimpeur
clinch	0.469	0.538	0.430	décrocher
cling	0.417	0.620	0.588	se cramponner
clingy	0.224	0.460	0.370	collant
clinic	0.469	0.439	0.600	clinique
clinical	0.337	0.412	0.640	clinique
clink	0.458	0.462	0.319	choquer
clip	0.438	0.310	0.381	agrafe
clipboard	0.594	0.255	0.423	presse-papiers
clipper	0.293	0.422	0.383	tondeuse
clipping	0.460	0.500	0.405	coupure
clique	0.427	0.430	0.391	clique
clitoris	0.625	0.844	0.464	clitoris
cloak	0.469	0.188	0.333	manteau
cloaking	0.521	0.595	0.389	dissimulation
cloakroom	0.690	0.254	0.397	vestiaire
clobber	0.396	0.578	0.464	tabasser
