English Word	Valence	Arousal	Dominance	Slovak Word
emergence	0.276	0.857	0.676	vznik
emergency	0.200	0.900	0.571	núdzový
emeritus	0.633	0.402	0.735	emeritný
emery	0.469	0.583	0.472	šmirgeľ
emetophobia	0.243	0.620	0.403	emetofóbia
emigrate	0.356	0.812	0.508	emigrovať
emigration	0.564	0.664	0.432	emigrácia
eminence	0.816	0.644	0.837	eminencia
eminent	0.740	0.620	0.830	významný
eminently	0.694	0.607	0.773	eminentne
emir	0.510	0.396	0.621	emír
emissary	0.562	0.462	0.636	vyslanec
emission	0.510	0.453	0.591	emisie
emit	0.638	0.445	0.510	emitovať
emo	0.354	0.314	0.226	emo
emotion	0.693	0.873	0.696	emócia
emotional	0.779	0.714	0.526	emocionálne
emotive	0.917	0.741	0.525	emotívny
empathic	0.760	0.570	0.558	empatický
empathize	0.802	0.591	0.660	vcítiť sa
empathy	0.729	0.349	0.545	empatia
emperor	0.651	0.704	0.962	cisár
emphasis	0.653	0.745	0.816	dôraz
emphasize	0.510	0.605	0.769	zdôrazniť
emphatic	0.615	0.707	0.732	dôrazný
emphysema	0.156	0.556	0.336	emfyzém
empire	0.688	0.730	0.944	impéria
empirical	0.500	0.510	0.574	empirický
empiricism	0.583	0.460	0.547	empirizmu
employ	0.729	0.481	0.702	zamestnať
employee	0.582	0.361	0.481	zamestnanca
employer	0.663	0.518	0.767	zamestnávateľ
employment	0.750	0.594	0.611	zamestnanosť
emporium	0.622	0.556	0.724	empora
empower	0.694	0.779	0.891	splnomocniť
empress	0.716	0.669	0.855	cisárovná
emptiness	0.177	0.173	0.184	prázdnota
emption	0.570	0.406	0.458	vyprázdnenie
empty	0.188	0.183	0.081	prázdny
emu	0.420	0.358	0.330	emu
emulate	0.438	0.340	0.549	napodobniť
emulsion	0.562	0.431	0.453	emulzia
enable	0.760	0.491	0.782	povoliť
enablement	0.600	0.451	0.750	umožnenie
enact	0.680	0.564	0.598	uzákoniť
enactment	0.667	0.612	0.769	uzákonenie
enamel	0.594	0.280	0.306	smalt
encampment	0.677	0.573	0.605	táborisko
enchant	0.873	0.650	0.643	očarovať
enchanted	0.917	0.633	0.687	očarený
enchanting	0.917	0.681	0.708	očarujúce
enchantment	0.816	0.775	0.647	očarenie
enchantress	0.398	0.663	0.479	čarodejnica
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	obkľúčiť
encircling	0.510	0.368	0.557	obopínajúci
enclave	0.531	0.333	0.580	enkláva
enclose	0.531	0.477	0.473	priložiť
enclosure	0.417	0.375	0.490	ohrada
encode	0.490	0.500	0.734	zakódovať
encomiastic	0.541	0.500	0.670	komický
encomium	0.541	0.451	0.519	encomium
encompass	0.520	0.298	0.661	obsiahnuť
encore	0.510	0.423	0.500	prídavok
encounter	0.865	0.702	0.689	stretnúť
encourage	0.896	0.580	0.704	povzbudiť
encouraged	0.953	0.702	0.657	povzbudil
encouragement	0.865	0.700	0.759	povzbudenie
encouraging	0.823	0.583	0.755	povzbudzujúce
encroach	0.302	0.742	0.702	zasahovať
encroachment	0.255	0.736	0.620	zasahovanie
encrypt	0.500	0.387	0.500	zašifrovať
encryption	0.547	0.415	0.474	šifrovanie
encumbrance	0.300	0.521	0.480	vecné bremeno
encyclopedia	0.679	0.320	0.645	encyklopédia
end	0.198	0.349	0.298	koniec
end table	0.541	0.480	0.482	koncová tabuľka
endanger	0.115	0.885	0.404	ohroziť
endangered	0.083	0.885	0.430	ohrozené
endangerment	0.167	0.873	0.519	ohrozenie
endearing	0.663	0.434	0.604	rozkošný
endeavor	0.677	0.755	0.765	usilovať sa
ended	0.302	0.500	0.500	ukončený
endemic	0.406	0.480	0.483	endemický
endgame	0.449	0.538	0.526	koniec hry
ending	0.344	0.365	0.492	zakončenie
endless	0.347	0.462	0.472	nekonečné
endocarditis	0.235	0.587	0.412	endokarditída
endorse	0.592	0.392	0.472	schváliť
endorsement	0.834	0.360	0.611	potvrdenie
endow	0.684	0.398	0.609	obdarovať
endowed	0.755	0.510	0.769	obdarený
endowment	0.685	0.578	0.647	dotácia
endpapers	0.542	0.400	0.339	predsádky
endpoint	0.311	0.410	0.448	koncový bod
endurance	0.592	0.745	0.760	výdrž
endure	0.320	0.610	0.574	vydržať
enduring	0.633	0.459	0.768	trvalý
enema	0.281	0.673	0.268	klystír
enemy	0.135	0.794	0.591	nepriateľa
energetic	0.847	0.868	0.902	energický
energize	0.792	0.810	0.875	energizovať
energy	0.944	0.725	0.868	energie
enforce	0.583	0.644	0.836	presadiť
enforcement	0.594	0.571	0.736	presadzovanie
enforcer	0.398	0.612	0.639	vymáhač
engage	0.771	0.796	0.713	zapojiť
engaged	0.837	0.596	0.849	zasnúbený
engagement	0.906	0.587	0.807	angažovanosť
engaging	0.948	0.612	0.862	pútavý
engender	0.561	0.741	0.688	splodiť
engine	0.615	0.644	0.676	motora
engineer	0.719	0.500	0.875	inžinier
engineering	0.735	0.471	0.836	strojárstvo
engrave	0.486	0.442	0.517	vyryť
engraved	0.542	0.375	0.473	vyryté
engraver	0.552	0.417	0.500	rytec
engraving	0.604	0.430	0.442	rytina
engrossed	0.541	0.471	0.304	pohltený
engrossing	0.698	0.702	0.750	pohlcujúci
engulf	0.398	0.573	0.500	pohltiť
enhance	0.802	0.578	0.814	zlepšiť
enhancement	0.877	0.490	0.741	vylepšenie
enigma	0.513	0.700	0.500	záhada
enigmatic	0.469	0.589	0.679	záhadný
enjoin	0.594	0.454	0.732	nariadiť
enjoy	0.959	0.725	0.750	Užite si to
enjoyable	1.000	0.481	0.605	príjemné
enjoying	0.908	0.759	0.759	užívajúc si
enjoyment	0.930	0.612	0.716	potešenie
enlarge	0.735	0.606	0.688	zväčšiť
enlarged	0.673	0.490	0.518	zväčšené
enlargement	0.677	0.577	0.616	rozšírenie
enlighten	0.729	0.549	0.667	osvietiť
enlightened	0.956	0.566	0.700	osvietený
enlightening	0.825	0.729	0.727	osvetová
enlightenment	0.837	0.549	0.619	osvietenie
enlist	0.510	0.370	0.483	narukovať
enliven	0.833	0.683	0.702	oživiť
enmity	0.094	0.706	0.382	nepriateľstvo
ennui	0.406	0.461	0.316	nuda
enormity	0.594	0.648	0.848	obludnosť
enormous	0.677	0.665	0.886	obrovský
enormously	0.760	0.694	0.872	enormne
enraged	0.083	0.962	0.636	rozzúrený
enrich	0.896	0.731	0.705	obohatiť
enroll	0.696	0.530	0.611	zapísať sa
enrollment	0.667	0.391	0.698	zápis
ensemble	0.697	0.418	0.586	súbor
ensign	0.663	0.270	0.545	práporčík
enslave	0.073	0.800	0.481	zotročiť
enslaved	0.104	0.720	0.321	zotročený
enslavement	0.086	0.635	0.302	zotročenie
ensue	0.698	0.363	0.332	nasledovať
ensure	0.737	0.406	0.759	zaistiť
entail	0.484	0.630	0.645	znamenať
entangled	0.319	0.578	0.357	zapletený
entanglement	0.302	0.765	0.248	zapletenie
enter	0.708	0.470	0.500	vstúpiť
enterprise	0.760	0.392	0.754	podnik
enterprising	0.865	0.784	0.875	podnikavý
entertain	0.918	0.684	0.598	zabávať
entertained	0.902	0.644	0.712	zabavili
entertainer	0.888	0.709	0.759	zabávač
entertaining	0.833	0.658	0.660	zábavné
entertainment	0.847	0.750	0.569	zábavu
enthralled	0.745	0.602	0.615	očarený
enthusiasm	0.938	0.816	0.798	nadšenie
enthusiast	0.867	0.810	0.875	nadšenec
enthusiastic	0.885	0.868	0.848	nadšený
entice	0.521	0.887	0.518	lákať
entire	0.689	0.462	0.698	celý
entirety	0.854	0.460	0.804	úplnosť
entitle	0.729	0.333	0.827	oprávňovať
entity	0.542	0.402	0.670	subjekt
entomology	0.438	0.396	0.545	entomológia
entourage	0.491	0.567	0.467	sprievod
entrails	0.365	0.538	0.387	vnútornosti
entrance	0.698	0.393	0.526	vchod
entrapment	0.177	0.604	0.441	uviaznutie
entreat	0.304	0.560	0.462	prosiť
entree	0.615	0.477	0.624	predjedlo
entrepreneur	0.885	0.704	0.920	podnikateľ
entrust	0.693	0.310	0.630	poveriť
entry	0.552	0.353	0.602	vstup
enumerate	0.521	0.390	0.491	vyčísliť
enumeration	0.548	0.327	0.534	enumerácia
envelope	0.604	0.275	0.377	obálka
envious	0.110	0.754	0.341	závidieť
environ	0.724	0.221	0.433	životné prostredie
environment	0.646	0.194	0.528	životné prostredie
environmental	0.633	0.313	0.664	životného prostredia
environs	0.561	0.288	0.345	okolí
envision	0.625	0.449	0.483	predstaviť si
envoy	0.531	0.375	0.586	vyslanec
envy	0.240	0.704	0.427	závisť
enzyme	0.562	0.277	0.481	enzým
ephemeral	0.500	0.312	0.377	efemérne
ephemeris	0.640	0.380	0.528	efemeridy
epic	0.857	0.713	0.830	epický
epidemic	0.092	0.830	0.611	epidémia
epidermis	0.418	0.490	0.426	epidermis
epidural	0.347	0.452	0.525	epidurálna
epilepsy	0.061	0.854	0.250	epilepsia
epileptic	0.146	0.794	0.340	epileptik
epilogue	0.582	0.353	0.466	epilóg
epiphany	0.625	0.596	0.526	zjavenie
episcopal	0.542	0.314	0.750	biskupský
episode	0.719	0.367	0.509	epizóda
episodic	0.531	0.542	0.462	epizodické
epistle	0.604	0.417	0.535	epištola
epitaph	0.276	0.323	0.442	epitaf
epithet	0.530	0.394	0.524	epiteton
epitome	0.510	0.500	0.667	stelesnením
epoch	0.553	0.343	0.797	epocha
equal	0.781	0.178	0.407	rovný
equality	0.898	0.305	0.716	rovnosť
equalization	0.625	0.422	0.423	vyrovnanie
equalize	0.738	0.281	0.574	vyrovnať
equalizer	0.604	0.451	0.586	ekvalizér
equally	0.625	0.264	0.436	rovnako
equate	0.724	0.382	0.624	rovnať
equation	0.479	0.384	0.608	rovnica
equator	0.550	0.302	0.462	rovník
equatorial	0.550	0.271	0.593	rovníkový
equestrian	0.633	0.519	0.417	jazdecký
equidistant	0.375	0.406	0.509	v rovnakej vzdialenosti
equilibration	0.724	0.317	0.593	ekvilibrácia
equilibrium	0.676	0.235	0.620	rovnováha
equip	0.650	0.519	0.713	vybaviť
equipment	0.745	0.495	0.700	zariadení
equitable	0.714	0.286	0.750	spravodlivé
equity	0.792	0.304	0.614	vlastného imania
equivalence	0.663	0.250	0.582	rovnocennosť
equivalent	0.646	0.347	0.500	ekvivalent
equivocal	0.327	0.482	0.257	nejednoznačný
era	0.615	0.407	0.449	éra
eradicate	0.260	0.690	0.686	vykoreniť
eradication	0.208	0.788	0.685	eradikácia
erase	0.240	0.260	0.321	vymazať
eraser	0.458	0.209	0.311	guma
erasure	0.281	0.360	0.265	vymazanie
ere	0.479	0.312	0.377	ere
erect	0.643	0.885	0.627	vzpriamený
erectile	0.542	0.796	0.625	erektilný
erection	0.640	0.856	0.695	erekcia
ergo	0.385	0.400	0.385	ergo
erode	0.208	0.643	0.580	erodovať
erosion	0.312	0.770	0.465	erózia
erotic	0.625	0.946	0.683	erotické
erotica	0.781	0.870	0.579	erotika
err	0.146	0.660	0.236	chybovať
errand	0.385	0.519	0.482	pochôdzka
errant	0.205	0.602	0.375	bludný
erratic	0.271	0.503	0.217	nestály
erratum	0.327	0.528	0.436	erratum
erroneous	0.057	0.561	0.245	chybný
error	0.094	0.559	0.198	chyba
erst	0.277	0.422	0.357	erst
erudite	0.719	0.434	0.774	erudovaný
erupt	0.188	0.820	0.818	vybuchnúť
eruption	0.156	0.913	0.733	erupcia
escalade	0.480	0.724	0.442	escalade
escalate	0.653	0.714	0.728	stupňovať
escalating	0.646	0.724	0.518	stupňujúce sa
escalation	0.571	0.807	0.582	eskaláciu
escalator	0.500	0.530	0.518	eskalátor
escape	0.367	0.765	0.448	uniknúť
escaped	0.365	0.755	0.518	unikol
escarpment	0.406	0.553	0.470	zráz
eschew	0.184	0.438	0.370	vyhýbať sa
escort	0.729	0.480	0.608	sprevádzať
escrow	0.449	0.520	0.613	úschova
esophagus	0.429	0.454	0.464	pažeráka
esoteric	0.500	0.676	0.545	ezoterický
especial	0.827	0.419	0.794	špeciálne
espionage	0.312	0.750	0.620	špionáž
espouse	0.802	0.529	0.598	manželský partner
espresso	0.677	0.620	0.508	espresso
esprit	0.552	0.431	0.407	esprit
esquire	0.604	0.542	0.518	esquire
essay	0.559	0.411	0.530	esej
essayist	0.656	0.460	0.462	esejista
essence	0.663	0.369	0.575	esencia
essential	0.812	0.405	0.759	nevyhnutné
essentially	0.750	0.373	0.802	v podstate
establish	0.708	0.500	0.688	založiť
established	0.796	0.394	0.694	založená
establishment	0.690	0.398	0.631	zriadenie
estate	0.653	0.385	0.647	panstvo
esteem	0.745	0.380	0.679	úcta
esteemed	0.694	0.418	0.531	vážený
esthetic	0.635	0.360	0.558	estetický
estimable	0.796	0.408	0.630	odhadnuteľný
estimate	0.719	0.469	0.517	odhadnúť
estimation	0.740	0.480	0.589	odhad
estoppel	0.354	0.459	0.482	estoppel
estranged	0.156	0.382	0.377	odcudzený
estrogen	0.580	0.500	0.425	estrogén
estuary	0.469	0.278	0.482	ústia rieky
etch	0.510	0.367	0.598	leptať
etching	0.567	0.491	0.575	leptanie
eternal	0.854	0.409	0.843	večný
eternity	0.765	0.520	0.911	večnosť
ethanol	0.333	0.410	0.534	etanol
ether	0.490	0.306	0.412	éter
ethereal	0.520	0.419	0.518	éterický
ethic	0.786	0.260	0.791	etika
ethical	0.854	0.324	0.634	etické
ethics	0.658	0.296	0.731	etika
ethnic	0.583	0.373	0.555	etnický
ethnography	0.571	0.373	0.549	etnografia
etiology	0.500	0.385	0.639	etiológie
etiquette	0.604	0.350	0.421	etiketa
etymology	0.531	0.370	0.529	etymológie
eucalyptus	0.602	0.308	0.418	eukalyptus
euchre	0.470	0.459	0.442	euchre
eugenics	0.448	0.530	0.518	eugeniky
eulogistic	0.740	0.623	0.694	eulogistický
eulogium	0.542	0.482	0.655	eulogium
eulogize	0.850	0.518	0.679	ospevovať
eulogy	0.625	0.443	0.667	blahorečenie
euphemism	0.418	0.453	0.491	eufemizmus
euphoria	0.769	0.955	0.648	eufória
euphoric	0.745	0.904	0.588	euforický
euro	0.680	0.441	0.521	eur
euthanasia	0.229	0.716	0.325	eutanázie
evacuate	0.354	0.792	0.314	evakuujem
evacuation	0.160	0.755	0.582	evakuácia
evade	0.304	0.490	0.342	vyhýbať sa
evaluate	0.663	0.640	0.649	ohodnotiť
evaluation	0.542	0.667	0.764	hodnotenie
evanescence	0.527	0.519	0.458	evanescencia
evangelical	0.602	0.389	0.602	evanjelický
evangelist	0.582	0.464	0.702	evanjelista
evangelistic	0.660	0.375	0.612	evanjelizačný
evaporate	0.357	0.469	0.402	odparovať
evaporation	0.556	0.346	0.388	odparovanie
evasion	0.229	0.510	0.418	únikom
evasive	0.117	0.596	0.425	vyhýbavý
eve	0.612	0.378	0.440	predvečer
evening	0.458	0.185	0.318	večer
evens	0.592	0.430	0.457	dokonca
event	0.745	0.673	0.664	udalosť
eventful	0.543	0.837	0.510	rušný
eventual	0.633	0.459	0.413	prípadne
eventuality	0.469	0.627	0.527	eventualita
evergreen	0.729	0.471	0.546	vždyzelený
everlasting	0.740	0.413	0.809	večný
evermore	0.677	0.450	0.403	stále viac
everyday	0.740	0.392	0.472	každý deň
everyman	0.522	0.333	0.535	každý muž
evict	0.042	0.632	0.377	vysťahovať
eviction	0.185	0.731	0.455	vysťahovanie
evidence	0.500	0.500	0.778	dôkazy
evident	0.633	0.444	0.664	evidentné
evidentiary	0.448	0.541	0.717	dôkazný
evil	0.040	0.827	0.545	zlý
evoke	0.438	0.341	0.500	vyvolať
evolution	0.781	0.657	0.854	evolúcie
evolutionary	0.796	0.673	0.825	evolučné
evolve	0.655	0.692	0.896	vyvíjať sa
ewe	0.429	0.216	0.277	ovca
ex	0.250	0.520	0.306	napr
exacerbate	0.323	0.776	0.580	zhoršiť
exacerbation	0.344	0.810	0.480	exacerbácia
exact	0.719	0.354	0.685	presné
exacting	0.448	0.673	0.767	náročný
exaggerate	0.193	0.760	0.529	preháňať
exaggerated	0.224	0.885	0.732	prehnané
exaggeration	0.312	0.775	0.582	preháňanie
exalt	0.656	0.750	0.745	povýšiť
exaltation	0.594	0.892	0.673	povznesenie
exalted	0.676	0.845	0.696	vznešený
exam	0.479	0.663	0.577	skúška
examination	0.378	0.657	0.679	vyšetrenie
examine	0.615	0.623	0.786	skúmať
examiner	0.406	0.575	0.812	skúšajúci
example	0.542	0.337	0.510	príklad
exasperated	0.229	0.816	0.377	podráždený
exasperation	0.214	0.833	0.483	rozhorčenie
excavate	0.583	0.613	0.635	vykopať
excavation	0.540	0.644	0.527	výkop
excavator	0.427	0.673	0.649	bager
exceed	0.500	0.827	0.586	prekročiť
exceeding	0.500	0.802	0.668	presahujúce
excel	0.561	0.363	0.466	excel
excellence	0.958	0.620	0.907	excelentnosť
excellent	0.970	0.587	0.870	vynikajúce
excelsior	0.700	0.625	0.611	excelsior
excepting	0.408	0.413	0.526	s výnimkou
exception	0.469	0.600	0.544	výnimkou
exceptional	0.806	0.740	0.933	výnimočný
excerpt	0.437	0.367	0.543	úryvok
excess	0.385	0.889	0.712	prebytok
excessive	0.417	0.731	0.601	nadmerný
excessively	0.449	0.882	0.716	nadmerne
exchange	0.740	0.569	0.491	výmena
excise	0.448	0.561	0.577	spotrebná daň
excision	0.260	0.480	0.519	excízia
excitability	0.906	0.910	0.724	vzrušivosť
excitable	0.803	0.939	0.629	vzrušivý
excitation	0.792	0.958	0.750	excitácia
excite	0.823	0.950	0.668	vzrušovať
excited	0.908	0.931	0.709	vzrušený
excitement	0.896	0.684	0.731	vzrušenie
exciting	0.950	0.792	0.789	vzrušujúce
exclaim	0.635	0.711	0.639	vykríknuť
exclamation	0.612	0.745	0.598	výkričník
exclude	0.292	0.500	0.530	vylúčiť
excluded	0.061	0.540	0.134	vylúčené
excluding	0.271	0.550	0.324	nepočítajúc
exclusion	0.240	0.530	0.389	vylúčenie
exclusive	0.792	0.630	0.653	exkluzívne
excrement	0.041	0.558	0.221	exkrementy
excretion	0.285	0.650	0.457	vylučovanie
excruciating	0.083	0.837	0.345	mučivý
excursion	0.625	0.714	0.627	exkurzia
excuse	0.240	0.696	0.318	ospravedlnenie
exec	0.640	0.352	0.769	exec
execute	0.327	0.708	0.769	vykonať
execution	0.160	0.811	0.713	exekúcie
executioner	0.235	0.816	0.676	kata
executive	0.704	0.449	0.894	výkonný
executor	0.365	0.755	0.759	exekútor
exegesis	0.458	0.472	0.491	exegéza
exemplar	0.844	0.537	0.625	ukážkový
exemplary	0.833	0.343	0.729	ukážkový
exemplify	0.735	0.506	0.783	ilustrovať
exempt	0.588	0.455	0.664	oslobodené
exemption	0.531	0.578	0.627	výnimku
exercise	0.750	0.789	0.625	cvičenie
exert	0.694	0.735	0.806	namáhať sa
exertion	0.663	0.755	0.717	námaha
exhale	0.542	0.490	0.411	vydýchnuť
exhaust	0.546	0.710	0.337	výfuk
exhausted	0.123	0.423	0.202	vyčerpaný
exhaustion	0.366	0.633	0.269	vyčerpanie
exhaustive	0.388	0.635	0.604	vyčerpávajúci
exhibit	0.688	0.633	0.708	vystavovať
exhibition	0.698	0.590	0.531	výstava
exhilarated	0.890	0.963	0.759	rozjarený
exhilarating	0.917	0.823	0.810	vzrušujúci
exhilaration	0.792	0.868	0.783	nadšenie
exhort	0.378	0.660	0.745	nabádať
exhortation	0.531	0.624	0.580	nabádanie
exhumation	0.177	0.586	0.473	exhumácia
exhume	0.184	0.627	0.452	exhumovať
exigent	0.385	0.611	0.792	naliehavé
exile	0.184	0.630	0.483	exil
exist	0.857	0.421	0.788	existujú
existence	0.760	0.513	0.771	existencie
existent	0.635	0.490	0.635	existujúci
existential	0.583	0.510	0.638	existenčný
existing	0.802	0.344	0.750	existujúce
exit	0.370	0.353	0.399	VÝCHOD
exodus	0.286	0.663	0.567	exodus
exonerate	0.592	0.500	0.538	ospravedlniť
exorbitant	0.398	0.865	0.825	prehnané
exorcism	0.163	0.980	0.557	exorcizmus
exorcist	0.219	0.906	0.716	exorcista
exotic	0.840	0.711	0.727	exotické
expand	0.792	0.559	0.686	expandovať
expanded	0.760	0.406	0.689	rozšírené
expanse	0.594	0.529	0.689	rozľahlosť
expansion	0.776	0.618	0.787	rozšírenie
expansive	0.708	0.650	0.778	expanzívna
expatriate	0.265	0.764	0.391	vysťahovalec
expect	0.469	0.327	0.377	očakávať
expectance	0.552	0.724	0.660	očakávaní
expectancy	0.581	0.622	0.558	očakávaní
expectant	0.708	0.650	0.474	nastávajúca
expectation	0.771	0.690	0.707	očakávanie
expected	0.729	0.412	0.545	očakávané
expecting	0.561	0.450	0.302	očakávanie
expediency	0.604	0.443	0.703	účelnosť
expedient	0.885	0.461	0.454	účelné
expedite	0.571	0.858	0.798	urýchliť
expedition	0.735	0.802	0.620	výprava
expeditious	0.602	0.645	0.773	rýchle
expel	0.281	0.725	0.452	vyhnať
expendable	0.479	0.490	0.423	spotrebný
expenditure	0.250	0.608	0.603	výdavky
expense	0.317	0.451	0.377	výdavok
expenses	0.240	0.633	0.396	výdavky
expensive	0.323	0.540	0.530	drahé
experience	0.827	0.618	0.905	skúsenosti
experienced	0.771	0.613	0.914	skúsený
experiences	0.793	0.647	0.795	skúsenosti
experiment	0.479	0.720	0.675	experimentovať
experimental	0.417	0.764	0.396	experimentálne
experimentation	0.637	0.769	0.767	experimentovanie
experimenter	0.708	0.710	0.700	experimentátor
expert	0.776	0.646	0.911	odborník
expertise	0.792	0.589	0.925	odbornosť
expiration	0.265	0.539	0.463	expirácia
expire	0.573	0.745	0.702	vypršať
expired	0.198	0.394	0.200	platnosť vypršala
expiry	0.194	0.434	0.382	vypršanie platnosti
explain	0.719	0.517	0.736	vysvetliť
explanation	0.615	0.610	0.825	vysvetlenie
explanatory	0.573	0.433	0.688	vysvetľujúce
expletive	0.357	0.567	0.536	nadávky
explication	0.510	0.445	0.602	vysvetlenie
explicit	0.562	0.694	0.734	explicitné
explode	0.277	0.885	0.773	vybuchnúť
exploit	0.312	0.878	0.660	zneužívať
exploitation	0.156	0.920	0.718	vykorisťovanie
exploration	0.594	0.650	0.773	prieskum
exploratory	0.653	0.690	0.698	prieskumný
explore	0.776	0.660	0.727	preskúmať
explorer	0.729	0.663	0.714	prieskumník
explosion	0.167	0.960	0.767	výbuch
explosions	0.123	0.860	0.594	výbuchy
explosive	0.156	0.943	0.663	výbušný
expo	0.610	0.562	0.500	expo
exponent	0.529	0.510	0.845	exponent
exponential	0.704	0.588	0.763	exponenciálny
export	0.567	0.661	0.755	export
exportation	0.760	0.633	0.673	vývozu
expose	0.344	0.643	0.537	vystaviť
exposed	0.471	0.661	0.509	vystavený
exposition	0.521	0.627	0.655	expozície
expository	0.706	0.653	0.636	výkladový
exposure	0.570	0.830	0.630	vystavenie
expound	0.438	0.575	0.740	vyložiť
express	0.760	0.623	0.691	expresné
expression	0.790	0.650	0.721	výraz
expressive	0.755	0.724	0.685	expresívne
expressway	0.633	0.635	0.587	rýchlostná cesta
expropriation	0.188	0.735	0.788	vyvlastnenie
expulsion	0.190	0.790	0.529	vyhostenie
exquisite	0.892	0.644	0.604	znamenitý
exquisitely	0.849	0.728	0.723	skvele
extant	0.646	0.390	0.523	existujúci
extend	0.646	0.570	0.689	predĺžiť
extendable	0.660	0.592	0.722	rozšíriteľná
extended	0.570	0.304	0.649	predĺžený
extension	0.490	0.510	0.529	rozšírenie
extensive	0.635	0.520	0.760	rozsiahle
extent	0.646	0.451	0.602	rozsahu
exterior	0.542	0.400	0.627	exteriér
exterminate	0.177	0.857	0.736	vyhladiť
extermination	0.190	0.860	0.616	vyhladzovanie
exterminator	0.344	0.804	0.887	deratizátor
external	0.479	0.341	0.509	externé
externally	0.643	0.521	0.568	externe
extinct	0.112	0.491	0.412	zaniknutý
extinction	0.104	0.750	0.611	vyhynutie
extinguish	0.240	0.576	0.482	uhasiť
extinguisher	0.707	0.379	0.543	hasiaci prístroj
extol	0.582	0.667	0.456	vychvaľovať
extort	0.052	0.827	0.570	vydierať
extortion	0.112	0.868	0.630	vydieranie
extra	0.656	0.551	0.745	extra
extract	0.565	0.402	0.519	extrakt
extracting	0.521	0.709	0.689	extrakcia
extraction	0.418	0.740	0.526	extrakcia
extractor	0.302	0.536	0.519	extraktor
extracurricular	0.457	0.471	0.743	mimoškolských
extradition	0.229	0.627	0.554	vydanie
extrajudicial	0.365	0.686	0.667	mimosúdne
extramural	0.336	0.559	0.537	extramurálne
extraneous	0.276	0.625	0.478	cudzie
extraordinaire	0.847	0.864	0.898	mimoriadny
extraordinary	0.969	0.728	0.860	mimoriadny
extraterrestrial	0.510	0.833	0.792	mimozemský
extravagance	0.531	0.802	0.700	extravagancia
extravagant	0.720	0.763	0.812	extravagantný
extravaganza	0.646	0.786	0.906	extravagancia
extreme	0.318	0.800	0.721	extrémna
extreme anticipation	0.551	0.740	0.704	extrémne očakávanie
extreme disgust	0.052	0.873	0.456	extrémne znechutenie
extreme surprise	0.833	0.935	0.676	extrémne prekvapenie
extreme trust	0.826	0.713	0.922	extrémna dôvera
extremely	0.635	0.827	0.886	extrémne
extremely negative	0.030	0.786	0.311	mimoriadne negatívne
extremely positive	0.993	0.730	0.839	mimoriadne pozitívne
extremity	0.408	0.588	0.583	končatina
extricate	0.542	0.510	0.543	vyslobodiť
extrinsic	0.510	0.479	0.636	vonkajších
extrusion	0.229	0.660	0.545	vytláčanie
exuberance	0.698	0.816	0.787	bujarosť
exude	0.375	0.519	0.411	vyžarovať
eye	0.531	0.265	0.425	oko
eyeball	0.526	0.422	0.420	očná buľva
eyebrow	0.510	0.198	0.222	obočie
eyeful	0.802	0.500	0.676	očný
eyeglass	0.531	0.236	0.286	okuliare
eyeglasses	0.561	0.269	0.306	okuliare
eyelash	0.480	0.250	0.278	mihalnica
eyelet	0.632	0.298	0.346	očko
eyeliner	0.688	0.349	0.347	očné linky
eyepiece	0.418	0.347	0.480	okulár
eyes	0.760	0.279	0.432	oči
eyesight	0.750	0.226	0.343	zrak
eyewitness	0.541	0.686	0.698	očitý svedok
fab	0.490	0.380	0.406	fab
fable	0.663	0.387	0.389	bájka
fabled	0.625	0.538	0.545	bájne
fabric	0.635	0.190	0.345	tkanina
fabricate	0.636	0.491	0.779	fabulovať
fabricated	0.418	0.427	0.555	vymyslené
fabrication	0.573	0.587	0.705	zhotovenie
fabulous	0.979	0.660	0.797	báječné
facade	0.520	0.333	0.518	fasáda
face	0.571	0.173	0.453	tvár
faceless	0.230	0.406	0.173	bez tváre
facet	0.667	0.324	0.382	fazeta
facial	0.594	0.429	0.433	tvárový
facile	0.740	0.264	0.307	ľahké
facilitate	0.812	0.333	0.509	uľahčiť
facility	0.625	0.500	0.654	zariadení
facing	0.604	0.406	0.550	tvárou v tvár
facsimile	0.490	0.500	0.543	faksimile
fact	0.683	0.333	0.618	skutočnosť
faction	0.469	0.430	0.448	frakcie
factor	0.635	0.365	0.678	faktor
factory	0.500	0.500	0.683	továreň
facts	0.688	0.471	0.693	faktov
factual	0.656	0.440	0.545	faktické
faculties	0.643	0.431	0.760	fakulty
faculty	0.615	0.412	0.732	fakulty
fad	0.663	0.520	0.570	výstrelok
fade	0.354	0.333	0.245	vyblednúť
faded	0.302	0.275	0.194	vyblednutý
faeces	0.184	0.476	0.175	výkaly
fag	0.122	0.653	0.331	fag
faggot	0.219	0.643	0.292	fešák
fail	0.177	0.578	0.154	zlyhať
failing	0.125	0.490	0.268	zlyháva
failure	0.167	0.575	0.139	zlyhanie
fain	0.479	0.417	0.426	fain
faint	0.063	0.429	0.167	mdloby
fainting	0.333	0.510	0.214	mdloby
fair	0.812	0.557	0.643	fér
fairly	0.790	0.406	0.750	spravodlivo
fairness	0.740	0.317	0.552	férovosť
fairway	0.541	0.510	0.500	plavebná dráha
fairy	0.776	0.408	0.413	víla
faith	0.833	0.220	0.763	viera
