English Word	Valence	Arousal	Dominance	Kurdish-Kurmanji Word
descendent	0.391	0.480	0.565	descendent
descending	0.219	0.493	0.250	daketin
descent	0.300	0.402	0.158	daketin
describe	0.542	0.472	0.555	terîfkirin
description	0.582	0.425	0.596	terîf
descriptive	0.667	0.352	0.570	raveker
desecrate	0.255	0.806	0.509	heram kirin
desecration	0.125	0.833	0.564	xirakirin
desert	0.469	0.279	0.389	çol
deserted	0.156	0.480	0.214	çolê
deserter	0.122	0.710	0.366	çolê
desertion	0.122	0.630	0.289	terkandin
deserve	0.802	0.436	0.613	qezenckirin
deserved	0.781	0.582	0.689	heq kiriye
deserving	0.802	0.596	0.858	layiqî
design	0.796	0.327	0.632	mînakkirin
designate	0.531	0.538	0.683	binavkirî
designated	0.500	0.412	0.616	destnîşan kirin
designation	0.612	0.571	0.675	binavkirin
designed	0.745	0.380	0.595	dîzaynkirin
designer	0.875	0.519	0.670	şikilda
designing	0.792	0.355	0.552	sêwirandin
desirability	0.684	0.550	0.675	desirability
desirable	0.740	0.735	0.750	desirable
desire	0.896	0.692	0.647	xwezî
desiring	0.814	0.821	0.632	xwestin
desirous	0.719	0.824	0.562	xwestek
desist	0.220	0.358	0.291	dev jê berde
desk	0.510	0.135	0.422	meza nivîsê
desolate	0.104	0.320	0.228	wêrankirî
desolation	0.073	0.481	0.273	wêranbûn
despair	0.115	0.794	0.245	şaşmanî
despairing	0.073	0.735	0.286	bêhêvî kirin
despatch	0.448	0.400	0.613	şandin
desperado	0.260	0.745	0.361	desperado
desperate	0.083	0.842	0.337	neçare
desperation	0.125	0.904	0.419	bêhêvîbûn
despicable	0.146	0.710	0.255	nefret
despise	0.167	0.745	0.296	çepelkirin
despondent	0.133	0.378	0.221	bêhêvî
despotic	0.141	0.824	0.592	despotîk
despotism	0.255	0.696	0.620	despotîzm
dessert	0.755	0.491	0.404	paşîv
destination	0.708	0.471	0.637	armanca seyahatê
destined	0.698	0.462	0.617	qedere
destiny	0.781	0.413	0.611	qeder
destitute	0.130	0.451	0.222	feqîr
destroy	0.046	0.935	0.635	wêrankirin
destroyed	0.031	0.696	0.288	hilweşandin
destroyer	0.083	0.830	0.543	wêrankar
destroying	0.041	0.828	0.660	hilweşandin
destruct	0.071	0.868	0.525	hilweşînin
destruction	0.102	0.929	0.613	wêrankirin
destructive	0.177	0.870	0.713	wêranker
detach	0.357	0.625	0.450	vekirin
detached	0.280	0.396	0.216	veqetandî
detachment	0.243	0.700	0.443	veqetandin
detail	0.514	0.406	0.528	hûrî
detailed	0.603	0.314	0.472	berfireh
details	0.583	0.367	0.481	hûragahiyan
detain	0.351	0.345	0.430	şûndegirtin
detainee	0.306	0.510	0.321	girtî
detect	0.531	0.520	0.565	kişfkirin
detectable	0.479	0.539	0.649	tespîtkirin
detection	0.708	0.567	0.538	servekirin
detective	0.500	0.764	0.901	dîdektîv
detector	0.459	0.630	0.724	detektor
detention	0.265	0.698	0.562	girtî
deter	0.344	0.537	0.567	nehiştin
detergent	0.458	0.304	0.426	dermanê paqijî
deteriorate	0.083	0.471	0.202	xirab bikin
deteriorated	0.053	0.549	0.237	xirab kirin
deteriorating	0.104	0.459	0.112	xerabtir dibe
deterioration	0.130	0.512	0.283	xirabûna
determinable	0.625	0.565	0.723	diyarker
determinate	0.630	0.314	0.772	diyar kirin
determination	0.776	0.725	0.795	tespîtkirinî
determine	0.612	0.368	0.776	binavkirin
determined	0.760	0.528	0.673	jidil
deterrent	0.292	0.461	0.385	deterrent
detest	0.083	0.800	0.492	nefret kirin
detestation	0.177	0.637	0.412	nefretkirin
detonate	0.375	0.850	0.696	teqîn
detonation	0.167	0.931	0.741	teqîn
detonator	0.207	0.875	0.750	detonator
detour	0.398	0.539	0.309	rêgerrok
detract	0.344	0.438	0.368	detract
detriment	0.281	0.538	0.263	zirarê
detrimental	0.203	0.679	0.387	zirardar
detritus	0.276	0.353	0.363	detritus
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	deutschmark
devalued	0.321	0.462	0.212	bêqîmet kirin
devastate	0.021	0.796	0.509	xopankirin
devastated	0.120	0.544	0.264	wêran kirin
devastating	0.104	0.856	0.419	wêranker
devastation	0.090	0.904	0.472	wêranî
develop	0.771	0.670	0.821	pêşvebirin
developer	0.844	0.653	0.864	pêşvebirinê
developing	0.833	0.587	0.714	pêşdikeve
development	0.827	0.500	0.796	pêşveçûnî
deviant	0.094	0.589	0.398	deviant
deviate	0.173	0.562	0.269	jêveqetîn
deviating	0.354	0.634	0.536	deviating
deviation	0.105	0.513	0.336	ferq
device	0.562	0.404	0.627	sazî
devil	0.161	0.900	0.611	şeytan
deviled	0.347	0.559	0.358	şeytanî
devilish	0.073	0.865	0.490	şeytanî
devious	0.250	0.519	0.259	devious
devise	0.551	0.557	0.670	fikirkirin
devoid	0.219	0.436	0.300	bêpar
devolution	0.345	0.434	0.425	devolution
devolve	0.367	0.427	0.596	veqetandin
devote	0.802	0.490	0.642	şabaşkirin
devoted	0.867	0.320	0.698	dilsoz
devotee	0.816	0.461	0.577	dilsoz
devotion	0.802	0.561	0.673	heyranî
devotional	0.740	0.394	0.655	dilsoz
devour	0.344	0.888	0.574	dixwar
devout	0.620	0.357	0.464	dilsoz
dew	0.604	0.225	0.464	nim
dexter	0.458	0.473	0.444	dexter
dexterity	0.771	0.673	0.864	jêhatîbûn
dextrose	0.333	0.402	0.323	dekstroz
diabetes	0.051	0.472	0.279	nexweşîya şekir
diabetic	0.125	0.269	0.237	şekirkêmane
diabolical	0.102	0.912	0.456	şeytanî
diagnose	0.378	0.520	0.714	teşhîskirin
diagnosis	0.571	0.500	0.819	teşhîs
diagnostic	0.417	0.483	0.635	teşhîs
diagnostics	0.540	0.440	0.750	teşhîs
diagonal	0.500	0.343	0.410	diagonal
diagram	0.562	0.357	0.445	dîyagram
dial	0.620	0.427	0.596	lewha neqandinê
dialect	0.635	0.422	0.526	şîwa
dialectic	0.510	0.540	0.638	diyalektîk
dialogue	0.599	0.441	0.625	diyalog
dialysis	0.194	0.567	0.407	diyalîz
diameter	0.427	0.298	0.483	çap
diamond	0.910	0.606	0.769	cewher
diamonds	0.927	0.684	0.917	elmas
diaper	0.409	0.274	0.155	potikê zarokan
diaphragm	0.459	0.337	0.517	diaphragm
diarrhea	0.092	0.684	0.143	navçûyin
diarrhoea	0.038	0.692	0.250	navçûyin
diary	0.698	0.292	0.464	rojpirtûk
diatribe	0.354	0.569	0.409	diatribe
dib	0.479	0.370	0.344	dib
dibs	0.510	0.410	0.391	dibs
dice	0.458	0.441	0.264	kabik
dicey	0.290	0.833	0.727	dicey
dichotomous	0.365	0.452	0.538	dubendî
dichotomy	0.323	0.482	0.483	dubendî
dick	0.208	0.500	0.462	dîk
dickhead	0.115	0.608	0.284	dickhead
dicks	0.310	0.694	0.358	dîk
dictate	0.480	0.423	0.668	çapkirin
dictation	0.255	0.378	0.627	çap
dictator	0.073	0.760	0.862	dîktator
dictatorial	0.204	0.770	0.840	dîktatorî
dictatorship	0.082	0.806	0.784	dîktatorî
diction	0.439	0.373	0.679	diction
dictionary	0.620	0.250	0.598	ferheng
dictum	0.385	0.510	0.528	dictum
didactic	0.645	0.480	0.673	dîdaktîk
diddle	0.429	0.566	0.393	diddle
die	0.031	0.765	0.259	mirin
died	0.021	0.650	0.327	mir
diesel	0.490	0.327	0.448	mazotê
diet	0.429	0.235	0.398	parêz
dietary	0.551	0.220	0.261	dietary
differ	0.230	0.398	0.396	cuda
difference	0.474	0.560	0.483	ferq
differences	0.365	0.582	0.342	cudahiyên
different	0.612	0.394	0.473	wekîdin
differential	0.520	0.378	0.535	cudahî
differentiation	0.367	0.561	0.535	cudabûn
differently	0.480	0.431	0.506	cuda
differing	0.418	0.410	0.455	cuda
difficult	0.235	0.700	0.508	asteng
difficulties	0.082	0.784	0.357	zehmetiyên
difficulty	0.079	0.740	0.368	astengî
diffuse	0.430	0.431	0.321	belav kirin
diffusion	0.356	0.615	0.517	belavbûn
dig	0.367	0.585	0.637	kort
digest	0.720	0.413	0.483	hezmkirin
digestion	0.531	0.410	0.455	hezm
digestive	0.542	0.413	0.434	digestive
digit	0.447	0.286	0.333	jimare
digital	0.740	0.382	0.529	dîjîtal
dignified	0.766	0.481	0.635	bi rûmet
dignify	0.854	0.588	0.735	rûmet kirin
dignity	0.844	0.391	0.873	rûmet
digress	0.271	0.625	0.411	digress
digs	0.448	0.670	0.635	dikole
dike	0.360	0.384	0.490	dike
dilapidated	0.229	0.618	0.286	hilweşandî
dilatation	0.385	0.574	0.368	dilatation
dilation	0.347	0.490	0.578	dilation
dildo	0.536	0.587	0.491	dildo
dilemma	0.153	0.590	0.430	dûdilî
diligence	0.688	0.423	0.700	jîrî
diligent	0.760	0.426	0.759	jîr
dill	0.427	0.360	0.373	dill
diluent	0.417	0.344	0.332	diluent
dilute	0.275	0.192	0.349	tenikkirin
diluted	0.469	0.310	0.229	dilop kirin
dilution	0.445	0.337	0.352	dilution
dim	0.398	0.321	0.273	dim
dime	0.653	0.317	0.345	dime
dimension	0.592	0.415	0.627	ebat
dimensional	0.561	0.484	0.596	dimensional
diminish	0.240	0.357	0.167	kêm kirin
diminished	0.156	0.269	0.196	kêm kirin
diminution	0.316	0.296	0.245	kêmkirin
diminutive	0.323	0.200	0.109	diminutive
dimwit	0.255	0.459	0.175	dimwit
din	0.440	0.417	0.398	din
dine	0.821	0.519	0.478	nanxwarin
diner	0.643	0.302	0.538	xwaringeh
dinghy	0.510	0.269	0.325	dinghy
dingo	0.608	0.472	0.346	dingo
dingy	0.156	0.483	0.343	dingy
dining	0.724	0.350	0.459	xwarinê
dinky	0.357	0.451	0.358	dinky
dinner	0.823	0.392	0.379	firavîn
dinnertime	0.796	0.406	0.341	dema şîvê
dinosaur	0.448	0.630	0.596	dînazor
dint	0.378	0.480	0.492	dint
diocesan	0.520	0.283	0.518	diocesan
diocese	0.510	0.288	0.575	diocese
diorama	0.592	0.441	0.462	diorama
dioxide	0.354	0.433	0.456	dîoksît
dip	0.516	0.583	0.397	pêdeçûn
diploma	0.750	0.462	0.731	şehade
diplomacy	0.740	0.396	0.774	dîplomasî
diplomat	0.563	0.262	0.868	dîplomat
diplomatic	0.653	0.363	0.918	dîplomatîk
dipper	0.548	0.361	0.348	dipper
dippy	0.430	0.402	0.340	dippy
dipstick	0.365	0.312	0.316	dipstick
dire	0.214	0.660	0.259	dire
direct	0.793	0.403	0.650	seranser
directed	0.542	0.490	0.541	derhêneriya
direction	0.719	0.330	0.684	ber
directive	0.604	0.530	0.918	dîrektîfa
directly	0.747	0.400	0.702	rasterast
director	0.688	0.580	0.912	serek
directory	0.439	0.413	0.538	directory
dirt	0.112	0.500	0.236	gemmar
dirty	0.153	0.460	0.170	qirêjî
disability	0.073	0.482	0.173	karnezanî
disable	0.115	0.430	0.269	neçalak bike
disabled	0.308	0.443	0.235	bêmecel
disadvantage	0.150	0.377	0.282	lidijî
disaffected	0.176	0.410	0.291	nerazî bûn
disagree	0.133	0.590	0.345	lihevderneketin
disagreeable	0.042	0.643	0.178	nerazîbûn
disagreeing	0.255	0.643	0.350	lihevnekirin
disagreement	0.104	0.618	0.236	nerrîngûherrîç nerrînferqî
disallow	0.156	0.519	0.424	nepejirandin
disallowed	0.135	0.500	0.328	nepejirandin
disapointment	0.104	0.418	0.231	bêhêvîbûn
disappear	0.143	0.441	0.350	wendabûn
disappearance	0.214	0.698	0.367	wendayî
disappearing	0.167	0.427	0.379	winda dibin
disappoint	0.150	0.633	0.288	şaşhiştin
disappointed	0.071	0.472	0.241	bêhêvî kirin
disappointing	0.073	0.640	0.200	şaşhişt
disappointment	0.115	0.490	0.336	şaşhiştinî
disapproval	0.085	0.551	0.367	dilnerazîtî
disapprove	0.160	0.594	0.445	dilnerazîbûn
disapproved	0.104	0.550	0.114	nepejirandin
disapproving	0.245	0.625	0.452	nepejirandin
disarm	0.292	0.528	0.613	bêçekkirin
disarray	0.198	0.657	0.223	tevlihevî
disaster	0.082	0.892	0.433	filaket
disastrous	0.071	0.741	0.439	filakten
disband	0.302	0.491	0.417	belakirin
disbelief	0.188	0.409	0.373	şik
disbelieve	0.188	0.441	0.352	kafir kirin
disburse	0.418	0.473	0.353	disburse
disbursement	0.240	0.443	0.435	disbursement
disc	0.622	0.410	0.426	disc
discard	0.240	0.343	0.337	avêtin
discarded	0.229	0.460	0.308	avêtin
discards	0.240	0.464	0.391	avêtin
discern	0.459	0.566	0.518	ferq bike
discernible	0.427	0.441	0.481	diyar kirin
discerning	0.542	0.584	0.780	ferqdar
discernment	0.408	0.471	0.694	ferqkirin
discharge	0.427	0.538	0.578	jêherrik
disciple	0.765	0.385	0.462	dilxaz
disciplinary	0.562	0.593	0.796	dîsîplînî
discipline	0.615	0.471	0.806	disiplîn
disciplined	0.728	0.450	0.750	dîsîplîn kirin
disclaim	0.235	0.509	0.321	redkirin
disclaimer	0.367	0.571	0.542	disclaimer
disclose	0.490	0.570	0.545	kişivkirin
disclosed	0.271	0.575	0.546	eşkere kirin
disclosure	0.500	0.615	0.710	kişivî
disco	0.710	0.806	0.575	dîsko
discoloration	0.224	0.373	0.414	direng
discolored	0.204	0.340	0.269	rengîn kirin
discomfort	0.153	0.719	0.272	nerehetî
disconcerted	0.100	0.612	0.288	xemgîn
disconcerting	0.106	0.549	0.269	xemgîn
disconnect	0.438	0.292	0.191	hevqetandin
disconnected	0.292	0.276	0.173	veqetandin
disconnection	0.167	0.283	0.277	veqetandin
disconnects	0.256	0.357	0.241	veqetîne
discontent	0.240	0.530	0.263	nerazîbûn
discontinuance	0.123	0.741	0.337	rawestandin
discontinue	0.354	0.396	0.349	qûtkirin
discontinuity	0.303	0.439	0.250	bêdawîbûn
discontinuous	0.233	0.409	0.316	bêdawî
discord	0.115	0.882	0.465	nakokî
discount	0.724	0.530	0.302	kêmkirinî
discounted	0.677	0.471	0.430	daxistin
discourage	0.184	0.443	0.267	qidûmşikandin
discouraged	0.220	0.304	0.090	cesaret kirin
discouragement	0.112	0.319	0.206	bêhêvîbûn
discouraging	0.167	0.469	0.281	bêhêvî dikin
discourse	0.410	0.550	0.803	gotûbêj
discover	0.771	0.793	0.673	kişfkirin
discovery	0.823	0.627	0.814	kişfî
discredit	0.075	0.529	0.355	riswakirin
discredited	0.112	0.491	0.182	bêrûmet kirin
discreet	0.552	0.216	0.532	bêdeng
discrepancy	0.260	0.643	0.417	ferq
discrete	0.585	0.231	0.429	veqetandî
discretion	0.552	0.320	0.685	dizîtî
discretionary	0.520	0.365	0.446	discretionary
discriminate	0.125	0.761	0.366	biçûkdîtin
discriminating	0.160	0.783	0.462	cihêkariyê
discrimination	0.051	0.724	0.379	biçûkdîtinî
discus	0.542	0.423	0.343	dîsko
discuss	0.396	0.769	0.509	hevaxaftin
discussion	0.333	0.842	0.536	nîqaş
disdain	0.153	0.446	0.441	nefret kirin
disdainful	0.097	0.480	0.263	nefret kirin
disease	0.041	0.539	0.333	nexweşî
diseased	0.123	0.510	0.134	nexweşî
disembodied	0.167	0.620	0.412	bêbeden kirin
disengage	0.406	0.529	0.304	veqetandin
disengagement	0.327	0.373	0.395	veqetandin
disfigured	0.153	0.613	0.336	şikestî kirin
disgrace	0.061	0.531	0.331	eyb
disgraced	0.071	0.661	0.250	riswa kirin
disgraceful	0.082	0.702	0.240	riswa
disgruntled	0.104	0.658	0.442	nerazî bûn
disguise	0.573	0.694	0.431	sergirtin
disguised	0.500	0.615	0.326	veşartî
disgust	0.052	0.775	0.317	girêzî
disgusted	0.051	0.773	0.274	nefret kirin
disgusting	0.031	0.796	0.245	girêze
dish	0.552	0.255	0.264	ferax
disheartened	0.153	0.343	0.238	bêhêvî kirin
disheartening	0.010	0.353	0.224	diltengkirin
dishonest	0.191	0.491	0.163	nerast
dishonesty	0.094	0.592	0.348	bêrûmetî
dishonor	0.104	0.620	0.185	bêrûmetî
dishonorable	0.112	0.641	0.280	bêşeref
dishwasher	0.480	0.296	0.324	firaqşûştinê
disillusionment	0.051	0.519	0.190	bêhêvîbûn
disinclination	0.125	0.491	0.330	dilnexwazî
disincline	0.458	0.454	0.278	disincline
disinclined	0.385	0.442	0.364	nerazî kirin
disinfect	0.448	0.388	0.648	dezenfekte kirin
disinfectant	0.531	0.429	0.460	dezinfektant
disinfection	0.517	0.556	0.473	dezenfektekirin
disinformation	0.230	0.577	0.260	dezenformasyon
disingenuous	0.194	0.509	0.204	bêbawer
disintegrate	0.143	0.660	0.364	perçebûn
disintegration	0.094	0.551	0.381	perçebûn
disinterested	0.398	0.284	0.392	bêbalkêş
disjoint	0.351	0.385	0.322	disjoint
disjointed	0.323	0.518	0.365	veqetandî
disjunctive	0.286	0.481	0.400	disjunctive
disk	0.573	0.423	0.412	lewha
diskette	0.531	0.255	0.391	dîsketê
dislike	0.156	0.406	0.321	hez nakin
disliked	0.062	0.510	0.221	neecibandin
disliking	0.163	0.637	0.366	nehezkirin
dislocated	0.125	0.625	0.200	ji cih bûne
dislocation	0.229	0.565	0.373	dislocation
dislodge	0.214	0.769	0.356	hilweşandin
disloyal	0.062	0.582	0.245	nesayî
disloyalty	0.187	0.716	0.267	bêbawerî
dismal	0.194	0.450	0.192	xemgîn
dismantle	0.347	0.644	0.462	berhevgirtin
dismay	0.314	0.681	0.459	xemgîn
dismayed	0.165	0.735	0.389	xemgîn kirin
dismemberment	0.104	0.860	0.470	parçekirin
dismiss	0.167	0.541	0.509	berdan
dismissal	0.153	0.723	0.271	berdanî
dismissive	0.188	0.541	0.430	dismissive
dismount	0.361	0.423	0.391	dakêşin
disobedience	0.051	0.868	0.369	asêtî
disobedient	0.276	0.706	0.353	asê
disobey	0.143	0.556	0.491	gûhnedan
disorder	0.115	0.816	0.218	bêsazî
disordered	0.210	0.714	0.288	bêserûber
disorderly	0.188	0.748	0.385	bêserûber
disorganized	0.052	0.507	0.184	bê rêxistin
disorientation	0.163	0.472	0.212	bêalîbûn
disoriented	0.227	0.643	0.227	disoriented
disown	0.153	0.637	0.368	înkar kirin
disparage	0.092	0.663	0.336	şermezar kirin
disparaging	0.102	0.626	0.411	şermezar kirin
disparate	0.438	0.500	0.368	cuda
disparity	0.208	0.482	0.361	cudahî
dispassionate	0.199	0.217	0.218	dilpak
dispatch	0.317	0.417	0.555	şandin
dispatcher	0.365	0.704	0.652	belavker
dispel	0.388	0.402	0.411	belav kirin
dispensary	0.406	0.380	0.606	dermanxane
dispensation	0.388	0.462	0.490	belavkirin
dispense	0.561	0.520	0.518	belavkirin
dispenser	0.583	0.392	0.470	dispenser
dispersal	0.388	0.507	0.421	belavbûn
disperse	0.375	0.569	0.434	belakirin
dispersed	0.344	0.490	0.274	belav kirin
dispersion	0.270	0.604	0.350	belavbûn
dispirited	0.204	0.280	0.142	bêhêvî kirin
displace	0.424	0.541	0.454	lişûnkirin
displaced	0.281	0.472	0.291	koç kirin
displacement	0.276	0.531	0.481	jicîhûwarkirin
displacency	0.500	0.528	0.642	jicîhûwarkirin
display	0.677	0.325	0.400	pêşkêşî
displease	0.021	0.702	0.286	nerazîbûn
displeased	0.135	0.690	0.400	nerazî bûn
displeasure	0.115	0.559	0.250	nerazîbûn
disposable	0.271	0.439	0.250	yekcar
disposal	0.135	0.608	0.396	avêtin
dispose	0.548	0.538	0.559	avêtin
disposed	0.688	0.441	0.625	avêtin
disposition	0.663	0.542	0.734	disposition
dispossessed	0.354	0.577	0.331	bêxwedî kirin
disprove	0.375	0.625	0.613	pûçkirin
dispute	0.219	0.750	0.585	înkarkirin
disqualification	0.066	0.677	0.330	betalkirin
disqualified	0.129	0.464	0.232	betal kirin
disqualify	0.208	0.595	0.267	disqualify
disquieted	0.229	0.850	0.290	xemgîn kirin
disregard	0.177	0.647	0.308	bêhezkirin
disregarded	0.260	0.458	0.283	paşguh kirin
disrelish	0.375	0.471	0.304	bêhêvî kirin
disreputable	0.104	0.688	0.353	bêrûmet
disrepute	0.208	0.630	0.292	bêrûmet kirin
disrespect	0.062	0.637	0.302	bêhurmetî
disrespectful	0.031	0.694	0.273	bêhûrmet
disrupt	0.265	0.640	0.349	sekindayin
disrupting	0.186	0.557	0.339	têkbirin
disruption	0.235	0.735	0.436	rawesta
disruptive	0.255	0.755	0.575	astengker
dissatisfaction	0.115	0.663	0.202	nerazîbûn
dissatisfied	0.042	0.561	0.291	nerazî
dissect	0.367	0.750	0.595	perçekirin
dissection	0.276	0.632	0.462	dabeşkirin
disseminate	0.562	0.608	0.750	belav kirin
dissemination	0.476	0.551	0.583	belavkirin
dissension	0.250	0.618	0.414	nakokî
dissent	0.300	0.655	0.407	dijberî
dissenting	0.208	0.552	0.366	dijberî
dissertation	0.312	0.575	0.575	teza
disservice	0.250	0.794	0.480	bêxizmetî
dissident	0.350	0.582	0.413	muxalif
dissimilar	0.276	0.461	0.472	cihêreng
dissipate	0.385	0.368	0.355	belav kirin
dissipated	0.281	0.421	0.231	belav kirin
dissociation	0.135	0.555	0.471	veqetandin
dissociative	0.281	0.615	0.397	veqetandî
dissolution	0.204	0.464	0.349	hilweşandin
dissolve	0.271	0.490	0.410	helandin
dissonance	0.173	0.471	0.336	dissonans
dissuade	0.482	0.500	0.350	nepejirandin
distal	0.410	0.401	0.438	dûr
distance	0.233	0.317	0.418	dûrî
distant	0.229	0.324	0.269	dûr
distaste	0.184	0.625	0.370	nefret
distasteful	0.264	0.676	0.222	nebaş
distillate	0.500	0.347	0.382	distillate
distillation	0.396	0.436	0.575	distilasyon
distilled	0.427	0.573	0.500	distilandin
distinct	0.542	0.578	0.509	cuda
distinction	0.584	0.571	0.750	ferqîdîtinî
distinctive	0.885	0.520	0.604	diyarker
distinguish	0.675	0.471	0.600	ferqdîtin
distinguishable	0.635	0.530	0.727	cudakirin
distinguished	0.823	0.593	0.759	ferq kirin
distinguishing	0.622	0.363	0.640	cudakirin
distort	0.100	0.740	0.366	tehrîf kirin
distorted	0.250	0.521	0.280	berovajî kirin
distortion	0.299	0.570	0.380	tehrîfkirin
distract	0.241	0.609	0.336	balalîdan
distracted	0.194	0.392	0.213	bal kişand
distracting	0.445	0.583	0.400	bal kişand
distraction	0.402	0.557	0.390	balalîdanî
distraught	0.115	0.903	0.264	xemgîn
distress	0.073	0.840	0.396	tûnebûnî
distressed	0.143	0.771	0.324	xemgîn
distressing	0.075	0.750	0.375	xemgîn
distribute	0.643	0.596	0.709	belavkirin
distribution	0.635	0.548	0.788	belavkirinî
distributor	0.702	0.447	0.718	belavker
district	0.438	0.327	0.660	herêm
distrust	0.060	0.670	0.276	nebawerî
disturb	0.175	0.760	0.481	nerehetkirin
disturbance	0.146	0.907	0.404	nerehetî
disturbed	0.125	0.870	0.305	bêzar kirin
disturbing	0.146	0.792	0.439	xemgîn kirin
disuse	0.229	0.229	0.202	nekarin
disused	0.250	0.302	0.186	bê bikaranîn
ditch	0.357	0.364	0.322	kort
ditto	0.449	0.418	0.411	ditto
ditty	0.470	0.433	0.334	ditty
diurnal	0.714	0.296	0.443	rojane
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	divan
dive	0.583	0.531	0.500	navdeçûn
diver	0.594	0.520	0.564	avjan
diverge	0.375	0.657	0.520	ji hev vediqetin
divergence	0.429	0.615	0.687	cudabûn
divergent	0.449	0.660	0.587	divergent
diverging	0.417	0.613	0.573	ji hev vediqetin
divers	0.583	0.580	0.602	divers
diverse	0.562	0.519	0.604	cewaze
diversified	0.602	0.538	0.549	cihêreng kirin
diversify	0.656	0.588	0.464	cihêreng bike
diversion	0.740	0.821	0.714	balalîdanî
diversionary	0.551	0.587	0.300	diversionary
diversity	0.806	0.472	0.711	cihêrengî
divert	0.344	0.622	0.407	rêgûherrandin
diverting	0.396	0.571	0.537	beralîkirin
divest	0.365	0.547	0.424	divest
divested	0.333	0.449	0.311	veqetandin
divestment	0.302	0.509	0.382	veqetandin
divide	0.333	0.520	0.417	parkirin
divided	0.271	0.623	0.391	dabeş kirin
dividend	0.583	0.491	0.566	dividend
divination	0.500	0.650	0.545	divination
divine	0.918	0.571	0.885	xwedayî
divinity	0.896	0.559	0.774	xwedayî
divisible	0.323	0.462	0.411	dabeşbûyî
division	0.370	0.481	0.472	parî
divisor	0.344	0.517	0.455	dabeşker
divorce	0.042	0.700	0.385	telaqdanî
divorcee	0.153	0.610	0.481	jinberdane
divulge	0.531	0.718	0.467	eşkere kirin
divvy	0.351	0.462	0.429	divvy
dizziness	0.229	0.555	0.254	gêjbûn
dizzy	0.199	0.582	0.193	sergêjane
do	0.670	0.548	0.536	bikin
doable	0.760	0.404	0.675	kirin
doc	0.458	0.317	0.392	doc
docile	0.604	0.259	0.264	docile
dock	0.490	0.409	0.481	çirav
docked	0.281	0.754	0.398	docked
docket	0.505	0.509	0.607	docket
docking	0.354	0.596	0.587	docking
doctor	0.700	0.531	0.861	pizişk
doctorate	0.776	0.479	0.841	doktoraya
doctrinal	0.510	0.373	0.673	doktrînal
doctrine	0.500	0.394	0.769	doktrîn
document	0.594	0.240	0.667	belge
documentary	0.622	0.213	0.596	belgefîlm
documentation	0.719	0.290	0.667	belgekirin
documents	0.530	0.250	0.587	belgeyên
dodge	0.333	0.760	0.509	dodge
dodger	0.427	0.454	0.490	dodger
dodging	0.396	0.654	0.382	dûrketin
dodgy	0.281	0.510	0.254	dodgy
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	doe
doer	0.724	0.550	0.728	doer
dog	0.704	0.500	0.407	seh
dogface	0.219	0.470	0.264	dogface
dogged	0.255	0.750	0.594	kûçik kirin
doggy	0.646	0.491	0.404	doggy
doghouse	0.438	0.417	0.340	doghouse
dogma	0.530	0.460	0.719	dogma
dogmatic	0.448	0.520	0.654	dogmatîk
dogsick	0.571	0.490	0.377	dogsick
doings	0.604	0.491	0.705	diken
doit	0.500	0.519	0.392	wê bike
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	xetimandin
dole	0.448	0.402	0.348	dole
doll	0.729	0.321	0.330	bebek
dollar	0.755	0.632	0.694	dolar
dollhouse	0.643	0.245	0.363	dollhouse
dolor	0.167	0.635	0.375	dolor
dolphin	0.776	0.350	0.414	masîyê ûnis
domain	0.573	0.549	0.828	domain
dome	0.620	0.398	0.509	dome
domestic	0.729	0.327	0.500	malî
domesticated	0.635	0.360	0.294	kedî kirin
domestication	0.594	0.390	0.435	kedîkirin
domicile	0.604	0.292	0.529	domicile
domiciled	0.542	0.340	0.516	niştecîh
dominance	0.542	0.775	0.839	serdestî
dominant	0.406	0.854	0.893	şertên hûkûmker
dominate	0.439	0.814	0.953	hûkûmkirin
dominating	0.427	0.769	0.902	serdest dikin
domination	0.505	0.786	0.959	serdestî
dominatrix	0.390	0.727	0.709	dominatrix
dominion	0.542	0.704	0.890	serdestî
domino	0.594	0.510	0.473	domino
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	bêşdan
donation	0.792	0.398	0.602	şabaş
donkey	0.406	0.367	0.245	ker
donor	0.714	0.490	0.653	donor
dontlikeyou	0.055	0.500	0.282	ji te hez nakim
dontmess	0.396	0.482	0.440	dontmess
dontmesswithme	0.312	0.635	0.440	dontmesswithme
dontpanic	0.469	0.465	0.425	panîkê neke
dontunderstand	0.219	0.357	0.271	fêm nakin
doodle	0.604	0.402	0.376	doodle
doom	0.073	0.750	0.442	doom
doomed	0.041	0.755	0.301	mehkûm kirin
doomsday	0.125	0.861	0.670	roja qiyametê
door	0.549	0.189	0.421	derî
doorbell	0.564	0.500	0.307	zengila derî
doorknob	0.406	0.553	0.462	derî
doorman	0.570	0.371	0.491	dergevan
doormat	0.458	0.269	0.267	deriyê deriyê
doornail	0.459	0.370	0.423	deriyê deriyê
doorstep	0.531	0.274	0.391	derî
