English Word	Valence	Arousal	Dominance	Chinese-Simplified Word
bash	0.385	0.546	0.463	重击
bashful	0.400	0.406	0.217	害羞
basic	0.643	0.102	0.395	基本的
basics	0.688	0.311	0.491	基本
basil	0.534	0.274	0.309	罗勒
basilica	0.612	0.302	0.639	大教堂
basin	0.552	0.231	0.398	盆地
basis	0.602	0.260	0.426	基础
bask	0.760	0.330	0.381	晒
basket	0.458	0.227	0.336	篮子
basketball	0.814	0.764	0.435	篮球
bass	0.427	0.206	0.268	低音
bass guitar	0.738	0.370	0.294	低音吉他
basso	0.417	0.420	0.439	巴索
bassoon	0.500	0.433	0.310	巴松管
bastard	0.094	0.692	0.289	混蛋
bastarding	0.104	0.608	0.269	混蛋
bastards	0.082	0.680	0.422	混蛋
bastion	0.531	0.500	0.596	堡垒
bat	0.324	0.409	0.480	蝙蝠
batch	0.560	0.357	0.357	批
batching	0.484	0.420	0.518	批处理
bate	0.429	0.525	0.464	巴特
bath	0.725	0.260	0.263	洗澡
bathe	0.677	0.294	0.371	洗澡
bathhouse	0.602	0.380	0.459	澡堂
bathing	0.740	0.276	0.361	洗澡
bathrobe	0.531	0.442	0.394	浴衣
bathroom	0.561	0.283	0.345	浴室
bathtub	0.625	0.240	0.318	浴缸
bathymetry	0.432	0.480	0.509	水深测量
baton	0.272	0.235	0.519	指挥棒
battalion	0.333	0.818	0.795	营
batter	0.561	0.245	0.373	面糊
battered	0.080	0.790	0.306	饱受摧残
battering	0.210	0.798	0.490	殴打
battery	0.480	0.425	0.442	电池
battle	0.365	0.945	0.868	战斗
battled	0.292	0.794	0.575	战斗
battlefield	0.133	0.918	0.781	战场
battleground	0.156	0.958	0.812	战场
battlements	0.276	0.441	0.530	城垛
battleship	0.479	0.750	0.726	战舰
batty	0.375	0.619	0.274	疯狂
bauble	0.698	0.429	0.255	玩具
bawdy	0.184	0.823	0.508	淫荡的
bawl	0.385	0.880	0.561	呶
bay	0.719	0.365	0.569	湾
bayonet	0.263	0.775	0.561	刺刀
bayou	0.469	0.431	0.324	河口
bazaar	0.604	0.340	0.500	市场
bazooka	0.302	0.824	0.634	火箭筒
bday	0.729	0.600	0.415	生日
be	0.670	0.240	0.554	是
beach	0.885	0.529	0.455	海滩
beaches	0.865	0.500	0.538	海滩
beacon	0.580	0.407	0.537	信标
bead	0.592	0.388	0.381	珠子
beading	0.542	0.320	0.398	串珠
beads	0.673	0.388	0.552	珠子
beady	0.448	0.417	0.443	贝迪
beagle	0.649	0.470	0.395	比格犬
beak	0.375	0.363	0.411	喙
beaker	0.420	0.410	0.391	烧杯
beam	0.584	0.349	0.382	光束
beaming	0.892	0.654	0.587	喜气洋洋
bean	0.667	0.269	0.264	豆
beanbag	0.450	0.380	0.340	豆袋
beanie	0.500	0.230	0.263	豆豆
bear	0.448	0.570	0.475	熊
bearable	0.542	0.375	0.605	可忍受的
beard	0.490	0.261	0.371	胡须
bearded	0.439	0.337	0.391	大胡子
bearer	0.571	0.547	0.676	持票人
bearing	0.571	0.367	0.474	轴承
bearings	0.418	0.490	0.426	轴承
bearish	0.521	0.549	0.324	看跌
bearskin	0.333	0.398	0.464	熊皮
beast	0.214	0.780	0.732	兽
beastly	0.146	0.874	0.843	兽
beat	0.279	0.647	0.492	打
beaten	0.083	0.846	0.265	殴打
beater	0.438	0.545	0.482	打浆机
beating	0.153	0.833	0.481	殴打
beatnik	0.429	0.510	0.382	贝特尼克
beau	0.612	0.440	0.432	美女
beautification	0.885	0.575	0.725	美化
beautiful	0.875	0.614	0.648	美丽的
beautify	0.898	0.592	0.736	美化
beauty	0.842	0.600	0.644	美丽
beaver	0.490	0.344	0.393	海狸
bebop	0.482	0.490	0.358	贝博普
beck	0.580	0.375	0.418	贝克
beckon	0.663	0.455	0.452	招手
become	0.641	0.583	0.643	变得
bed	0.604	0.173	0.327	床
bedding	0.704	0.276	0.377	寝具
bedpan	0.510	0.400	0.362	便盆
bedrock	0.561	0.340	0.598	基岩
bedroom	0.744	0.296	0.491	卧室
bedside	0.604	0.167	0.375	床头
bedspread	0.551	0.139	0.292	床罩
bedtime	0.673	0.314	0.373	就寝时间
bee	0.520	0.509	0.309	蜜蜂
beef	0.582	0.312	0.492	牛肉
beefsteak	0.594	0.391	0.455	牛排
beehive	0.541	0.700	0.422	蜂窝
beep	0.595	0.541	0.304	嘟
beeper	0.438	0.720	0.441	蜂鸣器
beer	0.592	0.654	0.500	啤酒
bees	0.562	0.635	0.412	蜜蜂
beeswax	0.583	0.402	0.375	蜂蜡
beetle	0.323	0.356	0.295	甲虫
befall	0.520	0.663	0.585	降临
befitting	0.708	0.333	0.394	合适
befriend	0.930	0.624	0.471	交朋友
befuddled	0.156	0.714	0.269	糊涂
beg	0.292	0.608	0.328	求
beggar	0.240	0.402	0.116	乞丐
begging	0.292	0.461	0.202	乞讨
begin	0.677	0.569	0.763	开始
beginner	0.490	0.480	0.387	初学者
beginning	0.816	0.528	0.558	开始
beginnings	0.837	0.527	0.600	开始
begrudge	0.177	0.731	0.377	怨恨
begun	0.677	0.500	0.404	开始
behappy	0.875	0.557	0.562	要开心
behave	0.677	0.363	0.747	表现
behavior	0.594	0.442	0.813	行为
behavioral	0.612	0.440	0.708	行为的
behemoth	0.583	0.781	0.853	庞然大物
behest	0.602	0.350	0.720	遗嘱
behold	0.610	0.284	0.449	看哪
beholden	0.296	0.555	0.212	感激不尽
beholder	0.714	0.491	0.520	旁观者
beige	0.490	0.222	0.224	浅褐色的
belated	0.240	0.400	0.214	迟到的
belay	0.500	0.472	0.702	保护
belch	0.194	0.562	0.240	嗝
belief	0.896	0.375	0.656	信仰
believable	0.866	0.390	0.676	可信的
believe	0.781	0.370	0.682	相信
believed	0.500	0.562	0.547	相信
believer	0.725	0.445	0.564	信徒
believing	0.870	0.418	0.833	相信
belittle	0.122	0.417	0.250	贬低
belittled	0.177	0.392	0.226	被贬低
bell	0.552	0.510	0.505	钟
bellboy	0.542	0.363	0.302	服务生
bellhop	0.500	0.287	0.318	侍者
belligerent	0.344	0.680	0.594	好战的
bellman	0.540	0.250	0.371	行李员
bellow	0.248	0.337	0.212	波纹管
bellows	0.458	0.515	0.429	波纹管
belly	0.510	0.388	0.387	腹部
bellybutton	0.531	0.283	0.360	肚脐
bellyful	0.347	0.806	0.519	满腹的
belong	0.643	0.405	0.569	属于
belongings	0.592	0.380	0.750	财物
beloved	0.969	0.613	0.708	心爱
belt	0.541	0.322	0.445	腰带
beluga	0.510	0.333	0.482	白鲸
bemused	0.281	0.490	0.278	困惑
bench	0.571	0.289	0.544	长椅
bend	0.571	0.324	0.368	弯曲
bender	0.490	0.510	0.466	弯管机
bending	0.448	0.565	0.455	弯曲
beneath	0.354	0.173	0.233	下面
benedictory	0.677	0.438	0.481	仁慈的
benefactor	0.833	0.578	0.755	恩人
beneficial	0.820	0.579	0.703	有利
beneficiary	0.776	0.399	0.616	受益人
benefit	0.906	0.422	0.806	益处
benevolence	0.786	0.340	0.717	仁
benevolent	0.786	0.407	0.651	仁慈
benign	0.694	0.440	0.509	良性
bent	0.375	0.453	0.298	弯曲
benzene	0.439	0.459	0.403	苯
bequeath	0.743	0.500	0.741	遗赠
bequest	0.661	0.398	0.882	遗赠
bereaved	0.104	0.479	0.221	失去亲人
bereavement	0.265	0.677	0.500	丧亲之痛
bereft	0.229	0.490	0.336	失去
beret	0.542	0.240	0.327	贝雷帽
bergamot	0.510	0.365	0.339	佛手柑
berlin	0.592	0.423	0.571	柏林
berserk	0.398	0.556	0.480	狂暴
berth	0.295	0.337	0.596	泊位
beryllium	0.417	0.412	0.425	铍
beseech	0.330	0.441	0.600	恳求
beset	0.385	0.717	0.317	困扰
bestdayever	0.760	0.646	0.593	最好的一天
bestfeeling	0.806	0.509	0.625	最好的感觉
bestfriends	0.934	0.662	0.647	最好的朋友
bestial	0.260	0.761	0.674	兽性
besties	0.888	0.509	0.614	闺蜜
bestow	0.656	0.560	0.642	赐给
bestseller	0.771	0.643	0.700	畅销书
bet	0.385	0.698	0.432	赌注
beta	0.710	0.370	0.439	测试版
betray	0.042	0.870	0.536	背叛
betrayal	0.083	0.719	0.418	背叛
betrayed	0.122	0.769	0.308	背叛
betrothed	0.833	0.630	0.667	订婚的
betterment	0.898	0.536	0.769	改善
betting	0.237	0.804	0.411	投注
betty	0.542	0.358	0.381	贝蒂
bevel	0.757	0.406	0.454	斜角
beverage	0.635	0.490	0.389	饮料
bevy	0.429	0.460	0.541	贝维
beware	0.151	0.596	0.518	谨防
bewilder	0.306	0.571	0.289	迷惑
bewildered	0.230	0.630	0.300	不知所措
bewilderment	0.312	0.716	0.216	困惑
bias	0.400	0.370	0.541	偏见
biased	0.271	0.302	0.368	有偏见的
bib	0.385	0.396	0.339	围兜
bible	0.719	0.225	0.726	圣经
biblical	0.635	0.304	0.712	圣经
bibliography	0.622	0.204	0.528	参考书目
bicarbonate	0.479	0.337	0.438	碳酸氢盐
bicentennial	0.541	0.423	0.507	二百周年
biceps	0.592	0.588	0.602	二头肌
bicker	0.143	0.643	0.552	斗嘴
bickering	0.122	0.800	0.536	争吵
bicolor	0.580	0.327	0.404	双色
bicycle	0.708	0.519	0.425	自行车
bid	0.760	0.530	0.655	出价
bidder	0.465	0.474	0.433	投标人
bidding	0.586	0.644	0.509	投标
bide	0.368	0.407	0.282	拜德
biennial	0.531	0.309	0.353	双年展
bier	0.497	0.448	0.407	柩
bifurcation	0.385	0.625	0.352	分岔
big	0.802	0.588	0.812	大的
bigamy	0.327	0.696	0.482	重婚
bigday	0.796	0.689	0.596	重要的日子
biggestfear	0.062	0.730	0.480	最大的恐惧
biggie	0.531	0.481	0.500	大佬
bighorn	0.480	0.547	0.580	大号角
bigmouth	0.417	0.577	0.430	大嘴巴
bigot	0.479	0.745	0.517	偏执狂
bigoted	0.153	0.760	0.462	偏执的
bigotry	0.356	0.737	0.481	偏执
bike	0.708	0.500	0.333	自行车
biker	0.604	0.710	0.567	骑自行车的人
bikini	0.730	0.639	0.353	比基尼
bilateral	0.633	0.343	0.491	双边
bilayer	0.438	0.398	0.388	双层
bile	0.157	0.461	0.324	胆汁
bilge	0.316	0.392	0.412	舱底
bilingual	0.735	0.490	0.606	双语
bill	0.396	0.402	0.535	账单
billboard	0.594	0.317	0.481	广告牌
billet	0.479	0.583	0.500	钢坯
billiard	0.719	0.616	0.543	台球
billiards	0.643	0.559	0.387	台球
billing	0.406	0.481	0.670	计费
billion	0.719	0.564	0.782	十亿
billionaire	0.806	0.667	0.923	亿万富翁
billy	0.490	0.397	0.375	比利
bimbo	0.396	0.370	0.300	荡妇
bimonthly	0.408	0.298	0.471	双月刊
bin	0.422	0.304	0.327	垃圾桶
binary	0.490	0.356	0.420	二进制
bind	0.398	0.462	0.448	绑定
binder	0.438	0.250	0.308	粘合剂
bindery	0.548	0.388	0.482	装订
binding	0.438	0.425	0.640	捆绑
bing	0.573	0.453	0.415	冰
binge	0.304	0.650	0.500	狂欢
bingo	0.735	0.667	0.429	答对了
binocular	0.531	0.344	0.426	双目
binoculars	0.490	0.309	0.411	望远镜
binomial	0.600	0.406	0.426	二项式
bio	0.612	0.225	0.490	生物
biochemical	0.367	0.481	0.618	生化
biochemist	0.471	0.449	0.717	生化学家
biochemistry	0.552	0.531	0.596	生物化学
biogenesis	0.594	0.442	0.697	生物发生
biographer	0.708	0.427	0.617	传记作者
biography	0.698	0.229	0.718	传
biological	0.590	0.410	0.615	生物
biologist	0.625	0.453	0.693	生物学家
biology	0.479	0.274	0.546	生物学
bionic	0.571	0.570	0.788	仿生
biopsy	0.323	0.657	0.481	活检
biosphere	0.684	0.351	0.579	生物圈
bipartite	0.365	0.480	0.464	双方
bipolar	0.208	0.685	0.426	双极
birch	0.562	0.346	0.382	桦木
bird	0.729	0.357	0.364	鸟
birdcage	0.480	0.398	0.318	鸟笼
birdie	0.594	0.394	0.407	小鸟
birdman	0.490	0.567	0.604	鸟人
birth	0.896	0.655	0.536	出生
birthday	0.969	0.844	0.575	生日
birthing	0.796	0.877	0.519	分娩
birthmark	0.630	0.461	0.500	胎记
birthplace	0.781	0.290	0.491	出生地
birthright	0.684	0.417	0.714	与生俱来的权利
bis	0.440	0.420	0.345	之二
biscuit	0.888	0.260	0.231	饼干
bishop	0.594	0.184	0.725	主教
bison	0.573	0.433	0.557	野牛
bisque	0.693	0.443	0.312	浓汤
bistro	0.594	0.472	0.396	小酒馆
bit	0.427	0.310	0.225	少量
bitch	0.276	0.740	0.343	婊子
bitchy	0.188	0.700	0.373	恶毒的
bite	0.219	0.796	0.510	咬
biter	0.260	0.598	0.500	咬人
bitsy	0.510	0.388	0.382	有点小
bitter	0.218	0.627	0.411	苦的
bitterly	0.194	0.685	0.362	苦涩
bitterness	0.115	0.633	0.270	苦味
bittersweet	0.469	0.569	0.474	苦乐参半
bitty	0.469	0.271	0.257	小小的
bitumen	0.375	0.235	0.307	沥青
biweekly	0.581	0.337	0.455	双周刊
biz	0.500	0.473	0.473	商务
bizarre	0.379	0.620	0.392	离奇的
blab	0.438	0.425	0.353	废话
blabbermouth	0.323	0.640	0.422	长舌
blackberry	0.667	0.413	0.453	黑莓
blackbird	0.520	0.340	0.405	黑鸟
blackboard	0.469	0.255	0.287	黑板
blacken	0.208	0.500	0.228	黩
blackface	0.302	0.490	0.441	黑面
blackjack	0.419	0.679	0.452	二十一点
blacklist	0.133	0.750	0.396	黑名单
blackmail	0.094	0.802	0.482	勒索
blackmailer	0.092	0.780	0.472	敲诈者
blackness	0.260	0.480	0.406	黑
blackout	0.126	0.530	0.349	停电
blacksmith	0.480	0.531	0.702	铁匠
bladder	0.406	0.412	0.330	膀胱
blade	0.378	0.602	0.594	刀
blame	0.115	0.640	0.309	责备
blameless	0.759	0.196	0.343	无可指责
bland	0.300	0.226	0.157	平淡无奇
blank	0.531	0.229	0.250	空白的
blanket	0.740	0.132	0.391	毯子
blare	0.439	0.561	0.519	布莱尔
blase	0.420	0.310	0.412	布拉斯
blasphemous	0.210	0.755	0.491	亵渎神明的
blasphemy	0.146	0.794	0.406	亵渎神明
blast	0.167	0.929	0.777	爆破
blaster	0.459	0.538	0.554	冲击波
blastoff	0.357	0.865	0.736	发射
blatant	0.327	0.677	0.675	明目张胆的
blather	0.344	0.481	0.382	废话
blaze	0.698	0.467	0.658	火焰
blazer	0.635	0.385	0.417	西装外套
blazing	0.594	0.896	0.735	炽烈
bleach	0.336	0.282	0.337	漂白
bleak	0.204	0.427	0.272	苍凉
bleed	0.041	0.843	0.346	流血
bleeder	0.260	0.852	0.356	放血器
bleeding	0.135	0.817	0.408	流血的
bleep	0.479	0.667	0.345	哔哔声
blemish	0.219	0.558	0.272	缺陷
blemished	0.173	0.469	0.370	有瑕疵的
blend	0.469	0.452	0.463	混合
blender	0.602	0.534	0.351	搅拌机
blending	0.560	0.418	0.637	混合
bless	0.929	0.269	0.588	保佑
blessed	0.910	0.279	0.696	祝福
blessing	0.929	0.264	0.800	祝福
blessings	0.929	0.361	0.623	祝福
bleu	0.460	0.354	0.379	蓝
blight	0.271	0.771	0.429	枯萎病
blighted	0.146	0.615	0.296	秕
blimp	0.600	0.410	0.532	飞艇
blinded	0.245	0.471	0.231	失明
blindfold	0.448	0.684	0.337	眼罩
blindfolded	0.208	0.564	0.209	蒙眼
blinding	0.304	0.596	0.406	致盲
blindly	0.439	0.598	0.278	盲目地
blindness	0.245	0.480	0.196	失明
blink	0.552	0.316	0.324	眨
blip	0.529	0.461	0.418	昙花一现
bliss	0.816	0.500	0.782	幸福
blissful	0.885	0.639	0.676	幸福的
blister	0.407	0.538	0.402	水疱
blistering	0.344	0.569	0.390	起泡
blitz	0.417	0.722	0.789	闪电战
blizzard	0.375	0.726	0.417	暴风雪
bloat	0.229	0.694	0.298	臃肿
bloated	0.167	0.593	0.424	臃肿
blob	0.500	0.376	0.298	斑点
block	0.286	0.350	0.402	堵塞
blockade	0.380	0.519	0.510	封锁
blockage	0.250	0.608	0.444	堵塞
blockbuster	0.730	0.676	0.883	大片
blockhead	0.163	0.333	0.148	傻瓜
blog	0.639	0.390	0.432	博客
bloke	0.450	0.479	0.545	大块头
blond	0.590	0.490	0.490	金发
blonde	0.698	0.545	0.412	金发女郎
blood	0.219	0.684	0.585	血液
bloodbath	0.060	0.971	0.475	血洗
bloodhound	0.327	0.462	0.538	猎犬
bloodless	0.292	0.390	0.212	无血的
bloodline	0.510	0.657	0.604	血统
bloodshed	0.048	0.942	0.525	流血事件
bloodshot	0.188	0.810	0.482	血丝
bloodstream	0.552	0.530	0.528	血流
bloodthirsty	0.052	0.804	0.644	嗜血的
bloody	0.031	0.910	0.518	血腥
bloom	0.816	0.453	0.587	盛开
bloomers	0.521	0.587	0.395	灯笼裤
blooming	0.860	0.452	0.593	绽放
blossom	0.792	0.275	0.309	开花
blot	0.365	0.304	0.223	印迹
blotched	0.133	0.562	0.264	有斑点的
blotter	0.360	0.298	0.280	吸墨纸
blouse	0.580	0.190	0.302	女式衬衫
blow	0.316	0.750	0.570	吹
blower	0.564	0.550	0.536	鼓风机
blowfish	0.344	0.420	0.389	河豚
blowing	0.521	0.472	0.434	吹
blowjob	0.460	0.784	0.387	口交
blown	0.333	0.548	0.412	吹
blowout	0.398	0.792	0.616	吹熄
blowtorch	0.520	0.730	0.510	喷灯
blubber	0.388	0.260	0.360	大声哭
bluddy	0.312	0.528	0.442	浑浊
blue	0.646	0.137	0.291	蓝色的
blue spruce	0.559	0.335	0.364	蓝色云杉
blueberry	0.656	0.185	0.365	蓝莓
bluebird	0.573	0.350	0.450	蓝鸟
bluegrass	0.573	0.441	0.395	早熟禾
bluejay	0.635	0.520	0.310	蓝松鸦
blueprint	0.490	0.173	0.425	蓝图
blues	0.469	0.220	0.287	布鲁斯
bluff	0.418	0.286	0.377	虚张声势
bluish	0.604	0.245	0.382	偏蓝
blunder	0.135	0.635	0.145	错误
blunt	0.551	0.680	0.925	钝
blur	0.268	0.471	0.205	模糊
blurred	0.320	0.367	0.231	模糊
blurry	0.059	0.385	0.218	模糊的
blurt	0.408	0.439	0.441	脱口而出
blush	0.698	0.610	0.445	脸红
blushing	0.510	0.789	0.288	脸红
boa	0.255	0.569	0.542	蟒蛇
boa constrictor	0.198	0.784	0.609	蟒蛇
boar	0.406	0.500	0.351	公猪
board	0.592	0.255	0.385	木板
board game	0.711	0.490	0.349	棋盘游戏
boarder	0.604	0.440	0.475	寄宿生
boarding	0.531	0.402	0.534	登机
boardroom	0.555	0.566	0.661	会议室
boards	0.469	0.270	0.524	板
boardwalk	0.643	0.481	0.549	木板路
boast	0.520	0.586	0.569	夸
boastful	0.490	0.806	0.695	自夸
boasting	0.417	0.620	0.602	吹嘘
boat	0.516	0.420	0.554	船
boathouse	0.592	0.380	0.404	船屋
boating	0.638	0.613	0.557	划船
boatload	0.365	0.415	0.485	船载
boatman	0.592	0.573	0.562	船工
bobbin	0.429	0.472	0.353	线轴
bobcat	0.562	0.490	0.529	山猫
bobsled	0.667	0.613	0.325	雪橇
bode	0.344	0.406	0.411	预兆
bodega	0.573	0.307	0.398	酒窖
bodice	0.390	0.471	0.386	紧身胸衣
bodily	0.594	0.481	0.557	身体的
body	0.694	0.461	0.571	身体
bodyguard	0.510	0.710	0.754	保镖
bog	0.302	0.361	0.365	沼泽
bogey	0.380	0.519	0.368	忌
bogeyman	0.388	0.708	0.517	妖怪
bogus	0.219	0.353	0.144	虚假
bohemian	0.622	0.500	0.407	波西米亚风格
boil	0.417	0.684	0.433	熬
boiler	0.561	0.590	0.509	锅炉
boilerplate	0.398	0.519	0.387	样板
boiling	0.302	0.690	0.526	沸腾
boisterous	0.385	0.806	0.565	喧闹的
bold	0.490	0.271	0.483	大胆的
boldness	0.806	0.684	0.814	胆量
bollocks	0.448	0.471	0.327	胡说
bolster	0.708	0.471	0.569	支持
bolt	0.354	0.363	0.426	螺栓
bolus	0.426	0.491	0.352	丸
bomb	0.167	0.912	0.750	炸弹
bombard	0.156	0.961	0.777	轰击
bombardier	0.240	0.863	0.787	庞巴迪
bombardment	0.146	0.959	0.742	轰击
bombed	0.051	0.851	0.627	轰炸
bomber	0.125	0.837	0.810	轰炸机
bombers	0.173	0.920	0.787	轰炸机
bombing	0.167	0.963	0.732	轰炸
bombshell	0.327	0.868	0.693	重磅炸弹
bonanza	0.875	0.410	0.683	富矿
bonbon	0.865	0.551	0.446	糖果
bond	0.667	0.519	0.630	纽带
bondage	0.146	0.705	0.355	束缚
bonding	0.594	0.442	0.509	粘合
bonds	0.740	0.472	0.583	债券
bondsman	0.469	0.497	0.675	债券人
bone	0.337	0.370	0.413	骨
bonehead	0.337	0.521	0.518	白痴
boner	0.344	0.612	0.393	笨蛋
bones	0.281	0.343	0.358	骨头
bonfire	0.480	0.719	0.473	篝火
bong	0.333	0.566	0.375	奉
bonkers	0.306	0.847	0.278	疯子
bonne	0.448	0.395	0.362	邦内
bonnet	0.406	0.509	0.473	引擎盖
bonny	0.561	0.404	0.444	漂亮的
bonsai	0.714	0.235	0.375	盆栽
bonus	0.857	0.620	0.682	奖金
bony	0.445	0.462	0.330	骨
boo	0.153	0.676	0.309	嘘
boob	0.694	0.600	0.392	布布
booby	0.396	0.423	0.185	鲣鸟
booger	0.399	0.537	0.427	鼻屎
boogeyman	0.292	0.559	0.567	妖怪
boogie	0.590	0.543	0.400	布吉
book	0.802	0.210	0.606	书
bookcase	0.553	0.221	0.490	书柜
bookie	0.344	0.633	0.618	赌徒
booking	0.708	0.503	0.583	预订
bookish	0.604	0.236	0.430	书呆子
bookkeeper	0.480	0.363	0.468	会计
bookkeeping	0.520	0.214	0.592	簿记
booklet	0.510	0.270	0.351	小册子
bookmaker	0.583	0.804	0.633	博彩公司
bookmark	0.543	0.441	0.415	书签
books	0.729	0.115	0.430	图书
bookseller	0.583	0.317	0.456	书商
bookshop	0.688	0.291	0.389	书店
bookstore	0.771	0.180	0.503	书店
bookworm	0.563	0.337	0.316	书呆子
boom	0.604	0.655	0.731	繁荣
boomer	0.480	0.539	0.441	婴儿潮一代
boomerang	0.531	0.625	0.500	回旋镖
booming	0.688	0.554	0.661	蓬勃发展
boon	0.878	0.294	0.642	恩惠
boooo	0.271	0.549	0.255	嘘
boost	0.865	0.730	0.750	促进
booster	0.755	0.600	0.800	助推器
boot	0.438	0.650	0.625	开机
booth	0.531	0.400	0.310	展位
bootleg	0.357	0.519	0.466	盗版
bootlegger	0.354	0.649	0.541	盗版者
boots	0.602	0.255	0.350	靴子
booty	0.663	0.587	0.784	赃物
booze	0.265	0.745	0.431	豪饮
bop	0.429	0.490	0.426	防喷器
bopper	0.398	0.530	0.385	波普尔
border	0.406	0.382	0.424	边界
bordering	0.643	0.382	0.438	接壤
borderline	0.449	0.520	0.490	边缘
bore	0.417	0.440	0.455	钻孔
boreal	0.582	0.348	0.400	北方
bored	0.153	0.167	0.196	无聊的
boredom	0.167	0.139	0.255	无聊
borer	0.302	0.549	0.578	蛀虫
boring	0.194	0.217	0.125	无聊的
born	0.865	0.509	0.591	出生
boron	0.441	0.370	0.375	硼
borough	0.429	0.343	0.380	自治市镇
borrow	0.398	0.573	0.282	借
borrower	0.439	0.423	0.763	借款人
bosom	0.612	0.588	0.404	怀
boss	0.310	0.627	0.954	老板
bossy	0.240	0.824	0.750	专横的
boston	0.643	0.380	0.580	波士顿
botanical	0.660	0.259	0.491	植物
botanist	0.651	0.240	0.456	植物学家
botany	0.604	0.201	0.500	植物学
bother	0.208	0.780	0.370	打扰
bothering	0.208	0.764	0.449	烦人
bottle	0.469	0.236	0.336	瓶子
bottleneck	0.284	0.471	0.287	瓶颈
bottling	0.365	0.333	0.370	装瓶
bottom	0.417	0.370	0.291	底部
bottomless	0.310	0.470	0.368	无底洞
botulism	0.292	0.575	0.386	肉毒杆菌中毒
boulder	0.461	0.309	0.531	巨石
bounce	0.375	0.633	0.386	弹跳
bouncer	0.490	0.653	0.655	保镖
bouncy	0.562	0.565	0.429	有弹性的
bound	0.417	0.667	0.310	边界
boundary	0.561	0.427	0.518	边界
boundless	0.684	0.642	0.652	无边无际
bounds	0.378	0.426	0.604	界限
bountiful	0.854	0.596	0.759	丰富
bounty	0.760	0.755	0.833	赏金
bouquet	0.724	0.352	0.306	花束
bourbon	0.602	0.490	0.517	波旁酒
bourgeois	0.439	0.593	0.682	资产阶级
bourgeoisie	0.357	0.417	0.767	资产阶级
bourse	0.530	0.230	0.336	交易所
bout	0.208	0.808	0.679	回合
boutique	0.745	0.490	0.441	精品店
bouttime	0.588	0.373	0.410	回合时间
bovine	0.449	0.255	0.353	牛
bow	0.530	0.306	0.408	弓
bowed	0.410	0.418	0.368	鞠躬
bowel	0.306	0.417	0.391	肠
bowels	0.194	0.448	0.362	肠子
bowl	0.625	0.377	0.358	碗
bowler	0.552	0.633	0.481	投球手
bowling	0.656	0.431	0.309	保龄球
bowls	0.551	0.280	0.277	碗
box	0.500	0.179	0.312	盒子
boxcar	0.420	0.469	0.421	棚车
boxer	0.490	0.810	0.802	拳击手
boxers	0.375	0.880	0.654	拳击手
boxing	0.427	0.854	0.645	拳击
boycott	0.112	0.690	0.505	联合抵制
boyfriend	0.781	0.604	0.547	男朋友
boyhood	0.729	0.745	0.500	少年时代
boyish	0.698	0.562	0.462	孩子气
boysenberry	0.646	0.409	0.475	波森莓
bozo	0.388	0.364	0.298	博佐
bra	0.672	0.529	0.509	胸罩
brace	0.610	0.385	0.364	支撑
bracelet	0.776	0.340	0.322	手镯
braces	0.500	0.337	0.568	大括号
brachial	0.388	0.363	0.464	肱
bracket	0.490	0.350	0.682	括号
brackets	0.573	0.281	0.435	括号
brackish	0.469	0.368	0.421	咸咸的
brad	0.490	0.385	0.402	布拉德
brag	0.347	0.545	0.578	吹牛
braid	0.427	0.222	0.216	编织
brain	0.667	0.441	0.823	脑
brainless	0.138	0.310	0.224	无脑
brains	0.663	0.557	0.722	大脑
brainstorm	0.794	0.784	0.636	头脑风暴
brainwash	0.198	0.647	0.481	洗脑
brainy	0.708	0.520	0.648	聪明的
brake	0.312	0.481	0.310	制动
bran	0.688	0.433	0.483	麸
branch	0.538	0.206	0.250	分支
branching	0.520	0.422	0.472	分枝
brand	0.562	0.284	0.547	牌
brandy	0.600	0.590	0.487	白兰地
brash	0.360	0.814	0.552	傲慢
brass	0.500	0.320	0.490	黄铜
brass knuckle	0.406	0.449	0.518	黄铜转向节
brassiere	0.510	0.469	0.336	乳罩
brat	0.312	0.440	0.231	小子
bratwurst	0.510	0.490	0.464	腊肠
bravado	0.479	0.510	0.527	虚张声势
brave	0.837	0.750	0.917	勇敢的
bravery	0.898	0.745	0.868	勇敢
brawl	0.104	0.938	0.603	争吵
brawn	0.438	0.402	0.544	膂力
brazen	0.292	0.640	0.518	厚颜无耻
breach	0.177	0.745	0.423	违反
bread	0.660	0.314	0.342	面包
breadth	0.667	0.490	0.644	宽度
break	0.610	0.265	0.370	休息
breakable	0.194	0.667	0.408	易碎
breakaway	0.479	0.802	0.519	摆脱
breakdown	0.365	0.423	0.361	分解
breaker	0.323	0.527	0.520	断路器
breakers	0.469	0.588	0.439	断路器
breakfast	0.885	0.330	0.429	早餐
breaking and entering	0.418	0.729	0.500	破门而入
breakingnews	0.500	0.552	0.607	爆炸新闻
breakneck	0.254	0.833	0.604	疯了
breakthrough	0.680	0.525	0.718	突破
breakup	0.250	0.720	0.357	分手
breast	0.753	0.429	0.500	胸部
breath	0.684	0.392	0.451	呼吸
breathe	0.833	0.373	0.518	呼吸
breather	0.624	0.471	0.388	喘息
breathless	0.323	0.490	0.222	气喘吁吁
breathtaking	0.936	0.792	0.921	惊险
breech	0.500	0.637	0.422	臀位
breeches	0.365	0.457	0.333	马裤
breed	0.490	0.441	0.578	品种
breeder	0.645	0.481	0.605	饲养员
