English Word	Valence	Arousal	Dominance	Malayalam Word
bar	0.500	0.531	0.481	ബാർ
barb	0.448	0.365	0.417	ബാർബ്
barbarian	0.323	0.896	0.713	ബാർബേറിയൻ
barbaric	0.235	0.798	0.738	പ്രാകൃതമായ
barbarism	0.190	0.815	0.614	പ്രാകൃതത്വം
barbecue	0.792	0.643	0.456	ബാർബിക്യൂ
barbed	0.177	0.594	0.455	മുള്ളുകൊണ്ടുള്ള
barber	0.543	0.459	0.356	ക്ഷുരകൻ
barbershop	0.597	0.441	0.382	ബാർബർ ഷോപ്പ്
barbie doll	0.729	0.370	0.330	ബാർബി പാവ
bard	0.470	0.410	0.439	ബാർഡ്
bare	0.333	0.717	0.296	നഗ്നമായ
bareback	0.500	0.356	0.373	നഗ്നബാക്ക്
barefoot	0.445	0.373	0.241	നഗ്നപാദനായി
barely	0.448	0.183	0.268	കഷ്ടിച്ച്
barf	0.340	0.491	0.394	ബാർഫ്
bargain	0.653	0.533	0.670	വിലപേശൽ
bargaining	0.622	0.640	0.642	വില പേശൽ
barge	0.469	0.388	0.465	ബാർജ്
baritone	0.592	0.529	0.500	ബാരിറ്റോൺ
barium	0.406	0.353	0.377	ബേരിയം
bark	0.360	0.602	0.395	കുര
barkeep	0.480	0.500	0.454	കുരയ്ക്കുക
barks	0.427	0.694	0.325	കുരയ്ക്കുന്നു
barley	0.614	0.212	0.296	ബാർലി
barmaid	0.521	0.472	0.440	വേലക്കാരി
barman	0.594	0.610	0.400	ബാർമാൻ
barn	0.510	0.452	0.425	കളപ്പുര
barnacle	0.408	0.337	0.457	ബാർനക്കിൾ
barney	0.451	0.378	0.440	ബാർണി
barnyard	0.510	0.353	0.336	കളപ്പുര
barometer	0.388	0.273	0.545	ബാരോമീറ്റർ
baron	0.520	0.358	0.709	ബാരൺ
baroness	0.625	0.453	0.755	ബാരോണസ്
baroque	0.490	0.357	0.418	ബറോക്ക്
barrack	0.378	0.500	0.455	ബാരക്ക്
barracuda	0.333	0.713	0.510	ബാരാക്കുഡ
barrage	0.388	0.871	0.627	ബാരേജ്
barred	0.143	0.741	0.535	തടഞ്ഞു
barrel	0.429	0.298	0.474	ബാരൽ
barren	0.173	0.373	0.221	വന്ധ്യമായ
barricade	0.323	0.667	0.673	ബാരിക്കേഡ്
barrier	0.333	0.480	0.562	തടസ്സം
barring	0.292	0.670	0.420	തടയുന്നു
barrister	0.469	0.570	0.792	ബാരിസ്റ്റർ
barroom	0.686	0.619	0.470	ബാർറൂം
barrow	0.479	0.363	0.362	ബാരോ
bartender	0.573	0.698	0.585	മദ്യപാനി
barter	0.465	0.559	0.596	കൈമാറ്റം
base	0.635	0.298	0.553	അടിസ്ഥാനം
baseball	0.660	0.760	0.563	ബേസ്ബോൾ
baseball bat	0.667	0.567	0.509	ബേസ്ബോൾ ബാറ്റ്
baseboard	0.396	0.198	0.405	ബേസ്ബോർഡ്
baseless	0.292	0.382	0.375	അടിസ്ഥാനരഹിതമായ
baseline	0.483	0.367	0.509	അടിസ്ഥാനരേഖ
baseman	0.604	0.449	0.462	ബേസ്മാൻ
basement	0.388	0.500	0.268	നിലവറ
bases	0.569	0.236	0.591	അടിസ്ഥാനങ്ങൾ
bash	0.385	0.546	0.463	ബാഷ്
bashful	0.400	0.406	0.217	നാണംകെട്ട
basic	0.643	0.102	0.395	അടിസ്ഥാന
basics	0.688	0.311	0.491	അടിസ്ഥാനകാര്യങ്ങൾ
basil	0.534	0.274	0.309	ബേസിൽ
basilica	0.612	0.302	0.639	ബസിലിക്ക
basin	0.552	0.231	0.398	തടം
basis	0.602	0.260	0.426	അടിസ്ഥാനം
bask	0.760	0.330	0.381	ബാസ്ക്
basket	0.458	0.227	0.336	കൊട്ടയിൽ
basketball	0.814	0.764	0.435	ബാസ്കറ്റ്ബോൾ
bass	0.427	0.206	0.268	ബാസ്
bass guitar	0.738	0.370	0.294	ബാസ് ഗിറ്റാർ
basso	0.417	0.420	0.439	ബാസോ
bassoon	0.500	0.433	0.310	ബാസൂൺ
bastard	0.094	0.692	0.289	തന്തയില്ലാത്തവൻ
bastarding	0.104	0.608	0.269	തെണ്ടിത്തരം
bastards	0.082	0.680	0.422	തെണ്ടികൾ
bastion	0.531	0.500	0.596	കൊത്തളം
bat	0.324	0.409	0.480	വവ്വാൽ
batch	0.560	0.357	0.357	ബാച്ച്
batching	0.484	0.420	0.518	ബാച്ചിംഗ്
bate	0.429	0.525	0.464	ബേറ്റ്
bath	0.725	0.260	0.263	കുളി
bathe	0.677	0.294	0.371	കുളിക്കുക
bathhouse	0.602	0.380	0.459	ബാത്ത്ഹൗസ്
bathing	0.740	0.276	0.361	കുളിക്കുന്നു
bathrobe	0.531	0.442	0.394	ബാത്ത്‌റോബ്
bathroom	0.561	0.283	0.345	കുളിമുറി
bathtub	0.625	0.240	0.318	ബാത്ത് ടബ്
bathymetry	0.432	0.480	0.509	ബാത്തിമെട്രി
baton	0.272	0.235	0.519	ബാറ്റൺ
battalion	0.333	0.818	0.795	ബറ്റാലിയൻ
batter	0.561	0.245	0.373	ബാറ്റർ
battered	0.080	0.790	0.306	അടിച്ചു
battering	0.210	0.798	0.490	അടിക്കുന്നു
battery	0.480	0.425	0.442	ബാറ്ററി
battle	0.365	0.945	0.868	യുദ്ധം
battled	0.292	0.794	0.575	യുദ്ധം ചെയ്തു
battlefield	0.133	0.918	0.781	യുദ്ധക്കളം
battleground	0.156	0.958	0.812	യുദ്ധഭൂമി
battlements	0.276	0.441	0.530	പടക്കോപ്പുകൾ
battleship	0.479	0.750	0.726	യുദ്ധക്കപ്പൽ
batty	0.375	0.619	0.274	ബട്ടി
bauble	0.698	0.429	0.255	bauble
bawdy	0.184	0.823	0.508	മോശമായ
bawl	0.385	0.880	0.561	അലറുക
bay	0.719	0.365	0.569	ഉൾക്കടൽ
bayonet	0.263	0.775	0.561	ബയണറ്റ്
bayou	0.469	0.431	0.324	ബയൂ
bazaar	0.604	0.340	0.500	ചന്ത
bazooka	0.302	0.824	0.634	ബസൂക്ക
bday	0.729	0.600	0.415	bday
be	0.670	0.240	0.554	ആയിരിക്കും
beach	0.885	0.529	0.455	ബീച്ച്
beaches	0.865	0.500	0.538	ബീച്ചുകൾ
beacon	0.580	0.407	0.537	ബീക്കൺ
bead	0.592	0.388	0.381	കൊന്ത
beading	0.542	0.320	0.398	കൊന്ത
beads	0.673	0.388	0.552	മുത്തുകൾ
beady	0.448	0.417	0.443	കൊന്തയുള്ള
beagle	0.649	0.470	0.395	ബീഗിൾ
beak	0.375	0.363	0.411	കൊക്ക്
beaker	0.420	0.410	0.391	ബീക്കർ
beam	0.584	0.349	0.382	ബീം
beaming	0.892	0.654	0.587	ബീമിംഗ്
bean	0.667	0.269	0.264	ബീൻസ്
beanbag	0.450	0.380	0.340	ബീൻ ബാഗ്
beanie	0.500	0.230	0.263	ബീനി
bear	0.448	0.570	0.475	കരടി
bearable	0.542	0.375	0.605	സഹിക്കാവുന്ന
beard	0.490	0.261	0.371	താടി
bearded	0.439	0.337	0.391	താടിയുള്ള
bearer	0.571	0.547	0.676	ചുമക്കുന്നവൻ
bearing	0.571	0.367	0.474	വഹിക്കുന്നു
bearings	0.418	0.490	0.426	ബെയറിംഗുകൾ
bearish	0.521	0.549	0.324	കരടിയുള്ള
bearskin	0.333	0.398	0.464	കരടി തൊലി
beast	0.214	0.780	0.732	മൃഗം
beastly	0.146	0.874	0.843	മൃഗീയമായി
beat	0.279	0.647	0.492	അടിക്കുന്നു
beaten	0.083	0.846	0.265	അടിച്ചു
beater	0.438	0.545	0.482	അടിക്കുന്നവൻ
beating	0.153	0.833	0.481	അടിക്കുന്നു
beatnik	0.429	0.510	0.382	ബീറ്റ്നിക്
beau	0.612	0.440	0.432	സുന്ദരി
beautification	0.885	0.575	0.725	സൗന്ദര്യവൽക്കരണം
beautiful	0.875	0.614	0.648	മനോഹരം
beautify	0.898	0.592	0.736	മനോഹരമാക്കുക
beauty	0.842	0.600	0.644	സൗന്ദര്യം
beaver	0.490	0.344	0.393	ബീവർ
bebop	0.482	0.490	0.358	ബെബോപ്പ്
beck	0.580	0.375	0.418	ബെക്ക്
beckon	0.663	0.455	0.452	വിളിക്കുക
become	0.641	0.583	0.643	ആയിത്തീരുന്നു
bed	0.604	0.173	0.327	കിടക്ക
bedding	0.704	0.276	0.377	കിടക്കവിരി
bedpan	0.510	0.400	0.362	കിടപ്പറ
bedrock	0.561	0.340	0.598	അടിത്തട്ട്
bedroom	0.744	0.296	0.491	കിടപ്പുമുറി
bedside	0.604	0.167	0.375	കിടപ്പാടം
bedspread	0.551	0.139	0.292	കിടക്കവിരി
bedtime	0.673	0.314	0.373	ഉറക്കസമയം
bee	0.520	0.509	0.309	തേനീച്ച
beef	0.582	0.312	0.492	ബീഫ്
beefsteak	0.594	0.391	0.455	ബീഫ്സ്റ്റീക്ക്
beehive	0.541	0.700	0.422	തേനീച്ചക്കൂട്
beep	0.595	0.541	0.304	ബീപ്പ്
beeper	0.438	0.720	0.441	ബീപ്പർ
beer	0.592	0.654	0.500	ബിയർ
bees	0.562	0.635	0.412	തേനീച്ചകൾ
beeswax	0.583	0.402	0.375	തേനീച്ചമെഴുകിൽ
beetle	0.323	0.356	0.295	വണ്ട്
befall	0.520	0.663	0.585	സംഭവിക്കുന്നു
befitting	0.708	0.333	0.394	ഉചിതം
befriend	0.930	0.624	0.471	ചങ്ങാത്തം
befuddled	0.156	0.714	0.269	കുഴഞ്ഞുമറിഞ്ഞു
beg	0.292	0.608	0.328	യാചിക്കുക
beggar	0.240	0.402	0.116	യാചകൻ
begging	0.292	0.461	0.202	യാചിക്കുന്നു
begin	0.677	0.569	0.763	ആരംഭിക്കുന്നു
beginner	0.490	0.480	0.387	തുടക്കക്കാരൻ
beginning	0.816	0.528	0.558	തുടക്കം
beginnings	0.837	0.527	0.600	തുടക്കങ്ങൾ
begrudge	0.177	0.731	0.377	ഭിക്ഷാടനം
begun	0.677	0.500	0.404	ആരംഭിച്ചിരിക്കുന്നു
behappy	0.875	0.557	0.562	സന്തോഷത്തിലായിരിക്കുക
behave	0.677	0.363	0.747	പെരുമാറുക
behavior	0.594	0.442	0.813	പെരുമാറ്റം
behavioral	0.612	0.440	0.708	പെരുമാറ്റം
behemoth	0.583	0.781	0.853	ഭീമൻ
behest	0.602	0.350	0.720	ആജ്ഞാപിക്കുക
behold	0.610	0.284	0.449	ഇതാ
beholden	0.296	0.555	0.212	കണ്ടു
beholder	0.714	0.491	0.520	കാഴ്ചക്കാരൻ
beige	0.490	0.222	0.224	ബീജ്
belated	0.240	0.400	0.214	വൈകി
belay	0.500	0.472	0.702	ബെലേ
belch	0.194	0.562	0.240	ഏമ്പക്കം വിടുക
belief	0.896	0.375	0.656	വിശ്വാസം
believable	0.866	0.390	0.676	വിശ്വസനീയമായ
believe	0.781	0.370	0.682	വിശ്വസിക്കുന്നു
believed	0.500	0.562	0.547	വിശ്വസിച്ചു
believer	0.725	0.445	0.564	വിശ്വാസി
believing	0.870	0.418	0.833	വിശ്വസിക്കുന്നു
belittle	0.122	0.417	0.250	നികൃഷ്ടമായ
belittled	0.177	0.392	0.226	താഴ്ത്തിക്കെട്ടി
bell	0.552	0.510	0.505	മണി
bellboy	0.542	0.363	0.302	മണിക്കുട്ടി
bellhop	0.500	0.287	0.318	ബെൽഹോപ്പ്
belligerent	0.344	0.680	0.594	യുദ്ധക്കാരൻ
bellman	0.540	0.250	0.371	മണിനാദക്കാരൻ
bellow	0.248	0.337	0.212	താഴെ
bellows	0.458	0.515	0.429	തുരുത്തി
belly	0.510	0.388	0.387	വയർ
bellybutton	0.531	0.283	0.360	ബെല്ലി ബട്ടൺ
bellyful	0.347	0.806	0.519	വയറുനിറഞ്ഞ
belong	0.643	0.405	0.569	ഉൾപ്പെടുന്നു
belongings	0.592	0.380	0.750	സാധനങ്ങൾ
beloved	0.969	0.613	0.708	പ്രിയപ്പെട്ട
belt	0.541	0.322	0.445	ബെൽറ്റ്
beluga	0.510	0.333	0.482	ബെലൂഗ
bemused	0.281	0.490	0.278	കുഴങ്ങി
bench	0.571	0.289	0.544	ബെഞ്ച്
bend	0.571	0.324	0.368	വളയുക
bender	0.490	0.510	0.466	ബെൻഡർ
bending	0.448	0.565	0.455	വളയുന്നു
beneath	0.354	0.173	0.233	കീഴ്ഭാഗത്ത്
benedictory	0.677	0.438	0.481	അനുഗ്രഹദായകമായ
benefactor	0.833	0.578	0.755	പരോപകാരി
beneficial	0.820	0.579	0.703	പ്രയോജനകരമായ
beneficiary	0.776	0.399	0.616	ഗുണഭോക്താവ്
benefit	0.906	0.422	0.806	പ്രയോജനം
benevolence	0.786	0.340	0.717	പരോപകാരം
benevolent	0.786	0.407	0.651	പരോപകാരി
benign	0.694	0.440	0.509	സൗമ്യമായ
bent	0.375	0.453	0.298	കുനിഞ്ഞു
benzene	0.439	0.459	0.403	ബെൻസീൻ
bequeath	0.743	0.500	0.741	വസ്വിയ്യത്ത്
bequest	0.661	0.398	0.882	വസ്വിയ്യത്ത്
bereaved	0.104	0.479	0.221	ദുഃഖിതനായി
bereavement	0.265	0.677	0.500	വിയോഗം
bereft	0.229	0.490	0.336	ശൂന്യമായ
beret	0.542	0.240	0.327	ബെറെറ്റ്
bergamot	0.510	0.365	0.339	ബെർഗാമോട്ട്
berlin	0.592	0.423	0.571	ബെർലിൻ
berserk	0.398	0.556	0.480	വെറുപ്പോടെ
berth	0.295	0.337	0.596	ബെർത്ത്
beryllium	0.417	0.412	0.425	ബെറിലിയം
beseech	0.330	0.441	0.600	അഭ്യർത്ഥിക്കുന്നു
beset	0.385	0.717	0.317	വലയം
bestdayever	0.760	0.646	0.593	എക്കാലത്തെയും മികച്ച ദിവസം
bestfeeling	0.806	0.509	0.625	മികച്ച വികാരം
bestfriends	0.934	0.662	0.647	ഉത്തമ സുഹൃത്തുകൾ
bestial	0.260	0.761	0.674	മൃഗീയമായ
besties	0.888	0.509	0.614	ബെസ്റ്റുകൾ
bestow	0.656	0.560	0.642	ദാനം ചെയ്യുക
bestseller	0.771	0.643	0.700	ബെസ്റ്റ് സെല്ലർ
bet	0.385	0.698	0.432	പന്തയം
beta	0.710	0.370	0.439	ബീറ്റ
betray	0.042	0.870	0.536	ഒറ്റിക്കൊടുക്കുന്നു
betrayal	0.083	0.719	0.418	വഞ്ചന
betrayed	0.122	0.769	0.308	ഒറ്റിക്കൊടുത്തു
betrothed	0.833	0.630	0.667	വിവാഹനിശ്ചയം
betterment	0.898	0.536	0.769	മെച്ചപ്പെടുത്തൽ
betting	0.237	0.804	0.411	വാതുവെപ്പ്
betty	0.542	0.358	0.381	ബെറ്റി
bevel	0.757	0.406	0.454	ബെവൽ
beverage	0.635	0.490	0.389	പാനീയം
bevy	0.429	0.460	0.541	ബീവി
beware	0.151	0.596	0.518	സൂക്ഷിക്കുക
bewilder	0.306	0.571	0.289	അമ്പരപ്പിക്കുന്നവൻ
bewildered	0.230	0.630	0.300	അന്ധാളിച്ചു
bewilderment	0.312	0.716	0.216	ആശയക്കുഴപ്പം
bias	0.400	0.370	0.541	പക്ഷപാതം
biased	0.271	0.302	0.368	പക്ഷപാതപരമായ
bib	0.385	0.396	0.339	ബിബ്
bible	0.719	0.225	0.726	ബൈബിൾ
biblical	0.635	0.304	0.712	വേദപുസ്തകം
bibliography	0.622	0.204	0.528	ഗ്രന്ഥസൂചിക
bicarbonate	0.479	0.337	0.438	ബൈകാർബണേറ്റ്
bicentennial	0.541	0.423	0.507	ദ്വിശതാബ്ദി
biceps	0.592	0.588	0.602	കൈകാലുകൾ
bicker	0.143	0.643	0.552	കലഹക്കാരൻ
bickering	0.122	0.800	0.536	കലഹിക്കുന്നു
bicolor	0.580	0.327	0.404	ഇരുനിറം
bicycle	0.708	0.519	0.425	സൈക്കിൾ
bid	0.760	0.530	0.655	ലേലം വിളിക്കുക
bidder	0.465	0.474	0.433	ലേലക്കാരൻ
bidding	0.586	0.644	0.509	ലേലം വിളിക്കുന്നു
bide	0.368	0.407	0.282	ലേലം വിളിക്കുക
biennial	0.531	0.309	0.353	ബിനാലെ
bier	0.497	0.448	0.407	ബിയർ
bifurcation	0.385	0.625	0.352	വിഭജനം
big	0.802	0.588	0.812	വലിയ
bigamy	0.327	0.696	0.482	ദ്വിഭാര്യത്വം
bigday	0.796	0.689	0.596	വലിയ ദിവസം
biggestfear	0.062	0.730	0.480	ഏറ്റവും വലിയ ഭയം
biggie	0.531	0.481	0.500	വലിയ
bighorn	0.480	0.547	0.580	വലിയ കൊമ്പു
bigmouth	0.417	0.577	0.430	വലിയ വായ്
bigot	0.479	0.745	0.517	വലിയവൻ
bigoted	0.153	0.760	0.462	മതഭ്രാന്തൻ
bigotry	0.356	0.737	0.481	മതാന്ധത
bike	0.708	0.500	0.333	ബൈക്ക്
biker	0.604	0.710	0.567	ബൈക്ക് യാത്രികൻ
bikini	0.730	0.639	0.353	ബിക്കിനി
bilateral	0.633	0.343	0.491	ഉഭയകക്ഷി
bilayer	0.438	0.398	0.388	ദ്വിതലം
bile	0.157	0.461	0.324	പിത്തരസം
bilge	0.316	0.392	0.412	കുമിഞ്ഞുകൂടൽ
bilingual	0.735	0.490	0.606	ദ്വിഭാഷ
bill	0.396	0.402	0.535	ബിൽ
billboard	0.594	0.317	0.481	ബിൽബോർഡ്
billet	0.479	0.583	0.500	ബില്ലറ്റ്
billiard	0.719	0.616	0.543	ബില്യാർഡ്
billiards	0.643	0.559	0.387	ബില്യാർഡ്സ്
billing	0.406	0.481	0.670	ബില്ലിംഗ്
billion	0.719	0.564	0.782	ബില്യൺ
billionaire	0.806	0.667	0.923	കോടീശ്വരൻ
billy	0.490	0.397	0.375	ബില്ലി
bimbo	0.396	0.370	0.300	ബിംബോ
bimonthly	0.408	0.298	0.471	ദ്വൈമാസിക
bin	0.422	0.304	0.327	ബിൻ
binary	0.490	0.356	0.420	ബൈനറി
bind	0.398	0.462	0.448	ബന്ധിക്കുക
binder	0.438	0.250	0.308	ബൈൻഡർ
bindery	0.548	0.388	0.482	ബൈൻഡറി
binding	0.438	0.425	0.640	ബന്ധിക്കുന്നു
bing	0.573	0.453	0.415	ബിംഗ്
binge	0.304	0.650	0.500	അമിതമായി
bingo	0.735	0.667	0.429	ബിങ്കോ
binocular	0.531	0.344	0.426	ബൈനോക്കുലർ
binoculars	0.490	0.309	0.411	ബൈനോക്കുലറുകൾ
binomial	0.600	0.406	0.426	ദ്വിപദം
bio	0.612	0.225	0.490	ജൈവ
biochemical	0.367	0.481	0.618	ബയോകെമിക്കൽ
biochemist	0.471	0.449	0.717	ജൈവരസതന്ത്രജ്ഞൻ
biochemistry	0.552	0.531	0.596	ബയോകെമിസ്ട്രി
biogenesis	0.594	0.442	0.697	ബയോജനസിസ്
biographer	0.708	0.427	0.617	ജീവചരിത്രകാരൻ
biography	0.698	0.229	0.718	ജീവചരിത്രം
biological	0.590	0.410	0.615	ജീവശാസ്ത്രപരമായ
biologist	0.625	0.453	0.693	ജീവശാസ്ത്രജ്ഞൻ
biology	0.479	0.274	0.546	ജീവശാസ്ത്രം
bionic	0.571	0.570	0.788	ബയോണിക്
biopsy	0.323	0.657	0.481	ബയോപ്സി
biosphere	0.684	0.351	0.579	ജൈവമണ്ഡലം
bipartite	0.365	0.480	0.464	ഉഭയകക്ഷി
bipolar	0.208	0.685	0.426	ബൈപോളാർ
birch	0.562	0.346	0.382	ബിർച്ച്
bird	0.729	0.357	0.364	പക്ഷി
birdcage	0.480	0.398	0.318	പക്ഷിക്കൂട്
birdie	0.594	0.394	0.407	പക്ഷി
birdman	0.490	0.567	0.604	പക്ഷി മനുഷ്യൻ
birth	0.896	0.655	0.536	ജനനം
birthday	0.969	0.844	0.575	ജന്മദിനം
birthing	0.796	0.877	0.519	ജനനം
birthmark	0.630	0.461	0.500	ജന്മചിഹ്നം
birthplace	0.781	0.290	0.491	ജന്മസ്ഥലം
birthright	0.684	0.417	0.714	ജന്മാവകാശം
bis	0.440	0.420	0.345	ബിസ്
biscuit	0.888	0.260	0.231	ബിസ്കറ്റ്
bishop	0.594	0.184	0.725	ബിഷപ്പ്
bison	0.573	0.433	0.557	കാട്ടുപോത്ത്
bisque	0.693	0.443	0.312	ബിസ്ക്ക്
bistro	0.594	0.472	0.396	ബിസ്ട്രോ
bit	0.427	0.310	0.225	ബിറ്റ്
bitch	0.276	0.740	0.343	തെണ്ടി
bitchy	0.188	0.700	0.373	പെൺകുട്ടി
bite	0.219	0.796	0.510	കടിക്കുക
biter	0.260	0.598	0.500	കടിക്കാരൻ
bitsy	0.510	0.388	0.382	ബിറ്റ്സി
bitter	0.218	0.627	0.411	കയ്പേറിയ
bitterly	0.194	0.685	0.362	കയ്പേറിയ
bitterness	0.115	0.633	0.270	കയ്പ്പ്
bittersweet	0.469	0.569	0.474	കയ്പേറിയ മധുരം
bitty	0.469	0.271	0.257	ബിറ്റി
bitumen	0.375	0.235	0.307	ബിറ്റുമിൻ
biweekly	0.581	0.337	0.455	ദ്വൈവാരം
biz	0.500	0.473	0.473	ബിസ്
bizarre	0.379	0.620	0.392	വിചിത്രമായ
blab	0.438	0.425	0.353	ബ്ലാബ്
blabbermouth	0.323	0.640	0.422	ബ്ലബ്ബർമൗത്ത്
blackberry	0.667	0.413	0.453	ബ്ലാക്ക്ബെറി
blackbird	0.520	0.340	0.405	കറുത്തപക്ഷി
blackboard	0.469	0.255	0.287	ബ്ലാക്ക്ബോർഡ്
blacken	0.208	0.500	0.228	കറുപ്പിക്കുക
blackface	0.302	0.490	0.441	കറുത്ത മുഖം
blackjack	0.419	0.679	0.452	ബ്ലാക്ക്ജാക്ക്
blacklist	0.133	0.750	0.396	കരിമ്പട്ടിക
blackmail	0.094	0.802	0.482	ബ്ലാക്ക് മെയിൽ
blackmailer	0.092	0.780	0.472	ബ്ലാക്ക്മെയിലർ
blackness	0.260	0.480	0.406	കറുപ്പ്
blackout	0.126	0.530	0.349	ബ്ലാക്ക്ഔട്ട്
blacksmith	0.480	0.531	0.702	കമ്മാരൻ
bladder	0.406	0.412	0.330	മൂത്രസഞ്ചി
blade	0.378	0.602	0.594	ബ്ലേഡ്
blame	0.115	0.640	0.309	കുറ്റപ്പെടുത്തുക
blameless	0.759	0.196	0.343	കുറ്റമറ്റ
bland	0.300	0.226	0.157	സൌമ്യമായ
blank	0.531	0.229	0.250	ശൂന്യം
blanket	0.740	0.132	0.391	പുതപ്പ്
blare	0.439	0.561	0.519	ആക്രോശിക്കുക
blase	0.420	0.310	0.412	ബ്ലെയ്സ്
blasphemous	0.210	0.755	0.491	ദൈവദൂഷണം
blasphemy	0.146	0.794	0.406	ദൈവദൂഷണം
blast	0.167	0.929	0.777	സ്ഫോടനം
blaster	0.459	0.538	0.554	ബ്ലാസ്റ്റർ
blastoff	0.357	0.865	0.736	കുതിച്ചു ചാട്ടം
blatant	0.327	0.677	0.675	നഗ്നമായ
blather	0.344	0.481	0.382	ആഞ്ഞടിക്കുക
blaze	0.698	0.467	0.658	ജ്വലനം
blazer	0.635	0.385	0.417	ബ്ലേസർ
blazing	0.594	0.896	0.735	ജ്വലിക്കുന്ന
bleach	0.336	0.282	0.337	ബ്ലീച്ച്
bleak	0.204	0.427	0.272	ഇരുണ്ട
bleed	0.041	0.843	0.346	രക്തസ്രാവം
bleeder	0.260	0.852	0.356	ബ്ലീഡർ
bleeding	0.135	0.817	0.408	രക്തസ്രാവം
bleep	0.479	0.667	0.345	ഉറക്കം
blemish	0.219	0.558	0.272	കളങ്കം
blemished	0.173	0.469	0.370	കളങ്കമുള്ള
blend	0.469	0.452	0.463	യോജിപ്പിക്കുക
blender	0.602	0.534	0.351	ബ്ലെൻഡർ
blending	0.560	0.418	0.637	മിശ്രണം
bless	0.929	0.269	0.588	അനുഗ്രഹിക്കുക
blessed	0.910	0.279	0.696	അനുഗൃഹീത
blessing	0.929	0.264	0.800	അനുഗ്രഹം
blessings	0.929	0.361	0.623	അനുഗ്രഹങ്ങൾ
bleu	0.460	0.354	0.379	ബ്ലൂ
blight	0.271	0.771	0.429	വരൾച്ച
blighted	0.146	0.615	0.296	ക്ഷയിച്ചു
blimp	0.600	0.410	0.532	ബ്ലിംപ്
blinded	0.245	0.471	0.231	അന്ധനായി
blindfold	0.448	0.684	0.337	കണ്ണടച്ച്
blindfolded	0.208	0.564	0.209	കണ്ണടച്ചു
blinding	0.304	0.596	0.406	അന്ധത
blindly	0.439	0.598	0.278	അന്ധമായി
blindness	0.245	0.480	0.196	അന്ധത
blink	0.552	0.316	0.324	മിന്നിമറയുക
blip	0.529	0.461	0.418	ബ്ലിപ്പ്
bliss	0.816	0.500	0.782	പരമാനന്ദം
blissful	0.885	0.639	0.676	പരമാനന്ദകരമായ
blister	0.407	0.538	0.402	കുമിള
blistering	0.344	0.569	0.390	കുമിളകൾ
blitz	0.417	0.722	0.789	ബ്ലിറ്റ്സ്
blizzard	0.375	0.726	0.417	ഹിമപാതം
bloat	0.229	0.694	0.298	വീർപ്പുമുട്ടൽ
bloated	0.167	0.593	0.424	വീർത്ത
blob	0.500	0.376	0.298	ബ്ലബ്
block	0.286	0.350	0.402	തടയുക
blockade	0.380	0.519	0.510	ഉപരോധം
blockage	0.250	0.608	0.444	തടസ്സം
blockbuster	0.730	0.676	0.883	ബ്ലോക്ക്ബസ്റ്റർ
blockhead	0.163	0.333	0.148	ബ്ലോക്ക്ഹെഡ്
blog	0.639	0.390	0.432	ബ്ലോഗ്
bloke	0.450	0.479	0.545	തടഞ്ഞു
blond	0.590	0.490	0.490	സുന്ദരമായ
blonde	0.698	0.545	0.412	സുന്ദരിയായ
blood	0.219	0.684	0.585	രക്തം
bloodbath	0.060	0.971	0.475	രക്തച്ചൊരിച്ചിൽ
bloodhound	0.327	0.462	0.538	ബ്ലഡ്ഹൗണ്ട്
bloodless	0.292	0.390	0.212	രക്തമില്ലാത്ത
bloodline	0.510	0.657	0.604	രക്തരേഖ
bloodshed	0.048	0.942	0.525	രക്തച്ചൊരിച്ചിൽ
bloodshot	0.188	0.810	0.482	രക്തച്ചൊരിച്ചിൽ
bloodstream	0.552	0.530	0.528	രക്തപ്രവാഹം
bloodthirsty	0.052	0.804	0.644	രക്തദാഹി
bloody	0.031	0.910	0.518	രക്തരൂക്ഷിതമായ
bloom	0.816	0.453	0.587	പൂക്കുന്നു
bloomers	0.521	0.587	0.395	പൂക്കുന്നവർ
blooming	0.860	0.452	0.593	പൂക്കുന്നു
blossom	0.792	0.275	0.309	പുഷ്പം
blot	0.365	0.304	0.223	ബ്ലോട്ട്
blotched	0.133	0.562	0.264	ബ്ലോട്ടഡ്
blotter	0.360	0.298	0.280	ബ്ലോട്ടർ
blouse	0.580	0.190	0.302	ബ്ലൗസ്
blow	0.316	0.750	0.570	ഊതുക
blower	0.564	0.550	0.536	ഊതുന്നയാൾ
blowfish	0.344	0.420	0.389	ഊതി മത്സ്യം
blowing	0.521	0.472	0.434	വീശുന്നു
blowjob	0.460	0.784	0.387	ബ്ലോജോബ്
blown	0.333	0.548	0.412	ഊതപ്പെട്ടു
blowout	0.398	0.792	0.616	കെടുത്തുക
blowtorch	0.520	0.730	0.510	ഊതുക
blubber	0.388	0.260	0.360	ബ്ലബ്ബർ
bluddy	0.312	0.528	0.442	ബ്ലഡ്ഡി
blue	0.646	0.137	0.291	നീല
blue spruce	0.559	0.335	0.364	നീല കഥ
blueberry	0.656	0.185	0.365	ഞാവൽപഴം
bluebird	0.573	0.350	0.450	നീലപ്പക്ഷി
bluegrass	0.573	0.441	0.395	നീലപ്പുല്ല്
bluejay	0.635	0.520	0.310	ബ്ലൂജെയ്
blueprint	0.490	0.173	0.425	ബ്ലൂപ്രിന്റ്
blues	0.469	0.220	0.287	ബ്ലൂസ്
