English Word	Valence	Arousal	Dominance	Slovenian Word
disincline	0.458	0.454	0.278	nenaklonjenost
disinclined	0.385	0.442	0.364	nenaklonjen
disinfect	0.448	0.388	0.648	razkužiti
disinfectant	0.531	0.429	0.460	razkužilo
disinfection	0.517	0.556	0.473	razkuževanje
disinformation	0.230	0.577	0.260	dezinformacije
disingenuous	0.194	0.509	0.204	neiskren
disintegrate	0.143	0.660	0.364	razpadejo
disintegration	0.094	0.551	0.381	razpad
disinterested	0.398	0.284	0.392	nezainteresiran
disjoint	0.351	0.385	0.322	nepovezano
disjointed	0.323	0.518	0.365	nepovezano
disjunctive	0.286	0.481	0.400	disjunktivna
disk	0.573	0.423	0.412	disk
diskette	0.531	0.255	0.391	disketa
dislike	0.156	0.406	0.321	ne maram
disliked	0.062	0.510	0.221	ni všeč
disliking	0.163	0.637	0.366	ne maram
dislocated	0.125	0.625	0.200	dislocirano
dislocation	0.229	0.565	0.373	izpah
dislodge	0.214	0.769	0.356	premakniti
disloyal	0.062	0.582	0.245	nelojalen
disloyalty	0.187	0.716	0.267	nelojalnost
dismal	0.194	0.450	0.192	žalosten
dismantle	0.347	0.644	0.462	razstaviti
dismay	0.314	0.681	0.459	zgroženost
dismayed	0.165	0.735	0.389	zgrožen
dismemberment	0.104	0.860	0.470	razkosanje
dismiss	0.167	0.541	0.509	odpustiti
dismissal	0.153	0.723	0.271	odpuščanje
dismissive	0.188	0.541	0.430	zaničujoče
dismount	0.361	0.423	0.391	sestopiti
disobedience	0.051	0.868	0.369	neposlušnost
disobedient	0.276	0.706	0.353	neposlušen
disobey	0.143	0.556	0.491	ne ubogati
disorder	0.115	0.816	0.218	motnja
disordered	0.210	0.714	0.288	neurejeno
disorderly	0.188	0.748	0.385	neurejeno
disorganized	0.052	0.507	0.184	neorganizirano
disorientation	0.163	0.472	0.212	dezorientacija
disoriented	0.227	0.643	0.227	dezorientiran
disown	0.153	0.637	0.368	odreči se
disparage	0.092	0.663	0.336	omalovaževanje
disparaging	0.102	0.626	0.411	zaničevalen
disparate	0.438	0.500	0.368	različni
disparity	0.208	0.482	0.361	nesorazmerje
dispassionate	0.199	0.217	0.218	nepristranski
dispatch	0.317	0.417	0.555	odprema
dispatcher	0.365	0.704	0.652	dispečer
dispel	0.388	0.402	0.411	razbliniti
dispensary	0.406	0.380	0.606	ambulanta
dispensation	0.388	0.462	0.490	dispenzacija
dispense	0.561	0.520	0.518	odmeriti
dispenser	0.583	0.392	0.470	razpršilnik
dispersal	0.388	0.507	0.421	razpršitev
disperse	0.375	0.569	0.434	razpršiti
dispersed	0.344	0.490	0.274	razpršena
dispersion	0.270	0.604	0.350	disperzija
dispirited	0.204	0.280	0.142	obupan
displace	0.424	0.541	0.454	izpodriniti
displaced	0.281	0.472	0.291	razseljeni
displacement	0.276	0.531	0.481	premik
displacency	0.500	0.528	0.642	izpodrivanje
display	0.677	0.325	0.400	zaslon
displease	0.021	0.702	0.286	nezadovoljstvo
displeased	0.135	0.690	0.400	nezadovoljen
displeasure	0.115	0.559	0.250	nezadovoljstvo
disposable	0.271	0.439	0.250	za enkratno uporabo
disposal	0.135	0.608	0.396	odlaganje
dispose	0.548	0.538	0.559	odstraniti
disposed	0.688	0.441	0.625	odstraniti
disposition	0.663	0.542	0.734	dispozicija
dispossessed	0.354	0.577	0.331	razlasten
disprove	0.375	0.625	0.613	ovreči
dispute	0.219	0.750	0.585	spor
disqualification	0.066	0.677	0.330	diskvalifikacija
disqualified	0.129	0.464	0.232	diskvalificiran
disqualify	0.208	0.595	0.267	diskvalificirati
disquieted	0.229	0.850	0.290	vznemirjen
disregard	0.177	0.647	0.308	neupoštevanje
disregarded	0.260	0.458	0.283	neupoštevati
disrelish	0.375	0.471	0.304	nesramnost
disreputable	0.104	0.688	0.353	neugleden
disrepute	0.208	0.630	0.292	slab ugled
disrespect	0.062	0.637	0.302	nespoštovanje
disrespectful	0.031	0.694	0.273	nespoštljivo
disrupt	0.265	0.640	0.349	motiti
disrupting	0.186	0.557	0.339	moteče
disruption	0.235	0.735	0.436	prekinitev
disruptive	0.255	0.755	0.575	moteče
dissatisfaction	0.115	0.663	0.202	nezadovoljstvo
dissatisfied	0.042	0.561	0.291	nezadovoljen
dissect	0.367	0.750	0.595	secirati
dissection	0.276	0.632	0.462	disekcija
disseminate	0.562	0.608	0.750	razširjati
dissemination	0.476	0.551	0.583	razširjanje
dissension	0.250	0.618	0.414	nesoglasje
dissent	0.300	0.655	0.407	nestrinjanje
dissenting	0.208	0.552	0.366	drugače misleče
dissertation	0.312	0.575	0.575	disertacija
disservice	0.250	0.794	0.480	medvedja storitev
dissident	0.350	0.582	0.413	disident
dissimilar	0.276	0.461	0.472	različno
dissipate	0.385	0.368	0.355	razpršiti
dissipated	0.281	0.421	0.231	razpršilo
dissociation	0.135	0.555	0.471	disociacija
dissociative	0.281	0.615	0.397	disociativno
dissolution	0.204	0.464	0.349	raztapljanje
dissolve	0.271	0.490	0.410	raztopiti
dissonance	0.173	0.471	0.336	disonanca
dissuade	0.482	0.500	0.350	odvrniti
distal	0.410	0.401	0.438	distalno
distance	0.233	0.317	0.418	razdalja
distant	0.229	0.324	0.269	oddaljena
distaste	0.184	0.625	0.370	gnus
distasteful	0.264	0.676	0.222	neokusno
distillate	0.500	0.347	0.382	destilat
distillation	0.396	0.436	0.575	destilacija
distilled	0.427	0.573	0.500	destilirano
distinct	0.542	0.578	0.509	izrazit
distinction	0.584	0.571	0.750	razlikovanje
distinctive	0.885	0.520	0.604	značilen
distinguish	0.675	0.471	0.600	razlikovati
distinguishable	0.635	0.530	0.727	razločljiv
distinguished	0.823	0.593	0.759	ugleden
distinguishing	0.622	0.363	0.640	razlikovanje
distort	0.100	0.740	0.366	izkrivljati
distorted	0.250	0.521	0.280	izkrivljeno
distortion	0.299	0.570	0.380	popačenje
distract	0.241	0.609	0.336	odvrniti
distracted	0.194	0.392	0.213	raztresen
distracting	0.445	0.583	0.400	moteče
distraction	0.402	0.557	0.390	odvračanje pozornosti
distraught	0.115	0.903	0.264	razburjen
distress	0.073	0.840	0.396	stiska
distressed	0.143	0.771	0.324	v stiski
distressing	0.075	0.750	0.375	stiska
distribute	0.643	0.596	0.709	razdeliti
distribution	0.635	0.548	0.788	distribucija
distributor	0.702	0.447	0.718	distributer
district	0.438	0.327	0.660	okrožje
distrust	0.060	0.670	0.276	nezaupanje
disturb	0.175	0.760	0.481	motiti
disturbance	0.146	0.907	0.404	motnja
disturbed	0.125	0.870	0.305	moten
disturbing	0.146	0.792	0.439	moteče
disuse	0.229	0.229	0.202	neuporaba
disused	0.250	0.302	0.186	neuporabljen
ditch	0.357	0.364	0.322	jarek
ditto	0.449	0.418	0.411	enako
ditty	0.470	0.433	0.334	pesmica
diurnal	0.714	0.296	0.443	dnevni
diva	0.660	0.657	0.596	diva
divan	0.750	0.202	0.262	divan
dive	0.583	0.531	0.500	potapljanje
diver	0.594	0.520	0.564	potapljač
diverge	0.375	0.657	0.520	razhajajo se
divergence	0.429	0.615	0.687	razhajanje
divergent	0.449	0.660	0.587	divergenten
diverging	0.417	0.613	0.573	razhajajoče se
divers	0.583	0.580	0.602	potapljači
diverse	0.562	0.519	0.604	raznolika
diversified	0.602	0.538	0.549	raznolika
diversify	0.656	0.588	0.464	popestriti
diversion	0.740	0.821	0.714	preusmeritev
diversionary	0.551	0.587	0.300	diverzantsko
diversity	0.806	0.472	0.711	raznovrstnost
divert	0.344	0.622	0.407	preusmeriti
diverting	0.396	0.571	0.537	preusmerjanje
divest	0.365	0.547	0.424	odsvojiti
divested	0.333	0.449	0.311	odvzeto
divestment	0.302	0.509	0.382	odsvojitev
divide	0.333	0.520	0.417	razdeliti
divided	0.271	0.623	0.391	razdeljen
dividend	0.583	0.491	0.566	dividenda
divination	0.500	0.650	0.545	vedeževanje
divine	0.918	0.571	0.885	božansko
divinity	0.896	0.559	0.774	božanskost
divisible	0.323	0.462	0.411	deljivo
division	0.370	0.481	0.472	delitev
divisor	0.344	0.517	0.455	delitelj
divorce	0.042	0.700	0.385	ločitev
divorcee	0.153	0.610	0.481	ločenka
divulge	0.531	0.718	0.467	razkriti
divvy	0.351	0.462	0.429	divvy
dizziness	0.229	0.555	0.254	omotica
dizzy	0.199	0.582	0.193	vrtoglavica
do	0.670	0.548	0.536	narediti
doable	0.760	0.404	0.675	izvedljivo
doc	0.458	0.317	0.392	doc
docile	0.604	0.259	0.264	ubogljiv
dock	0.490	0.409	0.481	dok
docked	0.281	0.754	0.398	zasidrano
docket	0.505	0.509	0.607	docket
docking	0.354	0.596	0.587	priklop
doctor	0.700	0.531	0.861	zdravnik
doctorate	0.776	0.479	0.841	doktorat
doctrinal	0.510	0.373	0.673	doktrinarno
doctrine	0.500	0.394	0.769	doktrina
document	0.594	0.240	0.667	dokument
documentary	0.622	0.213	0.596	dokumentarec
documentation	0.719	0.290	0.667	dokumentacijo
documents	0.530	0.250	0.587	dokumenti
dodge	0.333	0.760	0.509	umakniti
dodger	0.427	0.454	0.490	izmikalec
dodging	0.396	0.654	0.382	izmikanje
dodgy	0.281	0.510	0.254	nevaren
dodo	0.438	0.306	0.353	dodo
doe	0.550	0.336	0.336	srna
doer	0.724	0.550	0.728	izvajalec
dog	0.704	0.500	0.407	pes
dogface	0.219	0.470	0.264	dogface
dogged	0.255	0.750	0.594	vztrajen
doggy	0.646	0.491	0.404	kuža
doghouse	0.438	0.417	0.340	Pasja uta
dogma	0.530	0.460	0.719	dogma
dogmatic	0.448	0.520	0.654	dogmatsko
dogsick	0.571	0.490	0.377	pasja slabost
doings	0.604	0.491	0.705	početja
doit	0.500	0.519	0.392	naredi
dojo	0.500	0.435	0.455	dojo
doldrums	0.229	0.425	0.266	potrtost
dole	0.448	0.402	0.348	dole
doll	0.729	0.321	0.330	lutka
dollar	0.755	0.632	0.694	dolar
dollhouse	0.643	0.245	0.363	hiša za punčke
dolor	0.167	0.635	0.375	dolor
dolphin	0.776	0.350	0.414	delfin
domain	0.573	0.549	0.828	domena
dome	0.620	0.398	0.509	kupola
domestic	0.729	0.327	0.500	domače
domesticated	0.635	0.360	0.294	udomačeno
domestication	0.594	0.390	0.435	udomačitev
domicile	0.604	0.292	0.529	stalno prebivališče
domiciled	0.542	0.340	0.516	domicil
dominance	0.542	0.775	0.839	prevlada
dominant	0.406	0.854	0.893	dominanten
dominate	0.439	0.814	0.953	prevladovati
dominating	0.427	0.769	0.902	prevladujoče
domination	0.505	0.786	0.959	dominacija
dominatrix	0.390	0.727	0.709	dominatrix
dominion	0.542	0.704	0.890	dominion
domino	0.594	0.510	0.473	domino
don	0.646	0.454	0.702	don
donate	0.774	0.462	0.577	darovati
donation	0.792	0.398	0.602	donacija
donkey	0.406	0.367	0.245	osel
donor	0.714	0.490	0.653	darovalec
dontlikeyou	0.055	0.500	0.282	dont like you
dontmess	0.396	0.482	0.440	dontmess
dontmesswithme	0.312	0.635	0.440	ne zapletaj se z mano
dontpanic	0.469	0.465	0.425	ne bom paničen
dontunderstand	0.219	0.357	0.271	ne razumem
doodle	0.604	0.402	0.376	doodle
doom	0.073	0.750	0.442	poguba
doomed	0.041	0.755	0.301	obsojen na propad
doomsday	0.125	0.861	0.670	sodni dan
door	0.549	0.189	0.421	vrata
doorbell	0.564	0.500	0.307	zvonec
doorknob	0.406	0.553	0.462	vratna kljuka
doorman	0.570	0.371	0.491	vratar
doormat	0.458	0.269	0.267	predpražnik
doornail	0.459	0.370	0.423	vratni žebelj
doorstep	0.531	0.274	0.391	hišni prag
doorway	0.573	0.304	0.496	vrata
dopamine	0.548	0.469	0.426	dopamin
dope	0.295	0.855	0.425	droga
dopey	0.320	0.380	0.365	bedak
dork	0.272	0.519	0.361	norec
dorky	0.302	0.480	0.390	bedak
dorm	0.719	0.194	0.327	študentski dom
dormant	0.385	0.245	0.245	mirovanje
dormitory	0.633	0.204	0.382	študentski dom
dorsal	0.449	0.360	0.445	hrbtni
dosage	0.344	0.450	0.490	odmerjanje
dose	0.458	0.490	0.427	odmerek
dossier	0.357	0.380	0.544	dosje
dot	0.434	0.290	0.391	pika
doting	0.888	0.415	0.426	oboževanje
dotted	0.480	0.347	0.426	pikčasto
dotty	0.375	0.402	0.393	dotty
double	0.677	0.378	0.569	dvojno
doubled	0.427	0.536	0.560	podvojeno
doublet	0.420	0.431	0.500	dublet
doubling	0.459	0.452	0.464	podvojitev
doubt	0.395	0.351	0.231	dvom
doubtful	0.250	0.465	0.241	dvomljivo
doubting	0.224	0.560	0.189	dvomiti
doubtless	0.688	0.415	0.689	nedvomno
doubts	0.306	0.448	0.305	dvomi
douche	0.490	0.413	0.397	tuš
douchebags	0.327	0.587	0.366	neumneži
dough	0.588	0.229	0.391	testo
doughboy	0.365	0.443	0.396	doughboy
doughnut	0.663	0.380	0.279	krof
dour	0.360	0.404	0.325	dour
douse	0.365	0.453	0.412	potopiti
dove	0.729	0.235	0.437	golobica
down	0.208	0.330	0.264	navzdol
downcast	0.071	0.500	0.222	potrt
downer	0.120	0.594	0.226	navzdol
downfall	0.200	0.717	0.182	propad
downfield	0.521	0.330	0.380	downfield
downhearted	0.119	0.461	0.255	potrt
downhill	0.292	0.573	0.279	navzdol
download	0.602	0.490	0.503	Prenesi
downpour	0.328	0.602	0.481	naliv
downright	0.625	0.454	0.679	naravnost
downriver	0.542	0.469	0.279	navzdol po reki
downside	0.190	0.400	0.246	slaba stran
downtime	0.240	0.226	0.324	izpadi
downward	0.188	0.347	0.255	navzdol
downy	0.630	0.170	0.255	puhasto
dowry	0.604	0.453	0.544	doto
doze	0.592	0.200	0.405	doza
dozen	0.583	0.343	0.425	ducat
drab	0.327	0.300	0.242	siv
draft	0.438	0.360	0.351	osnutek
drafty	0.458	0.500	0.518	prepih
drag	0.388	0.606	0.348	povlecite
dragon	0.541	0.821	0.712	zmaj
dragonfly	0.571	0.373	0.357	kačji pastir
drain	0.277	0.470	0.222	odtok
drainage	0.219	0.354	0.307	drenaža
drained	0.310	0.441	0.352	izsušeno
draining	0.337	0.396	0.304	odvajanje
drainpipe	0.417	0.413	0.277	odtočna cev
drake	0.467	0.411	0.452	drake
drama	0.430	0.755	0.481	drama
dramaqueen	0.337	0.682	0.482	dramaqueen
dramatic	0.367	0.780	0.443	dramatičen
drape	0.417	0.439	0.404	zavesa
drapery	0.479	0.220	0.223	draperije
drastic	0.194	0.839	0.657	drastičen
drat	0.302	0.516	0.409	drat
draught	0.465	0.245	0.316	osnutek
draw	0.704	0.449	0.481	pripraviti
drawback	0.302	0.422	0.148	slabost
drawbridge	0.551	0.557	0.438	dvižni most
drawer	0.429	0.196	0.292	predal
drawers	0.539	0.260	0.236	predali
drawing	0.698	0.216	0.333	risanje
dread	0.153	0.792	0.368	strah
dreaded	0.122	0.706	0.460	prestrašen
dreadful	0.092	0.786	0.348	grozljivo
dreadfully	0.246	0.806	0.306	grozljivo
dreading	0.125	0.760	0.377	groza
dream	0.844	0.157	0.328	sanje
dreamboat	0.776	0.491	0.458	sanjski čoln
dreamer	0.820	0.394	0.455	sanjač
dreaming	0.854	0.320	0.336	sanjati
dreamland	0.844	0.471	0.566	sanjska dežela
dreams	0.865	0.415	0.530	sanje
dreamt	0.812	0.380	0.518	sanjal
dreamy	0.837	0.350	0.500	sanjavo
dreary	0.260	0.490	0.324	turobno
dredge	0.427	0.445	0.444	bager
drenched	0.302	0.361	0.388	premočen
dress	0.760	0.300	0.345	obleka
dresser	0.604	0.398	0.473	predalnik
dressmaker	0.698	0.460	0.483	šivilja
dressy	0.800	0.570	0.696	oblečen
dribble	0.417	0.551	0.465	dribling
dried	0.427	0.260	0.385	posušeno
drier	0.306	0.347	0.392	sušilec
drift	0.316	0.520	0.375	odnašanje
drifted	0.312	0.542	0.310	odnesel
drifter	0.449	0.512	0.391	potepuh
driftwood	0.321	0.283	0.439	naplavljeni les
drill	0.250	0.602	0.573	vrtalnik
drink	0.650	0.552	0.474	pijača
drinker	0.365	0.735	0.441	pivec
drinking	0.562	0.459	0.317	pitje
drinks	0.729	0.656	0.412	pijače
drip	0.392	0.193	0.175	kapljati
dripping	0.302	0.257	0.267	kapljanje
drive	0.625	0.689	0.713	pogon
drivel	0.398	0.469	0.463	neumnost
driver	0.553	0.538	0.637	voznik
driveway	0.612	0.392	0.689	dovozna pot
drizzle	0.521	0.353	0.319	rosenje
droll	0.459	0.573	0.422	smešen
drone	0.429	0.686	0.596	brezpilotni letalnik
drones	0.398	0.577	0.588	droni
drool	0.385	0.398	0.204	slinjenje
drooping	0.245	0.558	0.353	povešenost
droopy	0.438	0.350	0.297	povešena
drop	0.479	0.321	0.291	padec
droplet	0.625	0.208	0.194	kapljica
dropout	0.253	0.550	0.481	osip
dropper	0.333	0.216	0.236	kapalko
drought	0.133	0.353	0.267	suša
drove	0.541	0.528	0.623	vozil
drown	0.071	0.860	0.270	utopiti
drowsiness	0.260	0.194	0.303	zaspanost
drowsy	0.375	0.180	0.240	zaspanost
drudgery	0.094	0.522	0.241	mučno delo
drug	0.214	0.790	0.453	zdravilo
drug dealing	0.042	0.843	0.500	preprodaja drog
drugged	0.102	0.750	0.321	zadrogiran
druggist	0.240	0.561	0.417	lekarnar
drugs	0.167	0.750	0.368	zdravila
drugstore	0.490	0.343	0.518	drogerija
druid	0.517	0.445	0.481	druid
drum	0.615	0.679	0.339	boben
drummer	0.646	0.700	0.564	bobnar
drumming	0.594	0.750	0.426	bobnanje
drunk	0.194	0.800	0.250	pijan
drunk driving	0.073	0.900	0.306	vožnja pod vplivom alkohola
drunkard	0.240	0.873	0.250	pijanec
drunken	0.155	0.849	0.250	pijana
drunkenness	0.214	0.774	0.336	pijanost
dry	0.363	0.169	0.311	suho
dryer	0.479	0.343	0.277	sušilnik
dryness	0.292	0.296	0.263	suhost
dual	0.573	0.330	0.384	dvojno
dualism	0.490	0.406	0.536	dualizem
duality	0.438	0.520	0.503	dvojnost
dub	0.510	0.480	0.387	dub
dubious	0.414	0.480	0.198	dvomljivo
duchess	0.656	0.548	0.711	vojvodinja
duck	0.594	0.337	0.236	raca
ducking	0.344	0.573	0.294	račanje
duckling	0.602	0.353	0.263	račka
ducky	0.520	0.430	0.368	ducky
duct	0.449	0.435	0.430	kanal
ductile	0.508	0.420	0.433	duktilen
dud	0.167	0.455	0.246	dud
dude	0.809	0.356	0.615	stari
duds	0.347	0.311	0.339	duds
due	0.562	0.340	0.467	zaradi
duel	0.271	0.696	0.589	dvoboj
dues	0.367	0.461	0.288	pristojbine
duet	0.694	0.693	0.527	duet
duffel	0.500	0.400	0.384	duffel
dugout	0.490	0.370	0.463	zemljanka
duh	0.357	0.461	0.364	duh
duke	0.667	0.440	0.669	vojvoda
dull	0.194	0.120	0.185	dolgočasno
dullard	0.450	0.480	0.365	butec
dumb	0.188	0.330	0.151	neumen
dumbasses	0.316	0.590	0.363	neumneži
dumbbell	0.302	0.469	0.364	utež
dumbbitch	0.281	0.636	0.393	butec
dumfound	0.271	0.551	0.295	obupan
dumfounder	0.406	0.481	0.400	dumfounder
dummy	0.440	0.144	0.250	lutka
dump	0.345	0.500	0.370	smetišče
dumpling	0.580	0.321	0.360	cmok
dumps	0.302	0.583	0.365	odlagališča
dumpster	0.229	0.418	0.101	smetnjak
dun	0.458	0.431	0.339	dun
dunce	0.188	0.327	0.146	norec
dune	0.459	0.173	0.414	sipina
dung	0.104	0.549	0.149	gnoj
dungeon	0.276	0.608	0.440	ječa
dunk	0.406	0.333	0.475	dunk
duo	0.510	0.500	0.447	duo
dupe	0.184	0.760	0.327	prevarant
duplex	0.592	0.452	0.467	duplex
duplicate	0.521	0.490	0.338	dvojnik
duplication	0.480	0.564	0.577	podvajanje
duplicity	0.406	0.500	0.578	dvoličnost
durability	0.750	0.398	0.813	vzdržljivost
durable	0.740	0.294	0.688	vzdržljiv
duration	0.656	0.370	0.536	trajanje
duress	0.302	0.569	0.612	prisila
dusk	0.532	0.276	0.519	mrak
dusky	0.229	0.528	0.324	mračno
dust	0.344	0.246	0.241	prah
duster	0.408	0.265	0.296	metlica za prah
dustpan	0.609	0.466	0.371	smetišnica
dusty	0.406	0.294	0.255	prašno
dutiful	0.724	0.245	0.585	poslušen
duty	0.583	0.579	0.651	dolžnost
dwarf	0.370	0.340	0.288	pritlikavec
dwarfed	0.365	0.265	0.293	pritlikavi
dweeb	0.354	0.446	0.327	dweeb
dwell	0.698	0.245	0.611	prebivati
dweller	0.615	0.304	0.500	prebivalec
dwelling	0.765	0.330	0.481	stanovanje
dye	0.479	0.314	0.371	barvilo
dying	0.040	0.664	0.422	umiranje
dyke	0.438	0.396	0.566	nasip
dynamic	0.724	0.750	0.836	dinamično
dynamical	0.786	0.730	0.827	dinamično
dynamics	0.745	0.682	0.774	dinamika
dynamite	0.344	0.860	0.783	dinamit
dynamo	0.531	0.650	0.593	dinamo
dynasty	0.725	0.588	0.936	dinastija
dysentery	0.260	0.528	0.345	dizenterija
dysfunction	0.156	0.410	0.386	disfunkcija
dysfunctional	0.125	0.558	0.307	nefunkcionalen
dyspepsia	0.212	0.470	0.460	dispepsija
eager	0.521	0.812	0.306	zavzet
eagerness	0.406	0.621	0.443	vnema
eagle	0.604	0.594	0.679	orel
ear	0.469	0.216	0.231	uho
earful	0.533	0.462	0.443	poslušen
earl	0.582	0.461	0.794	earl
earlier	0.562	0.352	0.339	prej
early	0.633	0.373	0.426	zgodaj
earn	0.865	0.769	0.817	zaslužiti
earnest	0.653	0.380	0.670	resen
earnestly	0.847	0.490	0.717	resno
earnestness	0.812	0.373	0.615	resnost
earnings	0.938	0.650	0.875	zaslužki
earpiece	0.583	0.286	0.452	slušalka
earring	0.583	0.520	0.500	uhan
earrings	0.676	0.346	0.517	uhani
earshot	0.552	0.332	0.408	posnetek ušesa
earth	0.750	0.225	0.614	zemlja
earthenware	0.552	0.210	0.320	lončena posoda
earthling	0.531	0.412	0.570	zemljan
earthly	0.625	0.318	0.518	zemeljski
earthquake	0.073	0.930	0.812	potres
earthy	0.375	0.413	0.404	zemeljski
ease	0.796	0.385	0.491	enostavnost
easel	0.694	0.340	0.527	stojalo
easement	0.479	0.345	0.302	služnost
easily	0.885	0.279	0.453	zlahka
east	0.510	0.250	0.317	vzhod
eastbound	0.541	0.408	0.402	proti vzhodu
eastern	0.521	0.420	0.480	vzhodni
easy	0.865	0.194	0.373	enostavno
easygoing	0.823	0.276	0.538	lahkoten
eat	0.731	0.500	0.464	jesti
eater	0.459	0.337	0.510	jedec
eating	0.847	0.491	0.615	prehranjevanje
eatingdisorders	0.365	0.608	0.508	motnje hranjenja
eavesdrop	0.375	0.710	0.368	prisluškovati
eavesdropping	0.490	0.380	0.441	prisluškovanje
ebb	0.354	0.451	0.404	oseka
ebony	0.490	0.317	0.400	ebenovina
ebullient	0.659	0.856	0.746	kipeče
eccentric	0.531	0.806	0.721	ekscentričen
eccentricity	0.408	0.735	0.745	ekscentričnost
ecclesiastical	0.673	0.270	0.660	cerkveno
echelon	0.490	0.404	0.425	ešalon
echinacea	0.592	0.418	0.454	ehinaceja
echo	0.573	0.373	0.345	odmev
eclectic	0.646	0.542	0.508	eklektičen
eclipse	0.541	0.469	0.616	mrk
ecliptic	0.531	0.520	0.556	ekliptika
ecological	0.885	0.290	0.607	ekološki
economic	0.561	0.408	0.639	gospodarskih
economical	0.667	0.564	0.673	ekonomično
economics	0.625	0.481	0.632	ekonomija
economy	0.583	0.434	0.771	gospodarstvo
ecosystem	0.729	0.259	0.633	ekosistem
ecstasy	0.796	0.922	0.655	ekstazi
ecstatic	0.875	0.769	0.742	ekstatično
ecumenical	0.561	0.450	0.547	ekumenski
eddy	0.500	0.394	0.350	vrtinec
edema	0.250	0.519	0.318	edem
edge	0.439	0.470	0.468	rob
edging	0.479	0.394	0.370	robljenje
edgy	0.281	0.895	0.306	razdražljiv
edible	0.750	0.425	0.497	užitno
edict	0.316	0.547	0.560	edikt
edification	0.625	0.481	0.697	poučevanje
edifice	0.551	0.403	0.610	zgradba
edit	0.510	0.410	0.544	Uredi
editing	0.604	0.404	0.493	urejanje
edition	0.542	0.455	0.564	izdaja
editor	0.772	0.431	0.673	urednik
editorial	0.583	0.330	0.570	uredništvo
educate	0.760	0.380	0.728	izobraževati
educated	0.816	0.297	0.625	izobražen
education	0.896	0.275	0.840	izobraževanje
educational	0.745	0.457	0.764	izobraževalni
educator	0.827	0.317	0.845	vzgojiteljica
eeeek	0.367	0.540	0.349	eeeek
eeek	0.333	0.490	0.302	eeek
eek	0.292	0.529	0.343	eek
eel	0.292	0.564	0.487	jegulja
eerie	0.265	0.771	0.442	srhljivo
effect	0.570	0.518	0.608	učinek
effective	0.844	0.632	0.891	učinkovito
effectiveness	0.640	0.654	0.812	učinkovitost
effects	0.470	0.578	0.379	učinki
effectual	0.776	0.559	0.820	učinkovita
effectually	0.724	0.500	0.594	učinkovito
effectuate	0.510	0.602	0.679	uveljaviti
effeminate	0.337	0.619	0.291	feminiziran
efficacious	0.823	0.698	0.845	učinkovita
efficacy	0.802	0.490	0.906	učinkovitost
efficiency	0.802	0.509	0.892	učinkovitost
efficient	0.959	0.604	0.830	učinkovito
effigy	0.510	0.440	0.401	podoba
effort	0.698	0.778	0.858	trud
effortless	0.626	0.090	0.352	brez napora
effusion	0.344	0.730	0.472	izliv
effyou	0.354	0.529	0.490	effyou
egg	0.684	0.241	0.293	jajce
egghead	0.316	0.492	0.284	jajčasta glava
eggnog	0.635	0.360	0.259	jajčni liker
eggplant	0.592	0.152	0.323	jajčevec
eggshell	0.408	0.269	0.212	jajčne lupine
ego	0.328	0.576	0.593	ego
egomaniac	0.133	0.708	0.596	egomanijak
egotistical	0.156	0.667	0.363	egoističen
egregious	0.150	0.716	0.442	nenavadno
egress	0.490	0.429	0.287	izhod
eight	0.540	0.199	0.315	osem
eighteen	0.523	0.340	0.404	osemnajst
eighth	0.531	0.226	0.380	osmo
eighty	0.500	0.300	0.453	osemdeset
ejaculate	0.604	0.896	0.604	ejakulirati
ejaculation	0.615	0.893	0.547	ejakulacija
eject	0.434	0.656	0.559	izvrzi
ejection	0.188	0.836	0.554	izmet
elaborate	0.561	0.367	0.680	izdelati
elaboration	0.708	0.500	0.598	izdelava
elan	0.562	0.367	0.500	elan
elapse	0.514	0.440	0.455	preteči
elapsed	0.583	0.451	0.493	potekel
elastic	0.656	0.518	0.385	elastična
elasticity	0.635	0.452	0.582	elastičnost
elated	0.792	0.960	0.725	vzneseno
elation	0.740	0.853	0.623	vznesenost
elbow	0.448	0.133	0.254	komolec
eld	0.471	0.292	0.451	eld
elder	0.448	0.153	0.462	starešina
elders	0.602	0.260	0.441	starešine
eldest	0.625	0.471	0.741	najstarejši
elect	0.667	0.554	0.661	izvoljen
election	0.625	0.519	0.651	volitve
elective	0.612	0.380	0.623	izbirni
elector	0.479	0.520	0.766	elektor
electoral	0.490	0.631	0.602	volilni
electorate	0.560	0.380	0.696	volivcev
electric	0.458	0.708	0.512	električni
electric slide	0.542	0.660	0.536	električni tobogan
electrical	0.531	0.620	0.688	električni
electrician	0.449	0.590	0.620	električar
electricity	0.698	0.810	0.733	elektrika
electrify	0.520	0.769	0.737	naelektriti
electrocute	0.271	0.731	0.555	električni udar
electrocution	0.177	0.844	0.692	električni udar
electromagnetic	0.531	0.632	0.683	elektromagnetno
electron	0.520	0.455	0.560	elektron
electronic	0.571	0.490	0.704	elektronski
electronics	0.708	0.545	0.574	elektronika
elegance	0.918	0.396	0.824	eleganca
elegant	0.865	0.500	0.685	eleganten
element	0.531	0.259	0.481	element
elemental	0.627	0.306	0.711	elementarno
elementary	0.594	0.286	0.686	osnovno
elements	0.510	0.312	0.462	elementi
elephant	0.531	0.510	0.615	slon
elevate	0.812	0.500	0.804	povzdigniti
