English Word	Valence	Arousal	Dominance	Finnish Word
encyclopedia	0.679	0.320	0.645	tietosanakirja
end	0.198	0.349	0.298	loppu
end table	0.541	0.480	0.482	loppupöytä
endanger	0.115	0.885	0.404	vaarantaa
endangered	0.083	0.885	0.430	uhanalaisia
endangerment	0.167	0.873	0.519	uhanalaisuus
endearing	0.663	0.434	0.604	herttainen
endeavor	0.677	0.755	0.765	pyrkimys
ended	0.302	0.500	0.500	päättyi
endemic	0.406	0.480	0.483	endeeminen
endgame	0.449	0.538	0.526	loppupeli
ending	0.344	0.365	0.492	päättyy
endless	0.347	0.462	0.472	loputon
endocarditis	0.235	0.587	0.412	endokardiitti
endorse	0.592	0.392	0.472	tukea
endorsement	0.834	0.360	0.611	hyväksyntä
endow	0.684	0.398	0.609	antaa
endowed	0.755	0.510	0.769	lahjoitettu
endowment	0.685	0.578	0.647	lahjoitus
endpapers	0.542	0.400	0.339	loppupaperit
endpoint	0.311	0.410	0.448	päätepiste
endurance	0.592	0.745	0.760	kestävyyttä
endure	0.320	0.610	0.574	kestää
enduring	0.633	0.459	0.768	kestävä
enema	0.281	0.673	0.268	peräruiske
enemy	0.135	0.794	0.591	vihollinen
energetic	0.847	0.868	0.902	energinen
energize	0.792	0.810	0.875	energisoimaan
energy	0.944	0.725	0.868	energiaa
enforce	0.583	0.644	0.836	panna täytäntöön
enforcement	0.594	0.571	0.736	täytäntöönpanoa
enforcer	0.398	0.612	0.639	toimeenpanija
engage	0.771	0.796	0.713	sitoutua
engaged	0.837	0.596	0.849	kihloissa
engagement	0.906	0.587	0.807	sitoumus
engaging	0.948	0.612	0.862	mukaansatempaava
engender	0.561	0.741	0.688	synnyttää
engine	0.615	0.644	0.676	moottori
engineer	0.719	0.500	0.875	insinööri
engineering	0.735	0.471	0.836	suunnittelu
engrave	0.486	0.442	0.517	kaivertaa
engraved	0.542	0.375	0.473	kaiverrettu
engraver	0.552	0.417	0.500	kaivertaja
engraving	0.604	0.430	0.442	kaiverrus
engrossed	0.541	0.471	0.304	syventynyt
engrossing	0.698	0.702	0.750	mukaansatempaava
engulf	0.398	0.573	0.500	nielaista
enhance	0.802	0.578	0.814	parantaa
enhancement	0.877	0.490	0.741	parannus
enigma	0.513	0.700	0.500	arvoitus
enigmatic	0.469	0.589	0.679	arvoituksellinen
enjoin	0.594	0.454	0.732	määrätä
enjoy	0.959	0.725	0.750	nauttia
enjoyable	1.000	0.481	0.605	nautittavaa
enjoying	0.908	0.759	0.759	nauttien
enjoyment	0.930	0.612	0.716	nautintoa
enlarge	0.735	0.606	0.688	suurentaa
enlarged	0.673	0.490	0.518	laajennettu
enlargement	0.677	0.577	0.616	laajentuminen
enlighten	0.729	0.549	0.667	valaista
enlightened	0.956	0.566	0.700	valistunut
enlightening	0.825	0.729	0.727	valaiseva
enlightenment	0.837	0.549	0.619	valaistuminen
enlist	0.510	0.370	0.483	värvätä
enliven	0.833	0.683	0.702	elävöittää
enmity	0.094	0.706	0.382	vihamielisyyttä
ennui	0.406	0.461	0.316	ikävystyminen
enormity	0.594	0.648	0.848	valtavuus
enormous	0.677	0.665	0.886	valtava
enormously	0.760	0.694	0.872	valtavasti
enraged	0.083	0.962	0.636	raivoissaan
enrich	0.896	0.731	0.705	rikastuttaa
enroll	0.696	0.530	0.611	ilmoittautua
enrollment	0.667	0.391	0.698	ilmoittautuminen
ensemble	0.697	0.418	0.586	yhtye
ensign	0.663	0.270	0.545	lippu
enslave	0.073	0.800	0.481	orjuuttaa
enslaved	0.104	0.720	0.321	orjuutettu
enslavement	0.086	0.635	0.302	orjuuttaminen
ensue	0.698	0.363	0.332	seurauksena
ensure	0.737	0.406	0.759	varmistaa
entail	0.484	0.630	0.645	aiheuttaa
entangled	0.319	0.578	0.357	sotkeutunut
entanglement	0.302	0.765	0.248	sotkeutuminen
enter	0.708	0.470	0.500	tulla sisään
enterprise	0.760	0.392	0.754	yritys
enterprising	0.865	0.784	0.875	yritteliäs
entertain	0.918	0.684	0.598	viihdyttää
entertained	0.902	0.644	0.712	viihdyttivät
entertainer	0.888	0.709	0.759	viihdyttäjä
entertaining	0.833	0.658	0.660	viihdyttävä
entertainment	0.847	0.750	0.569	viihde
enthralled	0.745	0.602	0.615	ihastunut
enthusiasm	0.938	0.816	0.798	innostusta
enthusiast	0.867	0.810	0.875	harrastaja
enthusiastic	0.885	0.868	0.848	innostunut
entice	0.521	0.887	0.518	houkutella
entire	0.689	0.462	0.698	koko
entirety	0.854	0.460	0.804	kokonaisuutta
entitle	0.729	0.333	0.827	oikeuttaa
entity	0.542	0.402	0.670	kokonaisuus
entomology	0.438	0.396	0.545	hyönteistiede
entourage	0.491	0.567	0.467	seurue
entrails	0.365	0.538	0.387	sisälmykset
entrance	0.698	0.393	0.526	Sisäänkäynti
entrapment	0.177	0.604	0.441	ansaan
entreat	0.304	0.560	0.462	rukoilla
entree	0.615	0.477	0.624	pääruoka
entrepreneur	0.885	0.704	0.920	yrittäjä
entrust	0.693	0.310	0.630	uskoa
entry	0.552	0.353	0.602	sisääntulo
enumerate	0.521	0.390	0.491	luetella
enumeration	0.548	0.327	0.534	luettelointi
envelope	0.604	0.275	0.377	kirjekuori
envious	0.110	0.754	0.341	kateellinen
environ	0.724	0.221	0.433	ympäristöön
environment	0.646	0.194	0.528	ympäristöön
environmental	0.633	0.313	0.664	ympäristön kannalta
environs	0.561	0.288	0.345	ympäristöön
envision	0.625	0.449	0.483	kuvitella
envoy	0.531	0.375	0.586	lähettiläs
envy	0.240	0.704	0.427	kateus
enzyme	0.562	0.277	0.481	entsyymi
ephemeral	0.500	0.312	0.377	lyhytaikainen
ephemeris	0.640	0.380	0.528	efemeridi
epic	0.857	0.713	0.830	eeppinen
epidemic	0.092	0.830	0.611	epideeminen
epidermis	0.418	0.490	0.426	epidermis
epidural	0.347	0.452	0.525	epiduraali
epilepsy	0.061	0.854	0.250	epilepsia
epileptic	0.146	0.794	0.340	epileptinen
epilogue	0.582	0.353	0.466	epilogi
epiphany	0.625	0.596	0.526	loppiainen
episcopal	0.542	0.314	0.750	piispan-
episode	0.719	0.367	0.509	jakso
episodic	0.531	0.542	0.462	episodinen
epistle	0.604	0.417	0.535	kirje
epitaph	0.276	0.323	0.442	epitafia
epithet	0.530	0.394	0.524	epiteetti
epitome	0.510	0.500	0.667	ruumiillistuma
epoch	0.553	0.343	0.797	aikakausi
equal	0.781	0.178	0.407	yhtä suuri
equality	0.898	0.305	0.716	tasa-arvo
equalization	0.625	0.422	0.423	tasaus
equalize	0.738	0.281	0.574	tasoittaa
equalizer	0.604	0.451	0.586	taajuuskorjain
equally	0.625	0.264	0.436	yhtä
equate	0.724	0.382	0.624	rinnastaa
equation	0.479	0.384	0.608	yhtälö
equator	0.550	0.302	0.462	päiväntasaaja
equatorial	0.550	0.271	0.593	päiväntasaajan-
equestrian	0.633	0.519	0.417	ratsastaja
equidistant	0.375	0.406	0.509	yhtä kaukana
equilibration	0.724	0.317	0.593	tasapainottaminen
equilibrium	0.676	0.235	0.620	tasapaino
equip	0.650	0.519	0.713	varustaa
equipment	0.745	0.495	0.700	laitteet
equitable	0.714	0.286	0.750	tasapuolista
equity	0.792	0.304	0.614	pääomaa
equivalence	0.663	0.250	0.582	vastaavuus
equivalent	0.646	0.347	0.500	vastaava
equivocal	0.327	0.482	0.257	epäselvä
era	0.615	0.407	0.449	aikakausi
eradicate	0.260	0.690	0.686	hävittää
eradication	0.208	0.788	0.685	hävittäminen
erase	0.240	0.260	0.321	pyyhkiä
eraser	0.458	0.209	0.311	pyyhekumi
erasure	0.281	0.360	0.265	poistaminen
ere	0.479	0.312	0.377	ere
erect	0.643	0.885	0.627	pystytä
erectile	0.542	0.796	0.625	erektio
erection	0.640	0.856	0.695	erektio
ergo	0.385	0.400	0.385	ergo
erode	0.208	0.643	0.580	syöpyä
erosion	0.312	0.770	0.465	eroosio
erotic	0.625	0.946	0.683	eroottinen
erotica	0.781	0.870	0.579	erotiikkaa
err	0.146	0.660	0.236	err
errand	0.385	0.519	0.482	asia
errant	0.205	0.602	0.375	hairahtunut
erratic	0.271	0.503	0.217	arvaamaton
erratum	0.327	0.528	0.436	erratum
erroneous	0.057	0.561	0.245	virheellinen
error	0.094	0.559	0.198	virhe
erst	0.277	0.422	0.357	erst
erudite	0.719	0.434	0.774	oppinut
erupt	0.188	0.820	0.818	puhjeta
eruption	0.156	0.913	0.733	purkaus
escalade	0.480	0.724	0.442	escalade
escalate	0.653	0.714	0.728	eskaloitua
escalating	0.646	0.724	0.518	eskaloitumassa
escalation	0.571	0.807	0.582	eskaloituminen
escalator	0.500	0.530	0.518	liukuportaat
escape	0.367	0.765	0.448	paeta
escaped	0.365	0.755	0.518	pakeni
escarpment	0.406	0.553	0.470	luiska
eschew	0.184	0.438	0.370	välttää
escort	0.729	0.480	0.608	saattaja
escrow	0.449	0.520	0.613	escrow
esophagus	0.429	0.454	0.464	ruokatorvi
esoteric	0.500	0.676	0.545	esoteerinen
especial	0.827	0.419	0.794	erityinen
espionage	0.312	0.750	0.620	vakoilu
espouse	0.802	0.529	0.598	puoliso
espresso	0.677	0.620	0.508	espresso
esprit	0.552	0.431	0.407	esprit
esquire	0.604	0.542	0.518	esquire
essay	0.559	0.411	0.530	essee
essayist	0.656	0.460	0.462	esseisti
essence	0.663	0.369	0.575	olemus
essential	0.812	0.405	0.759	välttämätön
essentially	0.750	0.373	0.802	olennaisesti
establish	0.708	0.500	0.688	perustaa
established	0.796	0.394	0.694	perusti
establishment	0.690	0.398	0.631	perustaminen
estate	0.653	0.385	0.647	kiinteistö
esteem	0.745	0.380	0.679	arvostus
esteemed	0.694	0.418	0.531	arvostettu
esthetic	0.635	0.360	0.558	esteettinen
estimable	0.796	0.408	0.630	arvioitavissa
estimate	0.719	0.469	0.517	arvio
estimation	0.740	0.480	0.589	arvio
estoppel	0.354	0.459	0.482	estoppel
estranged	0.156	0.382	0.377	vieraantunut
estrogen	0.580	0.500	0.425	estrogeeni
estuary	0.469	0.278	0.482	suisto
etch	0.510	0.367	0.598	etch
etching	0.567	0.491	0.575	etsaus
eternal	0.854	0.409	0.843	ikuinen
eternity	0.765	0.520	0.911	ikuisuus
ethanol	0.333	0.410	0.534	etanoli
ether	0.490	0.306	0.412	eetteri
ethereal	0.520	0.419	0.518	eteerinen
ethic	0.786	0.260	0.791	etiikka
ethical	0.854	0.324	0.634	eettistä
ethics	0.658	0.296	0.731	etiikka
ethnic	0.583	0.373	0.555	etninen
ethnography	0.571	0.373	0.549	etnografia
etiology	0.500	0.385	0.639	etiologia
etiquette	0.604	0.350	0.421	etiketti
etymology	0.531	0.370	0.529	etymologia
eucalyptus	0.602	0.308	0.418	eukalyptus
euchre	0.470	0.459	0.442	euchre
eugenics	0.448	0.530	0.518	eugeniikka
eulogistic	0.740	0.623	0.694	ylistys
eulogium	0.542	0.482	0.655	ylistyspuheenvuoro
eulogize	0.850	0.518	0.679	ylistää
eulogy	0.625	0.443	0.667	muistopuhe
euphemism	0.418	0.453	0.491	kiertoilmaus
euphoria	0.769	0.955	0.648	euforia
euphoric	0.745	0.904	0.588	euforinen
euro	0.680	0.441	0.521	euroa
euthanasia	0.229	0.716	0.325	eutanasia
evacuate	0.354	0.792	0.314	evakuoin
evacuation	0.160	0.755	0.582	evakuointi
evade	0.304	0.490	0.342	kiertää
evaluate	0.663	0.640	0.649	arvioida
evaluation	0.542	0.667	0.764	arviointi
evanescence	0.527	0.519	0.458	katoaminen
evangelical	0.602	0.389	0.602	evankelinen
evangelist	0.582	0.464	0.702	evankelista
evangelistic	0.660	0.375	0.612	evankelista
evaporate	0.357	0.469	0.402	haihtua
evaporation	0.556	0.346	0.388	haihtuminen
evasion	0.229	0.510	0.418	väistäminen
evasive	0.117	0.596	0.425	välttelevä
eve	0.612	0.378	0.440	aatto
evening	0.458	0.185	0.318	ilta
evens	0.592	0.430	0.457	tasaiset
event	0.745	0.673	0.664	tapahtuma
eventful	0.543	0.837	0.510	tapahtumarikas
eventual	0.633	0.459	0.413	lopullinen
eventuality	0.469	0.627	0.527	mahdollisuutta
evergreen	0.729	0.471	0.546	ikivihreä
everlasting	0.740	0.413	0.809	ikuinen
evermore	0.677	0.450	0.403	ikuisesti
everyday	0.740	0.392	0.472	joka päivä
everyman	0.522	0.333	0.535	Jokamies
evict	0.042	0.632	0.377	häätää
eviction	0.185	0.731	0.455	häätö
evidence	0.500	0.500	0.778	todisteita
evident	0.633	0.444	0.664	ilmeistä
evidentiary	0.448	0.541	0.717	todisteena
evil	0.040	0.827	0.545	paha
evoke	0.438	0.341	0.500	herättää
evolution	0.781	0.657	0.854	evoluutio
evolutionary	0.796	0.673	0.825	evoluutionaalinen
evolve	0.655	0.692	0.896	kehittyä
ewe	0.429	0.216	0.277	uuhi
ex	0.250	0.520	0.306	esim
exacerbate	0.323	0.776	0.580	pahentaa
exacerbation	0.344	0.810	0.480	paheneminen
exact	0.719	0.354	0.685	tarkka
exacting	0.448	0.673	0.767	vaativa
exaggerate	0.193	0.760	0.529	liioitella
exaggerated	0.224	0.885	0.732	liioiteltu
exaggeration	0.312	0.775	0.582	liioittelu
exalt	0.656	0.750	0.745	korottaa
exaltation	0.594	0.892	0.673	korotus
exalted	0.676	0.845	0.696	korotettu
exam	0.479	0.663	0.577	koe
examination	0.378	0.657	0.679	tutkimus
examine	0.615	0.623	0.786	tutkia
examiner	0.406	0.575	0.812	tutkija
example	0.542	0.337	0.510	esimerkki
exasperated	0.229	0.816	0.377	suuttunut
exasperation	0.214	0.833	0.483	ärtymys
excavate	0.583	0.613	0.635	kaivaa
excavation	0.540	0.644	0.527	kaivaus
excavator	0.427	0.673	0.649	kaivinkone
exceed	0.500	0.827	0.586	ylittää
exceeding	0.500	0.802	0.668	ylittää
excel	0.561	0.363	0.466	excel
excellence	0.958	0.620	0.907	erinomaisuutta
excellent	0.970	0.587	0.870	erinomainen
excelsior	0.700	0.625	0.611	excelsior
excepting	0.408	0.413	0.526	lukuun ottamatta
exception	0.469	0.600	0.544	poikkeus
exceptional	0.806	0.740	0.933	poikkeuksellinen
excerpt	0.437	0.367	0.543	ote
excess	0.385	0.889	0.712	ylimääräinen
excessive	0.417	0.731	0.601	liiallinen
excessively	0.449	0.882	0.716	liikaa
exchange	0.740	0.569	0.491	vaihto
excise	0.448	0.561	0.577	valmistevero
excision	0.260	0.480	0.519	leikkaus
excitability	0.906	0.910	0.724	kiihtyvyys
excitable	0.803	0.939	0.629	hermostunut
excitation	0.792	0.958	0.750	jännitystä
excite	0.823	0.950	0.668	kiihottaa
excited	0.908	0.931	0.709	innoissaan
excitement	0.896	0.684	0.731	jännitystä
exciting	0.950	0.792	0.789	jännittävä
exclaim	0.635	0.711	0.639	huudahtaa
exclamation	0.612	0.745	0.598	huuto
exclude	0.292	0.500	0.530	sulkea pois
excluded	0.061	0.540	0.134	ulkopuolelle
excluding	0.271	0.550	0.324	lukuun ottamatta
exclusion	0.240	0.530	0.389	poissulkeminen
exclusive	0.792	0.630	0.653	yksinomainen
excrement	0.041	0.558	0.221	ulosteet
excretion	0.285	0.650	0.457	erittyminen
excruciating	0.083	0.837	0.345	tuskallista
excursion	0.625	0.714	0.627	retki
excuse	0.240	0.696	0.318	tekosyy
exec	0.640	0.352	0.769	exec
execute	0.327	0.708	0.769	suorittaa
execution	0.160	0.811	0.713	teloitus
executioner	0.235	0.816	0.676	pyöveli
executive	0.704	0.449	0.894	johtaja
executor	0.365	0.755	0.759	toimeenpanija
exegesis	0.458	0.472	0.491	eksegeesi
exemplar	0.844	0.537	0.625	esimerkillinen
exemplary	0.833	0.343	0.729	esimerkillinen
exemplify	0.735	0.506	0.783	esimerkkinä
exempt	0.588	0.455	0.664	vapauttaa
exemption	0.531	0.578	0.627	vapautusta
exercise	0.750	0.789	0.625	Harjoittele
exert	0.694	0.735	0.806	ponnistella
exertion	0.663	0.755	0.717	rasitusta
exhale	0.542	0.490	0.411	hengittää
exhaust	0.546	0.710	0.337	pakokaasu
exhausted	0.123	0.423	0.202	uupunut
exhaustion	0.366	0.633	0.269	uupumusta
exhaustive	0.388	0.635	0.604	tyhjentävä
exhibit	0.688	0.633	0.708	näyttely
exhibition	0.698	0.590	0.531	näyttely
exhilarated	0.890	0.963	0.759	innostunut
exhilarating	0.917	0.823	0.810	innostavaa
exhilaration	0.792	0.868	0.783	iloisuus
exhort	0.378	0.660	0.745	kehottaa
exhortation	0.531	0.624	0.580	kehotus
exhumation	0.177	0.586	0.473	kaivaminen
exhume	0.184	0.627	0.452	exhumoida
exigent	0.385	0.611	0.792	vaativa
exile	0.184	0.630	0.483	maanpako
exist	0.857	0.421	0.788	olla olemassa
existence	0.760	0.513	0.771	olemassaolo
existent	0.635	0.490	0.635	olemassa
existential	0.583	0.510	0.638	eksistentiaalinen
existing	0.802	0.344	0.750	nykyinen
exit	0.370	0.353	0.399	poistu
exodus	0.286	0.663	0.567	pakosta
exonerate	0.592	0.500	0.538	vapauttaa
exorbitant	0.398	0.865	0.825	kohtuuton
exorcism	0.163	0.980	0.557	manaamista
exorcist	0.219	0.906	0.716	manaaja
exotic	0.840	0.711	0.727	eksoottinen
expand	0.792	0.559	0.686	laajentaa
expanded	0.760	0.406	0.689	laajennettu
expanse	0.594	0.529	0.689	lakeus
expansion	0.776	0.618	0.787	laajennus
expansive	0.708	0.650	0.778	laaja
expatriate	0.265	0.764	0.391	ulkomaalainen
expect	0.469	0.327	0.377	odottaa
expectance	0.552	0.724	0.660	odotus
expectancy	0.581	0.622	0.558	odotus
expectant	0.708	0.650	0.474	odottava
expectation	0.771	0.690	0.707	odotus
expected	0.729	0.412	0.545	odotettavissa
expecting	0.561	0.450	0.302	odottaa
expediency	0.604	0.443	0.703	tarkoituksenmukaisuutta
expedient	0.885	0.461	0.454	tarkoituksenmukaista
expedite	0.571	0.858	0.798	nopeuttaa
expedition	0.735	0.802	0.620	retkikunta
expeditious	0.602	0.645	0.773	nopeaa
expel	0.281	0.725	0.452	karkottaa
expendable	0.479	0.490	0.423	kuluva
expenditure	0.250	0.608	0.603	menot
expense	0.317	0.451	0.377	kustannuksella
expenses	0.240	0.633	0.396	kulut
expensive	0.323	0.540	0.530	kallis
experience	0.827	0.618	0.905	kokea
experienced	0.771	0.613	0.914	kokenut
experiences	0.793	0.647	0.795	kokemukset
experiment	0.479	0.720	0.675	koe
experimental	0.417	0.764	0.396	kokeellinen
experimentation	0.637	0.769	0.767	kokeilu
experimenter	0.708	0.710	0.700	kokeilija
expert	0.776	0.646	0.911	asiantuntija
expertise	0.792	0.589	0.925	asiantuntemusta
expiration	0.265	0.539	0.463	vanheneminen
expire	0.573	0.745	0.702	mennä umpeen
expired	0.198	0.394	0.200	vanhentunut
expiry	0.194	0.434	0.382	päättyy
explain	0.719	0.517	0.736	selittää
explanation	0.615	0.610	0.825	selitys
explanatory	0.573	0.433	0.688	selittävä
expletive	0.357	0.567	0.536	voimasana
explication	0.510	0.445	0.602	selitys
explicit	0.562	0.694	0.734	selkeää
explode	0.277	0.885	0.773	räjähtää
exploit	0.312	0.878	0.660	käyttää hyväkseen
exploitation	0.156	0.920	0.718	hyväksikäyttöä
exploration	0.594	0.650	0.773	etsintä
exploratory	0.653	0.690	0.698	tutkiva
explore	0.776	0.660	0.727	tutkia
explorer	0.729	0.663	0.714	tutkimusmatkailija
explosion	0.167	0.960	0.767	räjähdys
explosions	0.123	0.860	0.594	räjähdyksiä
explosive	0.156	0.943	0.663	räjähtävä
expo	0.610	0.562	0.500	Expo
exponent	0.529	0.510	0.845	eksponentti
exponential	0.704	0.588	0.763	eksponentiaalinen
export	0.567	0.661	0.755	viedä
exportation	0.760	0.633	0.673	vienti
expose	0.344	0.643	0.537	paljastaa
exposed	0.471	0.661	0.509	paljastettu
exposition	0.521	0.627	0.655	näyttely
expository	0.706	0.653	0.636	selittävä
exposure	0.570	0.830	0.630	valotus
expound	0.438	0.575	0.740	selittää
express	0.760	0.623	0.691	ilmaista
expression	0.790	0.650	0.721	ilmaisu
expressive	0.755	0.724	0.685	ilmeikäs
expressway	0.633	0.635	0.587	moottoritie
expropriation	0.188	0.735	0.788	pakkolunastus
expulsion	0.190	0.790	0.529	karkottaminen
exquisite	0.892	0.644	0.604	hieno
exquisitely	0.849	0.728	0.723	hienosti
extant	0.646	0.390	0.523	olemassa
extend	0.646	0.570	0.689	laajentaa
extendable	0.660	0.592	0.722	laajennettavissa
extended	0.570	0.304	0.649	laajennettu
extension	0.490	0.510	0.529	laajennus
extensive	0.635	0.520	0.760	laaja
extent	0.646	0.451	0.602	laajuus
exterior	0.542	0.400	0.627	ulkopuoli
exterminate	0.177	0.857	0.736	tuhota
extermination	0.190	0.860	0.616	tuhoaminen
exterminator	0.344	0.804	0.887	hävittäjä
external	0.479	0.341	0.509	ulkoinen
externally	0.643	0.521	0.568	ulkoisesti
extinct	0.112	0.491	0.412	Sukupuuttoon kuollut
extinction	0.104	0.750	0.611	sukupuuttoon
extinguish	0.240	0.576	0.482	sammuttaa
extinguisher	0.707	0.379	0.543	sammutin
extol	0.582	0.667	0.456	ylistää
extort	0.052	0.827	0.570	kiristää
extortion	0.112	0.868	0.630	kiristys
extra	0.656	0.551	0.745	ylimääräistä
extract	0.565	0.402	0.519	ottaa talteen
extracting	0.521	0.709	0.689	purkaminen
extraction	0.418	0.740	0.526	uuttaminen
extractor	0.302	0.536	0.519	imuri
extracurricular	0.457	0.471	0.743	oppimäärään kuulumaton
extradition	0.229	0.627	0.554	luovuttaminen
extrajudicial	0.365	0.686	0.667	laitonta
extramural	0.336	0.559	0.537	ulkopuolinen
extraneous	0.276	0.625	0.478	vieraita
extraordinaire	0.847	0.864	0.898	poikkeuksellinen
extraordinary	0.969	0.728	0.860	epätavallinen
extraterrestrial	0.510	0.833	0.792	avaruusolento
extravagance	0.531	0.802	0.700	ylellisyys
extravagant	0.720	0.763	0.812	liioiteltu
extravaganza	0.646	0.786	0.906	fantasia
extreme	0.318	0.800	0.721	äärimmäinen
extreme anticipation	0.551	0.740	0.704	äärimmäinen odotus
extreme disgust	0.052	0.873	0.456	äärimmäistä inhoa
extreme surprise	0.833	0.935	0.676	äärimmäinen yllätys
extreme trust	0.826	0.713	0.922	äärimmäinen luottamus
extremely	0.635	0.827	0.886	erittäin
extremely negative	0.030	0.786	0.311	äärimmäisen negatiivinen
extremely positive	0.993	0.730	0.839	erittäin positiivinen
extremity	0.408	0.588	0.583	äärimmäinen
extricate	0.542	0.510	0.543	irrottaa
extrinsic	0.510	0.479	0.636	ulkoinen
extrusion	0.229	0.660	0.545	ekstruusio
exuberance	0.698	0.816	0.787	runsaus
exude	0.375	0.519	0.411	tihkua
eye	0.531	0.265	0.425	silmä
eyeball	0.526	0.422	0.420	silmämuna
eyebrow	0.510	0.198	0.222	kulmakarva
eyeful	0.802	0.500	0.676	kaunis tyttö
eyeglass	0.531	0.236	0.286	silmälasit
eyeglasses	0.561	0.269	0.306	silmälasit
eyelash	0.480	0.250	0.278	ripset
eyelet	0.632	0.298	0.346	silmukka
eyeliner	0.688	0.349	0.347	rajaussivellin
eyepiece	0.418	0.347	0.480	okulaari
eyes	0.760	0.279	0.432	silmät
eyesight	0.750	0.226	0.343	näkökyky
eyewitness	0.541	0.686	0.698	silminnäkijä
fab	0.490	0.380	0.406	ihana
fable	0.663	0.387	0.389	satu
fabled	0.625	0.538	0.545	tarua
fabric	0.635	0.190	0.345	kangas
fabricate	0.636	0.491	0.779	valmistaa
fabricated	0.418	0.427	0.555	valmistettu
fabrication	0.573	0.587	0.705	valmistus
fabulous	0.979	0.660	0.797	upea
facade	0.520	0.333	0.518	julkisivu
face	0.571	0.173	0.453	kasvot
faceless	0.230	0.406	0.173	kasvoton
facet	0.667	0.324	0.382	fasetti
facial	0.594	0.429	0.433	kasvohoito
facile	0.740	0.264	0.307	helposti
facilitate	0.812	0.333	0.509	helpottaa
facility	0.625	0.500	0.654	laitos
facing	0.604	0.406	0.550	päin
facsimile	0.490	0.500	0.543	faksi
fact	0.683	0.333	0.618	tosiasia
faction	0.469	0.430	0.448	ryhmä
factor	0.635	0.365	0.678	tekijä
factory	0.500	0.500	0.683	tehdas
facts	0.688	0.471	0.693	tosiasiat
factual	0.656	0.440	0.545	tosiasiallinen
faculties	0.643	0.431	0.760	tiedekunnat
faculty	0.615	0.412	0.732	henkilöstö
fad	0.663	0.520	0.570	villitys
fade	0.354	0.333	0.245	haalistua
faded	0.302	0.275	0.194	haalistuneet
faeces	0.184	0.476	0.175	ulosteet
fag	0.122	0.653	0.331	fag
faggot	0.219	0.643	0.292	homo
fail	0.177	0.578	0.154	epäonnistua
failing	0.125	0.490	0.268	epäonnistuminen
failure	0.167	0.575	0.139	epäonnistuminen
fain	0.479	0.417	0.426	fain
faint	0.063	0.429	0.167	heikko
fainting	0.333	0.510	0.214	pyörtyminen
fair	0.812	0.557	0.643	reilua
fairly	0.790	0.406	0.750	melko
fairness	0.740	0.317	0.552	oikeudenmukaisuus
fairway	0.541	0.510	0.500	väylä
fairy	0.776	0.408	0.413	keiju
faith	0.833	0.220	0.763	uskoa
faithful	0.888	0.333	0.627	uskollinen
faithfulness	0.833	0.426	0.602	uskollisuus
faithless	0.102	0.683	0.304	uskoton
fake	0.073	0.554	0.268	väärennös
faker	0.245	0.630	0.480	väärentäjä
falafel	0.560	0.402	0.351	falafel
falcon	0.557	0.580	0.678	haukka
fall	0.177	0.657	0.221	syksy
fallacious	0.271	0.587	0.390	harhaanjohtava
fallacy	0.112	0.561	0.430	harhaluulo
fallback	0.458	0.358	0.508	perääntyä
fallible	0.365	0.537	0.402	erehtyväinen
falling	0.202	0.716	0.306	putoaminen
fallopian	0.297	0.390	0.464	munanjohteinen
fallout	0.428	0.356	0.373	riitaantua
fallow	0.375	0.368	0.464	kesanto-
false	0.120	0.404	0.240	väärä
falsehood	0.031	0.625	0.384	valhe
falsely	0.083	0.480	0.265	valheellisesti
falsification	0.173	0.720	0.490	väärentäminen
falsified	0.042	0.630	0.306	väärennetty
falsify	0.115	0.657	0.409	vääristää
falsity	0.120	0.689	0.186	valheellisuus
falter	0.421	0.650	0.346	horjua
fame	0.896	0.755	0.852	mainetta
famed	0.878	0.750	0.819	kuuluisa
familiar	0.906	0.330	0.615	tuttua
familiarity	0.854	0.346	0.616	tuttuus
familiarize	0.760	0.365	0.654	tutustua
family	0.968	0.383	0.643	perhe
familytime	0.939	0.420	0.679	perheaikaa
famine	0.163	0.679	0.310	nälänhätä
famished	0.177	0.654	0.282	nälkiintynyt
famous	0.916	0.775	0.882	kuuluisa
famously	0.856	0.765	0.787	tunnetusti
fan	0.781	0.429	0.357	tuuletin
fanatic	0.573	0.780	0.629	fanaatikko
fanatical	0.555	0.830	0.714	fanaattinen
fanaticism	0.292	0.896	0.566	fanaattisuus
fanciful	0.677	0.592	0.342	mielikuvituksellinen
fancy	0.854	0.673	0.534	hieno
fandango	0.490	0.591	0.429	fandango
fanfare	0.656	0.640	0.437	fanfaari
fang	0.175	0.491	0.455	hampaat
fangs	0.286	0.598	0.434	hampaat
fanning	0.615	0.330	0.236	tuuletus
fantasia	0.898	0.694	0.436	fantasia
fantasize	0.771	0.660	0.356	fantasoida
fantastic	0.969	0.696	0.831	fantastinen
fantasy	0.880	0.627	0.474	fantasia
faraway	0.365	0.356	0.285	kaukana
farce	0.265	0.667	0.246	farssi
farcical	0.406	0.481	0.259	farssi
fare	0.490	0.425	0.645	hinta
farewell	0.130	0.500	0.591	jäähyväiset
farm	0.781	0.327	0.297	maatila
farmer	0.677	0.432	0.464	viljelijä
farmhouse	0.690	0.330	0.444	maalaistalo
farming	0.580	0.414	0.568	maanviljelystä
farmland	0.729	0.363	0.509	viljelysmaata
faro	0.544	0.349	0.357	faro
