English Word	Valence	Arousal	Dominance	Arabic Word
deferral	0.765	0.542	0.327	تأجيل
deferring	0.343	0.500	0.413	تأجيل
defiance	0.333	0.780	0.760	التحدي
defiant	0.250	0.792	0.769	غير هياب جريء
defibrillator	0.398	0.663	0.431	جهاز الصدمات الكهربائية
deficiency	0.073	0.373	0.179	نقص
deficient	0.240	0.464	0.132	ناقص
deficit	0.358	0.500	0.269	عجز
define	0.688	0.415	0.632	حدد
defined	0.670	0.214	0.646	مُعرف
definite	0.708	0.292	0.741	واضح
definition	0.573	0.375	0.579	تعريف
definitive	0.583	0.479	0.787	نهائي
deflate	0.148	0.404	0.237	ينكمش
deflation	0.287	0.536	0.407	الانكماش
deflect	0.133	0.491	0.482	تشتيت
deflection	0.188	0.500	0.382	انحراف
defloration	0.188	0.690	0.434	افتضاض
deform	0.112	0.654	0.284	تشوه
deformed	0.198	0.435	0.308	مشوه
deformity	0.160	0.569	0.241	تشوه
defraud	0.175	0.635	0.314	احتيال
defray	0.375	0.598	0.653	دفعت
defrost	0.427	0.317	0.389	تذويب
deft	0.719	0.575	0.849	ماهر
defunct	0.112	0.491	0.272	البائد
defuse	0.167	0.480	0.430	نزع فتيل
defy	0.353	0.884	0.657	يعصي
degeneracy	0.143	0.720	0.298	انحطاط
degenerate	0.069	0.724	0.264	تتدهور
degeneration	0.245	0.578	0.371	تنكس
degradation	0.160	0.608	0.315	انحلال
degrade	0.083	0.500	0.184	تحط من قدر
degraded	0.167	0.433	0.205	متدهورة
degrading	0.031	0.583	0.232	تدهور
degree	0.724	0.365	0.663	الدرجة العلمية
dehydrated	0.310	0.685	0.212	مجفف
dehydration	0.188	0.472	0.259	تجفيف
dejected	0.104	0.654	0.347	مكتئب
delay	0.204	0.510	0.162	تأخير
delayed	0.188	0.490	0.216	تأخير
delectable	0.781	0.642	0.718	لذيذ
delegate	0.612	0.491	0.658	مندوب
delegation	0.562	0.431	0.609	وفد
delete	0.292	0.298	0.409	حذف
deleterious	0.297	0.725	0.440	ضار
deletion	0.062	0.506	0.462	حذف
deli	0.561	0.448	0.447	أطعمة لذيذة
deliberate	0.551	0.654	0.682	متعمد
deliberation	0.561	0.678	0.596	المداولات
deliberative	0.392	0.552	0.573	تداول
delicacy	0.812	0.279	0.336	رقة
delicate	0.583	0.294	0.366	حساس
delicatessen	0.656	0.474	0.400	اضافات للطعام تجعله شهياً
delicious	0.927	0.650	0.589	لذيذ
delight	0.949	0.666	0.647	بهجة
delighted	0.938	0.664	0.685	مسرور
delightful	0.918	0.735	0.644	مسعد
delineate	0.448	0.430	0.445	تحدد
delineation	0.521	0.402	0.314	الترسيم
delinquency	0.135	0.860	0.508	الانحراف
delinquent	0.051	0.904	0.500	مذنب
delirious	0.219	0.774	0.538	هذياني
delirium	0.233	0.694	0.484	هذيان
deliver	0.583	0.370	0.582	ايصال
deliverance	0.750	0.520	0.658	خلاص
delivery	0.704	0.461	0.786	توصيل
dell	0.458	0.380	0.453	ديل
delta	0.551	0.343	0.509	دلتا
delude	0.143	0.627	0.353	ضلال
deluge	0.245	0.714	0.612	غمر
delusion	0.344	0.647	0.400	الوهم
delusional	0.219	0.745	0.327	الوهمية
deluxe	0.792	0.612	0.755	فاخر
delve	0.469	0.529	0.684	يخوض
demand	0.292	0.673	0.500	الطلب
demanding	0.396	0.750	0.828	متطلبا
demeaned	0.271	0.520	0.212	مهين
demeaning	0.104	0.645	0.308	التحقير
demeanor	0.633	0.433	0.657	سلوك
demented	0.088	0.787	0.309	مجنون
dementia	0.092	0.779	0.337	مرض عقلي
demise	0.104	0.596	0.456	زوال
demo	0.510	0.314	0.423	تجريبي
democracy	0.680	0.500	0.840	ديمقراطية
democrat	0.582	0.400	0.755	ديمقراطي
democratic	0.802	0.519	0.798	ديمقراطية
demographic	0.459	0.356	0.594	السكانية
demolish	0.125	0.632	0.700	هدم
demolished	0.271	0.647	0.353	هدم
demolition	0.133	0.827	0.541	هدم
demon	0.037	0.908	0.509	شيطان
demonic	0.146	0.875	0.600	شيطاني
demonstrable	0.735	0.471	0.749	يمكن إثباته
demonstrate	0.771	0.552	0.839	يتظاهر
demonstrated	0.617	0.500	0.649	مُبَرهن
demonstrating	0.698	0.571	0.693	مظاهرة
demonstration	0.551	0.676	0.679	برهنة
demonstrative	0.656	0.528	0.736	إيضاحي
demonstrator	0.520	0.598	0.733	متظاهر
demoralized	0.082	0.590	0.149	محبط
demos	0.418	0.370	0.368	العروض
demure	0.690	0.315	0.417	رزين
den	0.510	0.347	0.398	عرين
deniability	0.230	0.509	0.417	الإنكار
denial	0.194	0.435	0.318	إنكار
denied	0.188	0.604	0.333	رفض
denim	0.520	0.382	0.327	الدنيم
denomination	0.490	0.363	0.429	فئة
denominational	0.458	0.375	0.679	مذهبي
denominator	0.450	0.410	0.613	المقام - صفة مشتركة - حالة
denote	0.448	0.471	0.534	دل
denounce	0.083	0.780	0.426	التنديد
dense	0.354	0.343	0.536	كثيف
density	0.602	0.471	0.561	كثافة
dent	0.306	0.606	0.325	صدمه خفيفه
dental	0.573	0.404	0.463	طب الأسنان
dentist	0.479	0.620	0.642	طبيبة أسنان
dentistry	0.429	0.570	0.569	طب الأسنان
dentists	0.364	0.600	0.582	أطباء الأسنان
denunciation	0.146	0.830	0.561	استنكار
deny	0.316	0.667	0.321	ينكر
denying	0.080	0.542	0.272	إنكار
deodorant	0.480	0.265	0.269	مزيل عرق
depart	0.398	0.480	0.444	تغادر
departed	0.245	0.536	0.391	الراحل
department	0.708	0.358	0.642	 قسم، أقسام
departmental	0.612	0.422	0.446	الإدارات
departure	0.573	0.500	0.426	الاقلاع
depend	0.388	0.429	0.358	تعتمد
dependable	0.880	0.357	0.741	جدير بالثقة
dependant	0.357	0.404	0.451	يعتمد
dependence	0.250	0.451	0.433	الاعتماد
dependency	0.429	0.365	0.356	الاعتماد
dependent	0.354	0.455	0.404	يعتمد
depict	0.663	0.529	0.723	تصف
depicting	0.490	0.566	0.602	يصور
depletion	0.153	0.370	0.236	نضوب
deplorable	0.135	0.657	0.230	مؤسف
deplore	0.135	0.575	0.373	يأسف
deploy	0.500	0.520	0.585	نشر
deployment	0.510	0.520	0.612	تعيين
deport	0.167	0.667	0.546	إبعاد
deportation	0.104	0.786	0.450	إبعاد
depose	0.286	0.420	0.451	خلع
deposit	0.540	0.379	0.483	الوديعة
depositary	0.604	0.431	0.500	الوديع
deposition	0.394	0.510	0.471	إيداع
depository	0.551	0.373	0.481	الوديعة
depot	0.635	0.255	0.471	مستودع
depraved	0.031	0.837	0.395	فاسد
depravity	0.115	0.854	0.453	الفساد
depreciate	0.270	0.623	0.445	تستهلك
depreciated	0.135	0.672	0.250	مستهلكة
depreciation	0.143	0.571	0.386	الاستهلاك
depress	0.219	0.635	0.528	خفض
depressed	0.024	0.445	0.136	مكتئب
depressing	0.146	0.559	0.216	محزن
depression	0.031	0.520	0.232	كآبة
depressive	0.143	0.434	0.202	اكتئابي
depresson	0.135	0.400	0.308	الاكتئاب
deprivation	0.194	0.610	0.413	الحرمان
deprive	0.271	0.591	0.340	تحرم
deprived	0.354	0.506	0.536	محروم
depth	0.708	0.561	0.759	عمق
deputy	0.429	0.530	0.787	النائب
derail	0.108	0.802	0.375	الخروج عن مساره
deranged	0.376	0.868	0.357	مختل
derelict	0.208	0.470	0.237	مهجور
derision	0.265	0.670	0.292	السخرية
derivation	0.521	0.519	0.644	الاشتقاق
derivative	0.541	0.491	0.508	المشتق
derive	0.396	0.324	0.360	استخلاص
dermal	0.385	0.406	0.443	جلدي
dermatologist	0.531	0.358	0.528	طبيب الجلدية
dermatology	0.422	0.500	0.556	الجلدية
derogation	0.208	0.460	0.327	عدم التقيد
derogatory	0.122	0.580	0.404	ازدراء
descend	0.385	0.535	0.231	تنحدر
descendant	0.684	0.420	0.625	تنازلي
descendent	0.391	0.480	0.565	سليل
descending	0.219	0.493	0.250	تنازلي
descent	0.300	0.402	0.158	نزول
describe	0.542	0.472	0.555	يصف
description	0.582	0.425	0.596	وصف
descriptive	0.667	0.352	0.570	وصفي
desecrate	0.255	0.806	0.509	تدنيس
desecration	0.125	0.833	0.564	تدنيس
desert	0.469	0.279	0.389	صحراء
deserted	0.156	0.480	0.214	مهجور
deserter	0.122	0.710	0.366	الهارب
desertion	0.122	0.630	0.289	الهجر
deserve	0.802	0.436	0.613	استحق
deserved	0.781	0.582	0.689	استحق
deserving	0.802	0.596	0.858	تستحق
design	0.796	0.327	0.632	التصميم
designate	0.531	0.538	0.683	عين
designated	0.500	0.412	0.616	المحددة
designation	0.612	0.571	0.675	تعيين
designed	0.745	0.380	0.595	مصمم
designer	0.875	0.519	0.670	مصمم
designing	0.792	0.355	0.552	تصميم
desirability	0.684	0.550	0.675	الرغبة
desirable	0.740	0.735	0.750	مرغوب فيه
desire	0.896	0.692	0.647	رغبة
desiring	0.814	0.821	0.632	الرغبة
desirous	0.719	0.824	0.562	راغب
desist	0.220	0.358	0.291	الكف
desk	0.510	0.135	0.422	طاولة مكتب
desolate	0.104	0.320	0.228	مهجور
desolation	0.073	0.481	0.273	الخراب
despair	0.115	0.794	0.245	اليأس
despairing	0.073	0.735	0.286	اليأس
despatch	0.448	0.400	0.613	إيفاد
desperado	0.260	0.745	0.361	اليأس
desperate	0.083	0.842	0.337	متحرّق إلى
desperation	0.125	0.904	0.419	اليأس
despicable	0.146	0.710	0.255	حقير، خسيس
despise	0.167	0.745	0.296	يحتقر
despondent	0.133	0.378	0.221	يائس
despotic	0.141	0.824	0.592	مستبد
despotism	0.255	0.696	0.620	الاستبداد
dessert	0.755	0.491	0.404	الحلوى
destination	0.708	0.471	0.637	المكان المقصود
destined	0.698	0.462	0.617	متجه
destiny	0.781	0.413	0.611	مصير
destitute	0.130	0.451	0.222	فقراء
destroy	0.046	0.935	0.635	هدم
destroyed	0.031	0.696	0.288	دمرت
destroyer	0.083	0.830	0.543	مدمر
destroying	0.041	0.828	0.660	تدمير
destruct	0.071	0.868	0.525	تدمير
destruction	0.102	0.929	0.613	دمار
destructive	0.177	0.870	0.713	مدمرة
detach	0.357	0.625	0.450	فصل
detached	0.280	0.396	0.216	منفصل
detachment	0.243	0.700	0.443	انفصال
detail	0.514	0.406	0.528	التفاصيل
detailed	0.603	0.314	0.472	مفصلة
details	0.583	0.367	0.481	تفاصيل
detain	0.351	0.345	0.430	حجز
detainee	0.306	0.510	0.321	محتجز
detect	0.531	0.520	0.565	يكشف
detectable	0.479	0.539	0.649	قابل للاكتشاف
detection	0.708	0.567	0.538	كشف
detective	0.500	0.764	0.901	المحقق
detector	0.459	0.630	0.724	كاشف
detention	0.265	0.698	0.562	احتجاز
deter	0.344	0.537	0.567	ردع
detergent	0.458	0.304	0.426	منظف
deteriorate	0.083	0.471	0.202	تتدهور
deteriorated	0.053	0.549	0.237	تدهورت
deteriorating	0.104	0.459	0.112	تدهور
deterioration	0.130	0.512	0.283	تدهور
determinable	0.625	0.565	0.723	قابل للتحديد
determinate	0.630	0.314	0.772	تحدد
determination	0.776	0.725	0.795	عزم
determine	0.612	0.368	0.776	تحديد
determined	0.760	0.528	0.673	يحدد
deterrent	0.292	0.461	0.385	رادع
detest	0.083	0.800	0.492	يكرهون
detestation	0.177	0.637	0.412	الكراهية
detonate	0.375	0.850	0.696	تنفجر
detonation	0.167	0.931	0.741	تفجير
detonator	0.207	0.875	0.750	المفجر
detour	0.398	0.539	0.309	التفاف
detract	0.344	0.438	0.368	ينتقص
detriment	0.281	0.538	0.263	ضار
detrimental	0.203	0.679	0.387	ضار
detritus	0.276	0.353	0.363	المخلفات
deuce	0.479	0.338	0.425	تعؤل
deutschmark	0.439	0.431	0.509	المانى
devalued	0.321	0.462	0.212	خفضت قيمتها
devastate	0.021	0.796	0.509	يدمر
devastated	0.120	0.544	0.264	دمر
devastating	0.104	0.856	0.419	مدمر
devastation	0.090	0.904	0.472	دمار
develop	0.771	0.670	0.821	طور
developer	0.844	0.653	0.864	مطور
developing	0.833	0.587	0.714	تطوير
development	0.827	0.500	0.796	تطوير
deviant	0.094	0.589	0.398	منحرف
deviate	0.173	0.562	0.269	انحرف
deviating	0.354	0.634	0.536	منحرف
deviation	0.105	0.513	0.336	انحراف
device	0.562	0.404	0.627	جهاز
devil	0.161	0.900	0.611	شيطان
deviled	0.347	0.559	0.358	شيطاني
devilish	0.073	0.865	0.490	شيطانية
devious	0.250	0.519	0.259	الملتوية
devise	0.551	0.557	0.670	ابتكر
devoid	0.219	0.436	0.300	خال
devolution	0.345	0.434	0.425	تفويض
devolve	0.367	0.427	0.596	تفويض
devote	0.802	0.490	0.642	تكريس
devoted	0.867	0.320	0.698	كرس
devotee	0.816	0.461	0.577	المحب
devotion	0.802	0.561	0.673	التفاني
devotional	0.740	0.394	0.655	عبادي
devour	0.344	0.888	0.574	افترس
devout	0.620	0.357	0.464	ورع
dew	0.604	0.225	0.464	ندى
dexter	0.458	0.473	0.444	دكستر
dexterity	0.771	0.673	0.864	البراعة
dextrose	0.333	0.402	0.323	سكر العنب
diabetes	0.051	0.472	0.279	داء السكري
diabetic	0.125	0.269	0.237	مريض بالسكر
diabolical	0.102	0.912	0.456	شيطاني
diagnose	0.378	0.520	0.714	تشخيص
diagnosis	0.571	0.500	0.819	تشخبص
diagnostic	0.417	0.483	0.635	التشخيص
diagnostics	0.540	0.440	0.750	التشخيص
diagonal	0.500	0.343	0.410	قطري
diagram	0.562	0.357	0.445	رسم بياني
dial	0.620	0.427	0.596	يتصل
dialect	0.635	0.422	0.526	لهجة
dialectic	0.510	0.540	0.638	جدلية
dialogue	0.599	0.441	0.625	حوار
dialysis	0.194	0.567	0.407	غسيل الكلى
diameter	0.427	0.298	0.483	قطر الدائرة
diamond	0.910	0.606	0.769	الماس
diamonds	0.927	0.684	0.917	الماس
diaper	0.409	0.274	0.155	حفاضات
diaphragm	0.459	0.337	0.517	الحجاب الحاجز
diarrhea	0.092	0.684	0.143	إسهال
diarrhoea	0.038	0.692	0.250	إسهال
diary	0.698	0.292	0.464	مذكرات
diatribe	0.354	0.569	0.409	خطبة خطبة
dib	0.479	0.370	0.344	ديب
dibs	0.510	0.410	0.391	الدبس
dice	0.458	0.441	0.264	حجر النرد
dicey	0.290	0.833	0.727	خطره
dichotomous	0.365	0.452	0.538	ثنائي التفرع
dichotomy	0.323	0.482	0.483	تفرع ثنائي
dick	0.208	0.500	0.462	قضيب
dickhead	0.115	0.608	0.284	أحمق
dicks	0.310	0.694	0.358	ديكس
dictate	0.480	0.423	0.668	تملي
dictation	0.255	0.378	0.627	إملاء
dictator	0.073	0.760	0.862	دكتاتور
dictatorial	0.204	0.770	0.840	دكتاتوري
dictatorship	0.082	0.806	0.784	دكتاتورية
diction	0.439	0.373	0.679	الالقاء
dictionary	0.620	0.250	0.598	قاموس
dictum	0.385	0.510	0.528	القول المأثور
didactic	0.645	0.480	0.673	وعظي
diddle	0.429	0.566	0.393	غش
die	0.031	0.765	0.259	موت
died	0.021	0.650	0.327	مات
diesel	0.490	0.327	0.448	ديزل
diet	0.429	0.235	0.398	حمية
dietary	0.551	0.220	0.261	ذو علاقة بالحمية
differ	0.230	0.398	0.396	اختلف
difference	0.474	0.560	0.483	فرق
differences	0.365	0.582	0.342	اختلافات
different	0.612	0.394	0.473	مختلف
differential	0.520	0.378	0.535	التفاضليه
differentiation	0.367	0.561	0.535	التفاضل
differently	0.480	0.431	0.506	بشكل مختلف
differing	0.418	0.410	0.455	تختلف
difficult	0.235	0.700	0.508	صعبة
difficulties	0.082	0.784	0.357	الصعوبات
difficulty	0.079	0.740	0.368	صعوبة
diffuse	0.430	0.431	0.321	منتشر
diffusion	0.356	0.615	0.517	تعريف
dig	0.367	0.585	0.637	حفر
digest	0.720	0.413	0.483	استوعب
digestion	0.531	0.410	0.455	الهضم
digestive	0.542	0.413	0.434	الجهاز الهضمي
digit	0.447	0.286	0.333	رقم
digital	0.740	0.382	0.529	رقمي
dignified	0.766	0.481	0.635	كريمة
dignify	0.854	0.588	0.735	كرامة
dignity	0.844	0.391	0.873	كرامة
digress	0.271	0.625	0.411	استطرادا
digs	0.448	0.670	0.635	الحفريات
dike	0.360	0.384	0.490	سد
dilapidated	0.229	0.618	0.286	متداعية
dilatation	0.385	0.574	0.368	اتساع
dilation	0.347	0.490	0.578	تمدد
dildo	0.536	0.587	0.491	دسار
dilemma	0.153	0.590	0.430	معضلة
diligence	0.688	0.423	0.700	اجتهاد
diligent	0.760	0.426	0.759	مجتهد
dill	0.427	0.360	0.373	الشبت
diluent	0.417	0.344	0.332	مادة التخفيف
dilute	0.275	0.192	0.349	يميع \ يخفف
diluted	0.469	0.310	0.229	مخفف
dilution	0.445	0.337	0.352	تخفيف
dim	0.398	0.321	0.273	قاتمة
dime	0.653	0.317	0.345	عشرة سنتات
dimension	0.592	0.415	0.627	البعد
dimensional	0.561	0.484	0.596	الأبعاد
diminish	0.240	0.357	0.167	يقلل
diminished	0.156	0.269	0.196	تقلص
diminution	0.316	0.296	0.245	تناقص
diminutive	0.323	0.200	0.109	ضآلة
dimwit	0.255	0.459	0.175	خافت
din	0.440	0.417	0.398	دين
dine	0.821	0.519	0.478	تناول العشاء
diner	0.643	0.302	0.538	العشاء
dinghy	0.510	0.269	0.325	زورق
dingo	0.608	0.472	0.346	الدنغو
dingy	0.156	0.483	0.343	زورق
dining	0.724	0.350	0.459	تناول الطعام
dinky	0.357	0.451	0.358	أنيق
dinner	0.823	0.392	0.379	وجبة عشاء
dinnertime	0.796	0.406	0.341	وقت العشاء
dinosaur	0.448	0.630	0.596	ديناصور
dint	0.378	0.480	0.492	طعج
diocesan	0.520	0.283	0.518	أبرشية
diocese	0.510	0.288	0.575	أبرشية
diorama	0.592	0.441	0.462	الديوراما
dioxide	0.354	0.433	0.456	ثاني أكسيد
dip	0.516	0.583	0.397	تراجع
diploma	0.750	0.462	0.731	شهادة دبلوم
diplomacy	0.740	0.396	0.774	الدبلوماسية
diplomat	0.563	0.262	0.868	دبلوماسي
diplomatic	0.653	0.363	0.918	دبلوماسي
dipper	0.548	0.361	0.348	قحافة
dippy	0.430	0.402	0.340	ديبي
dipstick	0.365	0.312	0.316	مقياس العمق
dire	0.214	0.660	0.259	رهيب
direct	0.793	0.403	0.650	مباشرة
directed	0.542	0.490	0.541	توجه
direction	0.719	0.330	0.684	اتجاه
directive	0.604	0.530	0.918	التوجيه
directly	0.747	0.400	0.702	مباشرة
director	0.688	0.580	0.912	مدير
directory	0.439	0.413	0.538	الدليل
dirt	0.112	0.500	0.236	التراب
dirty	0.153	0.460	0.170	متسخ
disability	0.073	0.482	0.173	عجز
disable	0.115	0.430	0.269	تعطيل
disabled	0.308	0.443	0.235	معاق
disadvantage	0.150	0.377	0.282	عيب
disaffected	0.176	0.410	0.291	ساخط
disagree	0.133	0.590	0.345	تعارض
disagreeable	0.042	0.643	0.178	بغيض
disagreeing	0.255	0.643	0.350	غير موافق
disagreement	0.104	0.618	0.236	الخلاف
disallow	0.156	0.519	0.424	عدم السماح
disallowed	0.135	0.500	0.328	غير مسموح
disapointment	0.104	0.418	0.231	خيبة أمل
disappear	0.143	0.441	0.350	يختفي
disappearance	0.214	0.698	0.367	اختفاء
disappearing	0.167	0.427	0.379	تختفي
disappoint	0.150	0.633	0.288	يخيب
disappointed	0.071	0.472	0.241	خائب الامل
disappointing	0.073	0.640	0.200	مخيب للامال
disappointment	0.115	0.490	0.336	خيبة الامل
disapproval	0.085	0.551	0.367	الرفض
disapprove	0.160	0.594	0.445	رفض
disapproved	0.104	0.550	0.114	مرفوض
disapproving	0.245	0.625	0.452	رافضة
disarm	0.292	0.528	0.613	نزع سلاح
disarray	0.198	0.657	0.223	فوضى
disaster	0.082	0.892	0.433	كارثة
disastrous	0.071	0.741	0.439	كارثي
disband	0.302	0.491	0.417	حل \ سرح
disbelief	0.188	0.409	0.373	الكفر
disbelieve	0.188	0.441	0.352	كفر
disburse	0.418	0.473	0.353	صرف
disbursement	0.240	0.443	0.435	الصرف
disc	0.622	0.410	0.426	قرص
discard	0.240	0.343	0.337	تجاهل
discarded	0.229	0.460	0.308	مهملة
discards	0.240	0.464	0.391	المرتجع
discern	0.459	0.566	0.518	تميز - تدرك
discernible	0.427	0.441	0.481	يمكن تمييزه
discerning	0.542	0.584	0.780	فطنة
discernment	0.408	0.471	0.694	تميز
discharge	0.427	0.538	0.578	إبراء الذمة
disciple	0.765	0.385	0.462	المريد
disciplinary	0.562	0.593	0.796	تأديبي
discipline	0.615	0.471	0.806	انضباط
disciplined	0.728	0.450	0.750	منضبط
disclaim	0.235	0.509	0.321	تنصل
disclaimer	0.367	0.571	0.542	تنصل
disclose	0.490	0.570	0.545	الكشف عن
disclosed	0.271	0.575	0.546	كشف
disclosure	0.500	0.615	0.710	إفشاء
disco	0.710	0.806	0.575	ديسكو
discoloration	0.224	0.373	0.414	تلون
discolored	0.204	0.340	0.269	مشوه
discomfort	0.153	0.719	0.272	عدم ارتياح
disconcerted	0.100	0.612	0.288	مرتبك
disconcerting	0.106	0.549	0.269	أمرا مقلقا
disconnect	0.438	0.292	0.191	قطع الاتصال
disconnected	0.292	0.276	0.173	انقطع الاتصال
disconnection	0.167	0.283	0.277	قطع الاتصال
disconnects	0.256	0.357	0.241	يفصل
discontent	0.240	0.530	0.263	استياء
discontinuance	0.123	0.741	0.337	التوقف
discontinue	0.354	0.396	0.349	توقف
discontinuity	0.303	0.439	0.250	انقطاع
discontinuous	0.233	0.409	0.316	متقطع
discord	0.115	0.882	0.465	الخلاف
discount	0.724	0.530	0.302	تخفيض
discounted	0.677	0.471	0.430	مخفضة
discourage	0.184	0.443	0.267	تثبط
discouraged	0.220	0.304	0.090	محبط
discouragement	0.112	0.319	0.206	تثبيط
discouraging	0.167	0.469	0.281	محبط
discourse	0.410	0.550	0.803	الحوار
discover	0.771	0.793	0.673	يكتشف
discovery	0.823	0.627	0.814	اكتشاف
discredit	0.075	0.529	0.355	تشويه سمعة
discredited	0.112	0.491	0.182	فقدت مصداقيتها
discreet	0.552	0.216	0.532	متحفظ
discrepancy	0.260	0.643	0.417	تناقض
discrete	0.585	0.231	0.429	منفصله
discretion	0.552	0.320	0.685	حرية التصرف
discretionary	0.520	0.365	0.446	متوفر
discriminate	0.125	0.761	0.366	تميز
discriminating	0.160	0.783	0.462	تمييزي
discrimination	0.051	0.724	0.379	تمييز
discus	0.542	0.423	0.343	القرص
discuss	0.396	0.769	0.509	تناقش
discussion	0.333	0.842	0.536	نقاش
disdain	0.153	0.446	0.441	ازدراء
disdainful	0.097	0.480	0.263	ازدراء
disease	0.041	0.539	0.333	مرض
diseased	0.123	0.510	0.134	مريض
disembodied	0.167	0.620	0.412	بلا جسد
disengage	0.406	0.529	0.304	فك الارتباط
disengagement	0.327	0.373	0.395	فك الارتباط
disfigured	0.153	0.613	0.336	مشوه
disgrace	0.061	0.531	0.331	عار
disgraced	0.071	0.661	0.250	عار
disgraceful	0.082	0.702	0.240	مخز
disgruntled	0.104	0.658	0.442	ساخط
disguise	0.573	0.694	0.431	تمويه
disguised	0.500	0.615	0.326	متنكرا
disgust	0.052	0.775	0.317	الاشمئزاز
disgusted	0.051	0.773	0.274	مشمئز
disgusting	0.031	0.796	0.245	مقزز
dish	0.552	0.255	0.264	طبق
disheartened	0.153	0.343	0.238	بخيبة أمل
disheartening	0.010	0.353	0.224	مثبط للهمم
dishonest	0.191	0.491	0.163	غير شريفة
dishonesty	0.094	0.592	0.348	عدم الأمانة
dishonor	0.104	0.620	0.185	العار
dishonorable	0.112	0.641	0.280	عار
dishwasher	0.480	0.296	0.324	غسالة صحون
disillusionment	0.051	0.519	0.190	خيبة الأمل
disinclination	0.125	0.491	0.330	النفور
disincline	0.458	0.454	0.278	كره
disinclined	0.385	0.442	0.364	غير راغب
disinfect	0.448	0.388	0.648	تطهير
disinfectant	0.531	0.429	0.460	مطهر
disinfection	0.517	0.556	0.473	التطهير
disinformation	0.230	0.577	0.260	معلومات مضللة
disingenuous	0.194	0.509	0.204	مخادع
disintegrate	0.143	0.660	0.364	تتفكك
disintegration	0.094	0.551	0.381	تفكك
disinterested	0.398	0.284	0.392	نزيه
disjoint	0.351	0.385	0.322	منفصل
disjointed	0.323	0.518	0.365	مفكك
disjunctive	0.286	0.481	0.400	طباقي
disk	0.573	0.423	0.412	القرص
diskette	0.531	0.255	0.391	قرص مرن
dislike	0.156	0.406	0.321	لم يعجبنى
disliked	0.062	0.510	0.221	لم يعجبني
disliking	0.163	0.637	0.366	كره
dislocated	0.125	0.625	0.200	مخلوع
dislocation	0.229	0.565	0.373	الخلع
dislodge	0.214	0.769	0.356	طرد
disloyal	0.062	0.582	0.245	غير وفي
disloyalty	0.187	0.716	0.267	الخيانة
dismal	0.194	0.450	0.192	كئيب
dismantle	0.347	0.644	0.462	تفكيك
dismay	0.314	0.681	0.459	الفزع
dismayed	0.165	0.735	0.389	فزع
dismemberment	0.104	0.860	0.470	التقطيع
dismiss	0.167	0.541	0.509	رفض
dismissal	0.153	0.723	0.271	الفصل
dismissive	0.188	0.541	0.430	رافض
dismount	0.361	0.423	0.391	ترجل
disobedience	0.051	0.868	0.369	العصيان
disobedient	0.276	0.706	0.353	عاصي
disobey	0.143	0.556	0.491	عصى
disorder	0.115	0.816	0.218	اضطراب
disordered	0.210	0.714	0.288	مضطرب
disorderly	0.188	0.748	0.385	غير منظم
disorganized	0.052	0.507	0.184	غير منظم
disorientation	0.163	0.472	0.212	الارتباك
disoriented	0.227	0.643	0.227	مرتبك
disown	0.153	0.637	0.368	تبرأ من
disparage	0.092	0.663	0.336	الاستخفاف
disparaging	0.102	0.626	0.411	الاستخفاف
disparate	0.438	0.500	0.368	متباينة
disparity	0.208	0.482	0.361	التفاوت
dispassionate	0.199	0.217	0.218	نزيه
dispatch	0.317	0.417	0.555	إرسال
dispatcher	0.365	0.704	0.652	المرسل
dispel	0.388	0.402	0.411	تبديد
dispensary	0.406	0.380	0.606	مستوصف
dispensation	0.388	0.462	0.490	توزيع
dispense	0.561	0.520	0.518	الاستغناء
dispenser	0.583	0.392	0.470	موزع
dispersal	0.388	0.507	0.421	تشتيت انتشار
disperse	0.375	0.569	0.434	شتت
dispersed	0.344	0.490	0.274	مشتت
dispersion	0.270	0.604	0.350	تشتت
dispirited	0.204	0.280	0.142	محبط
displace	0.424	0.541	0.454	تهجير
displaced	0.281	0.472	0.291	نازحين
displacement	0.276	0.531	0.481	الإزاحة
displacency	0.500	0.528	0.642	النزوح
display	0.677	0.325	0.400	عرض
displease	0.021	0.702	0.286	استياء
displeased	0.135	0.690	0.400	مستاء
displeasure	0.115	0.559	0.250	استياء
disposable	0.271	0.439	0.250	للاستعمال لمرة واحدة
disposal	0.135	0.608	0.396	ازالة
dispose	0.548	0.538	0.559	تخلص
disposed	0.688	0.441	0.625	استبعاده
disposition	0.663	0.542	0.734	تغير
dispossessed	0.354	0.577	0.331	جرداء
disprove	0.375	0.625	0.613	دحض
dispute	0.219	0.750	0.585	خلاف
disqualification	0.066	0.677	0.330	تنحية
disqualified	0.129	0.464	0.232	غير مؤهل
disqualify	0.208	0.595	0.267	عدم أهلية
disquieted	0.229	0.850	0.290	منزعج
disregard	0.177	0.647	0.308	تجاهل
disregarded	0.260	0.458	0.283	متجاهل
disrelish	0.375	0.471	0.304	كراهية
disreputable	0.104	0.688	0.353	سيئ السمعة
disrepute	0.208	0.630	0.292	سمعة
disrespect	0.062	0.637	0.302	عدم احترام
disrespectful	0.031	0.694	0.273	عدم الاحترام
disrupt	0.265	0.640	0.349	يعطل
disrupting	0.186	0.557	0.339	وتعطيل
disruption	0.235	0.735	0.436	خلل
disruptive	0.255	0.755	0.575	مدمرة
dissatisfaction	0.115	0.663	0.202	عدم الرضا
