English Word	Valence	Arousal	Dominance	Pashto Word
elder	0.448	0.153	0.462	مشر
elders	0.602	0.260	0.441	مشران
eldest	0.625	0.471	0.741	مشر
elect	0.667	0.554	0.661	انتخاب
election	0.625	0.519	0.651	ټاکنې
elective	0.612	0.380	0.623	انتخابي
elector	0.479	0.520	0.766	ټاکونکی
electoral	0.490	0.631	0.602	انتخاباتي
electorate	0.560	0.380	0.696	رایه ورکوونکي
electric	0.458	0.708	0.512	برقی
electric slide	0.542	0.660	0.536	برقی سلایډ
electrical	0.531	0.620	0.688	برقی
electrician	0.449	0.590	0.620	بریښنایی
electricity	0.698	0.810	0.733	بریښنا
electrify	0.520	0.769	0.737	بریښنا کول
electrocute	0.271	0.731	0.555	برق
electrocution	0.177	0.844	0.692	برق
electromagnetic	0.531	0.632	0.683	برقی مقناطیسی
electron	0.520	0.455	0.560	الکترون
electronic	0.571	0.490	0.704	برقی
electronics	0.708	0.545	0.574	برقی
elegance	0.918	0.396	0.824	ښکلا
elegant	0.865	0.500	0.685	ښکلی
element	0.531	0.259	0.481	عنصر
elemental	0.627	0.306	0.711	عنصري
elementary	0.594	0.286	0.686	ابتدايي
elements	0.510	0.312	0.462	عناصر
elephant	0.531	0.510	0.615	هاتین
elevate	0.812	0.500	0.804	پورته کول
elevated	0.704	0.594	0.620	لوړ شوی
elevation	0.760	0.759	0.711	لوړوالی
elevator	0.562	0.604	0.676	لفټ
eleven	0.449	0.250	0.430	یولس
eleventh	0.594	0.329	0.357	یولسم
elf	0.460	0.457	0.315	elf
elicit	0.406	0.594	0.658	روښانه کول
eligible	0.750	0.400	0.518	وړ
eliminate	0.265	0.670	0.324	له منځه وړل
elimination	0.052	0.667	0.431	له منځه وړل
elite	0.688	0.704	0.737	اشراف
elitist	0.500	0.606	0.656	اشرافي
elixir	0.708	0.587	0.604	عطر
elk	0.439	0.337	0.340	ایلک
ell	0.469	0.418	0.373	ell
ellipse	0.531	0.410	0.479	بیضوی
ellipsis	0.653	0.358	0.314	ellipsis
ellipsoid	0.500	0.440	0.419	ellipsoid
elliptic	0.500	0.431	0.528	بیضوی
elliptical	0.338	0.385	0.490	بیضوی
elm	0.510	0.345	0.321	ایلم
elongate	0.583	0.385	0.540	اوږدول
elongation	0.561	0.500	0.500	اوږدوالی
elope	0.396	0.694	0.528	تښتیدل
eloquence	0.729	0.490	0.804	فصاحت
eloquent	0.870	0.680	0.741	فصاحت
elucidate	0.583	0.509	0.518	روښانه کول
elucidation	0.650	0.574	0.586	تشریح
elude	0.438	0.521	0.464	تېښته
elusive	0.229	0.615	0.466	نامحرم
emaciated	0.103	0.541	0.151	کمزوری شوی
email	0.698	0.230	0.456	بریښنالیک
emanate	0.653	0.464	0.554	راوتل
emancipation	0.704	0.684	0.763	خلاصون
embankment	0.677	0.438	0.436	بندونه
embargo	0.229	0.564	0.443	بندیز
embark	0.541	0.550	0.619	پورته کول
embarrass	0.082	0.667	0.364	شرمنده
embarrassed	0.184	0.560	0.246	شرمنده
embarrassing	0.226	0.809	0.225	شرموونکی
embarrassment	0.143	0.685	0.226	خجالت
embassy	0.622	0.333	0.758	سفارت
embattled	0.235	0.724	0.421	مبارزه
embed	0.417	0.554	0.670	سرایت
embellish	0.842	0.500	0.769	ښکلول
embellishment	0.673	0.449	0.405	زینت
embers	0.490	0.481	0.508	انګریز
embezzlement	0.143	0.827	0.435	اختلاس
embezzler	0.146	0.823	0.491	اختلاس کونکی
emblem	0.640	0.330	0.754	نښه
emblematic	0.771	0.459	0.798	نښه
embodiment	0.562	0.690	0.663	مجسمه
embolism	0.104	0.660	0.302	امبولیزم
embossed	0.531	0.481	0.500	ابس شوی
embrace	0.949	0.490	0.452	غیږه
embroidered	0.677	0.279	0.407	ګنډل
embroidery	0.781	0.358	0.280	ګنډل
embroiled	0.337	0.721	0.420	ښکیل شوی
embryo	0.673	0.469	0.453	جنین
embryonic	0.573	0.453	0.598	جنین
emcee	0.694	0.577	0.691	emcee
emerald	0.740	0.363	0.726	زمرد
emerge	0.602	0.594	0.731	راڅرګندېدل
emergence	0.276	0.857	0.676	راڅرګندېدل
emergency	0.200	0.900	0.571	بیړنی
emeritus	0.633	0.402	0.735	امیریتس
emery	0.469	0.583	0.472	ایمری
emetophobia	0.243	0.620	0.403	ایمیتوفوبیا
emigrate	0.356	0.812	0.508	هجرت
emigration	0.564	0.664	0.432	مهاجرت
eminence	0.816	0.644	0.837	شهرت
eminent	0.740	0.620	0.830	نامتو
eminently	0.694	0.607	0.773	په ښه توګه
emir	0.510	0.396	0.621	امیر
emissary	0.562	0.462	0.636	سفیر
emission	0.510	0.453	0.591	اخراج
emit	0.638	0.445	0.510	خارج کول
emo	0.354	0.314	0.226	emo
emotion	0.693	0.873	0.696	احساسات
emotional	0.779	0.714	0.526	احساساتي
emotive	0.917	0.741	0.525	احساساتي
empathic	0.760	0.570	0.558	خواخوږي
empathize	0.802	0.591	0.660	خواخوږي
empathy	0.729	0.349	0.545	خواخوږي
emperor	0.651	0.704	0.962	امپراتور
emphasis	0.653	0.745	0.816	ټینګار
emphasize	0.510	0.605	0.769	ټینګار
emphatic	0.615	0.707	0.732	زورور
emphysema	0.156	0.556	0.336	ایمفیسیما
empire	0.688	0.730	0.944	امپراتورۍ
empirical	0.500	0.510	0.574	تجربوي
empiricism	0.583	0.460	0.547	تجربه
employ	0.729	0.481	0.702	ګمارل
employee	0.582	0.361	0.481	کارمند
employer	0.663	0.518	0.767	ګمارونکی
employment	0.750	0.594	0.611	دندې
emporium	0.622	0.556	0.724	امپوریم
empower	0.694	0.779	0.891	ځواکمن کول
empress	0.716	0.669	0.855	امپریس
emptiness	0.177	0.173	0.184	تشوالی
emption	0.570	0.406	0.458	خالي کول
empty	0.188	0.183	0.081	خالي
emu	0.420	0.358	0.330	ایمو
emulate	0.438	0.340	0.549	تقلید
emulsion	0.562	0.431	0.453	ایمولشن
enable	0.760	0.491	0.782	فعالول
enablement	0.600	0.451	0.750	وړتیا
enact	0.680	0.564	0.598	نافذول
enactment	0.667	0.612	0.769	قانون
enamel	0.594	0.280	0.306	انامیل
encampment	0.677	0.573	0.605	کیمپ
enchant	0.873	0.650	0.643	جادوګر
enchanted	0.917	0.633	0.687	جادو شوی
enchanting	0.917	0.681	0.708	په زړه پورې
enchantment	0.816	0.775	0.647	جالب
enchantress	0.398	0.663	0.479	جادوګر
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	محاصره
encircling	0.510	0.368	0.557	محاصره کول
enclave	0.531	0.333	0.580	انکلیو
enclose	0.531	0.477	0.473	تړل
enclosure	0.417	0.375	0.490	احاطه
encode	0.490	0.500	0.734	کوډ
encomiastic	0.541	0.500	0.670	زړه راښکونکی
encomium	0.541	0.451	0.519	encomium
encompass	0.520	0.298	0.661	احاطه کول
encore	0.510	0.423	0.500	انکور
encounter	0.865	0.702	0.689	مخامخ
encourage	0.896	0.580	0.704	هڅول
encouraged	0.953	0.702	0.657	هڅول
encouragement	0.865	0.700	0.759	هڅونه
encouraging	0.823	0.583	0.755	هڅونکی
encroach	0.302	0.742	0.702	تجاوز
encroachment	0.255	0.736	0.620	تجاوز
encrypt	0.500	0.387	0.500	کوډ کول
encryption	0.547	0.415	0.474	کوډ کول
encumbrance	0.300	0.521	0.480	بار
encyclopedia	0.679	0.320	0.645	پوهنغونډ
end	0.198	0.349	0.298	پای
end table	0.541	0.480	0.482	پای میز
endanger	0.115	0.885	0.404	خطر
endangered	0.083	0.885	0.430	له خطر سره مخامخ
endangerment	0.167	0.873	0.519	خطر
endearing	0.663	0.434	0.604	په زړه پورې
endeavor	0.677	0.755	0.765	هڅه
ended	0.302	0.500	0.500	ختم شو
endemic	0.406	0.480	0.483	ځایی
endgame	0.449	0.538	0.526	پای لوبه
ending	0.344	0.365	0.492	پای
endless	0.347	0.462	0.472	نه ختمیدونکی
endocarditis	0.235	0.587	0.412	endocarditis
endorse	0.592	0.392	0.472	تائید
endorsement	0.834	0.360	0.611	تایید
endow	0.684	0.398	0.609	ورکول
endowed	0.755	0.510	0.769	ورکړل شوی
endowment	0.685	0.578	0.647	وقف
endpapers	0.542	0.400	0.339	پای پاڼې
endpoint	0.311	0.410	0.448	پای ټکی
endurance	0.592	0.745	0.760	برداشت
endure	0.320	0.610	0.574	زغمل
enduring	0.633	0.459	0.768	دوامدار
enema	0.281	0.673	0.268	انیما
enemy	0.135	0.794	0.591	دښمن
energetic	0.847	0.868	0.902	ځواکمن
energize	0.792	0.810	0.875	ځواکمن کول
energy	0.944	0.725	0.868	انرژي
enforce	0.583	0.644	0.836	پلي کول
enforcement	0.594	0.571	0.736	تطبیق
enforcer	0.398	0.612	0.639	پلي کونکی
engage	0.771	0.796	0.713	مشغولول
engaged	0.837	0.596	0.849	بوخت
engagement	0.906	0.587	0.807	ښکیلتیا
engaging	0.948	0.612	0.862	ښکیل
engender	0.561	0.741	0.688	پیدا کول
engine	0.615	0.644	0.676	انجن
engineer	0.719	0.500	0.875	انجینر
engineering	0.735	0.471	0.836	انجینری
engrave	0.486	0.442	0.517	نقاشي
engraved	0.542	0.375	0.473	نقاشی شوی
engraver	0.552	0.417	0.500	نقاشی
engraving	0.604	0.430	0.442	نقاشي
engrossed	0.541	0.471	0.304	مشغول
engrossing	0.698	0.702	0.750	په زړه پورې
engulf	0.398	0.573	0.500	ځړول
enhance	0.802	0.578	0.814	لوړول
enhancement	0.877	0.490	0.741	وده
enigma	0.513	0.700	0.500	معما
enigmatic	0.469	0.589	0.679	پټ
enjoin	0.594	0.454	0.732	امر کول
enjoy	0.959	0.725	0.750	خوند واخلئ
enjoyable	1.000	0.481	0.605	خوندور
enjoying	0.908	0.759	0.759	خوند اخستل
enjoyment	0.930	0.612	0.716	خوند
enlarge	0.735	0.606	0.688	پراخول
enlarged	0.673	0.490	0.518	پراخ شوی
enlargement	0.677	0.577	0.616	پراخول
enlighten	0.729	0.549	0.667	روښانه کول
enlightened	0.956	0.566	0.700	روښان
enlightening	0.825	0.729	0.727	روښانتیا
enlightenment	0.837	0.549	0.619	روښانتیا
enlist	0.510	0.370	0.483	نوم لیکنه
enliven	0.833	0.683	0.702	ژوندی کول
enmity	0.094	0.706	0.382	دښمني
ennui	0.406	0.461	0.316	ennui
enormity	0.594	0.648	0.848	پراخوالی
enormous	0.677	0.665	0.886	لوی
enormously	0.760	0.694	0.872	په لویه کچه
enraged	0.083	0.962	0.636	غوسه شوی
enrich	0.896	0.731	0.705	غني کول
enroll	0.696	0.530	0.611	نوم لیکنه
enrollment	0.667	0.391	0.698	نوم لیکنه
ensemble	0.697	0.418	0.586	جوړه
ensign	0.663	0.270	0.545	نښه
enslave	0.073	0.800	0.481	غلامي کول
enslaved	0.104	0.720	0.321	غلام
enslavement	0.086	0.635	0.302	غلامي
ensue	0.698	0.363	0.332	پایله
ensure	0.737	0.406	0.759	ډاډمن کړي
entail	0.484	0.630	0.645	داخلول
entangled	0.319	0.578	0.357	ښکیل
entanglement	0.302	0.765	0.248	ښکیلتیا
enter	0.708	0.470	0.500	داخلول
enterprise	0.760	0.392	0.754	تصدۍ
enterprising	0.865	0.784	0.875	متشبث
entertain	0.918	0.684	0.598	تفریح
entertained	0.902	0.644	0.712	تفریح
entertainer	0.888	0.709	0.759	ساتونکی
entertaining	0.833	0.658	0.660	ساتیرۍ
entertainment	0.847	0.750	0.569	تفریح
enthralled	0.745	0.602	0.615	په زړه پورې
enthusiasm	0.938	0.816	0.798	لیوالتیا
enthusiast	0.867	0.810	0.875	لیواله
enthusiastic	0.885	0.868	0.848	لیواله
entice	0.521	0.887	0.518	هڅول
entire	0.689	0.462	0.698	ټول
entirety	0.854	0.460	0.804	بشپړ
entitle	0.729	0.333	0.827	حقدار
entity	0.542	0.402	0.670	وجود
entomology	0.438	0.396	0.545	اناتومولوژي
entourage	0.491	0.567	0.467	ډله
entrails	0.365	0.538	0.387	داخلې
entrance	0.698	0.393	0.526	ننوتل
entrapment	0.177	0.604	0.441	ځړول
entreat	0.304	0.560	0.462	دعا
entree	0.615	0.477	0.624	داخله
entrepreneur	0.885	0.704	0.920	متشبث
entrust	0.693	0.310	0.630	سپارل
entry	0.552	0.353	0.602	ننوتل
enumerate	0.521	0.390	0.491	شمیرل
enumeration	0.548	0.327	0.534	شمېرنه
envelope	0.604	0.275	0.377	لفافه
envious	0.110	0.754	0.341	حسد
environ	0.724	0.221	0.433	چاپیریال
environment	0.646	0.194	0.528	چاپیریال
environmental	0.633	0.313	0.664	چاپیریال
environs	0.561	0.288	0.345	چاپیریالونه
envision	0.625	0.449	0.483	تصور
envoy	0.531	0.375	0.586	سفیر
envy	0.240	0.704	0.427	حسد
enzyme	0.562	0.277	0.481	انزايم
ephemeral	0.500	0.312	0.377	لنډمهاله
ephemeris	0.640	0.380	0.528	ephemeris
epic	0.857	0.713	0.830	epic
epidemic	0.092	0.830	0.611	وبا
epidermis	0.418	0.490	0.426	epidermis
epidural	0.347	0.452	0.525	epidural
epilepsy	0.061	0.854	0.250	مرگی
epileptic	0.146	0.794	0.340	مرگی
epilogue	0.582	0.353	0.466	epilogue
epiphany	0.625	0.596	0.526	epiphany
episcopal	0.542	0.314	0.750	episcopal
episode	0.719	0.367	0.509	قسط
episodic	0.531	0.542	0.462	قسط
epistle	0.604	0.417	0.535	خط
epitaph	0.276	0.323	0.442	epitaph
epithet	0.530	0.394	0.524	صفت
epitome	0.510	0.500	0.667	نمونه
epoch	0.553	0.343	0.797	دور
equal	0.781	0.178	0.407	مساوي
equality	0.898	0.305	0.716	مساوات
equalization	0.625	0.422	0.423	برابری
equalize	0.738	0.281	0.574	مساوي کول
equalizer	0.604	0.451	0.586	برابر کونکی
equally	0.625	0.264	0.436	په مساوي توګه
equate	0.724	0.382	0.624	مساوي کول
equation	0.479	0.384	0.608	مساوات
equator	0.550	0.302	0.462	استوا
equatorial	0.550	0.271	0.593	استوایی
equestrian	0.633	0.519	0.417	اسوار
equidistant	0.375	0.406	0.509	مساوي
equilibration	0.724	0.317	0.593	انډول
equilibrium	0.676	0.235	0.620	توازن
equip	0.650	0.519	0.713	سمبالول
equipment	0.745	0.495	0.700	تجهیزات
equitable	0.714	0.286	0.750	مساوي
equity	0.792	0.304	0.614	مساوات
equivalence	0.663	0.250	0.582	مساوات
equivalent	0.646	0.347	0.500	برابر
equivocal	0.327	0.482	0.257	مسخره
era	0.615	0.407	0.449	دوره
eradicate	0.260	0.690	0.686	له منځه وړل
eradication	0.208	0.788	0.685	له منځه وړل
erase	0.240	0.260	0.321	پاکول
eraser	0.458	0.209	0.311	پاکونکی
erasure	0.281	0.360	0.265	پاکول
ere	0.479	0.312	0.377	مخکې
erect	0.643	0.885	0.627	ولاړ
erectile	0.542	0.796	0.625	عاطفي
erection	0.640	0.856	0.695	جوړول
ergo	0.385	0.400	0.385	له دې امله
erode	0.208	0.643	0.580	تخریب
erosion	0.312	0.770	0.465	تخریب
erotic	0.625	0.946	0.683	جنسي
erotica	0.781	0.870	0.579	ایروټیکا
err	0.146	0.660	0.236	تېروتنه
errand	0.385	0.519	0.482	دنده
errant	0.205	0.602	0.375	غلط
erratic	0.271	0.503	0.217	بې نظمه
erratum	0.327	0.528	0.436	خطا
erroneous	0.057	0.561	0.245	غلط
error	0.094	0.559	0.198	تېروتنه
erst	0.277	0.422	0.357	لومړی
erudite	0.719	0.434	0.774	پوه
erupt	0.188	0.820	0.818	راټوکېدل
eruption	0.156	0.913	0.733	چاود
escalade	0.480	0.724	0.442	تېښته
escalate	0.653	0.714	0.728	زیاتول
escalating	0.646	0.724	0.518	زیاتیدونکی
escalation	0.571	0.807	0.582	زیاتوالی
escalator	0.500	0.530	0.518	ایسکلیټر
escape	0.367	0.765	0.448	تېښته
escaped	0.365	0.755	0.518	تښتېدلی
escarpment	0.406	0.553	0.470	تېښته
eschew	0.184	0.438	0.370	پریښودل
escort	0.729	0.480	0.608	ساتونکی
escrow	0.449	0.520	0.613	رسمی سند
esophagus	0.429	0.454	0.464	esophagus
esoteric	0.500	0.676	0.545	باطني
especial	0.827	0.419	0.794	ځانګړی
espionage	0.312	0.750	0.620	جاسوسي
espouse	0.802	0.529	0.598	ملګری
espresso	0.677	0.620	0.508	espresso
esprit	0.552	0.431	0.407	ایسپریټ
esquire	0.604	0.542	0.518	esquire
essay	0.559	0.411	0.530	مقاله
essayist	0.656	0.460	0.462	مقاله لیکونکی
essence	0.663	0.369	0.575	جوهر
essential	0.812	0.405	0.759	ضروري
essentially	0.750	0.373	0.802	په اصل کې
establish	0.708	0.500	0.688	تاسیس کول
established	0.796	0.394	0.694	تاسیس شوی
establishment	0.690	0.398	0.631	تاسیس
estate	0.653	0.385	0.647	شتمنۍ
esteem	0.745	0.380	0.679	درناوی
esteemed	0.694	0.418	0.531	درناوی شوی
esthetic	0.635	0.360	0.558	ښکلا
estimable	0.796	0.408	0.630	د اټکل وړ
estimate	0.719	0.469	0.517	اټکل
estimation	0.740	0.480	0.589	اټکل
estoppel	0.354	0.459	0.482	ایستهپیل
estranged	0.156	0.382	0.377	جلا شوی
estrogen	0.580	0.500	0.425	اسټروجن
estuary	0.469	0.278	0.482	ساحل
etch	0.510	0.367	0.598	نقاشي
etching	0.567	0.491	0.575	نقاشي
eternal	0.854	0.409	0.843	ابدي
eternity	0.765	0.520	0.911	ابدیت
ethanol	0.333	0.410	0.534	ایتانول
ether	0.490	0.306	0.412	آسمان
ethereal	0.520	0.419	0.518	آسماني
ethic	0.786	0.260	0.791	اخلاق
ethical	0.854	0.324	0.634	اخلاقي
ethics	0.658	0.296	0.731	اخلاق
ethnic	0.583	0.373	0.555	قومي
ethnography	0.571	0.373	0.549	توکم پېژندنه
etiology	0.500	0.385	0.639	etiology
etiquette	0.604	0.350	0.421	آداب
etymology	0.531	0.370	0.529	etymology
eucalyptus	0.602	0.308	0.418	eucalyptus
euchre	0.470	0.459	0.442	euchre
eugenics	0.448	0.530	0.518	eugenics
eulogistic	0.740	0.623	0.694	ستاینه
eulogium	0.542	0.482	0.655	یولوژیم
eulogize	0.850	0.518	0.679	ستاینه کول
eulogy	0.625	0.443	0.667	ستاينه
euphemism	0.418	0.453	0.491	خوشالۍ
euphoria	0.769	0.955	0.648	خوشالۍ
euphoric	0.745	0.904	0.588	خوشالۍ
euro	0.680	0.441	0.521	یورو
euthanasia	0.229	0.716	0.325	euthanasia
evacuate	0.354	0.792	0.314	تخلیه
evacuation	0.160	0.755	0.582	ایستل
evade	0.304	0.490	0.342	تیښته
evaluate	0.663	0.640	0.649	ارزونه
evaluation	0.542	0.667	0.764	ارزونه
evanescence	0.527	0.519	0.458	تېښته
evangelical	0.602	0.389	0.602	انجیل
evangelist	0.582	0.464	0.702	مبشر
evangelistic	0.660	0.375	0.612	مبشر
evaporate	0.357	0.469	0.402	تبخیر
evaporation	0.556	0.346	0.388	تبخیر
evasion	0.229	0.510	0.418	تیښته
evasive	0.117	0.596	0.425	تېښته کوونکی
eve	0.612	0.378	0.440	حوا
evening	0.458	0.185	0.318	ماښام
evens	0.592	0.430	0.457	حتی
event	0.745	0.673	0.664	پیښه
eventful	0.543	0.837	0.510	واقعه
eventual	0.633	0.459	0.413	واقعا
eventuality	0.469	0.627	0.527	پیښه
evergreen	0.729	0.471	0.546	تل زرغون
everlasting	0.740	0.413	0.809	تلپاتې
evermore	0.677	0.450	0.403	تل
everyday	0.740	0.392	0.472	هره ورځ
everyman	0.522	0.333	0.535	هر سړی
evict	0.042	0.632	0.377	ایستل
eviction	0.185	0.731	0.455	شړل
evidence	0.500	0.500	0.778	شواهد
evident	0.633	0.444	0.664	ښکاره
evidentiary	0.448	0.541	0.717	ښکاره
evil	0.040	0.827	0.545	بد
evoke	0.438	0.341	0.500	راپارول
evolution	0.781	0.657	0.854	تکامل
evolutionary	0.796	0.673	0.825	تکامل
evolve	0.655	0.692	0.896	پرمختګ
ewe	0.429	0.216	0.277	اووه
ex	0.250	0.520	0.306	مثال
exacerbate	0.323	0.776	0.580	زیاتول
exacerbation	0.344	0.810	0.480	زیاتوالی
exact	0.719	0.354	0.685	دقیق
exacting	0.448	0.673	0.767	دقت کول
exaggerate	0.193	0.760	0.529	مبالغه کول
exaggerated	0.224	0.885	0.732	مبالغه
exaggeration	0.312	0.775	0.582	مبالغه
exalt	0.656	0.750	0.745	لوړول
exaltation	0.594	0.892	0.673	لوړوالی
exalted	0.676	0.845	0.696	لوړ شوی
exam	0.479	0.663	0.577	امتحان
examination	0.378	0.657	0.679	ازموینه
examine	0.615	0.623	0.786	معاینه کول
examiner	0.406	0.575	0.812	معاینه کونکی
example	0.542	0.337	0.510	مثال
exasperated	0.229	0.816	0.377	قهرجن
exasperation	0.214	0.833	0.483	خپګان
excavate	0.583	0.613	0.635	کیندل
excavation	0.540	0.644	0.527	کیندنه
excavator	0.427	0.673	0.649	کیندونکی
exceed	0.500	0.827	0.586	زیات
exceeding	0.500	0.802	0.668	ډیر
excel	0.561	0.363	0.466	Excel
excellence	0.958	0.620	0.907	غوره والی
excellent	0.970	0.587	0.870	عالي
excelsior	0.700	0.625	0.611	غوره
excepting	0.408	0.413	0.526	استثنا
exception	0.469	0.600	0.544	استثنا
exceptional	0.806	0.740	0.933	استثنایی
excerpt	0.437	0.367	0.543	اقتباس
excess	0.385	0.889	0.712	زیات
excessive	0.417	0.731	0.601	ډیر
excessively	0.449	0.882	0.716	ډیر
exchange	0.740	0.569	0.491	تبادله
excise	0.448	0.561	0.577	محصول
excision	0.260	0.480	0.519	تخریب
excitability	0.906	0.910	0.724	جوش
excitable	0.803	0.939	0.629	په زړه پوري
excitation	0.792	0.958	0.750	جوش
excite	0.823	0.950	0.668	هڅول
excited	0.908	0.931	0.709	په زړه پوری
excitement	0.896	0.684	0.731	جوش
exciting	0.950	0.792	0.789	په زړه پوری
exclaim	0.635	0.711	0.639	چیغې وهل
exclamation	0.612	0.745	0.598	عجبه
exclude	0.292	0.500	0.530	خارج کول
excluded	0.061	0.540	0.134	خارج شوی
excluding	0.271	0.550	0.324	پرته
exclusion	0.240	0.530	0.389	اخراج
exclusive	0.792	0.630	0.653	ځانګړې
excrement	0.041	0.558	0.221	اخراج
excretion	0.285	0.650	0.457	اخراج
excruciating	0.083	0.837	0.345	ځوروونکی
excursion	0.625	0.714	0.627	سفر
excuse	0.240	0.696	0.318	عذر
exec	0.640	0.352	0.769	اجرا
execute	0.327	0.708	0.769	اجرا کول
execution	0.160	0.811	0.713	اعدام
executioner	0.235	0.816	0.676	اعدام کونکی
executive	0.704	0.449	0.894	اجراییه
executor	0.365	0.755	0.759	اجرا کوونکی
exegesis	0.458	0.472	0.491	تفسیر
exemplar	0.844	0.537	0.625	بېلګه
exemplary	0.833	0.343	0.729	مثالی
exemplify	0.735	0.506	0.783	بېلګه
exempt	0.588	0.455	0.664	مستثنی
exemption	0.531	0.578	0.627	معافیت
exercise	0.750	0.789	0.625	تمرين
exert	0.694	0.735	0.806	هڅه کول
exertion	0.663	0.755	0.717	زحمت
exhale	0.542	0.490	0.411	تنفس کول
exhaust	0.546	0.710	0.337	اخراج
exhausted	0.123	0.423	0.202	ستړی شوی
exhaustion	0.366	0.633	0.269	ستړیا
exhaustive	0.388	0.635	0.604	بشپړ
exhibit	0.688	0.633	0.708	نندارتون
exhibition	0.698	0.590	0.531	نندارتون
exhilarated	0.890	0.963	0.759	خوشاله
exhilarating	0.917	0.823	0.810	په زړه پوری
exhilaration	0.792	0.868	0.783	خوښي
exhort	0.378	0.660	0.745	نصیحت
exhortation	0.531	0.624	0.580	نصیحت
exhumation	0.177	0.586	0.473	استخراج
exhume	0.184	0.627	0.452	ایستل
exigent	0.385	0.611	0.792	ضروري
exile	0.184	0.630	0.483	جلاوطنی
exist	0.857	0.421	0.788	شتون
existence	0.760	0.513	0.771	وجود
existent	0.635	0.490	0.635	موجود
existential	0.583	0.510	0.638	موجودیت
existing	0.802	0.344	0.750	موجود
exit	0.370	0.353	0.399	وتون
exodus	0.286	0.663	0.567	اخراج
exonerate	0.592	0.500	0.538	معاف کول
exorbitant	0.398	0.865	0.825	بې حده
exorcism	0.163	0.980	0.557	exorcism
exorcist	0.219	0.906	0.716	exorcist
exotic	0.840	0.711	0.727	خارجي
expand	0.792	0.559	0.686	پراخول
expanded	0.760	0.406	0.689	پراخ شوی
expanse	0.594	0.529	0.689	پراخوالی
expansion	0.776	0.618	0.787	پراخول
expansive	0.708	0.650	0.778	پراخه
expatriate	0.265	0.764	0.391	مهاجر
expect	0.469	0.327	0.377	تمه
expectance	0.552	0.724	0.660	تمه
expectancy	0.581	0.622	0.558	تمه
expectant	0.708	0.650	0.474	تمه لرونکی
expectation	0.771	0.690	0.707	تمه
expected	0.729	0.412	0.545	تمه
expecting	0.561	0.450	0.302	تمه
expediency	0.604	0.443	0.703	مصلحت
expedient	0.885	0.461	0.454	ګټور
expedite	0.571	0.858	0.798	ګړندی کول
expedition	0.735	0.802	0.620	سفر
expeditious	0.602	0.645	0.773	ګړندی
expel	0.281	0.725	0.452	اخراج
expendable	0.479	0.490	0.423	د مصرف وړ
expenditure	0.250	0.608	0.603	لګښت
expense	0.317	0.451	0.377	لګښت
expenses	0.240	0.633	0.396	لګښتونه
expensive	0.323	0.540	0.530	ګران
experience	0.827	0.618	0.905	تجربه
experienced	0.771	0.613	0.914	تجربه شوی
experiences	0.793	0.647	0.795	تجربې
experiment	0.479	0.720	0.675	تجربه
experimental	0.417	0.764	0.396	تجربوي
experimentation	0.637	0.769	0.767	تجربه
experimenter	0.708	0.710	0.700	تجربه کونکی
expert	0.776	0.646	0.911	ماهر
expertise	0.792	0.589	0.925	تخصص
expiration	0.265	0.539	0.463	ختمیدل
expire	0.573	0.745	0.702	ختم
expired	0.198	0.394	0.200	ختم شوی
expiry	0.194	0.434	0.382	ختم
explain	0.719	0.517	0.736	تشریح
explanation	0.615	0.610	0.825	وضاحت
explanatory	0.573	0.433	0.688	تشریح کوونکی
expletive	0.357	0.567	0.536	په زړه پوری
explication	0.510	0.445	0.602	تشریح
explicit	0.562	0.694	0.734	ښکاره
explode	0.277	0.885	0.773	چاودنه
exploit	0.312	0.878	0.660	ګټه پورته کول
exploitation	0.156	0.920	0.718	استحصال
exploration	0.594	0.650	0.773	سپړنه
exploratory	0.653	0.690	0.698	سپړنه
explore	0.776	0.660	0.727	سپړنه
explorer	0.729	0.663	0.714	سپړونکی
explosion	0.167	0.960	0.767	چاودنه
explosions	0.123	0.860	0.594	چاودنې
explosive	0.156	0.943	0.663	چاودیدونکی
expo	0.610	0.562	0.500	expo
exponent	0.529	0.510	0.845	توضیح کوونکی
exponential	0.704	0.588	0.763	کفایتي
export	0.567	0.661	0.755	صادرول
exportation	0.760	0.633	0.673	صادرات
expose	0.344	0.643	0.537	افشا کول
exposed	0.471	0.661	0.509	افشا شوی
exposition	0.521	0.627	0.655	نمائش
expository	0.706	0.653	0.636	توضیحي
exposure	0.570	0.830	0.630	په معرض کې یې ولاړېدل
expound	0.438	0.575	0.740	تشریح کول
express	0.760	0.623	0.691	څرګند
expression	0.790	0.650	0.721	بیان
expressive	0.755	0.724	0.685	څرګندونکی
expressway	0.633	0.635	0.587	لوی سړک د تیزو ګاډو لپاره
expropriation	0.188	0.735	0.788	استخراج
expulsion	0.190	0.790	0.529	اخراج
exquisite	0.892	0.644	0.604	عالي
exquisitely	0.849	0.728	0.723	په شانداره توګه
extant	0.646	0.390	0.523	موجود
extend	0.646	0.570	0.689	پراخول
extendable	0.660	0.592	0.722	د تمدید وړ
extended	0.570	0.304	0.649	غځول شوی
extension	0.490	0.510	0.529	تمدید
extensive	0.635	0.520	0.760	پراخه
extent	0.646	0.451	0.602	حد
exterior	0.542	0.400	0.627	بهرنۍ
exterminate	0.177	0.857	0.736	له منځه وړل
