English Word	Valence	Arousal	Dominance	Belarusian Word
delinquent	0.051	0.904	0.500	правапарушальнік
delirious	0.219	0.774	0.538	трызненне
delirium	0.233	0.694	0.484	трызненне
deliver	0.583	0.370	0.582	даставіць
deliverance	0.750	0.520	0.658	збаўленне
delivery	0.704	0.461	0.786	дастаўка
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	дэльта
delude	0.143	0.627	0.353	зман
deluge	0.245	0.714	0.612	патоп
delusion	0.344	0.647	0.400	зман
delusional	0.219	0.745	0.327	ілюзорны
deluxe	0.792	0.612	0.755	люкс
delve	0.469	0.529	0.684	паглыбіцца
demand	0.292	0.673	0.500	попыт
demanding	0.396	0.750	0.828	патрабавальны
demeaned	0.271	0.520	0.212	прыніжаны
demeaning	0.104	0.645	0.308	прыніжаючы
demeanor	0.633	0.433	0.657	паводзіны
demented	0.088	0.787	0.309	вар'ят
dementia	0.092	0.779	0.337	дэменцыя
demise	0.104	0.596	0.456	гібель
demo	0.510	0.314	0.423	дэма
democracy	0.680	0.500	0.840	дэмакратыя
democrat	0.582	0.400	0.755	дэмакрат
democratic	0.802	0.519	0.798	дэмакратычны
demographic	0.459	0.356	0.594	дэмаграфічны
demolish	0.125	0.632	0.700	знесці
demolished	0.271	0.647	0.353	знесены
demolition	0.133	0.827	0.541	знос
demon	0.037	0.908	0.509	дэман
demonic	0.146	0.875	0.600	дэманічны
demonstrable	0.735	0.471	0.749	даказальна
demonstrate	0.771	0.552	0.839	прадэманстраваць
demonstrated	0.617	0.500	0.649	прадэманстраваны
demonstrating	0.698	0.571	0.693	дэманструючы
demonstration	0.551	0.676	0.679	дэманстрацыя
demonstrative	0.656	0.528	0.736	дэманстратыўная
demonstrator	0.520	0.598	0.733	дэманстратар
demoralized	0.082	0.590	0.149	дэмаралізаваны
demos	0.418	0.370	0.368	дэманстрацыі
demure	0.690	0.315	0.417	стрымана
den	0.510	0.347	0.398	логава
deniability	0.230	0.509	0.417	адмаўленне
denial	0.194	0.435	0.318	адмаўленне
denied	0.188	0.604	0.333	адмоўлена
denim	0.520	0.382	0.327	дэнім
denomination	0.490	0.363	0.429	дэнамінацыя
denominational	0.458	0.375	0.679	канфесійная
denominator	0.450	0.410	0.613	назоўнік
denote	0.448	0.471	0.534	пазначаюць
denounce	0.083	0.780	0.426	дэнансаваць
dense	0.354	0.343	0.536	шчыльны
density	0.602	0.471	0.561	шчыльнасць
dent	0.306	0.606	0.325	ўвагнутасць
dental	0.573	0.404	0.463	стаматалагічны
dentist	0.479	0.620	0.642	стаматолаг
dentistry	0.429	0.570	0.569	стаматалогія
dentists	0.364	0.600	0.582	стаматолагі
denunciation	0.146	0.830	0.561	данос
deny	0.316	0.667	0.321	адмаўляць
denying	0.080	0.542	0.272	адмаўляючы
deodorant	0.480	0.265	0.269	дэзадарант
depart	0.398	0.480	0.444	ад'язджаць
departed	0.245	0.536	0.391	адышоў
department	0.708	0.358	0.642	аддзел
departmental	0.612	0.422	0.446	ведамасны
departure	0.573	0.500	0.426	ад'езд
depend	0.388	0.429	0.358	залежаць
dependable	0.880	0.357	0.741	надзейны
dependant	0.357	0.404	0.451	залежны
dependence	0.250	0.451	0.433	залежнасць
dependency	0.429	0.365	0.356	залежнасць
dependent	0.354	0.455	0.404	залежны
depict	0.663	0.529	0.723	адлюстраваць
depicting	0.490	0.566	0.602	адлюстроўваючы
depletion	0.153	0.370	0.236	знясіленне
deplorable	0.135	0.657	0.230	варты жалю
deplore	0.135	0.575	0.373	шкадаваць
deploy	0.500	0.520	0.585	разгарнуць
deployment	0.510	0.520	0.612	разгортванне
deport	0.167	0.667	0.546	дэпартаваць
deportation	0.104	0.786	0.450	дэпартацыя
depose	0.286	0.420	0.451	скінуць
deposit	0.540	0.379	0.483	дэпазіт
depositary	0.604	0.431	0.500	дэпазітарый
deposition	0.394	0.510	0.471	адклад
depository	0.551	0.373	0.481	дэпазітарый
depot	0.635	0.255	0.471	дэпо
depraved	0.031	0.837	0.395	разбэшчаны
depravity	0.115	0.854	0.453	разбэшчанасць
depreciate	0.270	0.623	0.445	абясцэньвацца
depreciated	0.135	0.672	0.250	абясцэнены
depreciation	0.143	0.571	0.386	амартызацыя
depress	0.219	0.635	0.528	прыгнятаць
depressed	0.024	0.445	0.136	дэпрэсіўны
depressing	0.146	0.559	0.216	дэпрэсіўны
depression	0.031	0.520	0.232	дэпрэсія
depressive	0.143	0.434	0.202	дэпрэсіўны
depresson	0.135	0.400	0.308	дэпрэсія
deprivation	0.194	0.610	0.413	пазбаўлення
deprive	0.271	0.591	0.340	пазбаўляць
deprived	0.354	0.506	0.536	пазбаўлены
depth	0.708	0.561	0.759	глыбіня
deputy	0.429	0.530	0.787	намеснік
derail	0.108	0.802	0.375	сысці з каляіны
deranged	0.376	0.868	0.357	звар'яцелы
derelict	0.208	0.470	0.237	закінутыя
derision	0.265	0.670	0.292	насмешка
derivation	0.521	0.519	0.644	вывад
derivative	0.541	0.491	0.508	вытворная
derive	0.396	0.324	0.360	атрымаць
dermal	0.385	0.406	0.443	скурныя
dermatologist	0.531	0.358	0.528	дэрматолаг
dermatology	0.422	0.500	0.556	дэрматалогія
derogation	0.208	0.460	0.327	адступленне
derogatory	0.122	0.580	0.404	прыніжальна
descend	0.385	0.535	0.231	спускацца
descendant	0.684	0.420	0.625	нашчадак
descendent	0.391	0.480	0.565	нашчадак
descending	0.219	0.493	0.250	сыходны
descent	0.300	0.402	0.158	спуск
describe	0.542	0.472	0.555	апісаць
description	0.582	0.425	0.596	апісанне
descriptive	0.667	0.352	0.570	апісальны
desecrate	0.255	0.806	0.509	апаганіць
desecration	0.125	0.833	0.564	апаганьванне
desert	0.469	0.279	0.389	пустыня
deserted	0.156	0.480	0.214	бязлюдны
deserter	0.122	0.710	0.366	дэзерцір
desertion	0.122	0.630	0.289	дэзерцірства
deserve	0.802	0.436	0.613	заслугоўваюць
deserved	0.781	0.582	0.689	заслужылі
deserving	0.802	0.596	0.858	заслугоўваюць
design	0.796	0.327	0.632	дызайн
designate	0.531	0.538	0.683	пазначыць
designated	0.500	0.412	0.616	прызначаны
designation	0.612	0.571	0.675	абазначэнне
designed	0.745	0.380	0.595	распрацаваны
designer	0.875	0.519	0.670	дызайнер
designing	0.792	0.355	0.552	праектаванне
desirability	0.684	0.550	0.675	пажаданасць
desirable	0.740	0.735	0.750	пажадана
desire	0.896	0.692	0.647	жаданне
desiring	0.814	0.821	0.632	жадаючы
desirous	0.719	0.824	0.562	жадаючыя
desist	0.220	0.358	0.291	адмовіцца
desk	0.510	0.135	0.422	стол
desolate	0.104	0.320	0.228	бязлюдны
desolation	0.073	0.481	0.273	запусценне
despair	0.115	0.794	0.245	адчай
despairing	0.073	0.735	0.286	у роспачы
despatch	0.448	0.400	0.613	адпраўка
desperado	0.260	0.745	0.361	адчайны
desperate	0.083	0.842	0.337	адчайны
desperation	0.125	0.904	0.419	адчай
despicable	0.146	0.710	0.255	подлы
despise	0.167	0.745	0.296	пагарджаць
despondent	0.133	0.378	0.221	засмучаны
despotic	0.141	0.824	0.592	дэспатычны
despotism	0.255	0.696	0.620	дэспатызм
dessert	0.755	0.491	0.404	дэсерт
destination	0.708	0.471	0.637	прызначэння
destined	0.698	0.462	0.617	наканавана
destiny	0.781	0.413	0.611	лёс
destitute	0.130	0.451	0.222	абяздолены
destroy	0.046	0.935	0.635	знішчыць
destroyed	0.031	0.696	0.288	разбураны
destroyer	0.083	0.830	0.543	эсмінец
destroying	0.041	0.828	0.660	знішчаючы
destruct	0.071	0.868	0.525	знішчаць
destruction	0.102	0.929	0.613	разбурэнне
destructive	0.177	0.870	0.713	разбуральны
detach	0.357	0.625	0.450	адлучыць
detached	0.280	0.396	0.216	адасоблены
detachment	0.243	0.700	0.443	атрад
detail	0.514	0.406	0.528	дэталь
detailed	0.603	0.314	0.472	падрабязна
details	0.583	0.367	0.481	дэталі
detain	0.351	0.345	0.430	затрымаць
detainee	0.306	0.510	0.321	затрыманы
detect	0.531	0.520	0.565	выяўляць
detectable	0.479	0.539	0.649	выяўляецца
detection	0.708	0.567	0.538	выяўленне
detective	0.500	0.764	0.901	дэтэктыў
detector	0.459	0.630	0.724	дэтэктар
detention	0.265	0.698	0.562	затрыманне
deter	0.344	0.537	0.567	стрымліваць
detergent	0.458	0.304	0.426	мыйны сродак
deteriorate	0.083	0.471	0.202	пагаршацца
deteriorated	0.053	0.549	0.237	пагоршыўся
deteriorating	0.104	0.459	0.112	пагаршаецца
deterioration	0.130	0.512	0.283	пагаршэнне стану
determinable	0.625	0.565	0.723	вызначальны
determinate	0.630	0.314	0.772	дэтэрмінаваць
determination	0.776	0.725	0.795	рашучасць
determine	0.612	0.368	0.776	вызначыць
determined	0.760	0.528	0.673	вызначаецца
deterrent	0.292	0.461	0.385	стрымліваючым сродкам
detest	0.083	0.800	0.492	ненавідзець
detestation	0.177	0.637	0.412	агіда
detonate	0.375	0.850	0.696	дэтанаваць
detonation	0.167	0.931	0.741	дэтанацыя
detonator	0.207	0.875	0.750	дэтанатар
detour	0.398	0.539	0.309	аб'езд
detract	0.344	0.438	0.368	прыніжаць
detriment	0.281	0.538	0.263	шкода
detrimental	0.203	0.679	0.387	шкодны
detritus	0.276	0.353	0.363	дэтрытам
deuce	0.479	0.338	0.425	двойка
deutschmark	0.439	0.431	0.509	нямецкая марка
devalued	0.321	0.462	0.212	дэвальваваны
devastate	0.021	0.796	0.509	спустошыць
devastated	0.120	0.544	0.264	спустошаны
devastating	0.104	0.856	0.419	разбуральны
devastation	0.090	0.904	0.472	спусташэнне
develop	0.771	0.670	0.821	развівацца
developer	0.844	0.653	0.864	распрацоўшчык
developing	0.833	0.587	0.714	развіваецца
development	0.827	0.500	0.796	развіццё
deviant	0.094	0.589	0.398	дэвіянтны
deviate	0.173	0.562	0.269	адхіляцца
deviating	0.354	0.634	0.536	адхіляючыся
deviation	0.105	0.513	0.336	адхіленне
device	0.562	0.404	0.627	прылада
devil	0.161	0.900	0.611	д'ябал
deviled	0.347	0.559	0.358	чортавы
devilish	0.073	0.865	0.490	д'ябальскі
devious	0.250	0.519	0.259	падступны
devise	0.551	0.557	0.670	прыдумаць
devoid	0.219	0.436	0.300	пазбаўлены
devolution	0.345	0.434	0.425	дэвалюцыя
devolve	0.367	0.427	0.596	перадаць
devote	0.802	0.490	0.642	прысвяціць
devoted	0.867	0.320	0.698	адданы
devotee	0.816	0.461	0.577	адданы
devotion	0.802	0.561	0.673	адданасць
devotional	0.740	0.394	0.655	адданае
devour	0.344	0.888	0.574	пажыраць
devout	0.620	0.357	0.464	набожны
dew	0.604	0.225	0.464	раса
dexter	0.458	0.473	0.444	спрытны
dexterity	0.771	0.673	0.864	спрыт
dextrose	0.333	0.402	0.323	декстроза
diabetes	0.051	0.472	0.279	цукровы дыябет
diabetic	0.125	0.269	0.237	дыябетычны
diabolical	0.102	0.912	0.456	д'ябальскі
diagnose	0.378	0.520	0.714	дыягнаставаць
diagnosis	0.571	0.500	0.819	дыягностыка
diagnostic	0.417	0.483	0.635	дыягнастычны
diagnostics	0.540	0.440	0.750	дыягностыка
diagonal	0.500	0.343	0.410	дыяганаль
diagram	0.562	0.357	0.445	дыяграма
dial	0.620	0.427	0.596	дыял
dialect	0.635	0.422	0.526	дыялект
dialectic	0.510	0.540	0.638	дыялектыка
dialogue	0.599	0.441	0.625	дыялогу
dialysis	0.194	0.567	0.407	дыяліз
diameter	0.427	0.298	0.483	дыяметр
diamond	0.910	0.606	0.769	дыямент
diamonds	0.927	0.684	0.917	брыльянты
diaper	0.409	0.274	0.155	падгузнік
diaphragm	0.459	0.337	0.517	дыяфрагма
diarrhea	0.092	0.684	0.143	дыярэя
diarrhoea	0.038	0.692	0.250	дыярэя
diary	0.698	0.292	0.464	дзённік
diatribe	0.354	0.569	0.409	дыятрыба
dib	0.479	0.370	0.344	дыб
dibs	0.510	0.410	0.391	дыб
dice	0.458	0.441	0.264	косткі
dicey	0.290	0.833	0.727	рызыкоўны
dichotomous	0.365	0.452	0.538	дыхатамічны
dichotomy	0.323	0.482	0.483	дыхатамія
dick	0.208	0.500	0.462	хуй
dickhead	0.115	0.608	0.284	дурань
dicks	0.310	0.694	0.358	члены
dictate	0.480	0.423	0.668	дыктаваць
dictation	0.255	0.378	0.627	дыктоўка
dictator	0.073	0.760	0.862	дыктатар
dictatorial	0.204	0.770	0.840	дыктатарскі
dictatorship	0.082	0.806	0.784	дыктатура
diction	0.439	0.373	0.679	дыкцыя
dictionary	0.620	0.250	0.598	слоўнік
dictum	0.385	0.510	0.528	выказванне
didactic	0.645	0.480	0.673	дыдактычны
diddle	0.429	0.566	0.393	важдацца
die	0.031	0.765	0.259	памерці
died	0.021	0.650	0.327	памёр
diesel	0.490	0.327	0.448	дызель
diet	0.429	0.235	0.398	дыета
dietary	0.551	0.220	0.261	дыетычны
differ	0.230	0.398	0.396	адрозніваюцца
difference	0.474	0.560	0.483	розніца
differences	0.365	0.582	0.342	адрозненні
different	0.612	0.394	0.473	розныя
differential	0.520	0.378	0.535	дыферэнцыял
differentiation	0.367	0.561	0.535	дыферэнцыяцыя
differently	0.480	0.431	0.506	па-рознаму
differing	0.418	0.410	0.455	адрозніваюцца
difficult	0.235	0.700	0.508	цяжка
difficulties	0.082	0.784	0.357	цяжкасці
difficulty	0.079	0.740	0.368	цяжкасць
diffuse	0.430	0.431	0.321	дыфузны
diffusion	0.356	0.615	0.517	дыфузія
dig	0.367	0.585	0.637	капаць
digest	0.720	0.413	0.483	дайджэст
digestion	0.531	0.410	0.455	страваванне
digestive	0.542	0.413	0.434	стрававальны
digit	0.447	0.286	0.333	лічба
digital	0.740	0.382	0.529	лічбавы
dignified	0.766	0.481	0.635	годна
dignify	0.854	0.588	0.735	прыносіць годнасць
dignity	0.844	0.391	0.873	годнасць
digress	0.271	0.625	0.411	адступленне
digs	0.448	0.670	0.635	капае
dike	0.360	0.384	0.490	дамба
dilapidated	0.229	0.618	0.286	напаўразбураны
dilatation	0.385	0.574	0.368	пашырэнне
dilation	0.347	0.490	0.578	пашырэнне
dildo	0.536	0.587	0.491	фалаімітатар
dilemma	0.153	0.590	0.430	дылема
diligence	0.688	0.423	0.700	працавітасць
diligent	0.760	0.426	0.759	руплівы
dill	0.427	0.360	0.373	кропу
diluent	0.417	0.344	0.332	разбаўляльнік
dilute	0.275	0.192	0.349	разбавіць
diluted	0.469	0.310	0.229	разведзены
dilution	0.445	0.337	0.352	развядзенне
dim	0.398	0.321	0.273	цьмяны
dime	0.653	0.317	0.345	капейкі
dimension	0.592	0.415	0.627	вымярэнне
dimensional	0.561	0.484	0.596	габарытныя
diminish	0.240	0.357	0.167	змяншацца
diminished	0.156	0.269	0.196	паменшылася
diminution	0.316	0.296	0.245	памяншэнне
diminutive	0.323	0.200	0.109	памяншальна-ласкальнае
dimwit	0.255	0.459	0.175	дурань
din	0.440	0.417	0.398	дын
dine	0.821	0.519	0.478	абедаць
diner	0.643	0.302	0.538	закусачная
dinghy	0.510	0.269	0.325	лодка
dingo	0.608	0.472	0.346	Дынга
dingy	0.156	0.483	0.343	брудны
dining	0.724	0.350	0.459	сталовая
dinky	0.357	0.451	0.358	дзікі
dinner	0.823	0.392	0.379	вячэра
dinnertime	0.796	0.406	0.341	час абеду
dinosaur	0.448	0.630	0.596	дыназаўр
dint	0.378	0.480	0.492	увагнутасць
diocesan	0.520	0.283	0.518	дыяцэзіяльны
diocese	0.510	0.288	0.575	дыяцэзія
diorama	0.592	0.441	0.462	дыярама
dioxide	0.354	0.433	0.456	дыяксід
dip	0.516	0.583	0.397	акунуць
diploma	0.750	0.462	0.731	дыплом
diplomacy	0.740	0.396	0.774	дыпламатыі
diplomat	0.563	0.262	0.868	дыпламат
diplomatic	0.653	0.363	0.918	дыпламатычны
dipper	0.548	0.361	0.348	каўшы
dippy	0.430	0.402	0.340	дыпі
dipstick	0.365	0.312	0.316	щуп
dire	0.214	0.660	0.259	страшны
direct	0.793	0.403	0.650	прамыя
directed	0.542	0.490	0.541	накіраваны
direction	0.719	0.330	0.684	кірунак
directive	0.604	0.530	0.918	дырэктыва
directly	0.747	0.400	0.702	непасрэдна
director	0.688	0.580	0.912	дырэктар
directory	0.439	0.413	0.538	каталог
dirt	0.112	0.500	0.236	бруд
dirty	0.153	0.460	0.170	брудны
disability	0.073	0.482	0.173	інваліднасць
disable	0.115	0.430	0.269	адключыць
disabled	0.308	0.443	0.235	адключаны
disadvantage	0.150	0.377	0.282	недахоп
disaffected	0.176	0.410	0.291	незадаволены
disagree	0.133	0.590	0.345	не згодны
disagreeable	0.042	0.643	0.178	нязгодны
disagreeing	0.255	0.643	0.350	нязгодны
disagreement	0.104	0.618	0.236	нязгода
disallow	0.156	0.519	0.424	забараніць
disallowed	0.135	0.500	0.328	забаронены
disapointment	0.104	0.418	0.231	расчараванне
disappear	0.143	0.441	0.350	знікнуць
disappearance	0.214	0.698	0.367	знікненне
disappearing	0.167	0.427	0.379	знікаючы
disappoint	0.150	0.633	0.288	расчараваць
disappointed	0.071	0.472	0.241	расчараваны
disappointing	0.073	0.640	0.200	расчараванне
disappointment	0.115	0.490	0.336	расчараванне
disapproval	0.085	0.551	0.367	непрыняцце
disapprove	0.160	0.594	0.445	не ўхваляць
disapproved	0.104	0.550	0.114	не ўхвалены
disapproving	0.245	0.625	0.452	няўхвальна
disarm	0.292	0.528	0.613	раззброіць
disarray	0.198	0.657	0.223	беспарадак
disaster	0.082	0.892	0.433	катастрофа
disastrous	0.071	0.741	0.439	катастрафічны
disband	0.302	0.491	0.417	расфармаваць
disbelief	0.188	0.409	0.373	нявер'е
disbelieve	0.188	0.441	0.352	не верыць
disburse	0.418	0.473	0.353	выплачваць
disbursement	0.240	0.443	0.435	выплата
disc	0.622	0.410	0.426	дыск
discard	0.240	0.343	0.337	выкінуць
discarded	0.229	0.460	0.308	выкінуты
discards	0.240	0.464	0.391	адкідае
discern	0.459	0.566	0.518	распазнаваць
discernible	0.427	0.441	0.481	прыкметна
discerning	0.542	0.584	0.780	разборлівы
discernment	0.408	0.471	0.694	праніклівасць
discharge	0.427	0.538	0.578	разрад
disciple	0.765	0.385	0.462	вучань
disciplinary	0.562	0.593	0.796	дысцыплінарны
discipline	0.615	0.471	0.806	дысцыплінаванасць
disciplined	0.728	0.450	0.750	дысцыплінаваны
disclaim	0.235	0.509	0.321	адмовіцца ад адказнасці
disclaimer	0.367	0.571	0.542	адмова ад адказнасці
disclose	0.490	0.570	0.545	раскрываць
disclosed	0.271	0.575	0.546	раскрыты
disclosure	0.500	0.615	0.710	раскрыццё
disco	0.710	0.806	0.575	дыскатэка
discoloration	0.224	0.373	0.414	змяненне колеру
discolored	0.204	0.340	0.269	абескаляроўваецца
discomfort	0.153	0.719	0.272	дыскамфорт
disconcerted	0.100	0.612	0.288	збянтэжаны
disconcerting	0.106	0.549	0.269	бянтэжыць
disconnect	0.438	0.292	0.191	адключыцца
disconnected	0.292	0.276	0.173	адключаны
disconnection	0.167	0.283	0.277	адключэнне
disconnects	0.256	0.357	0.241	адключае
discontent	0.240	0.530	0.263	незадаволенасць
discontinuance	0.123	0.741	0.337	спыненне
discontinue	0.354	0.396	0.349	спыніць
discontinuity	0.303	0.439	0.250	разрывістасць
discontinuous	0.233	0.409	0.316	перарывісты
discord	0.115	0.882	0.465	разлад
discount	0.724	0.530	0.302	зніжка
discounted	0.677	0.471	0.430	са зніжкай
discourage	0.184	0.443	0.267	адгаворваць
discouraged	0.220	0.304	0.090	знеахвоціўся
discouragement	0.112	0.319	0.206	знясіленне духу
discouraging	0.167	0.469	0.281	знеахвочваючы
discourse	0.410	0.550	0.803	дыскурс
discover	0.771	0.793	0.673	выявіць
discovery	0.823	0.627	0.814	адкрыццё
discredit	0.075	0.529	0.355	дыскрэдытацыя
discredited	0.112	0.491	0.182	дыскрэдытаваны
discreet	0.552	0.216	0.532	стрыманы
discrepancy	0.260	0.643	0.417	неадпаведнасць
discrete	0.585	0.231	0.429	дыскрэтны
discretion	0.552	0.320	0.685	меркаванне
discretionary	0.520	0.365	0.446	дыскрэцыйны
discriminate	0.125	0.761	0.366	дыскрымінаваць
discriminating	0.160	0.783	0.462	дыскрымінацыйны
discrimination	0.051	0.724	0.379	дыскрымінацыя
discus	0.542	0.423	0.343	дыскус
discuss	0.396	0.769	0.509	абмяркоўваць
discussion	0.333	0.842	0.536	абмеркаванне
disdain	0.153	0.446	0.441	пагарджаць
disdainful	0.097	0.480	0.263	пагардлівы
disease	0.041	0.539	0.333	хвароба
diseased	0.123	0.510	0.134	хворы
disembodied	0.167	0.620	0.412	бесцялесны
disengage	0.406	0.529	0.304	адчапіцца
disengagement	0.327	0.373	0.395	раз'яднанне
disfigured	0.153	0.613	0.336	знявечаны
disgrace	0.061	0.531	0.331	ганьба
disgraced	0.071	0.661	0.250	зганьбаваны
disgraceful	0.082	0.702	0.240	ганебны
disgruntled	0.104	0.658	0.442	незадаволены
disguise	0.573	0.694	0.431	маскіроўка
disguised	0.500	0.615	0.326	замаскіраваны
disgust	0.052	0.775	0.317	агіда
disgusted	0.051	0.773	0.274	агідна
disgusting	0.031	0.796	0.245	агідны
dish	0.552	0.255	0.264	страва
disheartened	0.153	0.343	0.238	знявераны
disheartening	0.010	0.353	0.224	сумна
dishonest	0.191	0.491	0.163	несумленны
dishonesty	0.094	0.592	0.348	несумленнасць
dishonor	0.104	0.620	0.185	ганьба
dishonorable	0.112	0.641	0.280	неганаровы
dishwasher	0.480	0.296	0.324	пасудамыйка
disillusionment	0.051	0.519	0.190	расчараванне
disinclination	0.125	0.491	0.330	нежаданне
disincline	0.458	0.454	0.278	нясхільнасць
disinclined	0.385	0.442	0.364	нясхільны
disinfect	0.448	0.388	0.648	дэзінфікаваць
disinfectant	0.531	0.429	0.460	дэзінфікуе сродак
disinfection	0.517	0.556	0.473	дэзінфекцыя
disinformation	0.230	0.577	0.260	дэзінфармацыя
disingenuous	0.194	0.509	0.204	няшчыры
disintegrate	0.143	0.660	0.364	распадацца
disintegration	0.094	0.551	0.381	распад
disinterested	0.398	0.284	0.392	бескарыслівы
disjoint	0.351	0.385	0.322	раз'яднацца
disjointed	0.323	0.518	0.365	раз'яднаны
disjunctive	0.286	0.481	0.400	раз'яднаўчы
disk	0.573	0.423	0.412	дыск
diskette	0.531	0.255	0.391	дыскета
dislike	0.156	0.406	0.321	нелюбоў
disliked	0.062	0.510	0.221	не спадабаўся
disliking	0.163	0.637	0.366	нелюбоў
dislocated	0.125	0.625	0.200	вывіхнуць
dislocation	0.229	0.565	0.373	вывіх
dislodge	0.214	0.769	0.356	выбіць
disloyal	0.062	0.582	0.245	нелаяльны
disloyalty	0.187	0.716	0.267	нелаяльнасць
dismal	0.194	0.450	0.192	змрочны
dismantle	0.347	0.644	0.462	дэмантаваць
dismay	0.314	0.681	0.459	расчараванне
dismayed	0.165	0.735	0.389	збянтэжаны
dismemberment	0.104	0.860	0.470	расчляненне
dismiss	0.167	0.541	0.509	звольніць
dismissal	0.153	0.723	0.271	звальненне
dismissive	0.188	0.541	0.430	грэбліва
dismount	0.361	0.423	0.391	спешыцца
disobedience	0.051	0.868	0.369	непаслушэнства
disobedient	0.276	0.706	0.353	непаслухмяны
disobey	0.143	0.556	0.491	не падпарадкоўвацца
disorder	0.115	0.816	0.218	засмучэнне
disordered	0.210	0.714	0.288	неўпарадкаваны
disorderly	0.188	0.748	0.385	бязладна
disorganized	0.052	0.507	0.184	неарганізавана
disorientation	0.163	0.472	0.212	дэзарыентацыя
disoriented	0.227	0.643	0.227	дэзарыентаваны
disown	0.153	0.637	0.368	адмаўляцца
disparage	0.092	0.663	0.336	зневажаць
disparaging	0.102	0.626	0.411	грэбліва
disparate	0.438	0.500	0.368	разрозненыя
disparity	0.208	0.482	0.361	дыспрапорцыя
dispassionate	0.199	0.217	0.218	бесстрасны
dispatch	0.317	0.417	0.555	адпраўка
dispatcher	0.365	0.704	0.652	дыспетчар
dispel	0.388	0.402	0.411	развеяць
dispensary	0.406	0.380	0.606	дыспансер
dispensation	0.388	0.462	0.490	дыспенсія
dispense	0.561	0.520	0.518	дазаваць
dispenser	0.583	0.392	0.470	дазатар
dispersal	0.388	0.507	0.421	разгон
disperse	0.375	0.569	0.434	разысціся
dispersed	0.344	0.490	0.274	рассеяны
dispersion	0.270	0.604	0.350	дысперсія
dispirited	0.204	0.280	0.142	прыгнечаны
displace	0.424	0.541	0.454	выцесніць
displaced	0.281	0.472	0.291	выцясняецца
displacement	0.276	0.531	0.481	водазмяшчэнне
displacency	0.500	0.528	0.642	выцясненне
display	0.677	0.325	0.400	дысплей
displease	0.021	0.702	0.286	незадавальненне
displeased	0.135	0.690	0.400	незадаволены
displeasure	0.115	0.559	0.250	незадаволенасць
disposable	0.271	0.439	0.250	аднаразовы
disposal	0.135	0.608	0.396	утылізацыя
dispose	0.548	0.538	0.559	распараджацца
disposed	0.688	0.441	0.625	утылізаваны
disposition	0.663	0.542	0.734	дыспазіцыя
dispossessed	0.354	0.577	0.331	раскулачаны
disprove	0.375	0.625	0.613	абвяргаць
dispute	0.219	0.750	0.585	спрэчка
disqualification	0.066	0.677	0.330	дыскваліфікацыя
disqualified	0.129	0.464	0.232	дыскваліфікаваны
disqualify	0.208	0.595	0.267	дыскваліфікаваць
disquieted	0.229	0.850	0.290	занепакоены
disregard	0.177	0.647	0.308	ігнараванне
disregarded	0.260	0.458	0.283	ігнараваць
disrelish	0.375	0.471	0.304	непрыязнасць
disreputable	0.104	0.688	0.353	несамастойны
disrepute	0.208	0.630	0.292	дрэнная рэпутацыя
disrespect	0.062	0.637	0.302	непавага
disrespectful	0.031	0.694	0.273	непаважліва
disrupt	0.265	0.640	0.349	парушыць
disrupting	0.186	0.557	0.339	парушаючы
disruption	0.235	0.735	0.436	парушэнне
disruptive	0.255	0.755	0.575	разбуральны
dissatisfaction	0.115	0.663	0.202	незадаволенасць
dissatisfied	0.042	0.561	0.291	незадаволены
dissect	0.367	0.750	0.595	рассякаць
dissection	0.276	0.632	0.462	рассяканне
disseminate	0.562	0.608	0.750	распаўсюджваць
dissemination	0.476	0.551	0.583	распаўсюджванне
dissension	0.250	0.618	0.414	разлад
dissent	0.300	0.655	0.407	іншадумства
dissenting	0.208	0.552	0.366	іншадумства
dissertation	0.312	0.575	0.575	дысертацыя
disservice	0.250	0.794	0.480	мядзведжая паслуга
dissident	0.350	0.582	0.413	дысідэнт
dissimilar	0.276	0.461	0.472	непадобныя
dissipate	0.385	0.368	0.355	рассейвацца
dissipated	0.281	0.421	0.231	рассеяны
dissociation	0.135	0.555	0.471	дысацыяцыя
dissociative	0.281	0.615	0.397	дысацыятыўны
dissolution	0.204	0.464	0.349	растварэнне
dissolve	0.271	0.490	0.410	раствараць
dissonance	0.173	0.471	0.336	дысананс
dissuade	0.482	0.500	0.350	адгаворваць
distal	0.410	0.401	0.438	дыстальны
distance	0.233	0.317	0.418	адлегласць
distant	0.229	0.324	0.269	далёкі
distaste	0.184	0.625	0.370	агіда
distasteful	0.264	0.676	0.222	нясмачны
distillate	0.500	0.347	0.382	дыстылят
distillation	0.396	0.436	0.575	дыстыляцыі
distilled	0.427	0.573	0.500	дыстыляваны
distinct	0.542	0.578	0.509	адрозны
distinction	0.584	0.571	0.750	адрозненне
distinctive	0.885	0.520	0.604	адметны
distinguish	0.675	0.471	0.600	адрозніваць
distinguishable	0.635	0.530	0.727	адрозны
distinguished	0.823	0.593	0.759	адметны
distinguishing	0.622	0.363	0.640	адрозніваючы
distort	0.100	0.740	0.366	скажаць
distorted	0.250	0.521	0.280	скажоны
distortion	0.299	0.570	0.380	скажэнне
distract	0.241	0.609	0.336	адцягнуць
distracted	0.194	0.392	0.213	рассеяны
