English Word	Valence	Arousal	Dominance	Urdu Word
attract	0.796	0.663	0.769	اپنی طرف متوجہ
attraction	0.906	0.774	0.712	کشش
attractive	0.906	0.630	0.769	پر کشش
attractiveness	0.938	0.667	0.755	کشش
attributable	0.704	0.430	0.527	منسوب
attribute	0.781	0.439	0.795	وصف
attribution	0.646	0.467	0.658	انتساب
attrition	0.229	0.540	0.259	تناؤ
auburn	0.510	0.240	0.411	آبرن
auction	0.594	0.702	0.519	نیلامی
auctioneer	0.542	0.732	0.716	نیلام کرنے والا
audacious	0.740	0.875	0.825	بہادر
audacity	0.760	0.755	0.916	دلیری
audible	0.673	0.370	0.462	سنائی دیتی
audience	0.698	0.610	0.613	سامعین
audio	0.709	0.425	0.370	آڈیو
audit	0.375	0.562	0.735	آڈٹ
audition	0.750	0.685	0.615	آڈیشن
auditions	0.740	0.765	0.596	آڈیشن
auditor	0.582	0.571	0.726	آڈیٹر
auditorium	0.529	0.490	0.538	آڈیٹوریم
auditory	0.531	0.481	0.570	سمعی
aught	0.418	0.135	0.217	کچھ
augment	0.650	0.683	0.645	بڑھانا
augmentation	0.714	0.613	0.850	اضافہ
august	0.652	0.292	0.462	اگست
aunt	0.667	0.291	0.420	خالہ
auntie	0.643	0.275	0.447	آنٹی
aura	0.760	0.333	0.500	چمک
aurora	0.817	0.306	0.537	ارورہ
auspices	0.542	0.500	0.634	امداد
auspicious	0.562	0.635	0.669	مبارک
austere	0.500	0.390	0.422	سختی
austerity	0.438	0.406	0.534	سادگی
authentic	0.885	0.510	0.782	مستند
authenticate	0.833	0.480	0.789	تصدیق
authentication	0.724	0.491	0.750	تصدیق
authenticity	0.670	0.548	0.845	صداقت
author	0.775	0.343	0.749	مصنف
authoritative	0.636	0.520	0.890	مستند
authority	0.592	0.592	0.934	اقتدار
authorization	0.521	0.567	0.817	اجازت
authorize	0.772	0.596	0.821	اجازت دینا
authorized	0.760	0.458	0.815	مجاز
authorship	0.667	0.635	0.773	تصنیف
autism	0.235	0.500	0.447	آٹزم
autistic	0.367	0.337	0.404	آٹسٹک
auto	0.571	0.569	0.500	آٹو
autobiographical	0.909	0.462	0.582	خودنوشت
autobiography	0.735	0.284	0.629	خود نوشت
autocorrect	0.551	0.439	0.616	خود بخود درست
autocratic	0.542	0.577	0.727	آمرانہ
autograph	0.735	0.565	0.473	آٹوگراف
autographed	0.781	0.620	0.625	آٹوگراف
automated	0.578	0.402	0.632	خودکار
automatic	0.562	0.433	0.664	خودکار
automobile	0.753	0.625	0.534	گاڑی
automotive	0.656	0.520	0.577	آٹوموٹو
autonomy	0.781	0.349	0.891	خودمختاری
autopilot	0.594	0.462	0.632	آٹو پائلٹ
autopsy	0.252	0.650	0.538	پوسٹ مارٹم
autumn	0.765	0.204	0.450	خزاں
auxiliary	0.622	0.471	0.509	معاون
avail	0.800	0.430	0.603	فائدہ
availability	0.796	0.544	0.600	دستیابی
available	0.844	0.356	0.623	دستیاب
avalanche	0.265	0.915	0.683	برفانی تودہ
avarice	0.198	0.726	0.352	لالچ
avatar	0.633	0.410	0.567	اوتار
avenge	0.073	0.867	0.559	بدلہ
avenger	0.337	0.865	0.670	بدلہ لینے والا
avenging	0.143	0.880	0.717	بدلہ لینا
avenue	0.677	0.360	0.377	گلی
aver	0.492	0.450	0.393	aver
average	0.684	0.280	0.455	اوسط
aversation	0.582	0.442	0.432	نفرت
averse	0.253	0.569	0.492	مخالف
averseness	0.296	0.606	0.528	نفرت
aversion	0.074	0.663	0.525	نفرت
avert	0.510	0.388	0.465	ٹالنا
aviary	0.500	0.360	0.467	aviary
aviation	0.708	0.646	0.741	ہوا بازی
aviator	0.615	0.700	0.644	ہوا باز
avid	0.582	0.459	0.593	بخیل
avocado	0.677	0.255	0.287	ایواکاڈو
avoid	0.427	0.442	0.415	بچنا
avoidance	0.470	0.481	0.466	اجتناب
avoiding	0.457	0.433	0.309	گریز
await	0.448	0.264	0.276	انتظار کرو
awake	0.667	0.469	0.741	بیدار
awaken	0.729	0.412	0.611	بیدار
awakening	0.745	0.500	0.618	بیداری
award	0.865	0.745	0.660	ایوارڈ
awards	0.958	0.736	0.652	ایوارڈز
aware	0.656	0.340	0.770	آگاہ
awareness	0.684	0.422	0.810	آگاہی
awe	0.469	0.740	0.300	خوف
awed	0.364	0.774	0.361	خوف زدہ
awesome	0.980	0.897	0.891	خوفناک
awesomeness	0.917	0.647	0.927	کمال
awestruck	0.615	0.767	0.680	حیرت زدہ
awful	0.061	0.786	0.450	خوفناک
awkward	0.296	0.650	0.358	عجیب
awkwardness	0.167	0.454	0.148	عجیب و غریب پن
awning	0.500	0.186	0.318	سائبان
awry	0.156	0.540	0.275	پریشان
axe	0.296	0.690	0.536	کلہاڑی
axial	0.458	0.278	0.491	محوری
axiom	0.439	0.441	0.583	محور
axiomatic	0.458	0.392	0.627	مسلم. خود عیاں
axis	0.209	0.250	0.356	محور
axle	0.459	0.294	0.473	ایکسل
ay	0.500	0.557	0.255	اے
aye	0.562	0.420	0.392	ہاں
azimuth	0.385	0.461	0.421	azimuth
azure	0.620	0.256	0.339	azure
babble	0.552	0.441	0.204	بڑبڑانا
babbling	0.396	0.418	0.241	بڑبڑانا
babe	0.860	0.536	0.424	بچہ
baboon	0.357	0.410	0.429	بابون
baby	0.837	0.365	0.455	بچه
babysit	0.719	0.587	0.398	babysit
babysitter	0.656	0.415	0.408	نینی
baccalaureate	0.729	0.510	0.480	بکلوریٹ
baccarat	0.583	0.497	0.436	بکریٹ
bachelor	0.667	0.406	0.600	بیچلر
bachelorette	0.735	0.780	0.465	بیچلورٹی
back	0.438	0.353	0.336	پیچھے
backboard	0.480	0.259	0.436	بیک بورڈ
backbone	0.538	0.464	0.620	ریڑھ کی ہڈی
backdoor	0.344	0.410	0.333	پچھلے دروازے
backdrop	0.320	0.309	0.444	پس منظر
backer	0.646	0.375	0.537	پشت پناہی کرنے والا
backfire	0.265	0.612	0.491	جوابی فائرنگ
backgammon	0.580	0.410	0.390	بیکگیمون
background	0.399	0.357	0.498	پس منظر
backhand	0.427	0.449	0.390	بیک ہینڈ
backhoe	0.398	0.554	0.562	بیکہو
backoff	0.104	0.396	0.240	بیک آف
backpack	0.729	0.278	0.333	بیگ
backpacker	0.510	0.730	0.460	بیگ پیکر
backroom	0.406	0.500	0.387	پچھلا کمرہ
backseat	0.388	0.330	0.237	پچھلی سیٹ
backside	0.182	0.417	0.342	پیچھے کی طرف
backtrack	0.312	0.525	0.278	پیچھے ہٹنا
backup	0.520	0.510	0.553	بیک اپ
backward	0.309	0.367	0.250	پسماندہ
backwardness	0.240	0.500	0.136	پسماندگی
backwards	0.302	0.372	0.330	پیچھے کی طرف
backwater	0.312	0.410	0.161	بیک واٹر
backwoods	0.541	0.350	0.482	backwoods
backyard	0.552	0.280	0.302	گھر کے پچھواڑے
bacon	0.698	0.406	0.295	بیکن
bacteria	0.177	0.553	0.570	بیکٹیریا
bacterial	0.156	0.500	0.473	بیکٹیریل
bacterium	0.194	0.545	0.345	بیکٹیریم
bad	0.125	0.625	0.373	برا
badass	0.255	0.775	0.745	بدتمیز
badday	0.327	0.449	0.373	برا دن
badfeeling	0.250	0.559	0.365	برا احساس
badge	0.567	0.488	0.691	بیج
badger	0.344	0.429	0.357	بیجر
badhabit	0.184	0.594	0.311	بری عادت
badly	0.073	0.509	0.286	بری طرح
badness	0.094	0.823	0.463	برائی
baffle	0.344	0.442	0.482	چکرانا
baffled	0.151	0.600	0.339	حیران
bag	0.500	0.250	0.314	بیگ
bagel	0.531	0.363	0.340	بیگل
baggage	0.610	0.363	0.427	سامان
baggie	0.367	0.427	0.366	بیگی
baggy	0.521	0.278	0.452	بیگی
bagman	0.506	0.500	0.394	بیگ مین
bagpipes	0.541	0.556	0.412	بیگ پائپس
bail	0.373	0.520	0.561	ضمانت
bailiff	0.347	0.519	0.759	بیلف
bait	0.276	0.327	0.296	چارہ
bake	0.867	0.418	0.519	پکانا
bakery	0.802	0.500	0.380	بیکری
baking	0.549	0.455	0.451	بیکنگ
bal	0.490	0.412	0.432	بال
balance	0.684	0.265	0.735	بقیہ
balanced	0.806	0.255	0.745	متوازن
balcony	0.562	0.392	0.380	بالکنی
bald	0.306	0.184	0.268	گنجا
balding	0.302	0.363	0.368	گنجا
baldy	0.398	0.385	0.396	گنجا
bale	0.437	0.363	0.412	گٹھری
balk	0.229	0.451	0.415	بلک
ball	0.740	0.427	0.317	گیند
ballad	0.792	0.284	0.424	گانا
ballast	0.354	0.423	0.287	گٹی
ballerina	0.802	0.660	0.475	بیلرینا
ballet	0.656	0.480	0.358	بیلے
ballgame	0.781	0.790	0.407	گیند کا کھیل
ballistic	0.260	0.806	0.685	بیلسٹک
ballistics	0.271	0.787	0.610	بیلسٹکس
balloon	0.729	0.245	0.315	غبارہ
ballot	0.521	0.361	0.358	بیلٹ
ballpark	0.724	0.694	0.529	بال پارک
ballplayer	0.719	0.764	0.566	بال پلیئر
ballpoint	0.596	0.337	0.318	بال پوائنٹ
ballroom	0.847	0.635	0.448	بال روم
ballsy	0.531	0.491	0.414	ballsy
balm	0.625	0.275	0.414	بام
balmy	0.684	0.327	0.545	ملائم
balsam	0.663	0.250	0.385	balsam
balsamic	0.582	0.283	0.447	balsamic
bam	0.427	0.472	0.390	بام
bamboo	0.646	0.222	0.356	بانس
ban	0.146	0.689	0.587	پابندی
banana	0.612	0.230	0.241	کیلا
band	0.648	0.552	0.525	بینڈ
bandage	0.220	0.327	0.286	پٹی
bandanna	0.562	0.276	0.277	بندنا
bandit	0.094	0.796	0.567	ڈاکو
bandstand	0.735	0.536	0.520	بینڈ اسٹینڈ
bandwagon	0.625	0.651	0.509	بینڈ ویگن
bandwidth	0.714	0.337	0.548	بینڈوڈتھ
bane	0.265	0.694	0.366	نقصان
bang	0.265	0.951	0.740	دھماکے
banger	0.378	0.540	0.538	بینجر
banish	0.163	0.677	0.543	نکال دینا
banished	0.052	0.713	0.370	نکال دیا
banishment	0.160	0.775	0.298	جلاوطنی
banister	0.418	0.410	0.332	بینسٹر
banjo	0.469	0.400	0.370	بینجو
bank	0.562	0.327	0.675	بینک
banker	0.586	0.588	0.792	بینکر
banking	0.510	0.327	0.500	بینکنگ
bankroll	0.469	0.570	0.509	بینک رول
bankrupt	0.163	0.673	0.337	دیوالیہ
bankruptcy	0.010	0.696	0.209	دیوالیہ پن
banner	0.521	0.408	0.474	بینر
banquet	0.765	0.571	0.600	ضیافت
banshee	0.408	0.565	0.481	بنشی
banter	0.594	0.677	0.464	مذاق
banzai	0.550	0.510	0.443	بنزئی
baptism	0.844	0.384	0.566	بپتسمہ
baptismal	0.646	0.343	0.625	بپتسمہ دینے والا
baptize	0.739	0.426	0.594	بپتسمہ دینا
bar	0.500	0.531	0.481	بار
barb	0.448	0.365	0.417	بارب
barbarian	0.323	0.896	0.713	وحشی
barbaric	0.235	0.798	0.738	وحشیانہ
barbarism	0.190	0.815	0.614	بربریت
barbecue	0.792	0.643	0.456	باربیکیو
barbed	0.177	0.594	0.455	خاردار
barber	0.543	0.459	0.356	حجام
barbershop	0.597	0.441	0.382	نائی کی دکان
barbie doll	0.729	0.370	0.330	باربی گڑیا
bard	0.470	0.410	0.439	بارڈ
bare	0.333	0.717	0.296	ننگے
bareback	0.500	0.356	0.373	ننگی بیک
barefoot	0.445	0.373	0.241	ننگے پا وں
barely	0.448	0.183	0.268	بمشکل
barf	0.340	0.491	0.394	barf
bargain	0.653	0.533	0.670	سودا
bargaining	0.622	0.640	0.642	سودے بازی
barge	0.469	0.388	0.465	بجر
baritone	0.592	0.529	0.500	بیریٹون
barium	0.406	0.353	0.377	بیریم
bark	0.360	0.602	0.395	چھال
barkeep	0.480	0.500	0.454	بارکیپ
barks	0.427	0.694	0.325	چھال
barley	0.614	0.212	0.296	جو
barmaid	0.521	0.472	0.440	barmaid
barman	0.594	0.610	0.400	بارمن
barn	0.510	0.452	0.425	گودام
barnacle	0.408	0.337	0.457	بارناکل
barney	0.451	0.378	0.440	بارنی
barnyard	0.510	0.353	0.336	گودام
barometer	0.388	0.273	0.545	بیرومیٹر
baron	0.520	0.358	0.709	بیرن
baroness	0.625	0.453	0.755	بیرونس
baroque	0.490	0.357	0.418	baroque
barrack	0.378	0.500	0.455	بیرک
barracuda	0.333	0.713	0.510	barracuda
barrage	0.388	0.871	0.627	بیراج
barred	0.143	0.741	0.535	روک دیا
barrel	0.429	0.298	0.474	بیرل
barren	0.173	0.373	0.221	بنجر
barricade	0.323	0.667	0.673	رکاوٹ
barrier	0.333	0.480	0.562	رکاوٹ
barring	0.292	0.670	0.420	روکنا
barrister	0.469	0.570	0.792	بیرسٹر
barroom	0.686	0.619	0.470	بار روم
barrow	0.479	0.363	0.362	بیرو
bartender	0.573	0.698	0.585	بارٹینڈر
barter	0.465	0.559	0.596	بارٹر
base	0.635	0.298	0.553	بنیاد
baseball	0.660	0.760	0.563	بیس بال
baseball bat	0.667	0.567	0.509	بیس بال کا بلا
baseboard	0.396	0.198	0.405	بیس بورڈ
baseless	0.292	0.382	0.375	بے بنیاد
baseline	0.483	0.367	0.509	بیس لائن
baseman	0.604	0.449	0.462	بیس مین
basement	0.388	0.500	0.268	تہہ خانے
bases	0.569	0.236	0.591	اڈے
bash	0.385	0.546	0.463	bash
bashful	0.400	0.406	0.217	شرمناک
basic	0.643	0.102	0.395	بنیادی
basics	0.688	0.311	0.491	بنیادی باتیں
basil	0.534	0.274	0.309	تلسی
basilica	0.612	0.302	0.639	بیسیلیکا
basin	0.552	0.231	0.398	بیسن
basis	0.602	0.260	0.426	بنیاد
bask	0.760	0.330	0.381	باسک
basket	0.458	0.227	0.336	ٹوکری
basketball	0.814	0.764	0.435	باسکٹ بال
bass	0.427	0.206	0.268	باس
bass guitar	0.738	0.370	0.294	باس گٹار
basso	0.417	0.420	0.439	باسو
bassoon	0.500	0.433	0.310	باسون
bastard	0.094	0.692	0.289	حرامزادہ
bastarding	0.104	0.608	0.269	گھٹیا
bastards	0.082	0.680	0.422	کمینے
bastion	0.531	0.500	0.596	گڑھ
bat	0.324	0.409	0.480	چمگادڑ
batch	0.560	0.357	0.357	بیچ
batching	0.484	0.420	0.518	بیچنگ
bate	0.429	0.525	0.464	بیٹ
bath	0.725	0.260	0.263	غسل
bathe	0.677	0.294	0.371	غسل
bathhouse	0.602	0.380	0.459	غسل خانہ
bathing	0.740	0.276	0.361	غسل
bathrobe	0.531	0.442	0.394	غسل کا لباس
bathroom	0.561	0.283	0.345	باتھ روم
bathtub	0.625	0.240	0.318	باتھ ٹب
bathymetry	0.432	0.480	0.509	bathymetry
baton	0.272	0.235	0.519	ڈنڈا
battalion	0.333	0.818	0.795	بٹالین
batter	0.561	0.245	0.373	بلے باز
battered	0.080	0.790	0.306	مارا پیٹا
battering	0.210	0.798	0.490	مارنا
battery	0.480	0.425	0.442	بیٹری
battle	0.365	0.945	0.868	جنگ
battled	0.292	0.794	0.575	لڑا
battlefield	0.133	0.918	0.781	میدان جنگ
battleground	0.156	0.958	0.812	میدان جنگ
battlements	0.276	0.441	0.530	جنگی سامان
battleship	0.479	0.750	0.726	جنگی جہاز
batty	0.375	0.619	0.274	batty
bauble	0.698	0.429	0.255	بابل
bawdy	0.184	0.823	0.508	بدتمیز
bawl	0.385	0.880	0.561	باؤل
bay	0.719	0.365	0.569	خلیج
bayonet	0.263	0.775	0.561	سنگین
bayou	0.469	0.431	0.324	bayou
bazaar	0.604	0.340	0.500	بازار
bazooka	0.302	0.824	0.634	بازوکا
bday	0.729	0.600	0.415	سالگرہ
be	0.670	0.240	0.554	ہونا
beach	0.885	0.529	0.455	ساحل سمندر
beaches	0.865	0.500	0.538	ساحل
beacon	0.580	0.407	0.537	بیکن
bead	0.592	0.388	0.381	مالا
beading	0.542	0.320	0.398	موتیوں کی مالا
beads	0.673	0.388	0.552	موتیوں کی مالا
beady	0.448	0.417	0.443	بیڈی
beagle	0.649	0.470	0.395	بیگل
beak	0.375	0.363	0.411	چونچ
beaker	0.420	0.410	0.391	بیکر
beam	0.584	0.349	0.382	بیم
beaming	0.892	0.654	0.587	بیمنگ
bean	0.667	0.269	0.264	پھلیاں
beanbag	0.450	0.380	0.340	دالوں کی تھیلی
beanie	0.500	0.230	0.263	بینی
bear	0.448	0.570	0.475	ریچھ
bearable	0.542	0.375	0.605	قابل برداشت
beard	0.490	0.261	0.371	داڑھی
bearded	0.439	0.337	0.391	داڑھی والے
bearer	0.571	0.547	0.676	اٹھانے والا
bearing	0.571	0.367	0.474	اثر
bearings	0.418	0.490	0.426	بیرنگ
bearish	0.521	0.549	0.324	مندی
bearskin	0.333	0.398	0.464	ریچھ کی کھال
beast	0.214	0.780	0.732	جانور
beastly	0.146	0.874	0.843	حیوانیت سے
beat	0.279	0.647	0.492	مارو
beaten	0.083	0.846	0.265	مارا پیٹا گیا
beater	0.438	0.545	0.482	بیٹر
beating	0.153	0.833	0.481	مارنا
beatnik	0.429	0.510	0.382	beatnik
beau	0.612	0.440	0.432	بیو
beautification	0.885	0.575	0.725	خوبصورتی
beautiful	0.875	0.614	0.648	خوبصورت
beautify	0.898	0.592	0.736	خوبصورت بنانا
beauty	0.842	0.600	0.644	خوبصورتی
beaver	0.490	0.344	0.393	بیور
bebop	0.482	0.490	0.358	bebop
beck	0.580	0.375	0.418	بیک
beckon	0.663	0.455	0.452	اشارہ کرنا
become	0.641	0.583	0.643	بن
bed	0.604	0.173	0.327	بستر
bedding	0.704	0.276	0.377	بستر
bedpan	0.510	0.400	0.362	بیڈ پین
bedrock	0.561	0.340	0.598	بستر
bedroom	0.744	0.296	0.491	بیڈروم
bedside	0.604	0.167	0.375	پلنگ
bedspread	0.551	0.139	0.292	بیڈ اسپریڈ
bedtime	0.673	0.314	0.373	سونے کا وقت
bee	0.520	0.509	0.309	شہد کی مکھی
beef	0.582	0.312	0.492	گائے کا گوشت
beefsteak	0.594	0.391	0.455	بیف سٹیک
beehive	0.541	0.700	0.422	شہد کی مکھیوں کے چھتے
beep	0.595	0.541	0.304	بیپ
beeper	0.438	0.720	0.441	بیپر
beer	0.592	0.654	0.500	بیئر
bees	0.562	0.635	0.412	شہد کی مکھیاں
beeswax	0.583	0.402	0.375	موم
beetle	0.323	0.356	0.295	چقندر
befall	0.520	0.663	0.585	پڑنا
befitting	0.708	0.333	0.394	مناسب
befriend	0.930	0.624	0.471	دوستی
befuddled	0.156	0.714	0.269	الجھا ہوا
beg	0.292	0.608	0.328	بھیک مانگنا
beggar	0.240	0.402	0.116	بھکاری
begging	0.292	0.461	0.202	گداگری
begin	0.677	0.569	0.763	شروع
beginner	0.490	0.480	0.387	شروع
beginning	0.816	0.528	0.558	آغاز
beginnings	0.837	0.527	0.600	آغاز
begrudge	0.177	0.731	0.377	بدگمانی
begun	0.677	0.500	0.404	شروع
behappy	0.875	0.557	0.562	خوش رہو
behave	0.677	0.363	0.747	برتاؤ
behavior	0.594	0.442	0.813	سلوک
behavioral	0.612	0.440	0.708	طرز عمل
behemoth	0.583	0.781	0.853	behemoth
behest	0.602	0.350	0.720	حکم
behold	0.610	0.284	0.449	دیکھو
beholden	0.296	0.555	0.212	دیکھو
beholder	0.714	0.491	0.520	دیکھنے والا
beige	0.490	0.222	0.224	خاکستری
belated	0.240	0.400	0.214	تاخیر سے
belay	0.500	0.472	0.702	belay
belch	0.194	0.562	0.240	ڈکار
belief	0.896	0.375	0.656	یقین
believable	0.866	0.390	0.676	قابل اعتماد
believe	0.781	0.370	0.682	یقین
believed	0.500	0.562	0.547	یقین کیا
believer	0.725	0.445	0.564	مومن
believing	0.870	0.418	0.833	یقین
belittle	0.122	0.417	0.250	چھوٹا
belittled	0.177	0.392	0.226	حقیر
bell	0.552	0.510	0.505	گھنٹی
bellboy	0.542	0.363	0.302	بیل بوائے
bellhop	0.500	0.287	0.318	بیل شاپ
belligerent	0.344	0.680	0.594	جنگجو
bellman	0.540	0.250	0.371	بیل مین
bellow	0.248	0.337	0.212	نیچے
bellows	0.458	0.515	0.429	بیل
belly	0.510	0.388	0.387	پیٹ
bellybutton	0.531	0.283	0.360	پیٹ کا بٹن
bellyful	0.347	0.806	0.519	پیٹ بھرا
belong	0.643	0.405	0.569	تعلق
belongings	0.592	0.380	0.750	سامان
beloved	0.969	0.613	0.708	محبوب
belt	0.541	0.322	0.445	بیلٹ
beluga	0.510	0.333	0.482	بیلوگا
bemused	0.281	0.490	0.278	حیران
bench	0.571	0.289	0.544	بینچ
bend	0.571	0.324	0.368	جھکنا
bender	0.490	0.510	0.466	موڑنے والا
bending	0.448	0.565	0.455	موڑنے
beneath	0.354	0.173	0.233	نیچے
benedictory	0.677	0.438	0.481	خیر خواہ
benefactor	0.833	0.578	0.755	احسان کرنے والا
beneficial	0.820	0.579	0.703	فائدہ مند
beneficiary	0.776	0.399	0.616	فائدہ اٹھانے والا
benefit	0.906	0.422	0.806	فائدہ
benevolence	0.786	0.340	0.717	احسان
benevolent	0.786	0.407	0.651	خیر خواہ
benign	0.694	0.440	0.509	بے نظیر
bent	0.375	0.453	0.298	جھکا
benzene	0.439	0.459	0.403	بینزین
bequeath	0.743	0.500	0.741	وصیت
bequest	0.661	0.398	0.882	وصیت
bereaved	0.104	0.479	0.221	سوگوار
bereavement	0.265	0.677	0.500	سوگ
bereft	0.229	0.490	0.336	محروم
beret	0.542	0.240	0.327	beret
bergamot	0.510	0.365	0.339	برگاموٹ
berlin	0.592	0.423	0.571	برلن
berserk	0.398	0.556	0.480	نڈر
berth	0.295	0.337	0.596	برتھ
beryllium	0.417	0.412	0.425	بیریلیم
beseech	0.330	0.441	0.600	منت
beset	0.385	0.717	0.317	گھیرنا
bestdayever	0.760	0.646	0.593	سب سے بہترین دن
bestfeeling	0.806	0.509	0.625	بہترین احساس
bestfriends	0.934	0.662	0.647	بہترین دوست
bestial	0.260	0.761	0.674	جانور
besties	0.888	0.509	0.614	دوست
bestow	0.656	0.560	0.642	عطا کرنا
bestseller	0.771	0.643	0.700	بہترین بیچنے والے
bet	0.385	0.698	0.432	شرط لگانا
beta	0.710	0.370	0.439	بیٹا
betray	0.042	0.870	0.536	دھوکہ دینا
betrayal	0.083	0.719	0.418	دھوکہ
betrayed	0.122	0.769	0.308	دھوکہ دیا
betrothed	0.833	0.630	0.667	منگنی کی
betterment	0.898	0.536	0.769	بہتری
betting	0.237	0.804	0.411	شرط لگانا
betty	0.542	0.358	0.381	بیٹی
bevel	0.757	0.406	0.454	بیول
beverage	0.635	0.490	0.389	مشروب
bevy	0.429	0.460	0.541	bevy
beware	0.151	0.596	0.518	خبردار
bewilder	0.306	0.571	0.289	حیران
bewildered	0.230	0.630	0.300	پریشان
bewilderment	0.312	0.716	0.216	گھبراہٹ
bias	0.400	0.370	0.541	تعصب
biased	0.271	0.302	0.368	متعصب
bib	0.385	0.396	0.339	بب
bible	0.719	0.225	0.726	بائبل
biblical	0.635	0.304	0.712	بائبلی
bibliography	0.622	0.204	0.528	کتابیات
bicarbonate	0.479	0.337	0.438	بائی کاربونیٹ
bicentennial	0.541	0.423	0.507	دو سو سالہ
biceps	0.592	0.588	0.602	بائسپس
bicker	0.143	0.643	0.552	جھگڑا کرنے والا
bickering	0.122	0.800	0.536	جھگڑا
bicolor	0.580	0.327	0.404	دو رنگ
bicycle	0.708	0.519	0.425	سائیکل
bid	0.760	0.530	0.655	بولی
bidder	0.465	0.474	0.433	بولی لگانے والا
bidding	0.586	0.644	0.509	بولی
bide	0.368	0.407	0.282	بولنا
biennial	0.531	0.309	0.353	دو سالہ
bier	0.497	0.448	0.407	بیئر
bifurcation	0.385	0.625	0.352	تقسیم
big	0.802	0.588	0.812	بڑا
bigamy	0.327	0.696	0.482	بڑی شادی
bigday	0.796	0.689	0.596	بڑا دن
biggestfear	0.062	0.730	0.480	سب سے بڑا خوف
biggie	0.531	0.481	0.500	بڑی
bighorn	0.480	0.547	0.580	بگ ہارن
bigmouth	0.417	0.577	0.430	بڑا منہ
bigot	0.479	0.745	0.517	مکروہ، بدترین شخص
bigoted	0.153	0.760	0.462	متعصب
bigotry	0.356	0.737	0.481	تعصب
bike	0.708	0.500	0.333	موٹر سائیکل
biker	0.604	0.710	0.567	بائیکر
bikini	0.730	0.639	0.353	بکنی
bilateral	0.633	0.343	0.491	دو طرفہ
bilayer	0.438	0.398	0.388	bilayer
bile	0.157	0.461	0.324	پت
bilge	0.316	0.392	0.412	بلج
bilingual	0.735	0.490	0.606	دو لسانی
bill	0.396	0.402	0.535	بل
billboard	0.594	0.317	0.481	بل بورڈ
billet	0.479	0.583	0.500	بلیٹ
billiard	0.719	0.616	0.543	بلئرڈ
billiards	0.643	0.559	0.387	بلیئرڈ
billing	0.406	0.481	0.670	بلنگ
billion	0.719	0.564	0.782	ارب
billionaire	0.806	0.667	0.923	ارب پتی
billy	0.490	0.397	0.375	بلی
bimbo	0.396	0.370	0.300	bimbo
bimonthly	0.408	0.298	0.471	دو ماہانہ
bin	0.422	0.304	0.327	بن
binary	0.490	0.356	0.420	بائنری
bind	0.398	0.462	0.448	باندھنا
binder	0.438	0.250	0.308	بائنڈر
bindery	0.548	0.388	0.482	بائنڈری
binding	0.438	0.425	0.640	پابند
bing	0.573	0.453	0.415	بنگ
binge	0.304	0.650	0.500	binge
bingo	0.735	0.667	0.429	بنگو
binocular	0.531	0.344	0.426	دوربین
binoculars	0.490	0.309	0.411	دوربین
binomial	0.600	0.406	0.426	binomial
bio	0.612	0.225	0.490	بایو
biochemical	0.367	0.481	0.618	بائیو کیمیکل
biochemist	0.471	0.449	0.717	بایو کیمسٹ
biochemistry	0.552	0.531	0.596	بائیو کیمسٹری
biogenesis	0.594	0.442	0.697	بایوجنسیس
biographer	0.708	0.427	0.617	سوانح نگار
biography	0.698	0.229	0.718	سوانح حیات
biological	0.590	0.410	0.615	حیاتیاتی
biologist	0.625	0.453	0.693	ماہر حیاتیات
biology	0.479	0.274	0.546	حیاتیات
bionic	0.571	0.570	0.788	بایونک
biopsy	0.323	0.657	0.481	بایپسی
biosphere	0.684	0.351	0.579	حیاتیات
bipartite	0.365	0.480	0.464	دو طرفہ
bipolar	0.208	0.685	0.426	دوئبرووی
birch	0.562	0.346	0.382	برچ
bird	0.729	0.357	0.364	پرندہ
birdcage	0.480	0.398	0.318	پرندوں کا پنجرا
birdie	0.594	0.394	0.407	چڑیا
birdman	0.490	0.567	0.604	پرندہ
birth	0.896	0.655	0.536	پیدائش
birthday	0.969	0.844	0.575	سالگرہ
birthing	0.796	0.877	0.519	پیدائش
birthmark	0.630	0.461	0.500	پیدائش کا نشان
birthplace	0.781	0.290	0.491	جائے پیدائش
birthright	0.684	0.417	0.714	پیدائشی حق
bis	0.440	0.420	0.345	bis
biscuit	0.888	0.260	0.231	بسکٹ
bishop	0.594	0.184	0.725	بشپ
bison	0.573	0.433	0.557	بائسن
bisque	0.693	0.443	0.312	بسک
bistro	0.594	0.472	0.396	بسٹرو
bit	0.427	0.310	0.225	تھوڑا سا
bitch	0.276	0.740	0.343	کتیا
bitchy	0.188	0.700	0.373	کتیا
bite	0.219	0.796	0.510	کاٹنا
biter	0.260	0.598	0.500	کڑوا
bitsy	0.510	0.388	0.382	تھوڑا سا
bitter	0.218	0.627	0.411	تلخ
bitterly	0.194	0.685	0.362	تلخی سے
bitterness	0.115	0.633	0.270	تلخی
bittersweet	0.469	0.569	0.474	کڑوا
bitty	0.469	0.271	0.257	چھوٹا
bitumen	0.375	0.235	0.307	باقیات
biweekly	0.581	0.337	0.455	دو ہفتہ وار
biz	0.500	0.473	0.473	biz
bizarre	0.379	0.620	0.392	عجیب
blab	0.438	0.425	0.353	بلب
blabbermouth	0.323	0.640	0.422	blabbermouth
blackberry	0.667	0.413	0.453	بلیک بیری
