English Word	Valence	Arousal	Dominance	Swahili Word
classic rock	0.729	0.571	0.588	mwamba wa classic
classical	0.643	0.198	0.536	classical
classics	0.750	0.333	0.510	classics
classification	0.583	0.423	0.613	uainishaji
classified	0.571	0.460	0.663	kuainishwa
classify	0.646	0.411	0.720	ainisha
classmate	0.781	0.400	0.593	mwanafunzi mwenzangu
classroom	0.539	0.292	0.363	darasa
classy	0.917	0.410	0.649	ya kifahari
clatter	0.418	0.820	0.387	kupiga kelele
clause	0.480	0.409	0.528	kifungu
clauses	0.449	0.429	0.545	vifungu
claustrophobia	0.125	0.840	0.333	claustrophobia
claustrophobic	0.092	0.755	0.400	ugonjwa wa claustrophobic
clavicle	0.398	0.400	0.452	clavicle
claw	0.260	0.600	0.598	makucha
claws	0.281	0.698	0.562	makucha
clay	0.542	0.250	0.267	udongo
clean	0.827	0.170	0.500	safi
cleaner	0.604	0.556	0.375	safi zaidi
cleaning	0.595	0.396	0.427	kusafisha
cleanliness	0.816	0.363	0.609	usafi
cleanly	0.823	0.352	0.583	kwa usafi
cleanse	0.625	0.310	0.660	safisha
cleanser	0.604	0.353	0.433	msafishaji
cleansing	0.729	0.298	0.472	utakaso
cleanup	0.729	0.314	0.451	Safisha
clear	0.857	0.327	0.573	wazi
clearance	0.542	0.459	0.473	kibali
clearing	0.680	0.333	0.509	kusafisha
clearness	0.875	0.316	0.689	uwazi
cleat	0.486	0.260	0.361	safi
cleavage	0.542	0.602	0.454	kupasuka
cleave	0.296	0.545	0.389	shikana
cleaver	0.240	0.627	0.434	wazi
clef	0.615	0.360	0.595	mpasuko
cleft	0.306	0.442	0.360	mwanya
clemency	0.594	0.417	0.397	huruma
clench	0.438	0.618	0.580	funga
clergy	0.531	0.312	0.575	makasisi
clergyman	0.594	0.330	0.556	kasisi
cleric	0.521	0.324	0.589	karani
clerical	0.520	0.396	0.491	karani
clerk	0.500	0.579	0.509	karani
clerkship	0.582	0.380	0.596	ukarani
clever	0.896	0.353	0.729	wajanja
cleverness	0.878	0.509	0.921	werevu
click	0.536	0.365	0.268	bonyeza
clicker	0.418	0.490	0.463	kibofya
client	0.583	0.450	0.618	mteja
clientele	0.625	0.577	0.508	mteja
cliff	0.361	0.620	0.509	mwamba
climate	0.635	0.240	0.483	hali ya hewa
climatology	0.531	0.367	0.541	hali ya hewa
climax	0.735	0.853	0.667	kilele
climb	0.615	0.660	0.604	kupanda
climber	0.573	0.716	0.735	mpandaji
clinch	0.469	0.538	0.430	clinch
cling	0.417	0.620	0.588	kushikamana
clingy	0.224	0.460	0.370	kushikamana
clinic	0.469	0.439	0.600	zahanati
clinical	0.337	0.412	0.640	kiafya
clink	0.458	0.462	0.319	kugonga
clip	0.438	0.310	0.381	klipu
clipboard	0.594	0.255	0.423	ubao wa kunakili
clipper	0.293	0.422	0.383	clipper
clipping	0.460	0.500	0.405	kukata
clique	0.427	0.430	0.391	kikundi
clitoris	0.625	0.844	0.464	kisimi
cloak	0.469	0.188	0.333	vazi
cloaking	0.521	0.595	0.389	kufunika
cloakroom	0.690	0.254	0.397	chumba cha nguo
clobber	0.396	0.578	0.464	kabari
clock	0.677	0.173	0.407	saa
clockwork	0.490	0.373	0.528	kazi ya saa
clod	0.375	0.404	0.365	bonge
clog	0.104	0.618	0.454	kuziba
cloister	0.438	0.413	0.475	chumbani
clone	0.406	0.471	0.524	clone
cloning	0.216	0.696	0.679	cloning
close	0.292	0.260	0.263	karibu
closed	0.240	0.164	0.318	imefungwa
closeness	0.796	0.237	0.450	ukaribu
closet	0.531	0.204	0.330	chumbani
closure	0.229	0.220	0.412	kufungwa
clot	0.150	0.558	0.275	kuganda
cloth	0.510	0.190	0.287	kitambaa
clothe	0.797	0.330	0.481	nguo
clothes	0.833	0.270	0.414	nguo
clothesline	0.582	0.324	0.366	kamba ya nguo
clothing	0.750	0.343	0.407	mavazi
cloud	0.740	0.133	0.342	wingu
clouded	0.240	0.213	0.302	mawingu
cloudiness	0.469	0.250	0.343	mawingu
clouds	0.735	0.195	0.324	mawingu
cloudy	0.281	0.280	0.202	mawingu
clout	0.584	0.636	0.704	mkazo
clove	0.439	0.296	0.315	karafuu
clover	0.605	0.340	0.364	karafuu
cloves	0.427	0.218	0.396	karafuu
clown	0.650	0.598	0.300	mcheshi
clowns	0.600	0.673	0.391	wachekeshaji
club	0.646	0.618	0.393	klabu
clubhouse	0.694	0.571	0.493	clubhouse
clubs	0.723	0.530	0.591	vilabu
cluck	0.390	0.490	0.353	piga
clue	0.653	0.380	0.412	kidokezo
clueless	0.350	0.333	0.161	wasio na habari
clump	0.551	0.480	0.582	bonge
clumsy	0.125	0.420	0.144	mtupu
clunk	0.448	0.472	0.407	kukwama
cluster	0.490	0.458	0.446	nguzo
clutch	0.383	0.500	0.491	clutch
clutches	0.542	0.373	0.528	makucha
clutter	0.135	0.598	0.400	vituko
coach	0.633	0.823	0.735	kocha
coachman	0.479	0.394	0.509	kocha
coagulation	0.381	0.558	0.436	kuganda
coal	0.360	0.241	0.340	makaa ya mawe
coalesce	0.479	0.434	0.529	kuunganisha
coalition	0.490	0.730	0.673	muungano
coarse	0.333	0.481	0.481	mbaya
coast	0.719	0.396	0.458	pwani
coastal	0.604	0.370	0.510	pwani
coaster	0.612	0.788	0.627	coaster
coastline	0.745	0.282	0.441	ukanda wa pwani
coat	0.677	0.256	0.464	koti
coating	0.620	0.440	0.596	mipako
coax	0.367	0.400	0.447	koa
cobalt	0.408	0.325	0.441	kobalti
cobble	0.448	0.385	0.368	cobble
cobbler	0.510	0.415	0.318	mfua nguo
cobra	0.312	0.712	0.600	cobra
cocaine	0.156	0.840	0.373	kokeni
cock	0.418	0.562	0.392	jogoo
cockamamie	0.450	0.500	0.382	cockamamie
cockeyed	0.459	0.460	0.423	kupigwa makofi
cockpit	0.520	0.424	0.343	chumba cha marubani
cockroach	0.188	0.667	0.196	mende
cocksucker	0.083	0.764	0.339	jogoo
cocktail	0.740	0.480	0.381	jogoo
cocky	0.260	0.784	0.519	jogoo
cocoa	0.776	0.255	0.322	kakao
coconut	0.622	0.265	0.227	nazi
cocoon	0.470	0.280	0.290	koko
cod	0.510	0.321	0.304	chewa
code	0.583	0.308	0.491	kanuni
codeine	0.375	0.582	0.436	codeine
codex	0.531	0.488	0.524	kodeksi
codfish	0.490	0.245	0.300	samaki aina ya codfish
codification	0.448	0.400	0.698	uratibu
codify	0.448	0.410	0.679	ratibu
coding	0.442	0.344	0.667	kusimba
coed	0.469	0.531	0.481	coed
coefficient	0.677	0.415	0.702	mgawo
coerce	0.260	0.741	0.517	kulazimisha
coercion	0.330	0.708	0.577	kulazimisha
coercive	0.479	0.670	0.506	kulazimisha
coexist	0.708	0.460	0.536	kuishi pamoja
coexistence	0.588	0.472	0.638	kuishi pamoja
coexisting	0.551	0.349	0.648	kuwepo pamoja
coffee	0.823	0.418	0.309	kahawa
coffee table	0.720	0.339	0.295	meza ya kahawa
coffeehouse	0.694	0.357	0.307	Mkahawa
coffeepot	0.760	0.333	0.312	sufuria ya kahawa
coffin	0.073	0.432	0.343	jeneza
cog	0.427	0.343	0.363	kogi
cogent	0.765	0.479	0.836	mwaminifu
cognac	0.615	0.510	0.430	konjak
cognate	0.615	0.350	0.398	fahamu
cognition	0.635	0.344	0.706	utambuzi
cognitive	0.513	0.401	0.634	utambuzi
cohabitation	0.646	0.526	0.598	kuishi pamoja
coherence	0.720	0.406	0.788	mshikamano
coherent	0.698	0.281	0.500	madhubuti
cohesion	0.604	0.536	0.555	mshikamano
cohesive	0.531	0.470	0.603	kushikamana
cohort	0.459	0.551	0.566	kundi
coil	0.448	0.343	0.298	koili
coiled	0.378	0.518	0.389	imejikunja
coin	0.677	0.574	0.445	sarafu
coinage	0.500	0.400	0.545	sarafu
coincide	0.635	0.490	0.593	sanjari
coincidence	0.612	0.450	0.518	bahati mbaya
coincident	0.562	0.385	0.602	kwa bahati mbaya
coincidental	0.646	0.481	0.337	kwa bahati mbaya
coinciding	0.673	0.373	0.623	sanjari
coke	0.404	0.461	0.397	koki
cola	0.469	0.325	0.240	cola
cold	0.398	0.538	0.348	baridi
coldly	0.365	0.358	0.407	baridi
coldness	0.093	0.470	0.427	ubaridi
coldsweat	0.427	0.491	0.327	jasho baridi
coleslaw	0.707	0.312	0.336	koleslaw
colic	0.135	0.736	0.361	colic
coliseum	0.612	0.663	0.704	ukumbi wa michezo
collaborate	0.816	0.449	0.559	kushirikiana
collaboration	0.885	0.628	0.741	ushirikiano
collaborator	0.729	0.320	0.769	mshiriki
collage	0.680	0.321	0.375	kolagi
collagen	0.541	0.245	0.450	kolajeni
collapse	0.208	0.689	0.342	kuanguka
collar	0.656	0.442	0.446	kola
collarbone	0.420	0.427	0.306	collarbone
collate	0.438	0.448	0.580	kusanya
collateral	0.531	0.422	0.717	dhamana
collation	0.520	0.333	0.508	mgongano
colleague	0.740	0.413	0.600	mwenzake
collect	0.635	0.481	0.491	kukusanya
collected	0.570	0.402	0.588	zilizokusanywa
collection	0.725	0.311	0.588	mkusanyiko
collective	0.583	0.458	0.698	pamoja
collectively	0.817	0.573	0.533	kwa pamoja
collector	0.552	0.481	0.648	mtoza
college	0.700	0.467	0.746	chuo
collegiate	0.592	0.461	0.678	chuo kikuu
collide	0.271	0.892	0.557	kugongana
collie	0.562	0.308	0.328	collie
collision	0.245	0.848	0.585	mgongano
collocation	0.637	0.360	0.594	mgawanyo
colloquial	0.604	0.363	0.368	mazungumzo
collusion	0.365	0.510	0.400	kula njama
cologne	0.677	0.413	0.552	cologne
colon	0.449	0.394	0.384	koloni
colonel	0.459	0.592	0.890	kanali
colonial	0.553	0.327	0.613	mkoloni
colonic	0.333	0.420	0.430	kikoloni
colonoscopy	0.208	0.524	0.466	colonoscopy
colony	0.716	0.353	0.593	koloni
colophon	0.500	0.408	0.385	kolofoni
color	0.786	0.280	0.402	rangi
coloration	0.541	0.520	0.443	rangi
colored	0.806	0.317	0.275	rangi
colorful	0.850	0.520	0.519	rangi
coloring	0.781	0.469	0.353	kuchorea
colorless	0.354	0.340	0.250	isiyo na rangi
colors	0.875	0.349	0.340	rangi
colossal	0.698	0.692	0.900	kubwa sana
colt	0.561	0.587	0.543	mwana-punda
columbine	0.520	0.521	0.407	columbine
column	0.480	0.250	0.670	safu
columnar	0.448	0.340	0.491	safu
columnist	0.646	0.365	0.648	mwandishi wa habari
com	0.396	0.382	0.382	com
coma	0.219	0.255	0.302	kukosa fahamu
comatose	0.143	0.438	0.433	kukosa fahamu
comb	0.490	0.123	0.268	kuchana
combat	0.302	0.846	0.833	kupambana
combatant	0.531	0.853	0.780	mpiganaji
combative	0.381	0.690	0.816	mpiganaji
combination	0.708	0.480	0.726	mchanganyiko
combinatorial	0.561	0.436	0.428	mchanganyiko
combine	0.663	0.442	0.533	kuchanganya
combined	0.622	0.370	0.500	pamoja
combo	0.698	0.439	0.453	kuchana
combustible	0.386	0.650	0.750	inayoweza kuwaka
combustion	0.457	0.807	0.591	mwako
come	0.529	0.269	0.558	njoo
comeback	0.580	0.409	0.555	kurudi
comedian	0.812	0.735	0.598	mcheshi
comedy	0.918	0.555	0.490	vichekesho
comet	0.704	0.679	0.471	comet
comfort	0.863	0.231	0.670	faraja
comfortable	0.927	0.163	0.473	starehe
comforter	0.618	0.275	0.302	mfariji
comforting	0.906	0.337	0.620	kufariji
comfy	0.930	0.241	0.625	starehe
comic	0.917	0.459	0.387	katuni
comical	0.844	0.737	0.327	mcheshi
comics	0.690	0.556	0.384	vichekesho
coming	0.653	0.417	0.500	kuja
comma	0.344	0.269	0.242	koma
command	0.427	0.790	0.849	amri
commandant	0.622	0.700	0.943	kamanda
commandeer	0.552	0.639	0.931	kamanda
commander	0.531	0.615	0.906	kamanda
commanding	0.562	0.664	0.925	kuamuru
commandment	0.656	0.490	0.876	amri
commando	0.323	0.710	0.817	komandoo
commemorate	0.812	0.602	0.636	kumbukumbu
commemoration	0.719	0.615	0.754	ukumbusho
commemorative	0.750	0.438	0.754	ukumbusho
commence	0.760	0.585	0.741	kuanza
commend	0.906	0.694	0.711	pongeza
commendable	0.786	0.570	0.555	ya kupongezwa
commendation	0.911	0.500	0.639	pongezi
commensurate	0.610	0.304	0.550	kulingana
comment	0.667	0.417	0.379	maoni
commentary	0.602	0.402	0.446	maoni
commentator	0.492	0.510	0.607	mtoa maoni
commerce	0.646	0.500	0.788	biashara
commercial	0.806	0.490	0.528	kibiashara
commie	0.385	0.519	0.454	commie
commissary	0.385	0.500	0.788	kamishna
commission	0.677	0.480	0.571	tume
commissioner	0.602	0.449	0.949	kamishna
commit	0.365	0.529	0.491	kujitolea
commitment	0.714	0.710	0.843	kujitolea
committal	0.472	0.519	0.582	kujituma
committed	0.710	0.542	0.712	kujitolea
committee	0.592	0.392	0.721	kamati
commodity	0.615	0.394	0.537	bidhaa
commodore	0.427	0.530	0.636	commodore
common	0.600	0.127	0.318	kawaida
commoner	0.448	0.365	0.327	mtu wa kawaida
commonly	0.604	0.170	0.574	kawaida
commonplace	0.520	0.337	0.442	kawaida
commons	0.633	0.396	0.623	kawaida
commonwealth	0.630	0.406	0.702	Jumuiya ya Madola
commotion	0.490	0.700	0.646	zogo
communal	0.592	0.321	0.556	ya jumuiya
commune	0.500	0.488	0.655	jumuiya
communicable	0.796	0.491	0.623	kuambukizwa
communicate	0.823	0.410	0.696	kuwasiliana
communication	0.837	0.400	0.649	mawasiliano
communicative	0.847	0.560	0.637	mawasiliano
communicator	0.573	0.509	0.796	mzungumzaji
communion	0.765	0.357	0.607	ushirika
communism	0.264	0.570	0.623	ukomunisti
communist	0.265	0.702	0.632	kikomunisti
community	0.750	0.350	0.659	jamii
commutation	0.469	0.431	0.652	ubadilishaji
commutative	0.667	0.442	0.569	ya kubadilisha
commute	0.622	0.582	0.565	kusafiri
commuter	0.646	0.520	0.512	msafiri
comp	0.573	0.450	0.371	comp
compact	0.458	0.417	0.673	kompakt
compaction	0.531	0.471	0.582	mshikamano
compactness	0.582	0.352	0.454	mshikamano
companion	0.770	0.377	0.618	mwenzi
companionless	0.271	0.259	0.200	bila mwenzi
companionship	0.833	0.438	0.792	urafiki
company	0.906	0.425	0.798	kampuni
comparable	0.562	0.443	0.458	kulinganishwa
comparative	0.470	0.273	0.562	kulinganisha
comparatively	0.604	0.391	0.538	kwa kulinganisha
compare	0.552	0.408	0.524	kulinganisha
comparison	0.583	0.456	0.492	kulinganisha
compartment	0.500	0.389	0.607	chumba
compass	0.541	0.307	0.529	dira
compassion	0.735	0.258	0.509	huruma
compassionate	0.857	0.404	0.411	mwenye huruma
compatibility	0.816	0.450	0.673	utangamano
compatible	0.892	0.387	0.638	sambamba
compel	0.200	0.847	0.625	kulazimisha
compelled	0.333	0.654	0.347	kulazimishwa
compelling	0.698	0.570	0.870	kulazimisha
compendium	0.610	0.461	0.537	muunganisho
compensate	0.612	0.429	0.762	fidia
compensation	0.775	0.469	0.598	fidia
compensatory	0.589	0.490	0.700	fidia
compete	0.573	0.745	0.786	kushindana
competence	0.615	0.802	0.823	uwezo
competency	0.768	0.775	0.764	uwezo
competent	0.865	0.560	0.904	wenye uwezo
competition	0.580	0.790	0.798	ushindani
competitive	0.447	0.718	0.908	ushindani
competitor	0.612	0.959	0.861	mshindani
compilation	0.530	0.512	0.606	mkusanyiko
compile	0.600	0.413	0.519	kukusanya
complacency	0.604	0.503	0.519	kuridhika
complacent	0.625	0.452	0.518	kuridhika
complain	0.143	0.682	0.360	kulalamika
complaint	0.143	0.606	0.281	malalamiko
complement	0.760	0.277	0.600	kamilisha
complementary	0.714	0.320	0.586	nyongeza
complete	0.750	0.414	0.809	kamili
completed	0.823	0.357	0.777	imekamilika
completely	0.730	0.370	0.690	kabisa
completeness	0.823	0.433	0.769	ukamilifu
completing	0.614	0.500	0.769	kukamilisha
completion	0.656	0.470	0.525	kukamilika
complex	0.388	0.608	0.550	changamano
complexed	0.312	0.577	0.612	changamano
complexion	0.521	0.520	0.380	rangi ya ngozi
complexity	0.479	0.620	0.595	utata
compliance	0.750	0.462	0.750	kufuata
compliant	0.677	0.310	0.519	inavyotakikana
complicate	0.210	0.657	0.404	gumu
complicated	0.211	0.660	0.455	ngumu
complication	0.365	0.726	0.330	matatizo
complicity	0.323	0.684	0.670	ushirikiano
compliment	0.820	0.490	0.651	pongezi
complimentary	0.823	0.413	0.435	ya kupongeza
comply	0.806	0.370	0.638	kufuata
complying	0.729	0.423	0.590	kufuata
compo	0.500	0.346	0.390	compo
component	0.531	0.382	0.525	sehemu
compose	0.639	0.432	0.694	kutunga
composed	0.684	0.385	0.682	iliyotungwa
composer	0.822	0.588	0.691	mtunzi
composite	0.591	0.459	0.620	mchanganyiko
composition	0.765	0.408	0.652	utungaji
compost	0.480	0.404	0.441	mboji
composure	0.802	0.354	0.717	utulivu
compound	0.635	0.385	0.735	kiwanja
comprehend	0.875	0.365	0.689	fahamu
comprehension	0.908	0.387	0.688	ufahamu
comprehensive	0.796	0.385	0.644	pana
compress	0.406	0.412	0.460	kubana
compressed	0.323	0.396	0.388	imebanwa
compressible	0.622	0.392	0.585	kubana
compression	0.646	0.521	0.579	mgandamizo
compressor	0.418	0.481	0.630	compressor
comprise	0.839	0.373	0.669	jumuisha
compromise	0.677	0.520	0.805	maelewano
comptroller	0.402	0.481	0.866	mtawala
compulsion	0.118	0.760	0.604	kulazimishwa
compulsive	0.347	0.871	0.573	kulazimisha
compulsory	0.343	0.541	0.791	lazima
computable	0.570	0.402	0.545	inayoweza kutekelezeka
computation	0.583	0.429	0.697	hesabu
compute	0.531	0.408	0.564	hesabu
computer	0.802	0.356	0.639	kompyuta
computerized	0.677	0.450	0.657	kompyuta
computing	0.745	0.398	0.695	kompyuta
comrade	0.781	0.412	0.804	mwenzetu
con	0.255	0.736	0.427	con
concatenation	0.480	0.593	0.539	mshikamano
concave	0.441	0.349	0.349	concave
conceal	0.312	0.436	0.306	kuficha
concealed	0.344	0.363	0.352	kufichwa
concealment	0.302	0.570	0.390	kuficha
concede	0.670	0.324	0.473	kubali
conceit	0.354	0.625	0.309	majivuno
conceited	0.194	0.667	0.473	mwenye majivuno
conceivable	0.730	0.350	0.613	kuwaza
conceive	0.708	0.538	0.700	mimba
concentrate	0.750	0.439	0.743	makini
concentration	0.735	0.500	0.722	mkusanyiko
concentric	0.730	0.479	0.635	makini
concept	0.573	0.265	0.632	dhana
conception	0.694	0.490	0.614	mimba
concern	0.250	0.734	0.463	wasiwasi
concerned	0.292	0.698	0.350	wasiwasi
concert	0.938	0.867	0.718	tamasha
concerto	0.613	0.759	0.679	tamasha
concession	0.588	0.423	0.615	makubaliano
concessional	0.770	0.493	0.657	ya masharti nafuu
conch	0.583	0.306	0.339	kongo
concierge	0.480	0.343	0.343	concierge
conciliation	0.792	0.475	0.726	upatanisho
concise	0.583	0.298	0.620	kwa ufupi
conclave	0.573	0.440	0.611	conclave
conclude	0.530	0.267	0.679	kuhitimisha
concluding	0.531	0.382	0.603	kuhitimisha
conclusion	0.615	0.377	0.659	hitimisho
conclusive	0.500	0.427	0.745	kuhitimisha
concoction	0.448	0.459	0.417	mchanganyiko
concomitant	0.427	0.482	0.727	kuambatana
concord	0.677	0.320	0.586	makubaliano
concordance	0.625	0.358	0.608	konkodansi
concours	0.500	0.530	0.495	concours
concourse	0.740	0.657	0.528	mkutano
concrete	0.633	0.420	0.547	zege
concubine	0.388	0.594	0.476	suria
concur	0.459	0.394	0.429	kukubaliana
concurrence	0.764	0.627	0.613	maelewano
concurrent	0.573	0.547	0.741	sambamba
concurring	0.573	0.600	0.681	kuambatana
concussion	0.072	0.708	0.482	mtikiso
condemn	0.102	0.793	0.625	kulaani
condemnation	0.133	0.725	0.449	hukumu
condensation	0.510	0.316	0.538	condensation
condensed	0.598	0.415	0.623	kufupishwa
condescending	0.583	0.363	0.593	kujishusha
condescension	0.521	0.377	0.565	unyenyekevu
condiment	0.520	0.333	0.433	kitoweo
condition	0.500	0.469	0.519	hali
conditional	0.521	0.343	0.556	masharti
conditionally	0.396	0.419	0.617	kwa masharti
conditioned	0.490	0.417	0.616	masharti
conditioner	0.781	0.360	0.538	kiyoyozi
conditioning	0.440	0.468	0.617	ukondishaji
conditions	0.551	0.441	0.593	masharti
condo	0.439	0.288	0.607	kondomu
condolence	0.260	0.443	0.404	rambirambi
condolences	0.198	0.480	0.288	rambirambi
condom	0.406	0.637	0.500	kondomu
condone	0.571	0.441	0.619	kusamehe
condor	0.573	0.388	0.519	kondomu
conducive	0.775	0.479	0.679	kufaa
conduct	0.453	0.510	0.750	mwenendo
conduction	0.530	0.557	0.717	upitishaji
conductivity	0.583	0.575	0.642	conductivity
conductor	0.677	0.663	0.621	kondakta
conduit	0.470	0.302	0.413	mfereji
cone	0.417	0.208	0.343	koni
confederacy	0.590	0.541	0.736	shirikisho
confederate	0.551	0.546	0.792	shirikisho
confederation	0.663	0.404	0.830	shirikisho
confer	0.573	0.482	0.583	kutoa
conference	0.688	0.615	0.606	mkutano
confess	0.360	0.712	0.431	kukiri
confession	0.469	0.642	0.460	ungamo
confessional	0.458	0.392	0.629	ya kukiri
confessions	0.325	0.538	0.658	maungamo
confetti	0.781	0.573	0.250	confetti
confidant	0.837	0.633	0.631	msiri
confide	0.669	0.472	0.595	jiamini
confidence	0.959	0.276	0.943	kujiamini
confident	0.765	0.324	0.723	kujiamini
confidential	0.643	0.471	0.761	siri
confidentiality	0.667	0.431	0.718	usiri
confidentially	0.633	0.469	0.558	kwa siri
configuration	0.540	0.443	0.591	usanidi
confine	0.327	0.551	0.538	funga
confined	0.286	0.472	0.444	kufungiwa
confinement	0.333	0.656	0.520	kifungo
confines	0.396	0.386	0.542	hufunga
confirm	0.802	0.439	0.806	thibitisha
confirmation	0.812	0.480	0.692	uthibitisho
confirmatory	0.656	0.500	0.683	uthibitisho
confirmed	0.760	0.490	0.764	imethibitishwa
confiscate	0.250	0.625	0.482	kutaifisha
confiscation	0.208	0.706	0.586	kunyang'anywa
conflagration	0.344	0.721	0.594	moto
conflict	0.335	0.906	0.471	mzozo
conflicting	0.173	0.738	0.553	yanayokinzana
confluence	0.677	0.598	0.565	muunganiko
conform	0.479	0.380	0.375	kuendana
conformance	0.608	0.278	0.254	kufuatana
conformation	0.622	0.435	0.711	conformation
conformity	0.645	0.363	0.579	kulingana
confound	0.347	0.529	0.333	kuchanganyikiwa
confounded	0.333	0.528	0.264	kuchanganyikiwa
confront	0.281	0.760	0.746	kukabiliana
confrontation	0.177	0.870	0.658	makabiliano
confuse	0.100	0.580	0.270	kuchanganya
confused	0.220	0.650	0.179	changanyikiwa
confusing	0.229	0.690	0.222	kuchanganya
confusion	0.255	0.667	0.277	mkanganyiko
conga	0.469	0.529	0.440	konga
congenial	0.820	0.412	0.620	ya kupendeza
congenital	0.448	0.434	0.427	kuzaliwa
congestion	0.271	0.654	0.491	msongamano
conglomerate	0.500	0.500	0.838	conglomerate
conglomeration	0.541	0.720	0.670	msongamano
congrats	0.930	0.726	0.775	Hongera
congratulate	0.927	0.724	0.784	hongera
congratulation	0.948	0.780	0.717	pongezi
congratulations	0.960	0.755	0.719	hongera
congratulatory	0.959	0.616	0.689	pongezi
congregate	0.653	0.530	0.733	kukusanyika
congregation	0.561	0.490	0.700	kusanyiko
congress	0.449	0.444	0.857	kongamano
congressional	0.552	0.491	0.848	bunge
congressman	0.438	0.471	0.877	mbunge
congruence	0.656	0.472	0.577	mshikamano
conic	0.510	0.368	0.379	conic
conical	0.490	0.422	0.471	conical
conjecture	0.396	0.398	0.534	dhana
conjugal	0.698	0.510	0.688	mchumba
conjugate	0.583	0.420	0.467	kuunganisha
conjugation	0.479	0.429	0.582	mnyambuliko
conjunction	0.520	0.472	0.509	kiunganishi
conjunctive	0.487	0.444	0.639	kiunganishi
conjure	0.385	0.679	0.645	conjure
conjuring	0.224	0.653	0.694	kutunga
conk	0.340	0.469	0.404	konk
connect	0.724	0.299	0.536	kuunganisha
connected	0.816	0.550	0.612	kushikamana
connection	0.729	0.560	0.655	uhusiano
connective	0.719	0.491	0.764	kiunganishi
connoisseur	0.760	0.461	0.769	mjuzi
conquer	0.694	0.873	0.971	shinda
conquering	0.760	0.873	0.936	kushinda
conqueror	0.604	0.809	0.930	mshindi
conquest	0.710	0.702	0.833	ushindi
conscience	0.663	0.375	0.721	dhamira
conscientious	0.688	0.404	0.688	mwangalifu
conscious	0.740	0.333	0.705	Fahamu
consciousness	0.840	0.483	0.755	fahamu
conscription	0.396	0.775	0.642	kujiandikisha
consecrated	0.663	0.500	0.800	kuwekwa wakfu
consecration	0.771	0.418	0.804	kuwekwa wakfu
consecutive	0.663	0.418	0.643	mfululizo
consensual	0.663	0.417	0.655	makubaliano
consensus	0.627	0.358	0.625	makubaliano
consent	0.750	0.500	0.620	ridhaa
consenting	0.727	0.406	0.693	kukubaliana
consequence	0.240	0.721	0.593	matokeo
consequent	0.663	0.471	0.625	matokeo
conservation	0.832	0.401	0.606	uhifadhi
conservatism	0.406	0.369	0.633	uhafidhina
conservative	0.615	0.316	0.788	kihafidhina
conservatory	0.635	0.240	0.729	kihafidhina
conserve	0.690	0.347	0.573	hifadhi
consider	0.677	0.368	0.579	zingatia
considerable	0.653	0.314	0.683	makubwa
considerate	0.781	0.380	0.633	mwenye kujali
consideration	0.589	0.380	0.687	kuzingatia
consignee	0.635	0.385	0.602	mtumwa
consignment	0.490	0.440	0.500	shehena
consist	0.823	0.386	0.580	jumuisha
consistency	0.714	0.500	0.887	uthabiti
consistent	0.786	0.431	0.726	thabiti
consolation	0.408	0.250	0.304	faraja
console	0.625	0.398	0.415	console
consoled	0.700	0.343	0.452	kufarijiwa
consolidate	0.880	0.440	0.870	unganisha
consolidated	0.700	0.366	0.784	kuunganishwa
consolidation	0.604	0.445	0.776	uimarishaji
consonant	0.500	0.347	0.417	konsonanti
consort	0.632	0.509	0.630	mke
conspicuous	0.479	0.520	0.596	dhahiri
conspiracy	0.125	0.787	0.652	njama
conspirator	0.271	0.786	0.707	mpanga njama
conspire	0.206	0.740	0.520	njama
constable	0.573	0.667	0.764	konstebo
constancy	0.786	0.443	0.763	kudumu
constant	0.740	0.296	0.686	mara kwa mara
constantly	0.663	0.561	0.700	daima
constellation	0.719	0.533	0.775	kundinyota
consternation	0.167	0.680	0.469	mshtuko
constipation	0.079	0.612	0.231	kuvimbiwa
constituency	0.500	0.480	0.696	eneo bunge
constituent	0.573	0.500	0.827	inayounda
constituents	0.573	0.414	0.833	washiriki
constitute	0.812	0.349	0.906	kuunda
constitution	0.590	0.380	0.889	katiba
constitutional	0.633	0.418	0.827	kikatiba
constitutionality	0.612	0.439	0.853	ukatiba
constrain	0.261	0.500	0.500	kubana
constrained	0.135	0.537	0.357	kubanwa
constraint	0.323	0.550	0.481	kizuizi
construct	0.750	0.648	0.792	jenga
construction	0.848	0.612	0.759	ujenzi
constructive	0.860	0.570	0.812	yenye kujenga
construe	0.602	0.519	0.553	fafanua
consul	0.573	0.354	0.688	balozi
consulate	0.561	0.453	0.694	ubalozi mdogo
consult	0.755	0.370	0.441	kushauriana
consultant	0.770	0.344	0.808	mshauri
consultation	0.660	0.463	0.625	mashauriano
consume	0.427	0.620	0.509	hutumia
consumer	0.507	0.551	0.677	mtumiaji
consuming	0.573	0.541	0.536	kuteketeza
consummate	0.551	0.540	0.558	mkamilifu
consummation	0.583	0.676	0.661	ukamilifu
consumption	0.390	0.531	0.538	matumizi
contact	0.719	0.424	0.526	mawasiliano
contagion	0.208	0.630	0.535	uambukizi
contagious	0.184	0.725	0.400	ya kuambukiza
contain	0.542	0.490	0.658	vyenye
container	0.551	0.396	0.561	chombo
containment	0.411	0.491	0.618	kizuizi
contaminate	0.140	0.611	0.426	kuchafua
