English Word	Valence	Arousal	Dominance	Malay Word
empathic	0.760	0.570	0.558	empati
empathize	0.802	0.591	0.660	berempati
empathy	0.729	0.349	0.545	empati
emperor	0.651	0.704	0.962	maharaja
emphasis	0.653	0.745	0.816	penekanan
emphasize	0.510	0.605	0.769	menekankan
emphatic	0.615	0.707	0.732	tegas
emphysema	0.156	0.556	0.336	emfisema
empire	0.688	0.730	0.944	empayar
empirical	0.500	0.510	0.574	empirikal
empiricism	0.583	0.460	0.547	empirisme
employ	0.729	0.481	0.702	menggaji
employee	0.582	0.361	0.481	pekerja
employer	0.663	0.518	0.767	majikan
employment	0.750	0.594	0.611	pekerjaan
emporium	0.622	0.556	0.724	emporium
empower	0.694	0.779	0.891	memperkasakan
empress	0.716	0.669	0.855	permaisuri
emptiness	0.177	0.173	0.184	kekosongan
emption	0.570	0.406	0.458	pengosongan
empty	0.188	0.183	0.081	kosong
emu	0.420	0.358	0.330	emu
emulate	0.438	0.340	0.549	mencontohi
emulsion	0.562	0.431	0.453	emulsi
enable	0.760	0.491	0.782	membolehkan
enablement	0.600	0.451	0.750	pembolehan
enact	0.680	0.564	0.598	menggubal
enactment	0.667	0.612	0.769	enakmen
enamel	0.594	0.280	0.306	enamel
encampment	0.677	0.573	0.605	perkhemahan
enchant	0.873	0.650	0.643	mempesonakan
enchanted	0.917	0.633	0.687	terpesona
enchanting	0.917	0.681	0.708	mempesonakan
enchantment	0.816	0.775	0.647	pesona
enchantress	0.398	0.663	0.479	pesona
enchilada	0.542	0.553	0.371	enchilada
encircle	0.460	0.500	0.519	mengelilingi
encircling	0.510	0.368	0.557	mengelilingi
enclave	0.531	0.333	0.580	enklaf
enclose	0.531	0.477	0.473	sertakan
enclosure	0.417	0.375	0.490	kandang
encode	0.490	0.500	0.734	mengekod
encomiastic	0.541	0.500	0.670	enkomiastik
encomium	0.541	0.451	0.519	enkomium
encompass	0.520	0.298	0.661	merangkumi
encore	0.510	0.423	0.500	encore
encounter	0.865	0.702	0.689	perjumpaan
encourage	0.896	0.580	0.704	menggalakkan
encouraged	0.953	0.702	0.657	digalakkan
encouragement	0.865	0.700	0.759	galakan
encouraging	0.823	0.583	0.755	menggalakkan
encroach	0.302	0.742	0.702	menceroboh
encroachment	0.255	0.736	0.620	pencerobohan
encrypt	0.500	0.387	0.500	menyulitkan
encryption	0.547	0.415	0.474	penyulitan
encumbrance	0.300	0.521	0.480	bebanan
encyclopedia	0.679	0.320	0.645	ensiklopedia
end	0.198	0.349	0.298	tamat
end table	0.541	0.480	0.482	jadual akhir
endanger	0.115	0.885	0.404	membahayakan
endangered	0.083	0.885	0.430	terancam
endangerment	0.167	0.873	0.519	bahaya
endearing	0.663	0.434	0.604	menawan hati
endeavor	0.677	0.755	0.765	berusaha
ended	0.302	0.500	0.500	tamat
endemic	0.406	0.480	0.483	endemik
endgame	0.449	0.538	0.526	permainan tamat
ending	0.344	0.365	0.492	berakhir
endless	0.347	0.462	0.472	tidak berkesudahan
endocarditis	0.235	0.587	0.412	endokarditis
endorse	0.592	0.392	0.472	menyokong
endorsement	0.834	0.360	0.611	pengesahan
endow	0.684	0.398	0.609	mewakafkan
endowed	0.755	0.510	0.769	diwakafkan
endowment	0.685	0.578	0.647	wakaf
endpapers	0.542	0.400	0.339	kertas akhir
endpoint	0.311	0.410	0.448	titik akhir
endurance	0.592	0.745	0.760	ketahanan
endure	0.320	0.610	0.574	bertahan
enduring	0.633	0.459	0.768	berkekalan
enema	0.281	0.673	0.268	enema
enemy	0.135	0.794	0.591	musuh
energetic	0.847	0.868	0.902	bertenaga
energize	0.792	0.810	0.875	memberi tenaga
energy	0.944	0.725	0.868	tenaga
enforce	0.583	0.644	0.836	menguatkuasakan
enforcement	0.594	0.571	0.736	penguatkuasaan
enforcer	0.398	0.612	0.639	penguatkuasa
engage	0.771	0.796	0.713	terlibat
engaged	0.837	0.596	0.849	bertunang
engagement	0.906	0.587	0.807	pertunangan
engaging	0.948	0.612	0.862	menarik
engender	0.561	0.741	0.688	melahirkan
engine	0.615	0.644	0.676	enjin
engineer	0.719	0.500	0.875	jurutera
engineering	0.735	0.471	0.836	kejuruteraan
engrave	0.486	0.442	0.517	mengukir
engraved	0.542	0.375	0.473	terukir
engraver	0.552	0.417	0.500	pengukir
engraving	0.604	0.430	0.442	ukiran
engrossed	0.541	0.471	0.304	asyik
engrossing	0.698	0.702	0.750	mengasyikkan
engulf	0.398	0.573	0.500	menelan
enhance	0.802	0.578	0.814	mempertingkatkan
enhancement	0.877	0.490	0.741	penambahbaikan
enigma	0.513	0.700	0.500	enigma
enigmatic	0.469	0.589	0.679	penuh teka-teki
enjoin	0.594	0.454	0.732	menyuruh
enjoy	0.959	0.725	0.750	nikmatilah
enjoyable	1.000	0.481	0.605	menyeronokkan
enjoying	0.908	0.759	0.759	menikmati
enjoyment	0.930	0.612	0.716	kenikmatan
enlarge	0.735	0.606	0.688	besarkan
enlarged	0.673	0.490	0.518	diperbesarkan
enlargement	0.677	0.577	0.616	pembesaran
enlighten	0.729	0.549	0.667	memberi pencerahan
enlightened	0.956	0.566	0.700	tercerahkan
enlightening	0.825	0.729	0.727	pencerahan
enlightenment	0.837	0.549	0.619	pencerahan
enlist	0.510	0.370	0.483	mendaftar
enliven	0.833	0.683	0.702	memeriahkan
enmity	0.094	0.706	0.382	permusuhan
ennui	0.406	0.461	0.316	ennui
enormity	0.594	0.648	0.848	kebesaran
enormous	0.677	0.665	0.886	sangat besar
enormously	0.760	0.694	0.872	sangat besar
enraged	0.083	0.962	0.636	marah-marah
enrich	0.896	0.731	0.705	memperkayakan
enroll	0.696	0.530	0.611	mendaftar
enrollment	0.667	0.391	0.698	pendaftaran
ensemble	0.697	0.418	0.586	ensemble
ensign	0.663	0.270	0.545	panji
enslave	0.073	0.800	0.481	memperhambakan diri
enslaved	0.104	0.720	0.321	diperhambakan
enslavement	0.086	0.635	0.302	perhambaan
ensue	0.698	0.363	0.332	berlaku
ensure	0.737	0.406	0.759	memastikan
entail	0.484	0.630	0.645	melibatkan
entangled	0.319	0.578	0.357	terjerat
entanglement	0.302	0.765	0.248	kekusutan
enter	0.708	0.470	0.500	masuk
enterprise	0.760	0.392	0.754	perusahaan
enterprising	0.865	0.784	0.875	berdaya usaha
entertain	0.918	0.684	0.598	menghiburkan
entertained	0.902	0.644	0.712	terhibur
entertainer	0.888	0.709	0.759	penghibur
entertaining	0.833	0.658	0.660	menghiburkan
entertainment	0.847	0.750	0.569	hiburan
enthralled	0.745	0.602	0.615	terharu
enthusiasm	0.938	0.816	0.798	semangat
enthusiast	0.867	0.810	0.875	peminat
enthusiastic	0.885	0.868	0.848	bersemangat
entice	0.521	0.887	0.518	memikat
entire	0.689	0.462	0.698	keseluruhan
entirety	0.854	0.460	0.804	keseluruhan
entitle	0.729	0.333	0.827	berhak
entity	0.542	0.402	0.670	entiti
entomology	0.438	0.396	0.545	entomologi
entourage	0.491	0.567	0.467	rombongan
entrails	0.365	0.538	0.387	isi perut
entrance	0.698	0.393	0.526	pintu masuk
entrapment	0.177	0.604	0.441	perangkap
entreat	0.304	0.560	0.462	merayu
entree	0.615	0.477	0.624	hidangan
entrepreneur	0.885	0.704	0.920	usahawan
entrust	0.693	0.310	0.630	mengamanahkan
entry	0.552	0.353	0.602	kemasukan
enumerate	0.521	0.390	0.491	menghitung
enumeration	0.548	0.327	0.534	penghitungan
envelope	0.604	0.275	0.377	sampul surat
envious	0.110	0.754	0.341	iri hati
environ	0.724	0.221	0.433	persekitaran
environment	0.646	0.194	0.528	persekitaran
environmental	0.633	0.313	0.664	alam sekitar
environs	0.561	0.288	0.345	persekitaran
envision	0.625	0.449	0.483	membayangkan
envoy	0.531	0.375	0.586	utusan
envy	0.240	0.704	0.427	iri hati
enzyme	0.562	0.277	0.481	enzim
ephemeral	0.500	0.312	0.377	fana
ephemeris	0.640	0.380	0.528	ephemeris
epic	0.857	0.713	0.830	epik
epidemic	0.092	0.830	0.611	epidemik
epidermis	0.418	0.490	0.426	epidermis
epidural	0.347	0.452	0.525	epidural
epilepsy	0.061	0.854	0.250	epilepsi
epileptic	0.146	0.794	0.340	epilepsi
epilogue	0.582	0.353	0.466	epilog
epiphany	0.625	0.596	0.526	epiphany
episcopal	0.542	0.314	0.750	episkopal
episode	0.719	0.367	0.509	episod
episodic	0.531	0.542	0.462	episodik
epistle	0.604	0.417	0.535	surat
epitaph	0.276	0.323	0.442	batu nisan
epithet	0.530	0.394	0.524	julukan
epitome	0.510	0.500	0.667	epitome
epoch	0.553	0.343	0.797	zaman
equal	0.781	0.178	0.407	sama rata
equality	0.898	0.305	0.716	kesaksamaan
equalization	0.625	0.422	0.423	penyamaan
equalize	0.738	0.281	0.574	menyamakan
equalizer	0.604	0.451	0.586	penyamaan
equally	0.625	0.264	0.436	sama-sama
equate	0.724	0.382	0.624	samakan
equation	0.479	0.384	0.608	persamaan
equator	0.550	0.302	0.462	khatulistiwa
equatorial	0.550	0.271	0.593	khatulistiwa
equestrian	0.633	0.519	0.417	penunggang kuda
equidistant	0.375	0.406	0.509	sama jarak
equilibration	0.724	0.317	0.593	keseimbangan
equilibrium	0.676	0.235	0.620	keseimbangan
equip	0.650	0.519	0.713	melengkapkan
equipment	0.745	0.495	0.700	peralatan
equitable	0.714	0.286	0.750	saksama
equity	0.792	0.304	0.614	ekuiti
equivalence	0.663	0.250	0.582	kesetaraan
equivalent	0.646	0.347	0.500	bersamaan
equivocal	0.327	0.482	0.257	samar-samar
era	0.615	0.407	0.449	era
eradicate	0.260	0.690	0.686	membasmi
eradication	0.208	0.788	0.685	pembasmian
erase	0.240	0.260	0.321	memadam
eraser	0.458	0.209	0.311	pemadam
erasure	0.281	0.360	0.265	pemadaman
ere	0.479	0.312	0.377	sebelum
erect	0.643	0.885	0.627	tegak
erectile	0.542	0.796	0.625	ereksi
erection	0.640	0.856	0.695	ereksi
ergo	0.385	0.400	0.385	ergo
erode	0.208	0.643	0.580	menghakis
erosion	0.312	0.770	0.465	hakisan
erotic	0.625	0.946	0.683	erotik
erotica	0.781	0.870	0.579	erotik
err	0.146	0.660	0.236	silap
errand	0.385	0.519	0.482	tugasan
errant	0.205	0.602	0.375	sesat
erratic	0.271	0.503	0.217	tak menentu
erratum	0.327	0.528	0.436	erratum
erroneous	0.057	0.561	0.245	tersilap
error	0.094	0.559	0.198	ralat
erst	0.277	0.422	0.357	dahulu
erudite	0.719	0.434	0.774	terpelajar
erupt	0.188	0.820	0.818	meletus
eruption	0.156	0.913	0.733	letusan
escalade	0.480	0.724	0.442	escalade
escalate	0.653	0.714	0.728	meningkat
escalating	0.646	0.724	0.518	semakin meningkat
escalation	0.571	0.807	0.582	peningkatan
escalator	0.500	0.530	0.518	eskalator
escape	0.367	0.765	0.448	melarikan diri
escaped	0.365	0.755	0.518	melarikan diri
escarpment	0.406	0.553	0.470	lereng curam
eschew	0.184	0.438	0.370	elakkan diri
escort	0.729	0.480	0.608	pengiring
escrow	0.449	0.520	0.613	escrow
esophagus	0.429	0.454	0.464	esofagus
esoteric	0.500	0.676	0.545	esoterik
especial	0.827	0.419	0.794	istimewa
espionage	0.312	0.750	0.620	pengintipan
espouse	0.802	0.529	0.598	meminang
espresso	0.677	0.620	0.508	espresso
esprit	0.552	0.431	0.407	semangat
esquire	0.604	0.542	0.518	esquire
essay	0.559	0.411	0.530	karangan
essayist	0.656	0.460	0.462	penulis esei
essence	0.663	0.369	0.575	intipati
essential	0.812	0.405	0.759	penting
essentially	0.750	0.373	0.802	pada asasnya
establish	0.708	0.500	0.688	menubuhkan
established	0.796	0.394	0.694	ditubuhkan
establishment	0.690	0.398	0.631	penubuhan
estate	0.653	0.385	0.647	harta pusaka
esteem	0.745	0.380	0.679	harga diri
esteemed	0.694	0.418	0.531	dihormati
esthetic	0.635	0.360	0.558	estetik
estimable	0.796	0.408	0.630	boleh dianggarkan
estimate	0.719	0.469	0.517	anggaran
estimation	0.740	0.480	0.589	anggaran
estoppel	0.354	0.459	0.482	estoppel
estranged	0.156	0.382	0.377	terasing
estrogen	0.580	0.500	0.425	estrogen
estuary	0.469	0.278	0.482	muara sungai
etch	0.510	0.367	0.598	goresan
etching	0.567	0.491	0.575	goresan
eternal	0.854	0.409	0.843	abadi
eternity	0.765	0.520	0.911	keabadian
ethanol	0.333	0.410	0.534	etanol
ether	0.490	0.306	0.412	eter
ethereal	0.520	0.419	0.518	halus
ethic	0.786	0.260	0.791	etika
ethical	0.854	0.324	0.634	beretika
ethics	0.658	0.296	0.731	etika
ethnic	0.583	0.373	0.555	etnik
ethnography	0.571	0.373	0.549	etnografi
etiology	0.500	0.385	0.639	etiologi
etiquette	0.604	0.350	0.421	adab
etymology	0.531	0.370	0.529	etimologi
eucalyptus	0.602	0.308	0.418	kayu putih
euchre	0.470	0.459	0.442	euchre
eugenics	0.448	0.530	0.518	eugenik
eulogistic	0.740	0.623	0.694	eulogistik
eulogium	0.542	0.482	0.655	eulogium
eulogize	0.850	0.518	0.679	pujian
eulogy	0.625	0.443	0.667	eulogi
euphemism	0.418	0.453	0.491	eufemisme
euphoria	0.769	0.955	0.648	euforia
euphoric	0.745	0.904	0.588	euforia
euro	0.680	0.441	0.521	euro
euthanasia	0.229	0.716	0.325	euthanasia
evacuate	0.354	0.792	0.314	pindahkan
evacuation	0.160	0.755	0.582	pemindahan
evade	0.304	0.490	0.342	mengelak
evaluate	0.663	0.640	0.649	menilai
evaluation	0.542	0.667	0.764	penilaian
evanescence	0.527	0.519	0.458	evanescence
evangelical	0.602	0.389	0.602	evangelis
evangelist	0.582	0.464	0.702	penginjil
evangelistic	0.660	0.375	0.612	penginjilan
evaporate	0.357	0.469	0.402	menguap
evaporation	0.556	0.346	0.388	penyejatan
evasion	0.229	0.510	0.418	pengelakan
evasive	0.117	0.596	0.425	mengelak
eve	0.612	0.378	0.440	malam
evening	0.458	0.185	0.318	petang
evens	0.592	0.430	0.457	genap
event	0.745	0.673	0.664	peristiwa
eventful	0.543	0.837	0.510	penuh peristiwa
eventual	0.633	0.459	0.413	akhirnya
eventuality	0.469	0.627	0.527	kemungkinan
evergreen	0.729	0.471	0.546	malar hijau
everlasting	0.740	0.413	0.809	kekal abadi
evermore	0.677	0.450	0.403	selama-lamanya
everyday	0.740	0.392	0.472	setiap hari
everyman	0.522	0.333	0.535	setiap lelaki
evict	0.042	0.632	0.377	mengusir
eviction	0.185	0.731	0.455	pengusiran
evidence	0.500	0.500	0.778	bukti
evident	0.633	0.444	0.664	jelas
evidentiary	0.448	0.541	0.717	keterangan
evil	0.040	0.827	0.545	jahat
evoke	0.438	0.341	0.500	membangkitkan
evolution	0.781	0.657	0.854	evolusi
evolutionary	0.796	0.673	0.825	evolusi
evolve	0.655	0.692	0.896	berkembang
ewe	0.429	0.216	0.277	betina
ex	0.250	0.520	0.306	ex
exacerbate	0.323	0.776	0.580	memburukkan lagi
exacerbation	0.344	0.810	0.480	keterukan
exact	0.719	0.354	0.685	tepat
exacting	0.448	0.673	0.767	menuntut
exaggerate	0.193	0.760	0.529	berlebih-lebihan
exaggerated	0.224	0.885	0.732	berlebih-lebihan
exaggeration	0.312	0.775	0.582	keterlaluan
exalt	0.656	0.750	0.745	mengagungkan
exaltation	0.594	0.892	0.673	kemuliaan
exalted	0.676	0.845	0.696	ditinggikan
exam	0.479	0.663	0.577	peperiksaan
examination	0.378	0.657	0.679	peperiksaan
examine	0.615	0.623	0.786	meneliti
examiner	0.406	0.575	0.812	pemeriksa
example	0.542	0.337	0.510	contoh
exasperated	0.229	0.816	0.377	geram
exasperation	0.214	0.833	0.483	geram
excavate	0.583	0.613	0.635	menggali
excavation	0.540	0.644	0.527	penggalian
excavator	0.427	0.673	0.649	jengkaut
exceed	0.500	0.827	0.586	melebihi
exceeding	0.500	0.802	0.668	melebihi
excel	0.561	0.363	0.466	cemerlang
excellence	0.958	0.620	0.907	kecemerlangan
excellent	0.970	0.587	0.870	cemerlang
excelsior	0.700	0.625	0.611	cemerlang
excepting	0.408	0.413	0.526	kecuali
exception	0.469	0.600	0.544	pengecualian
exceptional	0.806	0.740	0.933	luar biasa
excerpt	0.437	0.367	0.543	petikan
excess	0.385	0.889	0.712	berlebihan
excessive	0.417	0.731	0.601	berlebihan
excessively	0.449	0.882	0.716	secara berlebihan
exchange	0.740	0.569	0.491	pertukaran
excise	0.448	0.561	0.577	eksais
excision	0.260	0.480	0.519	pengasingan
excitability	0.906	0.910	0.724	keterujaan
excitable	0.803	0.939	0.629	teruja
excitation	0.792	0.958	0.750	keterujaan
excite	0.823	0.950	0.668	mengujakan
excited	0.908	0.931	0.709	teruja
excitement	0.896	0.684	0.731	keterujaan
exciting	0.950	0.792	0.789	mengujakan
exclaim	0.635	0.711	0.639	menyeru
exclamation	0.612	0.745	0.598	seruan
exclude	0.292	0.500	0.530	mengecualikan
excluded	0.061	0.540	0.134	dikecualikan
excluding	0.271	0.550	0.324	tidak termasuk
exclusion	0.240	0.530	0.389	pengecualian
exclusive	0.792	0.630	0.653	eksklusif
excrement	0.041	0.558	0.221	najis
excretion	0.285	0.650	0.457	perkumuhan
excruciating	0.083	0.837	0.345	menyeksakan
excursion	0.625	0.714	0.627	persiaran
excuse	0.240	0.696	0.318	alasan
exec	0.640	0.352	0.769	eksekutif
execute	0.327	0.708	0.769	laksanakan
execution	0.160	0.811	0.713	perlaksanaan
executioner	0.235	0.816	0.676	algojo
executive	0.704	0.449	0.894	eksekutif
executor	0.365	0.755	0.759	pelaksana
exegesis	0.458	0.472	0.491	tafsiran
exemplar	0.844	0.537	0.625	teladan
exemplary	0.833	0.343	0.729	teladan
exemplify	0.735	0.506	0.783	contohi
exempt	0.588	0.455	0.664	dikecualikan
exemption	0.531	0.578	0.627	pengecualian
exercise	0.750	0.789	0.625	senaman
exert	0.694	0.735	0.806	berusaha
exertion	0.663	0.755	0.717	penat lelah
exhale	0.542	0.490	0.411	Hembus nafas
exhaust	0.546	0.710	0.337	ekzos
exhausted	0.123	0.423	0.202	penat
exhaustion	0.366	0.633	0.269	keletihan
exhaustive	0.388	0.635	0.604	menyeluruh
exhibit	0.688	0.633	0.708	pameran
exhibition	0.698	0.590	0.531	pameran
exhilarated	0.890	0.963	0.759	teruja
exhilarating	0.917	0.823	0.810	menggembirakan
exhilaration	0.792	0.868	0.783	keseronokan
exhort	0.378	0.660	0.745	Nasihatilah
exhortation	0.531	0.624	0.580	seruan
exhumation	0.177	0.586	0.473	penggalian
exhume	0.184	0.627	0.452	menggali
exigent	0.385	0.611	0.792	mendesak
exile	0.184	0.630	0.483	buangan
exist	0.857	0.421	0.788	wujud
existence	0.760	0.513	0.771	kewujudan
existent	0.635	0.490	0.635	wujud
existential	0.583	0.510	0.638	wujud
existing	0.802	0.344	0.750	sedia ada
exit	0.370	0.353	0.399	keluar
exodus	0.286	0.663	0.567	penghijrahan
exonerate	0.592	0.500	0.538	membebaskan
exorbitant	0.398	0.865	0.825	terlalu tinggi
exorcism	0.163	0.980	0.557	eksorsisme
exorcist	0.219	0.906	0.716	pengusir setan
exotic	0.840	0.711	0.727	eksotik
expand	0.792	0.559	0.686	mengembang
expanded	0.760	0.406	0.689	diperluaskan
expanse	0.594	0.529	0.689	keluasan
expansion	0.776	0.618	0.787	pengembangan
expansive	0.708	0.650	0.778	meluas
expatriate	0.265	0.764	0.391	ekspatriat
expect	0.469	0.327	0.377	jangkakan
expectance	0.552	0.724	0.660	jangkaan
expectancy	0.581	0.622	0.558	jangkaan
expectant	0.708	0.650	0.474	mengandung
expectation	0.771	0.690	0.707	jangkaan
expected	0.729	0.412	0.545	dijangka
expecting	0.561	0.450	0.302	menjangkakan
expediency	0.604	0.443	0.703	kesesuaian
expedient	0.885	0.461	0.454	suai manfaat
expedite	0.571	0.858	0.798	mempercepatkan
expedition	0.735	0.802	0.620	ekspedisi
expeditious	0.602	0.645	0.773	pantas
expel	0.281	0.725	0.452	mengusir
expendable	0.479	0.490	0.423	boleh dibelanjakan
expenditure	0.250	0.608	0.603	perbelanjaan
expense	0.317	0.451	0.377	perbelanjaan
expenses	0.240	0.633	0.396	perbelanjaan
expensive	0.323	0.540	0.530	mahal
experience	0.827	0.618	0.905	pengalaman
experienced	0.771	0.613	0.914	berpengalaman
experiences	0.793	0.647	0.795	pengalaman
experiment	0.479	0.720	0.675	eksperimen
experimental	0.417	0.764	0.396	percubaan
experimentation	0.637	0.769	0.767	percubaan
experimenter	0.708	0.710	0.700	penguji
expert	0.776	0.646	0.911	pakar
expertise	0.792	0.589	0.925	kepakaran
expiration	0.265	0.539	0.463	tamat tempoh
expire	0.573	0.745	0.702	tamat tempoh
expired	0.198	0.394	0.200	tamat tempoh
expiry	0.194	0.434	0.382	luput
explain	0.719	0.517	0.736	terangkan
explanation	0.615	0.610	0.825	penerangan
explanatory	0.573	0.433	0.688	penerangan
expletive	0.357	0.567	0.536	mengumpat
explication	0.510	0.445	0.602	penerangan
explicit	0.562	0.694	0.734	eksplisit
explode	0.277	0.885	0.773	meletup
exploit	0.312	0.878	0.660	mengeksploitasi
exploitation	0.156	0.920	0.718	eksploitasi
exploration	0.594	0.650	0.773	penerokaan
exploratory	0.653	0.690	0.698	penerokaan
explore	0.776	0.660	0.727	meneroka
explorer	0.729	0.663	0.714	penjelajah
explosion	0.167	0.960	0.767	letupan
explosions	0.123	0.860	0.594	letupan
explosive	0.156	0.943	0.663	bahan letupan
expo	0.610	0.562	0.500	ekspo
exponent	0.529	0.510	0.845	eksponen
exponential	0.704	0.588	0.763	eksponen
export	0.567	0.661	0.755	eksport
exportation	0.760	0.633	0.673	pengeksportan
expose	0.344	0.643	0.537	dedahkan
exposed	0.471	0.661	0.509	terdedah
exposition	0.521	0.627	0.655	eksposisi
expository	0.706	0.653	0.636	ekspositori
exposure	0.570	0.830	0.630	dedahan
expound	0.438	0.575	0.740	terangkan
express	0.760	0.623	0.691	ekspres
expression	0.790	0.650	0.721	ungkapan
expressive	0.755	0.724	0.685	ekspresif
expressway	0.633	0.635	0.587	lebuh raya
expropriation	0.188	0.735	0.788	perampasan
expulsion	0.190	0.790	0.529	pengusiran
exquisite	0.892	0.644	0.604	indah
exquisitely	0.849	0.728	0.723	dengan sangat indah
extant	0.646	0.390	0.523	wujud
extend	0.646	0.570	0.689	memanjangkan
extendable	0.660	0.592	0.722	boleh dipanjangkan
extended	0.570	0.304	0.649	dipanjangkan
extension	0.490	0.510	0.529	sambungan
extensive	0.635	0.520	0.760	meluas
extent	0.646	0.451	0.602	takat
exterior	0.542	0.400	0.627	luaran
exterminate	0.177	0.857	0.736	memusnahkan
extermination	0.190	0.860	0.616	pemusnahan
exterminator	0.344	0.804	0.887	pembasmi
external	0.479	0.341	0.509	luaran
externally	0.643	0.521	0.568	secara luaran
extinct	0.112	0.491	0.412	pupus
extinction	0.104	0.750	0.611	kepupusan
extinguish	0.240	0.576	0.482	memadamkan
extinguisher	0.707	0.379	0.543	alat pemadam
extol	0.582	0.667	0.456	memuji
extort	0.052	0.827	0.570	memeras ugut
extortion	0.112	0.868	0.630	peras ugut
extra	0.656	0.551	0.745	tambahan
extract	0.565	0.402	0.519	ekstrak
extracting	0.521	0.709	0.689	mengekstrak
extraction	0.418	0.740	0.526	perahan
extractor	0.302	0.536	0.519	pengekstrak
extracurricular	0.457	0.471	0.743	ekstrakurikuler
extradition	0.229	0.627	0.554	ekstradisi
extrajudicial	0.365	0.686	0.667	luar perundangan
extramural	0.336	0.559	0.537	extramural
extraneous	0.276	0.625	0.478	orang luar
extraordinaire	0.847	0.864	0.898	luar biasa
extraordinary	0.969	0.728	0.860	luar biasa
extraterrestrial	0.510	0.833	0.792	makhluk luar angkasa
extravagance	0.531	0.802	0.700	berlebih-lebihan
extravagant	0.720	0.763	0.812	boros
extravaganza	0.646	0.786	0.906	extravaganza
extreme	0.318	0.800	0.721	melampau
extreme anticipation	0.551	0.740	0.704	jangkaan yang melampau
extreme disgust	0.052	0.873	0.456	rasa jijik yang melampau
extreme surprise	0.833	0.935	0.676	kejutan yang melampau
extreme trust	0.826	0.713	0.922	kepercayaan yang melampau
extremely	0.635	0.827	0.886	amat
extremely negative	0.030	0.786	0.311	amat negatif
extremely positive	0.993	0.730	0.839	amat positif
extremity	0.408	0.588	0.583	keterlaluan
extricate	0.542	0.510	0.543	keluarkan
extrinsic	0.510	0.479	0.636	ekstrinsik
extrusion	0.229	0.660	0.545	penyemperitan
exuberance	0.698	0.816	0.787	kemeriahan
exude	0.375	0.519	0.411	memancarkan
eye	0.531	0.265	0.425	mata
eyeball	0.526	0.422	0.420	bebola mata
eyebrow	0.510	0.198	0.222	kening
eyeful	0.802	0.500	0.676	memerhati
eyeglass	0.531	0.236	0.286	cermin mata
eyeglasses	0.561	0.269	0.306	cermin mata
eyelash	0.480	0.250	0.278	bulu mata
eyelet	0.632	0.298	0.346	lubang mata
eyeliner	0.688	0.349	0.347	celak
eyepiece	0.418	0.347	0.480	kanta mata
eyes	0.760	0.279	0.432	mata
eyesight	0.750	0.226	0.343	penglihatan
eyewitness	0.541	0.686	0.698	saksi mata
fab	0.490	0.380	0.406	hebat
fable	0.663	0.387	0.389	cerita dongeng
fabled	0.625	0.538	0.545	dongengan
fabric	0.635	0.190	0.345	kain
fabricate	0.636	0.491	0.779	mengada-adakan
fabricated	0.418	0.427	0.555	direka-reka
fabrication	0.573	0.587	0.705	fabrikasi
fabulous	0.979	0.660	0.797	hebat
facade	0.520	0.333	0.518	fasad
face	0.571	0.173	0.453	muka
faceless	0.230	0.406	0.173	tidak berwajah
facet	0.667	0.324	0.382	segi
facial	0.594	0.429	0.433	muka
facile	0.740	0.264	0.307	mudah
facilitate	0.812	0.333	0.509	memudahkan
facility	0.625	0.500	0.654	kemudahan
facing	0.604	0.406	0.550	menghadap
facsimile	0.490	0.500	0.543	faksimili
fact	0.683	0.333	0.618	fakta
faction	0.469	0.430	0.448	puak
factor	0.635	0.365	0.678	faktor
factory	0.500	0.500	0.683	kilang
facts	0.688	0.471	0.693	fakta
factual	0.656	0.440	0.545	fakta
faculties	0.643	0.431	0.760	fakulti
faculty	0.615	0.412	0.732	fakulti
fad	0.663	0.520	0.570	fesyen
fade	0.354	0.333	0.245	pudar
faded	0.302	0.275	0.194	pudar
faeces	0.184	0.476	0.175	najis
fag	0.122	0.653	0.331	homo
faggot	0.219	0.643	0.292	homo
fail	0.177	0.578	0.154	gagal
failing	0.125	0.490	0.268	gagal
failure	0.167	0.575	0.139	kegagalan
fain	0.479	0.417	0.426	pengsan
faint	0.063	0.429	0.167	pengsan
fainting	0.333	0.510	0.214	pengsan
fair	0.812	0.557	0.643	adil
fairly	0.790	0.406	0.750	secara adil
fairness	0.740	0.317	0.552	keadilan
fairway	0.541	0.510	0.500	fairway
fairy	0.776	0.408	0.413	dongeng
faith	0.833	0.220	0.763	iman
faithful	0.888	0.333	0.627	setia
faithfulness	0.833	0.426	0.602	kesetiaan
faithless	0.102	0.683	0.304	tidak beriman
fake	0.073	0.554	0.268	palsu
faker	0.245	0.630	0.480	penipu
falafel	0.560	0.402	0.351	falafel
falcon	0.557	0.580	0.678	elang
fall	0.177	0.657	0.221	jatuh
fallacious	0.271	0.587	0.390	keliru
fallacy	0.112	0.561	0.430	kekeliruan
fallback	0.458	0.358	0.508	sandaran
fallible	0.365	0.537	0.402	boleh salah
falling	0.202	0.716	0.306	jatuh
fallopian	0.297	0.390	0.464	fallopian
fallout	0.428	0.356	0.373	gugur
fallow	0.375	0.368	0.464	terbiar
false	0.120	0.404	0.240	salah
falsehood	0.031	0.625	0.384	kepalsuan
falsely	0.083	0.480	0.265	secara palsu
falsification	0.173	0.720	0.490	pemalsuan
falsified	0.042	0.630	0.306	dipalsukan
falsify	0.115	0.657	0.409	memalsukan
