English Word	Valence	Arousal	Dominance	Polish Word
common	0.600	0.127	0.318	wspólny
commoner	0.448	0.365	0.327	człowiek z ludu
commonly	0.604	0.170	0.574	powszechnie
commonplace	0.520	0.337	0.442	komunał
commons	0.633	0.396	0.623	lud
commonwealth	0.630	0.406	0.702	wspólnota
commotion	0.490	0.700	0.646	zamieszanie
communal	0.592	0.321	0.556	wspólny
commune	0.500	0.488	0.655	gmina
communicable	0.796	0.491	0.623	zaraźliwy
communicate	0.823	0.410	0.696	komunikować się
communication	0.837	0.400	0.649	Komunikacja
communicative	0.847	0.560	0.637	rozmowny
communicator	0.573	0.509	0.796	komunikator
communion	0.765	0.357	0.607	komunia
communism	0.264	0.570	0.623	komunizm
communist	0.265	0.702	0.632	komunistyczny
community	0.750	0.350	0.659	wspólnota
commutation	0.469	0.431	0.652	komutacja
commutative	0.667	0.442	0.569	przemienny
commute	0.622	0.582	0.565	dojeżdżać
commuter	0.646	0.520	0.512	pasażer mający bilet okresowy
comp	0.573	0.450	0.371	komp
compact	0.458	0.417	0.673	kompaktowy
compaction	0.531	0.471	0.582	zagęszczanie
compactness	0.582	0.352	0.454	ścisłość
companion	0.770	0.377	0.618	towarzysz
companionless	0.271	0.259	0.200	bez towarzystwa
companionship	0.833	0.438	0.792	koleżeństwo
company	0.906	0.425	0.798	firma
comparable	0.562	0.443	0.458	porównywalny
comparative	0.470	0.273	0.562	porównawczy
comparatively	0.604	0.391	0.538	stosunkowo
compare	0.552	0.408	0.524	porównywać
comparison	0.583	0.456	0.492	porównanie
compartment	0.500	0.389	0.607	przedział
compass	0.541	0.307	0.529	kompas
compassion	0.735	0.258	0.509	współczucie
compassionate	0.857	0.404	0.411	współczujący
compatibility	0.816	0.450	0.673	zgodność
compatible	0.892	0.387	0.638	zgodny
compel	0.200	0.847	0.625	zmusić
compelled	0.333	0.654	0.347	zmuszony
compelling	0.698	0.570	0.870	zniewalający
compendium	0.610	0.461	0.537	kompendium
compensate	0.612	0.429	0.762	kompensować
compensation	0.775	0.469	0.598	odszkodowanie
compensatory	0.589	0.490	0.700	wyrównawczy
compete	0.573	0.745	0.786	konkurować
competence	0.615	0.802	0.823	kompetencja
competency	0.768	0.775	0.764	kompetencja
competent	0.865	0.560	0.904	kompetentny
competition	0.580	0.790	0.798	konkurencja
competitive	0.447	0.718	0.908	konkurencyjny
competitor	0.612	0.959	0.861	konkurent
compilation	0.530	0.512	0.606	kompilacja
compile	0.600	0.413	0.519	skompilować
complacency	0.604	0.503	0.519	samozadowolenie
complacent	0.625	0.452	0.518	zadowolony z siebie
complain	0.143	0.682	0.360	skarżyć się
complaint	0.143	0.606	0.281	skarga
complement	0.760	0.277	0.600	komplement
complementary	0.714	0.320	0.586	uzupełniający
complete	0.750	0.414	0.809	kompletny
completed	0.823	0.357	0.777	zakończony
completely	0.730	0.370	0.690	całkowicie
completeness	0.823	0.433	0.769	kompletność
completing	0.614	0.500	0.769	ukończenie
completion	0.656	0.470	0.525	ukończenie
complex	0.388	0.608	0.550	złożony
complexed	0.312	0.577	0.612	złożony
complexion	0.521	0.520	0.380	cera
complexity	0.479	0.620	0.595	złożoność
compliance	0.750	0.462	0.750	zgodność
compliant	0.677	0.310	0.519	zgodny
complicate	0.210	0.657	0.404	komplikować
complicated	0.211	0.660	0.455	skomplikowany
complication	0.365	0.726	0.330	powikłanie
complicity	0.323	0.684	0.670	współudział
compliment	0.820	0.490	0.651	komplement
complimentary	0.823	0.413	0.435	pochlebny
comply	0.806	0.370	0.638	zastosować się
complying	0.729	0.423	0.590	zgodne
compo	0.500	0.346	0.390	kompozycja
component	0.531	0.382	0.525	składnik
compose	0.639	0.432	0.694	komponować
composed	0.684	0.385	0.682	opanowany
composer	0.822	0.588	0.691	kompozytor
composite	0.591	0.459	0.620	złożony
composition	0.765	0.408	0.652	kompozycja
compost	0.480	0.404	0.441	kompost
composure	0.802	0.354	0.717	opanowanie
compound	0.635	0.385	0.735	mieszanina
comprehend	0.875	0.365	0.689	zrozumieć
comprehension	0.908	0.387	0.688	zrozumienie
comprehensive	0.796	0.385	0.644	wyczerpujący
compress	0.406	0.412	0.460	Kompresja
compressed	0.323	0.396	0.388	sprężony
compressible	0.622	0.392	0.585	ściśliwy
compression	0.646	0.521	0.579	kompresja
compressor	0.418	0.481	0.630	kompresor
comprise	0.839	0.373	0.669	zawierać
compromise	0.677	0.520	0.805	kompromis
comptroller	0.402	0.481	0.866	rewizor
compulsion	0.118	0.760	0.604	przymus
compulsive	0.347	0.871	0.573	przymusowy
compulsory	0.343	0.541	0.791	obowiązkowy
computable	0.570	0.402	0.545	obliczeniowy
computation	0.583	0.429	0.697	obliczenie
compute	0.531	0.408	0.564	obliczać
computer	0.802	0.356	0.639	komputer
computerized	0.677	0.450	0.657	skomputeryzowany
computing	0.745	0.398	0.695	przetwarzanie danych
comrade	0.781	0.412	0.804	towarzysz
con	0.255	0.736	0.427	kon
concatenation	0.480	0.593	0.539	powiązanie
concave	0.441	0.349	0.349	wklęsły
conceal	0.312	0.436	0.306	ukryć
concealed	0.344	0.363	0.352	ukryty
concealment	0.302	0.570	0.390	ukrywanie
concede	0.670	0.324	0.473	przyznać
conceit	0.354	0.625	0.309	zarozumiałość
conceited	0.194	0.667	0.473	zarozumiały
conceivable	0.730	0.350	0.613	wyobrażalny
conceive	0.708	0.538	0.700	pojąć
concentrate	0.750	0.439	0.743	skupiać się
concentration	0.735	0.500	0.722	stężenie
concentric	0.730	0.479	0.635	koncentryczny
concept	0.573	0.265	0.632	pojęcie
conception	0.694	0.490	0.614	koncepcja
concern	0.250	0.734	0.463	sprawa
concerned	0.292	0.698	0.350	zainteresowany
concert	0.938	0.867	0.718	koncert
concerto	0.613	0.759	0.679	koncert
concession	0.588	0.423	0.615	koncesja
concessional	0.770	0.493	0.657	koncesjonowany
conch	0.583	0.306	0.339	koncha
concierge	0.480	0.343	0.343	concierge
conciliation	0.792	0.475	0.726	pojednanie
concise	0.583	0.298	0.620	zwięzły
conclave	0.573	0.440	0.611	konklawe
conclude	0.530	0.267	0.679	wyciągnąć wniosek
concluding	0.531	0.382	0.603	podsumowując
conclusion	0.615	0.377	0.659	wniosek
conclusive	0.500	0.427	0.745	rozstrzygający
concoction	0.448	0.459	0.417	mikstura
concomitant	0.427	0.482	0.727	towarzyszący
concord	0.677	0.320	0.586	zgoda
concordance	0.625	0.358	0.608	zgodność
concours	0.500	0.530	0.495	zgadza się
concourse	0.740	0.657	0.528	zbiegowisko
concrete	0.633	0.420	0.547	beton
concubine	0.388	0.594	0.476	konkubina
concur	0.459	0.394	0.429	zgodzić się
concurrence	0.764	0.627	0.613	zbieżność
concurrent	0.573	0.547	0.741	równoległy
concurring	0.573	0.600	0.681	zgodny
concussion	0.072	0.708	0.482	wstrząs
condemn	0.102	0.793	0.625	potępiać
condemnation	0.133	0.725	0.449	potępienie
condensation	0.510	0.316	0.538	kondensacja
condensed	0.598	0.415	0.623	skondensowany
condescending	0.583	0.363	0.593	protekcjonalny
condescension	0.521	0.377	0.565	łaskawość
condiment	0.520	0.333	0.433	przyprawa
condition	0.500	0.469	0.519	stan
conditional	0.521	0.343	0.556	warunkowy
conditionally	0.396	0.419	0.617	warunkowo
conditioned	0.490	0.417	0.616	zastrzeżony
conditioner	0.781	0.360	0.538	odżywka
conditioning	0.440	0.468	0.617	kondycjonowanie
conditions	0.551	0.441	0.593	warunki
condo	0.439	0.288	0.607	mieszkanie
condolence	0.260	0.443	0.404	kondolencje
condolences	0.198	0.480	0.288	kondolencje
condom	0.406	0.637	0.500	prezerwatywa
condone	0.571	0.441	0.619	przebaczyć winę
condor	0.573	0.388	0.519	kondor
conducive	0.775	0.479	0.679	sprzyjający
conduct	0.453	0.510	0.750	przeprowadzić
conduction	0.530	0.557	0.717	przewodzenie
conductivity	0.583	0.575	0.642	przewodność
conductor	0.677	0.663	0.621	konduktor
conduit	0.470	0.302	0.413	przewód
cone	0.417	0.208	0.343	stożek
confederacy	0.590	0.541	0.736	konfederacja
confederate	0.551	0.546	0.792	konfederat
confederation	0.663	0.404	0.830	konfederacja
confer	0.573	0.482	0.583	przyznać
conference	0.688	0.615	0.606	konferencja
confess	0.360	0.712	0.431	wyznać
confession	0.469	0.642	0.460	wyznanie
confessional	0.458	0.392	0.629	konfesjonał
confessions	0.325	0.538	0.658	spowiedzi
confetti	0.781	0.573	0.250	konfetti
confidant	0.837	0.633	0.631	powiernik
confide	0.669	0.472	0.595	zwierzać
confidence	0.959	0.276	0.943	zaufanie
confident	0.765	0.324	0.723	pewny siebie
confidential	0.643	0.471	0.761	poufny
confidentiality	0.667	0.431	0.718	poufność
confidentially	0.633	0.469	0.558	poufnie
configuration	0.540	0.443	0.591	konfiguracja
confine	0.327	0.551	0.538	ograniczać
confined	0.286	0.472	0.444	ograniczony
confinement	0.333	0.656	0.520	uwięzienie
confines	0.396	0.386	0.542	granice
confirm	0.802	0.439	0.806	potwierdzać
confirmation	0.812	0.480	0.692	potwierdzenie
confirmatory	0.656	0.500	0.683	potwierdzenie
confirmed	0.760	0.490	0.764	Potwierdzony
confiscate	0.250	0.625	0.482	konfiskować
confiscation	0.208	0.706	0.586	konfiskata
conflagration	0.344	0.721	0.594	pożar
conflict	0.335	0.906	0.471	konflikt
conflicting	0.173	0.738	0.553	sprzeczny
confluence	0.677	0.598	0.565	zbieg
conform	0.479	0.380	0.375	odpowiadać
conformance	0.608	0.278	0.254	zgodność
conformation	0.622	0.435	0.711	struktura
conformity	0.645	0.363	0.579	konformizm
confound	0.347	0.529	0.333	zawieść
confounded	0.333	0.528	0.264	zakłopotany
confront	0.281	0.760	0.746	konfrontować
confrontation	0.177	0.870	0.658	konfrontacja
confuse	0.100	0.580	0.270	pomylić
confused	0.220	0.650	0.179	zmieszany
confusing	0.229	0.690	0.222	mylące
confusion	0.255	0.667	0.277	dezorientacja
conga	0.469	0.529	0.440	konga
congenial	0.820	0.412	0.620	pokrewny
congenital	0.448	0.434	0.427	wrodzony
congestion	0.271	0.654	0.491	przeludnienie
conglomerate	0.500	0.500	0.838	konglomerat
conglomeration	0.541	0.720	0.670	konglomerat
congrats	0.930	0.726	0.775	gratulacje
congratulate	0.927	0.724	0.784	pogratulować
congratulation	0.948	0.780	0.717	gratulacje
congratulations	0.960	0.755	0.719	Gratulacje
congratulatory	0.959	0.616	0.689	gratulacyjny
congregate	0.653	0.530	0.733	zgromadzić się
congregation	0.561	0.490	0.700	kongregacja
congress	0.449	0.444	0.857	kongres
congressional	0.552	0.491	0.848	kongresowy
congressman	0.438	0.471	0.877	kongresman
congruence	0.656	0.472	0.577	stosowność
conic	0.510	0.368	0.379	stożkowy
conical	0.490	0.422	0.471	stożkowy
conjecture	0.396	0.398	0.534	przypuszczenie
conjugal	0.698	0.510	0.688	małżeński
conjugate	0.583	0.420	0.467	sprzężony
conjugation	0.479	0.429	0.582	koniugacja
conjunction	0.520	0.472	0.509	spójnik
conjunctive	0.487	0.444	0.639	łączący
conjure	0.385	0.679	0.645	czarować
conjuring	0.224	0.653	0.694	zaklinanie
conk	0.340	0.469	0.404	nochal
connect	0.724	0.299	0.536	łączyć
connected	0.816	0.550	0.612	połączony
connection	0.729	0.560	0.655	połączenie
connective	0.719	0.491	0.764	łączący
connoisseur	0.760	0.461	0.769	znawca
conquer	0.694	0.873	0.971	podbić
conquering	0.760	0.873	0.936	zdobywanie
conqueror	0.604	0.809	0.930	zdobywca
conquest	0.710	0.702	0.833	podbój
conscience	0.663	0.375	0.721	sumienie
conscientious	0.688	0.404	0.688	sumienny
conscious	0.740	0.333	0.705	świadomy
consciousness	0.840	0.483	0.755	świadomość
conscription	0.396	0.775	0.642	pobór do wojska
consecrated	0.663	0.500	0.800	konsekrowany
consecration	0.771	0.418	0.804	poświęcenie
consecutive	0.663	0.418	0.643	kolejny
consensual	0.663	0.417	0.655	konsensualny
consensus	0.627	0.358	0.625	zgoda
consent	0.750	0.500	0.620	zgoda
consenting	0.727	0.406	0.693	wyrażanie zgody
consequence	0.240	0.721	0.593	konsekwencja
consequent	0.663	0.471	0.625	następnik
conservation	0.832	0.401	0.606	ochrona
conservatism	0.406	0.369	0.633	konserwatyzm
conservative	0.615	0.316	0.788	konserwatywny
conservatory	0.635	0.240	0.729	konserwatorium
conserve	0.690	0.347	0.573	chronić
consider	0.677	0.368	0.579	rozważać
considerable	0.653	0.314	0.683	znaczny
considerate	0.781	0.380	0.633	uważny
consideration	0.589	0.380	0.687	namysł
consignee	0.635	0.385	0.602	konsygnatariusz
consignment	0.490	0.440	0.500	Przesyłka
consist	0.823	0.386	0.580	składać się
consistency	0.714	0.500	0.887	spójność
consistent	0.786	0.431	0.726	spójny
consolation	0.408	0.250	0.304	pocieszenie
console	0.625	0.398	0.415	konsola
consoled	0.700	0.343	0.452	pocieszony
consolidate	0.880	0.440	0.870	konsolidować
consolidated	0.700	0.366	0.784	skonsolidowany
consolidation	0.604	0.445	0.776	konsolidacja
consonant	0.500	0.347	0.417	spółgłoska
consort	0.632	0.509	0.630	małżonek
conspicuous	0.479	0.520	0.596	rzucający się w oczy
conspiracy	0.125	0.787	0.652	spisek
conspirator	0.271	0.786	0.707	spiskowiec
conspire	0.206	0.740	0.520	konspirować
constable	0.573	0.667	0.764	policjant
constancy	0.786	0.443	0.763	stałość
constant	0.740	0.296	0.686	stały
constantly	0.663	0.561	0.700	stale
constellation	0.719	0.533	0.775	Konstelacja
consternation	0.167	0.680	0.469	konsternacja
constipation	0.079	0.612	0.231	zaparcie
constituency	0.500	0.480	0.696	okręg wyborczy
constituent	0.573	0.500	0.827	składnik
constituents	0.573	0.414	0.833	składniki
constitute	0.812	0.349	0.906	stanowić
constitution	0.590	0.380	0.889	konstytucja
constitutional	0.633	0.418	0.827	konstytucyjny
constitutionality	0.612	0.439	0.853	konstytucyjność
constrain	0.261	0.500	0.500	wymusić
constrained	0.135	0.537	0.357	ograniczony
constraint	0.323	0.550	0.481	ograniczenie
construct	0.750	0.648	0.792	zbudować
construction	0.848	0.612	0.759	budowa
constructive	0.860	0.570	0.812	konstruktywny
construe	0.602	0.519	0.553	interpretować
consul	0.573	0.354	0.688	konsul
consulate	0.561	0.453	0.694	konsulat
consult	0.755	0.370	0.441	konsultować
consultant	0.770	0.344	0.808	konsultant
consultation	0.660	0.463	0.625	konsultacja
consume	0.427	0.620	0.509	konsumować
consumer	0.507	0.551	0.677	konsument
consuming	0.573	0.541	0.536	trawiący
consummate	0.551	0.540	0.558	wytrawny
consummation	0.583	0.676	0.661	spełnienie
consumption	0.390	0.531	0.538	konsumpcja
contact	0.719	0.424	0.526	kontakt
contagion	0.208	0.630	0.535	zakażenie
contagious	0.184	0.725	0.400	zaraźliwy
contain	0.542	0.490	0.658	zawierać
container	0.551	0.396	0.561	pojemnik
containment	0.411	0.491	0.618	powstrzymywanie
contaminate	0.140	0.611	0.426	zanieczyścić
contaminated	0.040	0.500	0.368	zanieczyszczone
contamination	0.125	0.610	0.375	zanieczyszczenie
contemplate	0.740	0.347	0.642	rozważać
contemplation	0.552	0.324	0.627	kontemplacja
contemplative	0.729	0.308	0.739	kontemplacyjny
contemporaneous	0.640	0.373	0.591	współczesny
contemporary	0.720	0.365	0.569	współczesny
contempt	0.206	0.635	0.396	pogarda
contemptible	0.146	0.657	0.471	podły
contemptuous	0.204	0.500	0.375	pogardliwy
contend	0.510	0.657	0.731	walczyć
contender	0.480	0.790	0.681	zawodnik
contending	0.490	0.698	0.716	rywalizujący
content	0.764	0.296	0.559	zawartość
contented	0.857	0.612	0.746	zadowolony
contention	0.375	0.510	0.738	twierdzenie
contentious	0.422	0.573	0.637	sporny
contentment	0.875	0.610	0.782	zadowolenie
contents	0.656	0.375	0.550	zawartość
contest	0.667	0.698	0.717	Konkurs
contestant	0.760	0.530	0.602	zawodnik
context	0.531	0.300	0.553	kontekst
contiguous	0.375	0.450	0.500	przyległy
continence	0.450	0.396	0.469	powściągliwość
continent	0.551	0.373	0.833	kontynent
continental	0.486	0.350	0.755	kontynentalny
contingency	0.396	0.500	0.670	przypadkowość
contingent	0.470	0.531	0.659	kontyngent
continual	0.500	0.423	0.685	nieustanny
continually	0.646	0.438	0.698	nieustannie
continuance	0.729	0.510	0.652	trwanie
continuation	0.615	0.470	0.566	kontynuacja
continue	0.630	0.427	0.612	kontynuować
continued	0.635	0.440	0.500	nieprzerwany
continuing	0.667	0.500	0.520	kontynuacja
continuity	0.781	0.439	0.684	ciągłość
continuous	0.625	0.509	0.580	ciągły
continuously	0.719	0.417	0.702	bez przerwy
continuum	0.677	0.390	0.491	kontinuum
contour	0.589	0.265	0.414	kontur
contraband	0.177	0.875	0.670	kontrabanda
contraception	0.296	0.518	0.525	zapobieganie ciąży
contract	0.594	0.412	0.636	kontrakt
contracted	0.344	0.557	0.449	zakontraktowany
contractile	0.480	0.586	0.569	skurczony
contracting	0.594	0.490	0.769	kontraktowanie
contraction	0.292	0.755	0.603	skurcz
contractor	0.592	0.479	0.727	kontrahent
contradict	0.160	0.598	0.482	zaprzeczać
contradiction	0.250	0.660	0.377	sprzeczność
contradictory	0.365	0.651	0.421	sprzeczny
contraption	0.448	0.590	0.491	przyrząd
contrary	0.327	0.449	0.338	przeciwnie
contrast	0.480	0.406	0.520	kontrast
contrasted	0.521	0.538	0.491	skontrastowany
contravene	0.357	0.618	0.472	naruszać
contravention	0.344	0.627	0.593	naruszenie przepisów
contribute	0.806	0.350	0.795	przyczynić się
contribution	0.854	0.452	0.760	składka
contributor	0.844	0.510	0.760	współpracownik
contrite	0.347	0.363	0.473	skruszony
contrition	0.347	0.583	0.463	skrucha
contrived	0.408	0.530	0.458	wymyślony
control	0.729	0.352	0.808	kontrola
controller	0.469	0.712	0.868	kontroler
controlling	0.490	0.441	0.885	kontrolowanie
controversial	0.271	0.858	0.538	kontrowersyjny
controversy	0.250	0.819	0.600	spór
contusion	0.167	0.565	0.509	stłuczenie
conundrum	0.354	0.524	0.408	zagadka
convalescent	0.458	0.480	0.269	rekonwalescent
convection	0.521	0.494	0.526	konwekcja
convene	0.583	0.676	0.636	zwołać
convenience	0.781	0.448	0.613	wygoda
conveniences	0.802	0.412	0.693	komfort
convenient	0.846	0.491	0.574	wygodny
convent	0.480	0.217	0.594	klasztor
convention	0.622	0.622	0.704	Konwencja
conventional	0.594	0.292	0.634	standardowy
converge	0.635	0.471	0.539	skupiać
convergence	0.551	0.491	0.625	konwergencja
convergent	0.781	0.490	0.696	zbieżny
conversant	0.724	0.360	0.542	biegły
conversation	0.750	0.510	0.609	rozmowa
conversational	0.719	0.431	0.596	konwersacyjny
conversationalist	0.719	0.467	0.667	rozmówca
converse	0.594	0.406	0.598	rozmawiać
conversing	0.755	0.409	0.442	rozmowa
conversion	0.480	0.605	0.736	konwersja
convert	0.551	0.538	0.704	konwertować
converted	0.663	0.418	0.686	nawrócony
convertible	0.542	0.529	0.717	zamienny
convex	0.438	0.427	0.445	wypukły
convexity	0.449	0.354	0.484	wypukłość
convey	0.719	0.633	0.708	przekazywać
conveyance	0.615	0.520	0.455	przewóz
conveyancing	0.375	0.479	0.663	przenoszenie
convict	0.177	0.840	0.477	skazać
conviction	0.615	0.704	0.826	przekonanie
convince	0.708	0.539	0.763	przekonać
convinced	0.750	0.500	0.630	przekonany
convincing	0.760	0.527	0.900	przekonywający
convocation	0.538	0.611	0.663	zwołanie
convoluted	0.323	0.614	0.433	zwinięty
convolution	0.417	0.559	0.527	skręt
convoy	0.500	0.671	0.639	konwój
coo	0.490	0.439	0.500	gruchać
cook	0.847	0.500	0.412	gotować
cookbook	0.602	0.346	0.398	książka kucharska
cooker	0.592	0.373	0.407	kuchenka
cookery	0.633	0.368	0.345	sztuka kulinarna
cookie	0.792	0.306	0.250	ciastko
cookies	0.823	0.451	0.316	ciasteczka
cooking	0.694	0.510	0.434	gotowanie
cookout	0.680	0.406	0.482	gotowanie
cool	0.885	0.540	0.781	Fajny
coolant	0.720	0.412	0.456	płyn chłodzący
cooler	0.664	0.375	0.460	chłodnica
cooling	0.469	0.324	0.392	chłodzenie
coolness	0.490	0.307	0.548	chłód
coon	0.490	0.460	0.400	szop
coop	0.612	0.445	0.650	kooperacja
cooperate	0.898	0.451	0.582	współpracować
cooperating	0.760	0.390	0.693	współpracujący
cooperation	0.847	0.473	0.686	współpraca
cooperative	0.816	0.461	0.670	spółdzielnia
coordinate	0.698	0.429	0.694	koordynować
coordination	0.677	0.454	0.789	koordynacja
coordinator	0.750	0.510	0.850	koordynator
cop	0.327	0.770	0.836	policjant
copacetic	0.510	0.471	0.453	copacetic
cope	0.592	0.647	0.709	radzić sobie
copier	0.459	0.345	0.390	fotokopiarka
copilot	0.640	0.538	0.573	drugi pilot
coping	0.562	0.630	0.613	korona
copious	0.427	0.462	0.527	rzęsisty
copper	0.580	0.260	0.500	miedź
copter	0.571	0.704	0.569	śmigłowiec
copy	0.460	0.240	0.263	Kopiuj
copycat	0.449	0.580	0.443	naśladowca
copying	0.448	0.315	0.404	biurowy
copyright	0.458	0.402	0.663	prawa autorskie
coral	0.802	0.231	0.425	koral
coral snake	0.276	0.712	0.607	wąż koralowy
cord	0.388	0.378	0.358	sznur
cordial	0.823	0.312	0.482	serdeczny
cordless	0.667	0.441	0.528	bezprzewodowy
cordon	0.469	0.317	0.380	kordon
corduroy	0.570	0.324	0.357	spodnie sztruksowe
core	0.721	0.378	0.540	rdzeń
cork	0.347	0.250	0.281	korek
corkscrew	0.427	0.443	0.445	korkociąg
corn	0.594	0.196	0.292	kukurydza
cornball	0.479	0.378	0.325	kukurydza
cornbread	0.643	0.304	0.302	chleb kukurydziany
cornea	0.521	0.346	0.443	rogówka
corned	0.459	0.441	0.425	drastyczny
corner	0.400	0.296	0.366	narożnik
cornerstone	0.550	0.388	0.596	kamień węgielny
cornet	0.507	0.520	0.415	kornet
cornfield	0.719	0.310	0.349	niwa
cornflakes	0.729	0.346	0.355	płatki kukurydziane
cornice	0.458	0.441	0.295	gzyms
cornstarch	0.643	0.299	0.337	skrobia kukurydziana
corny	0.448	0.370	0.221	staromodny
corollary	0.458	0.469	0.366	następstwo
corona	0.818	0.439	0.745	korona
coronary	0.567	0.613	0.509	wieńcowy
coronation	0.792	0.592	0.836	koronacja
coroner	0.323	0.558	0.526	koroner
corporal	0.582	0.490	0.596	kapral
corporate	0.592	0.454	0.745	zbiorowy
corporation	0.429	0.332	0.873	Korporacja
corporeal	0.520	0.350	0.461	cielesny
corps	0.551	0.453	0.483	korpus
corpse	0.094	0.657	0.232	zwłoki
corpsman	0.439	0.469	0.651	sanitariusz
corpus	0.543	0.340	0.490	ciało
corral	0.606	0.662	0.422	dziedziniec
correct	0.857	0.306	0.723	prawidłowy
correction	0.448	0.485	0.558	korekta
correctional	0.292	0.713	0.602	poprawczy
corrective	0.448	0.528	0.613	poprawczy
correctness	0.796	0.450	0.649	poprawność
correlation	0.596	0.462	0.571	korelacja
correlative	0.510	0.402	0.571	współzależny
correspond	0.710	0.452	0.545	korespondować
correspondence	0.663	0.423	0.491	korespondencja
correspondent	0.573	0.565	0.712	korespondent
corresponding	0.740	0.423	0.618	odpowiedni
corridor	0.604	0.589	0.592	korytarz
corroborate	0.671	0.471	0.616	potwierdzać
corroboration	0.625	0.431	0.733	potwierdzenie
corrosion	0.156	0.610	0.348	korozja
corrosive	0.140	0.618	0.570	żrący
corrupt	0.020	0.806	0.500	skorumpowany
corrupting	0.062	0.804	0.380	korumpujący
corruption	0.052	0.830	0.549	korupcja
corsage	0.510	0.294	0.397	stanik
corse	0.448	0.451	0.382	cose
corset	0.490	0.520	0.381	gorset
cortex	0.594	0.439	0.529	kora
cortical	0.380	0.423	0.536	korowy
cortisone	0.427	0.395	0.456	kortyzon
corvette	0.551	0.520	0.598	korweta
cosmetic	0.625	0.304	0.308	kosmetyk
cosmetics	0.765	0.464	0.472	kosmetyki
cosmic	0.663	0.538	0.692	kosmiczny
cosmology	0.651	0.438	0.637	kosmologia
cosmopolitan	0.823	0.510	0.760	kosmopolityczny
cosmos	0.860	0.478	0.664	kosmos
cost	0.365	0.420	0.439	koszt
costly	0.316	0.650	0.642	kosztowny
costume	0.548	0.510	0.374	kostium
cosy	0.847	0.255	0.518	przytulny
cot	0.625	0.230	0.278	łóżko składane
cote	0.439	0.344	0.324	szopa
cottage	0.600	0.279	0.361	domek
cotton	0.639	0.071	0.240	bawełna
couch	0.594	0.082	0.198	kanapa
cougar	0.438	0.588	0.538	puma
cough	0.255	0.627	0.241	kaszel
council	0.875	0.279	0.635	rada
councilman	0.531	0.367	0.793	radny
counsel	0.594	0.519	0.730	rada
counseling	0.667	0.480	0.704	poradnictwo
counsellor	0.823	0.327	0.740	doradca
counselor	0.873	0.365	0.706	doradca
count	0.594	0.389	0.492	liczyć
countdown	0.438	0.692	0.490	odliczanie
countenance	0.635	0.440	0.690	oblicze
counter	0.439	0.478	0.750	licznik
counteract	0.378	0.542	0.688	przeciwdziałać
counterattack	0.281	0.951	0.764	kontratak
counterbalance	0.520	0.480	0.627	przeciwwaga
counterclaim	0.398	0.760	0.651	roszczenie wzajemne
counterfeit	0.094	0.694	0.451	podrobić
counterpart	0.448	0.608	0.577	odpowiednik
counterpoint	0.438	0.509	0.538	kontrapunkt
countess	0.562	0.440	0.670	hrabina
countless	0.520	0.566	0.534	niezliczony
country	0.698	0.394	0.693	kraj
countryman	0.673	0.441	0.789	rodak
countrymusic	0.795	0.451	0.438	muzyka country
countryside	0.732	0.288	0.327	wieś
counts	0.343	0.373	0.500	liczy
county	0.479	0.368	0.545	Hrabstwo
coup	0.275	0.815	0.607	pucz
coupe	0.479	0.460	0.482	coupe
couple	0.806	0.605	0.607	para
coupled	0.612	0.286	0.650	sprzężony
coupling	0.594	0.479	0.555	sprzęganie
coupon	0.704	0.300	0.421	kupon
courage	0.830	0.728	0.849	odwaga
courageous	0.918	0.587	0.879	odważny
courier	0.551	0.383	0.441	kurier
courses	0.735	0.412	0.534	kursy
coursing	0.542	0.472	0.546	pościg
court	0.479	0.769	0.827	Sąd
courteous	0.937	0.396	0.529	uprzejmy
courtesy	0.927	0.287	0.431	kurtuazja
courthouse	0.571	0.503	0.818	Sąd
courtroom	0.385	0.670	0.887	sala sądowa
courts	0.367	0.710	0.816	sądy
courtship	0.667	0.490	0.654	zaloty
courtside	0.592	0.391	0.434	podwórko
courtyard	0.503	0.365	0.355	dziedziniec
cousin	0.675	0.394	0.427	kuzyn
cousins	0.760	0.409	0.464	kuzyni
cove	0.500	0.304	0.370	zatoczka
coven	0.458	0.578	0.591	sabat
covenant	0.594	0.462	0.667	przymierze
cover	0.365	0.240	0.471	pokrywa
coverage	0.767	0.413	0.629	zasięg
covered	0.562	0.340	0.644	pokryty
covering	0.615	0.382	0.583	pokrycie
covert	0.500	0.570	0.508	ukryty
covet	0.302	0.779	0.524	pożądać czegoś
coveted	0.661	0.730	0.625	upragniony
cow	0.449	0.230	0.300	krowa
coward	0.102	0.490	0.149	tchórz
cowardice	0.133	0.621	0.167	tchórzostwo
cowardly	0.102	0.385	0.127	tchórzliwy
cowboy	0.594	0.625	0.695	kowboj
cowgirl	0.541	0.566	0.554	kowbojka
cowhand	0.438	0.480	0.596	cowhand
cowhide	0.458	0.324	0.333	skóra bydlęca
cowl	0.427	0.450	0.232	kaptur
coworker	0.667	0.490	0.625	współpracownik
coy	0.347	0.330	0.213	skromny
coyote	0.459	0.471	0.387	kojot
cozy	0.910	0.356	0.545	przytulny
crab	0.421	0.396	0.330	Krab
crabby	0.198	0.812	0.370	crabby
crack	0.302	0.625	0.400	pękać
cracked	0.224	0.520	0.228	pęknięty
cracker	0.604	0.343	0.346	krakers
crackerjack	0.567	0.509	0.426	coś świetnego
cracking	0.327	0.557	0.286	Pękanie
