English Word	Valence	Arousal	Dominance	Spanish Word
coop	0.612	0.445	0.650	cooperativa
cooperate	0.898	0.451	0.582	cooperar
cooperating	0.760	0.390	0.693	cooperando
cooperation	0.847	0.473	0.686	cooperación
cooperative	0.816	0.461	0.670	cooperativa
coordinate	0.698	0.429	0.694	coordinar
coordination	0.677	0.454	0.789	coordinación
coordinator	0.750	0.510	0.850	coordinador
cop	0.327	0.770	0.836	policía
copacetic	0.510	0.471	0.453	copacetico
cope	0.592	0.647	0.709	afrontar
copier	0.459	0.345	0.390	copiador
copilot	0.640	0.538	0.573	copiloto
coping	0.562	0.630	0.613	albardilla
copious	0.427	0.462	0.527	copioso
copper	0.580	0.260	0.500	cobre
copter	0.571	0.704	0.569	helicóptero
copy	0.460	0.240	0.263	Copiar
copycat	0.449	0.580	0.443	imitador
copying	0.448	0.315	0.404	proceso de copiar
copyright	0.458	0.402	0.663	derechos de autor
coral	0.802	0.231	0.425	coral
coral snake	0.276	0.712	0.607	serpiente de coral
cord	0.388	0.378	0.358	cable
cordial	0.823	0.312	0.482	cordial
cordless	0.667	0.441	0.528	sin cable
cordon	0.469	0.317	0.380	cordón
corduroy	0.570	0.324	0.357	pana
core	0.721	0.378	0.540	centro
cork	0.347	0.250	0.281	corcho
corkscrew	0.427	0.443	0.445	sacacorchos
corn	0.594	0.196	0.292	maíz
cornball	0.479	0.378	0.325	bola de maíz
cornbread	0.643	0.304	0.302	pan de maíz
cornea	0.521	0.346	0.443	córnea
corned	0.459	0.441	0.425	acecinado
corner	0.400	0.296	0.366	esquina
cornerstone	0.550	0.388	0.596	piedra angular
cornet	0.507	0.520	0.415	cucurucho
cornfield	0.719	0.310	0.349	maizal
cornflakes	0.729	0.346	0.355	copos de maíz
cornice	0.458	0.441	0.295	cornisa
cornstarch	0.643	0.299	0.337	maicena
corny	0.448	0.370	0.221	cursi
corollary	0.458	0.469	0.366	corolario
corona	0.818	0.439	0.745	corona
coronary	0.567	0.613	0.509	coronario
coronation	0.792	0.592	0.836	coronación
coroner	0.323	0.558	0.526	juez de instrucción
corporal	0.582	0.490	0.596	corporal
corporate	0.592	0.454	0.745	corporativo
corporation	0.429	0.332	0.873	corporación
corporeal	0.520	0.350	0.461	corpóreo
corps	0.551	0.453	0.483	cuerpo
corpse	0.094	0.657	0.232	cadáver
corpsman	0.439	0.469	0.651	ayudante médico
corpus	0.543	0.340	0.490	cuerpo
corral	0.606	0.662	0.422	corral
correct	0.857	0.306	0.723	correcto
correction	0.448	0.485	0.558	corrección
correctional	0.292	0.713	0.602	correccional
corrective	0.448	0.528	0.613	correctivo
correctness	0.796	0.450	0.649	exactitud
correlation	0.596	0.462	0.571	correlación
correlative	0.510	0.402	0.571	correlativo
correspond	0.710	0.452	0.545	corresponder
correspondence	0.663	0.423	0.491	correspondencia
correspondent	0.573	0.565	0.712	corresponsal
corresponding	0.740	0.423	0.618	correspondiente
corridor	0.604	0.589	0.592	corredor
corroborate	0.671	0.471	0.616	corroborar
corroboration	0.625	0.431	0.733	corroboración
corrosion	0.156	0.610	0.348	corrosión
corrosive	0.140	0.618	0.570	corrosivo
corrupt	0.020	0.806	0.500	corrupto
corrupting	0.062	0.804	0.380	corrompiendo
corruption	0.052	0.830	0.549	corrupción
corsage	0.510	0.294	0.397	cuerpo
corse	0.448	0.451	0.382	corso
corset	0.490	0.520	0.381	corsé
cortex	0.594	0.439	0.529	corteza
cortical	0.380	0.423	0.536	cortical
cortisone	0.427	0.395	0.456	cortisona
corvette	0.551	0.520	0.598	corbeta
cosmetic	0.625	0.304	0.308	cosmético
cosmetics	0.765	0.464	0.472	productos cosméticos
cosmic	0.663	0.538	0.692	cósmico
cosmology	0.651	0.438	0.637	cosmología
cosmopolitan	0.823	0.510	0.760	cosmopolita
cosmos	0.860	0.478	0.664	cosmos
cost	0.365	0.420	0.439	costo
costly	0.316	0.650	0.642	costoso
costume	0.548	0.510	0.374	disfraz
cosy	0.847	0.255	0.518	acogedor
cot	0.625	0.230	0.278	cuna
cote	0.439	0.344	0.324	redil
cottage	0.600	0.279	0.361	cabaña
cotton	0.639	0.071	0.240	algodón
couch	0.594	0.082	0.198	sofá
cougar	0.438	0.588	0.538	Puma
cough	0.255	0.627	0.241	tos
council	0.875	0.279	0.635	Consejo
councilman	0.531	0.367	0.793	concejal
counsel	0.594	0.519	0.730	consejo
counseling	0.667	0.480	0.704	asesoramiento
counsellor	0.823	0.327	0.740	consejero
counselor	0.873	0.365	0.706	consejero
count	0.594	0.389	0.492	contar
countdown	0.438	0.692	0.490	cuenta regresiva
countenance	0.635	0.440	0.690	rostro
counter	0.439	0.478	0.750	encimera
counteract	0.378	0.542	0.688	contrarrestar
counterattack	0.281	0.951	0.764	contraataque
counterbalance	0.520	0.480	0.627	contrapeso
counterclaim	0.398	0.760	0.651	reconvención
counterfeit	0.094	0.694	0.451	falsificación
counterpart	0.448	0.608	0.577	contrapartida
counterpoint	0.438	0.509	0.538	contrapunto
countess	0.562	0.440	0.670	condesa
countless	0.520	0.566	0.534	incontable
country	0.698	0.394	0.693	país
countryman	0.673	0.441	0.789	compatriota
countrymusic	0.795	0.451	0.438	la música country
countryside	0.732	0.288	0.327	campo
counts	0.343	0.373	0.500	cuenta
county	0.479	0.368	0.545	condado
coup	0.275	0.815	0.607	golpe
coupe	0.479	0.460	0.482	cupé
couple	0.806	0.605	0.607	pareja
coupled	0.612	0.286	0.650	acoplado
coupling	0.594	0.479	0.555	acoplamiento
coupon	0.704	0.300	0.421	cupón
courage	0.830	0.728	0.849	coraje
courageous	0.918	0.587	0.879	valiente
courier	0.551	0.383	0.441	mensajero
courses	0.735	0.412	0.534	cursos
coursing	0.542	0.472	0.546	caza de liebres
court	0.479	0.769	0.827	tribunal
courteous	0.937	0.396	0.529	cortés
courtesy	0.927	0.287	0.431	cortesía
courthouse	0.571	0.503	0.818	palacio de justicia
courtroom	0.385	0.670	0.887	sala de justicia
courts	0.367	0.710	0.816	tribunales
courtship	0.667	0.490	0.654	noviazgo
courtside	0.592	0.391	0.434	junto a la cancha
courtyard	0.503	0.365	0.355	patio
cousin	0.675	0.394	0.427	primo
cousins	0.760	0.409	0.464	primos
cove	0.500	0.304	0.370	ensenada
coven	0.458	0.578	0.591	asamblea de brujas
covenant	0.594	0.462	0.667	pacto
cover	0.365	0.240	0.471	cubrir
coverage	0.767	0.413	0.629	cobertura
covered	0.562	0.340	0.644	cubierto
covering	0.615	0.382	0.583	cubierta
covert	0.500	0.570	0.508	encubierto
covet	0.302	0.779	0.524	codiciar
coveted	0.661	0.730	0.625	codiciado
cow	0.449	0.230	0.300	vaca
coward	0.102	0.490	0.149	cobarde
cowardice	0.133	0.621	0.167	cobardía
cowardly	0.102	0.385	0.127	cobardemente
cowboy	0.594	0.625	0.695	vaquero
cowgirl	0.541	0.566	0.554	vaquera
cowhand	0.438	0.480	0.596	vaquero
cowhide	0.458	0.324	0.333	cuero
cowl	0.427	0.450	0.232	capucha
coworker	0.667	0.490	0.625	compañero de trabajo
coy	0.347	0.330	0.213	tímido
coyote	0.459	0.471	0.387	coyote
cozy	0.910	0.356	0.545	acogedor
crab	0.421	0.396	0.330	cangrejo
crabby	0.198	0.812	0.370	osco
crack	0.302	0.625	0.400	grieta
cracked	0.224	0.520	0.228	agrietado
cracker	0.604	0.343	0.346	galleta
crackerjack	0.567	0.509	0.426	campeón
cracking	0.327	0.557	0.286	agrietamiento
crackle	0.327	0.643	0.481	crepitar
crackpot	0.260	0.602	0.245	chiflado
cradle	0.776	0.194	0.333	cuna
craft	0.760	0.321	0.539	artesanía
crafts	0.667	0.380	0.391	artesanía
craftsman	0.719	0.310	0.583	artesano
craftsmanship	0.823	0.373	0.571	artesanía
crafty	0.589	0.679	0.783	astuto
craig	0.448	0.449	0.490	craig
cram	0.354	0.730	0.598	atestar
crammed	0.406	0.740	0.466	abarrotado
cramp	0.194	0.796	0.340	calambre
cramped	0.240	0.567	0.360	estrecho
cranberry	0.793	0.330	0.363	arándano
cranberry juice	0.622	0.321	0.281	jugo de arándano
crane	0.396	0.417	0.589	grua
cranial	0.354	0.510	0.583	craneal
cranium	0.439	0.491	0.725	cráneo
crank	0.448	0.275	0.417	manivela
cranky	0.194	0.776	0.396	de maniático
cranny	0.194	0.471	0.250	grieta
crap	0.083	0.644	0.167	tonterías
crappy	0.039	0.582	0.208	de mierda
craps	0.375	0.420	0.273	dados
crash	0.194	0.906	0.355	choque
crass	0.223	0.490	0.466	craso
crate	0.427	0.173	0.274	caja
crater	0.450	0.647	0.529	cráter
crave	0.625	0.510	0.731	pedir
craving	0.510	0.755	0.636	antojo
crawfish	0.510	0.427	0.342	cangrejo de río
crawl	0.479	0.519	0.467	gatear
crayon	0.604	0.260	0.185	lápiz de color
crayons	0.684	0.366	0.405	lápices de color
craze	0.255	0.657	0.435	manía
crazed	0.153	0.877	0.417	loco
craziness	0.238	0.908	0.255	locura
crazy	0.156	0.843	0.321	loca
creak	0.344	0.670	0.411	crujir
creaking	0.302	0.743	0.415	crujiente
cream	0.688	0.259	0.220	crema
creamed	0.723	0.273	0.288	crema
creamer	0.594	0.192	0.269	desnatadora
creamy	0.823	0.337	0.345	cremoso
crease	0.440	0.286	0.300	pliegue
create	0.786	0.588	0.789	crear
creation	0.927	0.575	0.868	creación
creative	0.917	0.518	0.788	creativo
creativity	0.938	0.684	0.815	creatividad
creator	0.865	0.592	0.856	creador
creature	0.669	0.625	0.620	criatura
credence	0.760	0.460	0.737	crédito
credential	0.735	0.337	0.597	credencial
credentials	0.708	0.373	0.675	cartas credenciales
credibility	0.875	0.427	0.809	credibilidad
credible	0.917	0.441	0.750	creíble
credit	0.673	0.549	0.648	crédito
credit card	0.670	0.550	0.640	tarjeta de crédito
creditable	0.802	0.510	0.742	loable
credited	0.781	0.390	0.691	acreditado
crediting	0.673	0.550	0.741	acreditando
creditor	0.479	0.594	0.689	acreedor
creed	0.573	0.245	0.544	credo
creek	0.552	0.392	0.330	Riachuelo
creep	0.354	0.647	0.361	arrastrarse
creeper	0.429	0.558	0.366	enredadera
creeping	0.292	0.613	0.282	progresivo
creepy	0.125	0.861	0.373	Siniestro
cremation	0.084	0.620	0.420	cremación
creole	0.667	0.357	0.523	criollo
crepe	0.562	0.224	0.349	crepe
crescendo	0.760	0.575	0.594	crescendo
crescent	0.698	0.382	0.407	creciente
crest	0.458	0.333	0.333	cresta
crestfallen	0.235	0.346	0.175	cabizbajo
cretin	0.265	0.583	0.312	cretino
cretins	0.094	0.741	0.328	cretinos
crevice	0.361	0.471	0.275	hendedura
crew	0.604	0.598	0.735	tripulación
crewman	0.602	0.580	0.548	tripulante
crib	0.653	0.240	0.407	cuna
cricket	0.423	0.539	0.370	Grillo
cried	0.167	0.612	0.254	llorado
crime	0.071	0.943	0.630	delito
criminal	0.021	0.830	0.529	delincuente
criminality	0.122	0.863	0.580	criminalidad
crimp	0.260	0.557	0.396	rizar
crimson	0.667	0.385	0.370	carmesí
cringe	0.245	0.840	0.377	morir de vergüenza
cripple	0.094	0.392	0.161	lisiado
crippled	0.035	0.358	0.236	lisiado
crippling	0.156	0.598	0.391	herida
crisis	0.208	0.811	0.431	crisis
crisp	0.776	0.692	0.508	crujiente
crispy	0.656	0.550	0.509	crujiente
criterion	0.396	0.410	0.736	criterio
critic	0.264	0.604	0.686	crítico
critical	0.312	0.802	0.545	crítico
criticise	0.073	0.700	0.452	criticar
criticism	0.115	0.563	0.505	crítica
criticize	0.143	0.708	0.473	criticar
criticized	0.240	0.600	0.311	criticado
critique	0.302	0.760	0.537	crítica
critter	0.542	0.539	0.482	bicho
croak	0.337	0.346	0.298	croar
croc	0.327	0.452	0.451	cocodrilo
crock	0.385	0.412	0.421	vasija
crockery	0.552	0.216	0.327	vajilla
crocodile	0.344	0.708	0.610	cocodrilo
croft	0.531	0.429	0.421	granja pequeña
croissant	0.745	0.330	0.430	cuerno
crook	0.171	0.765	0.550	ladrón
crooked	0.146	0.594	0.305	torcido
crop	0.615	0.260	0.500	cultivo
croquet	0.551	0.519	0.407	juego de croquet
cross	0.448	0.321	0.569	cruz
cross country	0.531	0.441	0.529	a campo traviesa
crossbow	0.344	0.598	0.560	ballesta
crossed	0.431	0.490	0.508	cruzado
crossfire	0.316	0.896	0.722	fuego cruzado
crossing	0.549	0.349	0.451	cruce
crossover	0.559	0.550	0.500	Transversal
crosswalk	0.557	0.441	0.380	paso de peatones
crossword	0.611	0.423	0.455	crucigrama
crotch	0.521	0.637	0.447	entrepierna
crouch	0.281	0.606	0.312	agacharse
crouched	0.333	0.363	0.279	agachado
crouching	0.261	0.429	0.345	agazapado
croupier	0.531	0.519	0.404	crupier
crow	0.224	0.439	0.363	cuervo
crowbar	0.406	0.531	0.386	palanca
crowd	0.350	0.827	0.731	multitud
crowded	0.694	0.286	0.585	atestado
crowds	0.469	0.723	0.806	multitudes
crown	0.708	0.572	0.737	corona
crowning	0.773	0.594	0.831	coronamiento
crucial	0.541	0.657	0.777	crucial
cruciate	0.429	0.435	0.585	cruzado
crucifix	0.469	0.480	0.510	crucifijo
crucifixion	0.135	0.857	0.541	crucifixión
crucify	0.146	0.878	0.573	crucificar
crud	0.312	0.330	0.444	basura
crude	0.198	0.402	0.357	crudo
cruel	0.122	0.866	0.391	cruel
cruelly	0.146	0.790	0.471	con crueldad
cruelty	0.092	0.836	0.536	crueldad
cruise	0.740	0.442	0.683	crucero
cruise ship	0.878	0.650	0.500	crucero
cruiser	0.737	0.490	0.608	crucero
cruising	0.886	0.580	0.560	crucero
crumb	0.417	0.255	0.216	miga
crumble	0.333	0.480	0.423	desmoronarse
crumbling	0.167	0.696	0.308	desmoronándose
crummy	0.125	0.531	0.224	sucio
crunch	0.292	0.630	0.406	crujido
crunchy	0.625	0.560	0.539	crujiente
crusade	0.592	0.720	0.709	cruzada
crusader	0.439	0.588	0.548	cruzado
crush	0.271	0.676	0.582	Persona especial
crushed	0.167	0.647	0.300	aplastada
crusher	0.271	0.709	0.598	trituradora
crushing	0.219	0.755	0.411	aplastante
crust	0.542	0.337	0.456	corteza
crusty	0.625	0.531	0.473	crujiente
crutch	0.302	0.294	0.302	muleta
crux	0.469	0.558	0.519	quid
cry	0.133	0.627	0.255	llorar
crybaby	0.375	0.702	0.311	llorón
crying	0.153	0.704	0.208	llorando
crypt	0.156	0.431	0.386	cripta
cryptic	0.296	0.516	0.474	críptico
cryptography	0.490	0.415	0.650	criptografía
crystal	0.618	0.270	0.508	cristal
crystalline	0.765	0.235	0.534	cristalino
crystallization	0.600	0.449	0.565	cristalización
cub	0.646	0.382	0.284	cachorro
cubby	0.354	0.385	0.360	compartimento
cube	0.469	0.226	0.274	cubo
cubic	0.458	0.306	0.407	cúbico
cubicle	0.479	0.343	0.417	cubículo
cuckold	0.210	0.573	0.230	cornudo
cuckoo	0.420	0.459	0.284	cuco
cucumber	0.490	0.235	0.237	pepino
cuddle	0.885	0.559	0.475	abrazo
cuddled	0.906	0.547	0.567	abrazado
cuddles	0.847	0.382	0.500	mimos
cuddling	0.917	0.562	0.433	caricias
cue	0.521	0.433	0.484	señal
cuff	0.469	0.453	0.387	brazalete
cuisine	0.714	0.365	0.390	cocina
culinary	0.654	0.443	0.519	culinario
cull	0.365	0.702	0.464	desecho
culminate	0.667	0.550	0.602	culminar
culmination	0.656	0.586	0.695	culminación
culpability	0.112	0.745	0.368	culpabilidad
culpable	0.140	0.700	0.319	culpable
culprit	0.062	0.676	0.333	culpable
cult	0.448	0.535	0.648	culto
cultivate	0.708	0.410	0.598	cultivar
cultivated	0.837	0.343	0.564	cultivado
cultivation	0.625	0.324	0.462	cultivo
cultural	0.802	0.390	0.623	cultural
culture	0.753	0.304	0.675	cultura
cultured	0.635	0.429	0.625	culto
culvert	0.337	0.324	0.343	alcantarilla
cumbersome	0.259	0.623	0.292	incómodo
cumulus	0.570	0.433	0.432	cúmulo
cunning	0.604	0.685	0.683	astucia
cunt	0.135	0.673	0.377	coño
cup	0.615	0.167	0.231	taza
cupboard	0.553	0.200	0.304	alacena
cupcake	0.656	0.333	0.344	magdalena
cupping	0.490	0.610	0.402	utilización de tazas
cur	0.440	0.519	0.460	canalla
curable	0.823	0.292	0.574	curable
curate	0.726	0.418	0.526	cura
curative	0.667	0.318	0.613	curativo
curator	0.688	0.389	0.688	curador
curb	0.472	0.371	0.402	frenar
curd	0.542	0.442	0.278	Cuajada
cure	0.719	0.377	0.623	curar
curfew	0.219	0.618	0.623	toque de queda
curiosity	0.750	0.755	0.463	curiosidad
curious	0.635	0.600	0.483	curioso
curl	0.385	0.452	0.351	rizo
curling	0.583	0.592	0.400	curling
currency	0.583	0.418	0.592	divisa
current	0.625	0.312	0.612	Actual
curriculum	0.708	0.306	0.620	plan de estudios
curry	0.633	0.345	0.302	curry
curse	0.033	0.720	0.375	maldición
cursed	0.083	0.783	0.393	maldito
cursing	0.112	0.860	0.446	maldiciendo
cursory	0.423	0.451	0.431	superficial
curt	0.245	0.610	0.452	brusco
curtail	0.306	0.439	0.497	acortar
curtailment	0.230	0.578	0.431	reducción
curtain	0.698	0.278	0.304	cortina
curtains	0.615	0.123	0.342	cortinas
curtsy	0.635	0.412	0.598	reverencia
curvature	0.417	0.367	0.447	curvatura
curve	0.480	0.375	0.307	curva
curved	0.542	0.407	0.337	curvo
curvilinear	0.480	0.575	0.411	con línea no recta
cushion	0.653	0.221	0.292	almohadón
cushy	0.823	0.283	0.395	fácil
cusp	0.667	0.710	0.700	cúspide
cuss	0.354	0.538	0.443	tipo de
cussed	0.156	0.625	0.454	terco
custard	0.618	0.260	0.293	lactoso
custodial	0.418	0.462	0.718	custodia
custodian	0.594	0.625	0.528	custodio
custody	0.494	0.472	0.675	custodia
custom	0.552	0.382	0.688	disfraz
customary	0.700	0.253	0.561	acostumbrado
customer	0.562	0.430	0.673	cliente
customized	0.625	0.504	0.590	personalizado
cut	0.490	0.490	0.393	Corte
cutaneous	0.365	0.370	0.328	cutáneo
cute	0.920	0.528	0.579	lindo
cuticle	0.340	0.320	0.377	cutícula
cutie	0.638	0.528	0.464	chica
cutlass	0.173	0.648	0.528	chafarote
cutlery	0.552	0.300	0.345	cuchillería
cutoff	0.432	0.510	0.518	cortar
cutter	0.427	0.731	0.583	cortador
cutters	0.197	0.653	0.491	cortadores
cutthroat	0.110	0.823	0.663	asesino
cutting	0.448	0.375	0.536	corte
cutting board	0.337	0.540	0.342	tabla de cortar
cuttings	0.479	0.392	0.433	esquejes
cwt	0.500	0.410	0.384	cwt
cyanide	0.229	0.667	0.545	cianuro
cyberspace	0.677	0.594	0.611	ciberespacio
cycle	0.635	0.400	0.533	ciclo
cyclical	0.380	0.450	0.554	cíclico
cyclist	0.684	0.582	0.576	ciclista
cyclone	0.416	0.796	0.673	ciclón
cylinder	0.459	0.324	0.447	cilindro
cylindrical	0.458	0.294	0.414	cilíndrico
cymbal	0.542	0.363	0.362	platillo
cynic	0.135	0.632	0.473	cínico
cynical	0.156	0.760	0.474	cínico
cynicism	0.104	0.780	0.454	cinismo
cyst	0.173	0.578	0.312	quiste
cystic	0.314	0.481	0.400	cístico
cytomegalovirus	0.186	0.657	0.443	citomegalovirus
cytoplasm	0.378	0.442	0.474	citoplasma
czar	0.480	0.348	0.643	zar
dab	0.510	0.337	0.340	lenguado
dabble	0.550	0.530	0.491	salpicar
dabbling	0.562	0.726	0.676	chapoteando
dad	0.857	0.412	0.786	papá
daddy	0.795	0.400	0.736	papi
dado	0.510	0.240	0.364	friso
daemon	0.333	0.490	0.500	demonio
daft	0.255	0.436	0.157	loco
dagger	0.224	0.797	0.613	daga
daily	0.653	0.347	0.473	diariamente
dainty	0.604	0.284	0.424	delicado
daiquiri	0.670	0.519	0.400	daiquirí
dairy	0.633	0.255	0.462	lácteos
daisy	0.562	0.367	0.333	margarita
dak	0.510	0.417	0.424	Dak
dale	0.622	0.270	0.365	valle
dam	0.250	0.553	0.394	presa
damage	0.059	0.726	0.403	daño
damaged	0.104	0.635	0.182	dañado
damages	0.082	0.760	0.310	daños y perjuicios
dame	0.694	0.480	0.500	dama
damn	0.073	0.784	0.431	maldita sea
damnation	0.135	0.750	0.416	condenación
damned	0.100	0.760	0.465	maldito
damp	0.360	0.279	0.210	húmedo
dampened	0.271	0.422	0.336	humedecido
damper	0.459	0.378	0.473	apagador
damsel	0.719	0.475	0.400	damisela
dance	0.894	0.840	0.551	baile
dancer	0.740	0.768	0.545	bailarín
dancing	0.885	0.868	0.444	bailando
dandruff	0.398	0.298	0.293	caspa
dandy	0.673	0.520	0.630	dandy
danger	0.115	0.923	0.673	peligro
dangerous	0.020	0.941	0.658	peligroso
dangerously	0.082	0.930	0.564	peligrosamente
dangit	0.396	0.606	0.358	maldita sea
dangle	0.362	0.469	0.375	colgar
dank	0.390	0.381	0.383	húmedo
dapper	0.770	0.560	0.698	apuesto
dare	0.677	0.788	0.684	atrevimiento
daredevil	0.429	0.714	0.653	temerario
daresay	0.540	0.451	0.490	dicho atrevido
daring	0.583	0.840	0.711	atrevido
dark	0.198	0.398	0.426	oscuro
darken	0.250	0.471	0.382	oscurecer
darkened	0.135	0.440	0.452	oscurecido
darkly	0.219	0.548	0.443	misteriosamente
darkness	0.102	0.602	0.418	oscuridad
darkroom	0.188	0.627	0.423	cuarto oscuro
darkside	0.102	0.690	0.365	lado oscuro
darling	0.885	0.370	0.608	querida
darn	0.115	0.765	0.418	maldito
dart	0.417	0.608	0.500	dardo
dash	0.574	0.312	0.324	estrellarse
dashboard	0.510	0.371	0.595	tablero
dashed	0.276	0.393	0.338	punteado
dashing	0.612	0.627	0.799	apuesto
dastardly	0.208	0.688	0.270	ruin
data	0.500	0.250	0.426	datos
database	0.604	0.286	0.644	base de datos
date	0.604	0.231	0.400	fecha
datenight	0.708	0.637	0.518	noche de cita
daughter	0.908	0.415	0.455	hija
dawdle	0.479	0.464	0.357	holgazanear
dawn	0.827	0.235	0.519	amanecer
dawned	0.694	0.471	0.473	amaneció
day	0.719	0.269	0.389	día
daybreak	0.802	0.358	0.474	Alba
daycare	0.776	0.481	0.360	guardería
daydream	0.750	0.337	0.456	ensueño
daydreaming	0.776	0.360	0.479	soñador
daylight	0.865	0.420	0.545	luz
daymade	0.646	0.450	0.417	Día hecho
dayoff	0.760	0.368	0.377	día libre
daytime	0.750	0.324	0.454	tiempo de día
daze	0.245	0.735	0.329	aturdimiento
dazed	0.300	0.697	0.277	aturdido
dazzle	0.730	0.782	0.683	deslumbrar
dazzling	0.854	0.880	0.767	deslumbrante
deacon	0.531	0.430	0.736	diácono
deactivate	0.235	0.447	0.392	desactivar
dead	0.052	0.454	0.194	muerto
deadbeat	0.229	0.453	0.368	perezoso
deadline	0.214	0.615	0.460	plazo
deadlines	0.406	0.769	0.411	plazos
deadlock	0.170	0.418	0.323	punto muerto
deadly	0.143	0.849	0.554	mortal
deafening	0.281	0.835	0.482	ensordecedor
deafness	0.125	0.413	0.219	sordera
deal	0.719	0.599	0.543	acuerdo
dealer	0.799	0.615	0.683	distribuidor
dealership	0.541	0.430	0.629	concesión
dealing	0.724	0.415	0.598	relación comercial
dealings	0.600	0.491	0.480	transacciones
dean	0.612	0.469	0.723	decano
dear	0.880	0.434	0.629	Estimado
dearest	0.902	0.427	0.508	querido
dearth	0.156	0.539	0.255	escasez
death	0.031	0.720	0.472	muerte
deathbed	0.051	0.652	0.311	lecho de muerte
deathly	0.073	0.771	0.682	mortal
debacle	0.156	0.606	0.266	debacle
debased	0.219	0.529	0.170	degradado
debatable	0.181	0.610	0.474	discutible
debate	0.408	0.691	0.683	debate
debauchery	0.354	0.901	0.500	libertinaje
debenture	0.417	0.500	0.466	obligación
debilitating	0.125	0.490	0.308	debilitante
debit	0.333	0.400	0.474	débito
debrief	0.247	0.343	0.549	interrogar
debriefing	0.427	0.580	0.456	interrogación
debris	0.135	0.396	0.327	escombros
debt	0.204	0.598	0.336	deuda
debtor	0.219	0.546	0.160	deudor
debut	0.806	0.606	0.629	debut
debutante	0.771	0.627	0.454	debutante
decade	0.531	0.402	0.665	década
decadence	0.237	0.455	0.291	decadencia
decadent	0.290	0.559	0.324	decadente
decaf	0.480	0.324	0.353	descafeinado
decanter	0.438	0.567	0.510	licorera
decathlon	0.573	0.753	0.620	decatlón
decay	0.143	0.312	0.170	decadencia
decayed	0.017	0.375	0.169	decaido
decaying	0.073	0.510	0.214	decadencia
deceased	0.021	0.538	0.188	fallecido
decedent	0.423	0.481	0.415	hombre muerto
deceit	0.020	0.696	0.343	engaño
deceitful	0.071	0.788	0.371	engañoso
deceive	0.094	0.775	0.414	engañar
deceived	0.059	0.673	0.302	engañado
deceiving	0.099	0.636	0.426	engañoso
december	0.740	0.540	0.464	diciembre
decency	0.750	0.235	0.634	decencia
decent	0.823	0.296	0.653	decente
deception	0.090	0.745	0.370	engaño
deceptive	0.027	0.605	0.294	engañoso
decide	0.656	0.540	0.855	decidir
decidedly	0.750	0.480	0.843	decididamente
deciduous	0.385	0.353	0.282	caduco
decimal	0.507	0.259	0.305	decimal
decimeter	0.520	0.292	0.377	decímetro
decipher	0.417	0.630	0.652	descifrar
decision	0.646	0.510	0.839	decisión
decisive	0.740	0.509	0.935	decisivo
deck	0.420	0.333	0.394	plataforma
declaration	0.551	0.590	0.714	declaración
declaratory	0.635	0.582	0.673	declaratorio
declare	0.677	0.623	0.668	declarar
declination	0.250	0.549	0.311	declinación
decline	0.173	0.491	0.240	rechazar
declining	0.328	0.400	0.264	declinante
deco	0.625	0.274	0.356	decoración
decode	0.551	0.510	0.640	descodificar
decoder	0.562	0.340	0.686	descifrador
decompose	0.194	0.596	0.241	descomponer
decomposed	0.073	0.442	0.231	descompuesto
decomposition	0.133	0.600	0.263	descomposición
decompress	0.438	0.430	0.509	descomprimir
decompression	0.208	0.520	0.311	descompresión
decontamination	0.611	0.538	0.573	descontaminación
decor	0.734	0.311	0.573	decoración
decorate	0.954	0.370	0.404	Decorar
decorating	0.863	0.548	0.462	decorando
decoration	0.878	0.553	0.526	decoración
decorative	0.908	0.460	0.381	decorativo
decorator	0.840	0.471	0.455	decorador
decorum	0.802	0.327	0.462	decoro
decoy	0.149	0.460	0.330	señuelo
decrease	0.125	0.360	0.267	disminuir
decreased	0.224	0.271	0.170	disminuido
decreasing	0.320	0.346	0.224	decreciente
decree	0.552	0.478	0.746	decreto
decrement	0.255	0.427	0.373	decremento
decrepit	0.156	0.490	0.225	decrépito
decry	0.400	0.814	0.548	desacreditar
decryption	0.459	0.445	0.600	descifrado
dedicate	0.823	0.431	0.588	dedicar
dedication	0.867	0.471	0.682	dedicación
deduce	0.490	0.510	0.466	deducir
deduct	0.355	0.330	0.412	deducir
deductible	0.375	0.286	0.455	deducible
deduction	0.438	0.462	0.527	deducción
deed	0.520	0.320	0.592	escritura
deejay	0.551	0.630	0.473	DJ
deem	0.594	0.529	0.690	considerar
deep	0.490	0.473	0.657	profundo
deepen	0.625	0.530	0.776	profundizar
deer	0.583	0.375	0.292	ciervo
defamation	0.110	0.670	0.481	difamación
defamatory	0.143	0.688	0.402	difamatorio
default	0.459	0.343	0.712	defecto
defeat	0.092	0.500	0.224	vencer
defeated	0.104	0.582	0.145	derrotado
defeatist	0.163	0.567	0.315	derrotista
defect	0.135	0.561	0.185	defecto
defection	0.146	0.594	0.330	deserción
defective	0.122	0.580	0.274	defectuoso
defector	0.163	0.696	0.286	desertor
defend	0.698	0.722	0.670	defender
defendant	0.250	0.710	0.491	acusado
defended	0.663	0.451	0.582	defendido
defender	0.639	0.708	0.750	defensor
defending	0.604	0.871	0.812	defendiendo
defense	0.652	0.698	0.802	defensa
defenseless	0.143	0.357	0.105	indefenso
defensible	0.740	0.509	0.593	defendible
defensive	0.542	0.640	0.678	defensivo
