English Word	Valence	Arousal	Dominance	Lao Word
dehydration	0.188	0.472	0.259	ການຂາດນ້ໍາ
dejected	0.104	0.654	0.347	ຕົກໃຈ
delay	0.204	0.510	0.162	ຊັກຊ້າ
delayed	0.188	0.490	0.216	ຊັກຊ້າ
delectable	0.781	0.642	0.718	ແຊບໆ
delegate	0.612	0.491	0.658	ຜູ້ແທນ
delegation	0.562	0.431	0.609	ຄະນະຜູ້ແທນ
delete	0.292	0.298	0.409	ລຶບ
deleterious	0.297	0.725	0.440	ລົບ​ລ້າງ
deletion	0.062	0.506	0.462	ການລຶບ
deli	0.561	0.448	0.447	deli
deliberate	0.551	0.654	0.682	ເຈດຕະນາ
deliberation	0.561	0.678	0.596	ການ​ພິ​ຈາ​ລະ​ນາ​
deliberative	0.392	0.552	0.573	ເຈດຕະນາ
delicacy	0.812	0.279	0.336	ອາຫານແຊບໆ
delicate	0.583	0.294	0.366	ລະອຽດອ່ອນ
delicatessen	0.656	0.474	0.400	ອາຫານແຊບໆ
delicious	0.927	0.650	0.589	ແຊບ
delight	0.949	0.666	0.647	ຄວາມ​ສຸກ
delighted	0.938	0.664	0.685	ດີໃຈ
delightful	0.918	0.735	0.644	ດີໃຈ
delineate	0.448	0.430	0.445	ກຳນົດ
delineation	0.521	0.402	0.314	ລາຍລະອຽດ
delinquency	0.135	0.860	0.508	ຄວາມ​ຜິດ​ພາດ
delinquent	0.051	0.904	0.500	ຂີ້ຕົວະ
delirious	0.219	0.774	0.538	ເດືອດຮ້ອນ
delirium	0.233	0.694	0.484	ລືມ
deliver	0.583	0.370	0.582	ສົ່ງ
deliverance	0.750	0.520	0.658	ການປົດປ່ອຍ
delivery	0.704	0.461	0.786	ການຈັດສົ່ງ
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	ສາມຫລ່ຽມຄຳ
delude	0.143	0.627	0.353	ຫຼອກລວງ
deluge	0.245	0.714	0.612	ນໍ້າຖ້ວມ
delusion	0.344	0.647	0.400	ຄວາມຫຼົງໄຫຼ
delusional	0.219	0.745	0.327	ຫຼອກລວງ
deluxe	0.792	0.612	0.755	Deluxe
delve	0.469	0.529	0.684	delve
demand	0.292	0.673	0.500	ຄວາມຕ້ອງການ
demanding	0.396	0.750	0.828	ຮຽກຮ້ອງ
demeaned	0.271	0.520	0.212	ດູຖູກ
demeaning	0.104	0.645	0.308	ໝິ່ນປະໝາດ
demeanor	0.633	0.433	0.657	ທ່າທາງ
demented	0.088	0.787	0.309	ເສື່ອມ
dementia	0.092	0.779	0.337	ໂລກສະໝອງເສື່ອມ
demise	0.104	0.596	0.456	ການເສຍຊີວິດ
demo	0.510	0.314	0.423	ສາທິດ
democracy	0.680	0.500	0.840	ປະຊາທິປະໄຕ
democrat	0.582	0.400	0.755	ປະຊາທິປະ​ໄຕ
democratic	0.802	0.519	0.798	ປະຊາທິປະໄຕ
demographic	0.459	0.356	0.594	ປະຊາກອນ
demolish	0.125	0.632	0.700	ຮື້ຖອນ
demolished	0.271	0.647	0.353	ຮື້ຖອນ
demolition	0.133	0.827	0.541	ການຮື້ຖອນ
demon	0.037	0.908	0.509	ຜີປີສາດ
demonic	0.146	0.875	0.600	ຜີປີສາດ
demonstrable	0.735	0.471	0.749	ສະແດງໃຫ້ເຫັນ
demonstrate	0.771	0.552	0.839	ສະແດງໃຫ້ເຫັນ
demonstrated	0.617	0.500	0.649	ສະແດງໃຫ້ເຫັນ
demonstrating	0.698	0.571	0.693	ສະແດງໃຫ້ເຫັນ
demonstration	0.551	0.676	0.679	ການສາທິດ
demonstrative	0.656	0.528	0.736	ສາທິດ
demonstrator	0.520	0.598	0.733	ຜູ້​ປະ​ທ້ວງ
demoralized	0.082	0.590	0.149	ເສຍໃຈ
demos	0.418	0.370	0.368	ສາທິດ
demure	0.690	0.315	0.417	ດູຖູກ
den	0.510	0.347	0.398	ແດນ
deniability	0.230	0.509	0.417	ການປະຕິເສດ
denial	0.194	0.435	0.318	ການປະຕິເສດ
denied	0.188	0.604	0.333	ປະຕິເສດ
denim	0.520	0.382	0.327	denim
denomination	0.490	0.363	0.429	ນິກາຍ
denominational	0.458	0.375	0.679	ນິກາຍ
denominator	0.450	0.410	0.613	ຕົວຫານ
denote	0.448	0.471	0.534	ໝາຍເຫດ
denounce	0.083	0.780	0.426	ປະນາມ
dense	0.354	0.343	0.536	ດົກໜາ
density	0.602	0.471	0.561	ຄວາມ​ຫນາ​ແຫນ້ນ
dent	0.306	0.606	0.325	ແຂ້ວ
dental	0.573	0.404	0.463	ແຂ້ວ
dentist	0.479	0.620	0.642	ຫມໍແຂ້ວ
dentistry	0.429	0.570	0.569	ແຂ້ວ
dentists	0.364	0.600	0.582	ຫມໍແຂ້ວ
denunciation	0.146	0.830	0.561	ການປະນາມ
deny	0.316	0.667	0.321	ປະຕິເສດ
denying	0.080	0.542	0.272	ປະຕິເສດ
deodorant	0.480	0.265	0.269	ດັບກິ່ນ
depart	0.398	0.480	0.444	ອອກເດີນທາງ
departed	0.245	0.536	0.391	ອອກເດີນທາງ
department	0.708	0.358	0.642	ພະແນກ
departmental	0.612	0.422	0.446	ພະແນກ
departure	0.573	0.500	0.426	ການອອກເດີນທາງ
depend	0.388	0.429	0.358	ຂຶ້ນກັບ
dependable	0.880	0.357	0.741	ເຊື່ອຖືໄດ້
dependant	0.357	0.404	0.451	ຂຶ້ນກັບ
dependence	0.250	0.451	0.433	ການເພິ່ງພາອາໄສ
dependency	0.429	0.365	0.356	ການເພິ່ງພາອາໄສ
dependent	0.354	0.455	0.404	ຂຶ້ນກັບ
depict	0.663	0.529	0.723	ບັນຍາຍ
depicting	0.490	0.566	0.602	ບັນຍາຍ
depletion	0.153	0.370	0.236	ການຫລຸດລົງ
deplorable	0.135	0.657	0.230	ໜ້າເສົ້າໃຈ
deplore	0.135	0.575	0.373	ໂມໂຫ
deploy	0.500	0.520	0.585	ປະຕິບັດ
deployment	0.510	0.520	0.612	ການນຳໃຊ້
deport	0.167	0.667	0.546	ເນລະເທດ
deportation	0.104	0.786	0.450	ການເນລະເທດ
depose	0.286	0.420	0.451	ປົດ​ປ່ອຍ
deposit	0.540	0.379	0.483	ເງິນຝາກ
depositary	0.604	0.431	0.500	ເງິນຝາກ
deposition	0.394	0.510	0.471	ເງິນຝາກ
depository	0.551	0.373	0.481	ເງິນຝາກ
depot	0.635	0.255	0.471	ຄັງສິນຄ້າ
depraved	0.031	0.837	0.395	ຂີ້ຄ້ານ
depravity	0.115	0.854	0.453	ຄວາມຊົ່ວຊ້າ
depreciate	0.270	0.623	0.445	ຫຼຸດລາຄາ
depreciated	0.135	0.672	0.250	ອ່ອນຄ່າ
depreciation	0.143	0.571	0.386	ການ​ເສື່ອມ​ຄຸນ​ຄ່າ
depress	0.219	0.635	0.528	ຊຶມເສົ້າ
depressed	0.024	0.445	0.136	ຊຶມເສົ້າ
depressing	0.146	0.559	0.216	ຊຶມເສົ້າ
depression	0.031	0.520	0.232	ຊຶມເສົ້າ
depressive	0.143	0.434	0.202	ຊຶມເສົ້າ
depresson	0.135	0.400	0.308	ຊຶມເສົ້າ
deprivation	0.194	0.610	0.413	ການ​ຂາດ​ແຄນ
deprive	0.271	0.591	0.340	ຖອດຖອນ
deprived	0.354	0.506	0.536	ຂາດ
depth	0.708	0.561	0.759	ຄວາມເລິກ
deputy	0.429	0.530	0.787	ຮອງ
derail	0.108	0.802	0.375	derail
deranged	0.376	0.868	0.357	ເສື່ອມ
derelict	0.208	0.470	0.237	ຍົກເລີກ
derision	0.265	0.670	0.292	ເຍາະເຍີ້ຍ
derivation	0.521	0.519	0.644	ທີ່ມາ
derivative	0.541	0.491	0.508	ອະນຸພັນ
derive	0.396	0.324	0.360	ມາ
dermal	0.385	0.406	0.443	ຜິວໜັງ
dermatologist	0.531	0.358	0.528	ແພດຜິວຫນັງ
dermatology	0.422	0.500	0.556	ຜິວໜັງ
derogation	0.208	0.460	0.327	ການເສື່ອມເສີຍ
derogatory	0.122	0.580	0.404	ເສຍຫາຍ
descend	0.385	0.535	0.231	ລົງ
descendant	0.684	0.420	0.625	ເຊື້ອສາຍ
descendent	0.391	0.480	0.565	ສືບ​ເຊື້ອ​ສາຍ
descending	0.219	0.493	0.250	ລົງມາ
descent	0.300	0.402	0.158	ສືບເຊື້ອສາຍ
describe	0.542	0.472	0.555	ອະທິບາຍ
description	0.582	0.425	0.596	ລາຍລະອຽດ
descriptive	0.667	0.352	0.570	ອະທິບາຍ
desecrate	0.255	0.806	0.509	desecrate
desecration	0.125	0.833	0.564	ການ​ດູ​ຖູກ
desert	0.469	0.279	0.389	ທະ​ເລ​ຊາຍ
deserted	0.156	0.480	0.214	ຖິ້ມ
deserter	0.122	0.710	0.366	ທະ​ເລ​ຊາຍ
desertion	0.122	0.630	0.289	ການ​ປະ​ຖິ້ມ
deserve	0.802	0.436	0.613	ສົມຄວນ
deserved	0.781	0.582	0.689	ສົມຄວນ
deserving	0.802	0.596	0.858	ສົມຄວນ
design	0.796	0.327	0.632	ອອກ​ແບບ
designate	0.531	0.538	0.683	ກຳນົດ
designated	0.500	0.412	0.616	ກໍານົດ
designation	0.612	0.571	0.675	ການກຳນົດ
designed	0.745	0.380	0.595	ອອກແບບ
designer	0.875	0.519	0.670	ຜູ້ອອກແບບ
designing	0.792	0.355	0.552	ການ​ອອກ​ແບບ​
desirability	0.684	0.550	0.675	ຄວາມ​ຕ້ອງ​ການ
desirable	0.740	0.735	0.750	ຕ້ອງການ
desire	0.896	0.692	0.647	ຄວາມປາຖະຫນາ
desiring	0.814	0.821	0.632	ປາດຖະຫນາ
desirous	0.719	0.824	0.562	ຄວາມປາຖະຫນາ
desist	0.220	0.358	0.291	ປະຖິ້ມ
desk	0.510	0.135	0.422	ໂຕະ
desolate	0.104	0.320	0.228	ໂດດດ່ຽວ
desolation	0.073	0.481	0.273	desolation
despair	0.115	0.794	0.245	ໝົດຫວັງ
despairing	0.073	0.735	0.286	ໝົດຫວັງ
despatch	0.448	0.400	0.613	ຈັດສົ່ງ
desperado	0.260	0.745	0.361	ໝົດຫວັງ
desperate	0.083	0.842	0.337	ໝົດຫວັງ
desperation	0.125	0.904	0.419	ຄວາມສິ້ນຫວັງ
despicable	0.146	0.710	0.255	ໜ້າລັງກຽດ
despise	0.167	0.745	0.296	ດູຖູກ
despondent	0.133	0.378	0.221	ໝົດຫວັງ
despotic	0.141	0.824	0.592	despotic
despotism	0.255	0.696	0.620	despotism
dessert	0.755	0.491	0.404	ເຂົ້າຫນົມຫວານ
destination	0.708	0.471	0.637	ຈຸດໝາຍປາຍທາງ
destined	0.698	0.462	0.617	ຈຸດຫມາຍປາຍທາງ
destiny	0.781	0.413	0.611	ຈຸດຫມາຍປາຍທາງ
destitute	0.130	0.451	0.222	ຂາດແຄນ
destroy	0.046	0.935	0.635	ທໍາລາຍ
destroyed	0.031	0.696	0.288	ຖືກທໍາລາຍ
destroyer	0.083	0.830	0.543	ຜູ້ທຳລາຍ
destroying	0.041	0.828	0.660	ທໍາລາຍ
destruct	0.071	0.868	0.525	ທໍາລາຍ
destruction	0.102	0.929	0.613	ການທໍາລາຍ
destructive	0.177	0.870	0.713	ທໍາລາຍ
detach	0.357	0.625	0.450	ແຍກ
detached	0.280	0.396	0.216	ແຍກ
detachment	0.243	0.700	0.443	detachment
detail	0.514	0.406	0.528	ລາຍລະອຽດ
detailed	0.603	0.314	0.472	ລະອຽດ
details	0.583	0.367	0.481	ລາຍລະອຽດ
detain	0.351	0.345	0.430	ກັກຂັງ
detainee	0.306	0.510	0.321	ຜູ້ຖືກກັກຂັງ
detect	0.531	0.520	0.565	ກວດພົບ
detectable	0.479	0.539	0.649	ກວດພົບ
detection	0.708	0.567	0.538	ການກວດຫາ
detective	0.500	0.764	0.901	ນັກສືບ
detector	0.459	0.630	0.724	ເຄື່ອງກວດຈັບ
detention	0.265	0.698	0.562	ການກັກຂັງ
deter	0.344	0.537	0.567	ຂັດຂວາງ
detergent	0.458	0.304	0.426	ຜົງຊັກຟອກ
deteriorate	0.083	0.471	0.202	ເສື່ອມສະພາບ
deteriorated	0.053	0.549	0.237	ຊຸດໂຊມ
deteriorating	0.104	0.459	0.112	ເສື່ອມສະພາບ
deterioration	0.130	0.512	0.283	ການເສື່ອມສະພາບ
determinable	0.625	0.565	0.723	ກຳນົດໄດ້
determinate	0.630	0.314	0.772	ກໍານົດ
determination	0.776	0.725	0.795	ຄວາມຕັ້ງໃຈ
determine	0.612	0.368	0.776	ກໍານົດ
determined	0.760	0.528	0.673	ກໍານົດ
deterrent	0.292	0.461	0.385	ຂັດຂວາງ
detest	0.083	0.800	0.492	ຊັງ
detestation	0.177	0.637	0.412	ຄວາມກຽດຊັງ
detonate	0.375	0.850	0.696	ລະເບີດ
detonation	0.167	0.931	0.741	ການລະເບີດ
detonator	0.207	0.875	0.750	ເຄື່ອງລະເບີດ
detour	0.398	0.539	0.309	ທາງອ້ອມ
detract	0.344	0.438	0.368	ລົບ​ກວນ
detriment	0.281	0.538	0.263	ຄວາມເສຍຫາຍ
detrimental	0.203	0.679	0.387	ອັນຕະລາຍ
detritus	0.276	0.353	0.363	ໂລກຂໍ້ອັກເສບ
deuce	0.479	0.338	0.425	deuce
deutschmark	0.439	0.431	0.509	deutschmark
devalued	0.321	0.462	0.212	ມູນຄ່າ
devastate	0.021	0.796	0.509	ທຳລາຍ
devastated	0.120	0.544	0.264	ເສຍຫາຍ
devastating	0.104	0.856	0.419	ຮ້າຍກາດ
devastation	0.090	0.904	0.472	ຄວາມເສຍຫາຍ
develop	0.771	0.670	0.821	ພັດທະນາ
developer	0.844	0.653	0.864	ນັກພັດທະນາ
developing	0.833	0.587	0.714	ພັດທະນາ
development	0.827	0.500	0.796	ການພັດທະນາ
deviant	0.094	0.589	0.398	deviant
deviate	0.173	0.562	0.269	ບິດເບືອນ
deviating	0.354	0.634	0.536	ບິດເບືອນ
deviation	0.105	0.513	0.336	deviation
device	0.562	0.404	0.627	ອຸປະກອນ
devil	0.161	0.900	0.611	ມານ
deviled	0.347	0.559	0.358	ມານ
devilish	0.073	0.865	0.490	ມານຮ້າຍ
devious	0.250	0.519	0.259	ຂີ້ຄ້ານ
devise	0.551	0.557	0.670	ປະດິດ
devoid	0.219	0.436	0.300	ບໍ່ມີ
devolution	0.345	0.434	0.425	ການອຸທິດຕົນ
devolve	0.367	0.427	0.596	ພັດທະນາ
devote	0.802	0.490	0.642	ອຸທິດຕົນ
devoted	0.867	0.320	0.698	ອຸທິດຕົນ
devotee	0.816	0.461	0.577	ອຸທິດຕົນ
devotion	0.802	0.561	0.673	ການອຸທິດຕົນ
devotional	0.740	0.394	0.655	ການອຸທິດຕົນ
devour	0.344	0.888	0.574	ກັດກິນ
devout	0.620	0.357	0.464	ອຸທິດຕົນ
dew	0.604	0.225	0.464	ນ້ຳຕົກ
dexter	0.458	0.473	0.444	dexter
dexterity	0.771	0.673	0.864	ຊໍານິຊໍານານ
dextrose	0.333	0.402	0.323	dextrose
diabetes	0.051	0.472	0.279	ພະຍາດເບົາຫວານ
diabetic	0.125	0.269	0.237	ພະຍາດເບົາຫວານ
diabolical	0.102	0.912	0.456	ຮ້າຍກາດ
diagnose	0.378	0.520	0.714	ການວິນິດໄສ
diagnosis	0.571	0.500	0.819	ການວິນິດໄສ
diagnostic	0.417	0.483	0.635	ການວິນິດໄສ
diagnostics	0.540	0.440	0.750	ການວິນິດໄສ
diagonal	0.500	0.343	0.410	ເສັ້ນຂວາງ
diagram	0.562	0.357	0.445	ແຜນວາດ
dial	0.620	0.427	0.596	ໜ້າປັດ
dialect	0.635	0.422	0.526	ພາສາ
dialectic	0.510	0.540	0.638	ພາສາ
dialogue	0.599	0.441	0.625	ສົນທະນາ
dialysis	0.194	0.567	0.407	ການລ້າງອອກລິດ
diameter	0.427	0.298	0.483	ເສັ້ນຜ່າສູນກາງ
diamond	0.910	0.606	0.769	ເພັດ
diamonds	0.927	0.684	0.917	ເພັດ
diaper	0.409	0.274	0.155	ຜ້າອ້ອມ
diaphragm	0.459	0.337	0.517	diaphragm
diarrhea	0.092	0.684	0.143	ຖອກທ້ອງ
diarrhoea	0.038	0.692	0.250	ຖອກທ້ອງ
diary	0.698	0.292	0.464	ບັນທຶກປະຈຳວັນ
diatribe	0.354	0.569	0.409	ພະຍາດເບົາຫວານ
dib	0.479	0.370	0.344	ດີບ
dibs	0.510	0.410	0.391	ດີບ
dice	0.458	0.441	0.264	ໝາກເຜັດ
dicey	0.290	0.833	0.727	dicey
dichotomous	0.365	0.452	0.538	dichotomous
dichotomy	0.323	0.482	0.483	dichotomy
dick	0.208	0.500	0.462	dick
dickhead	0.115	0.608	0.284	ຫົວກະທິ
dicks	0.310	0.694	0.358	ໝາກເຜັດ
dictate	0.480	0.423	0.668	ກຳນົດ
dictation	0.255	0.378	0.627	dictation
dictator	0.073	0.760	0.862	dictator
dictatorial	0.204	0.770	0.840	ລະບອບຜະເດັດການ
dictatorship	0.082	0.806	0.784	ລະບອບຜະເດັດການ
diction	0.439	0.373	0.679	ວັດຈະນານຸກົມ
dictionary	0.620	0.250	0.598	ວັດ​ຈະ​ນາ​ນຸ​ກົມ
dictum	0.385	0.510	0.528	ຄຳເວົ້າ
didactic	0.645	0.480	0.673	ສິດສອນ
diddle	0.429	0.566	0.393	ເຕັ້ນ
die	0.031	0.765	0.259	ຕາຍ
died	0.021	0.650	0.327	ຕາຍ
diesel	0.490	0.327	0.448	ກາຊວນ
diet	0.429	0.235	0.398	ອາຫານ
dietary	0.551	0.220	0.261	ອາຫານ
differ	0.230	0.398	0.396	ແຕກຕ່າງກັນ
difference	0.474	0.560	0.483	ຄວາມແຕກຕ່າງ
differences	0.365	0.582	0.342	ຄວາມແຕກຕ່າງ
different	0.612	0.394	0.473	ແຕກຕ່າງກັນ
differential	0.520	0.378	0.535	ຄວາມແຕກຕ່າງ
differentiation	0.367	0.561	0.535	ຄວາມແຕກຕ່າງ
differently	0.480	0.431	0.506	ແຕກຕ່າງກັນ
differing	0.418	0.410	0.455	ແຕກຕ່າງກັນ
difficult	0.235	0.700	0.508	ຍາກ
difficulties	0.082	0.784	0.357	ຄວາມຫຍຸ້ງຍາກ
difficulty	0.079	0.740	0.368	ຄວາມຫຍຸ້ງຍາກ
diffuse	0.430	0.431	0.321	ກະ​ຈາຍ
diffusion	0.356	0.615	0.517	ການແຜ່ກະຈາຍ
dig	0.367	0.585	0.637	ຂຸດ
digest	0.720	0.413	0.483	ຍ່ອຍ
digestion	0.531	0.410	0.455	ການຍ່ອຍອາຫານ
digestive	0.542	0.413	0.434	ຍ່ອຍອາຫານ
digit	0.447	0.286	0.333	ຕົວເລກ
digital	0.740	0.382	0.529	ດິຈິຕອລ
dignified	0.766	0.481	0.635	ມີກຽດ
dignify	0.854	0.588	0.735	ມີກຽດ
dignity	0.844	0.391	0.873	ກຽດສັກສີ
digress	0.271	0.625	0.411	ຄວາມຜິດຫວັງ
digs	0.448	0.670	0.635	ຂຸດ
dike	0.360	0.384	0.490	ເຂື່ອນ
dilapidated	0.229	0.618	0.286	ເສຍຫາຍ
dilatation	0.385	0.574	0.368	ການຂະຫຍາຍ
dilation	0.347	0.490	0.578	ການຂະຫຍາຍ
dildo	0.536	0.587	0.491	dildo
dilemma	0.153	0.590	0.430	ພາວະວິໄສ
diligence	0.688	0.423	0.700	ຄວາມພາກພຽນ
diligent	0.760	0.426	0.759	ດຸໝັ່ນ
dill	0.427	0.360	0.373	dill
diluent	0.417	0.344	0.332	ເຈືອຈາງ
dilute	0.275	0.192	0.349	ເຈືອຈາງ
diluted	0.469	0.310	0.229	ເຈືອຈາງ
dilution	0.445	0.337	0.352	ການເຈືອຈາງ
dim	0.398	0.321	0.273	ມືດມົວ
dime	0.653	0.317	0.345	ນ້ອຍ
dimension	0.592	0.415	0.627	ມິຕິ
dimensional	0.561	0.484	0.596	ມິຕິ
diminish	0.240	0.357	0.167	ຫລຸດລົງ
diminished	0.156	0.269	0.196	ຫຼຸດລົງ
diminution	0.316	0.296	0.245	ການຫຼຸດຫນ້ອຍລົງ
diminutive	0.323	0.200	0.109	ນ້ອຍ
dimwit	0.255	0.459	0.175	dimwit
din	0.440	0.417	0.398	din
dine	0.821	0.519	0.478	ກິນເຂົ້າ
diner	0.643	0.302	0.538	ຄ່ໍາ
dinghy	0.510	0.269	0.325	ເຮືອຈັກ
dingo	0.608	0.472	0.346	ດິງໂກ
dingy	0.156	0.483	0.343	ເປື້ອນ
dining	0.724	0.350	0.459	ກິນເຂົ້າ
dinky	0.357	0.451	0.358	dinky
dinner	0.823	0.392	0.379	ຄ່ໍາ
dinnertime	0.796	0.406	0.341	ເວ​ລາ​ອາ​ຫານ​ຄ​່​ໍ​າ
dinosaur	0.448	0.630	0.596	ໄດໂນເສົາ
dint	0.378	0.480	0.492	ຂີ້ຄ້ານ
diocesan	0.520	0.283	0.518	ສັງຄະມົນທົນ
diocese	0.510	0.288	0.575	ສັງຄະມົນທົນ
diorama	0.592	0.441	0.462	ໄດໂອຣາມາ
dioxide	0.354	0.433	0.456	ໄດອອກໄຊ
dip	0.516	0.583	0.397	ຈຸ່ມ
diploma	0.750	0.462	0.731	ຊັ້ນສູງ
diplomacy	0.740	0.396	0.774	ການ​ທູດ
diplomat	0.563	0.262	0.868	ນັກການທູດ
diplomatic	0.653	0.363	0.918	ການ​ທູດ
dipper	0.548	0.361	0.348	ກະບະ
dippy	0.430	0.402	0.340	dippy
dipstick	0.365	0.312	0.316	ຈຸ່ມ
dire	0.214	0.660	0.259	ຮ້າຍ​ແຮງ
direct	0.793	0.403	0.650	ໂດຍກົງ
directed	0.542	0.490	0.541	ຊີ້​ນໍາ
direction	0.719	0.330	0.684	ທິດ​ທາງ
directive	0.604	0.530	0.918	ຄໍາສັ່ງ
directly	0.747	0.400	0.702	ໂດຍກົງ
director	0.688	0.580	0.912	ຜູ້ອໍານວຍການ
directory	0.439	0.413	0.538	ໄດເລກະທໍລີ
dirt	0.112	0.500	0.236	ຝຸ່ນ
dirty	0.153	0.460	0.170	ເປື້ອນ
disability	0.073	0.482	0.173	ຄວາມພິການ
disable	0.115	0.430	0.269	ປິດການໃຊ້ງານ
disabled	0.308	0.443	0.235	ຄົນພິການ
disadvantage	0.150	0.377	0.282	ຂໍ້ເສຍ
disaffected	0.176	0.410	0.291	ບໍ່ພໍໃຈ
disagree	0.133	0.590	0.345	ບໍ່ເຫັນດີ
disagreeable	0.042	0.643	0.178	ບໍ່​ເຫັນ​ດີ
disagreeing	0.255	0.643	0.350	ບໍ່ເຫັນດີ
disagreement	0.104	0.618	0.236	ຄວາມບໍ່ເຫັນດີ
disallow	0.156	0.519	0.424	ບໍ່ອະນຸຍາດ
disallowed	0.135	0.500	0.328	ບໍ່ອະນຸຍາດ
disapointment	0.104	0.418	0.231	ຄວາມຜິດຫວັງ
disappear	0.143	0.441	0.350	ຫາຍ​ໄປ
disappearance	0.214	0.698	0.367	ການຫາຍຕົວໄປ
disappearing	0.167	0.427	0.379	ຫາຍ​ໄປ
disappoint	0.150	0.633	0.288	ຜິດຫວັງ
disappointed	0.071	0.472	0.241	ຜິດຫວັງ
disappointing	0.073	0.640	0.200	ຜິດຫວັງ
disappointment	0.115	0.490	0.336	ຄວາມຜິດຫວັງ
disapproval	0.085	0.551	0.367	ການບໍ່ອະນຸມັດ
disapprove	0.160	0.594	0.445	ບໍ່ອະນຸມັດ
disapproved	0.104	0.550	0.114	ບໍ່ອະນຸມັດ
disapproving	0.245	0.625	0.452	ບໍ່ອະນຸມັດ
disarm	0.292	0.528	0.613	ປົດອາວຸດ
disarray	0.198	0.657	0.223	ຄວາມແຕກແຍກ
disaster	0.082	0.892	0.433	ໄພພິບັດ
disastrous	0.071	0.741	0.439	ໄພພິບັດ
disband	0.302	0.491	0.417	disband
disbelief	0.188	0.409	0.373	ຄວາມບໍ່ເຊື່ອຖື
disbelieve	0.188	0.441	0.352	ບໍ່​ເຊື່ອ
disburse	0.418	0.473	0.353	ເບີກຈ່າຍ
disbursement	0.240	0.443	0.435	ການ​ເບີກ​ຈ່າຍ
disc	0.622	0.410	0.426	ແຜ່ນ
discard	0.240	0.343	0.337	ຖິ້ມ
discarded	0.229	0.460	0.308	ຍົກເລີກ
discards	0.240	0.464	0.391	ຖິ້ມ
discern	0.459	0.566	0.518	ແນມເບິ່ງ
discernible	0.427	0.441	0.481	ແນມເຫັນ
discerning	0.542	0.584	0.780	ແນມເບິ່ງ
discernment	0.408	0.471	0.694	ສະຕິປັນຍາ
discharge	0.427	0.538	0.578	ລົງຂາວ
disciple	0.765	0.385	0.462	ສານຸສິດ
disciplinary	0.562	0.593	0.796	ລະບຽບວິໄນ
discipline	0.615	0.471	0.806	ລະບຽບວິໄນ
disciplined	0.728	0.450	0.750	ມີລະບຽບວິໄນ
disclaim	0.235	0.509	0.321	ປະຕິເສດ
disclaimer	0.367	0.571	0.542	ການປະຕິເສດຄວາມຮັບຜິດຊອບ
disclose	0.490	0.570	0.545	ເປີດເຜີຍ
disclosed	0.271	0.575	0.546	ເປີດເຜີຍ
disclosure	0.500	0.615	0.710	ການເປີດເຜີຍ
disco	0.710	0.806	0.575	ດິສໂກ້
discoloration	0.224	0.373	0.414	ການປ່ຽນສີ
discolored	0.204	0.340	0.269	ປ່ຽນສີ
discomfort	0.153	0.719	0.272	ຄວາມບໍ່ສະບາຍ
disconcerted	0.100	0.612	0.288	disconcerted
disconcerting	0.106	0.549	0.269	ຜິດຫວັງ
disconnect	0.438	0.292	0.191	ຕັດການເຊື່ອມຕໍ່
disconnected	0.292	0.276	0.173	ຕັດການເຊື່ອມຕໍ່
disconnection	0.167	0.283	0.277	ຕັດການເຊື່ອມຕໍ່
disconnects	0.256	0.357	0.241	ຕັດການເຊື່ອມຕໍ່
discontent	0.240	0.530	0.263	ຄວາມບໍ່ພໍໃຈ
discontinuance	0.123	0.741	0.337	ການຢຸດເຊົາ
discontinue	0.354	0.396	0.349	ຢຸດ
discontinuity	0.303	0.439	0.250	ຄວາມບໍ່ຕໍ່ເນື່ອງ
discontinuous	0.233	0.409	0.316	ບໍ່ຕໍ່ເນື່ອງ
discord	0.115	0.882	0.465	ຄວາມຂັດແຍ້ງ
discount	0.724	0.530	0.302	ສ່ວນຫຼຸດ
discounted	0.677	0.471	0.430	ສ່ວນຫຼຸດ
discourage	0.184	0.443	0.267	ທໍ້
discouraged	0.220	0.304	0.090	ທໍ້ຖອຍໃຈ
discouragement	0.112	0.319	0.206	ທໍ້
discouraging	0.167	0.469	0.281	ທໍ້ຖອຍໃຈ
discourse	0.410	0.550	0.803	ການສົນທະນາ
discover	0.771	0.793	0.673	ຄົ້ນພົບ
discovery	0.823	0.627	0.814	ການຄົ້ນພົບ
discredit	0.075	0.529	0.355	ຄວາມ​ເສຍ​ຫາຍ
discredited	0.112	0.491	0.182	ກຽດສັກສີ
discreet	0.552	0.216	0.532	ສຸຂຸມ
discrepancy	0.260	0.643	0.417	ຄວາມແຕກຕ່າງ
discrete	0.585	0.231	0.429	ແຍກກັນ
discretion	0.552	0.320	0.685	ການຕັດສິນໃຈ
discretionary	0.520	0.365	0.446	ການຕັດສິນໃຈ
discriminate	0.125	0.761	0.366	ຈໍາແນກ
discriminating	0.160	0.783	0.462	ຈໍາ​ແນກ
discrimination	0.051	0.724	0.379	ການຈໍາແນກ
discus	0.542	0.423	0.343	ແຜ່ນດິດ
discuss	0.396	0.769	0.509	ສົນທະນາ
discussion	0.333	0.842	0.536	ການສົນທະນາ
disdain	0.153	0.446	0.441	ດູຖູກ
disdainful	0.097	0.480	0.263	ດູຖູກ
disease	0.041	0.539	0.333	ພະຍາດ
diseased	0.123	0.510	0.134	ເປັນພະຍາດ
