English Word	Valence	Arousal	Dominance	Korean Word
electrical	0.531	0.620	0.688	전기 같은
electrician	0.449	0.590	0.620	전공
electricity	0.698	0.810	0.733	전기
electrify	0.520	0.769	0.737	깜짝 놀라게 하다
electrocute	0.271	0.731	0.555	감전사
electrocution	0.177	0.844	0.692	감전사
electromagnetic	0.531	0.632	0.683	전자기
electron	0.520	0.455	0.560	전자
electronic	0.571	0.490	0.704	전자
electronics	0.708	0.545	0.574	전자 제품
elegance	0.918	0.396	0.824	우아
elegant	0.865	0.500	0.685	우아한
element	0.531	0.259	0.481	요소
elemental	0.627	0.306	0.711	원소 같은
elementary	0.594	0.286	0.686	초등학교
elements	0.510	0.312	0.462	집단
elephant	0.531	0.510	0.615	코끼리
elevate	0.812	0.500	0.804	올리다
elevated	0.704	0.594	0.620	높은
elevation	0.760	0.759	0.711	높이
elevator	0.562	0.604	0.676	엘리베이터
eleven	0.449	0.250	0.430	열하나
eleventh	0.594	0.329	0.357	십일
elf	0.460	0.457	0.315	꼬마 요정
elicit	0.406	0.594	0.658	이끌 리다
eligible	0.750	0.400	0.518	자격이 있는
eliminate	0.265	0.670	0.324	제거하다
elimination	0.052	0.667	0.431	제거
elite	0.688	0.704	0.737	엘리트
elitist	0.500	0.606	0.656	엘리트주의자
elixir	0.708	0.587	0.604	비약
elk	0.439	0.337	0.340	고라니
ell	0.469	0.418	0.373	엘
ellipse	0.531	0.410	0.479	타원
ellipsis	0.653	0.358	0.314	생략
ellipsoid	0.500	0.440	0.419	타원체
elliptic	0.500	0.431	0.528	타원형
elliptical	0.338	0.385	0.490	타원형
elm	0.510	0.345	0.321	느릅나무
elongate	0.583	0.385	0.540	길다
elongation	0.561	0.500	0.500	연장
elope	0.396	0.694	0.528	달아 나다
eloquence	0.729	0.490	0.804	웅변
eloquent	0.870	0.680	0.741	웅변
elucidate	0.583	0.509	0.518	해명하다
elucidation	0.650	0.574	0.586	설명
elude	0.438	0.521	0.464	피하다
elusive	0.229	0.615	0.466	피하는
emaciated	0.103	0.541	0.151	쇠약해진
email	0.698	0.230	0.456	이메일
emanate	0.653	0.464	0.554	나다
emancipation	0.704	0.684	0.763	해방
embankment	0.677	0.438	0.436	둑
embargo	0.229	0.564	0.443	금지
embark	0.541	0.550	0.619	태우다
embarrass	0.082	0.667	0.364	당황하다
embarrassed	0.184	0.560	0.246	당황스러운
embarrassing	0.226	0.809	0.225	당혹스러운
embarrassment	0.143	0.685	0.226	당황
embassy	0.622	0.333	0.758	대사관
embattled	0.235	0.724	0.421	궁지에 몰린
embed	0.417	0.554	0.670	포함시키다
embellish	0.842	0.500	0.769	꾸미다
embellishment	0.673	0.449	0.405	꾸밈
embers	0.490	0.481	0.508	여신
embezzlement	0.143	0.827	0.435	도용
embezzler	0.146	0.823	0.491	횡령
emblem	0.640	0.330	0.754	상징
emblematic	0.771	0.459	0.798	상징적인
embodiment	0.562	0.690	0.663	구체화
embolism	0.104	0.660	0.302	색전증
embossed	0.531	0.481	0.500	양각
embrace	0.949	0.490	0.452	포옹하다
embroidered	0.677	0.279	0.407	수 놓은
embroidery	0.781	0.358	0.280	자수
embroiled	0.337	0.721	0.420	휩쓸어 넣는
embryo	0.673	0.469	0.453	태아
embryonic	0.573	0.453	0.598	배아의
emcee	0.694	0.577	0.691	사회자
emerald	0.740	0.363	0.726	에메랄드
emerge	0.602	0.594	0.731	알려지다
emergence	0.276	0.857	0.676	출현
emergency	0.200	0.900	0.571	비상
emeritus	0.633	0.402	0.735	명예
emery	0.469	0.583	0.472	금강사
emetophobia	0.243	0.620	0.403	감정공포증
emigrate	0.356	0.812	0.508	이민
emigration	0.564	0.664	0.432	이주
eminence	0.816	0.644	0.837	저명
eminent	0.740	0.620	0.830	저명한
eminently	0.694	0.607	0.773	현저하게
emir	0.510	0.396	0.621	왕족
emissary	0.562	0.462	0.636	사자
emission	0.510	0.453	0.591	방사
emit	0.638	0.445	0.510	방출하다
emo	0.354	0.314	0.226	이모
emotion	0.693	0.873	0.696	감정
emotional	0.779	0.714	0.526	감정적인
emotive	0.917	0.741	0.525	감동적인
empathic	0.760	0.570	0.558	공감하는
empathize	0.802	0.591	0.660	공감하다
empathy	0.729	0.349	0.545	공감
emperor	0.651	0.704	0.962	황제
emphasis	0.653	0.745	0.816	중요성
emphasize	0.510	0.605	0.769	강조하다
emphatic	0.615	0.707	0.732	강조된
emphysema	0.156	0.556	0.336	기종
empire	0.688	0.730	0.944	제국
empirical	0.500	0.510	0.574	경험적
empiricism	0.583	0.460	0.547	경험주의
employ	0.729	0.481	0.702	고용
employee	0.582	0.361	0.481	직원
employer	0.663	0.518	0.767	고용주
employment	0.750	0.594	0.611	고용
emporium	0.622	0.556	0.724	백화점
empower	0.694	0.779	0.891	권한을 부여하다
empress	0.716	0.669	0.855	황후
emptiness	0.177	0.173	0.184	공
emption	0.570	0.406	0.458	비움
empty	0.188	0.183	0.081	비어 있는
emu	0.420	0.358	0.330	에뮤
emulate	0.438	0.340	0.549	모방하다
emulsion	0.562	0.431	0.453	유제
enable	0.760	0.491	0.782	~할 수 있게 하다
enablement	0.600	0.451	0.750	활성화
enact	0.680	0.564	0.598	제정하다
enactment	0.667	0.612	0.769	제정
enamel	0.594	0.280	0.306	에나멜
encampment	0.677	0.573	0.605	야영지
enchant	0.873	0.650	0.643	호리다
enchanted	0.917	0.633	0.687	마법에 걸린
enchanting	0.917	0.681	0.708	매혹적인
enchantment	0.816	0.775	0.647	마법
enchantress	0.398	0.663	0.479	여자 요술쟁이
enchilada	0.542	0.553	0.371	엔칠라다
encircle	0.460	0.500	0.519	에워 싸다
encircling	0.510	0.368	0.557	둘러싸다
enclave	0.531	0.333	0.580	엔클레이브
enclose	0.531	0.477	0.473	넣다
enclosure	0.417	0.375	0.490	울로 둘러싼 땅
encode	0.490	0.500	0.734	인코딩
encomiastic	0.541	0.500	0.670	흥청망청
encomium	0.541	0.451	0.519	엔코미움
encompass	0.520	0.298	0.661	에워 싸다
encore	0.510	0.423	0.500	연주
encounter	0.865	0.702	0.689	맞닥뜨리다
encourage	0.896	0.580	0.704	장려하다
encouraged	0.953	0.702	0.657	격려
encouragement	0.865	0.700	0.759	격려
encouraging	0.823	0.583	0.755	격려
encroach	0.302	0.742	0.702	잠식하다
encroachment	0.255	0.736	0.620	잠식
encrypt	0.500	0.387	0.500	암호화
encryption	0.547	0.415	0.474	암호화
encumbrance	0.300	0.521	0.480	방해물
encyclopedia	0.679	0.320	0.645	백과 사전
end	0.198	0.349	0.298	끝
end table	0.541	0.480	0.482	탁자
endanger	0.115	0.885	0.404	위태롭게
endangered	0.083	0.885	0.430	멸종 위기
endangerment	0.167	0.873	0.519	위험
endearing	0.663	0.434	0.604	사랑스러운
endeavor	0.677	0.755	0.765	노력
ended	0.302	0.500	0.500	끝났다
endemic	0.406	0.480	0.483	풍토병
endgame	0.449	0.538	0.526	최종 단계
ending	0.344	0.365	0.492	종결
endless	0.347	0.462	0.472	끝없는
endocarditis	0.235	0.587	0.412	심장 내막염
endorse	0.592	0.392	0.472	지지하다
endorsement	0.834	0.360	0.611	배서
endow	0.684	0.398	0.609	부여하다
endowed	0.755	0.510	0.769	부여된
endowment	0.685	0.578	0.647	자질
endpapers	0.542	0.400	0.339	엔드페이퍼
endpoint	0.311	0.410	0.448	끝점
endurance	0.592	0.745	0.760	지구력
endure	0.320	0.610	0.574	견디다
enduring	0.633	0.459	0.768	참을 수 있는
enema	0.281	0.673	0.268	관장
enemy	0.135	0.794	0.591	적
energetic	0.847	0.868	0.902	정력적인
energize	0.792	0.810	0.875	활력을 주다
energy	0.944	0.725	0.868	에너지
enforce	0.583	0.644	0.836	억지로 시키다
enforcement	0.594	0.571	0.736	시행
enforcer	0.398	0.612	0.639	집행자
engage	0.771	0.796	0.713	관계를 맺다
engaged	0.837	0.596	0.849	약속 된
engagement	0.906	0.587	0.807	약혼
engaging	0.948	0.612	0.862	매력적인
engender	0.561	0.741	0.688	만들어 내다
engine	0.615	0.644	0.676	엔진
engineer	0.719	0.500	0.875	엔지니어
engineering	0.735	0.471	0.836	공학
engrave	0.486	0.442	0.517	새기다
engraved	0.542	0.375	0.473	새겨진
engraver	0.552	0.417	0.500	조각사
engraving	0.604	0.430	0.442	조각
engrossed	0.541	0.471	0.304	몰두하다
engrossing	0.698	0.702	0.750	마음을 사로잡는
engulf	0.398	0.573	0.500	삼키다
enhance	0.802	0.578	0.814	향상시키다
enhancement	0.877	0.490	0.741	상승
enigma	0.513	0.700	0.500	수수께끼
enigmatic	0.469	0.589	0.679	수수께끼 같은
enjoin	0.594	0.454	0.732	명하다
enjoy	0.959	0.725	0.750	즐겨
enjoyable	1.000	0.481	0.605	재미있는
enjoying	0.908	0.759	0.759	즐기는
enjoyment	0.930	0.612	0.716	향유
enlarge	0.735	0.606	0.688	크게 하다
enlarged	0.673	0.490	0.518	크게 하는
enlargement	0.677	0.577	0.616	확대
enlighten	0.729	0.549	0.667	밝히다
enlightened	0.956	0.566	0.700	밝은
enlightening	0.825	0.729	0.727	계몽
enlightenment	0.837	0.549	0.619	계발
enlist	0.510	0.370	0.483	입대하다
enliven	0.833	0.683	0.702	활기 있게 만들다
enmity	0.094	0.706	0.382	증오
ennui	0.406	0.461	0.316	권태
enormity	0.594	0.648	0.848	악독
enormous	0.677	0.665	0.886	막대한
enormously	0.760	0.694	0.872	엄청나게
enraged	0.083	0.962	0.636	성나게 하는
enrich	0.896	0.731	0.705	높이다
enroll	0.696	0.530	0.611	싸다
enrollment	0.667	0.391	0.698	등록
ensemble	0.697	0.418	0.586	앙상블
ensign	0.663	0.270	0.545	소위
enslave	0.073	0.800	0.481	노예
enslaved	0.104	0.720	0.321	노예
enslavement	0.086	0.635	0.302	노예화
ensue	0.698	0.363	0.332	...을 찾다
ensure	0.737	0.406	0.759	보장하다
entail	0.484	0.630	0.645	수반하다
entangled	0.319	0.578	0.357	빠뜨리는
entanglement	0.302	0.765	0.248	녹채
enter	0.708	0.470	0.500	입력하다
enterprise	0.760	0.392	0.754	기업
enterprising	0.865	0.784	0.875	진취적인
entertain	0.918	0.684	0.598	즐겁게 하다
entertained	0.902	0.644	0.712	즐겁게
entertainer	0.888	0.709	0.759	연예인
entertaining	0.833	0.658	0.660	재미있는
entertainment	0.847	0.750	0.569	오락
enthralled	0.745	0.602	0.615	매혹
enthusiasm	0.938	0.816	0.798	열광
enthusiast	0.867	0.810	0.875	열성가
enthusiastic	0.885	0.868	0.848	열렬한
entice	0.521	0.887	0.518	꾀다
entire	0.689	0.462	0.698	전체
entirety	0.854	0.460	0.804	전체
entitle	0.729	0.333	0.827	자격
entity	0.542	0.402	0.670	실재
entomology	0.438	0.396	0.545	곤충학
entourage	0.491	0.567	0.467	측근자
entrails	0.365	0.538	0.387	내장
entrance	0.698	0.393	0.526	입구
entrapment	0.177	0.604	0.441	함정
entreat	0.304	0.560	0.462	간청하다
entree	0.615	0.477	0.624	앙트레
entrepreneur	0.885	0.704	0.920	기업가
entrust	0.693	0.310	0.630	맡기다
entry	0.552	0.353	0.602	기입
enumerate	0.521	0.390	0.491	세다
enumeration	0.548	0.327	0.534	열거
envelope	0.604	0.275	0.377	봉투
envious	0.110	0.754	0.341	부러워하는
environ	0.724	0.221	0.433	환경
environment	0.646	0.194	0.528	환경
environmental	0.633	0.313	0.664	환경
environs	0.561	0.288	0.345	주위
envision	0.625	0.449	0.483	구상하다
envoy	0.531	0.375	0.586	사절
envy	0.240	0.704	0.427	부러움
enzyme	0.562	0.277	0.481	효소
ephemeral	0.500	0.312	0.377	일시적인
ephemeris	0.640	0.380	0.528	천체력
epic	0.857	0.713	0.830	서사시
epidemic	0.092	0.830	0.611	감염병 유행
epidermis	0.418	0.490	0.426	표피
epidural	0.347	0.452	0.525	경막 밖의
epilepsy	0.061	0.854	0.250	간질
epileptic	0.146	0.794	0.340	간질 환자
epilogue	0.582	0.353	0.466	발문
epiphany	0.625	0.596	0.526	출현
episcopal	0.542	0.314	0.750	감독
episode	0.719	0.367	0.509	삽화
episodic	0.531	0.542	0.462	에피소드
epistle	0.604	0.417	0.535	서간
epitaph	0.276	0.323	0.442	비문
epithet	0.530	0.394	0.524	별명
epitome	0.510	0.500	0.667	발췌
epoch	0.553	0.343	0.797	시대
equal	0.781	0.178	0.407	동일한
equality	0.898	0.305	0.716	평등
equalization	0.625	0.422	0.423	균등화
equalize	0.738	0.281	0.574	같게 하다
equalizer	0.604	0.451	0.586	평형 장치
equally	0.625	0.264	0.436	같이
equate	0.724	0.382	0.624	같게 하다
equation	0.479	0.384	0.608	방정식
equator	0.550	0.302	0.462	적도
equatorial	0.550	0.271	0.593	매우 무더운
equestrian	0.633	0.519	0.417	승마자
equidistant	0.375	0.406	0.509	등거리
equilibration	0.724	0.317	0.593	평형
equilibrium	0.676	0.235	0.620	평형
equip	0.650	0.519	0.713	갖추어 주다
equipment	0.745	0.495	0.700	장비
equitable	0.714	0.286	0.750	공정한
equity	0.792	0.304	0.614	형평성
equivalence	0.663	0.250	0.582	등가
equivalent	0.646	0.347	0.500	동등한
equivocal	0.327	0.482	0.257	확실치 않은
era	0.615	0.407	0.449	연대
eradicate	0.260	0.690	0.686	근절하다
eradication	0.208	0.788	0.685	근절
erase	0.240	0.260	0.321	삭제
eraser	0.458	0.209	0.311	지우개
erasure	0.281	0.360	0.265	지워 없앰
ere	0.479	0.312	0.377	오히려
erect	0.643	0.885	0.627	세우다
erectile	0.542	0.796	0.625	발기
erection	0.640	0.856	0.695	발기
ergo	0.385	0.400	0.385	에고
erode	0.208	0.643	0.580	좀먹다
erosion	0.312	0.770	0.465	부식
erotic	0.625	0.946	0.683	에로틱
erotica	0.781	0.870	0.579	에로티카
err	0.146	0.660	0.236	오류
errand	0.385	0.519	0.482	심부름
errant	0.205	0.602	0.375	잘못된
erratic	0.271	0.503	0.217	이상한 사람
erratum	0.327	0.528	0.436	오자
erroneous	0.057	0.561	0.245	잘못된
error	0.094	0.559	0.198	오류
erst	0.277	0.422	0.357	어스트
erudite	0.719	0.434	0.774	학식 있는
erupt	0.188	0.820	0.818	폭발하다
eruption	0.156	0.913	0.733	분화
escalade	0.480	0.724	0.442	에스컬레이드
escalate	0.653	0.714	0.728	차츰 오르다
escalating	0.646	0.724	0.518	차츰 오르는
escalation	0.571	0.807	0.582	단계적 확대
escalator	0.500	0.530	0.518	에스컬레이터
escape	0.367	0.765	0.448	탈출하다
escaped	0.365	0.755	0.518	탈출
escarpment	0.406	0.553	0.470	절벽
eschew	0.184	0.438	0.370	피하다
escort	0.729	0.480	0.608	호위
escrow	0.449	0.520	0.613	조건부 날인 증서
esophagus	0.429	0.454	0.464	식도
esoteric	0.500	0.676	0.545	난해한
especial	0.827	0.419	0.794	특별한
espionage	0.312	0.750	0.620	스파이 활동
espouse	0.802	0.529	0.598	처로 삼다
espresso	0.677	0.620	0.508	에스프레소
esprit	0.552	0.431	0.407	정신
esquire	0.604	0.542	0.518	귀하
essay	0.559	0.411	0.530	수필
essayist	0.656	0.460	0.462	수필가
essence	0.663	0.369	0.575	본질
essential	0.812	0.405	0.759	필수적인
essentially	0.750	0.373	0.802	본질적으로
establish	0.708	0.500	0.688	설립하다
established	0.796	0.394	0.694	확립된
establishment	0.690	0.398	0.631	설립
estate	0.653	0.385	0.647	사유지
esteem	0.745	0.380	0.679	존중
esteemed	0.694	0.418	0.531	존경하는
esthetic	0.635	0.360	0.558	에스테틱
estimable	0.796	0.408	0.630	평가할 수 있는
estimate	0.719	0.469	0.517	추정
estimation	0.740	0.480	0.589	견적
estoppel	0.354	0.459	0.482	금반언
estranged	0.156	0.382	0.377	소외된
estrogen	0.580	0.500	0.425	에스트로겐
estuary	0.469	0.278	0.482	강어귀
etch	0.510	0.367	0.598	에칭
etching	0.567	0.491	0.575	에칭
eternal	0.854	0.409	0.843	영원한
eternity	0.765	0.520	0.911	영원
ethanol	0.333	0.410	0.534	에탄올
ether	0.490	0.306	0.412	에테르
ethereal	0.520	0.419	0.518	미묘한
ethic	0.786	0.260	0.791	윤리
ethical	0.854	0.324	0.634	윤리적인
ethics	0.658	0.296	0.731	윤리학
ethnic	0.583	0.373	0.555	민족
ethnography	0.571	0.373	0.549	민족지학
etiology	0.500	0.385	0.639	병인학
etiquette	0.604	0.350	0.421	에티켓
etymology	0.531	0.370	0.529	어원
eucalyptus	0.602	0.308	0.418	유칼립투스
euchre	0.470	0.459	0.442	유커
eugenics	0.448	0.530	0.518	우생학
eulogistic	0.740	0.623	0.694	찬사
eulogium	0.542	0.482	0.655	추도사
eulogize	0.850	0.518	0.679	칭송하다
eulogy	0.625	0.443	0.667	찬사
euphemism	0.418	0.453	0.491	완곡 어법
euphoria	0.769	0.955	0.648	행복감
euphoric	0.745	0.904	0.588	크게 기쁘게
euro	0.680	0.441	0.521	유로
euthanasia	0.229	0.716	0.325	안락사
evacuate	0.354	0.792	0.314	대피
evacuation	0.160	0.755	0.582	소개
evade	0.304	0.490	0.342	피하다
evaluate	0.663	0.640	0.649	평가하다
evaluation	0.542	0.667	0.764	평가
evanescence	0.527	0.519	0.458	소실
evangelical	0.602	0.389	0.602	복음주의
evangelist	0.582	0.464	0.702	복음 전도자
evangelistic	0.660	0.375	0.612	복음주의
evaporate	0.357	0.469	0.402	사라지다
evaporation	0.556	0.346	0.388	증발
evasion	0.229	0.510	0.418	회피
evasive	0.117	0.596	0.425	둘러대는
eve	0.612	0.378	0.440	이브
evening	0.458	0.185	0.318	저녁
evens	0.592	0.430	0.457	고르다
event	0.745	0.673	0.664	이벤트
eventful	0.543	0.837	0.510	사건 많은
eventual	0.633	0.459	0.413	어쩌면 일어날 수도 있는
eventuality	0.469	0.627	0.527	궁극
evergreen	0.729	0.471	0.546	상록수
everlasting	0.740	0.413	0.809	영구
evermore	0.677	0.450	0.403	항상
everyday	0.740	0.392	0.472	매일
everyman	0.522	0.333	0.535	모든 사람들
evict	0.042	0.632	0.377	퇴거
eviction	0.185	0.731	0.455	축출
evidence	0.500	0.500	0.778	증거
evident	0.633	0.444	0.664	분명한
evidentiary	0.448	0.541	0.717	증거
evil	0.040	0.827	0.545	사악한
evoke	0.438	0.341	0.500	일깨우다
evolution	0.781	0.657	0.854	진화
evolutionary	0.796	0.673	0.825	진화의
evolve	0.655	0.692	0.896	진화하다
ewe	0.429	0.216	0.277	암양
ex	0.250	0.520	0.306	전-
exacerbate	0.323	0.776	0.580	더욱 심하게 하다
exacerbation	0.344	0.810	0.480	격화
exact	0.719	0.354	0.685	정확한
exacting	0.448	0.673	0.767	힘든
exaggerate	0.193	0.760	0.529	과장하다
exaggerated	0.224	0.885	0.732	과장된
exaggeration	0.312	0.775	0.582	과장
exalt	0.656	0.750	0.745	높이다
exaltation	0.594	0.892	0.673	항진
exalted	0.676	0.845	0.696	고귀한
exam	0.479	0.663	0.577	시험
examination	0.378	0.657	0.679	시험
examine	0.615	0.623	0.786	조사하다
examiner	0.406	0.575	0.812	시험관
example	0.542	0.337	0.510	예시
exasperated	0.229	0.816	0.377	화난
exasperation	0.214	0.833	0.483	격분
excavate	0.583	0.613	0.635	파다
excavation	0.540	0.644	0.527	발굴
excavator	0.427	0.673	0.649	굴착기
exceed	0.500	0.827	0.586	초과하다
exceeding	0.500	0.802	0.668	엄청난
excel	0.561	0.363	0.466	뛰어나다
excellence	0.958	0.620	0.907	우수
excellent	0.970	0.587	0.870	훌륭한
excelsior	0.700	0.625	0.611	대팻밥
excepting	0.408	0.413	0.526	제외
exception	0.469	0.600	0.544	예외
exceptional	0.806	0.740	0.933	특별한
excerpt	0.437	0.367	0.543	발췌
excess	0.385	0.889	0.712	과잉
excessive	0.417	0.731	0.601	과도한
excessively	0.449	0.882	0.716	지나치게
exchange	0.740	0.569	0.491	교환
excise	0.448	0.561	0.577	국내 소비세
excision	0.260	0.480	0.519	절단
excitability	0.906	0.910	0.724	흥분
excitable	0.803	0.939	0.629	흥분
excitation	0.792	0.958	0.750	자극
excite	0.823	0.950	0.668	일으키다
excited	0.908	0.931	0.709	흥분한
excitement	0.896	0.684	0.731	흥분
exciting	0.950	0.792	0.789	신나는
exclaim	0.635	0.711	0.639	외치다
exclamation	0.612	0.745	0.598	감탄
exclude	0.292	0.500	0.530	들어오지 못하게 하다
excluded	0.061	0.540	0.134	제외된
excluding	0.271	0.550	0.324	...을 제외한
exclusion	0.240	0.530	0.389	제외
exclusive	0.792	0.630	0.653	독점적인
excrement	0.041	0.558	0.221	배설물
excretion	0.285	0.650	0.457	배설
excruciating	0.083	0.837	0.345	고문 받는
excursion	0.625	0.714	0.627	소풍
excuse	0.240	0.696	0.318	변명
exec	0.640	0.352	0.769	간부
execute	0.327	0.708	0.769	실행하다
execution	0.160	0.811	0.713	실행
executioner	0.235	0.816	0.676	실행자
executive	0.704	0.449	0.894	경영진
executor	0.365	0.755	0.759	집행자
exegesis	0.458	0.472	0.491	주해
exemplar	0.844	0.537	0.625	모범
exemplary	0.833	0.343	0.729	모범적 인
exemplify	0.735	0.506	0.783	예시하다
exempt	0.588	0.455	0.664	면제
exemption	0.531	0.578	0.627	면제
exercise	0.750	0.789	0.625	연습
exert	0.694	0.735	0.806	발휘하다
exertion	0.663	0.755	0.717	노력
exhale	0.542	0.490	0.411	내쉬다
exhaust	0.546	0.710	0.337	배기가스
exhausted	0.123	0.423	0.202	탈진한
exhaustion	0.366	0.633	0.269	피로
exhaustive	0.388	0.635	0.604	철저한
exhibit	0.688	0.633	0.708	전시하다
exhibition	0.698	0.590	0.531	전시회
exhilarated	0.890	0.963	0.759	들뜬
exhilarating	0.917	0.823	0.810	짜릿한
exhilaration	0.792	0.868	0.783	들뜬
exhort	0.378	0.660	0.745	간곡히 타이르다
exhortation	0.531	0.624	0.580	교회
exhumation	0.177	0.586	0.473	발굴
exhume	0.184	0.627	0.452	발굴하다
exigent	0.385	0.611	0.792	긴급
exile	0.184	0.630	0.483	망명
exist	0.857	0.421	0.788	존재하다
existence	0.760	0.513	0.771	존재
existent	0.635	0.490	0.635	존재
existential	0.583	0.510	0.638	실존적
existing	0.802	0.344	0.750	기존의
exit	0.370	0.353	0.399	출구
exodus	0.286	0.663	0.567	이동
exonerate	0.592	0.500	0.538	무죄하다
exorbitant	0.398	0.865	0.825	엄청난
exorcism	0.163	0.980	0.557	퇴마
exorcist	0.219	0.906	0.716	엑소시스트
exotic	0.840	0.711	0.727	이국적인
expand	0.792	0.559	0.686	확장하다
expanded	0.760	0.406	0.689	퍼지는
expanse	0.594	0.529	0.689	팽창
expansion	0.776	0.618	0.787	확장
expansive	0.708	0.650	0.778	널찍한
expatriate	0.265	0.764	0.391	국외 거주자
expect	0.469	0.327	0.377	예상하다
expectance	0.552	0.724	0.660	기대
expectancy	0.581	0.622	0.558	기대
expectant	0.708	0.650	0.474	기다리는
expectation	0.771	0.690	0.707	기대
expected	0.729	0.412	0.545	예상되는
expecting	0.561	0.450	0.302	기대
expediency	0.604	0.443	0.703	편의
expedient	0.885	0.461	0.454	편리한
expedite	0.571	0.858	0.798	촉진하다
expedition	0.735	0.802	0.620	원정
expeditious	0.602	0.645	0.773	급속한
expel	0.281	0.725	0.452	내쫓다
expendable	0.479	0.490	0.423	소모품
expenditure	0.250	0.608	0.603	지출
expense	0.317	0.451	0.377	비용
expenses	0.240	0.633	0.396	경비
expensive	0.323	0.540	0.530	값비싼
experience	0.827	0.618	0.905	경험
experienced	0.771	0.613	0.914	경험
experiences	0.793	0.647	0.795	경험담
experiment	0.479	0.720	0.675	실험
experimental	0.417	0.764	0.396	실험적인
experimentation	0.637	0.769	0.767	실험
experimenter	0.708	0.710	0.700	실험자
expert	0.776	0.646	0.911	전문가
expertise	0.792	0.589	0.925	전문적 지식
expiration	0.265	0.539	0.463	만료
expire	0.573	0.745	0.702	내쉬다
expired	0.198	0.394	0.200	만료
expiry	0.194	0.434	0.382	만료
explain	0.719	0.517	0.736	설명
explanation	0.615	0.610	0.825	설명
explanatory	0.573	0.433	0.688	설명
expletive	0.357	0.567	0.536	조어
explication	0.510	0.445	0.602	설명
explicit	0.562	0.694	0.734	명백한
explode	0.277	0.885	0.773	터지다
exploit	0.312	0.878	0.660	악용하다
exploitation	0.156	0.920	0.718	착취
exploration	0.594	0.650	0.773	탐구
exploratory	0.653	0.690	0.698	탐색적
explore	0.776	0.660	0.727	탐구하다
explorer	0.729	0.663	0.714	탐침
explosion	0.167	0.960	0.767	폭발
explosions	0.123	0.860	0.594	폭발
explosive	0.156	0.943	0.663	폭발물
expo	0.610	0.562	0.500	엑스포
exponent	0.529	0.510	0.845	멱지수
exponential	0.704	0.588	0.763	지수
export	0.567	0.661	0.755	내보내다
exportation	0.760	0.633	0.673	수출
expose	0.344	0.643	0.537	폭로하다
exposed	0.471	0.661	0.509	노출된
exposition	0.521	0.627	0.655	박람회
expository	0.706	0.653	0.636	설명
exposure	0.570	0.830	0.630	노출
expound	0.438	0.575	0.740	설명하다
express	0.760	0.623	0.691	표현하다
expression	0.790	0.650	0.721	표현
expressive	0.755	0.724	0.685	나타내는
expressway	0.633	0.635	0.587	고속도로
expropriation	0.188	0.735	0.788	수용
expulsion	0.190	0.790	0.529	제명
exquisite	0.892	0.644	0.604	절묘한
exquisitely	0.849	0.728	0.723	절묘하게
extant	0.646	0.390	0.523	지금도 남아 있는
extend	0.646	0.570	0.689	연장하다
extendable	0.660	0.592	0.722	확장 가능
extended	0.570	0.304	0.649	펼친
extension	0.490	0.510	0.529	확대
extensive	0.635	0.520	0.760	광범위한
extent	0.646	0.451	0.602	정도
exterior	0.542	0.400	0.627	외부
exterminate	0.177	0.857	0.736	근절하다
extermination	0.190	0.860	0.616	대량 학살
exterminator	0.344	0.804	0.887	근절자
external	0.479	0.341	0.509	외부
externally	0.643	0.521	0.568	외부적으로
extinct	0.112	0.491	0.412	멸종된
extinction	0.104	0.750	0.611	소멸
extinguish	0.240	0.576	0.482	끄다
extinguisher	0.707	0.379	0.543	끄는 사람
extol	0.582	0.667	0.456	칭송하다
extort	0.052	0.827	0.570	탈취하다
extortion	0.112	0.868	0.630	강요
extra	0.656	0.551	0.745	추가의
extract	0.565	0.402	0.519	발췌
extracting	0.521	0.709	0.689	적출
extraction	0.418	0.740	0.526	추출
extractor	0.302	0.536	0.519	추출기
extracurricular	0.457	0.471	0.743	과외
extradition	0.229	0.627	0.554	범죄인 인도
extrajudicial	0.365	0.686	0.667	초법적
extramural	0.336	0.559	0.537	성 밖의
extraneous	0.276	0.625	0.478	관계 없는
extraordinaire	0.847	0.864	0.898	비범한
extraordinary	0.969	0.728	0.860	기이한
extraterrestrial	0.510	0.833	0.792	외계인
extravagance	0.531	0.802	0.700	사치
extravagant	0.720	0.763	0.812	기발한
extravaganza	0.646	0.786	0.906	괴이한 이야기
extreme	0.318	0.800	0.721	극심한
extreme anticipation	0.551	0.740	0.704	극도의 기대
extreme disgust	0.052	0.873	0.456	극도의 혐오
extreme surprise	0.833	0.935	0.676	극도의 놀라움
extreme trust	0.826	0.713	0.922	극도의 신뢰
extremely	0.635	0.827	0.886	극도로
extremely negative	0.030	0.786	0.311	극도로 부정적인
extremely positive	0.993	0.730	0.839	매우 긍정적인
extremity	0.408	0.588	0.583	말단
extricate	0.542	0.510	0.543	구해 내다
extrinsic	0.510	0.479	0.636	외인성
extrusion	0.229	0.660	0.545	압출
exuberance	0.698	0.816	0.787	충일
exude	0.375	0.519	0.411	스며나다
eye	0.531	0.265	0.425	눈
eyeball	0.526	0.422	0.420	눈알
eyebrow	0.510	0.198	0.222	눈썹
eyeful	0.802	0.500	0.676	눈에 띄는
eyeglass	0.531	0.236	0.286	세안 컵
eyeglasses	0.561	0.269	0.306	안경
eyelash	0.480	0.250	0.278	속눈썹
eyelet	0.632	0.298	0.346	작은 구멍
