English Word	Valence	Arousal	Dominance	Ukrainian Word
crab	0.421	0.396	0.330	краб
crabby	0.198	0.812	0.370	роздратований
crack	0.302	0.625	0.400	тріщина
cracked	0.224	0.520	0.228	тріснутий
cracker	0.604	0.343	0.346	зломщик
crackerjack	0.567	0.509	0.426	крекерджек
cracking	0.327	0.557	0.286	розтріскування
crackle	0.327	0.643	0.481	тріск
crackpot	0.260	0.602	0.245	crackpot
cradle	0.776	0.194	0.333	колиска
craft	0.760	0.321	0.539	ремесло
crafts	0.667	0.380	0.391	ремесла
craftsman	0.719	0.310	0.583	ремісник
craftsmanship	0.823	0.373	0.571	майстерність
crafty	0.589	0.679	0.783	хитрий
craig	0.448	0.449	0.490	Крейг
cram	0.354	0.730	0.598	запихати
crammed	0.406	0.740	0.466	набитий
cramp	0.194	0.796	0.340	судома
cramped	0.240	0.567	0.360	тісно
cranberry	0.793	0.330	0.363	Журавлина
cranberry juice	0.622	0.321	0.281	журавлинний сік
crane	0.396	0.417	0.589	кран
cranial	0.354	0.510	0.583	черепний
cranium	0.439	0.491	0.725	черепна коробка
crank	0.448	0.275	0.417	кривошип
cranky	0.194	0.776	0.396	вередливий
cranny	0.194	0.471	0.250	тріщина
crap	0.083	0.644	0.167	лайно
crappy	0.039	0.582	0.208	поганий
craps	0.375	0.420	0.273	крепс
crash	0.194	0.906	0.355	аварія
crass	0.223	0.490	0.466	грубий
crate	0.427	0.173	0.274	ящик
crater	0.450	0.647	0.529	кратер
crave	0.625	0.510	0.731	жадати
craving	0.510	0.755	0.636	тяга
crawfish	0.510	0.427	0.342	раки
crawl	0.479	0.519	0.467	повзати
crayon	0.604	0.260	0.185	олівець
crayons	0.684	0.366	0.405	олівці
craze	0.255	0.657	0.435	божевілля
crazed	0.153	0.877	0.417	божевільний
craziness	0.238	0.908	0.255	божевілля
crazy	0.156	0.843	0.321	божевільний
creak	0.344	0.670	0.411	скрипіти
creaking	0.302	0.743	0.415	скрип
cream	0.688	0.259	0.220	крем
creamed	0.723	0.273	0.288	вершки
creamer	0.594	0.192	0.269	крем для вершків
creamy	0.823	0.337	0.345	вершковий
crease	0.440	0.286	0.300	складка
create	0.786	0.588	0.789	створити
creation	0.927	0.575	0.868	створення
creative	0.917	0.518	0.788	творчий
creativity	0.938	0.684	0.815	творчість
creator	0.865	0.592	0.856	творець
creature	0.669	0.625	0.620	створіння
credence	0.760	0.460	0.737	довіра
credential	0.735	0.337	0.597	облікові дані
credentials	0.708	0.373	0.675	облікові дані
credibility	0.875	0.427	0.809	надійність
credible	0.917	0.441	0.750	достовірний
credit	0.673	0.549	0.648	кредит
credit card	0.670	0.550	0.640	кредитна карта
creditable	0.802	0.510	0.742	похвальний
credited	0.781	0.390	0.691	зараховано
crediting	0.673	0.550	0.741	кредитування
creditor	0.479	0.594	0.689	кредитор
creed	0.573	0.245	0.544	віровчення
creek	0.552	0.392	0.330	струмок
creep	0.354	0.647	0.361	повзучість
creeper	0.429	0.558	0.366	ліана
creeping	0.292	0.613	0.282	повзучий
creepy	0.125	0.861	0.373	моторошний
cremation	0.084	0.620	0.420	кремація
creole	0.667	0.357	0.523	креольський
crepe	0.562	0.224	0.349	креп
crescendo	0.760	0.575	0.594	крещендо
crescent	0.698	0.382	0.407	півмісяць
crest	0.458	0.333	0.333	гребінь
crestfallen	0.235	0.346	0.175	занепалий
cretin	0.265	0.583	0.312	кретин
cretins	0.094	0.741	0.328	кретини
crevice	0.361	0.471	0.275	щілина
crew	0.604	0.598	0.735	екіпаж
crewman	0.602	0.580	0.548	екіпаж
crib	0.653	0.240	0.407	ліжечко
cricket	0.423	0.539	0.370	крикет
cried	0.167	0.612	0.254	плакав
crime	0.071	0.943	0.630	злочинність
criminal	0.021	0.830	0.529	кримінальний
criminality	0.122	0.863	0.580	злочинність
crimp	0.260	0.557	0.396	гофрований
crimson	0.667	0.385	0.370	малиновий
cringe	0.245	0.840	0.377	здригатися
cripple	0.094	0.392	0.161	каліка
crippled	0.035	0.358	0.236	каліка
crippling	0.156	0.598	0.391	калічити
crisis	0.208	0.811	0.431	криза
crisp	0.776	0.692	0.508	хрусткий
crispy	0.656	0.550	0.509	хрусткий
criterion	0.396	0.410	0.736	критерій
critic	0.264	0.604	0.686	критик
critical	0.312	0.802	0.545	критичний
criticise	0.073	0.700	0.452	критикувати
criticism	0.115	0.563	0.505	критика
criticize	0.143	0.708	0.473	критикувати
criticized	0.240	0.600	0.311	критикували
critique	0.302	0.760	0.537	критика
critter	0.542	0.539	0.482	створіння
croak	0.337	0.346	0.298	каркати
croc	0.327	0.452	0.451	крокодил
crock	0.385	0.412	0.421	кувшин
crockery	0.552	0.216	0.327	посуд
crocodile	0.344	0.708	0.610	крокодил
croft	0.531	0.429	0.421	croft
croissant	0.745	0.330	0.430	круасан
crook	0.171	0.765	0.550	шахрай
crooked	0.146	0.594	0.305	кривий
crop	0.615	0.260	0.500	урожай
croquet	0.551	0.519	0.407	крокет
cross	0.448	0.321	0.569	хрестик
cross country	0.531	0.441	0.529	через всю країну
crossbow	0.344	0.598	0.560	арбалет
crossed	0.431	0.490	0.508	перехрещені
crossfire	0.316	0.896	0.722	перехресний вогонь
crossing	0.549	0.349	0.451	перетин
crossover	0.559	0.550	0.500	кросовер
crosswalk	0.557	0.441	0.380	пішохідний перехід
crossword	0.611	0.423	0.455	кросворд
crotch	0.521	0.637	0.447	промежину
crouch	0.281	0.606	0.312	присідати
crouched	0.333	0.363	0.279	згорблений
crouching	0.261	0.429	0.345	присідання
croupier	0.531	0.519	0.404	круп'є
crow	0.224	0.439	0.363	ворона
crowbar	0.406	0.531	0.386	лом
crowd	0.350	0.827	0.731	натовп
crowded	0.694	0.286	0.585	переповнений
crowds	0.469	0.723	0.806	натовпи
crown	0.708	0.572	0.737	корона
crowning	0.773	0.594	0.831	вінчання
crucial	0.541	0.657	0.777	вирішальне значення
cruciate	0.429	0.435	0.585	хрестоподібний
crucifix	0.469	0.480	0.510	розп'яття
crucifixion	0.135	0.857	0.541	розп'яття
crucify	0.146	0.878	0.573	розіп'яти
crud	0.312	0.330	0.444	crud
crude	0.198	0.402	0.357	сирий
cruel	0.122	0.866	0.391	жорстокий
cruelly	0.146	0.790	0.471	жорстоко
cruelty	0.092	0.836	0.536	жорстокість
cruise	0.740	0.442	0.683	круїз
cruise ship	0.878	0.650	0.500	круїзний корабель
cruiser	0.737	0.490	0.608	крейсер
cruising	0.886	0.580	0.560	крейсерська
crumb	0.417	0.255	0.216	крихта
crumble	0.333	0.480	0.423	розсипатися
crumbling	0.167	0.696	0.308	розсипається
crummy	0.125	0.531	0.224	крихкий
crunch	0.292	0.630	0.406	хрускіт
crunchy	0.625	0.560	0.539	хрусткий
crusade	0.592	0.720	0.709	хрестовий похід
crusader	0.439	0.588	0.548	хрестоносець
crush	0.271	0.676	0.582	розчавити
crushed	0.167	0.647	0.300	подрібнений
crusher	0.271	0.709	0.598	дробарка
crushing	0.219	0.755	0.411	дроблення
crust	0.542	0.337	0.456	скоринка
crusty	0.625	0.531	0.473	хрусткий
crutch	0.302	0.294	0.302	милиця
crux	0.469	0.558	0.519	суть
cry	0.133	0.627	0.255	плакати
crybaby	0.375	0.702	0.311	Плаксій
crying	0.153	0.704	0.208	плаче
crypt	0.156	0.431	0.386	склеп
cryptic	0.296	0.516	0.474	загадковий
cryptography	0.490	0.415	0.650	криптографія
crystal	0.618	0.270	0.508	кристал
crystalline	0.765	0.235	0.534	кристалічний
crystallization	0.600	0.449	0.565	кристалізація
cub	0.646	0.382	0.284	дитинча
cubby	0.354	0.385	0.360	дитинча
cube	0.469	0.226	0.274	куб
cubic	0.458	0.306	0.407	кубічний
cubicle	0.479	0.343	0.417	кабінка
cuckold	0.210	0.573	0.230	рогоносець
cuckoo	0.420	0.459	0.284	зозуля
cucumber	0.490	0.235	0.237	огірок
cuddle	0.885	0.559	0.475	обніматися
cuddled	0.906	0.547	0.567	обіймався
cuddles	0.847	0.382	0.500	обійми
cuddling	0.917	0.562	0.433	обійми
cue	0.521	0.433	0.484	репліка
cuff	0.469	0.453	0.387	манжета
cuisine	0.714	0.365	0.390	кухня
culinary	0.654	0.443	0.519	кулінарний
cull	0.365	0.702	0.464	вибраковувати
culminate	0.667	0.550	0.602	досягають кульмінації
culmination	0.656	0.586	0.695	кульмінація
culpability	0.112	0.745	0.368	винність
culpable	0.140	0.700	0.319	винний
culprit	0.062	0.676	0.333	винуватця
cult	0.448	0.535	0.648	культ
cultivate	0.708	0.410	0.598	культивувати
cultivated	0.837	0.343	0.564	культивований
cultivation	0.625	0.324	0.462	вирощування
cultural	0.802	0.390	0.623	культурний
culture	0.753	0.304	0.675	культури
cultured	0.635	0.429	0.625	культурний
culvert	0.337	0.324	0.343	водопропускна труба
cumbersome	0.259	0.623	0.292	громіздкий
cumulus	0.570	0.433	0.432	купчасті
cunning	0.604	0.685	0.683	хитрий
cunt	0.135	0.673	0.377	пизда
cup	0.615	0.167	0.231	чашка
cupboard	0.553	0.200	0.304	шафа
cupcake	0.656	0.333	0.344	кекс
cupping	0.490	0.610	0.402	купірування
cur	0.440	0.519	0.460	cur
curable	0.823	0.292	0.574	виліковний
curate	0.726	0.418	0.526	куратор
curative	0.667	0.318	0.613	лікувальний
curator	0.688	0.389	0.688	куратор
curb	0.472	0.371	0.402	бордюр
curd	0.542	0.442	0.278	сирна маса
cure	0.719	0.377	0.623	вилікувати
curfew	0.219	0.618	0.623	комендантська година
curiosity	0.750	0.755	0.463	допитливість
curious	0.635	0.600	0.483	допитливий
curl	0.385	0.452	0.351	завиток
curling	0.583	0.592	0.400	завивка
currency	0.583	0.418	0.592	валюта
current	0.625	0.312	0.612	поточний
curriculum	0.708	0.306	0.620	навчальний план
curry	0.633	0.345	0.302	каррі
curse	0.033	0.720	0.375	прокляття
cursed	0.083	0.783	0.393	проклятий
cursing	0.112	0.860	0.446	лайка
cursory	0.423	0.451	0.431	побіжний
curt	0.245	0.610	0.452	короткий
curtail	0.306	0.439	0.497	згорнути
curtailment	0.230	0.578	0.431	скорочення
curtain	0.698	0.278	0.304	штора
curtains	0.615	0.123	0.342	штори
curtsy	0.635	0.412	0.598	реверанс
curvature	0.417	0.367	0.447	викривлення
curve	0.480	0.375	0.307	крива
curved	0.542	0.407	0.337	вигнутий
curvilinear	0.480	0.575	0.411	криволінійний
cushion	0.653	0.221	0.292	подушка
cushy	0.823	0.283	0.395	м'який
cusp	0.667	0.710	0.700	гострий
cuss	0.354	0.538	0.443	лайка
cussed	0.156	0.625	0.454	лаявся
custard	0.618	0.260	0.293	заварний крем
custodial	0.418	0.462	0.718	опікунська
custodian	0.594	0.625	0.528	зберігач
custody	0.494	0.472	0.675	опіка
custom	0.552	0.382	0.688	звичай
customary	0.700	0.253	0.561	звичайний
customer	0.562	0.430	0.673	клієнт
customized	0.625	0.504	0.590	індивідуальні
cut	0.490	0.490	0.393	вирізати
cutaneous	0.365	0.370	0.328	шкірний
cute	0.920	0.528	0.579	милий
cuticle	0.340	0.320	0.377	кутикула
cutie	0.638	0.528	0.464	милашка
cutlass	0.173	0.648	0.528	обрізка
cutlery	0.552	0.300	0.345	столові прилади
cutoff	0.432	0.510	0.518	відрізати
cutter	0.427	0.731	0.583	фреза
cutters	0.197	0.653	0.491	фрези
cutthroat	0.110	0.823	0.663	головоріз
cutting	0.448	0.375	0.536	різання
cutting board	0.337	0.540	0.342	дошка для нарізання
cuttings	0.479	0.392	0.433	живці
cwt	0.500	0.410	0.384	CWT
cyanide	0.229	0.667	0.545	ціанід
cyberspace	0.677	0.594	0.611	кіберпростір
cycle	0.635	0.400	0.533	цикл
cyclical	0.380	0.450	0.554	циклічний
cyclist	0.684	0.582	0.576	велосипедист
cyclone	0.416	0.796	0.673	циклон
cylinder	0.459	0.324	0.447	циліндр
cylindrical	0.458	0.294	0.414	циліндричні
cymbal	0.542	0.363	0.362	цимбал
cynic	0.135	0.632	0.473	цинік
cynical	0.156	0.760	0.474	цинічний
cynicism	0.104	0.780	0.454	цинізм
cyst	0.173	0.578	0.312	кіста
cystic	0.314	0.481	0.400	кістозний
cytomegalovirus	0.186	0.657	0.443	цитомегаловірус
cytoplasm	0.378	0.442	0.474	цитоплазма
czar	0.480	0.348	0.643	цар
dab	0.510	0.337	0.340	мазок
dabble	0.550	0.530	0.491	плескатися
dabbling	0.562	0.726	0.676	мацання
dad	0.857	0.412	0.786	тато
daddy	0.795	0.400	0.736	тато
dado	0.510	0.240	0.364	дадо
daemon	0.333	0.490	0.500	демон
daft	0.255	0.436	0.157	безглуздий
dagger	0.224	0.797	0.613	кинджал
daily	0.653	0.347	0.473	щодня
dainty	0.604	0.284	0.424	вишуканий
daiquiri	0.670	0.519	0.400	дайкірі
dairy	0.633	0.255	0.462	молочний
daisy	0.562	0.367	0.333	ромашка
dak	0.510	0.417	0.424	дак
dale	0.622	0.270	0.365	Дейл
dam	0.250	0.553	0.394	дамба
damage	0.059	0.726	0.403	пошкодження
damaged	0.104	0.635	0.182	пошкоджений
damages	0.082	0.760	0.310	збитки
dame	0.694	0.480	0.500	дама
damn	0.073	0.784	0.431	блін
damnation	0.135	0.750	0.416	прокляття
damned	0.100	0.760	0.465	проклятий
damp	0.360	0.279	0.210	вологий
dampened	0.271	0.422	0.336	зволожений
damper	0.459	0.378	0.473	демпфер
damsel	0.719	0.475	0.400	дівчина
dance	0.894	0.840	0.551	танець
dancer	0.740	0.768	0.545	танцівниця
dancing	0.885	0.868	0.444	танці
dandruff	0.398	0.298	0.293	лупа
dandy	0.673	0.520	0.630	денді
danger	0.115	0.923	0.673	небезпека
dangerous	0.020	0.941	0.658	небезпечний
dangerously	0.082	0.930	0.564	небезпечно
dangit	0.396	0.606	0.358	дангіт
dangle	0.362	0.469	0.375	бовтатися
dank	0.390	0.381	0.383	вологий
dapper	0.770	0.560	0.698	витончений
dare	0.677	0.788	0.684	наважуватися
daredevil	0.429	0.714	0.653	сміливець
daresay	0.540	0.451	0.490	наважитись
daring	0.583	0.840	0.711	сміливий
dark	0.198	0.398	0.426	темний
darken	0.250	0.471	0.382	темніти
darkened	0.135	0.440	0.452	затемнений
darkly	0.219	0.548	0.443	темно
darkness	0.102	0.602	0.418	темрява
darkroom	0.188	0.627	0.423	темна кімната
darkside	0.102	0.690	0.365	темна сторона
darling	0.885	0.370	0.608	коханий
darn	0.115	0.765	0.418	штопати
dart	0.417	0.608	0.500	дротик
dash	0.574	0.312	0.324	тире
dashboard	0.510	0.371	0.595	панель приладів
dashed	0.276	0.393	0.338	штриховий
dashing	0.612	0.627	0.799	лихий
dastardly	0.208	0.688	0.270	підло
data	0.500	0.250	0.426	даних
database	0.604	0.286	0.644	бази даних
date	0.604	0.231	0.400	дата
datenight	0.708	0.637	0.518	datenight
daughter	0.908	0.415	0.455	дочка
dawdle	0.479	0.464	0.357	бездіяти
dawn	0.827	0.235	0.519	світанок
dawned	0.694	0.471	0.473	осяяло
day	0.719	0.269	0.389	день
daybreak	0.802	0.358	0.474	світанок
daycare	0.776	0.481	0.360	дитячий садок
daydream	0.750	0.337	0.456	мрія
daydreaming	0.776	0.360	0.479	мріяти
daylight	0.865	0.420	0.545	денне світло
daymade	0.646	0.450	0.417	денний
dayoff	0.760	0.368	0.377	вихідний
daytime	0.750	0.324	0.454	денний час
daze	0.245	0.735	0.329	приголомшити
dazed	0.300	0.697	0.277	ошелешений
dazzle	0.730	0.782	0.683	засліплювати
dazzling	0.854	0.880	0.767	сліпуче
deacon	0.531	0.430	0.736	диякон
deactivate	0.235	0.447	0.392	деактивувати
dead	0.052	0.454	0.194	мертвий
deadbeat	0.229	0.453	0.368	мертвий
deadline	0.214	0.615	0.460	крайній термін
deadlines	0.406	0.769	0.411	терміни
deadlock	0.170	0.418	0.323	глухий кут
deadly	0.143	0.849	0.554	смертельний
deafening	0.281	0.835	0.482	оглушливий
deafness	0.125	0.413	0.219	приглухуватість
deal	0.719	0.599	0.543	справа
dealer	0.799	0.615	0.683	дилер
dealership	0.541	0.430	0.629	дилерство
dealing	0.724	0.415	0.598	справа
dealings	0.600	0.491	0.480	угоди
dean	0.612	0.469	0.723	декан
dear	0.880	0.434	0.629	дорогий
dearest	0.902	0.427	0.508	найдорожчий
dearth	0.156	0.539	0.255	нестача
death	0.031	0.720	0.472	смерть
deathbed	0.051	0.652	0.311	смертне ложе
deathly	0.073	0.771	0.682	смертельно
debacle	0.156	0.606	0.266	розгром
debased	0.219	0.529	0.170	принижений
debatable	0.181	0.610	0.474	дискусійний
debate	0.408	0.691	0.683	дебати
debauchery	0.354	0.901	0.500	розпуста
debenture	0.417	0.500	0.466	облігація
debilitating	0.125	0.490	0.308	виснажливий
debit	0.333	0.400	0.474	дебетовий
debrief	0.247	0.343	0.549	підведення підсумків
debriefing	0.427	0.580	0.456	підведення підсумків
debris	0.135	0.396	0.327	сміття
debt	0.204	0.598	0.336	борг
debtor	0.219	0.546	0.160	боржник
debut	0.806	0.606	0.629	дебют
debutante	0.771	0.627	0.454	дебютантка
decade	0.531	0.402	0.665	десятиліття
decadence	0.237	0.455	0.291	декаданс
decadent	0.290	0.559	0.324	декадентський
decaf	0.480	0.324	0.353	без кофеїну
decanter	0.438	0.567	0.510	графин
decathlon	0.573	0.753	0.620	десятиборство
decay	0.143	0.312	0.170	розпад
decayed	0.017	0.375	0.169	розклався
decaying	0.073	0.510	0.214	розкладається
deceased	0.021	0.538	0.188	покійний
decedent	0.423	0.481	0.415	спадкоємець
deceit	0.020	0.696	0.343	обман
deceitful	0.071	0.788	0.371	брехливий
deceive	0.094	0.775	0.414	обманювати
deceived	0.059	0.673	0.302	обдурили
deceiving	0.099	0.636	0.426	обманювати
december	0.740	0.540	0.464	Грудень
decency	0.750	0.235	0.634	порядність
decent	0.823	0.296	0.653	пристойний
deception	0.090	0.745	0.370	обман
deceptive	0.027	0.605	0.294	оманливий
decide	0.656	0.540	0.855	вирішити
decidedly	0.750	0.480	0.843	рішуче
deciduous	0.385	0.353	0.282	листяний
decimal	0.507	0.259	0.305	десятковий
decimeter	0.520	0.292	0.377	дециметр
decipher	0.417	0.630	0.652	розшифрувати
decision	0.646	0.510	0.839	рішення
decisive	0.740	0.509	0.935	вирішальним
deck	0.420	0.333	0.394	колода
declaration	0.551	0.590	0.714	декларація
declaratory	0.635	0.582	0.673	декларативний
declare	0.677	0.623	0.668	заявляти
declination	0.250	0.549	0.311	відмінювання
decline	0.173	0.491	0.240	занепад
declining	0.328	0.400	0.264	занепадає
deco	0.625	0.274	0.356	деко
decode	0.551	0.510	0.640	декодувати
decoder	0.562	0.340	0.686	декодер
decompose	0.194	0.596	0.241	розкладатися
decomposed	0.073	0.442	0.231	розкладається
decomposition	0.133	0.600	0.263	розкладання
decompress	0.438	0.430	0.509	декомпресувати
decompression	0.208	0.520	0.311	декомпресія
decontamination	0.611	0.538	0.573	знезараження
decor	0.734	0.311	0.573	декор
decorate	0.954	0.370	0.404	прикрашати
decorating	0.863	0.548	0.462	декорування
decoration	0.878	0.553	0.526	прикраса
decorative	0.908	0.460	0.381	декоративні
decorator	0.840	0.471	0.455	декоратор
decorum	0.802	0.327	0.462	пристойність
decoy	0.149	0.460	0.330	приманка
decrease	0.125	0.360	0.267	зменшення
decreased	0.224	0.271	0.170	зменшилася
decreasing	0.320	0.346	0.224	зменшується
decree	0.552	0.478	0.746	указ
decrement	0.255	0.427	0.373	декремент
decrepit	0.156	0.490	0.225	дряхлий
decry	0.400	0.814	0.548	засуджувати
decryption	0.459	0.445	0.600	розшифрування
dedicate	0.823	0.431	0.588	присвятити
dedication	0.867	0.471	0.682	відданість
deduce	0.490	0.510	0.466	виводити
deduct	0.355	0.330	0.412	відрахувати
deductible	0.375	0.286	0.455	франшиза
deduction	0.438	0.462	0.527	дедукція
deed	0.520	0.320	0.592	вчинок
deejay	0.551	0.630	0.473	діджей
deem	0.594	0.529	0.690	вважати
deep	0.490	0.473	0.657	глибокий
deepen	0.625	0.530	0.776	поглибити
deer	0.583	0.375	0.292	олень
defamation	0.110	0.670	0.481	наклеп
defamatory	0.143	0.688	0.402	наклепницький
default	0.459	0.343	0.712	за замовчуванням
defeat	0.092	0.500	0.224	поразка
defeated	0.104	0.582	0.145	переможений
defeatist	0.163	0.567	0.315	пораженський
defect	0.135	0.561	0.185	дефект
defection	0.146	0.594	0.330	дезертирство
defective	0.122	0.580	0.274	несправний
defector	0.163	0.696	0.286	перебіжчик
defend	0.698	0.722	0.670	захищати
defendant	0.250	0.710	0.491	відповідача
defended	0.663	0.451	0.582	захищав
defender	0.639	0.708	0.750	захисник
defending	0.604	0.871	0.812	захищаючись
defense	0.652	0.698	0.802	захист
defenseless	0.143	0.357	0.105	беззахисний
defensible	0.740	0.509	0.593	обґрунтований
defensive	0.542	0.640	0.678	оборонний
defer	0.245	0.459	0.317	відкласти
deference	0.510	0.396	0.447	повага
deferral	0.765	0.542	0.327	відстрочка
deferring	0.343	0.500	0.413	відкладаючи
defiance	0.333	0.780	0.760	непокора
defiant	0.250	0.792	0.769	зухвалий
defibrillator	0.398	0.663	0.431	дефібрилятор
deficiency	0.073	0.373	0.179	дефіцит
deficient	0.240	0.464	0.132	дефіцитний
deficit	0.358	0.500	0.269	дефіцит
define	0.688	0.415	0.632	визначити
defined	0.670	0.214	0.646	визначений
definite	0.708	0.292	0.741	певний
definition	0.573	0.375	0.579	визначення
definitive	0.583	0.479	0.787	остаточний
deflate	0.148	0.404	0.237	здути
deflation	0.287	0.536	0.407	дефляція
deflect	0.133	0.491	0.482	відхиляти
deflection	0.188	0.500	0.382	прогин
defloration	0.188	0.690	0.434	дефлорація
deform	0.112	0.654	0.284	деформувати
deformed	0.198	0.435	0.308	деформований
deformity	0.160	0.569	0.241	деформація
defraud	0.175	0.635	0.314	обманювати
defray	0.375	0.598	0.653	покривати
defrost	0.427	0.317	0.389	розморожування
deft	0.719	0.575	0.849	спритний
defunct	0.112	0.491	0.272	неіснуючий
defuse	0.167	0.480	0.430	розрядити
defy	0.353	0.884	0.657	кинути виклик
degeneracy	0.143	0.720	0.298	виродження
degenerate	0.069	0.724	0.264	вироджуються
degeneration	0.245	0.578	0.371	дегенерація
degradation	0.160	0.608	0.315	деградація
degrade	0.083	0.500	0.184	деградувати
degraded	0.167	0.433	0.205	деградували
degrading	0.031	0.583	0.232	принизливий
degree	0.724	0.365	0.663	ступінь
dehydrated	0.310	0.685	0.212	зневоднений
dehydration	0.188	0.472	0.259	зневоднення
dejected	0.104	0.654	0.347	пригнічений
delay	0.204	0.510	0.162	затримка
delayed	0.188	0.490	0.216	затримується
delectable	0.781	0.642	0.718	чудовий
delegate	0.612	0.491	0.658	делегат
delegation	0.562	0.431	0.609	делегація
delete	0.292	0.298	0.409	видалити
deleterious	0.297	0.725	0.440	шкідливий
deletion	0.062	0.506	0.462	видалення
deli	0.561	0.448	0.447	гастроном
deliberate	0.551	0.654	0.682	навмисне
deliberation	0.561	0.678	0.596	обговорення
deliberative	0.392	0.552	0.573	дорадчий
delicacy	0.812	0.279	0.336	делікатес
delicate	0.583	0.294	0.366	делікатний
delicatessen	0.656	0.474	0.400	делікатес
delicious	0.927	0.650	0.589	смачно
delight	0.949	0.666	0.647	захоплення
delighted	0.938	0.664	0.685	в захваті
delightful	0.918	0.735	0.644	чудово
delineate	0.448	0.430	0.445	окреслити
delineation	0.521	0.402	0.314	окреслення
delinquency	0.135	0.860	0.508	правопорушення
delinquent	0.051	0.904	0.500	правопорушник
delirious	0.219	0.774	0.538	марення
delirium	0.233	0.694	0.484	марення
deliver	0.583	0.370	0.582	доставити
deliverance	0.750	0.520	0.658	визволення
delivery	0.704	0.461	0.786	доставка
dell	0.458	0.380	0.453	dell
delta	0.551	0.343	0.509	дельта
delude	0.143	0.627	0.353	омана
deluge	0.245	0.714	0.612	потоп
delusion	0.344	0.647	0.400	марення
delusional	0.219	0.745	0.327	маревний
deluxe	0.792	0.612	0.755	люкс
delve	0.469	0.529	0.684	копатися
demand	0.292	0.673	0.500	попит
demanding	0.396	0.750	0.828	вимогливий
demeaned	0.271	0.520	0.212	принижений
demeaning	0.104	0.645	0.308	принизливий
demeanor	0.633	0.433	0.657	поведінка
demented	0.088	0.787	0.309	божевільний
dementia	0.092	0.779	0.337	деменція
demise	0.104	0.596	0.456	кончина
demo	0.510	0.314	0.423	демо
democracy	0.680	0.500	0.840	демократія
democrat	0.582	0.400	0.755	демократ
democratic	0.802	0.519	0.798	демократичний
demographic	0.459	0.356	0.594	демографічний
demolish	0.125	0.632	0.700	знести
demolished	0.271	0.647	0.353	знесені
demolition	0.133	0.827	0.541	знесення
demon	0.037	0.908	0.509	демон
demonic	0.146	0.875	0.600	демонічний
demonstrable	0.735	0.471	0.749	доказовий
demonstrate	0.771	0.552	0.839	продемонструвати
demonstrated	0.617	0.500	0.649	продемонстровано
demonstrating	0.698	0.571	0.693	демонструючи
demonstration	0.551	0.676	0.679	демонстрація
demonstrative	0.656	0.528	0.736	демонстративний
demonstrator	0.520	0.598	0.733	демонстратор
demoralized	0.082	0.590	0.149	деморалізований
demos	0.418	0.370	0.368	демонстрації
demure	0.690	0.315	0.417	скромний
den	0.510	0.347	0.398	ден
deniability	0.230	0.509	0.417	заперечення
denial	0.194	0.435	0.318	заперечення
denied	0.188	0.604	0.333	відмовлено
denim	0.520	0.382	0.327	джинсовий
denomination	0.490	0.363	0.429	номінал
denominational	0.458	0.375	0.679	конфесійний
denominator	0.450	0.410	0.613	знаменник
denote	0.448	0.471	0.534	позначають
denounce	0.083	0.780	0.426	викривати
dense	0.354	0.343	0.536	щільний
density	0.602	0.471	0.561	щільність
dent	0.306	0.606	0.325	вм'ятина
dental	0.573	0.404	0.463	стоматологічний
dentist	0.479	0.620	0.642	стоматолог
dentistry	0.429	0.570	0.569	стоматологія
dentists	0.364	0.600	0.582	стоматологи
denunciation	0.146	0.830	0.561	донос
deny	0.316	0.667	0.321	заперечувати
denying	0.080	0.542	0.272	заперечуючи
deodorant	0.480	0.265	0.269	дезодорант
depart	0.398	0.480	0.444	відправлятися
departed	0.245	0.536	0.391	відійшов
department	0.708	0.358	0.642	відділ
departmental	0.612	0.422	0.446	відомчий
departure	0.573	0.500	0.426	відправлення
depend	0.388	0.429	0.358	залежати
dependable	0.880	0.357	0.741	надійний
dependant	0.357	0.404	0.451	залежний
dependence	0.250	0.451	0.433	залежність
dependency	0.429	0.365	0.356	залежність
dependent	0.354	0.455	0.404	залежний
depict	0.663	0.529	0.723	зображувати
depicting	0.490	0.566	0.602	зображуючи
depletion	0.153	0.370	0.236	виснаження
deplorable	0.135	0.657	0.230	плачевний
deplore	0.135	0.575	0.373	жалкувати
deploy	0.500	0.520	0.585	розгорнути
deployment	0.510	0.520	0.612	розгортання
deport	0.167	0.667	0.546	депортувати
deportation	0.104	0.786	0.450	депортація
depose	0.286	0.420	0.451	скидати
deposit	0.540	0.379	0.483	депозит
depositary	0.604	0.431	0.500	депозитарій
deposition	0.394	0.510	0.471	осадження
depository	0.551	0.373	0.481	депозитарій
depot	0.635	0.255	0.471	депо
depraved	0.031	0.837	0.395	розбещений
depravity	0.115	0.854	0.453	розбещеність
depreciate	0.270	0.623	0.445	знецінювати
depreciated	0.135	0.672	0.250	амортизується
depreciation	0.143	0.571	0.386	амортизація
depress	0.219	0.635	0.528	депресія
depressed	0.024	0.445	0.136	пригнічений
depressing	0.146	0.559	0.216	пригнічує
depression	0.031	0.520	0.232	депресія
depressive	0.143	0.434	0.202	депресивний
depresson	0.135	0.400	0.308	депресія
deprivation	0.194	0.610	0.413	позбавлення
deprive	0.271	0.591	0.340	позбавляти
deprived	0.354	0.506	0.536	позбавлений
depth	0.708	0.561	0.759	глибина
deputy	0.429	0.530	0.787	заступник
derail	0.108	0.802	0.375	зійти з колії
