English Word	Valence	Arousal	Dominance	Hausa Word
cast	0.558	0.620	0.517	jefa
castaway	0.208	0.646	0.422	jefarwa
caste	0.510	0.333	0.374	jigo
caster	0.604	0.670	0.647	simintin
castle	0.680	0.396	0.718	gidan sarauta
castor	0.583	0.337	0.368	castor
castrate	0.177	0.485	0.519	jefar da shi
castration	0.198	0.735	0.381	castration
casual	0.643	0.224	0.385	m
casually	0.658	0.290	0.333	na yau da kullun
casualty	0.235	0.274	0.132	asarar rayuka
cat	0.667	0.260	0.370	cat
catabolism	0.265	0.573	0.605	catabolism
catalog	0.561	0.221	0.573	kasida
catalogue	0.647	0.327	0.533	kasida
catalysis	0.385	0.559	0.531	catalysis
catalyst	0.604	0.509	0.585	mai kara kuzari
catalytic	0.562	0.519	0.563	mai kara kuzari
catamaran	0.571	0.566	0.526	catamaran
catapult	0.480	0.830	0.649	katafala
cataract	0.406	0.545	0.549	cataract
catastrophe	0.146	0.952	0.670	bala'i
catastrophic	0.071	0.934	0.598	bala'i
catatonic	0.255	0.500	0.509	catatonic
catch	0.531	0.437	0.552	kama
catcher	0.653	0.413	0.540	kama
catching	0.490	0.788	0.644	kamawa
catchphrase	0.698	0.423	0.433	zance
catchy	0.677	0.441	0.462	m
catechism	0.656	0.236	0.613	catechism
categorical	0.615	0.442	0.760	m
category	0.571	0.264	0.521	category
cater	0.802	0.500	0.509	kula
caterer	0.550	0.557	0.644	mai abinci
caterpillar	0.461	0.286	0.330	kafila
cates	0.370	0.394	0.407	kato
catfish	0.458	0.337	0.296	kifi kifi
cathartic	0.450	0.510	0.604	cathartic
cathedral	0.598	0.330	0.643	babban coci
catheter	0.336	0.491	0.373	catheter
cathouse	0.327	0.375	0.363	gidan katon
catnip	0.439	0.381	0.296	katsina
cattle	0.622	0.340	0.445	shanu
catwalk	0.698	0.436	0.464	catwalk
caucus	0.418	0.311	0.491	kokwas
caudal	0.500	0.425	0.583	kaudal
cauldron	0.510	0.486	0.418	kasko
cauliflower	0.448	0.255	0.231	farin kabeji
caulk	0.367	0.500	0.418	kowa
causal	0.562	0.367	0.491	sanadi
causality	0.500	0.378	0.336	sanadi
causation	0.562	0.480	0.567	sanadi
cause	0.469	0.373	0.486	sanadi
caused	0.344	0.520	0.382	ya haifar
causeway	0.453	0.382	0.422	hanyar hanya
caution	0.552	0.712	0.547	taka tsantsan
cautionary	0.510	0.541	0.519	na taka tsantsan
cautious	0.470	0.445	0.517	m
cautiously	0.510	0.388	0.525	a hankali
cavalier	0.735	0.462	0.713	sojan doki
cavalry	0.667	0.727	0.794	sojan doki
cave	0.459	0.333	0.380	kogo
caveat	0.344	0.629	0.484	gargadi
caveman	0.235	0.644	0.482	ɗan kogo
cavern	0.323	0.360	0.365	kogo
cavernous	0.354	0.548	0.462	kogo
caviar	0.906	0.394	0.481	caviar
caving	0.378	0.491	0.551	caving
cavity	0.466	0.385	0.379	rami
cayenne	0.615	0.306	0.355	kayenne
cease	0.388	0.250	0.420	daina
ceasefire	0.542	0.594	0.567	tsagaita wuta
ceaseless	0.378	0.704	0.658	m
cedar	0.560	0.267	0.577	cedar
cede	0.275	0.327	0.402	cede
ceiling	0.520	0.224	0.366	rufi
celebrant	0.865	0.656	0.643	mai bikin
celebrate	0.917	0.857	0.859	bikin
celebrated	0.875	0.690	0.763	bikin
celebrating	0.927	0.860	0.773	bikin
celebration	0.939	0.824	0.880	biki
celebrations	0.958	0.794	0.714	bukukuwan
celebratory	0.857	0.653	0.845	biki
celebrity	0.760	0.619	0.855	mashahuri
celery	0.396	0.147	0.223	seleri
celestial	0.817	0.360	0.731	na sama
celibacy	0.302	0.276	0.509	rashin aure
celibate	0.419	0.387	0.391	rashin aure
cell	0.541	0.375	0.465	tantanin halitta
cellar	0.510	0.277	0.406	cellar
cellblock	0.186	0.570	0.500	block
cellist	0.667	0.500	0.486	cellist
cellmate	0.167	0.684	0.349	cellmate
cello	0.635	0.324	0.528	cello
cellophane	0.648	0.282	0.289	cellophane
cellular	0.643	0.398	0.517	salon salula
cellulite	0.200	0.384	0.256	cellulite
celluloid	0.469	0.440	0.425	celluloid
cement	0.544	0.265	0.527	siminti
cemented	0.429	0.382	0.537	siminti
cemetery	0.051	0.630	0.417	makabarta
censor	0.344	0.276	0.538	tace
censorship	0.219	0.698	0.421	tantancewa
censure	0.219	0.653	0.417	zargi
census	0.449	0.289	0.553	ƙidayar jama'a
cent	0.439	0.367	0.402	cent
centenary	0.604	0.440	0.642	karni
centennial	0.583	0.394	0.700	shekara ɗari
center	0.643	0.231	0.431	tsakiya
centerfold	0.571	0.407	0.485	tsakiya
centerpiece	0.594	0.208	0.520	tsakiya
centimeter	0.427	0.280	0.380	santimita
centipede	0.296	0.399	0.361	centipede
central	0.640	0.356	0.621	tsakiya
centrality	0.571	0.312	0.709	tsakiya
centralization	0.521	0.440	0.702	tsakiya
centralize	0.684	0.427	0.802	tsakiya
centrally	0.729	0.280	0.700	a tsakiya
centrifugal	0.306	0.651	0.480	centrifugal
centrifuge	0.495	0.622	0.527	centrifuge
centurion	0.590	0.447	0.696	centurion
century	0.407	0.347	0.735	karni
ceramic	0.521	0.255	0.371	yumbu
ceramics	0.573	0.250	0.373	tukwane
cereal	0.612	0.206	0.316	hatsi
cereals	0.719	0.224	0.311	hatsi
cerebral	0.408	0.509	0.627	cerebral
ceremonial	0.771	0.540	0.691	biki
ceremony	0.760	0.559	0.761	bikin
certain	0.760	0.358	0.673	tabbata
certainty	0.781	0.400	0.769	tabbas
certifiable	0.714	0.427	0.662	mai tabbatarwa
certificate	0.786	0.377	0.746	takardar shaida
certified	0.781	0.422	0.806	bokan
certify	0.866	0.400	0.746	tabbatarwa
cervical	0.375	0.413	0.445	na mahaifa
cervix	0.429	0.360	0.340	cervix
cess	0.427	0.375	0.406	cess
cessation	0.414	0.385	0.358	dainawa
cesspool	0.167	0.460	0.409	cesspool
cha cha	0.714	0.546	0.324	ka ka
chaff	0.333	0.327	0.188	chaf
chafing	0.430	0.415	0.368	chafing
chagrin	0.104	0.704	0.472	takaici
chagrined	0.112	0.745	0.361	takaici
chai	0.500	0.375	0.363	chai
chain	0.378	0.500	0.547	sarkar
chainsaw	0.367	0.804	0.636	chainsaw
chair	0.562	0.082	0.276	kujera
chairman	0.656	0.567	0.933	shugaba
chairperson	0.730	0.657	0.966	shugaba
chairwoman	0.719	0.664	0.953	shugabar mata
chaise	0.406	0.349	0.327	chaise
chalet	0.653	0.349	0.278	chalet
chalice	0.633	0.286	0.529	chalice
chalk	0.385	0.185	0.121	alli
challenge	0.469	0.922	0.713	kalubale
challenger	0.417	0.755	0.652	kalubale
chamber	0.583	0.373	0.455	jam'iyya
chambermaid	0.594	0.375	0.336	yar majalisa
chambers	0.542	0.442	0.388	dakunan
chameleon	0.490	0.580	0.345	hawainiya
champ	0.854	0.754	0.896	zakara
champagne	0.760	0.600	0.454	giyar shamfe
champion	0.890	0.880	0.945	zakara
championship	0.833	0.800	0.880	zakara
chance	0.833	0.551	0.525	dama
chancellor	0.646	0.500	0.887	kansila
chandelier	0.615	0.542	0.366	chandelier
chandler	0.510	0.452	0.454	chandler
change	0.625	0.575	0.606	canji
changeable	0.490	0.480	0.528	mai canzawa
changed	0.594	0.375	0.491	canza
changer	0.583	0.519	0.567	mai canzawa
changing	0.571	0.569	0.461	canzawa
channel	0.490	0.287	0.405	tashar
chant	0.771	0.698	0.650	raira waƙa
chaos	0.016	0.923	0.373	hargitsi
chaotic	0.115	0.847	0.442	m
chap	0.550	0.410	0.345	babi
chapel	0.573	0.240	0.440	ɗakin sujada
chaperon	0.500	0.520	0.404	shugaban kasa
chaplain	0.582	0.370	0.577	malamin addini
chapman	0.562	0.529	0.465	shugaban kasa
chaps	0.350	0.462	0.350	chaps
chapter	0.580	0.308	0.461	babi
char	0.554	0.361	0.404	char
character	0.667	0.373	0.686	hali
characteristic	0.583	0.328	0.538	hali
characterize	0.729	0.471	0.735	siffata
charade	0.458	0.550	0.346	karade
charcoal	0.302	0.186	0.342	gawayi
chardonnay	0.677	0.567	0.492	chardonnay
charge	0.510	0.633	0.785	caji
chargeable	0.551	0.550	0.453	m
charger	0.531	0.418	0.545	caja
chariot	0.684	0.550	0.491	karusa
charisma	0.938	0.591	0.759	kwarjini
charismatic	0.938	0.684	0.849	mai kwarjini
charitable	0.865	0.380	0.593	sadaka
charity	0.920	0.284	0.551	sadaka
charlatan	0.200	0.640	0.352	charlatan
charm	0.833	0.363	0.649	fara'a
charmed	0.938	0.570	0.769	m
charmer	0.882	0.683	0.782	fara'a
charming	0.917	0.660	0.764	m
charred	0.208	0.676	0.373	harsashi
chart	0.469	0.317	0.330	jadawali
charter	0.677	0.382	0.518	shata
chartered	0.569	0.460	0.490	hayar
chase	0.396	0.878	0.623	kore
chased	0.188	0.830	0.287	kore
chaser	0.375	0.830	0.645	kora
chasm	0.265	0.579	0.500	chasm
chassis	0.406	0.342	0.444	chassis
chaste	0.408	0.248	0.453	tsafta
chastened	0.156	0.580	0.345	horo
chastisement	0.156	0.852	0.462	azabtarwa
chastity	0.469	0.392	0.509	tsafta
chat	0.729	0.400	0.346	hira
chateau	0.615	0.464	0.702	chateau
chatter	0.560	0.450	0.347	zance
chatterbox	0.459	0.548	0.482	akwatin magana
chattering	0.460	0.663	0.304	zance
chatty	0.594	0.548	0.345	hira
chauffeur	0.500	0.353	0.471	direba
chauvinist	0.310	0.539	0.527	dan son zuciya
cheap	0.612	0.471	0.272	mai arha
cheapened	0.471	0.611	0.282	mai rahusa
cheapskate	0.148	0.482	0.327	cheapskate
cheat	0.125	0.776	0.400	yaudara
cheater	0.104	0.920	0.333	mayaudari
check	0.523	0.552	0.602	duba
checkbook	0.552	0.284	0.364	littafin dubawa
checker	0.330	0.417	0.553	abin dubawa
checkered	0.459	0.316	0.336	duba
checkers	0.676	0.451	0.437	masu dubawa
checklist	0.561	0.521	0.552	jerin abubuwan dubawa
checkmate	0.667	0.708	0.750	abokin aiki
checkout	0.597	0.510	0.670	dubawa
checkpoint	0.571	0.323	0.812	wurin bincike
checkup	0.500	0.435	0.491	duba lafiya
cheek	0.670	0.314	0.421	kunci
cheeks	0.708	0.324	0.282	kunci
cheeky	0.434	0.679	0.410	kunci
cheep	0.367	0.380	0.373	kunci
cheer	0.938	0.784	0.845	murna
cheered	0.875	0.648	0.790	murna
cheerful	0.990	0.720	0.696	m
cheerfulness	0.969	0.802	0.675	fara'a
cheering	0.815	0.824	0.642	murna
cheerleader	0.923	0.746	0.657	fara'a
cheerleading	0.698	0.769	0.404	fara'a
cheerless	0.204	0.373	0.167	m
cheers	0.948	0.770	0.702	murna
cheery	0.949	0.657	0.486	fara'a
cheese	0.740	0.280	0.281	cuku
cheeseburger	0.802	0.529	0.336	cheeseburger
cheesecake	0.860	0.276	0.238	cheesecake
cheesy	0.470	0.471	0.179	cheesy
cheetah	0.469	0.770	0.667	cheetah
chef	0.854	0.411	0.570	shugaba
chemical	0.337	0.560	0.508	sinadaran
chemise	0.530	0.275	0.364	sunadarai
chemist	0.408	0.575	0.610	masanin sinadarai
chemistry	0.625	0.520	0.694	ilmin sunadarai
chemo	0.214	0.686	0.444	chemo
chemotherapy	0.163	0.689	0.517	chemotherapy
cheque	0.698	0.529	0.660	duba
cherish	0.896	0.491	0.652	daraja
cherishing	0.836	0.380	0.625	m
cherry	0.688	0.186	0.250	ceri
cherub	0.663	0.340	0.455	kerub
chess	0.656	0.363	0.518	dara
chest	0.520	0.429	0.481	kirji
chestnut	0.714	0.210	0.294	kirji
chevron	0.469	0.469	0.598	chevron
chew	0.520	0.490	0.404	tauna
chewy	0.625	0.418	0.390	taunawa
chic	0.870	0.624	0.380	chic
chicane	0.357	0.460	0.481	chicane
chick	0.771	0.602	0.387	kaji
chicken	0.594	0.306	0.394	kaza
chicken pox	0.194	0.510	0.415	kashin kaji
chickenpox	0.173	0.562	0.357	kashin kaji
chief	0.520	0.544	0.869	shugaba
chiefly	0.600	0.587	0.764	babba
chieftain	0.343	0.529	0.860	shugaba
chiffon	0.406	0.230	0.250	chiffon
child	0.912	0.460	0.413	yaro
childbirth	0.604	0.861	0.673	haihuwa
childhood	0.865	0.413	0.307	yarinta
childish	0.573	0.442	0.230	na yara
childless	0.310	0.400	0.396	mara haihuwa
childlike	0.656	0.372	0.293	kamar yara
childloss	0.240	0.571	0.421	rashin haihuwa
children	0.857	0.538	0.435	yara
chili	0.592	0.566	0.433	barkono
chill	0.837	0.206	0.482	sanyi
chilled	0.521	0.340	0.482	sanyi
chilling	0.208	0.850	0.358	sanyi
chilly	0.329	0.459	0.408	sanyi
chime	0.573	0.541	0.464	chime
chimera	0.292	0.582	0.372	chimera
chimes	0.625	0.490	0.402	murmushi
chimney	0.583	0.286	0.225	bututun hayaki
chimp	0.394	0.588	0.345	chimp
chimpanzee	0.500	0.633	0.387	chimpanzee
chin	0.571	0.310	0.269	cin duri
china	0.561	0.443	0.556	china
chinchilla	0.480	0.450	0.286	chinchilla
chine	0.561	0.360	0.352	china
chinook	0.408	0.497	0.491	chinook
chip	0.479	0.382	0.452	guntu
chipmunk	0.573	0.562	0.409	chipmunk
chipper	0.418	0.588	0.500	chipper
chipping	0.354	0.452	0.353	chipping
chiropractor	0.420	0.549	0.651	chiropractor
chirp	0.469	0.602	0.365	tsirfa
chirping	0.500	0.463	0.360	hayaniya
chisel	0.469	0.404	0.452	tsiri
chiseler	0.429	0.606	0.464	chiseler
chit	0.490	0.352	0.321	tsit
chitchat	0.673	0.455	0.403	chitchat
chivalry	0.857	0.380	0.848	chivalry
chloride	0.265	0.387	0.474	chloride
chlorine	0.306	0.327	0.332	sinadarin chlorine
chloroform	0.281	0.370	0.393	chloroform
chocolate	0.885	0.480	0.418	cakulan
choice	0.745	0.520	0.664	zabi
choir	0.704	0.298	0.473	ƙungiyar mawaƙa
choke	0.167	0.788	0.676	shake
cholera	0.020	0.867	0.507	kwalara
cholesterol	0.198	0.583	0.398	cholesterol
choose	0.615	0.542	0.648	zabi
choosing	0.719	0.529	0.689	zabar
choosy	0.280	0.760	0.712	zabi
chop	0.250	0.655	0.467	sara
chopper	0.594	0.560	0.509	sara
choppers	0.469	0.745	0.691	masu sara
chopping	0.560	0.625	0.362	sara
chops	0.612	0.420	0.269	sara
choral	0.852	0.290	0.421	choral
chord	0.729	0.394	0.539	tsinkaya
chords	0.639	0.406	0.388	maƙiyi
chore	0.406	0.462	0.500	aiki
choreographer	0.646	0.639	0.625	mawaƙa
choreography	0.812	0.750	0.547	choreography
chorus	0.620	0.417	0.500	ƙungiyar mawaƙa
chosen	0.865	0.449	0.833	zaba
chow	0.573	0.490	0.390	kowa
chowder	0.510	0.324	0.241	sara
christ	0.781	0.510	0.750	Kristi
christen	0.673	0.356	0.588	Kirista
christening	0.725	0.382	0.650	christening
christmas	0.959	0.520	0.741	Kirsimeti
christmasbreak	0.842	0.640	0.548	hutun Kirsimeti
christmaseve	0.812	0.491	0.463	Kirsimeti
christmasspirit	0.867	0.602	0.575	Kirsimeti
christmassy	0.875	0.698	0.602	Kirsimeti
christmastime	0.837	0.588	0.515	lokacin Kirsimeti
chromatic	0.407	0.413	0.435	chromatic
chromatography	0.480	0.537	0.535	chromatography
chrome	0.582	0.373	0.421	chrome
chromium	0.458	0.404	0.447	chromium
chromosome	0.500	0.296	0.548	chromosome
chronic	0.255	0.615	0.464	na kullum
chronicle	0.427	0.571	0.586	tarihin tarihi
chronograph	0.500	0.392	0.529	Chronograph
chronological	0.594	0.445	0.600	na zamani
chubby	0.531	0.427	0.304	chubby
chuck	0.542	0.509	0.413	kunci
chuckle	0.844	0.736	0.481	dariya
chug	0.401	0.413	0.358	runguma
chum	0.911	0.347	0.518	kum
chummy	0.760	0.420	0.610	m
chump	0.375	0.451	0.304	kump
chunk	0.365	0.287	0.214	dunkule
chunky	0.520	0.517	0.509	m
church	0.708	0.198	0.610	coci
churchyard	0.296	0.444	0.347	farfajiyar coci
churn	0.316	0.491	0.407	murza
chute	0.580	0.745	0.455	yanke
chutney	0.459	0.370	0.400	chutney
ciao	0.542	0.426	0.409	cio
cider	0.530	0.346	0.398	cider
cigar	0.306	0.463	0.346	sigari
cigarette	0.219	0.528	0.304	taba
cilantro	0.469	0.260	0.208	cilantro
cinch	0.450	0.490	0.387	cinci
cinder	0.350	0.260	0.157	citta
cinema	0.698	0.538	0.500	cinema
cinematic	0.663	0.490	0.600	cinematic
cinematographer	0.792	0.455	0.711	mai daukar hoto
cinematography	0.781	0.571	0.625	cinematography
cinnamon	0.600	0.250	0.292	kirfa
cipher	0.490	0.414	0.500	sifa
circle	0.480	0.290	0.343	da'irar
circling	0.510	0.654	0.336	kewayawa
circuit	0.586	0.461	0.707	kewaye
circuitry	0.596	0.615	0.536	kewaye
circular	0.562	0.342	0.417	madauwari
circulate	0.612	0.388	0.320	yadawa
circulation	0.735	0.520	0.657	wurare dabam dabam
circulatory	0.592	0.575	0.545	na jini
circumcision	0.327	0.657	0.528	kaciya
circumference	0.458	0.255	0.488	kewaye
circumferential	0.551	0.422	0.509	m
circumscribed	0.365	0.539	0.569	kaciya
circumstance	0.520	0.565	0.596	yanayi
circumstances	0.562	0.527	0.464	yanayi
circumstantial	0.500	0.538	0.519	m
circumvent	0.316	0.642	0.383	kewaye
circumvention	0.531	0.571	0.473	kewaye
circus	0.724	0.637	0.432	circus
cirque	0.604	0.647	0.467	cirko
cirrhosis	0.079	0.602	0.370	cirrhosis
cirrus	0.470	0.451	0.348	cirrus
cistern	0.541	0.413	0.432	rijiya
citadel	0.585	0.464	0.602	kagara
citation	0.570	0.549	0.508	ambato
cite	0.625	0.454	0.532	ambata
citizen	0.631	0.250	0.586	dan kasa
citizenship	0.786	0.404	0.723	zama dan kasa
citrine	0.375	0.400	0.420	citrine
citrus	0.469	0.368	0.375	citrus
city	0.847	0.531	0.508	birni
citywide	0.592	0.509	0.707	a fadin birni
civic	0.653	0.240	0.573	jama'a
civics	0.700	0.279	0.720	jama'a
civil	0.521	0.281	0.517	farar hula
civilian	0.700	0.229	0.598	farar hula
civilians	0.490	0.448	0.525	farar hula
civility	0.760	0.306	0.679	wayewa
civilization	0.823	0.452	0.839	wayewa
civilized	0.792	0.231	0.796	wayewa
clad	0.583	0.373	0.481	sanye take
claim	0.255	0.760	0.473	da'awar
claimant	0.271	0.690	0.779	mai da'awa
clairvoyant	0.765	0.531	0.897	clairvoyant
clam	0.442	0.302	0.272	clam
clambake	0.542	0.540	0.429	clambake
clammy	0.354	0.440	0.236	m
clamor	0.438	0.643	0.360	kirari
clamp	0.541	0.388	0.454	matsa
clan	0.562	0.491	0.686	dangi
clandestine	0.425	0.677	0.469	boye
clang	0.459	0.520	0.510	dangi
clap	0.779	0.731	0.529	tafawa
clapper	0.500	0.229	0.420	tafawa
clapping	0.823	0.894	0.686	tafawa
clarification	0.802	0.461	0.613	bayani
clarify	0.652	0.535	0.625	bayyana
clarinet	0.592	0.453	0.411	clarinet
clarion	0.500	0.443	0.422	claron
clarity	0.796	0.310	0.631	tsabta
clash	0.293	0.918	0.453	karo
clashing	0.177	0.764	0.575	karo
clasp	0.448	0.375	0.241	runguma
class	0.656	0.314	0.522	aji
classic	0.690	0.260	0.611	na gargajiya
classic rock	0.729	0.571	0.588	classic rock
classical	0.643	0.198	0.536	na gargajiya
classics	0.750	0.333	0.510	na gargajiya
classification	0.583	0.423	0.613	rarrabawa
classified	0.571	0.460	0.663	classified
classify	0.646	0.411	0.720	rarraba
classmate	0.781	0.400	0.593	abokin karatunsu
classroom	0.539	0.292	0.363	aji
classy	0.917	0.410	0.649	m
clatter	0.418	0.820	0.387	hargitsi
clause	0.480	0.409	0.528	magana
clauses	0.449	0.429	0.545	magana
claustrophobia	0.125	0.840	0.333	claustrophobia
claustrophobic	0.092	0.755	0.400	claustrophobic
clavicle	0.398	0.400	0.452	clavicle
claw	0.260	0.600	0.598	kaso
claws	0.281	0.698	0.562	farauta
clay	0.542	0.250	0.267	yumbu
clean	0.827	0.170	0.500	mai tsabta
cleaner	0.604	0.556	0.375	mafi tsabta
cleaning	0.595	0.396	0.427	tsaftacewa
cleanliness	0.816	0.363	0.609	tsafta
cleanly	0.823	0.352	0.583	a tsafta
cleanse	0.625	0.310	0.660	tsarkakewa
cleanser	0.604	0.353	0.433	mai tsaftacewa
cleansing	0.729	0.298	0.472	tsarkakewa
cleanup	0.729	0.314	0.451	tsaftacewa
clear	0.857	0.327	0.573	bayyananne
clearance	0.542	0.459	0.473	sharewa
clearing	0.680	0.333	0.509	sharewa
clearness	0.875	0.316	0.689	tsabta
cleat	0.486	0.260	0.361	kalle
cleavage	0.542	0.602	0.454	tsaga
cleave	0.296	0.545	0.389	tsinke
cleaver	0.240	0.627	0.434	mai tsini
clef	0.615	0.360	0.595	tsinke
cleft	0.306	0.442	0.360	tsagi
clemency	0.594	0.417	0.397	rahama
clench	0.438	0.618	0.580	dunƙule
clergy	0.531	0.312	0.575	malamai
clergyman	0.594	0.330	0.556	limamin coci
cleric	0.521	0.324	0.589	liman
clerical	0.520	0.396	0.491	malamin addini
clerk	0.500	0.579	0.509	magatakarda
clerkship	0.582	0.380	0.596	aikin malanta
clever	0.896	0.353	0.729	wayo
cleverness	0.878	0.509	0.921	wayo
click	0.536	0.365	0.268	danna
clicker	0.418	0.490	0.463	danna
client	0.583	0.450	0.618	abokin ciniki
clientele	0.625	0.577	0.508	abokin ciniki
cliff	0.361	0.620	0.509	dutse
climate	0.635	0.240	0.483	yanayi
climatology	0.531	0.367	0.541	climatology
climax	0.735	0.853	0.667	koli
climb	0.615	0.660	0.604	hawa
climber	0.573	0.716	0.735	mai hawan dutse
clinch	0.469	0.538	0.430	clinch
cling	0.417	0.620	0.588	jingina
clingy	0.224	0.460	0.370	m
clinic	0.469	0.439	0.600	asibiti
clinical	0.337	0.412	0.640	na asibiti
clink	0.458	0.462	0.319	lumshe ido
clip	0.438	0.310	0.381	clip
clipboard	0.594	0.255	0.423	allo
clipper	0.293	0.422	0.383	clipper
clipping	0.460	0.500	0.405	yanke
clique	0.427	0.430	0.391	clique
clitoris	0.625	0.844	0.464	clitoris
cloak	0.469	0.188	0.333	alkyabba
cloaking	0.521	0.595	0.389	alkyabba
cloakroom	0.690	0.254	0.397	dakin alkyabba
clobber	0.396	0.578	0.464	kaburbura
clock	0.677	0.173	0.407	agogo
clockwork	0.490	0.373	0.528	aikin agogo
clod	0.375	0.404	0.365	rudu
clog	0.104	0.618	0.454	toshe
cloister	0.438	0.413	0.475	kabad
clone	0.406	0.471	0.524	clone
cloning	0.216	0.696	0.679	cloning
close	0.292	0.260	0.263	kusa
closed	0.240	0.164	0.318	rufe
closeness	0.796	0.237	0.450	kusanci
closet	0.531	0.204	0.330	kabad
closure	0.229	0.220	0.412	rufewa
clot	0.150	0.558	0.275	gudan jini
cloth	0.510	0.190	0.287	zane
clothe	0.797	0.330	0.481	tufatarwa
clothes	0.833	0.270	0.414	tufafi
clothesline	0.582	0.324	0.366	layin tufafi
clothing	0.750	0.343	0.407	tufafi
cloud	0.740	0.133	0.342	girgije
clouded	0.240	0.213	0.302	gizagizai
cloudiness	0.469	0.250	0.343	girgije
clouds	0.735	0.195	0.324	gizagizai
cloudy	0.281	0.280	0.202	gajimare
clout	0.584	0.636	0.704	girma
clove	0.439	0.296	0.315	albasa
clover	0.605	0.340	0.364	clover
cloves	0.427	0.218	0.396	albasa
clown	0.650	0.598	0.300	wawa
clowns	0.600	0.673	0.391	mawaƙa
club	0.646	0.618	0.393	kulob
clubhouse	0.694	0.571	0.493	gidan kulob
clubs	0.723	0.530	0.591	kulake
cluck	0.390	0.490	0.353	cika
clue	0.653	0.380	0.412	alamari
clueless	0.350	0.333	0.161	mara hankali
clump	0.551	0.480	0.582	dunƙule
clumsy	0.125	0.420	0.144	m
clunk	0.448	0.472	0.407	dunƙule
cluster	0.490	0.458	0.446	tari
clutch	0.383	0.500	0.491	kama
clutches	0.542	0.373	0.528	kama
clutter	0.135	0.598	0.400	rikice
coach	0.633	0.823	0.735	koci
coachman	0.479	0.394	0.509	kociyan
coagulation	0.381	0.558	0.436	coagulation
coal	0.360	0.241	0.340	gawayi
coalesce	0.479	0.434	0.529	hadin kai
coalition	0.490	0.730	0.673	hadin gwiwa
coarse	0.333	0.481	0.481	m
coast	0.719	0.396	0.458	bakin teku
coastal	0.604	0.370	0.510	bakin teku
coaster	0.612	0.788	0.627	bakin teku
coastline	0.745	0.282	0.441	bakin teku
coat	0.677	0.256	0.464	gashi
coating	0.620	0.440	0.596	shafi
coax	0.367	0.400	0.447	kowa
cobalt	0.408	0.325	0.441	cobalt
cobble	0.448	0.385	0.368	kumbura
cobbler	0.510	0.415	0.318	cobbler
cobra	0.312	0.712	0.600	zomo
cocaine	0.156	0.840	0.373	hodar iblis
cock	0.418	0.562	0.392	zakara
cockamamie	0.450	0.500	0.382	cockamamie
cockeyed	0.459	0.460	0.423	cockeyed
cockpit	0.520	0.424	0.343	kokfit
cockroach	0.188	0.667	0.196	zakara
cocksucker	0.083	0.764	0.339	zakara
cocktail	0.740	0.480	0.381	hadaddiyar giyar
cocky	0.260	0.784	0.519	zakka
cocoa	0.776	0.255	0.322	koko
coconut	0.622	0.265	0.227	kwakwa
cocoon	0.470	0.280	0.290	kwakwa
cod	0.510	0.321	0.304	kod
code	0.583	0.308	0.491	code
codeine	0.375	0.582	0.436	codeine
codex	0.531	0.488	0.524	codex
codfish	0.490	0.245	0.300	kifi kifi
codification	0.448	0.400	0.698	codification
codify	0.448	0.410	0.679	codify
coding	0.442	0.344	0.667	coding
coed	0.469	0.531	0.481	kodi
coefficient	0.677	0.415	0.702	coefficient
coerce	0.260	0.741	0.517	tilastawa
coercion	0.330	0.708	0.577	tilastawa
coercive	0.479	0.670	0.506	tilastawa
coexist	0.708	0.460	0.536	zama tare
coexistence	0.588	0.472	0.638	zaman tare
coexisting	0.551	0.349	0.648	zama tare
coffee	0.823	0.418	0.309	kofi
coffee table	0.720	0.339	0.295	teburin kofi
coffeehouse	0.694	0.357	0.307	gidan kofi
coffeepot	0.760	0.333	0.312	tukunyar kofi
coffin	0.073	0.432	0.343	akwatin gawa
cog	0.427	0.343	0.363	cog
cogent	0.765	0.479	0.836	sani
cognac	0.615	0.510	0.430	cognac
cognate	0.615	0.350	0.398	sani
cognition	0.635	0.344	0.706	fahimta
cognitive	0.513	0.401	0.634	fahimta
cohabitation	0.646	0.526	0.598	zama tare
coherence	0.720	0.406	0.788	daidaituwa
coherent	0.698	0.281	0.500	m
cohesion	0.604	0.536	0.555	haɗin kai
cohesive	0.531	0.470	0.603	m
cohort	0.459	0.551	0.566	ƙungiya
coil	0.448	0.343	0.298	nade
coiled	0.378	0.518	0.389	nade
coin	0.677	0.574	0.445	tsabar kudi
coinage	0.500	0.400	0.545	tsabar kudi
coincide	0.635	0.490	0.593	daidaita
coincidence	0.612	0.450	0.518	daidaituwa
coincident	0.562	0.385	0.602	daidaituwa
coincidental	0.646	0.481	0.337	m
coinciding	0.673	0.373	0.623	daidaita
coke	0.404	0.461	0.397	koke
cola	0.469	0.325	0.240	kola
cold	0.398	0.538	0.348	sanyi
coldly	0.365	0.358	0.407	sanyi
coldness	0.093	0.470	0.427	sanyi
coldsweat	0.427	0.491	0.327	ciwon sanyi
coleslaw	0.707	0.312	0.336	coleslaw
colic	0.135	0.736	0.361	colic
coliseum	0.612	0.663	0.704	coliseum
collaborate	0.816	0.449	0.559	hada kai
collaboration	0.885	0.628	0.741	hadin gwiwa
collaborator	0.729	0.320	0.769	mai haɗin gwiwa
collage	0.680	0.321	0.375	collage
collagen	0.541	0.245	0.450	collagen
collapse	0.208	0.689	0.342	rugujewa
collar	0.656	0.442	0.446	abin wuya
