English Word	Valence	Arousal	Dominance	Nepali Word
brainstorm	0.794	0.784	0.636	मंथन
brainwash	0.198	0.647	0.481	मस्तिष्क धुने
brainy	0.708	0.520	0.648	दिमागी
brake	0.312	0.481	0.310	ब्रेक
bran	0.688	0.433	0.483	चोकर
branch	0.538	0.206	0.250	साखा
branching	0.520	0.422	0.472	शाखाहरू
brand	0.562	0.284	0.547	ब्रान्ड
brandy	0.600	0.590	0.487	ब्रान्डी
brash	0.360	0.814	0.552	ब्रैश
brass	0.500	0.320	0.490	पीतल
brass knuckle	0.406	0.449	0.518	पीतलको घुँडा
brassiere	0.510	0.469	0.336	ब्रासियर
brat	0.312	0.440	0.231	बकरी
bratwurst	0.510	0.490	0.464	bratwurst
bravado	0.479	0.510	0.527	बहादुरी
brave	0.837	0.750	0.917	बहादुर
bravery	0.898	0.745	0.868	बहादुरी
brawl	0.104	0.938	0.603	झगडा
brawn	0.438	0.402	0.544	ब्राउन
brazen	0.292	0.640	0.518	निर्लज्ज
breach	0.177	0.745	0.423	उल्लंघन
bread	0.660	0.314	0.342	रोटी
breadth	0.667	0.490	0.644	चौडाई
break	0.610	0.265	0.370	ब्रेक
breakable	0.194	0.667	0.408	तोड्न सकिने
breakaway	0.479	0.802	0.519	अलग हुनु
breakdown	0.365	0.423	0.361	ब्रेकडाउन
breaker	0.323	0.527	0.520	ब्रेकर
breakers	0.469	0.588	0.439	तोड्नेहरू
breakfast	0.885	0.330	0.429	बिहानको खाजा
breaking and entering	0.418	0.729	0.500	तोड्दै र प्रवेश
breakingnews	0.500	0.552	0.607	ब्रेकिङ न्युज
breakneck	0.254	0.833	0.604	ब्रेकनेक
breakthrough	0.680	0.525	0.718	सफलता
breakup	0.250	0.720	0.357	ब्रेकअप
breast	0.753	0.429	0.500	स्तन
breath	0.684	0.392	0.451	सास
breathe	0.833	0.373	0.518	सास फेर्न
breather	0.624	0.471	0.388	सास फेर्न
breathless	0.323	0.490	0.222	सास फेर्न
breathtaking	0.936	0.792	0.921	लुकाउने
breech	0.500	0.637	0.422	ब्रीच
breeches	0.365	0.457	0.333	ब्रीचहरू
breed	0.490	0.441	0.578	नस्ल
breeder	0.645	0.481	0.605	ब्रीडर
breeding	0.667	0.481	0.610	प्रजनन
breeze	0.837	0.284	0.370	हावा
breezy	0.531	0.472	0.482	हावायुक्त
brethren	0.917	0.380	0.641	भाइहरु
breve	0.535	0.365	0.191	ब्रेभ
brevity	0.459	0.434	0.375	संक्षिप्तता
brew	0.740	0.538	0.758	मदिरा
brewery	0.710	0.622	0.510	मदिरा कारखाना
brewing	0.740	0.593	0.609	मदिरा बनाउने
briar	0.493	0.375	0.407	briar
bribe	0.112	0.690	0.472	घुस
bribery	0.135	0.775	0.585	घुसखोरी
brick	0.217	0.418	0.368	इट्टा
bridal	0.823	0.655	0.596	दुलही
bride	0.840	0.708	0.579	दुलही
bridegroom	0.809	0.736	0.527	दुलहा
bridesmaid	0.748	0.519	0.618	दुलही
bridge	0.625	0.324	0.519	पुल
bridle	0.427	0.367	0.386	लगाम
brief	0.469	0.300	0.279	संक्षिप्त
briefcase	0.542	0.206	0.442	ब्रीफकेस
briefing	0.612	0.333	0.702	ब्रीफिङ
briefly	0.686	0.314	0.330	छोटकरीमा
brig	0.573	0.539	0.500	ब्रिगेडियर
brigade	0.604	0.710	0.828	ब्रिगेड
bright	0.890	0.527	0.812	उज्यालो
brighten	0.760	0.547	0.649	उज्यालो
brightens	0.771	0.611	0.613	उज्यालो बनाउँछ
brighter	0.918	0.698	0.833	उज्यालो
brightness	0.938	0.623	0.660	चमक
brilliance	0.990	0.673	0.830	प्रतिभा
brilliant	0.939	0.575	0.923	शानदार
brim	0.469	0.333	0.330	किनारा
brimming	0.656	0.690	0.758	भरिएको
brimstone	0.357	0.520	0.440	गन्धक
brine	0.333	0.481	0.361	खारा
bring	0.635	0.460	0.462	ल्याउनुहोस्
brink	0.375	0.413	0.356	किनारा
brisk	0.719	0.745	0.742	तेज
brisket	0.552	0.378	0.222	ब्रिस्केट
bristle	0.375	0.375	0.326	ब्रिस्टल
brittle	0.276	0.490	0.272	भंगुर
bro	0.794	0.349	0.684	भाइ
broach	0.438	0.439	0.675	ब्रोच
broad	0.762	0.365	0.637	फराकिलो
broadcast	0.615	0.587	0.355	प्रसारण
broadcasting	0.542	0.700	0.706	प्रसारण
broaden	0.678	0.602	0.610	फराकिलो गर्नु
broadside	0.459	0.316	0.462	चौडाई
broadsword	0.469	0.573	0.615	broadsword
brocade	0.500	0.327	0.464	ब्रोकेड
broccoli	0.469	0.200	0.283	ब्रोकाउली
brochure	0.552	0.226	0.391	ब्रोसर
broil	0.510	0.404	0.330	झगडा
broke	0.245	0.590	0.370	तोडियो
broken	0.062	0.500	0.293	भाँचिएको
brokenheart	0.115	0.577	0.343	टुटेको मुटु
brokenhearted	0.130	0.598	0.227	टुटेको मन
broker	0.582	0.462	0.600	दलाल
brokerage	0.479	0.500	0.500	दलाली
bromide	0.347	0.425	0.411	ब्रोमाइड
bronco	0.500	0.510	0.473	ब्रोंको
bronze	0.622	0.333	0.526	कांस्य
brooch	0.531	0.260	0.380	ब्रोच
brood	0.633	0.519	0.434	बच्चा
brooding	0.327	0.367	0.333	ब्रुडिङ
brook	0.594	0.347	0.412	नाला
broom	0.385	0.154	0.302	झाडू
broomstick	0.410	0.265	0.227	ब्रुमस्टिक
broth	0.500	0.245	0.168	शोरबा
brothel	0.255	0.886	0.418	वेश्यालय
brother	0.823	0.361	0.546	भाइ
brotherhood	0.990	0.471	0.760	भाइचारा
brotherly	0.865	0.306	0.596	दाजुभाइ
brow	0.562	0.311	0.481	निधार
brown	0.396	0.202	0.293	खैरो
brownstone	0.559	0.423	0.439	ब्राउनस्टोन
browse	0.635	0.750	0.592	ब्राउज गर्नुहोस्
brrr	0.373	0.540	0.282	brrr
bruise	0.133	0.640	0.474	घाउ
bruising	0.084	0.520	0.422	चोट लागेको
brunch	0.406	0.363	0.343	खाजा
brunette	0.802	0.528	0.529	श्यामला
brunt	0.204	0.750	0.349	खाट
brush	0.490	0.265	0.186	ब्रश
brutal	0.122	0.882	0.643	क्रूर
brutality	0.122	0.832	0.571	क्रूरता
brute	0.115	0.547	0.379	क्रूर
brutish	0.270	0.837	0.588	क्रूर
bubble	0.774	0.213	0.364	बबल
bubbling	0.500	0.438	0.384	बबलिङ
bubbly	0.698	0.608	0.462	बुलबुली
bubonic	0.280	0.530	0.394	बुबोनिक
buck	0.677	0.577	0.720	पैसा
buckaroo	0.448	0.469	0.479	बकारु
bucket	0.408	0.167	0.336	बाल्टिन
buckle	0.416	0.373	0.361	बकसुआ
buckled	0.427	0.358	0.439	बोकिएको
bucko	0.439	0.455	0.465	bucko
buckshot	0.255	0.740	0.322	बकशट
buckwheat	0.490	0.471	0.434	अनाज
bud	0.460	0.402	0.333	अंकुर
buddha	0.690	0.198	0.604	बुद्ध
buddhism	0.510	0.115	0.673	बौद्ध धर्म
budding	0.490	0.500	0.355	अंकुरण
buddy	0.884	0.585	0.655	साथी
budge	0.719	0.755	0.543	हलचल
budget	0.643	0.396	0.731	बजेट
buff	0.561	0.425	0.361	बफ
buffalo	0.469	0.528	0.527	भैंसी
buffer	0.520	0.474	0.350	बफर
buffering	0.479	0.468	0.381	बफरिङ
buffet	0.656	0.546	0.519	भोज
buffoon	0.344	0.651	0.290	बफुन
bug	0.286	0.500	0.246	बग
bugaboo	0.439	0.491	0.441	बगाबू
bugged	0.561	0.439	0.500	बगेको
bugger	0.312	0.627	0.474	बगर
buggy	0.500	0.509	0.327	बग्गी
bugle	0.479	0.588	0.391	बिगुल
bugler	0.542	0.540	0.393	बगलर
build	0.771	0.546	0.806	निर्माण
builder	0.660	0.642	0.701	निर्माणकर्ता
building	0.705	0.288	0.673	भवन
buildings	0.582	0.380	0.552	भवनहरू
buildup	0.490	0.509	0.623	केही चीजको आधारमा निर्माण गर्न
bulb	0.562	0.208	0.300	बल्ब
bulbous	0.390	0.442	0.430	बल्बस
bulge	0.260	0.487	0.400	बल्ज
bulimic	0.092	0.570	0.373	बुलिमिक
bulk	0.469	0.413	0.509	थोक
bulkhead	0.312	0.425	0.402	बल्कहेड
bulky	0.427	0.591	0.750	भारी
bull	0.521	0.640	0.644	गोरु
bulldog	0.494	0.650	0.530	बुलडग
bulldozer	0.459	0.549	0.643	बुलडोजर
bullet	0.408	0.794	0.634	गोली
bulletin	0.573	0.294	0.361	बुलेटिन
bulletproof	0.750	0.721	0.779	बुलेटप्रुफ
bullfighter	0.448	0.794	0.664	बुलफाइटर
bullfrog	0.344	0.481	0.422	बुल भ्यागुता
bullheaded	0.229	0.740	0.516	बुलहेड गरिएको
bullhorn	0.510	0.653	0.736	bullhorn
bullion	0.693	0.558	0.729	बुलियन
bullock	0.281	0.402	0.375	गोरु
bullpen	0.480	0.549	0.500	बुलपेन
bullshit	0.042	0.676	0.183	बकवास
bully	0.257	0.755	0.564	धम्की
bulwark	0.551	0.552	0.675	बल्वार्क
bum	0.281	0.451	0.155	बम
bumblebee	0.469	0.493	0.321	भौंरा
bummed	0.296	0.430	0.227	बम भयो
bummer	0.163	0.500	0.267	बमर
bump	0.286	0.458	0.368	टक्कर
bumper	0.385	0.573	0.518	बम्पर
bumpy	0.306	0.683	0.419	उथलपुथल
bun	0.424	0.306	0.268	रोटी
bunch	0.552	0.358	0.473	गुच्छा
bundle	0.510	0.343	0.434	बन्डल
bungalow	0.562	0.352	0.406	बंगला
bungee	0.637	0.545	0.327	बन्जी
bunghole	0.286	0.426	0.396	बङ्गोल
bunion	0.276	0.340	0.290	गोरा
bunk	0.438	0.332	0.339	बंक
bunker	0.375	0.673	0.773	बंकर
bunkhouse	0.470	0.414	0.407	bunkhouse
bunny	0.740	0.325	0.194	खरायो
bunt	0.417	0.422	0.349	bunt
buoy	0.562	0.280	0.284	बोया
buoyancy	0.625	0.373	0.538	उछाल
buoyant	0.625	0.441	0.497	उछाल
bur	0.385	0.353	0.314	बर
burden	0.367	0.583	0.697	बोझ
burdened	0.429	0.519	0.565	बोझ
burdensome	0.229	0.696	0.419	बोझिलो
bureau	0.562	0.373	0.618	ब्यूरो
bureaucracy	0.380	0.578	0.740	नोकरशाही
bureaucrat	0.208	0.519	0.598	नोकरशाह
bureaucratic	0.280	0.630	0.573	नोकरशाही
burger	0.688	0.568	0.398	बर्गर
burglar	0.050	0.769	0.404	चोर
burglary	0.146	0.918	0.543	चोरी
burial	0.203	0.577	0.333	दफन
buried	0.133	0.530	0.370	गाडियो
burke	0.466	0.441	0.451	बर्क
burlap	0.429	0.462	0.411	बर्लेप
burlesque	0.327	0.615	0.343	बर्लेस्क
burly	0.562	0.650	0.750	धमिलो
burn	0.219	0.783	0.509	जलाउनु
burned	0.163	0.603	0.347	जलेको
burner	0.296	0.816	0.446	बर्नर
burning	0.229	0.760	0.412	जल्दै
burnished	0.520	0.580	0.464	जलेको
burnout	0.219	0.445	0.240	बर्नआउट
burnt	0.082	0.713	0.356	जलेको
burp	0.219	0.594	0.432	बर्प
burr	0.390	0.426	0.308	burr
burrito	0.688	0.294	0.166	बुरिटो
burro	0.400	0.356	0.318	बुरो
burrow	0.438	0.280	0.355	बुरो
bursary	0.729	0.462	0.571	छात्रवृत्ति
burst	0.156	0.894	0.845	फुट्नु
bury	0.077	0.571	0.346	गाड्नु
bus	0.407	0.411	0.400	बस
busboy	0.510	0.453	0.441	busboy
bush	0.413	0.220	0.315	झाडी
bushel	0.417	0.387	0.368	बुशेल
bushy	0.562	0.321	0.427	झाडी
business	0.688	0.569	0.755	व्यापार
business man	0.530	0.598	0.933	व्यापार मान्छे
businessman	0.653	0.510	0.802	व्यापारी
businesswoman	0.719	0.500	0.764	व्यवसायी महिला
busload	0.561	0.481	0.492	बस लोड
buss	0.469	0.500	0.391	बस
bust	0.520	0.500	0.420	बस्ट
busted	0.204	0.676	0.345	पर्दाफास
buster	0.469	0.491	0.483	बस्टर
bustle	0.347	0.814	0.445	हलचल
bustling	0.490	0.850	0.528	हलचल
busy	0.402	0.500	0.474	व्यस्त
busybody	0.255	0.634	0.472	व्यस्त व्यक्ति
butane	0.442	0.483	0.380	ब्यूटेन
butcher	0.500	0.575	0.608	कसाई
butler	0.469	0.225	0.438	बटलर
butt	0.347	0.725	0.336	बट
butter	0.650	0.292	0.202	मक्खन
buttercup	0.562	0.482	0.422	बटरकप
butterfly	0.892	0.327	0.314	पुतली
buttermilk	0.633	0.311	0.304	छत
butterscotch	0.708	0.510	0.356	बटरस्कच
buttery	0.625	0.318	0.303	मक्खन
buttock	0.429	0.600	0.288	नितम्ब
buttocks	0.458	0.677	0.365	नितम्ब
button	0.520	0.220	0.343	टांक
buttress	0.438	0.684	0.721	पुतली
buxom	0.562	0.719	0.547	buxom
buy	0.771	0.769	0.612	किन्नुहोस्
buyer	0.613	0.519	0.649	खरिदकर्ता
buying	0.665	0.784	0.589	किन्दै
buzz	0.333	0.686	0.375	बज
buzzard	0.350	0.500	0.225	buzzard
buzzed	0.583	0.549	0.448	बज गरे
buzzer	0.549	0.716	0.480	बजर
buzzing	0.430	0.588	0.370	बजिरहेको
bye	0.375	0.398	0.321	अलविदा
bygone	0.229	0.310	0.315	बितेको
bylaw	0.469	0.373	0.725	उपनियम
byline	0.469	0.450	0.435	बाइलाइन
bypass	0.429	0.418	0.353	बाइपास
bystander	0.480	0.462	0.491	दर्शक
byte	0.490	0.380	0.407	बाइट
byzantine	0.546	0.443	0.492	बाइजान्टिन
cab	0.438	0.490	0.421	ट्याक्सी
cabal	0.500	0.406	0.573	cabal
cabana	0.698	0.296	0.407	cabana
cabaret	0.677	0.656	0.482	क्याबरे
cabbage	0.398	0.225	0.264	गोभी
cabbie	0.521	0.417	0.429	cabbie
cabernet	0.543	0.420	0.480	cabernet
cabin	0.643	0.292	0.430	केबिन
cabinet	0.552	0.306	0.465	क्याबिनेट
cable	0.583	0.245	0.434	केबल
caboodle	0.529	0.521	0.325	caboodle
caboose	0.440	0.453	0.438	काबूज
cabriolet	0.667	0.525	0.472	cabriolet
cache	0.552	0.348	0.389	क्यास
cacophony	0.408	0.562	0.440	cacophony
cactus	0.439	0.412	0.284	क्याक्टस
cad	0.447	0.406	0.404	cad
cadaver	0.030	0.690	0.260	शव
caddie	0.521	0.435	0.259	क्याडी
caddy	0.580	0.470	0.380	क्याडी
cadence	0.427	0.473	0.355	ताल
cadet	0.504	0.393	0.664	क्याडेट
cafe	0.781	0.392	0.358	क्याफे
cafeteria	0.757	0.400	0.382	क्याफेटेरिया
caffeine	0.562	0.759	0.500	क्याफिन
cage	0.316	0.333	0.352	पिंजरा
cagey	0.542	0.363	0.582	केजी
cahoots	0.312	0.696	0.474	काहूट
cairn	0.260	0.435	0.254	केर्न
cake	0.810	0.375	0.287	केक
cakewalk	0.719	0.510	0.447	केकवाक
calamari	0.521	0.312	0.406	calamari
calamitous	0.219	0.685	0.500	विपत्तिजनक
calamity	0.122	0.795	0.343	विपत्ति
calcareous	0.490	0.368	0.462	चुरोटयुक्त
calcium	0.600	0.346	0.479	क्यालसियम
calculate	0.490	0.452	0.440	गणना गर्नुहोस्
calculated	0.633	0.425	0.683	गणना गरियो
calculating	0.458	0.430	0.625	गणना गर्दै
calculation	0.646	0.453	0.606	गणना
calculator	0.513	0.283	0.588	क्याल्कुलेटर
calculus	0.360	0.360	0.562	क्याल्कुलस
calendar	0.480	0.212	0.473	पात्रो
calender	0.531	0.275	0.451	क्यालेन्डर
calf	0.531	0.366	0.336	बाछो
caliber	0.429	0.551	0.606	क्षमता
calibrate	0.552	0.460	0.623	क्यालिब्रेट गर्नुहोस्
calico	0.406	0.338	0.491	क्यालिको
calipers	0.480	0.510	0.481	क्यालिपर
calisthenics	0.562	0.663	0.545	क्यालिस्थेनिक्स
call	0.594	0.627	0.558	कल
callback	0.524	0.529	0.434	संदेश फर्काउनु
caller	0.646	0.615	0.472	कल गर्ने
calligraphy	0.620	0.216	0.500	सुलेखन
calling	0.646	0.590	0.483	कल गर्दै
callous	0.245	0.500	0.386	कठोर
calls	0.608	0.431	0.551	कल गर्दछ
calm	0.875	0.100	0.282	शान्त
calming	0.885	0.105	0.360	शान्त
calmness	0.934	0.105	0.394	शान्तता
caloric	0.327	0.483	0.448	क्यालोरी
calorie	0.333	0.540	0.427	क्यालोरी
calorimeter	0.406	0.560	0.414	क्यालोरीमिटर
cam	0.448	0.363	0.355	क्यामेरा
camaraderie	0.833	0.510	0.648	मित्रता
camber	0.430	0.382	0.439	क्याम्बर
camcorder	0.556	0.422	0.454	क्यामकोर्डर
camel	0.540	0.282	0.314	ऊँट
cameo	0.573	0.457	0.509	क्यामियो
camera	0.640	0.288	0.379	क्यामेरा
cameraman	0.542	0.452	0.542	क्यामेराम्यान
camisole	0.497	0.250	0.375	क्यामिसोल
camouflage	0.438	0.585	0.450	छलावरण
camouflaged	0.350	0.422	0.562	छद्म
camp	0.622	0.617	0.594	शिविर
campaign	0.602	0.730	0.823	अभियान
campaigner	0.592	0.698	0.821	अभियानकर्ता
campaigning	0.531	0.663	0.741	प्रचार गर्दै
camper	0.573	0.529	0.482	शिविर
campfire	0.677	0.509	0.436	क्याम्प फायर
camping	0.653	0.529	0.480	शिविर
campsite	0.680	0.490	0.547	शिविर स्थल
campus	0.604	0.388	0.519	क्याम्पस
can	0.662	0.360	0.454	सक्छ
can opener	0.444	0.491	0.308	ओपनर गर्न सक्छ
canal	0.673	0.259	0.321	नहर
canary	0.582	0.276	0.265	क्यानरी
cancel	0.214	0.306	0.368	रद्द गर्नुहोस्
canceling	0.229	0.470	0.349	रद्द गर्दै
cancellation	0.224	0.431	0.389	रद्द
cancer	0.052	0.694	0.529	क्यान्सर
candid	0.667	0.349	0.458	स्पष्ट
candidacy	0.490	0.657	0.696	उम्मेदवारी
candidate	0.596	0.490	0.804	उम्मेदवार
candied	0.713	0.330	0.360	मिठाई भएको
candle	0.602	0.221	0.344	मैनबत्ती
candlelight	0.789	0.294	0.417	मैनबत्ती
candles	0.615	0.206	0.268	मैनबत्तीहरू
candlestick	0.448	0.531	0.534	मैनबत्ती
candor	0.740	0.389	0.607	स्पष्टता
candy	0.930	0.425	0.384	मिठाई
cane	0.459	0.298	0.398	छडी
canine	0.573	0.569	0.425	कुकुर
canister	0.553	0.271	0.403	क्यानिस्टर
canker	0.262	0.469	0.427	क्यान्कर
cannabis	0.271	0.500	0.564	भांग
canned	0.398	0.357	0.298	डिब्बाबंद
cannibal	0.122	0.824	0.480	नरभक्षी
cannibalism	0.094	0.890	0.583	नरभक्षण
canning	0.490	0.392	0.259	क्यानिङ
cannon	0.529	0.676	0.811	तोप
cannonball	0.344	0.840	0.759	तोपको गोल
canoe	0.542	0.300	0.418	डोंगी
canon	0.385	0.519	0.541	क्यानन
canonical	0.542	0.410	0.620	प्रामाणिक
canons	0.385	0.588	0.593	क्यानन्स
canopy	0.615	0.264	0.398	क्यानोपी
cantaloupe	0.592	0.212	0.276	cantaloupe
cantbreathe	0.284	0.667	0.375	सास फेर्न सक्दैन
canteen	0.688	0.600	0.514	क्यान्टीन
canterbury	0.582	0.438	0.510	क्यान्टरबरी
canthandleit	0.354	0.613	0.354	canthandleit
cantilever	0.357	0.618	0.421	क्यान्टिलभर
cantina	0.646	0.612	0.380	क्यान्टिना
canto	0.776	0.461	0.554	canto
canton	0.542	0.472	0.536	क्यान्टोन
cantstandit	0.418	0.546	0.343	सकिँदैन
cantwin	0.260	0.509	0.298	cantwin
canvas	0.719	0.090	0.364	क्यानभास
canvass	0.675	0.356	0.397	क्यानभास
canyon	0.468	0.731	0.634	घाटी
cap	0.612	0.240	0.375	टोपी
capability	0.833	0.571	0.730	क्षमता
capable	0.765	0.587	0.547	सक्षम
capacity	0.719	0.411	0.806	क्षमता
cape	0.531	0.235	0.357	केप
caper	0.510	0.370	0.326	केपर
capillary	0.469	0.365	0.395	केशिका
capital	0.520	0.500	0.798	पूंजी
capitalism	0.448	0.686	0.848	पुँजीवाद
capitalist	0.352	0.577	0.821	पुँजीवादी
capitalize	0.771	0.601	0.885	पूंजीकरण
capitals	0.755	0.500	0.655	राजधानीहरू
capitation	0.479	0.529	0.589	क्यापिटेशन
capitol	0.535	0.375	0.705	क्यापिटल
capitulation	0.375	0.546	0.615	समर्पण
cappuccino	0.792	0.279	0.384	क्यापुचिनो
caprice	0.333	0.640	0.430	caprice
capricious	0.221	0.650	0.500	मनमोहक
caps	0.510	0.221	0.368	टोपी
capslock	0.330	0.394	0.398	क्यापस्लक
capsule	0.583	0.290	0.570	क्याप्सुल
captain	0.552	0.653	0.966	कप्तान
caption	0.814	0.292	0.379	क्याप्शन
captivate	0.698	0.604	0.723	मोहित
captivating	0.895	0.594	0.816	मनमोहक
captive	0.235	0.558	0.411	बन्दी
captivity	0.225	0.493	0.387	कैद
captor	0.347	0.625	0.612	कब्जा गर्ने
capture	0.357	0.650	0.537	कब्जा
car	0.776	0.540	0.500	कार
caramel	0.901	0.363	0.400	कारमेल
carat	0.823	0.604	0.676	क्यारेट
caravan	0.635	0.559	0.455	कारवां
carbon	0.604	0.360	0.350	कार्बन
carburetor	0.469	0.612	0.555	कार्बोरेटर
carcass	0.115	0.529	0.309	शव
carcinoma	0.153	0.692	0.440	कार्सिनोमा
card	0.531	0.269	0.436	कार्ड
cardboard	0.500	0.173	0.309	गत्ता
cardiac	0.344	0.765	0.615	कार्डियक
cardigan	0.599	0.324	0.264	कार्डिगन
cardinal	0.583	0.358	0.712	कार्डिनल
cardiologist	0.458	0.630	0.814	हृदय रोग विशेषज्ञ
cardiology	0.203	0.545	0.605	कार्डियोलोजी
cardiomyopathy	0.177	0.645	0.537	कार्डियोमायोपैथी
cards	0.568	0.317	0.320	कार्डहरू
care	0.729	0.370	0.500	हेरचाह
career	0.740	0.712	0.606	क्यारियर
carefree	0.755	0.220	0.500	लापरवाह
careful	0.625	0.538	0.530	सावधान
carefully	0.698	0.330	0.544	सावधानीपूर्वक
careless	0.255	0.431	0.125	लापरवाह
carelessness	0.245	0.482	0.330	लापरवाही
caress	0.833	0.418	0.509	स्याहार
caret	0.656	0.402	0.527	क्यारेट
caretaker	0.714	0.531	0.759	हेरचाह गर्ने
cargo	0.408	0.444	0.455	कार्गो
caribou	0.562	0.452	0.342	caribou
caricature	0.604	0.373	0.383	व्यंगचित्र
caries	0.115	0.569	0.283	क्षय
caring	0.635	0.469	0.500	हेरचाह गर्ने
carjack	0.438	0.682	0.439	carjack
carnage	0.406	0.600	0.558	नरसंहार
carnal	0.417	0.679	0.421	शारीरिक
carnation	0.653	0.357	0.431	कार्नेशन
carnival	0.927	0.888	0.555	कार्निवल
carnivorous	0.224	0.613	0.651	मांसाहारी
carol	0.673	0.412	0.436	क्यारोल
carols	0.847	0.420	0.491	carols
carousel	0.704	0.500	0.412	क्यारोसेल
carp	0.531	0.324	0.375	कार्प
carpal	0.449	0.327	0.420	कार्पल
carpenter	0.521	0.550	0.519	सिकर्मी
carpentry	0.561	0.459	0.518	सिकर्मी
carpet	0.520	0.170	0.339	कार्पेट
carpeting	0.542	0.312	0.444	कार्पेटिङ
carpool	0.625	0.509	0.500	कारपूल
carriage	0.650	0.538	0.491	गाडी
carried	0.490	0.382	0.534	बोकेको
carrier	0.533	0.588	0.638	वाहक
carrot	0.500	0.235	0.279	गाजर
carry	0.635	0.380	0.500	बोक्ने
carrying	0.656	0.557	0.443	बोक्ने
carsick	0.224	0.574	0.255	carsick
cart	0.520	0.344	0.388	कार्ट
carte	0.592	0.320	0.274	कार्टे
cartel	0.438	0.394	0.602	कार्टेल
carter	0.312	0.480	0.431	कार्टर
cartilage	0.438	0.370	0.407	कार्टिलेज
cartographic	0.490	0.348	0.424	कार्टोग्राफिक
cartography	0.520	0.300	0.579	कार्टोग्राफी
carton	0.286	0.186	0.241	कार्टन
cartoon	0.867	0.471	0.387	कार्टुन
cartouche	0.427	0.458	0.450	कार्टुच
cartridge	0.458	0.500	0.407	कारतूस
carve	0.469	0.443	0.598	नक्काशी
carver	0.418	0.500	0.500	carver
carving	0.541	0.444	0.368	नक्काशी
cascade	0.735	0.509	0.395	क्यास्केड
case	0.427	0.275	0.441	मामला
casein	0.470	0.436	0.415	केसिन
cash	0.867	0.552	0.714	नगद
cashier	0.615	0.413	0.484	क्यासियर
cashmere	0.653	0.452	0.439	कश्मीरी
casing	0.458	0.327	0.328	आवरण
casino	0.542	0.684	0.568	क्यासिनो
cask	0.490	0.398	0.444	कास्क
casket	0.125	0.490	0.346	कास्केट
casserole	0.570	0.360	0.328	क्यासरोल
cassette	0.490	0.334	0.355	क्यासेट
cast	0.558	0.620	0.517	जात
castaway	0.208	0.646	0.422	विस्थापित
caste	0.510	0.333	0.374	जात
caster	0.604	0.670	0.647	ढाल्ने
castle	0.680	0.396	0.718	महल
castor	0.583	0.337	0.368	क्यास्टर
castrate	0.177	0.485	0.519	कास्ट्रेट
castration	0.198	0.735	0.381	कास्ट्रेशन
casual	0.643	0.224	0.385	आकस्मिक
casually	0.658	0.290	0.333	आकस्मिक रूपमा
casualty	0.235	0.274	0.132	हताहत
cat	0.667	0.260	0.370	बिरालो
catabolism	0.265	0.573	0.605	catabolism
catalog	0.561	0.221	0.573	सूची
catalogue	0.647	0.327	0.533	सूची
catalysis	0.385	0.559	0.531	उत्प्रेरक
catalyst	0.604	0.509	0.585	उत्प्रेरक
catalytic	0.562	0.519	0.563	उत्प्रेरक
catamaran	0.571	0.566	0.526	catamaran
catapult	0.480	0.830	0.649	catapult
cataract	0.406	0.545	0.549	मोतियाबिन्द
catastrophe	0.146	0.952	0.670	प्रकोप
catastrophic	0.071	0.934	0.598	विनाशकारी
catatonic	0.255	0.500	0.509	catatonic
catch	0.531	0.437	0.552	समात्नुहोस्
catcher	0.653	0.413	0.540	क्याचर
catching	0.490	0.788	0.644	समात्दै
catchphrase	0.698	0.423	0.433	क्याचफ्रेज
catchy	0.677	0.441	0.462	आकर्षक
catechism	0.656	0.236	0.613	catechism
categorical	0.615	0.442	0.760	वर्गीय
category	0.571	0.264	0.521	श्रेणी
cater	0.802	0.500	0.509	खानपान
caterer	0.550	0.557	0.644	केटरर
caterpillar	0.461	0.286	0.330	झिसिलिकीरा
cates	0.370	0.394	0.407	cates
catfish	0.458	0.337	0.296	क्याटफिस
cathartic	0.450	0.510	0.604	क्याथर्टिक
cathedral	0.598	0.330	0.643	क्याथेड्रल
catheter	0.336	0.491	0.373	क्याथेटर
cathouse	0.327	0.375	0.363	cathouse
catnip	0.439	0.381	0.296	catnip
cattle	0.622	0.340	0.445	गाईवस्तु
catwalk	0.698	0.436	0.464	catwalk
caucus	0.418	0.311	0.491	ककस
caudal	0.500	0.425	0.583	पुच्छ
cauldron	0.510	0.486	0.418	भाँडो
cauliflower	0.448	0.255	0.231	फूलगोभी
caulk	0.367	0.500	0.418	कल्क
causal	0.562	0.367	0.491	कारण
causality	0.500	0.378	0.336	कारण
causation	0.562	0.480	0.567	कारण
cause	0.469	0.373	0.486	कारण
caused	0.344	0.520	0.382	कारण
causeway	0.453	0.382	0.422	मार्ग
caution	0.552	0.712	0.547	सावधानी
cautionary	0.510	0.541	0.519	सावधान
cautious	0.470	0.445	0.517	सतर्क
cautiously	0.510	0.388	0.525	सावधानीपूर्वक
cavalier	0.735	0.462	0.713	घोडचढी
cavalry	0.667	0.727	0.794	घोडचढी
cave	0.459	0.333	0.380	गुफा
caveat	0.344	0.629	0.484	चेतावनी
caveman	0.235	0.644	0.482	गुफावाला
cavern	0.323	0.360	0.365	गुफा
cavernous	0.354	0.548	0.462	गुफायुक्त
caviar	0.906	0.394	0.481	caviar
caving	0.378	0.491	0.551	गुफा
cavity	0.466	0.385	0.379	गुहा
cayenne	0.615	0.306	0.355	लाल मिर्च
