English Word	Valence	Arousal	Dominance	Myanmar-Burmese Word
exegesis	0.458	0.472	0.491	exegesis
exemplar	0.844	0.537	0.625	စံပြ
exemplary	0.833	0.343	0.729	စံပြ
exemplify	0.735	0.506	0.783	နမူနာယူပါ။
exempt	0.588	0.455	0.664	ကင်းလွတ်ခွင့်
exemption	0.531	0.578	0.627	ကင်းလွတ်ခွင့်
exercise	0.750	0.789	0.625	လေ့ကျင့်ခန်း
exert	0.694	0.735	0.806	အားထုတ်
exertion	0.663	0.755	0.717	အားထုတ်ခြင်း။
exhale	0.542	0.490	0.411	exhale
exhaust	0.546	0.710	0.337	အိတ်ဇော
exhausted	0.123	0.423	0.202	မောဟိုက်သည်။
exhaustion	0.366	0.633	0.269	ပင်ပန်းနွမ်းနယ်ခြင်း။
exhaustive	0.388	0.635	0.604	ပြီးပြည့်စုံသော
exhibit	0.688	0.633	0.708	ပြပွဲ
exhibition	0.698	0.590	0.531	ပြပွဲ
exhilarated	0.890	0.963	0.759	ကြည်နူးမိသည်။
exhilarating	0.917	0.823	0.810	ကြည်နူးစရာ
exhilaration	0.792	0.868	0.783	အားတက်သရော
exhort	0.378	0.660	0.745	တိုက်တွန်းအပ်ပါသည်။
exhortation	0.531	0.624	0.580	တိုက်တွန်းချက်
exhumation	0.177	0.586	0.473	exhumation
exhume	0.184	0.627	0.452	exhume
exigent	0.385	0.611	0.792	exigent
exile	0.184	0.630	0.483	ပြည်ပြေး
exist	0.857	0.421	0.788	ရှိတော့
existence	0.760	0.513	0.771	တည်ရှိမှု
existent	0.635	0.490	0.635	ရှိပြီးသား
existential	0.583	0.510	0.638	ဖြစ်တည်မှု
existing	0.802	0.344	0.750	ရှိပြီးသား
exit	0.370	0.353	0.399	ထွက်ပေါက်
exodus	0.286	0.663	0.567	အစုအပြုံလိုက်
exonerate	0.592	0.500	0.538	ခွင့်လွှတ်ပါ။
exorbitant	0.398	0.865	0.825	မတန်တဆ
exorcism	0.163	0.980	0.557	exorcism
exorcist	0.219	0.906	0.716	exorcist
exotic	0.840	0.711	0.727	ထူးခြားဆန်းပြား
expand	0.792	0.559	0.686	ချဲ့ထွင်ပါ။
expanded	0.760	0.406	0.689	ချဲ့ထွင်ခဲ့သည်။
expanse	0.594	0.529	0.689	အကျယ်အဝန်း
expansion	0.776	0.618	0.787	ချဲ့ထွင်ခြင်း။
expansive	0.708	0.650	0.778	ကျယ်ပြန့်သည်။
expatriate	0.265	0.764	0.391	ပြည်ပရောက်
expect	0.469	0.327	0.377	မျှော်လင့်ထား
expectance	0.552	0.724	0.660	မျှော်လင့်ခြင်း
expectancy	0.581	0.622	0.558	မျှော်မှန်းချက်
expectant	0.708	0.650	0.474	မျှော်လင့်ခြင်း
expectation	0.771	0.690	0.707	မျှော်လင့်ချက်
expected	0.729	0.412	0.545	မျှော်လင့်ထားသည့်
expecting	0.561	0.450	0.302	မျှော်လင့်နေသည်။
expediency	0.604	0.443	0.703	မြန်ဆန်မှု
expedient	0.885	0.461	0.454	သင့်လျော်သော
expedite	0.571	0.858	0.798	အမြန်
expedition	0.735	0.802	0.620	လေ့လာရေးခရီး
expeditious	0.602	0.645	0.773	အမြန်
expel	0.281	0.725	0.452	ထုတ်ပယ်
expendable	0.479	0.490	0.423	စတေးခံ
expenditure	0.250	0.608	0.603	အသုံးစရိတ်
expense	0.317	0.451	0.377	ကုန်ကျစရိတ်
expenses	0.240	0.633	0.396	ကုန်ကျစရိတ်
expensive	0.323	0.540	0.530	ဈေးကြီးတယ်။
experience	0.827	0.618	0.905	အတွေ့အကြုံ
experienced	0.771	0.613	0.914	အတွေ့အကြုံရှိ
experiences	0.793	0.647	0.795	အတွေ့အကြုံများ
experiment	0.479	0.720	0.675	စမ်းသပ်မှု
experimental	0.417	0.764	0.396	စမ်းသပ်မှု
experimentation	0.637	0.769	0.767	စမ်းသပ်မှု
experimenter	0.708	0.710	0.700	စမ်းသပ်သူ
expert	0.776	0.646	0.911	ကျွမ်းကျင်သူ
expertise	0.792	0.589	0.925	ကျွမ်းကျင်မှု
expiration	0.265	0.539	0.463	သက်တမ်းကုန်ဆုံး
expire	0.573	0.745	0.702	သက်တမ်းကုန်
expired	0.198	0.394	0.200	သက်တမ်းကုန်ပြီ။
expiry	0.194	0.434	0.382	သက်တမ်းကုန်ဆုံး
explain	0.719	0.517	0.736	ရှင်းပြပါ။
explanation	0.615	0.610	0.825	ရှင်းလင်းချက်
explanatory	0.573	0.433	0.688	ရှင်းလင်းချက်
expletive	0.357	0.567	0.536	သရုပ်ဖော်သည်။
explication	0.510	0.445	0.602	ရှင်းလင်းချက်
explicit	0.562	0.694	0.734	ပြတ်သားသည်။
explode	0.277	0.885	0.773	ပေါက်ကွဲ
exploit	0.312	0.878	0.660	အမြတ်ထုတ်သည်။
exploitation	0.156	0.920	0.718	ခေါင်းပုံဖြတ်ခြင်း။
exploration	0.594	0.650	0.773	ရှာဖွေရေး
exploratory	0.653	0.690	0.698	ရှာဖွေရေး
explore	0.776	0.660	0.727	စူးစမ်းပါ။
explorer	0.729	0.663	0.714	ရှာဖွေသူ
explosion	0.167	0.960	0.767	ပေါက်ကွဲမှု
explosions	0.123	0.860	0.594	ပေါက်ကွဲမှုများ
explosive	0.156	0.943	0.663	ဖောက်ခွဲရေးပစ္စည်း
expo	0.610	0.562	0.500	ကုန်စည်ပြပွဲ
exponent	0.529	0.510	0.845	ထပ်ကိန်း
exponential	0.704	0.588	0.763	ထပ်ကိန်း
export	0.567	0.661	0.755	တင်ပို့ခြင်း။
exportation	0.760	0.633	0.673	တင်ပို့ခြင်း။
expose	0.344	0.643	0.537	ဖော်ထုတ်ပါ။
exposed	0.471	0.661	0.509	ဖော်ထုတ်
exposition	0.521	0.627	0.655	ဖော်ပြချက်
expository	0.706	0.653	0.636	expository
exposure	0.570	0.830	0.630	ထိတွေ့ခြင်း
expound	0.438	0.575	0.740	ဖော်ပြပါ
express	0.760	0.623	0.691	အမြန်
expression	0.790	0.650	0.721	အသုံးအနှုန်း
expressive	0.755	0.724	0.685	ဖော်ပြမှု
expressway	0.633	0.635	0.587	အမြန်လမ်း
expropriation	0.188	0.735	0.788	သိမ်းယူခြင်း
expulsion	0.190	0.790	0.529	ထုတ်ပယ်ခြင်း
exquisite	0.892	0.644	0.604	လက်ရာမြောက်သည်။
exquisitely	0.849	0.728	0.723	ထူးထူးခြားခြား
extant	0.646	0.390	0.523	extant
extend	0.646	0.570	0.689	တိုးချဲ့
extendable	0.660	0.592	0.722	တိုးချဲ့နိုင်သော
extended	0.570	0.304	0.649	တိုးချဲ့
extension	0.490	0.510	0.529	တိုးချဲ့မှု
extensive	0.635	0.520	0.760	နေရာအနှံ
extent	0.646	0.451	0.602	အတိုင်းအတာ
exterior	0.542	0.400	0.627	အပြင်ပန်း
exterminate	0.177	0.857	0.736	သုတ်သင်
extermination	0.190	0.860	0.616	သုတ်သင်ရှင်းလင်းခြင်း။
exterminator	0.344	0.804	0.887	သုတ်သင်သည်။
external	0.479	0.341	0.509	ပြင်ပ
externally	0.643	0.521	0.568	ပြင်ပ
extinct	0.112	0.491	0.412	မျိုးသုဉ်း
extinction	0.104	0.750	0.611	မျိုးသုဉ်းခြင်း
extinguish	0.240	0.576	0.482	ငြိမ်းအေးသည်။
extinguisher	0.707	0.379	0.543	မီးသတ်ဘူး
extol	0.582	0.667	0.456	သိဒ္ဓိတင်
extort	0.052	0.827	0.570	မိုက်ကြေးခွဲတယ်။
extortion	0.112	0.868	0.630	ငွေညှစ်ခြင်း။
extra	0.656	0.551	0.745	အပို
extract	0.565	0.402	0.519	ထုတ်ယူ
extracting	0.521	0.709	0.689	ဖြည်
extraction	0.418	0.740	0.526	ထုတ်ယူခြင်း။
extractor	0.302	0.536	0.519	ထုတ်ယူသည်။
extracurricular	0.457	0.471	0.743	သင်ရိုးညွှန်းတမ်း
extradition	0.229	0.627	0.554	တရားခံလွှဲပြောင်းရေး
extrajudicial	0.365	0.686	0.667	တရားလက်လွတ်
extramural	0.336	0.559	0.537	extramural
extraneous	0.276	0.625	0.478	ထုတ်ပြီး
extraordinaire	0.847	0.864	0.898	ထူးခြားသော
extraordinary	0.969	0.728	0.860	ထူးခြားသော
extraterrestrial	0.510	0.833	0.792	ပြင်ပကမ္ဘာ
extravagance	0.531	0.802	0.700	အလွန်အကျွံ
extravagant	0.720	0.763	0.812	လက်ကြီး
extravaganza	0.646	0.786	0.906	extravaganza
extreme	0.318	0.800	0.721	အစွန်းရောက်
extreme anticipation	0.551	0.740	0.704	အလွန်အမင်းမျှော်လင့်ချက်
extreme disgust	0.052	0.873	0.456	အလွန်စက်ဆုပ်ဖွယ်ကောင်းသော
extreme surprise	0.833	0.935	0.676	အလွန်အံ့သြစရာ
extreme trust	0.826	0.713	0.922	အလွန်အမင်းယုံကြည်မှု
extremely	0.635	0.827	0.886	အလွန်အမင်း
extremely negative	0.030	0.786	0.311	အလွန်အနုတ်လက္ခဏာ
extremely positive	0.993	0.730	0.839	အလွန်အပြုသဘောဆောင်သည်။
extremity	0.408	0.588	0.583	အစွန်ဆုံး
extricate	0.542	0.510	0.543	extricate
extrinsic	0.510	0.479	0.636	အပြင်ပိုင်း
extrusion	0.229	0.660	0.545	ထုထည်
exuberance	0.698	0.816	0.787	တက်ကြွမှု
exude	0.375	0.519	0.411	ပျံ့
eye	0.531	0.265	0.425	မျက်လုံး
eyeball	0.526	0.422	0.420	မျက်လုံး
eyebrow	0.510	0.198	0.222	မျက်ခုံးမွေး
eyeful	0.802	0.500	0.676	မျက်လုံး
eyeglass	0.531	0.236	0.286	မျက်မှန်
eyeglasses	0.561	0.269	0.306	မျက်မှန်
eyelash	0.480	0.250	0.278	မျက်တောင်
eyelet	0.632	0.298	0.346	မျက်ကွင်း
eyeliner	0.688	0.349	0.347	eyeliner
eyepiece	0.418	0.347	0.480	မျက်ကပ်မှန်
eyes	0.760	0.279	0.432	မျက်စိ
eyesight	0.750	0.226	0.343	မျက်စိမှုန်ခြင်း။
eyewitness	0.541	0.686	0.698	မျက်မြင်သက်သေ
fab	0.490	0.380	0.406	fab
fable	0.663	0.387	0.389	ဒဏ္ဍာရီ
fabled	0.625	0.538	0.545	ဒဏ္ဍာရီ
fabric	0.635	0.190	0.345	အထည်
fabricate	0.636	0.491	0.779	လုပ်ကြံဖန်တီးပါ။
fabricated	0.418	0.427	0.555	လုပ်ကြံဖန်တီးထားသည်။
fabrication	0.573	0.587	0.705	လုပ်ကြံဖန်တီးမှု
fabulous	0.979	0.660	0.797	ရိုးသားဖြူစင်သည်။
facade	0.520	0.333	0.518	မျက်နှာစာ
face	0.571	0.173	0.453	မျက်နှာ
faceless	0.230	0.406	0.173	မျက်နှာမဲ့
facet	0.667	0.324	0.382	မျက်နှာ
facial	0.594	0.429	0.433	မျက်နှာ
facile	0.740	0.264	0.307	လွယ်ကူသော
facilitate	0.812	0.333	0.509	လွယ်ကူချောမွေ့
facility	0.625	0.500	0.654	အဆောက်အဦ
facing	0.604	0.406	0.550	ရင်ဆိုင်နေရသည်။
facsimile	0.490	0.500	0.543	ဖက်ဆစ်
fact	0.683	0.333	0.618	အဟီး
faction	0.469	0.430	0.448	အဖွဲ့ခွဲ
factor	0.635	0.365	0.678	အချက်
factory	0.500	0.500	0.683	စက်ရုံ
facts	0.688	0.471	0.693	အချက်အလက်
factual	0.656	0.440	0.545	အဖြစ်မှန်
faculties	0.643	0.431	0.760	ဣန္ဒြေ
faculty	0.615	0.412	0.732	ဆရာမ
fad	0.663	0.520	0.570	fad
fade	0.354	0.333	0.245	မှိန်
faded	0.302	0.275	0.194	မှေးမှိန်
faeces	0.184	0.476	0.175	မစင်
fag	0.122	0.653	0.331	ဖာ့
faggot	0.219	0.643	0.292	fagot
fail	0.177	0.578	0.154	ကျရှုံး
failing	0.125	0.490	0.268	ပျက်ကွက်
failure	0.167	0.575	0.139	ရှုံးနိမ့်ခြင်း။
fain	0.479	0.417	0.426	မူးမေ့
faint	0.063	0.429	0.167	မူးမေ့
fainting	0.333	0.510	0.214	မူးမေ့ခြင်း။
fair	0.812	0.557	0.643	တရားမျှတသော
fairly	0.790	0.406	0.750	မျှတစွာ
fairness	0.740	0.317	0.552	တရားမျှတမှု
fairway	0.541	0.510	0.500	ပွဲလမ်း
fairy	0.776	0.408	0.413	နတ်သမီး
faith	0.833	0.220	0.763	ယုံကြည်ခြင်း
faithful	0.888	0.333	0.627	သစ္စာ
faithfulness	0.833	0.426	0.602	သစ္စာ
faithless	0.102	0.683	0.304	သစ္စာမဲ့
fake	0.073	0.554	0.268	အတု
faker	0.245	0.630	0.480	အတု
falafel	0.560	0.402	0.351	falafel
falcon	0.557	0.580	0.678	သိမ်းငှက်
fall	0.177	0.657	0.221	ကြွေကျ
fallacious	0.271	0.587	0.390	မှားယွင်းသော
fallacy	0.112	0.561	0.430	မှားယွင်းမှု
fallback	0.458	0.358	0.508	နောက်ပြန်ဆုတ်သည်
fallible	0.365	0.537	0.402	မှားယွင်းသော
falling	0.202	0.716	0.306	ပြုတ်ကျ
fallopian	0.297	0.390	0.464	သားဥအိမ်
fallout	0.428	0.356	0.373	ကျွတ်ထွက်သည်
fallow	0.375	0.368	0.464	ပလပ်
false	0.120	0.404	0.240	အတု
falsehood	0.031	0.625	0.384	မုသာဝါဒ
falsely	0.083	0.480	0.265	မဟုတ်မမှန်ပါ။
falsification	0.173	0.720	0.490	အတုအယောင်
falsified	0.042	0.630	0.306	အတုအယောင်
falsify	0.115	0.657	0.409	အတုအယောင်
falsity	0.120	0.689	0.186	အတုအယောင်
falter	0.421	0.650	0.346	တုန်လှုပ်
fame	0.896	0.755	0.852	ကျော်ကြားမှု
famed	0.878	0.750	0.819	ကျော်ကြားသည်။
familiar	0.906	0.330	0.615	ရင်းနှီးသည်။
familiarity	0.854	0.346	0.616	ရင်းနှီးမှု
familiarize	0.760	0.365	0.654	ရင်းနှီးအောင်လုပ်ပါ။
family	0.968	0.383	0.643	မိသားစု
familytime	0.939	0.420	0.679	မိသားစုအချိန်
famine	0.163	0.679	0.310	အငတ်ဘေး
famished	0.177	0.654	0.282	ဗိုက်ဆာတယ်။
famous	0.916	0.775	0.882	နာမည်ကြီး
famously	0.856	0.765	0.787	နာမည်ကြီး
fan	0.781	0.429	0.357	ပန်ကာ
fanatic	0.573	0.780	0.629	အရူးအမူး
fanatical	0.555	0.830	0.714	အယူဝါဒ
fanaticism	0.292	0.896	0.566	တယူသန်မှု
fanciful	0.677	0.592	0.342	စိတ်ကူးယဉ်
fancy	0.854	0.673	0.534	ဖန်စီ
fandango	0.490	0.591	0.429	fandango
fanfare	0.656	0.640	0.437	ပရိတ်သတ်
fang	0.175	0.491	0.455	အစွယ်
fangs	0.286	0.598	0.434	အစွယ်
fanning	0.615	0.330	0.236	fanning
fantasia	0.898	0.694	0.436	စိတ်ကူးယဉ်
fantasize	0.771	0.660	0.356	စိတ်ကူးမယဉ်ပါ။
fantastic	0.969	0.696	0.831	စိတ်ကူး
fantasy	0.880	0.627	0.474	စိတ်ကူးယဉ်
faraway	0.365	0.356	0.285	အဝေးမှာ
farce	0.265	0.667	0.246	farce
farcical	0.406	0.481	0.259	farcical
fare	0.490	0.425	0.645	ယာဉ်စီးခ
farewell	0.130	0.500	0.591	နှုတ်ဆက်ခြင်း။
farm	0.781	0.327	0.297	လယ်ယာ
farmer	0.677	0.432	0.464	လယ်သမား
farmhouse	0.690	0.330	0.444	လယ်ယာအိမ်
farming	0.580	0.414	0.568	လယ်ယာလုပ်ငန်း
farmland	0.729	0.363	0.509	လယ်ယာမြေ
faro	0.544	0.349	0.357	ဖာရို
fart	0.194	0.439	0.264	ဖား
farther	0.418	0.500	0.430	ပိုဝေးတယ်။
fascia	0.480	0.366	0.356	ဖက်ဆစ်
fascinate	0.854	0.683	0.802	ဆွဲဆောင်
fascinated	0.812	0.714	0.788	ဆွဲဆောင်
fascinating	0.979	0.817	0.784	စိတ်ဝင်စားစရာ
fascination	0.885	0.773	0.835	ဆွဲဆောင်မှု
fascism	0.104	0.740	0.695	ဖက်ဆစ်ဝါဒ
fascist	0.200	0.755	0.527	ဖက်ဆစ်
fashion	0.827	0.616	0.589	ဖက်ရှင်
fashionable	0.750	0.510	0.605	ဖက်ရှင်
fastball	0.688	0.679	0.575	အမြန်ဘောလုံး
fasten	0.458	0.585	0.529	စွဲစေ
fastener	0.577	0.377	0.491	ချိတ်ဆွဲ
fastening	0.594	0.473	0.554	စွဲစေခြင်း။
fasting	0.388	0.370	0.394	အစာရှောင်ခြင်း။
fat	0.198	0.353	0.237	အဆီ
fatal	0.061	0.775	0.509	အသက်အန္တရာယ်
fatalism	0.208	0.694	0.631	အသေခံစနစ်
fatality	0.062	0.798	0.595	သေဆုံးမှု
fate	0.571	0.479	0.712	ကံကြမ္မာ
fated	0.582	0.472	0.692	ကံကြမ္မာ
fateful	0.290	0.583	0.402	ကံကြမ္မာ
fathead	0.296	0.527	0.463	fathead
father	0.812	0.333	0.824	အဖေ
fatherhood	0.885	0.519	0.682	ဖခင်ဖြစ်ခြင်း။
fatherland	0.729	0.469	0.778	အမိမြေ
fatherly	0.865	0.363	0.712	ဖေဖေ
fathom	0.520	0.410	0.523	နားလည်မှု
fatigue	0.173	0.378	0.265	ပင်ပန်းနွမ်းနယ်ခြင်း။
fatigued	0.146	0.433	0.245	ပင်ပန်းသည်။
fatso	0.286	0.394	0.336	fatso
fatten	0.375	0.549	0.363	ဆူအောင်တည်
fatty	0.286	0.361	0.325	ဖက်တီး
faucet	0.427	0.278	0.356	faucet
fault	0.188	0.558	0.184	အမှား
faultless	0.792	0.500	0.741	အပြစ်ကင်းသော
faulty	0.184	0.520	0.378	တက်ရင်
faun	0.490	0.303	0.376	faun
fauna	0.646	0.346	0.404	မန်
faux	0.291	0.490	0.204	အတုအယောင်
favor	0.812	0.308	0.519	မျက်နှာသာ
favorable	0.952	0.380	0.788	အခွင့်သာသည်။
favorite	0.885	0.590	0.691	အကြိုက်ဆုံး
favoriteholiday	0.867	0.618	0.582	အကြိုက်ဆုံးအားလပ်ရက်
favoritism	0.582	0.559	0.658	မျက်နှာလိုက်ခြင်း
fawn	0.626	0.360	0.284	ဖော်လံဖား
fax	0.406	0.368	0.304	ဖက်စ်
faze	0.417	0.515	0.382	faze
fear	0.073	0.840	0.293	ကြောက်ရွံ့ခြင်း။
feared	0.240	0.733	0.509	ကြောက်တယ်။
fearful	0.083	0.482	0.278	ကြောက်စရာ
fearfully	0.112	0.567	0.271	ကြောက်စရာ
fearing	0.125	0.566	0.256	ကြောက်ရွံ့ခြင်း။
fearless	0.810	0.806	0.760	မကြောက်မရွံ့
fears	0.061	0.821	0.306	ကြောက်ရွံ့မှုများ
fearsome	0.115	0.900	0.586	ကြောက်စရာ
feasibility	0.653	0.490	0.741	ဖြစ်နိုင်ခြေ
feasible	0.694	0.388	0.611	ဖြစ်နိုင်တယ်။
feast	0.979	0.724	0.680	ပွဲ
feat	0.750	0.706	0.849	စွမ်းဆောင်
feather	0.677	0.208	0.144	အမွေး
feathered	0.438	0.288	0.214	အမွေးပွ
feature	0.667	0.314	0.679	ထူးခြားချက်
features	0.667	0.433	0.509	အင်္ဂါရပ်များ
febrile	0.429	0.578	0.414	ဖျားခြင်း။
fecal	0.255	0.528	0.213	မစင်
feces	0.240	0.407	0.307	မစင်
fecundity	0.688	0.591	0.683	မြေဆီမြေနှစ်
fed	0.602	0.370	0.482	ကျွေးတယ်။
federal	0.530	0.459	0.859	ဖက်ဒရယ်
federation	0.633	0.354	0.763	အဖွဲ့ချုပ်
fedup	0.327	0.500	0.352	စိတ်ကုန်သော
fee	0.354	0.386	0.556	အခကြေးငွေ
feeble	0.157	0.280	0.109	အားလျော့
feed	0.812	0.429	0.739	ကျွေးပါ။
feedback	0.622	0.557	0.645	တုံ့ပြန်ချက်
feeder	0.604	0.452	0.713	မူးသည်။
feel	0.802	0.602	0.596	ခံစားမှု
feelgood	0.990	0.441	0.621	ကောင်းတယ်
feeling	0.806	0.329	0.531	ခံစားချက်
feelingdown	0.490	0.457	0.567	စိတ်ဓာတ်ကျခြင်း။
feelinggood	0.940	0.449	0.655	ခံစားချက်ကောင်း
feet	0.510	0.240	0.292	ခြေ
feign	0.340	0.394	0.356	ယောင်လို့
feigned	0.173	0.602	0.333	ဟန်ဆောင်သည်။
feisty	0.592	0.853	0.789	စိတ်ဆိုးသော
felicity	0.913	0.704	0.793	ပျော်ရွှင်ခြင်း
feline	0.615	0.745	0.509	ကြောင်
fell	0.255	0.462	0.250	ကျသွားတယ်။
feller	0.406	0.622	0.617	ခုတ်သူ
fellow	0.745	0.298	0.570	အဖော်
fellowship	0.900	0.429	0.778	မိတ်သဟာယ
felon	0.111	0.898	0.455	ရာဇ၀တ်မှု
felony	0.206	0.808	0.472	ရာဇဝတ်ပြစ်မှုကြီး
felt	0.643	0.417	0.566	ခံစားခဲ့ရသည်။
feminine	0.802	0.520	0.394	ဣတ္
femininity	0.750	0.479	0.451	မိန်းမပီသမှု
feminism	0.541	0.570	0.636	အမျိုးသမီးဝါဒ
femme	0.551	0.529	0.398	အမျိုးသမီး
femoral	0.417	0.324	0.566	femoral
femur	0.408	0.289	0.413	ခြေထောက်
fen	0.490	0.276	0.379	fen
fence	0.500	0.198	0.398	ခြံစည်းရိုး
fenced	0.323	0.430	0.429	ခြံခတ်ထားသည်။
fencing	0.542	0.654	0.539	ကာရံထားသည်။
fend	0.646	0.731	0.537	ကာရန်
fender	0.369	0.459	0.476	အကာအရံ
fennel	0.573	0.277	0.389	စမုန်နက်
ferment	0.375	0.531	0.418	အချဉ်ဖောက်
fermentation	0.420	0.567	0.473	ကစော်ဖောက်ခြင်း။
fern	0.602	0.240	0.290	ဖမ်
ferocious	0.167	0.915	0.776	ရက်စက်သည်။
ferocity	0.235	0.906	0.746	ရက်စက်ခြင်း
ferret	0.385	0.391	0.398	ဖာရက်
ferry	0.604	0.509	0.389	ဖယ်ရီ
ferryboat	0.594	0.452	0.553	ကူးတို့လှေ
fertile	0.888	0.408	0.704	မြေသြဇာ
fertility	0.885	0.529	0.726	မွေးဖွားမှု
fertilize	0.708	0.443	0.542	မြေသြဇာ
fertilizer	0.438	0.463	0.565	ဓာတ်မြေသြဇာ
fervent	0.646	0.632	0.773	စိတ်အားထက်သန်ခြင်း။
fervor	0.573	0.769	0.651	စိတ်အားထက်သန်မှု
fess	0.395	0.420	0.370	ပွဲတော်
fest	0.704	0.574	0.402	ဖျော်ဖြေပွဲ
festival	0.870	0.706	0.714	ပွဲတော်
festive	0.854	0.740	0.764	ပွဲလမ်းသဘင်
fetal	0.388	0.308	0.364	သန္ဓေသား
fetch	0.479	0.363	0.491	အကျိူး
fete	0.580	0.551	0.465	fete
fetish	0.307	0.706	0.500	တန်ဆာပလာ
fetus	0.479	0.519	0.395	သန္ဓေသား
feud	0.146	0.796	0.312	ရန်ငြိုးထားခြင်း
feudal	0.367	0.370	0.610	ပဒေသရာဇ်
feudalism	0.229	0.465	0.607	ပဒေသရာဇ်စနစ်
fever	0.194	0.674	0.364	ဖျားခြင်း။ ကိုယ်ပူခြင်း
feverish	0.385	0.696	0.436	အဖျားကြီးသည်။
fiancee	0.959	0.626	0.556	စေ့စပ်ထားသူ
fiasco	0.167	0.600	0.200	fiasco
fiat	0.520	0.418	0.446	fiat
fib	0.438	0.510	0.361	ချည်မျှင်
fiber	0.719	0.284	0.390	ဖိုက်ဘာ
fiberglass	0.451	0.451	0.443	ဖိုက်ဘာမှန်
fibrosis	0.160	0.469	0.546	fibrosis
fibrous	0.480	0.441	0.464	fibrous
fickle	0.406	0.481	0.346	ပျော့ပြောင်းသည်။
fiction	0.438	0.657	0.441	ရသစာပေ
fictional	0.430	0.490	0.340	အချစ်ဆုံး
fictitious	0.224	0.444	0.293	စိတ်ကူးယဉ်
fiddle	0.571	0.449	0.391	တယော
fiddler	0.615	0.580	0.500	တယောသမား
fidelity	0.765	0.580	0.709	သစ္စာရှိမှု
fidgety	0.229	0.786	0.351	ယောက်ယက်ခတ်ခြင်း။
fiduciary	0.375	0.400	0.509	ယုံကြည်ကိုးကွယ်သူ
field	0.640	0.380	0.336	လယ်ကွင်း
field hockey	0.602	0.786	0.518	ကွင်းပြင်ဟော်ကီ
fielder	0.583	0.378	0.415	ကွင်းလယ်ကစားသမား
fiend	0.146	0.903	0.608	ဘီလူး
fiendish	0.167	0.846	0.591	မြွေဆိုး
fierce	0.281	0.877	0.759	ပြင်းစွာ
fiery	0.418	0.850	0.721	မီးတောက်
fiesta	0.927	0.779	0.655	fiesta
fiesty	0.571	0.663	0.472	ပြင်းပြင်းထန်ထန်
fifteen	0.490	0.290	0.443	ဆယ့်ငါး
fifty	0.571	0.368	0.439	ငါးဆယ်
fig	0.573	0.390	0.339	သဖန်းသီး
fight	0.531	0.868	0.809	တိုက်ပွဲ
fighter	0.637	0.760	0.898	တိုက်လေယာဉ်
fighting	0.292	0.885	0.783	တိုက်ပွဲ
fights	0.070	0.920	0.712	တိုက်ပွဲများ
figment	0.552	0.316	0.533	ပုံသဏ္ဍန်
figurative	0.479	0.450	0.634	ပုံဆောင်
figure	0.688	0.328	0.509	ပုံ
figurine	0.760	0.283	0.258	ရုပ်တု
filament	0.510	0.452	0.377	အမျှင်
filamentous	0.531	0.480	0.516	ဇဝေဇဝါ
file	0.480	0.316	0.463	ဖိုင်
filet	0.615	0.392	0.291	ဖို
filibuster	0.271	0.714	0.508	filibuster
filigree	0.576	0.408	0.514	ကြိုး
filing	0.620	0.420	0.700	ဖိုလ်
filings	0.323	0.412	0.340	ဖိုင်တွဲများ
fill	0.729	0.449	0.637	ဖြည့်စွက်
filler	0.531	0.347	0.529	အဖြည့်ခံ
fillet	0.745	0.415	0.378	အသားလွှာ
filling	0.510	0.382	0.525	ဖြည့်စွက်
filly	0.479	0.564	0.519	အပြည့်
film	0.823	0.491	0.566	ရုပ်ရှင်
filmmaker	0.704	0.510	0.635	ရုပ်ရှင်ရိုက်ကူးသူ
filmy	0.583	0.510	0.425	ရုပ်ရှင်
filter	0.440	0.296	0.260	ဇကာ
filth	0.194	0.592	0.319	အညစ်အကြေး
filthy	0.115	0.714	0.321	ညစ်ပတ်တယ်။
filtration	0.407	0.520	0.255	စစ်ထုတ်ခြင်း
fin	0.333	0.340	0.377	ဆူးတောင်
final	0.276	0.575	0.508	နောက်ဆုံး
finale	0.406	0.330	0.468	နောက်ဆုံး
finalist	0.833	0.686	0.736	နောက်ဆုံးဆန်
finality	0.615	0.368	0.627	နောက်ဆုံး
finalize	0.556	0.550	0.578	အပြီးသတ်ပါ။
finalized	0.245	0.210	0.608	အပြီးသတ်
finally	0.583	0.433	0.465	နောက်ဆုံးတော့
finance	0.753	0.431	0.843	ဘဏ္ဍာရေး
financial	0.667	0.500	0.722	ငွေကြေး
financier	0.602	0.500	0.778	ငွေကြေးသမား
finch	0.438	0.444	0.358	finch
find	0.774	0.555	0.580	ရှာပါ။
finder	0.360	0.550	0.630	ရှာဖွေသူ
finding	0.796	0.469	0.664	ရှာဖွေခြင်း။
fine	0.823	0.240	0.647	အဆင်ပြေတယ်။
finery	0.562	0.479	0.636	အနုစိတ်
finesse	0.740	0.387	0.412	အမိုက်စား
finger	0.321	0.264	0.291	လက်ညှိုး
fingernail	0.418	0.415	0.153	လက်သည်း
fingerprint	0.583	0.404	0.570	လက်ဗွေ
fingerscrossed	0.573	0.540	0.356	လက်ညိုးထိုးထားသည်။
finish	0.471	0.429	0.545	ပြီးအောင်
finished	0.510	0.387	0.570	ပြီးပြီ။
finite	0.384	0.347	0.293	ကန့်သတ်ချက်
fink	0.410	0.514	0.439	fink
fir	0.521	0.275	0.306	ထင်းရူး
fire	0.380	0.804	0.635	မီး
